pressure_9_am,min_temp_c,wind_speed_3_pm,humidity_3_pm,wind_gust_speed,wind_dir_3_pm,location,temp_3_pm_c,cloud_3_pm,max_temp_c,pressure_3_pm,sunshine,humidity_9_am,evaporation,rain_tomorrow,rainfall,cloud_9_am,rain_today,temp_9_am_c,wind_gust_dir,wind_dir_9_am,date,wind_speed_9_am
1018.2,20.1,15.0,76.0,31.0,SE,CoffsHarbour,26.1,3.0,27.1,1017.0,8.0,87.0,9.2,Yes,6.0,7.0,Yes,23.0,SSE,SSW,2009-01-26,20.0
1018.9,20.8,15.0,72.0,30.0,SSE,CoffsHarbour,26.5,3.0,27.7,1017.8,10.6,92.0,4.6,Yes,3.0,6.0,Yes,23.2,S,SW,2009-01-27,13.0
1017.7,20.1,15.0,66.0,30.0,E,CoffsHarbour,26.8,3.0,28.2,1017.3,11.4,78.0,6.0,No,2.0,3.0,Yes,24.9,SSW,SSW,2009-01-28,19.0
1018.3,19.8,19.0,59.0,31.0,NE,CoffsHarbour,28.1,2.0,29.1,1017.6,12.5,74.0,5.2,No,0.4,4.0,No,25.4,NE,ESE,2009-01-29,6.0
1018.8,18.2,19.0,57.0,35.0,NE,CoffsHarbour,28.0,1.0,29.0,1017.1,9.7,87.0,6.8,No,0.6,7.0,No,22.9,ENE,WSW,2009-01-30,11.0
1019.1,20.7,24.0,55.0,33.0,ENE,CoffsHarbour,28.1,3.0,28.7,1016.9,10.4,69.0,5.8,No,0.0,6.0,No,25.5,ENE,NNW,2009-01-31,7.0
1015.9,20.0,19.0,62.0,30.0,E,CoffsHarbour,27.2,5.0,29.6,1015.1,12.2,61.0,7.0,Yes,0.0,5.0,No,26.6,ENE,NNE,2009-02-01,7.0
1014.9,21.6,15.0,62.0,26.0,E,CoffsHarbour,26.6,6.0,28.3,1012.7,9.0,83.0,6.8,No,2.4,7.0,Yes,24.8,SE,SW,2009-02-02,11.0
1011.8,19.3,20.0,74.0,30.0,NNE,CoffsHarbour,25.8,6.0,28.0,1009.5,3.6,88.0,5.2,No,0.2,7.0,No,22.3,NNE,NW,2009-02-03,7.0
1010.8,21.2,20.0,59.0,31.0,ENE,CoffsHarbour,28.6,1.0,29.2,1009.3,10.3,80.0,3.6,No,1.0,6.0,No,24.7,ENE,N,2009-02-04,4.0
1010.2,20.1,20.0,60.0,33.0,ENE,CoffsHarbour,28.5,1.0,29.1,1008.7,10.9,81.0,5.6,No,0.6,5.0,No,24.3,NE,SE,2009-02-05,9.0
1011.9,19.1,24.0,59.0,39.0,NE,CoffsHarbour,28.4,1.0,29.4,1011.4,12.6,62.0,6.4,No,0.0,1.0,No,26.4,NE,NNW,2009-02-06,15.0
1015.3,19.1,20.0,55.0,31.0,NE,CoffsHarbour,28.7,1.0,29.9,1013.9,12.5,62.0,7.2,No,0.0,1.0,No,26.6,ENE,NNW,2009-02-07,9.0
1013.3,17.4,20.0,57.0,31.0,ENE,CoffsHarbour,27.3,1.0,29.2,1010.2,12.2,64.0,7.2,No,0.0,3.0,No,25.7,ENE,WSW,2009-02-08,7.0
1010.1,16.4,15.0,61.0,22.0,ESE,CoffsHarbour,27.8,1.0,28.1,1008.8,12.4,68.0,7.8,No,0.0,1.0,No,24.3,SE,SW,2009-02-09,13.0
1010.0,21.0,39.0,73.0,56.0,NNE,CoffsHarbour,27.9,8.0,30.0,1005.8,6.6,68.0,4.2,No,0.0,6.0,No,26.2,NNE,N,2009-02-10,19.0
1006.8,21.6,31.0,66.0,48.0,S,CoffsHarbour,25.8,7.0,27.6,1006.1,3.3,73.0,6.0,Yes,0.0,8.0,No,23.6,S,SW,2009-02-11,24.0
1013.6,19.4,31.0,74.0,48.0,SSE,CoffsHarbour,23.6,6.0,,1014.5,9.3,67.0,6.2,Yes,19.8,3.0,Yes,22.1,S,SSW,2009-02-12,28.0
1020.9,18.8,20.0,89.0,65.0,WSW,CoffsHarbour,20.1,7.0,23.7,1019.5,0.4,88.0,5.8,Yes,16.6,7.0,Yes,19.6,ENE,WSW,2009-02-13,20.0
1017.8,18.6,24.0,83.0,59.0,E,CoffsHarbour,20.8,8.0,22.5,1012.6,0.0,90.0,3.2,Yes,30.0,8.0,Yes,18.6,E,NNW,2009-02-14,9.0
1007.2,18.3,31.0,74.0,57.0,SW,CoffsHarbour,23.3,7.0,24.8,1006.7,6.2,95.0,3.4,Yes,38.6,8.0,Yes,19.2,SW,SW,2009-02-15,28.0
1011.3,19.0,33.0,95.0,57.0,S,CoffsHarbour,21.0,8.0,23.4,1011.2,0.0,98.0,,Yes,63.6,8.0,Yes,20.6,S,S,2009-02-16,39.0
1008.2,19.9,30.0,64.0,54.0,SW,CoffsHarbour,26.5,7.0,27.1,1007.6,4.9,98.0,,Yes,189.0,8.0,Yes,20.5,E,SW,2009-02-17,31.0
1010.2,20.4,24.0,84.0,31.0,S,CoffsHarbour,23.2,7.0,23.8,1007.5,0.0,96.0,,Yes,58.6,8.0,Yes,20.9,SSW,SW,2009-02-18,15.0
1008.5,18.9,13.0,78.0,43.0,ENE,CoffsHarbour,24.4,6.0,26.1,1006.2,8.6,72.0,2.0,Yes,1.6,2.0,Yes,23.8,ESE,SSW,2009-02-19,13.0
1010.6,19.5,7.0,85.0,24.0,S,CoffsHarbour,25.2,6.0,27.6,1010.0,6.8,78.0,3.4,No,4.0,1.0,Yes,25.1,SSW,SE,2009-02-20,9.0
1011.9,19.0,15.0,71.0,41.0,ESE,CoffsHarbour,26.6,2.0,27.8,1010.6,11.1,75.0,3.4,Yes,0.6,3.0,No,24.5,SW,S,2009-02-21,9.0
1016.4,18.6,22.0,69.0,30.0,SE,CoffsHarbour,26.2,2.0,26.8,1015.8,12.0,75.0,5.6,No,15.8,4.0,Yes,22.7,SW,SW,2009-02-22,19.0
1017.4,18.9,22.0,64.0,33.0,NE,CoffsHarbour,27.3,3.0,27.8,1016.2,11.9,77.0,4.6,No,0.2,1.0,No,24.5,NNE,,2009-02-23,0.0
1016.6,19.4,33.0,55.0,50.0,NNE,CoffsHarbour,27.8,1.0,29.1,1014.2,10.9,62.0,6.4,No,0.0,1.0,No,25.2,NNE,NW,2009-02-24,17.0
1015.8,21.3,28.0,73.0,44.0,NE,CoffsHarbour,25.4,6.0,28.7,1013.5,6.8,66.0,7.2,Yes,0.0,3.0,No,26.2,NE,NNW,2009-02-25,11.0
1017.5,18.8,31.0,60.0,50.0,SSE,CoffsHarbour,24.3,3.0,26.1,1016.0,4.5,95.0,4.8,Yes,2.4,7.0,Yes,19.8,S,SW,2009-02-26,17.0
1015.5,18.4,28.0,55.0,46.0,SSE,CoffsHarbour,25.2,2.0,26.1,1014.3,11.2,62.0,6.2,No,2.4,2.0,Yes,21.7,S,SW,2009-02-27,28.0
1010.8,15.1,22.0,58.0,35.0,NNE,CoffsHarbour,26.7,1.0,27.3,1008.1,11.5,67.0,4.6,No,0.0,1.0,No,22.0,NNE,NW,2009-02-28,20.0
1008.2,18.9,11.0,70.0,33.0,ESE,CoffsHarbour,27.3,1.0,27.9,1008.1,10.4,66.0,4.8,No,0.0,1.0,No,24.8,S,S,2009-03-01,20.0
1014.7,21.4,22.0,70.0,33.0,S,CoffsHarbour,25.1,7.0,26.5,1013.9,2.2,72.0,5.8,Yes,0.0,6.0,No,24.3,S,SW,2009-03-02,20.0
1017.9,20.7,17.0,67.0,24.0,SSE,CoffsHarbour,26.8,6.0,27.3,1015.4,5.2,95.0,5.8,No,36.6,8.0,Yes,21.2,SSW,W,2009-03-03,11.0
1012.0,21.1,31.0,80.0,48.0,NNE,CoffsHarbour,26.6,7.0,30.4,1007.7,5.0,68.0,1.8,Yes,0.6,3.0,No,26.5,NNE,NNW,2009-03-04,20.0
1009.6,16.8,17.0,39.0,33.0,ESE,CoffsHarbour,23.4,0.0,24.1,1008.1,11.3,38.0,6.4,No,10.2,1.0,Yes,20.0,SW,SW,2009-03-05,17.0
1012.7,13.8,26.0,58.0,35.0,NE,CoffsHarbour,25.6,1.0,26.0,1010.4,10.2,68.0,4.6,No,0.0,0.0,No,20.2,ENE,SSW,2009-03-06,6.0
1013.5,17.8,33.0,64.0,52.0,NNE,CoffsHarbour,27.0,2.0,27.9,1010.4,11.4,72.0,4.0,No,0.0,1.0,No,23.1,NNE,SSE,2009-03-07,9.0
1015.1,19.6,28.0,63.0,35.0,SSE,CoffsHarbour,27.0,3.0,27.5,1015.0,9.3,72.0,5.4,No,0.0,2.0,No,24.9,S,SW,2009-03-08,13.0
1018.7,19.1,17.0,75.0,43.0,E,CoffsHarbour,23.6,8.0,25.7,1017.6,5.8,78.0,5.0,Yes,0.2,4.0,No,23.5,ESE,SW,2009-03-09,15.0
1018.9,19.8,22.0,60.0,35.0,ESE,CoffsHarbour,26.0,6.0,27.1,1017.9,9.0,83.0,8.6,Yes,24.4,6.0,Yes,22.0,ESE,SW,2009-03-10,17.0
1020.7,18.7,13.0,90.0,33.0,S,CoffsHarbour,20.9,7.0,25.6,1020.1,3.4,85.0,3.8,Yes,6.8,4.0,Yes,21.0,E,SW,2009-03-11,17.0
1021.5,16.5,9.0,65.0,19.0,ESE,CoffsHarbour,24.5,7.0,25.5,1020.1,6.1,84.0,2.8,No,16.8,5.0,Yes,21.0,WSW,WSW,2009-03-12,6.0
1018.9,18.5,20.0,60.0,30.0,ENE,CoffsHarbour,26.4,5.0,26.9,1016.6,11.0,68.0,3.2,No,0.0,2.0,No,23.3,ENE,SW,2009-03-13,7.0
1016.3,18.2,35.0,68.0,50.0,NE,CoffsHarbour,25.9,1.0,28.2,1012.8,9.0,67.0,6.8,Yes,0.0,1.0,No,24.0,NNE,NNW,2009-03-14,13.0
1012.9,20.1,31.0,68.0,46.0,NNE,CoffsHarbour,27.2,2.0,29.4,1008.5,7.1,90.0,3.8,No,3.2,6.0,Yes,22.0,NNE,NNW,2009-03-15,13.0
1010.3,19.5,7.0,77.0,31.0,NNW,CoffsHarbour,21.2,7.0,24.9,1008.6,2.8,67.0,4.2,Yes,0.8,3.0,No,23.4,NNW,WSW,2009-03-16,13.0
1012.0,16.4,20.0,65.0,33.0,S,CoffsHarbour,23.9,4.0,25.2,1011.2,6.7,82.0,1.6,No,1.4,6.0,Yes,21.4,S,WSW,2009-03-17,9.0
1017.9,19.7,19.0,64.0,30.0,S,CoffsHarbour,24.6,5.0,25.9,1016.5,6.4,73.0,4.4,No,0.0,6.0,No,21.2,SW,SW,2009-03-18,17.0
1017.2,17.7,24.0,66.0,31.0,NE,CoffsHarbour,25.1,5.0,26.7,1015.0,6.0,76.0,4.0,No,0.0,5.0,No,23.2,NNE,WNW,2009-03-19,11.0
1016.9,16.3,15.0,69.0,22.0,SE,CoffsHarbour,26.1,5.0,26.8,1015.3,9.4,77.0,2.2,No,0.0,3.0,No,22.3,SSE,SW,2009-03-20,11.0
1016.7,17.9,13.0,70.0,31.0,ESE,CoffsHarbour,23.9,5.0,26.4,1015.1,6.3,82.0,4.2,No,0.0,5.0,No,22.4,S,SW,2009-03-21,19.0
1017.0,17.0,13.0,63.0,33.0,SSE,CoffsHarbour,25.0,5.0,25.9,1015.1,9.0,78.0,3.2,Yes,0.4,7.0,No,20.6,SSW,SW,2009-03-22,13.0
1017.6,16.1,15.0,63.0,22.0,ESE,CoffsHarbour,25.1,1.0,25.8,1016.2,11.1,84.0,3.8,No,2.4,1.0,Yes,21.3,SE,WSW,2009-03-23,9.0
1020.2,15.5,17.0,56.0,30.0,NE,CoffsHarbour,25.7,1.0,26.6,1018.5,11.1,75.0,3.4,No,0.0,1.0,No,22.5,NE,W,2009-03-24,7.0
1021.9,14.7,24.0,49.0,33.0,NE,CoffsHarbour,25.9,1.0,26.8,1019.9,11.2,65.0,6.4,No,0.0,1.0,No,22.6,NE,WNW,2009-03-25,11.0
1022.2,15.2,28.0,52.0,39.0,NNE,CoffsHarbour,25.7,1.0,26.7,1018.8,11.4,65.0,3.8,No,0.0,1.0,No,22.6,NE,WNW,2009-03-26,6.0
1020.2,16.6,24.0,92.0,52.0,SSE,CoffsHarbour,20.7,8.0,26.8,1019.7,6.4,72.0,4.6,Yes,0.0,3.0,No,22.3,S,SW,2009-03-27,13.0
1022.8,17.7,30.0,64.0,44.0,S,CoffsHarbour,24.3,4.0,25.3,1021.7,9.7,71.0,6.4,No,12.0,2.0,Yes,20.8,SSW,SW,2009-03-28,24.0
1021.4,17.5,19.0,73.0,43.0,SSW,CoffsHarbour,23.7,5.0,25.1,1019.4,7.9,67.0,3.6,Yes,0.2,5.0,No,21.3,ESE,SW,2009-03-29,20.0
1017.7,18.9,24.0,89.0,69.0,SE,CoffsHarbour,21.3,8.0,22.9,1015.2,0.3,89.0,4.8,Yes,11.4,8.0,Yes,19.7,SE,SW,2009-03-30,26.0
1009.9,19.0,19.0,97.0,70.0,S,CoffsHarbour,19.4,8.0,23.3,1008.3,0.0,88.0,,,62.6,8.0,Yes,22.7,SSE,SSE,2009-03-31,43.0
1014.3,18.3,35.0,84.0,61.0,E,CoffsHarbour,23.4,8.0,24.0,1014.1,0.5,85.0,,Yes,,8.0,,22.5,E,ESE,2009-04-01,33.0
1019.8,20.9,13.0,71.0,43.0,ENE,CoffsHarbour,24.4,7.0,25.6,1018.6,3.5,84.0,3.0,Yes,10.4,7.0,Yes,23.1,ENE,E,2009-04-02,20.0
1020.7,19.9,9.0,90.0,35.0,S,CoffsHarbour,22.8,8.0,25.3,1017.3,3.4,92.0,3.4,Yes,7.4,7.0,Yes,20.7,N,SW,2009-04-03,13.0
1016.4,19.7,11.0,81.0,41.0,SSW,CoffsHarbour,24.2,7.0,25.0,1015.1,1.9,90.0,1.2,Yes,15.6,7.0,Yes,22.7,S,NW,2009-04-04,9.0
1017.5,19.4,20.0,95.0,35.0,WSW,CoffsHarbour,19.8,7.0,23.3,1014.8,1.1,95.0,3.2,Yes,17.4,8.0,Yes,19.6,SW,SW,2009-04-05,22.0
1016.9,17.5,30.0,73.0,44.0,SSE,CoffsHarbour,24.1,5.0,25.0,1015.5,7.8,70.0,1.2,Yes,9.4,3.0,Yes,23.3,SSW,SW,2009-04-06,15.0
1022.7,17.9,7.0,88.0,31.0,WSW,CoffsHarbour,20.0,7.0,23.6,1021.5,3.4,82.0,4.4,Yes,38.0,7.0,Yes,20.2,SE,SW,2009-04-07,13.0
1025.0,17.0,20.0,54.0,37.0,SSE,CoffsHarbour,23.1,1.0,23.4,1022.4,8.8,63.0,4.2,Yes,15.6,3.0,Yes,20.5,SSE,SW,2009-04-08,24.0
1024.4,16.1,7.0,74.0,31.0,SE,CoffsHarbour,21.0,5.0,22.3,1022.0,1.8,89.0,3.0,Yes,9.2,7.0,Yes,18.1,WSW,SW,2009-04-09,19.0
1024.5,14.8,24.0,61.0,37.0,NNE,CoffsHarbour,23.5,7.0,25.1,1021.4,6.6,83.0,1.4,No,2.0,7.0,Yes,20.4,NNE,NNE,2009-04-10,17.0
1025.7,16.1,13.0,71.0,31.0,NE,CoffsHarbour,23.1,8.0,24.8,1023.5,3.1,73.0,3.2,Yes,0.0,7.0,No,22.8,N,W,2009-04-11,9.0
1023.9,18.4,15.0,77.0,28.0,ENE,CoffsHarbour,23.5,7.0,24.2,1020.8,1.1,89.0,2.6,Yes,4.0,7.0,Yes,20.9,ENE,N,2009-04-12,9.0
1020.8,18.7,11.0,95.0,24.0,WSW,CoffsHarbour,20.0,8.0,21.3,1018.6,0.0,95.0,1.4,Yes,9.2,8.0,Yes,20.0,SW,W,2009-04-13,7.0
1014.8,19.0,9.0,91.0,22.0,S,CoffsHarbour,22.8,7.0,24.2,1011.0,3.0,93.0,1.0,Yes,21.2,7.0,Yes,21.3,S,,2009-04-14,0.0
1012.2,16.9,11.0,55.0,26.0,ESE,CoffsHarbour,25.8,2.0,26.5,1009.7,10.4,76.0,2.0,No,7.0,1.0,Yes,23.1,SW,SSW,2009-04-15,9.0
1015.3,13.3,13.0,50.0,28.0,SE,CoffsHarbour,24.6,0.0,25.6,1011.9,10.5,54.0,3.4,No,0.0,0.0,No,21.7,SW,WSW,2009-04-16,17.0
1014.3,13.5,20.0,61.0,30.0,SSE,CoffsHarbour,24.1,1.0,24.5,1012.7,9.9,71.0,3.6,No,0.0,0.0,No,21.4,S,S,2009-04-17,6.0
1016.9,13.8,26.0,58.0,56.0,SSW,CoffsHarbour,22.0,6.0,24.0,1015.0,9.0,50.0,4.2,Yes,0.2,3.0,No,21.1,S,SW,2009-04-18,22.0
1014.0,15.9,41.0,50.0,61.0,SSW,CoffsHarbour,22.9,4.0,23.9,1011.4,9.5,60.0,4.2,Yes,1.2,3.0,Yes,21.1,SSW,SSW,2009-04-19,33.0
1013.3,16.5,35.0,90.0,57.0,SSW,CoffsHarbour,16.4,8.0,21.4,1012.9,0.5,61.0,4.0,Yes,3.4,5.0,Yes,20.8,SSW,SSW,2009-04-20,35.0
1017.1,15.1,39.0,63.0,72.0,SSE,CoffsHarbour,21.3,7.0,21.8,1015.5,1.0,94.0,8.4,Yes,59.0,8.0,Yes,16.7,S,SW,2009-04-21,24.0
1020.1,16.3,31.0,71.0,41.0,SSW,CoffsHarbour,20.4,7.0,21.7,1017.4,4.3,86.0,2.4,Yes,11.2,8.0,Yes,17.1,S,SW,2009-04-22,22.0
1019.3,16.4,28.0,56.0,31.0,S,CoffsHarbour,22.2,3.0,22.6,1016.5,9.2,66.0,4.6,No,29.8,2.0,Yes,20.0,SSW,SW,2009-04-23,26.0
1014.7,11.5,15.0,61.0,33.0,N,CoffsHarbour,23.2,7.0,24.8,1009.7,9.5,63.0,2.2,No,0.0,2.0,No,20.3,N,NW,2009-04-24,19.0
1007.0,18.5,17.0,50.0,39.0,S,CoffsHarbour,26.6,0.0,28.6,1004.1,9.8,53.0,2.4,No,0.0,0.0,No,24.2,NW,NW,2009-04-25,20.0
1007.3,13.0,15.0,32.0,37.0,NW,CoffsHarbour,27.1,1.0,27.8,1003.6,10.5,50.0,3.8,No,0.0,1.0,No,21.9,N,N,2009-04-26,15.0
1015.1,10.8,11.0,43.0,28.0,E,CoffsHarbour,19.4,1.0,19.9,1013.5,10.5,42.0,3.8,No,0.0,0.0,No,17.6,SSW,SW,2009-04-27,19.0
1018.8,8.8,13.0,40.0,24.0,E,CoffsHarbour,23.6,1.0,24.2,1015.0,10.4,48.0,2.8,No,0.0,0.0,No,19.0,E,NNW,2009-04-28,7.0
1020.5,10.5,19.0,71.0,41.0,S,CoffsHarbour,18.4,7.0,19.6,1017.4,3.1,57.0,3.2,No,0.0,6.0,No,17.7,SW,SSW,2009-04-29,19.0
1017.4,10.0,22.0,43.0,37.0,S,CoffsHarbour,20.7,2.0,21.2,1016.4,10.4,52.0,0.6,No,0.0,1.0,No,18.5,SW,SSW,2009-04-30,19.0
1023.5,13.2,17.0,60.0,30.0,SSE,CoffsHarbour,20.8,6.0,22.0,1021.1,4.8,65.0,3.8,No,0.0,6.0,No,18.1,SW,SW,2009-05-01,13.0
1023.8,12.2,26.0,61.0,41.0,NNE,CoffsHarbour,20.9,6.0,23.7,1020.5,6.4,70.0,6.4,No,0.0,7.0,No,18.3,SSE,NW,2009-05-02,13.0
1025.2,13.2,28.0,57.0,44.0,S,CoffsHarbour,21.5,5.0,22.3,1023.6,8.8,69.0,4.8,Yes,0.0,3.0,No,18.2,SSW,WSW,2009-05-03,17.0
1027.2,14.8,15.0,53.0,31.0,S,CoffsHarbour,21.3,4.0,21.9,1025.3,8.9,74.0,3.8,Yes,4.0,5.0,Yes,17.4,SW,SW,2009-05-04,15.0
1028.3,12.9,26.0,59.0,39.0,S,CoffsHarbour,20.7,7.0,22.5,1025.7,4.5,77.0,1.6,Yes,1.4,6.0,Yes,16.9,S,WSW,2009-05-05,19.0
1027.7,15.1,11.0,84.0,33.0,W,CoffsHarbour,18.2,6.0,20.3,1023.9,2.6,91.0,5.4,Yes,20.2,7.0,Yes,16.4,WSW,SW,2009-05-06,19.0
1023.8,11.6,11.0,59.0,17.0,E,CoffsHarbour,21.8,2.0,22.3,1020.3,10.0,71.0,1.8,No,1.2,1.0,Yes,18.3,ESE,WSW,2009-05-07,6.0
1024.7,11.1,28.0,50.0,57.0,S,CoffsHarbour,21.2,3.0,22.2,1022.2,9.8,62.0,2.0,No,0.0,1.0,No,19.4,S,SW,2009-05-08,22.0
1022.5,11.5,20.0,50.0,35.0,S,CoffsHarbour,21.3,1.0,21.9,1018.7,10.2,63.0,3.2,No,0.4,2.0,No,18.5,SW,WSW,2009-05-09,17.0
1020.5,11.2,37.0,69.0,52.0,S,CoffsHarbour,19.4,6.0,22.5,1019.8,9.1,55.0,3.2,Yes,0.0,2.0,No,18.9,SSW,SW,2009-05-10,28.0
1023.0,13.9,20.0,61.0,37.0,SSE,CoffsHarbour,20.2,4.0,20.8,1020.4,9.4,54.0,1.0,No,4.2,2.0,Yes,17.9,SW,SW,2009-05-11,20.0
1020.9,8.9,9.0,50.0,26.0,ESE,CoffsHarbour,19.3,,19.9,1017.1,9.0,67.0,3.0,No,0.2,3.0,No,17.3,SSE,SW,2009-05-12,9.0
1016.9,8.2,11.0,38.0,17.0,ESE,CoffsHarbour,21.0,1.0,21.3,1013.7,9.9,67.0,3.0,No,0.0,1.0,No,17.4,SE,,2009-05-13,0.0
1015.7,7.1,13.0,43.0,20.0,NE,CoffsHarbour,21.1,0.0,22.3,1012.1,10.2,55.0,1.4,No,0.0,1.0,No,17.8,NE,WNW,2009-05-14,9.0
1016.7,5.9,17.0,35.0,30.0,N,CoffsHarbour,22.3,1.0,23.2,1012.3,10.0,63.0,2.2,No,0.0,1.0,No,16.3,N,WNW,2009-05-15,7.0
1013.6,7.5,13.0,42.0,19.0,NE,CoffsHarbour,21.5,2.0,22.6,1010.7,9.9,52.0,2.6,No,0.0,3.0,No,17.3,E,W,2009-05-16,9.0
1017.9,9.5,11.0,51.0,26.0,SE,CoffsHarbour,19.9,3.0,20.8,1016.3,9.2,54.0,2.2,No,0.0,1.0,No,18.3,WSW,SW,2009-05-17,9.0
1022.6,11.7,15.0,84.0,41.0,WSW,CoffsHarbour,17.6,7.0,19.8,1020.7,2.2,69.0,2.2,Yes,0.2,6.0,No,17.1,ESE,SW,2009-05-18,22.0
1022.5,15.4,17.0,68.0,50.0,E,CoffsHarbour,18.7,7.0,19.9,1018.9,0.4,80.0,7.0,Yes,4.6,8.0,Yes,17.3,NE,SW,2009-05-19,20.0
1018.2,16.4,28.0,55.0,61.0,ENE,CoffsHarbour,20.3,8.0,20.5,1015.6,0.0,63.0,2.0,Yes,1.6,8.0,Yes,19.5,E,E,2009-05-20,35.0
