wind.dir.9.am,rainfall,pressure.9.am,wind.dir.3.pm,evaporation,date,humidity.9.am,sunshine,wind.speed.9.am,temp.3.pm.c,pressure.3.pm,temp.9.am.c,location,wind.gust.speed,wind.speed.3.pm,humidity.3.pm,wind.gust.dir,min.temp.c,rain.today,max.temp.c,rain.tomorrow
W,4.0,1020.4,WSW,2.8,2008-07-15,91.0,2.3,17.0,13.0,1020.1,12.0,Adelaide,43.0,24.0,72.0,WSW,11.1,Yes,14.7,No
NNE,0.2,1019.9,N,1.6,2008-07-16,74.0,3.8,7.0,13.9,1015.3,10.0,Adelaide,39.0,19.0,52.0,NNW,6.3,No,14.1,No
N,0.2,1009.8,NW,1.6,2008-07-17,58.0,3.5,17.0,14.7,1007.4,10.5,Adelaide,44.0,22.0,61.0,NW,9.8,No,14.7,Yes
NE,1.4,1014.3,NW,0.8,2008-07-18,86.0,5.9,9.0,13.7,1012.4,9.3,Adelaide,39.0,19.0,58.0,WNW,7.4,Yes,15.3,
N,,1004.7,ENE,,2008-07-19,44.0,2.4,19.0,17.6,997.9,14.2,Adelaide,52.0,11.0,47.0,NNW,9.3,,18.1,
N,,1000.7,ENE,,2008-07-20,67.0,0.3,26.0,9.6,1000.4,10.0,Adelaide,46.0,11.0,91.0,N,9.9,,12.0,Yes
S,6.8,1021.2,S,4.0,2008-07-21,69.0,3.8,13.0,12.8,1024.7,11.9,Adelaide,41.0,15.0,55.0,SSE,6.5,Yes,14.2,No
,0.0,1032.8,SSW,1.2,2008-07-22,70.0,3.3,,11.8,1031.1,9.7,Adelaide,20.0,13.0,61.0,SW,6.0,No,13.8,No
ESE,0.0,1033.9,NNW,1.0,2008-07-23,49.0,9.2,7.0,13.7,1029.8,10.7,Adelaide,19.0,9.0,36.0,ENE,5.4,No,14.2,No
N,0.0,1027.5,NNW,1.4,2008-07-24,58.0,7.2,9.0,14.5,1023.4,8.8,Adelaide,28.0,13.0,38.0,NNW,2.6,No,14.9,No
NNE,0.0,1022.1,NNW,1.2,2008-07-25,52.0,7.9,9.0,16.1,1018.8,9.6,Adelaide,30.0,15.0,33.0,N,3.1,No,16.4,
N,,1019.1,WSW,,2008-07-26,90.0,9.5,7.0,12.6,1017.3,8.8,Adelaide,35.0,20.0,57.0,SW,7.1,,13.8,Yes
NE,1.6,1018.1,SW,,2008-07-27,85.0,8.1,7.0,11.1,1016.2,6.9,Adelaide,37.0,15.0,58.0,WSW,2.8,Yes,11.8,No
N,0.0,1024.1,W,4.6,2008-07-28,82.0,7.3,7.0,12.7,1022.4,6.4,Adelaide,22.0,13.0,61.0,W,0.7,No,14.0,No
NE,0.0,1017.9,NNE,0.8,2008-07-29,51.0,0.1,17.0,12.5,1010.3,10.5,Adelaide,56.0,19.0,45.0,NNW,4.9,No,13.0,Yes
NE,3.4,1013.7,W,1.4,2008-07-30,89.0,7.2,11.0,15.7,1011.7,11.5,Adelaide,28.0,9.0,44.0,WNW,8.5,Yes,16.1,No
NNE,0.8,1006.8,NW,1.8,2008-07-31,56.0,5.0,17.0,18.1,1005.2,14.4,Adelaide,69.0,20.0,52.0,W,7.6,No,19.3,Yes
W,1.8,1010.9,WSW,1.8,2008-08-01,58.0,5.6,20.0,13.5,1014.6,12.2,Adelaide,74.0,26.0,57.0,SW,10.6,Yes,13.8,
WNW,,1021.4,,,2008-08-02,95.0,2.6,11.0,11.9,1019.8,10.9,Adelaide,31.0,0.0,86.0,NW,7.6,,14.3,
NNE,,1017.3,NNW,,2008-08-03,54.0,5.6,15.0,17.8,1012.4,11.8,Adelaide,39.0,19.0,37.0,NNW,7.2,,18.1,Yes
N,8.2,1014.8,S,4.4,2008-08-04,92.0,4.4,9.0,11.7,1015.8,10.1,Adelaide,31.0,6.0,92.0,NW,9.0,Yes,13.8,Yes
S,16.2,1025.5,S,2.6,2008-08-05,95.0,3.3,6.0,13.6,1025.2,10.4,Adelaide,26.0,11.0,75.0,W,6.4,Yes,15.0,Yes
N,1.2,1021.3,N,0.4,2008-08-06,90.0,0.5,17.0,9.5,1016.8,10.0,Adelaide,48.0,13.0,92.0,WSW,7.4,Yes,11.9,Yes
SSW,11.2,1023.9,WSW,1.2,2008-08-07,70.0,7.0,9.0,11.9,1024.0,9.6,Adelaide,43.0,17.0,52.0,SW,5.9,Yes,13.2,No
WNW,0.8,1022.5,WSW,2.0,2008-08-08,91.0,6.5,20.0,13.7,1022.6,10.6,Adelaide,41.0,20.0,47.0,WSW,8.2,No,14.4,
N,,1022.3,W,,2008-08-09,94.0,1.9,11.0,9.1,1018.9,7.4,Adelaide,61.0,17.0,88.0,NW,5.2,,12.9,
SSW,,1025.3,SW,,2008-08-10,76.0,7.3,13.0,10.7,1025.6,7.7,Adelaide,48.0,24.0,63.0,SSW,4.7,,11.7,Yes
N,22.0,1028.2,W,5.0,2008-08-11,87.0,9.3,9.0,13.3,1025.9,7.7,Adelaide,37.0,17.0,57.0,WSW,4.4,Yes,13.8,No
NNW,0.8,1027.0,W,1.6,2008-08-12,92.0,5.6,11.0,13.2,1025.6,9.9,Adelaide,46.0,17.0,67.0,WNW,6.8,No,14.0,Yes
N,2.2,1031.9,SW,1.6,2008-08-13,97.0,9.2,7.0,12.8,1030.8,7.1,Adelaide,28.0,15.0,58.0,SW,5.3,Yes,13.9,No
N,0.0,1033.5,SW,2.0,2008-08-14,78.0,0.8,7.0,12.2,1030.3,8.9,Adelaide,35.0,20.0,55.0,SW,5.8,No,12.8,Yes
SW,1.6,1027.2,WSW,1.4,2008-08-15,90.0,5.5,13.0,12.6,1024.0,10.6,Adelaide,43.0,22.0,75.0,WSW,8.8,Yes,13.2,
S,,1024.9,SSW,,2008-08-16,90.0,7.6,6.0,13.2,1024.7,10.7,Adelaide,33.0,11.0,75.0,SW,7.6,,14.1,Yes
SSW,6.2,1031.1,SSW,,2008-08-17,89.0,8.5,4.0,13.8,1029.6,9.9,Adelaide,39.0,17.0,47.0,SW,6.7,Yes,14.1,No
,0.0,1032.5,SW,4.6,2008-08-18,85.0,5.7,0.0,13.9,1030.8,10.6,Adelaide,30.0,13.0,55.0,WSW,5.5,No,14.9,No
NNW,0.0,1029.9,NW,0.8,2008-08-19,75.0,2.0,11.0,15.1,1026.0,10.0,Adelaide,39.0,19.0,42.0,NW,5.5,No,15.7,No
NNE,0.0,1023.5,NW,1.8,2008-08-20,52.0,5.1,9.0,16.4,1020.2,11.3,Adelaide,43.0,20.0,39.0,WSW,7.0,No,17.0,Yes
SSE,1.4,1021.9,SSW,2.0,2008-08-21,64.0,5.8,15.0,12.2,1023.9,10.0,Adelaide,57.0,17.0,49.0,SW,8.3,Yes,13.4,Yes
S,2.0,1032.0,SW,1.6,2008-08-22,70.0,8.0,6.0,12.6,1030.7,9.1,Adelaide,37.0,15.0,59.0,WSW,3.3,Yes,12.7,No
N,0.8,1034.1,SW,,2008-08-23,82.0,3.6,2.0,13.2,1031.7,7.2,Adelaide,24.0,9.0,62.0,WSW,3.2,No,14.1,No
N,0.0,1032.9,WSW,,2008-08-24,68.0,7.4,6.0,13.5,1029.0,9.2,Adelaide,20.0,13.0,51.0,NNW,2.4,No,15.1,No
NNE,0.0,1024.3,WNW,4.6,2008-08-25,44.0,9.2,13.0,16.5,1020.7,13.5,Adelaide,,17.0,29.0,,5.4,No,17.4,No
NE,0.0,1024.0,WSW,2.2,2008-08-26,46.0,10.3,7.0,15.5,1024.4,12.1,Adelaide,31.0,17.0,62.0,WSW,3.6,No,17.5,No
ESE,0.0,1031.2,E,2.6,2008-08-27,49.0,10.2,9.0,14.9,1028.6,12.1,Adelaide,28.0,13.0,41.0,ESE,5.7,No,15.5,No
ENE,0.0,1028.7,WSW,2.8,2008-08-28,53.0,9.6,13.0,17.1,1024.1,13.2,Adelaide,24.0,13.0,44.0,ESE,6.5,No,18.7,No
NE,0.0,1020.6,NNE,2.8,2008-08-29,44.0,0.5,11.0,17.3,1015.8,13.7,Adelaide,31.0,15.0,34.0,N,7.7,No,17.6,
NNE,,1006.5,NW,,2008-08-30,76.0,0.5,20.0,17.7,1003.8,13.7,Adelaide,48.0,22.0,61.0,N,10.4,,18.6,Yes
NW,8.4,1013.1,WSW,,2008-08-31,75.0,6.2,20.0,13.7,1016.3,11.7,Adelaide,50.0,28.0,58.0,WSW,9.6,Yes,15.2,No
NNW,0.8,1022.1,WNW,5.8,2008-09-01,76.0,2.8,17.0,16.4,1021.0,10.5,Adelaide,44.0,26.0,54.0,NW,6.9,No,17.1,No
SW,1.0,1028.2,SW,1.6,2008-09-02,68.0,9.3,7.0,16.1,1028.2,13.8,Adelaide,30.0,15.0,39.0,WSW,9.1,No,16.8,No
E,0.0,1033.1,E,3.4,2008-09-03,52.0,7.5,19.0,15.8,1030.3,13.9,Adelaide,37.0,11.0,37.0,ESE,9.5,No,16.8,No
E,0.0,1030.3,ENE,3.0,2008-09-04,36.0,10.3,17.0,16.2,1025.6,14.2,Adelaide,35.0,9.0,36.0,ESE,7.5,No,17.5,No
S,0.0,1023.2,SW,3.2,2008-09-05,60.0,10.8,6.0,18.2,1020.2,12.5,Adelaide,28.0,13.0,34.0,W,5.4,No,18.8,No
NE,0.0,1020.0,WNW,,2008-09-06,47.0,10.3,13.0,22.0,1016.4,16.6,Adelaide,37.0,17.0,24.0,N,7.4,No,22.6,
NNE,,1021.0,NNE,,2008-09-07,88.0,2.7,7.0,14.8,1020.2,12.9,Adelaide,39.0,9.0,75.0,ESE,11.3,,17.0,No
NNW,1.0,1026.8,WSW,7.6,2008-09-08,58.0,10.8,6.0,16.9,1024.8,13.8,Adelaide,31.0,17.0,48.0,SE,8.3,No,18.0,No
NE,0.0,1028.1,SW,2.8,2008-09-09,49.0,10.9,9.0,19.0,1023.8,14.1,Adelaide,22.0,13.0,29.0,WSW,5.8,No,19.8,No
N,0.0,1020.0,NNW,3.4,2008-09-10,34.0,6.4,15.0,20.0,1015.0,16.7,Adelaide,31.0,19.0,33.0,N,10.6,No,21.9,No
N,1.0,1009.4,NW,3.4,2008-09-11,39.0,8.3,19.0,24.2,1005.0,19.2,Adelaide,41.0,20.0,31.0,N,13.9,No,24.9,No
NNW,0.0,1006.6,WNW,4.4,2008-09-12,78.0,9.4,11.0,20.5,1005.1,14.3,Adelaide,44.0,20.0,46.0,WNW,10.6,No,21.3,No
NNE,0.0,1005.5,NW,,2008-09-13,38.0,10.9,11.0,27.7,998.6,20.5,Adelaide,57.0,31.0,14.0,NNW,11.8,No,28.4,
WNW,,1008.3,NW,,2008-09-14,68.0,8.2,24.0,16.6,1005.9,13.6,Adelaide,52.0,26.0,44.0,WSW,10.8,,17.5,Yes
WNW,2.8,1005.2,WSW,14.4,2008-09-15,81.0,5.0,26.0,14.1,1009.6,9.8,Adelaide,74.0,33.0,43.0,W,8.3,Yes,14.7,No
SW,0.4,1024.6,WSW,3.6,2008-09-16,68.0,6.4,13.0,14.0,1024.3,10.8,Adelaide,39.0,13.0,44.0,SW,7.7,No,15.3,No
NNE,0.0,1022.8,NNE,2.6,2008-09-17,37.0,9.9,17.0,20.6,1017.1,15.1,Adelaide,41.0,17.0,26.0,N,6.4,No,21.0,No
NE,0.0,1010.5,WNW,5.4,2008-09-18,21.0,6.8,13.0,24.6,1007.4,17.8,Adelaide,44.0,20.0,15.0,NE,14.9,No,24.8,No
N,0.0,1008.1,SW,4.4,2008-09-19,51.0,10.3,11.0,19.2,1009.1,18.4,Adelaide,35.0,13.0,54.0,WNW,10.5,No,22.2,Yes
W,1.6,1014.9,WSW,,2008-09-20,72.0,7.0,22.0,16.2,1016.3,14.7,Adelaide,43.0,20.0,47.0,SW,10.7,Yes,17.3,No
N,0.0,1016.4,NW,,2008-09-21,55.0,9.3,17.0,22.1,1010.4,14.6,Adelaide,35.0,19.0,30.0,N,7.4,No,22.5,No
SSW,0.0,1005.2,SSW,12.0,2008-09-22,67.0,2.6,22.0,11.3,1011.6,14.6,Adelaide,65.0,20.0,63.0,SW,13.1,No,15.0,Yes
W,6.2,1024.7,SW,2.6,2008-09-23,57.0,10.5,20.0,16.7,1026.1,13.9,Adelaide,35.0,15.0,51.0,SW,9.5,Yes,16.8,No
NW,0.0,1032.1,NW,3.4,2008-09-24,58.0,9.4,9.0,19.0,1027.5,13.7,Adelaide,28.0,13.0,38.0,NNE,6.4,No,19.4,No
N,0.0,1025.2,WNW,3.0,2008-09-25,30.0,11.0,22.0,23.2,1019.7,18.1,Adelaide,41.0,22.0,22.0,NNW,7.5,No,23.9,No
N,0.0,1020.1,NNW,5.6,2008-09-26,18.0,11.5,15.0,27.3,1016.2,21.3,Adelaide,39.0,17.0,11.0,NNW,14.0,No,28.0,No
N,0.0,1012.2,NNW,,2008-09-27,11.0,10.0,19.0,33.2,1005.8,25.3,Adelaide,65.0,31.0,9.0,W,14.3,No,33.7,No
WSW,0.0,1020.3,WSW,,2008-09-28,73.0,6.0,9.0,16.9,1019.0,13.9,Adelaide,39.0,17.0,60.0,SW,12.4,No,19.1,Yes
S,1.2,1024.2,W,16.4,2008-09-29,47.0,11.4,9.0,15.7,1022.2,14.8,Adelaide,31.0,19.0,40.0,WSW,9.1,Yes,16.7,No
NNE,0.0,1021.4,NNE,3.6,2008-09-30,41.0,9.7,13.0,22.1,1015.6,15.1,Adelaide,39.0,11.0,25.0,NE,6.2,No,22.8,No
NNE,0.0,1006.9,W,6.8,2008-10-01,14.0,7.7,22.0,23.7,1007.1,21.1,Adelaide,65.0,24.0,48.0,NNW,15.0,No,27.2,No
WNW,0.0,1016.0,W,4.0,2008-10-02,67.0,8.6,7.0,23.9,1012.1,16.8,Adelaide,28.0,13.0,38.0,W,15.0,No,24.8,No
ENE,0.4,1015.0,SW,4.2,2008-10-03,76.0,0.7,2.0,16.2,1013.8,16.3,Adelaide,31.0,19.0,79.0,SW,12.2,No,20.4,
S,,1019.4,W,,2008-10-04,46.0,11.7,9.0,16.4,1017.7,14.0,Adelaide,31.0,17.0,42.0,WSW,8.1,,17.3,
NE,,1017.0,W,,2008-10-05,42.0,11.8,7.0,22.4,1012.7,15.7,Adelaide,33.0,13.0,24.0,WNW,6.6,,22.8,
SW,,1021.3,SW,,2008-10-06,66.0,8.7,22.0,15.3,1023.2,12.1,Adelaide,,20.0,34.0,,11.2,,,Yes
,2.8,,WSW,14.0,2008-10-07,,3.9,,15.1,1023.5,,Adelaide,,19.0,47.0,,,Yes,16.4,No
NNE,0.2,1025.8,W,2.6,2008-10-08,91.0,8.5,6.0,16.7,1024.9,11.1,Adelaide,30.0,19.0,48.0,WSW,7.6,No,18.1,Yes
NNE,1.2,1027.8,SW,2.6,2008-10-09,60.0,12.0,4.0,20.5,1024.6,14.3,Adelaide,28.0,15.0,41.0,W,8.5,Yes,21.1,No
NE,0.0,1026.1,NW,4.6,2008-10-10,36.0,12.1,15.0,25.8,1023.6,19.2,Adelaide,28.0,11.0,19.0,N,9.2,No,26.6,No
WSW,0.0,1023.7,NW,,2008-10-11,46.0,12.0,7.0,27.7,1020.5,17.6,Adelaide,35.0,19.0,15.0,NNW,10.7,No,29.1,No
N,0.6,1015.7,NW,,2008-10-12,12.0,8.8,19.0,30.4,1011.0,24.1,Adelaide,54.0,28.0,8.0,NNW,13.4,No,31.9,No
SW,0.0,1020.8,SW,19.0,2008-10-13,54.0,11.1,17.0,18.5,1021.2,14.6,Adelaide,39.0,19.0,40.0,SSW,13.0,No,19.0,No
SSE,0.0,1027.2,SW,5.0,2008-10-14,44.0,6.2,15.0,17.6,1026.2,13.3,Adelaide,37.0,19.0,38.0,SW,9.0,No,18.4,No
SSW,0.0,1029.2,SW,4.0,2008-10-15,59.0,10.7,9.0,18.8,1025.9,13.8,Adelaide,35.0,19.0,49.0,WSW,8.3,No,19.8,No
S,0.0,1025.1,WSW,4.4,2008-10-16,61.0,12.1,2.0,24.8,1020.5,15.5,Adelaide,26.0,15.0,28.0,SW,9.5,No,25.5,No
N,0.0,1020.3,W,5.2,2008-10-17,33.0,12.0,6.0,30.5,1017.3,22.0,Adelaide,30.0,13.0,13.0,N,12.8,No,31.0,No
NE,0.0,1017.6,WNW,,2008-10-18,17.0,9.5,11.0,33.8,1016.1,25.6,Adelaide,30.0,19.0,5.0,WNW,16.0,No,34.6,No
SSE,0.0,1023.1,S,,2008-10-19,62.0,12.4,15.0,21.7,1023.3,17.5,Adelaide,35.0,13.0,46.0,SSE,13.6,No,22.2,No
SE,0.0,1029.3,SSE,18.8,2008-10-20,51.0,,17.0,20.2,1027.5,14.3,Adelaide,33.0,17.0,30.0,SSE,10.4,No,20.7,No
SE,0.0,1030.9,SSE,5.4,2008-10-21,47.0,12.6,7.0,19.7,1029.9,13.9,Adelaide,35.0,15.0,31.0,SSE,9.4,No,20.3,No
E,0.0,1032.5,WSW,5.6,2008-10-22,47.0,10.6,9.0,18.6,1028.8,12.9,Adelaide,31.0,20.0,34.0,SE,9.5,No,20.7,No
,0.0,1027.2,NNW,4.4,2008-10-23,54.0,5.1,0.0,24.5,1023.1,15.7,Adelaide,26.0,6.0,14.0,ENE,11.2,No,26.6,No
N,0.0,1019.8,WNW,4.4,2008-10-24,9.0,11.7,11.0,30.3,1015.9,24.1,Adelaide,35.0,17.0,5.0,W,15.7,No,30.9,No
NNE,0.0,1010.8,N,,2008-10-25,5.0,3.5,17.0,33.7,1006.5,26.4,Adelaide,41.0,17.0,6.0,NNW,17.6,No,34.7,No
SSE,0.0,1006.2,WNW,,2008-10-26,64.0,6.9,15.0,22.3,1008.1,18.1,Adelaide,50.0,20.0,44.0,WNW,17.1,No,23.7,Yes
SW,2.8,1016.7,SSW,20.0,2008-10-27,83.0,5.5,13.0,18.5,1017.9,14.6,Adelaide,35.0,13.0,46.0,W,13.6,Yes,20.1,No
NNW,0.0,1024.4,E,3.2,2008-10-28,53.0,12.8,7.0,22.3,1020.8,15.4,Adelaide,43.0,13.0,34.0,ESE,9.1,No,24.1,No
ENE,0.0,1018.5,N,6.6,2008-10-29,44.0,,19.0,25.9,1014.6,19.1,Adelaide,46.0,17.0,25.0,ESE,14.5,No,26.8,No
NNW,0.0,1009.1,W,,2008-10-30,24.0,12.2,15.0,28.7,1009.3,25.1,Adelaide,46.0,24.0,28.0,SW,18.7,No,29.8,No
SSW,0.0,1018.1,SW,7.6,2008-10-31,73.0,12.1,20.0,17.5,1020.0,15.4,Adelaide,46.0,17.0,60.0,W,14.3,No,18.1,
E,,1022.3,ESE,,2008-11-01,56.0,,19.0,23.8,1018.1,15.7,Adelaide,39.0,11.0,34.0,E,12.8,,26.2,Yes
E,1.4,1014.0,WSW,,2008-11-02,82.0,6.2,11.0,23.7,1012.9,18.8,Adelaide,44.0,24.0,55.0,SW,15.4,Yes,26.3,No
SSW,0.0,1021.9,SE,15.2,2008-11-03,50.0,10.0,15.0,19.9,1020.1,14.8,Adelaide,39.0,20.0,39.0,SSE,13.3,No,21.2,No
E,0.0,1019.5,NE,5.8,2008-11-04,54.0,9.0,13.0,25.0,1012.9,15.1,Adelaide,44.0,9.0,26.0,E,11.6,No,25.9,No
NW,0.8,1009.7,SW,4.8,2008-11-05,85.0,9.7,17.0,21.0,1010.8,17.6,Adelaide,44.0,20.0,45.0,W,14.6,No,23.9,No
NNE,0.0,1011.6,WSW,6.0,2008-11-06,51.0,8.6,6.0,28.8,1007.3,18.7,Adelaide,50.0,7.0,17.0,NNE,12.2,No,29.5,No
N,0.2,1001.0,WNW,8.0,2008-11-07,58.0,1.4,17.0,18.4,1004.7,22.4,Adelaide,56.0,28.0,51.0,WNW,18.3,No,22.5,Yes
WSW,1.6,1013.1,SW,,2008-11-08,60.0,4.7,20.0,17.7,1015.6,14.9,Adelaide,48.0,24.0,42.0,WSW,12.5,Yes,19.0,No
WSW,0.2,1021.5,WSW,,2008-11-09,58.0,9.2,15.0,22.3,1020.7,17.0,Adelaide,30.0,17.0,43.0,NW,12.7,No,22.7,No
W,0.0,1023.5,W,13.0,2008-11-10,57.0,12.9,6.0,27.2,1020.4,18.8,Adelaide,24.0,13.0,25.0,WSW,11.3,No,28.6,No
NNE,0.0,1017.0,WNW,6.6,2008-11-11,25.0,11.7,13.0,33.5,1013.2,26.8,Adelaide,39.0,20.0,8.0,N,17.5,No,34.5,No
NNE,0.0,1011.2,N,11.4,2008-11-12,12.0,9.9,15.0,36.2,1006.5,31.3,Adelaide,44.0,17.0,7.0,E,24.1,No,36.6,No
WSW,0.0,1006.6,WSW,10.2,2008-11-13,49.0,11.3,11.0,22.0,1008.6,24.8,Adelaide,44.0,17.0,56.0,W,22.5,No,26.2,No
SSW,0.0,1016.1,SW,5.6,2008-11-14,60.0,11.1,15.0,19.8,1015.7,16.4,Adelaide,41.0,22.0,42.0,SW,14.0,No,20.7,No
S,0.0,1020.6,SW,,2008-11-15,49.0,12.3,9.0,20.2,1020.1,16.1,Adelaide,43.0,22.0,37.0,SW,11.4,No,20.2,No
E,0.0,1023.3,ESE,,2008-11-16,56.0,9.2,11.0,21.3,1019.4,15.0,Adelaide,39.0,15.0,32.0,ESE,11.8,No,23.0,No
E,0.0,1017.2,ENE,16.4,2008-11-17,30.0,10.8,9.0,26.3,1012.5,19.1,Adelaide,41.0,9.0,15.0,ESE,12.6,No,27.8,Yes
SE,1.4,1012.7,ESE,7.2,2008-11-18,59.0,0.8,11.0,21.8,1009.5,17.2,Adelaide,41.0,13.0,40.0,ESE,15.7,Yes,22.2,No
WNW,0.0,1007.6,SW,5.2,2008-11-19,47.0,1.1,2.0,21.0,1006.1,18.8,Adelaide,,15.0,49.0,,16.8,No,25.1,No
S,0.6,1010.4,SW,3.4,2008-11-20,62.0,8.8,15.0,19.9,1008.4,15.6,Adelaide,35.0,19.0,41.0,WSW,13.8,No,20.5,No
WSW,0.0,1005.2,SW,6.2,2008-11-21,50.0,4.3,13.0,16.9,1003.5,16.6,Adelaide,54.0,31.0,60.0,SW,12.7,No,19.9,Yes
SSW,5.0,1009.4,SW,,2008-11-22,50.0,10.7,20.0,15.0,1009.3,12.5,Adelaide,54.0,28.0,46.0,SW,8.1,Yes,17.1,No
SSW,0.0,1013.1,WSW,,2008-11-23,49.0,12.1,9.0,20.9,1007.8,14.8,Adelaide,39.0,20.0,38.0,WSW,8.7,No,22.3,No
WSW,0.0,1009.8,SW,15.4,2008-11-24,48.0,11.5,11.0,26.7,1006.1,18.4,Adelaide,44.0,13.0,26.0,ESE,14.1,No,28.3,No
ENE,0.0,1007.8,NNE,9.8,2008-11-25,26.0,8.1,19.0,30.1,1005.5,21.7,Adelaide,50.0,17.0,12.0,ESE,18.3,No,31.5,No
N,0.0,1005.7,WSW,7.2,2008-11-26,45.0,12.5,7.0,26.7,1005.0,23.7,Adelaide,33.0,17.0,31.0,WNW,17.3,No,27.9,No
N,0.0,1005.1,SW,7.6,2008-11-27,63.0,7.7,9.0,22.5,1004.7,19.2,Adelaide,37.0,20.0,47.0,WSW,16.2,No,25.2,Yes
ENE,2.6,1005.3,SSW,3.6,2008-11-28,70.0,4.9,6.0,18.6,1007.2,17.3,Adelaide,41.0,15.0,51.0,WSW,14.2,Yes,20.3,No
SW,0.0,1014.3,WSW,,2008-11-29,57.0,13.3,17.0,20.5,1014.7,16.3,Adelaide,41.0,24.0,33.0,WSW,11.6,No,21.0,No
NNW,0.0,1013.7,W,9.6,2008-11-30,60.0,11.1,13.0,24.2,1010.6,16.9,Adelaide,41.0,22.0,27.0,SW,11.4,No,25.2,No
WSW,0.0,1012.8,SW,6.8,2008-12-01,46.0,9.6,20.0,20.2,1012.1,17.1,Adelaide,33.0,17.0,44.0,WSW,12.6,No,21.3,No
WNW,0.0,1013.1,W,5.4,2008-12-02,62.0,11.3,13.0,22.7,1010.8,17.3,Adelaide,35.0,17.0,33.0,SW,13.0,No,23.2,No
SW,0.0,1013.7,WSW,6.0,2008-12-03,57.0,11.0,11.0,22.3,1013.7,17.5,Adelaide,30.0,15.0,39.0,WNW,13.8,No,23.8,No
NE,0.0,1010.4,N,6.0,2008-12-04,31.0,0.1,22.0,22.7,1008.4,21.9,Adelaide,48.0,19.0,56.0,N,16.7,No,25.0,No
W,1.0,1010.8,W,2.2,2008-12-05,65.0,3.5,22.0,22.5,1011.0,19.1,Adelaide,37.0,22.0,52.0,WNW,18.0,No,23.2,No
S,0.0,1011.9,SW,,2008-12-06,75.0,6.0,4.0,19.7,1011.3,17.7,Adelaide,33.0,13.0,60.0,SW,13.2,No,23.1,No
SSW,0.0,1016.7,WSW,,2008-12-07,49.0,10.2,13.0,19.5,1014.9,14.7,Adelaide,43.0,20.0,40.0,SW,12.5,No,20.8,No
N,0.0,1014.9,W,14.4,2008-12-08,43.0,11.6,11.0,27.1,1009.1,17.0,Adelaide,31.0,9.0,16.0,NW,9.4,No,29.3,Yes
NE,1.4,1001.9,ESE,6.6,2008-12-09,55.0,7.4,11.0,25.1,1003.6,22.6,Adelaide,39.0,22.0,37.0,ESE,16.7,Yes,26.2,No
E,0.0,1010.8,SE,6.4,2008-12-10,56.0,12.5,13.0,25.6,1008.9,19.3,Adelaide,48.0,13.0,35.0,SE,14.2,No,28.0,No
