RainToday,Evaporation,WindDir3pm,Temp3pmF,MaxTempF,Cloud3pm,WindSpeed9am,Rainfall,Date,Location,Humidity3pm,MinTempF,WindGustDir,RainTomorrow,Sunshine,WindDir9am,Humidity9am,Pressure3pm,WindSpeed3pm,Cloud9am,Temp9amF,WindGustSpeed,Pressure9am
No,14.8,E,96.98,99.5,0.0,20.0,0.0,2009-01-10,AliceSprings,9.0,69.8,SSE,No,12.9,E,13.0,1002.6,15.0,0.0,86.53999999999999,41.0,1006.6
No,15.0,S,98.06,99.14,0.0,17.0,0.0,2009-01-11,AliceSprings,6.0,63.86,SSE,No,13.1,ESE,11.0,1003.3,17.0,0.0,86.0,44.0,1005.9
No,15.0,SSE,99.5,100.58000000000001,1.0,24.0,0.0,2009-01-12,AliceSprings,8.0,63.32,SE,No,13.1,ESE,9.0,1005.3,17.0,0.0,87.08000000000001,43.0,1009.3
No,15.2,ENE,99.86,100.76,1.0,24.0,0.0,2009-01-13,AliceSprings,8.0,73.75999999999999,E,No,12.2,N,35.0,1005.1,11.0,0.0,88.88000000000001,33.0,1009.7
No,13.8,E,97.88000000000001,100.03999999999999,1.0,13.0,0.0,2009-01-14,AliceSprings,14.0,73.58,ESE,No,13.1,ENE,27.0,1005.7,37.0,1.0,89.06,59.0,1008.9
No,16.8,SE,99.14,101.11999999999999,2.0,22.0,0.0,2009-01-15,AliceSprings,12.0,68.72,ESE,No,12.3,E,25.0,1006.6,35.0,1.0,87.61999999999999,67.0,1010.1
No,22.6,ESE,99.5,99.5,2.0,30.0,0.0,2009-01-16,AliceSprings,14.0,78.25999999999999,ESE,No,12.6,ESE,15.0,1009.0,30.0,1.0,86.18,56.0,1012.6
No,20.0,ENE,93.91999999999999,97.34,7.0,26.0,0.0,2009-01-17,AliceSprings,23.0,77.72,ENE,No,7.0,ESE,15.0,1008.4,28.0,3.0,85.46000000000001,41.0,1012.8
No,13.8,ESE,75.56,77.36,8.0,7.0,0.0,2009-01-18,AliceSprings,57.0,75.02,ENE,Yes,0.0,ESE,53.0,1010.5,13.0,8.0,75.02,39.0,1013.2
Yes,1.4,ESE,73.58,77.54,8.0,13.0,5.2,2009-01-19,AliceSprings,76.0,66.2,ESE,Yes,1.1,ENE,75.0,1007.5,22.0,7.0,71.6,30.0,1010.4
Yes,2.8,WNW,85.82,87.98,7.0,7.0,7.8,2009-01-20,AliceSprings,56.0,67.1,WNW,No,5.2,NW,74.0,1005.6,17.0,7.0,77.36,37.0,1008.2
No,5.2,SW,95.0,98.6,3.0,9.0,0.0,2009-01-21,AliceSprings,27.0,72.5,S,No,12.3,WNW,68.0,1003.7,19.0,6.0,82.4,39.0,1008.2
No,11.4,W,100.03999999999999,101.84,2.0,15.0,0.0,2009-01-22,AliceSprings,14.0,74.66,SE,No,12.0,WSW,48.0,1002.9,9.0,7.0,86.18,41.0,1006.3
No,11.8,ESE,102.2,104.36,4.0,15.0,0.4,2009-01-23,AliceSprings,19.0,81.68,N,No,10.3,WNW,42.0,1002.7,13.0,5.0,90.68,35.0,1006.6
No,13.4,SSE,90.86,103.82,6.0,9.0,0.2,2009-01-24,AliceSprings,42.0,78.62,SE,Yes,5.6,NW,36.0,1005.5,28.0,4.0,91.76,54.0,1007.9
Yes,9.4,SE,88.16,103.28,6.0,17.0,1.4,2009-01-25,AliceSprings,51.0,75.56,SE,No,12.0,E,39.0,1007.1,59.0,1.0,91.22,93.0,1010.1
No,15.8,NNE,101.48,103.1,,7.0,0.0,2009-01-26,AliceSprings,7.0,71.42,E,No,12.6,NW,21.0,1005.9,13.0,1.0,89.41999999999999,44.0,1009.8
No,15.0,ENE,102.2,102.91999999999999,4.0,22.0,0.0,2009-01-27,AliceSprings,21.0,80.06,E,No,13.0,NE,41.0,1003.4,31.0,0.0,90.14,61.0,1008.1
No,17.0,ENE,98.78,99.68,,28.0,0.0,2009-01-28,AliceSprings,14.0,77.9,ENE,No,12.7,ENE,37.0,1002.9,30.0,0.0,87.98,54.0,1007.2
No,17.0,E,94.1,97.7,3.0,15.0,0.0,2009-01-29,AliceSprings,20.0,76.46,ENE,No,12.2,NE,37.0,1002.4,24.0,1.0,86.18,52.0,1007.1
No,15.0,ESE,89.6,93.56,7.0,17.0,0.0,2009-01-30,AliceSprings,27.0,71.06,ESE,No,9.4,ESE,36.0,1000.9,37.0,2.0,84.38000000000001,69.0,1005.0
No,14.6,ENE,85.82,89.6,6.0,20.0,0.0,2009-01-31,AliceSprings,53.0,72.14,ENE,Yes,8.0,E,65.0,1002.5,17.0,6.0,77.18,72.0,1006.2
Yes,11.8,E,94.46000000000001,96.61999999999999,5.0,22.0,9.0,2009-02-01,AliceSprings,29.0,70.52,E,No,9.9,E,47.0,1003.1,20.0,3.0,83.12,46.0,1007.4
No,10.8,ESE,98.96000000000001,100.4,6.0,11.0,0.0,2009-02-02,AliceSprings,21.0,75.74000000000001,SE,No,9.8,E,37.0,1001.6,28.0,6.0,90.32,44.0,1005.6
No,12.6,ESE,101.84,102.74,3.0,6.0,0.0,2009-02-03,AliceSprings,13.0,74.84,ESE,No,12.3,NE,38.0,1001.0,28.0,1.0,90.14,57.0,1004.7
No,17.2,ESE,102.74,104.18,3.0,15.0,0.0,2009-02-04,AliceSprings,13.0,71.96,E,No,11.9,NE,28.0,1001.3,24.0,0.0,90.68,67.0,1004.6
No,15.8,ESE,102.38000000000001,105.44,3.0,13.0,0.0,2009-02-05,AliceSprings,15.0,77.36,ESE,No,9.9,NNW,25.0,1001.0,31.0,1.0,93.02,50.0,1004.2
No,14.8,E,105.26,106.34,5.0,15.0,0.0,2009-02-06,AliceSprings,11.0,78.98,E,No,9.9,WNW,27.0,999.0,30.0,2.0,94.28,70.0,1003.8
No,13.0,NE,102.02,102.74,1.0,15.0,0.0,2009-02-07,AliceSprings,11.0,72.5,ENE,No,12.6,NE,25.0,1000.6,19.0,0.0,91.4,48.0,1004.5
No,14.8,E,101.66,103.82,4.0,11.0,0.0,2009-02-08,AliceSprings,10.0,73.22,SE,No,12.6,ESE,21.0,1002.4,24.0,4.0,91.22,50.0,1004.9
No,18.6,SSE,97.34,97.88000000000001,2.0,26.0,0.0,2009-02-09,AliceSprings,17.0,75.02,SSE,No,11.9,SSE,30.0,1004.1,30.0,2.0,84.2,48.0,1007.9
No,20.0,SE,90.86,92.48,4.0,28.0,0.0,2009-02-10,AliceSprings,15.0,75.74000000000001,S,No,11.4,SSE,17.0,1007.5,35.0,6.0,78.98,52.0,1010.3
No,15.6,ESE,85.1,86.72,6.0,28.0,0.0,2009-02-11,AliceSprings,8.0,65.66,SE,No,10.3,ESE,17.0,1009.6,30.0,3.0,72.32,46.0,1013.3
No,15.2,SSE,86.72,86.9,5.0,22.0,0.0,2009-02-12,AliceSprings,5.0,56.84,E,No,11.2,E,15.0,1009.4,24.0,7.0,71.78,43.0,1013.1
No,11.2,SSE,86.36,87.98,1.0,19.0,0.0,2009-02-13,AliceSprings,4.0,53.24,ESE,No,12.7,E,17.0,1010.5,26.0,1.0,73.75999999999999,44.0,1013.9
No,14.0,S,88.7,89.78,1.0,11.0,0.0,2009-02-14,AliceSprings,5.0,51.8,S,No,12.5,E,11.0,1009.7,24.0,0.0,75.38,43.0,1013.0
No,12.0,ESE,89.24,89.78,0.0,20.0,0.0,2009-02-15,AliceSprings,16.0,54.14,SE,No,12.5,SSE,24.0,1008.0,24.0,0.0,79.16,43.0,1012.2
No,12.0,SE,89.96000000000001,91.94,3.0,13.0,0.0,2009-02-16,AliceSprings,12.0,60.980000000000004,SE,No,12.0,E,26.0,1006.0,28.0,2.0,79.88,54.0,1011.1
No,13.6,SW,94.1,97.16,3.0,9.0,0.0,2009-02-17,AliceSprings,9.0,60.980000000000004,SSE,No,12.5,N,17.0,1003.9,11.0,1.0,83.3,37.0,1007.9
No,12.8,NNW,94.64,95.9,4.0,20.0,0.0,2009-02-18,AliceSprings,13.0,63.86,SE,No,11.3,NE,27.0,1002.7,11.0,0.0,82.58,39.0,1007.5
No,12.8,SSW,97.16,98.06,1.0,17.0,0.0,2009-02-19,AliceSprings,11.0,69.8,SE,No,9.3,NE,23.0,1004.0,20.0,1.0,83.48,50.0,1007.6
No,16.8,SE,95.53999999999999,95.53999999999999,1.0,20.0,0.0,2009-02-20,AliceSprings,15.0,73.22,ESE,No,11.9,ESE,35.0,1008.3,24.0,1.0,80.06,41.0,1012.3
No,13.8,SSE,94.46000000000001,96.08000000000001,3.0,24.0,0.0,2009-02-21,AliceSprings,13.0,73.4,E,No,12.1,E,30.0,1008.2,28.0,3.0,81.86,46.0,1012.4
No,14.8,ESE,94.64,96.61999999999999,0.0,13.0,0.0,2009-02-22,AliceSprings,9.0,60.62,E,No,12.1,ESE,23.0,1006.0,17.0,0.0,80.06,37.0,1010.3
No,12.0,SE,98.24,99.86,1.0,15.0,0.0,2009-02-23,AliceSprings,8.0,65.84,SE,No,12.1,E,17.0,1006.7,26.0,0.0,85.82,54.0,1010.3
No,15.0,ESE,97.16,100.22,2.0,17.0,0.0,2009-02-24,AliceSprings,17.0,66.02,ESE,No,12.2,ESE,11.0,1006.0,17.0,0.0,88.16,37.0,1010.0
No,12.6,E,98.06,100.76,3.0,19.0,0.0,2009-02-25,AliceSprings,22.0,77.36,ENE,No,11.9,E,40.0,1005.7,28.0,0.0,88.34,50.0,1009.9
No,14.8,NE,95.0,102.74,5.0,22.0,0.0,2009-02-26,AliceSprings,26.0,79.16,ENE,No,11.5,NNE,44.0,1005.9,19.0,0.0,87.98,39.0,1010.3
No,15.4,E,98.78,101.66,7.0,22.0,0.0,2009-02-27,AliceSprings,18.0,82.75999999999999,N,No,9.9,NNW,38.0,1005.9,9.0,3.0,89.78,41.0,1010.2
No,13.0,NE,102.38000000000001,103.28,3.0,20.0,0.0,2009-02-28,AliceSprings,15.0,84.02,ENE,No,11.2,NW,25.0,1005.5,19.0,1.0,90.5,39.0,1009.6
No,17.4,NNE,101.3,104.0,2.0,33.0,0.0,2009-03-01,AliceSprings,17.0,84.91999999999999,NNW,No,11.9,NW,27.0,1005.3,15.0,0.0,90.5,50.0,1009.8
No,19.2,N,103.46000000000001,104.9,1.0,35.0,0.0,2009-03-02,AliceSprings,11.0,84.2,N,No,11.9,N,28.0,1004.6,28.0,1.0,90.68,52.0,1009.4
No,20.0,N,103.82,105.08000000000001,2.0,31.0,0.0,2009-03-03,AliceSprings,11.0,85.28,S,No,10.7,N,20.0,1007.6,13.0,1.0,93.74,69.0,1011.2
No,15.0,SE,78.8,80.42,7.0,30.0,0.0,2009-03-04,AliceSprings,15.0,67.64,SSE,No,6.5,SE,42.0,1017.9,28.0,3.0,70.16,54.0,1020.9
No,14.0,SE,83.3,84.74,1.0,28.0,0.0,2009-03-05,AliceSprings,14.0,66.02,SE,No,11.6,SE,24.0,1014.7,24.0,1.0,70.88,48.0,1020.3
No,10.8,SE,84.38000000000001,86.9,0.0,19.0,0.0,2009-03-06,AliceSprings,17.0,54.86,SE,No,11.9,ESE,29.0,1010.7,20.0,0.0,72.86,48.0,1015.6
No,11.2,SW,88.52,90.32,1.0,11.0,0.0,2009-03-07,AliceSprings,12.0,57.02,SE,No,11.8,ENE,27.0,1007.8,15.0,0.0,76.28,41.0,1012.5
No,10.6,SE,90.86,91.76,1.0,9.0,0.0,2009-03-08,AliceSprings,13.0,58.1,SSW,No,11.8,SSW,24.0,1006.8,15.0,0.0,77.0,33.0,1010.6
No,10.4,SSE,87.26,90.5,1.0,20.0,0.0,2009-03-09,AliceSprings,18.0,61.7,SE,No,11.5,SSE,37.0,1008.9,15.0,1.0,73.94,33.0,1013.4
No,10.6,ESE,92.11999999999999,94.46000000000001,3.0,17.0,0.0,2009-03-10,AliceSprings,15.0,62.6,E,No,10.3,ESE,28.0,1008.0,11.0,1.0,77.72,33.0,1012.7
No,12.0,NE,95.9,97.52,3.0,7.0,0.0,2009-03-11,AliceSprings,11.0,74.3,E,No,8.1,E,23.0,1006.7,20.0,5.0,81.14,48.0,1012.7
No,13.2,SSE,95.18,99.14,3.0,33.0,0.2,2009-03-12,AliceSprings,16.0,73.4,E,No,9.6,E,31.0,1008.1,7.0,5.0,80.06,48.0,1012.1
No,10.8,NNW,96.8,99.5,6.0,15.0,0.0,2009-03-13,AliceSprings,21.0,71.42,WSW,No,6.6,E,29.0,1007.3,15.0,1.0,84.38000000000001,50.0,1012.1
No,8.6,S,100.22,102.56,3.0,9.0,0.2,2009-03-14,AliceSprings,17.0,75.2,SE,No,9.6,N,36.0,1007.7,20.0,1.0,87.26,50.0,1012.1
No,16.0,ESE,88.7,91.03999999999999,0.0,24.0,0.0,2009-03-15,AliceSprings,17.0,75.02,ESE,No,11.4,SE,30.0,1012.0,22.0,2.0,79.16,43.0,1015.8
No,14.8,SSE,85.64,87.8,1.0,24.0,0.0,2009-03-16,AliceSprings,12.0,60.08,SE,No,11.6,ESE,25.0,1011.9,24.0,0.0,72.14,48.0,1016.5
No,11.0,SE,83.84,85.46000000000001,0.0,17.0,0.0,2009-03-17,AliceSprings,17.0,55.04,SSE,No,11.6,E,27.0,1010.8,26.0,0.0,72.86,41.0,1015.1
No,11.0,S,88.7,90.5,0.0,13.0,0.0,2009-03-18,AliceSprings,11.0,54.5,SSE,No,11.7,E,27.0,1009.1,11.0,0.0,75.2,30.0,1013.5
No,9.2,ESE,92.84,93.74,1.0,2.0,0.0,2009-03-19,AliceSprings,7.0,56.120000000000005,ESE,No,11.7,ENE,22.0,1008.8,26.0,0.0,78.62,41.0,1013.2
No,11.6,ESE,95.0,96.98,1.0,0.0,0.0,2009-03-20,AliceSprings,9.0,59.18,ESE,No,11.6,,14.0,1008.7,19.0,1.0,80.06,35.0,1012.9
No,11.8,E,99.5,100.22,1.0,15.0,0.0,2009-03-21,AliceSprings,5.0,61.16,E,No,11.6,NE,17.0,1007.5,22.0,1.0,87.08000000000001,39.0,1011.9
No,12.0,NE,99.32,100.76,1.0,7.0,0.0,2009-03-22,AliceSprings,6.0,65.3,ESE,No,11.6,ENE,13.0,1008.2,15.0,1.0,85.82,39.0,1011.5
No,12.0,ENE,100.58000000000001,101.84,2.0,11.0,0.0,2009-03-23,AliceSprings,6.0,66.02,NNE,No,10.5,SE,18.0,1007.6,24.0,4.0,81.5,44.0,1012.6
No,14.2,NW,93.38000000000001,97.7,6.0,28.0,0.0,2009-03-24,AliceSprings,22.0,81.32,S,No,6.3,S,22.0,1009.0,9.0,1.0,86.9,43.0,1012.9
No,10.2,WNW,98.6,102.02,3.0,24.0,0.0,2009-03-25,AliceSprings,17.0,78.25999999999999,S,No,8.6,N,22.0,1009.5,9.0,1.0,89.06,76.0,1013.0
No,11.2,E,97.34,99.14,1.0,2.0,0.0,2009-03-26,AliceSprings,16.0,71.42,SE,No,11.4,S,24.0,1013.4,9.0,0.0,83.66,50.0,1017.1
No,13.0,ESE,93.56,94.82,1.0,20.0,0.0,2009-03-27,AliceSprings,16.0,72.32,ESE,No,11.4,SE,29.0,1014.6,22.0,1.0,79.7,39.0,1019.3
No,12.0,E,92.66,94.64,1.0,19.0,0.0,2009-03-28,AliceSprings,17.0,67.1,ESE,No,10.7,E,26.0,1012.2,26.0,0.0,80.6,37.0,1017.2
No,10.4,WSW,93.56,96.8,1.0,11.0,0.0,2009-03-29,AliceSprings,15.0,63.86,ESE,No,11.1,E,20.0,1010.4,9.0,0.0,81.32,41.0,1014.5
No,10.6,E,95.9,97.7,1.0,0.0,0.0,2009-03-30,AliceSprings,11.0,62.6,S,No,11.2,,17.0,1009.3,11.0,0.0,81.14,35.0,1013.5
No,11.0,S,96.98,97.34,1.0,13.0,0.0,2009-03-31,AliceSprings,11.0,63.5,ENE,No,,ENE,13.0,1008.9,17.0,0.0,82.75999999999999,31.0,1014.0
No,,SSW,94.46000000000001,95.72,,7.0,0.0,2009-04-01,AliceSprings,8.0,62.059999999999995,SW,No,,NE,17.0,1010.9,15.0,,80.42,37.0,1014.8
No,23.2,ESE,93.38000000000001,94.28,1.0,9.0,0.0,2009-04-02,AliceSprings,8.0,58.28,SSE,No,,ENE,21.0,1012.8,28.0,1.0,78.25999999999999,43.0,1016.6
No,11.0,SSE,92.11999999999999,92.84,,4.0,0.0,2009-04-03,AliceSprings,8.0,59.18,SE,No,10.9,WSW,23.0,1014.8,30.0,1.0,77.9,50.0,1018.1
No,14.6,SE,81.86,82.22,,28.0,0.0,2009-04-04,AliceSprings,21.0,60.440000000000005,SE,No,10.2,SE,26.0,1018.0,22.0,0.0,69.08,43.0,1023.0
No,10.6,SSE,78.25999999999999,79.34,1.0,26.0,0.0,2009-04-05,AliceSprings,14.0,51.08,SSE,No,10.9,SE,34.0,1016.9,24.0,1.0,65.12,44.0,1021.8
No,10.4,SE,76.28,77.36,6.0,30.0,0.0,2009-04-06,AliceSprings,14.0,51.26,ESE,No,10.6,SE,36.0,1017.1,28.0,5.0,64.22,50.0,1021.0
No,11.4,SE,71.78,73.75999999999999,8.0,31.0,0.0,2009-04-07,AliceSprings,20.0,57.56,ESE,No,5.6,ESE,35.0,1018.9,20.0,6.0,64.4,48.0,1022.2
No,9.6,SSE,76.82,77.54,6.0,17.0,0.0,2009-04-08,AliceSprings,13.0,54.68,ESE,No,4.0,E,20.0,1017.1,19.0,8.0,62.059999999999995,33.0,1021.5
No,7.4,SE,82.75999999999999,84.2,0.0,4.0,0.0,2009-04-09,AliceSprings,11.0,48.74,E,No,11.0,SSW,21.0,1014.1,9.0,1.0,66.92,28.0,1018.8
No,7.0,SSE,84.2,85.46000000000001,6.0,2.0,0.0,2009-04-10,AliceSprings,10.0,53.42,,No,8.9,NNE,21.0,1013.9,13.0,4.0,70.16,,1017.2
No,7.6,ESE,85.82,86.9,7.0,13.0,0.0,2009-04-11,AliceSprings,15.0,54.14,E,No,9.4,ESE,30.0,1014.5,15.0,2.0,71.24000000000001,35.0,1018.4
No,7.6,ESE,84.74,87.44,5.0,6.0,0.0,2009-04-12,AliceSprings,11.0,59.9,SE,No,9.8,ENE,27.0,1014.5,19.0,3.0,74.12,44.0,1017.8
No,10.0,SE,86.9,88.16,1.0,0.0,0.0,2009-04-13,AliceSprings,15.0,52.7,SSE,No,11.5,,20.0,1012.6,30.0,1.0,73.58,48.0,1016.9
No,9.4,SE,89.24,90.14,1.0,0.0,0.0,2009-04-14,AliceSprings,13.0,56.120000000000005,E,No,11.3,,31.0,1011.7,20.0,1.0,74.48,39.0,1015.4
No,8.6,ESE,92.11999999999999,93.02,1.0,0.0,0.0,2009-04-15,AliceSprings,15.0,58.64,ESE,No,10.5,,30.0,1010.8,7.0,2.0,78.44,33.0,1015.0
No,9.0,ENE,82.75999999999999,84.02,7.0,17.0,0.0,2009-04-16,AliceSprings,22.0,67.28,ESE,No,2.5,SSE,26.0,1013.1,9.0,7.0,75.56,41.0,1016.0
No,8.0,ESE,81.14,82.58,8.0,20.0,0.0,2009-04-17,AliceSprings,26.0,66.02,E,No,3.2,E,31.0,1014.1,19.0,7.0,71.78,44.0,1016.6
No,8.4,ESE,85.28,86.0,2.0,26.0,0.0,2009-04-18,AliceSprings,20.0,68.18,ESE,No,9.5,ESE,40.0,1015.1,17.0,5.0,73.75999999999999,41.0,1018.6
No,8.0,E,84.02,84.56,3.0,19.0,0.0,2009-04-19,AliceSprings,15.0,53.6,E,No,11.0,E,24.0,1012.8,13.0,3.0,70.52,37.0,1017.5
No,8.4,SSE,80.24000000000001,83.84,5.0,9.0,0.0,2009-04-20,AliceSprings,19.0,64.22,E,No,7.1,E,28.0,1011.0,9.0,7.0,68.18,30.0,1015.9
No,6.0,S,86.9,88.16,3.0,2.0,0.0,2009-04-21,AliceSprings,17.0,54.32,ENE,No,10.9,NW,26.0,1010.7,15.0,2.0,73.4,28.0,1014.2
