Wind Speed 3 pm,Temp 9 am F,Wind Gust Dir,Pressure 9 am,Humidity 3 pm,Humidity 9 am,Wind Dir 3 pm,Rainfall,Rain Tomorrow,Cloud 9 am,Max Temp F,Wind Speed 9 am,Temp 3 pm F,Date,Cloud 3 pm,Rain Today,Location,Pressure 3 pm,Wind Gust Speed,Wind Dir 9 am,Min Temp F,Sunshine,Evaporation
13.0,44.42,S,1024.2,88.0,73.0,SSW,1.2,No,7.0,50.0,19.0,45.86,2008-07-28,7.0,Yes,Hobart,1024.1,39.0,S,40.64,1.3,1.0
15.0,43.7,N,1024.0,47.0,82.0,NNW,1.0,No,6.0,52.7,15.0,51.26,2008-07-29,2.0,No,Hobart,1019.4,28.0,NNW,41.72,2.4,0.6
15.0,34.16,NW,1017.6,48.0,93.0,NNW,0.0,No,5.0,51.98,15.0,51.08,2008-07-30,1.0,No,Hobart,1013.5,28.0,N,32.54,8.3,0.0
19.0,41.54,NW,1008.9,54.0,73.0,NNW,0.0,No,7.0,57.379999999999995,28.0,56.120000000000005,2008-07-31,5.0,No,Hobart,1003.8,35.0,NNW,33.98,8.3,0.6
2.0,44.06,WSW,993.8,68.0,85.0,ESE,1.0,No,4.0,55.58,20.0,52.52,2008-08-01,6.0,No,Hobart,991.7,33.0,NNW,40.82,4.8,1.0
31.0,47.120000000000005,WSW,1004.5,55.0,69.0,WSW,0.0,No,6.0,53.6,13.0,51.44,2008-08-02,5.0,No,Hobart,1006.2,57.0,NNE,43.519999999999996,3.9,0.4
13.0,46.04,NNW,1014.5,52.0,71.0,ESE,0.0,No,1.0,59.36,17.0,54.68,2008-08-03,1.0,No,Hobart,1013.0,33.0,NW,40.46,9.3,1.8
7.0,43.879999999999995,NNW,1017.7,41.0,74.0,NNW,0.0,No,1.0,60.62,19.0,59.0,2008-08-04,1.0,No,Hobart,1017.4,35.0,NNW,40.46,9.3,2.2
15.0,46.22,NNW,1021.8,43.0,74.0,NNW,0.0,No,2.0,61.16,17.0,60.8,2008-08-05,2.0,No,Hobart,1020.0,35.0,NNW,40.1,8.6,1.4
9.0,45.68,NNW,1018.9,50.0,72.0,ESE,0.0,No,5.0,57.74,17.0,55.22,2008-08-06,5.0,No,Hobart,1017.6,28.0,NNW,38.660000000000004,8.5,1.6
15.0,48.2,SE,1020.5,63.0,76.0,SE,0.0,No,5.0,55.22,0.0,53.96,2008-08-07,3.0,No,Hobart,1019.2,20.0,,43.879999999999995,8.4,1.2
9.0,44.96,NNW,1019.0,70.0,84.0,ENE,0.0,No,7.0,55.76,13.0,53.06,2008-08-08,6.0,No,Hobart,1015.6,24.0,NNW,42.980000000000004,2.2,1.4
17.0,44.78,NNW,1015.7,51.0,70.0,SE,0.4,No,1.0,55.58,17.0,51.620000000000005,2008-08-09,2.0,No,Hobart,1013.3,28.0,NNW,39.02,8.6,0.8
9.0,38.12,NNW,1012.4,66.0,85.0,SE,0.0,No,6.0,50.72,7.0,49.82,2008-08-10,7.0,No,Hobart,1011.8,22.0,NNW,35.24,2.1,2.0
9.0,40.46,NNW,1014.9,53.0,78.0,E,0.0,No,1.0,54.86,19.0,50.9,2008-08-11,5.0,No,Hobart,1012.5,50.0,NNW,35.06,9.1,0.6
28.0,46.76,WSW,1006.1,46.0,71.0,W,0.4,Yes,8.0,53.42,19.0,46.94,2008-08-12,3.0,No,Hobart,1004.7,63.0,N,40.28,5.1,1.8
31.0,44.6,W,1012.0,44.0,62.0,W,3.0,Yes,7.0,51.98,22.0,50.9,2008-08-13,7.0,Yes,Hobart,1009.4,78.0,NW,35.6,3.6,2.4
26.0,47.3,SW,1009.0,73.0,77.0,WSW,15.0,Yes,7.0,51.98,20.0,47.84,2008-08-14,7.0,Yes,Hobart,1007.7,57.0,SW,43.879999999999995,5.0,3.2
15.0,43.7,SW,1011.2,63.0,78.0,S,1.8,Yes,4.0,49.1,7.0,47.3,2008-08-15,6.0,Yes,Hobart,1010.2,44.0,SSE,41.72,6.6,2.0
22.0,42.980000000000004,SW,1013.7,65.0,67.0,S,5.6,Yes,8.0,50.0,26.0,48.379999999999995,2008-08-16,6.0,Yes,Hobart,1015.7,61.0,SSW,39.74,5.6,3.8
17.0,45.86,WSW,1021.9,84.0,73.0,S,3.2,No,2.0,54.14,9.0,46.94,2008-08-17,6.0,Yes,Hobart,1020.8,33.0,NW,41.0,5.8,0.2
22.0,43.519999999999996,N,1020.8,48.0,71.0,NNW,1.0,No,2.0,56.3,11.0,53.6,2008-08-18,4.0,No,Hobart,1018.2,56.0,N,34.16,8.3,0.2
43.0,55.76,NNW,1012.3,35.0,51.0,NNW,0.0,No,7.0,62.959999999999994,24.0,59.72,2008-08-19,4.0,No,Hobart,1005.6,91.0,NNW,43.16,5.1,1.0
13.0,46.58,NNW,1015.1,36.0,70.0,WNW,0.8,No,1.0,55.58,11.0,54.86,2008-08-20,4.0,No,Hobart,1011.7,39.0,NNW,39.74,8.6,2.8
20.0,49.82,S,1012.9,61.0,56.0,S,0.2,Yes,1.0,52.879999999999995,13.0,45.5,2008-08-21,6.0,No,Hobart,1015.9,54.0,NNW,41.9,7.2,2.0
13.0,41.72,NNW,1025.5,40.0,66.0,WSW,5.2,No,1.0,54.86,15.0,53.24,2008-08-22,2.0,Yes,Hobart,1023.4,28.0,NNW,34.52,9.5,2.2
4.0,47.84,WSW,1025.1,57.0,65.0,NNE,0.0,No,2.0,57.2,13.0,55.4,2008-08-23,6.0,No,Hobart,1023.8,50.0,NNW,37.94,8.7,2.4
9.0,49.82,NNW,1026.5,45.0,63.0,E,0.0,No,2.0,59.9,17.0,56.120000000000005,2008-08-24,5.0,No,Hobart,1024.7,33.0,NNW,39.2,,2.4
15.0,47.48,WNW,1023.4,41.0,64.0,WSW,0.0,No,1.0,59.9,15.0,59.540000000000006,2008-08-25,1.0,No,Hobart,1018.4,35.0,NNW,38.48,8.8,2.4
11.0,47.66,SSW,1014.0,51.0,61.0,NW,0.0,No,8.0,56.84,15.0,56.120000000000005,2008-08-26,8.0,No,Hobart,1012.4,37.0,NNW,43.519999999999996,0.1,2.0
13.0,50.72,NNW,1024.3,48.0,64.0,S,0.0,No,5.0,61.16,11.0,58.64,2008-08-27,6.0,No,Hobart,1024.2,26.0,NNW,41.36,6.9,1.0
13.0,48.92,ESE,1029.7,53.0,70.0,SE,0.0,No,1.0,56.84,11.0,56.3,2008-08-28,1.0,No,Hobart,1027.5,22.0,N,39.2,10.6,1.4
11.0,47.66,NNW,1026.1,49.0,73.0,E,0.0,No,0.0,61.88,20.0,58.64,2008-08-29,3.0,No,Hobart,1022.0,31.0,NNW,41.18,8.0,1.6
22.0,48.56,NNW,1018.4,43.0,74.0,NNW,0.0,No,7.0,63.5,19.0,61.88,2008-08-30,7.0,No,Hobart,1011.2,52.0,NNW,41.18,4.4,2.2
15.0,56.48,WNW,997.1,40.0,66.0,WNW,1.0,No,7.0,67.1,15.0,60.62,2008-08-31,6.0,No,Hobart,997.2,54.0,NNW,48.2,5.9,2.4
28.0,50.54,NW,1004.8,48.0,48.0,NW,0.0,Yes,7.0,56.66,35.0,55.94,2008-09-01,2.0,No,Hobart,1006.2,63.0,NNW,45.14,5.7,3.4
28.0,47.3,NNW,1013.5,32.0,70.0,SW,1.6,No,3.0,54.68,31.0,49.82,2008-09-02,3.0,Yes,Hobart,1021.7,74.0,N,45.14,8.9,3.4
13.0,46.4,NNW,1036.7,47.0,60.0,ESE,0.0,No,1.0,57.2,15.0,51.620000000000005,2008-09-03,4.0,No,Hobart,1036.2,33.0,N,36.32,10.2,3.2
9.0,44.42,NNW,1037.5,32.0,66.0,NNW,0.0,No,0.0,59.72,17.0,59.0,2008-09-04,1.0,No,Hobart,1032.9,31.0,NNW,35.96,10.6,1.8
15.0,48.74,NW,1027.1,36.0,55.0,NNW,0.0,No,1.0,62.959999999999994,15.0,59.540000000000006,2008-09-05,2.0,No,Hobart,1021.7,39.0,N,40.28,7.5,1.6
19.0,51.620000000000005,NW,1020.6,28.0,57.0,WNW,0.0,No,1.0,66.56,17.0,66.02,2008-09-06,5.0,No,Hobart,1016.0,37.0,NNW,42.8,9.9,2.2
11.0,51.620000000000005,NW,1012.7,60.0,68.0,SW,0.0,No,7.0,60.980000000000004,7.0,51.26,2008-09-07,7.0,No,Hobart,1012.8,50.0,NNE,48.74,2.9,2.8
20.0,45.32,SSW,1023.2,58.0,58.0,SSE,0.4,No,6.0,51.08,19.0,48.379999999999995,2008-09-08,7.0,No,Hobart,1024.0,52.0,SSW,40.64,8.2,1.8
9.0,50.54,SSW,1025.7,52.0,46.0,E,0.8,No,2.0,53.78,7.0,50.9,2008-09-09,5.0,No,Hobart,1023.0,31.0,S,38.12,8.4,2.0
13.0,50.18,SSW,1019.3,48.0,66.0,NNW,0.0,No,3.0,60.980000000000004,17.0,59.0,2008-09-10,7.0,No,Hobart,1015.6,28.0,NNW,39.56,6.8,2.4
20.0,50.54,NNW,1010.8,43.0,51.0,NNE,0.8,No,5.0,68.0,28.0,64.75999999999999,2008-09-11,4.0,No,Hobart,1005.9,52.0,N,42.44,10.4,2.4
39.0,53.06,NW,999.7,43.0,75.0,NNW,0.8,Yes,7.0,66.02,15.0,65.12,2008-09-12,7.0,No,Hobart,993.7,87.0,NNW,50.36,5.4,3.6
54.0,59.72,NW,997.8,38.0,50.0,NW,2.2,No,7.0,69.8,33.0,68.0,2008-09-13,,Yes,Hobart,995.4,93.0,NW,51.620000000000005,,5.4
31.0,67.1,NNW,986.3,46.0,44.0,NW,0.0,No,7.0,68.0,43.0,58.82,2008-09-14,,No,Hobart,989.3,87.0,NNW,55.04,9.3,5.4
39.0,58.459999999999994,NNW,988.0,31.0,48.0,NNW,0.4,Yes,6.0,60.8,43.0,59.9,2008-09-15,3.0,No,Hobart,984.0,83.0,NNW,45.5,8.1,6.4
13.0,46.4,SW,1004.5,60.0,60.0,WSW,1.4,No,5.0,51.98,15.0,47.120000000000005,2008-09-16,5.0,Yes,Hobart,1012.6,59.0,WNW,45.32,8.9,5.2
17.0,50.0,NW,1021.9,37.0,55.0,NNW,0.2,No,7.0,62.24,20.0,61.7,2008-09-17,6.0,No,Hobart,1018.1,43.0,NNW,37.94,9.3,3.2
20.0,54.14,,1014.4,42.0,49.0,NNE,0.0,No,2.0,65.66,15.0,63.68,2008-09-18,6.0,No,Hobart,1007.9,,NNW,41.0,9.1,3.8
22.0,60.26,NW,1001.8,36.0,42.0,N,0.0,No,3.0,70.52,20.0,68.54,2008-09-19,5.0,No,Hobart,996.7,67.0,N,50.0,8.4,4.4
31.0,51.26,WNW,995.5,48.0,52.0,NNW,0.0,Yes,8.0,59.540000000000006,19.0,53.6,2008-09-20,2.0,No,Hobart,994.8,85.0,N,43.7,5.3,6.6
50.0,53.6,NW,1003.6,36.0,51.0,NW,10.8,No,5.0,63.5,39.0,62.6,2008-09-21,6.0,Yes,Hobart,998.3,98.0,NW,42.44,11.1,2.8
7.0,60.62,NW,992.1,88.0,50.0,SSE,0.0,Yes,8.0,61.7,37.0,48.02,2008-09-22,8.0,No,Hobart,994.7,80.0,NNW,53.24,7.4,7.4
22.0,51.98,W,1003.4,38.0,39.0,W,1.2,No,1.0,57.92,22.0,55.04,2008-09-23,5.0,Yes,Hobart,1007.7,70.0,WNW,42.44,9.5,3.2
20.0,52.7,NW,1022.5,39.0,58.0,WNW,0.2,No,7.0,62.24,22.0,59.9,2008-09-24,7.0,No,Hobart,1021.9,54.0,NW,45.68,6.1,2.0
39.0,57.2,,1019.9,18.0,36.0,NW,0.0,No,4.0,72.68,37.0,71.42,2008-09-25,2.0,No,Hobart,1012.5,,NW,48.56,10.0,3.6
24.0,64.58,WNW,1005.2,62.0,42.0,NW,0.0,Yes,8.0,64.75999999999999,41.0,53.42,2008-09-26,7.0,No,Hobart,1007.7,106.0,NW,57.2,1.5,8.8
20.0,50.54,NNW,1015.6,39.0,57.0,WNW,3.0,No,6.0,60.8,17.0,58.64,2008-09-27,5.0,Yes,Hobart,1010.1,39.0,NNW,44.06,5.8,2.6
31.0,53.78,W,1003.0,45.0,53.0,NW,0.0,Yes,7.0,62.42,17.0,61.16,2008-09-28,7.0,No,Hobart,996.8,72.0,WNW,47.66,5.5,3.0
20.0,51.26,N,1012.1,40.0,38.0,NW,2.2,No,3.0,57.2,17.0,53.6,2008-09-29,6.0,Yes,Hobart,1011.9,48.0,W,41.0,9.6,3.4
31.0,55.76,NNW,1010.0,36.0,44.0,NW,0.8,No,3.0,61.88,26.0,60.62,2008-09-30,3.0,No,Hobart,1010.7,56.0,NNW,45.32,10.4,2.4
28.0,59.72,NW,1011.9,34.0,47.0,WNW,0.0,Yes,4.0,71.42,31.0,64.04,2008-10-01,7.0,No,Hobart,1007.0,57.0,NW,49.1,4.8,7.8
11.0,64.04,NW,1002.9,34.0,48.0,NW,1.2,No,5.0,69.62,22.0,68.72,2008-10-02,1.0,Yes,Hobart,1004.7,59.0,NNW,51.620000000000005,9.5,2.2
31.0,53.06,WNW,1003.7,47.0,82.0,NNW,0.0,Yes,7.0,60.62,9.0,58.1,2008-10-03,6.0,No,Hobart,1002.9,50.0,SSE,51.620000000000005,4.5,5.4
33.0,53.42,NW,1012.2,49.0,48.0,NW,2.0,No,2.0,61.88,24.0,57.379999999999995,2008-10-04,5.0,Yes,Hobart,1010.7,48.0,NW,44.42,11.6,5.4
35.0,57.56,NW,1010.5,33.0,47.0,NW,0.0,No,3.0,65.48,19.0,64.58,2008-10-05,7.0,No,Hobart,1006.3,70.0,NNW,48.56,9.0,6.0
26.0,51.8,SSW,1003.7,55.0,47.0,SSW,0.2,Yes,1.0,57.379999999999995,20.0,51.26,2008-10-06,7.0,No,Hobart,1007.2,61.0,SSW,45.32,9.1,5.0
28.0,53.24,WNW,1002.2,34.0,51.0,W,2.8,No,7.0,58.64,24.0,57.2,2008-10-07,6.0,Yes,Hobart,1003.8,87.0,WNW,42.08,8.5,3.6
19.0,50.0,SW,1011.9,57.0,52.0,NNW,0.0,No,7.0,58.64,13.0,54.86,2008-10-08,7.0,No,Hobart,1011.7,59.0,NW,45.68,,6.2
30.0,55.04,NNW,1016.7,30.0,54.0,NNW,0.2,No,6.0,70.88,30.0,69.44,2008-10-09,7.0,No,Hobart,1016.4,74.0,NW,48.56,9.6,3.6
24.0,60.08,NNW,1021.2,42.0,52.0,NW,0.0,No,7.0,67.82,22.0,65.66,2008-10-10,6.0,No,Hobart,1021.2,46.0,NNW,51.620000000000005,4.6,5.2
22.0,57.56,NNW,1024.3,46.0,64.0,SE,0.0,No,1.0,72.68,9.0,66.2,2008-10-11,6.0,No,Hobart,1019.8,33.0,N,50.18,9.3,3.4
19.0,53.06,NNW,1016.2,43.0,76.0,ESE,0.0,No,7.0,71.78,4.0,66.56,2008-10-12,6.0,No,Hobart,1011.8,39.0,ENE,48.74,6.9,5.8
24.0,60.26,NW,1003.8,35.0,35.0,WNW,0.6,No,2.0,62.42,37.0,58.28,2008-10-13,6.0,No,Hobart,1010.4,87.0,WNW,52.7,9.0,6.0
20.0,50.0,N,1019.3,31.0,53.0,NW,0.0,No,8.0,64.22,24.0,61.34,2008-10-14,7.0,No,Hobart,1016.9,50.0,NNW,46.22,6.6,6.8
19.0,57.379999999999995,W,1016.3,35.0,42.0,WSW,0.2,No,2.0,62.78,24.0,60.08,2008-10-15,4.0,No,Hobart,1018.3,59.0,W,48.74,,5.0
20.0,55.94,S,1020.9,43.0,56.0,ESE,0.0,No,1.0,66.2,17.0,64.4,2008-10-16,3.0,No,Hobart,1017.7,33.0,N,43.879999999999995,10.8,5.2
30.0,53.96,S,1019.3,55.0,65.0,S,0.0,No,7.0,66.74000000000001,2.0,60.62,2008-10-17,5.0,No,Hobart,1020.3,41.0,WSW,48.74,7.9,3.8
11.0,52.52,NNW,1019.3,39.0,84.0,ENE,0.4,No,8.0,79.16,17.0,74.66,2008-10-18,4.0,No,Hobart,1013.0,44.0,NNW,51.98,7.8,5.0
30.0,56.84,SSW,1015.1,20.0,61.0,WSW,0.0,No,7.0,66.02,22.0,63.68,2008-10-19,2.0,No,Hobart,1017.3,50.0,SW,52.52,10.2,4.0
22.0,53.96,,1025.1,47.0,47.0,ESE,0.0,No,1.0,61.519999999999996,11.0,56.48,2008-10-20,4.0,No,Hobart,1023.7,,N,42.44,11.3,7.2
19.0,52.34,,1020.7,77.0,47.0,WSW,0.0,Yes,6.0,57.379999999999995,30.0,47.120000000000005,2008-10-21,6.0,No,Hobart,1020.8,,NNW,41.9,9.3,6.6
26.0,44.42,SSW,1031.9,50.0,66.0,SE,11.8,No,8.0,51.98,17.0,50.54,2008-10-22,7.0,Yes,Hobart,1032.2,48.0,S,40.64,4.7,4.0
17.0,48.74,SE,1028.6,36.0,59.0,SE,0.0,No,0.0,64.4,15.0,62.6,2008-10-23,7.0,No,Hobart,1023.3,33.0,NNW,35.78,8.5,2.6
13.0,58.28,NW,1017.1,36.0,36.0,NW,0.0,No,8.0,65.12,20.0,63.68,2008-10-24,8.0,No,Hobart,1014.7,37.0,NW,48.2,1.0,4.2
17.0,58.1,NNW,1013.8,62.0,64.0,SE,0.2,No,7.0,76.1,13.0,63.68,2008-10-25,8.0,No,Hobart,1008.4,57.0,NNW,47.3,5.8,4.0
17.0,76.1,N,1004.9,67.0,31.0,ESE,0.0,No,1.0,78.8,20.0,62.42,2008-10-26,8.0,No,Hobart,1007.2,57.0,NNW,58.1,9.0,4.6
17.0,69.62,ESE,1002.3,49.0,48.0,E,0.0,No,8.0,87.08000000000001,24.0,69.98,2008-10-27,7.0,No,Hobart,1000.1,44.0,NNW,53.6,6.2,6.4
19.0,54.68,,1017.4,40.0,63.0,SE,0.0,No,7.0,62.6,9.0,60.26,2008-10-28,3.0,No,Hobart,1019.6,,S,52.34,8.5,3.6
22.0,52.7,,1027.3,46.0,50.0,SE,0.0,No,1.0,62.059999999999995,15.0,60.62,2008-10-29,1.0,No,Hobart,1022.8,,NNW,40.64,13.0,4.4
6.0,55.04,NNW,1016.9,50.0,64.0,E,0.0,No,7.0,69.08,13.0,65.84,2008-10-30,7.0,No,Hobart,1008.7,30.0,NNW,46.76,3.5,6.8
20.0,56.120000000000005,S,1002.7,55.0,92.0,S,0.0,No,8.0,60.26,19.0,58.82,2008-10-31,5.0,No,Hobart,1008.3,52.0,S,54.68,6.6,2.6
26.0,57.2,SE,1023.3,59.0,51.0,SE,0.6,No,1.0,61.519999999999996,7.0,59.18,2008-11-01,1.0,No,Hobart,1023.8,37.0,NNE,43.879999999999995,13.0,3.4
20.0,58.64,SSW,1021.2,57.0,64.0,SSE,0.0,No,1.0,66.74000000000001,9.0,63.14,2008-11-02,5.0,No,Hobart,1016.0,39.0,N,46.76,11.1,5.2
31.0,54.32,S,1010.1,55.0,77.0,S,0.0,Yes,7.0,59.36,20.0,57.2,2008-11-03,3.0,No,Hobart,1010.4,56.0,S,53.06,4.6,4.2
22.0,50.18,SSW,1019.5,35.0,46.0,SW,2.8,No,2.0,61.7,17.0,60.08,2008-11-04,2.0,Yes,Hobart,1016.4,56.0,SW,40.82,10.8,6.8
17.0,51.44,SW,1013.2,44.0,48.0,SE,0.0,No,6.0,59.0,13.0,57.56,2008-11-05,7.0,No,Hobart,1008.9,35.0,NNW,39.74,11.9,3.2
20.0,52.34,SSW,1006.5,91.0,72.0,SSW,0.2,Yes,7.0,59.36,7.0,54.14,2008-11-06,7.0,No,Hobart,1005.6,31.0,SE,49.28,5.0,5.2
22.0,57.2,N,1008.9,39.0,68.0,NNE,6.2,Yes,7.0,69.25999999999999,15.0,65.84,2008-11-07,8.0,Yes,Hobart,1002.5,48.0,NNW,46.4,4.9,2.2
26.0,61.16,WSW,984.6,45.0,49.0,W,9.2,No,6.0,65.48,35.0,61.88,2008-11-08,7.0,Yes,Hobart,991.6,91.0,NW,53.96,9.5,4.2
31.0,60.980000000000004,NW,1007.4,40.0,53.0,NW,0.4,No,3.0,72.32,35.0,69.98,2008-11-09,6.0,No,Hobart,1009.0,69.0,NNW,53.24,11.7,7.0
31.0,63.5,W,1015.5,32.0,54.0,NW,0.0,No,7.0,74.3,13.0,71.96,2008-11-10,6.0,No,Hobart,1016.2,56.0,N,56.66,9.5,7.8
13.0,57.2,S,1019.6,41.0,64.0,S,0.0,No,8.0,80.24000000000001,17.0,74.84,2008-11-11,7.0,No,Hobart,1012.6,54.0,NNW,47.66,6.9,7.0
24.0,55.58,NW,1017.6,61.0,81.0,SE,0.6,No,8.0,65.12,19.0,58.64,2008-11-12,8.0,No,Hobart,1018.0,41.0,SE,54.86,1.5,5.8
39.0,65.12,NNW,1008.9,22.0,60.0,NNW,0.0,No,7.0,86.9,26.0,84.2,2008-11-13,7.0,No,Hobart,1001.8,89.0,NW,53.96,6.3,1.6
17.0,64.58,WNW,1005.0,60.0,48.0,SE,0.0,No,3.0,65.66,19.0,62.24,2008-11-14,4.0,No,Hobart,1005.2,50.0,NNE,55.4,9.1,9.2
33.0,54.5,NW,1006.7,35.0,43.0,NW,0.2,Yes,2.0,65.12,33.0,61.88,2008-11-15,5.0,No,Hobart,1001.3,70.0,NW,47.3,11.4,4.8
17.0,49.64,SW,1015.1,39.0,51.0,WSW,5.6,No,3.0,60.62,33.0,57.74,2008-11-16,6.0,Yes,Hobart,1016.5,57.0,WSW,41.18,13.0,7.4
24.0,56.84,NNW,1017.7,77.0,52.0,SE,0.0,No,5.0,63.32,24.0,55.58,2008-11-17,7.0,No,Hobart,1017.0,41.0,NW,44.6,7.4,6.6
30.0,58.1,ESE,1014.8,64.0,69.0,SE,0.0,No,1.0,66.38,11.0,60.440000000000005,2008-11-18,1.0,No,Hobart,1013.8,43.0,SE,48.56,11.1,3.2
17.0,57.02,ESE,1017.1,77.0,72.0,ESE,0.0,Yes,8.0,62.24,4.0,61.519999999999996,2008-11-19,7.0,No,Hobart,1013.5,28.0,N,53.06,1.5,6.0
26.0,59.0,SW,1001.2,91.0,97.0,S,6.6,Yes,8.0,61.88,9.0,59.540000000000006,2008-11-20,8.0,Yes,Hobart,993.4,61.0,S,57.02,0.5,2.8
22.0,57.74,SW,994.4,88.0,51.0,SW,6.8,Yes,2.0,66.38,17.0,53.24,2008-11-21,8.0,Yes,Hobart,991.5,48.0,NNE,46.22,6.3,3.4
