WindGustDir,Cloud9am,Temp9amC,RainToday,Sunshine,Pressure3pm,WindSpeed3pm,WindDir9am,WindGustSpeed,RainTomorrow,Cloud3pm,WindSpeed9am,Date,MinTempC,Location,Evaporation,MaxTempC,WindDir3pm,Rainfall,Humidity9am,Temp3pmC,Humidity3pm,Pressure9am
NE,1.0,24.7,No,10.8,1015.9,35.0,NNE,54.0,No,2.0,15.0,2009-03-24,20.0,SydneyAirport,5.8,28.2,NE,0.0,63.0,27.7,53.0,1018.1
NNE,6.0,23.7,No,8.0,1017.0,31.0,NE,50.0,Yes,6.0,9.0,2009-03-25,21.2,SydneyAirport,7.0,29.1,NE,0.0,66.0,28.0,52.0,1019.6
SSW,6.0,24.3,Yes,7.6,1016.2,19.0,N,56.0,No,7.0,9.0,2009-03-26,20.4,SydneyAirport,5.2,30.9,NE,3.8,67.0,28.4,52.0,1019.5
S,7.0,20.6,No,4.8,1023.9,24.0,SSE,56.0,No,7.0,26.0,2009-03-27,19.6,SydneyAirport,5.8,22.4,SSE,0.8,76.0,21.7,61.0,1024.0
E,2.0,20.0,No,10.8,1022.9,26.0,NW,35.0,No,1.0,7.0,2009-03-28,16.5,SydneyAirport,4.4,24.9,E,0.4,73.0,24.0,46.0,1025.5
,5.0,19.9,No,9.4,1021.3,28.0,NW,,No,3.0,11.0,2009-03-29,16.2,SydneyAirport,6.6,26.9,NE,0.0,67.0,24.9,49.0,1023.7
SE,5.0,20.2,No,6.7,1022.3,26.0,SSE,59.0,Yes,5.0,13.0,2009-03-30,18.7,SydneyAirport,4.0,24.8,SSE,0.0,88.0,24.1,64.0,1024.3
SE,8.0,20.7,Yes,0.0,1020.4,35.0,SE,65.0,Yes,8.0,33.0,2009-03-31,19.4,SydneyAirport,6.0,22.0,SE,1.6,88.0,20.4,89.0,1022.0
ESE,8.0,20.3,Yes,2.3,1021.1,30.0,ESE,56.0,Yes,7.0,33.0,2009-04-01,18.8,SydneyAirport,5.0,25.2,ESE,43.4,95.0,24.8,66.0,1021.4
E,8.0,20.6,Yes,2.4,1021.8,19.0,E,44.0,Yes,7.0,24.0,2009-04-02,19.8,SydneyAirport,3.8,25.3,ENE,4.0,93.0,23.9,76.0,1023.4
NE,3.0,22.3,Yes,7.9,1016.6,26.0,N,43.0,Yes,5.0,9.0,2009-04-03,19.5,SydneyAirport,2.6,26.8,NE,5.2,88.0,25.4,66.0,1020.9
S,6.0,18.3,Yes,1.4,1019.2,35.0,S,59.0,No,8.0,48.0,2009-04-04,18.1,SydneyAirport,4.2,20.2,S,1.2,88.0,19.3,66.0,1017.3
NNE,6.0,19.7,No,8.0,1014.1,28.0,NW,43.0,No,4.0,9.0,2009-04-05,16.9,SydneyAirport,5.6,23.9,NE,0.0,67.0,23.0,58.0,1020.0
S,6.0,18.7,No,6.9,1019.7,33.0,S,54.0,No,3.0,39.0,2009-04-06,16.8,SydneyAirport,3.4,19.7,S,0.0,76.0,18.9,64.0,1020.6
S,6.0,18.6,No,7.7,1024.5,30.0,S,54.0,No,2.0,28.0,2009-04-07,17.0,SydneyAirport,5.8,19.6,S,0.0,66.0,18.9,61.0,1025.6
SSW,1.0,18.7,No,9.3,1024.9,24.0,SSW,44.0,No,5.0,20.0,2009-04-08,12.5,SydneyAirport,5.6,20.8,SSE,0.0,66.0,20.0,66.0,1026.9
E,1.0,19.5,No,8.4,1022.0,20.0,WSW,31.0,No,3.0,9.0,2009-04-09,15.0,SydneyAirport,2.8,23.2,ENE,0.0,70.0,22.1,56.0,1025.4
NNW,6.0,20.4,No,8.3,1020.6,13.0,NW,22.0,No,5.0,13.0,2009-04-10,15.3,SydneyAirport,4.0,25.6,ESE,0.0,68.0,23.8,56.0,1023.6
E,7.0,21.6,No,0.8,1022.7,15.0,NNW,19.0,No,7.0,7.0,2009-04-11,16.9,SydneyAirport,3.2,24.8,E,0.0,70.0,23.8,58.0,1025.2
,7.0,21.4,No,,1020.2,17.0,NW,,No,8.0,13.0,2009-04-12,18.5,SydneyAirport,0.8,26.2,E,0.4,81.0,25.2,56.0,1023.0
SW,8.0,21.4,No,0.1,1019.2,20.0,SE,43.0,Yes,8.0,19.0,2009-04-13,20.3,SydneyAirport,3.6,22.4,SSW,0.0,82.0,19.7,96.0,1022.5
,4.0,20.2,Yes,7.8,1010.9,24.0,WNW,,Yes,4.0,15.0,2009-04-14,17.8,SydneyAirport,,26.3,E,83.2,84.0,23.6,67.0,1015.0
,0.0,21.1,Yes,10.0,1006.3,35.0,WNW,,No,1.0,19.0,2009-04-15,16.2,SydneyAirport,5.0,30.1,WNW,19.4,65.0,29.7,21.0,1011.1
SSW,0.0,18.0,No,9.8,1011.4,19.0,WNW,43.0,No,0.0,15.0,2009-04-16,15.2,SydneyAirport,10.0,24.7,ENE,0.0,38.0,23.3,36.0,1015.3
S,0.0,19.4,No,10.3,1015.8,28.0,WSW,43.0,No,1.0,15.0,2009-04-17,13.1,SydneyAirport,4.8,21.5,S,0.0,43.0,20.9,64.0,1016.3
S,1.0,19.6,No,7.9,1018.3,41.0,SSW,59.0,Yes,4.0,30.0,2009-04-18,14.1,SydneyAirport,5.2,21.1,S,0.0,68.0,20.2,62.0,1020.1
,8.0,16.7,Yes,8.3,1017.9,43.0,SSW,,Yes,6.0,46.0,2009-04-19,16.0,SydneyAirport,3.4,21.5,SSE,4.2,86.0,20.8,65.0,1019.6
S,7.0,19.1,Yes,2.9,1018.8,33.0,S,61.0,Yes,8.0,37.0,2009-04-20,16.2,SydneyAirport,7.0,20.7,S,5.0,55.0,18.7,72.0,1020.4
S,4.0,19.9,Yes,5.0,1021.6,30.0,SE,52.0,Yes,7.0,30.0,2009-04-21,15.8,SydneyAirport,5.4,21.8,S,1.4,62.0,17.3,87.0,1022.8
SE,7.0,17.6,Yes,7.7,1022.4,24.0,ESE,46.0,Yes,7.0,19.0,2009-04-22,15.6,SydneyAirport,3.4,22.0,SSE,7.4,86.0,19.1,72.0,1024.3
WSW,5.0,18.6,Yes,6.3,1018.1,13.0,NW,26.0,No,3.0,9.0,2009-04-23,14.9,SydneyAirport,4.2,21.0,SE,3.4,79.0,20.4,61.0,1021.7
NW,5.0,18.0,No,9.0,1006.2,24.0,NW,56.0,No,7.0,13.0,2009-04-24,13.0,SydneyAirport,2.0,24.9,NE,0.0,71.0,23.1,61.0,1012.7
,1.0,20.3,No,10.3,1002.1,31.0,N,,No,3.0,20.0,2009-04-25,15.7,SydneyAirport,5.4,24.2,WNW,0.0,45.0,23.7,35.0,1004.2
NW,1.0,17.9,No,9.2,1002.9,43.0,NW,74.0,No,2.0,43.0,2009-04-26,16.2,SydneyAirport,6.8,20.6,WNW,0.0,37.0,19.9,22.0,1002.7
WNW,1.0,15.2,No,9.9,1012.7,31.0,WNW,50.0,No,1.0,35.0,2009-04-27,11.4,SydneyAirport,7.2,19.4,W,0.0,37.0,18.4,26.0,1013.3
WSW,1.0,15.8,No,10.5,1015.1,43.0,NNW,59.0,No,1.0,2.0,2009-04-28,9.8,SydneyAirport,4.0,21.5,WSW,0.0,59.0,19.8,30.0,1015.3
S,7.0,13.9,No,2.4,1019.6,33.0,WNW,59.0,Yes,7.0,15.0,2009-04-29,9.7,SydneyAirport,4.6,16.9,SSW,0.0,55.0,15.8,69.0,1022.2
SSW,7.0,14.0,Yes,2.7,1020.4,13.0,SSW,50.0,Yes,7.0,24.0,2009-04-30,12.0,SydneyAirport,2.4,16.8,W,5.0,82.0,13.9,91.0,1020.4
NW,5.0,14.9,Yes,10.3,1020.5,9.0,WNW,26.0,No,5.0,13.0,2009-05-01,9.6,SydneyAirport,3.0,22.4,NW,3.2,65.0,21.9,39.0,1024.6
SSW,1.0,15.9,No,9.4,1022.7,33.0,NW,43.0,Yes,3.0,13.0,2009-05-02,10.4,SydneyAirport,2.2,20.0,S,0.0,57.0,19.3,69.0,1024.9
S,1.0,13.7,Yes,7.0,1025.5,17.0,N,39.0,No,2.0,11.0,2009-05-03,11.7,SydneyAirport,3.6,19.9,SSE,11.4,78.0,19.2,66.0,1027.6
SSW,1.0,16.5,No,10.0,1025.3,17.0,NW,37.0,Yes,1.0,15.0,2009-05-04,11.9,SydneyAirport,3.2,23.6,E,0.0,70.0,21.7,54.0,1028.3
SSW,6.0,15.8,Yes,4.2,1028.2,30.0,SW,41.0,No,4.0,15.0,2009-05-05,14.5,SydneyAirport,1.8,19.0,S,2.2,85.0,18.7,69.0,1030.6
NE,3.0,16.6,No,9.7,1023.2,22.0,NW,30.0,No,3.0,9.0,2009-05-06,13.1,SydneyAirport,3.2,22.6,NNE,0.8,78.0,20.8,60.0,1028.2
W,1.0,16.4,No,10.2,1021.8,22.0,NW,39.0,No,1.0,13.0,2009-05-07,11.8,SydneyAirport,4.0,21.3,S,0.0,60.0,19.3,58.0,1024.1
S,1.0,17.0,No,9.5,1025.0,33.0,SSW,50.0,No,2.0,28.0,2009-05-08,11.9,SydneyAirport,2.6,18.8,SSW,0.0,68.0,18.5,70.0,1027.4
SW,1.0,16.0,No,9.8,1020.2,15.0,WNW,39.0,No,1.0,17.0,2009-05-09,11.0,SydneyAirport,4.4,21.7,SE,0.0,60.0,20.5,49.0,1024.0
SSW,6.0,15.3,No,3.4,1023.5,22.0,SSE,50.0,Yes,5.0,31.0,2009-05-10,12.2,SydneyAirport,3.4,19.0,S,1.0,92.0,18.0,57.0,1024.2
WSW,7.0,15.6,Yes,6.4,1022.3,13.0,NW,22.0,No,4.0,11.0,2009-05-11,11.2,SydneyAirport,3.4,19.0,E,6.4,66.0,18.1,49.0,1025.1
SSE,1.0,14.2,No,5.5,1018.1,15.0,NW,33.0,No,6.0,17.0,2009-05-12,9.1,SydneyAirport,2.6,19.5,SSE,0.0,65.0,16.4,66.0,1021.3
W,1.0,14.2,No,9.7,1012.6,24.0,WNW,37.0,No,2.0,15.0,2009-05-13,9.5,SydneyAirport,1.6,22.0,W,0.0,65.0,21.5,30.0,1016.7
W,1.0,16.9,No,10.1,1010.8,35.0,NNW,56.0,No,3.0,19.0,2009-05-14,10.3,SydneyAirport,2.6,21.9,WSW,0.0,43.0,21.1,27.0,1012.6
WNW,1.0,15.5,No,8.7,1009.7,35.0,NW,61.0,No,3.0,13.0,2009-05-15,11.0,SydneyAirport,6.2,22.2,W,0.0,50.0,21.0,32.0,1012.6
WNW,7.0,19.1,No,7.8,1008.2,43.0,W,72.0,No,4.0,33.0,2009-05-16,15.5,SydneyAirport,5.0,22.9,W,0.0,47.0,22.0,37.0,1008.2
WSW,1.0,14.2,No,9.7,1017.7,17.0,WSW,48.0,No,2.0,15.0,2009-05-17,9.9,SydneyAirport,4.8,18.1,SE,0.0,55.0,17.5,48.0,1018.6
SSE,3.0,15.5,No,5.2,1023.3,17.0,NW,28.0,Yes,5.0,13.0,2009-05-18,9.6,SydneyAirport,2.6,19.8,SSE,0.0,63.0,18.9,57.0,1025.6
,6.0,15.8,Yes,4.4,1021.4,26.0,WNW,,Yes,6.0,9.0,2009-05-19,14.2,SydneyAirport,2.4,21.1,ESE,3.8,88.0,19.7,58.0,1024.5
ESE,8.0,16.6,Yes,3.0,1020.4,31.0,SSW,61.0,Yes,7.0,11.0,2009-05-20,15.0,SydneyAirport,4.4,21.6,ESE,24.4,93.0,19.3,66.0,1022.2
E,7.0,18.6,Yes,0.2,1022.2,39.0,ESE,67.0,No,8.0,35.0,2009-05-21,15.1,SydneyAirport,1.8,20.1,ESE,21.0,57.0,19.0,56.0,1024.0
E,7.0,19.0,No,0.0,1020.9,28.0,ESE,69.0,Yes,7.0,41.0,2009-05-22,16.3,SydneyAirport,6.6,20.2,ESE,1.0,57.0,17.0,91.0,1023.8
E,4.0,20.1,Yes,6.0,1023.1,41.0,ESE,59.0,No,7.0,39.0,2009-05-23,15.0,SydneyAirport,5.0,21.8,E,26.4,66.0,17.9,84.0,1023.7
,5.0,20.0,No,7.4,1025.3,19.0,E,,No,4.0,22.0,2009-05-24,17.4,SydneyAirport,4.4,21.8,E,0.4,51.0,20.5,50.0,1026.7
