humidity_9_am,min_temp_f,wind_speed_9_am,max_temp_f,wind_dir_9_am,cloud_9_am,wind_dir_3_pm,wind_gust_speed,rain_tomorrow,pressure_9_am,pressure_3_pm,rain_today,wind_gust_dir,rainfall,wind_speed_3_pm,location,humidity_3_pm,sunshine,temp_9_am_f,cloud_3_pm,date,temp_3_pm_f,evaporation
75.0,62.959999999999994,2.0,94.64,NW,2.0,WNW,35.0,No,1012.0,1009.8,No,WNW,0.0,17.0,Nuriootpa,19.0,11.6,69.08,2.0,2009-01-14,92.84,14.8
61.0,51.44,11.0,81.14,SSW,4.0,SSW,39.0,No,1018.5,1017.2,No,SSW,0.0,17.0,Nuriootpa,25.0,11.8,62.24,4.0,2009-01-15,79.52,9.6
57.0,46.22,17.0,81.5,SSE,2.0,SW,41.0,No,1022.3,1020.1,No,SSE,0.0,20.0,Nuriootpa,22.0,12.9,62.42,0.0,2009-01-16,79.88,8.0
48.0,50.36,17.0,79.88,E,4.0,SSE,39.0,No,1023.0,1019.8,No,ESE,0.0,13.0,Nuriootpa,16.0,13.0,57.56,2.0,2009-01-17,77.36,8.0
29.0,57.56,15.0,88.88000000000001,E,3.0,ENE,35.0,No,1019.2,1015.7,No,SE,0.0,17.0,Nuriootpa,10.0,13.3,69.98,3.0,2009-01-18,86.18,10.0
17.0,54.14,9.0,100.4,NE,0.0,WSW,48.0,No,1012.4,1008.7,No,WSW,0.0,24.0,Nuriootpa,5.0,13.4,82.58,0.0,2009-01-19,98.96000000000001,10.2
20.0,56.3,9.0,97.34,NE,2.0,SW,52.0,No,1007.6,1008.5,No,WSW,0.0,19.0,Nuriootpa,10.0,12.6,84.56,5.0,2009-01-20,93.02,14.0
54.0,57.379999999999995,11.0,87.26,ENE,1.0,SW,37.0,No,1010.9,1007.3,No,WSW,0.0,15.0,Nuriootpa,30.0,12.5,67.1,1.0,2009-01-21,85.28,12.6
20.0,53.42,30.0,85.1,WNW,6.0,W,67.0,No,1003.0,1003.3,No,WSW,0.0,37.0,Nuriootpa,44.0,11.4,75.56,6.0,2009-01-22,78.8,10.2
51.0,48.92,17.0,84.2,NNE,2.0,WNW,56.0,No,1008.1,1004.2,No,W,0.0,26.0,Nuriootpa,22.0,12.5,62.959999999999994,0.0,2009-01-23,84.2,10.6
63.0,58.28,20.0,80.6,WSW,7.0,SW,50.0,No,1012.6,1012.7,No,W,1.0,17.0,Nuriootpa,30.0,11.4,62.24,,2009-01-24,75.92,10.4
54.0,51.26,15.0,91.22,ENE,0.0,WSW,26.0,No,1017.4,1016.0,No,SE,0.0,13.0,Nuriootpa,13.0,13.1,63.86,0.0,2009-01-25,87.61999999999999,9.4
49.0,56.66,20.0,93.02,E,0.0,ESE,39.0,No,1019.8,1016.9,No,SE,0.0,17.0,Nuriootpa,16.0,13.2,68.18,0.0,2009-01-26,88.16,9.8
20.0,60.980000000000004,13.0,107.06,NE,1.0,NNW,31.0,No,1014.8,1010.7,No,NE,0.0,11.0,Nuriootpa,5.0,12.2,85.82,3.0,2009-01-27,104.0,11.4
11.0,69.98,19.0,111.38000000000001,NNE,2.0,NW,70.0,No,1009.2,1006.6,No,N,0.0,17.0,Nuriootpa,8.0,11.6,96.44,6.0,2009-01-28,107.24,15.2
17.0,80.42,15.0,108.5,NNW,3.0,N,48.0,No,1010.7,1008.5,No,NW,0.0,15.0,Nuriootpa,9.0,10.9,94.82,3.0,2009-01-29,106.52,15.2
19.0,71.6,9.0,107.41999999999999,N,2.0,NNE,54.0,No,1011.4,1008.6,No,NNW,0.0,15.0,Nuriootpa,9.0,12.7,93.91999999999999,3.0,2009-01-30,104.72,14.8
30.0,73.58,9.0,105.8,NE,6.0,SSE,59.0,No,1012.9,1010.3,No,SE,0.0,13.0,Nuriootpa,11.0,9.8,89.06,6.0,2009-01-31,105.8,14.9
45.0,73.75999999999999,15.0,103.64,ENE,7.0,WSW,54.0,No,1013.7,1010.6,No,ESE,0.0,11.0,Nuriootpa,17.0,7.1,78.62,6.0,2009-02-01,100.4,14.8
33.0,76.82,19.0,99.32,ESE,7.0,SE,52.0,No,1011.7,1009.7,No,SSE,0.6,26.0,Nuriootpa,22.0,9.1,83.84,4.0,2009-02-02,95.0,11.8
52.0,64.75999999999999,15.0,99.86,E,3.0,SE,31.0,No,1010.8,1007.5,No,WSW,0.0,11.0,Nuriootpa,24.0,12.6,77.54,3.0,2009-02-03,95.53999999999999,12.0
62.0,55.04,6.0,96.08000000000001,W,0.0,WSW,39.0,No,1008.5,1005.5,No,W,0.0,22.0,Nuriootpa,23.0,13.1,72.14,0.0,2009-02-04,92.84,11.4
63.0,54.68,9.0,96.98,NE,0.0,W,30.0,No,1008.0,1007.5,No,W,0.0,15.0,Nuriootpa,26.0,12.3,71.96,0.0,2009-02-05,94.46000000000001,10.6
39.0,63.86,17.0,107.06,ENE,0.0,NNE,41.0,No,1007.9,1004.2,No,NE,0.0,19.0,Nuriootpa,13.0,10.0,80.96,5.0,2009-02-06,105.08000000000001,9.8
11.0,67.64,31.0,111.02,NNW,0.0,WSW,76.0,No,1002.9,1004.1,No,NW,0.0,35.0,Nuriootpa,29.0,12.4,99.86,3.0,2009-02-07,95.53999999999999,11.4
70.0,62.42,13.0,76.28,SSE,6.0,S,43.0,No,1013.6,1014.3,No,SSE,0.0,17.0,Nuriootpa,36.0,5.0,66.92,7.0,2009-02-08,75.2,18.2
52.0,50.36,20.0,73.22,SE,4.0,S,46.0,No,1019.3,1016.7,No,SSE,0.0,22.0,Nuriootpa,26.0,10.6,57.379999999999995,4.0,2009-02-09,71.42,6.0
57.0,48.92,17.0,68.72,SSE,6.0,SSE,44.0,No,1020.5,1019.2,No,SSE,0.0,26.0,Nuriootpa,38.0,7.9,55.76,7.0,2009-02-10,63.68,8.0
46.0,44.96,17.0,69.08,SSE,3.0,SSE,50.0,No,1022.7,1020.0,No,SSE,0.0,28.0,Nuriootpa,32.0,10.6,55.58,2.0,2009-02-11,67.46,7.2
62.0,48.56,24.0,,SE,4.0,SE,,No,1022.0,1019.1,No,,0.0,24.0,Nuriootpa,21.0,12.5,55.4,0.0,2009-02-12,70.52,6.2
49.0,,19.0,79.16,ESE,4.0,E,54.0,No,1021.5,1019.0,No,SE,0.0,24.0,Nuriootpa,26.0,12.5,61.16,3.0,2009-02-13,74.48,8.0
46.0,57.02,19.0,85.64,E,2.0,SE,54.0,No,1020.4,1017.7,No,ESE,0.0,20.0,Nuriootpa,21.0,12.3,69.8,5.0,2009-02-14,80.96,10.8
46.0,58.1,4.0,86.0,E,6.0,N,44.0,No,1017.1,1014.2,No,SE,0.0,7.0,Nuriootpa,18.0,10.9,66.2,4.0,2009-02-15,84.91999999999999,12.0
58.0,60.62,19.0,86.53999999999999,ESE,3.0,SE,37.0,No,1016.3,1013.1,No,SE,0.0,7.0,Nuriootpa,24.0,12.6,67.64,2.0,2009-02-16,83.48,8.0
39.0,59.0,9.0,89.41999999999999,NE,2.0,ENE,37.0,No,1013.2,1010.9,No,SE,0.0,13.0,Nuriootpa,23.0,,76.28,6.0,2009-02-17,84.02,10.0
33.0,59.18,6.0,91.03999999999999,ENE,,E,30.0,No,1010.8,1008.0,No,SE,0.0,13.0,Nuriootpa,16.0,10.0,76.46,,2009-02-18,87.26,
34.0,57.379999999999995,2.0,93.56,ESE,5.0,W,56.0,Yes,1009.2,1008.5,No,WSW,0.0,31.0,Nuriootpa,43.0,8.0,78.08,6.0,2009-02-19,83.12,16.0
66.0,57.92,9.0,77.18,SW,7.0,W,37.0,No,1016.6,1015.8,Yes,S,1.6,24.0,Nuriootpa,44.0,10.1,62.6,4.0,2009-02-20,74.12,9.6
58.0,57.92,22.0,78.25999999999999,SSE,6.0,SE,39.0,No,1020.0,1016.9,No,ESE,0.0,20.0,Nuriootpa,31.0,11.0,62.42,0.0,2009-02-21,76.28,8.0
64.0,55.04,17.0,87.26,E,0.0,W,39.0,No,1016.7,1012.8,No,SE,0.0,11.0,Nuriootpa,19.0,12.4,62.42,1.0,2009-02-22,82.22,7.8
50.0,51.08,0.0,84.02,,6.0,W,44.0,No,1012.2,1012.9,No,WSW,0.0,28.0,Nuriootpa,21.0,11.2,67.1,1.0,2009-02-23,82.22,7.8
55.0,50.9,22.0,77.18,ESE,2.0,ESE,48.0,No,1019.5,1016.8,No,ESE,0.0,19.0,Nuriootpa,19.0,12.2,56.84,,2009-02-24,73.94,10.4
37.0,55.22,19.0,86.0,ENE,2.0,E,37.0,No,1018.2,1015.9,No,ESE,0.0,13.0,Nuriootpa,12.0,12.1,62.059999999999995,3.0,2009-02-25,83.48,8.8
21.0,62.059999999999995,19.0,95.0,ENE,6.0,NNE,35.0,No,1015.6,1012.4,No,NNE,0.0,15.0,Nuriootpa,7.0,12.1,71.78,5.0,2009-02-26,92.66,9.8
13.0,71.42,7.0,93.56,SE,4.0,W,46.0,No,1012.4,1011.7,No,W,0.0,22.0,Nuriootpa,33.0,6.4,77.9,4.0,2009-02-27,85.28,12.6
66.0,54.86,17.0,84.38000000000001,SE,3.0,SSW,52.0,No,1015.3,1013.2,No,SSW,0.0,11.0,Nuriootpa,22.0,11.5,62.42,2.0,2009-02-28,82.04,8.0
64.0,55.58,17.0,73.58,ESE,7.0,E,35.0,No,1016.3,1014.2,No,E,0.0,6.0,Nuriootpa,35.0,5.1,57.379999999999995,8.0,2009-03-01,71.42,8.0
60.0,56.84,17.0,79.16,ENE,7.0,E,37.0,No,1012.5,1009.3,No,ENE,0.2,15.0,Nuriootpa,47.0,0.3,62.24,8.0,2009-03-02,77.9,4.2
39.0,61.519999999999996,15.0,82.4,WNW,8.0,W,65.0,Yes,1003.9,1008.5,No,WSW,1.0,37.0,Nuriootpa,96.0,1.7,78.98,8.0,2009-03-03,61.519999999999996,5.0
55.0,53.78,35.0,67.1,W,3.0,WSW,72.0,No,1019.5,1020.3,Yes,WSW,12.6,41.0,Nuriootpa,46.0,8.6,58.64,6.0,2009-03-04,65.3,3.2
81.0,53.06,13.0,70.34,SW,7.0,SW,37.0,No,1023.0,1021.2,No,SW,0.2,19.0,Nuriootpa,52.0,4.3,57.379999999999995,7.0,2009-03-05,69.25999999999999,6.4
82.0,55.4,2.0,71.06,SW,6.0,SSW,26.0,No,1019.6,1016.4,No,SW,0.0,9.0,Nuriootpa,53.0,5.4,57.379999999999995,7.0,2009-03-06,67.46,3.8
82.0,49.28,9.0,74.66,ESE,6.0,E,50.0,No,1017.7,1015.6,No,SE,0.0,13.0,Nuriootpa,41.0,9.2,59.540000000000006,,2009-03-07,74.12,3.6
60.0,52.34,19.0,77.54,ESE,1.0,SE,54.0,No,1019.4,1017.0,No,SE,0.0,19.0,Nuriootpa,32.0,11.7,58.28,1.0,2009-03-08,74.66,4.8
56.0,55.76,17.0,80.96,ESE,1.0,SE,35.0,No,1019.1,1016.8,No,SE,0.0,13.0,Nuriootpa,23.0,11.6,61.88,2.0,2009-03-09,79.52,8.2
66.0,60.08,13.0,82.94,SE,6.0,SE,31.0,No,1017.3,1015.4,No,ESE,0.0,13.0,Nuriootpa,20.0,6.9,63.14,6.0,2009-03-10,81.32,
67.0,58.459999999999994,7.0,82.75999999999999,E,4.0,NE,31.0,No,1016.9,1014.1,No,SSE,0.0,7.0,Nuriootpa,33.0,,66.56,6.0,2009-03-11,79.7,7.4
62.0,56.84,6.0,84.74,NNE,,ENE,33.0,Yes,1016.0,1013.9,No,SW,0.0,13.0,Nuriootpa,32.0,6.1,68.72,,2009-03-12,84.02,
64.0,56.48,0.0,88.7,,5.0,WSW,30.0,No,1015.9,1013.5,Yes,WSW,1.2,13.0,Nuriootpa,19.0,11.5,66.92,5.0,2009-03-13,86.53999999999999,12.2
89.0,61.88,20.0,69.98,W,8.0,WSW,61.0,No,1013.6,1014.0,No,WSW,0.2,33.0,Nuriootpa,42.0,7.7,62.6,6.0,2009-03-14,66.92,6.8
64.0,46.58,20.0,68.0,W,5.0,WSW,50.0,Yes,1018.0,1016.7,No,SW,0.0,26.0,Nuriootpa,43.0,6.1,58.459999999999994,6.0,2009-03-15,66.74000000000001,6.4
92.0,55.04,13.0,67.46,WSW,7.0,WSW,39.0,No,1018.3,1017.5,Yes,SW,1.6,24.0,Nuriootpa,51.0,7.5,57.02,7.0,2009-03-16,65.48,3.8
87.0,51.98,9.0,73.94,SSE,8.0,SE,30.0,No,1020.9,1017.5,No,ESE,0.0,15.0,Nuriootpa,36.0,8.3,54.5,2.0,2009-03-17,72.5,4.0
64.0,50.36,13.0,82.94,ENE,2.0,NW,37.0,No,1015.7,1012.4,No,NW,0.0,20.0,Nuriootpa,20.0,7.7,60.62,7.0,2009-03-18,80.78,5.8
39.0,53.06,7.0,82.04,N,0.0,WSW,44.0,No,1013.6,1013.4,No,NW,0.0,22.0,Nuriootpa,46.0,11.3,70.52,3.0,2009-03-19,77.54,6.0
73.0,53.42,9.0,89.96000000000001,NE,0.0,N,33.0,No,1015.8,1011.7,No,NW,0.0,17.0,Nuriootpa,26.0,10.0,61.16,3.0,2009-03-20,85.28,8.0
46.0,54.32,9.0,90.5,ENE,3.0,NNW,52.0,No,1011.1,1009.5,No,W,0.0,24.0,Nuriootpa,16.0,3.8,71.78,,2009-03-21,89.06,5.8
64.0,51.44,15.0,74.12,SSE,2.0,WSW,41.0,No,1016.7,1014.7,No,WSW,0.0,6.0,Nuriootpa,30.0,11.0,59.540000000000006,3.0,2009-03-22,73.94,9.0
73.0,48.92,11.0,75.2,ESE,1.0,NE,33.0,No,1017.4,1014.4,No,SE,0.0,15.0,Nuriootpa,36.0,11.1,55.94,0.0,2009-03-23,71.6,6.6
65.0,54.86,6.0,,N,8.0,W,,No,1016.5,1014.7,No,,0.4,13.0,Nuriootpa,46.0,0.3,60.980000000000004,8.0,2009-03-24,73.94,5.4
64.0,,7.0,80.06,ENE,0.0,WSW,33.0,No,1016.2,1015.5,No,WNW,0.0,20.0,Nuriootpa,44.0,10.8,65.3,4.0,2009-03-25,78.62,3.6
93.0,52.879999999999995,13.0,78.62,SW,7.0,S,37.0,No,1023.3,1022.7,No,SSE,0.0,17.0,Nuriootpa,32.0,10.2,60.980000000000004,4.0,2009-03-26,76.82,4.4
72.0,49.28,13.0,76.82,E,0.0,E,31.0,No,1027.8,1025.0,No,SE,0.0,11.0,Nuriootpa,19.0,10.8,54.32,5.0,2009-03-27,74.84,6.6
56.0,45.68,13.0,86.18,NE,0.0,W,28.0,No,1023.7,1020.0,No,NE,0.0,13.0,Nuriootpa,7.0,11.1,59.540000000000006,0.0,2009-03-28,84.2,4.0
34.0,42.980000000000004,4.0,86.9,ENE,0.0,E,33.0,No,1021.5,1019.5,No,SE,0.0,9.0,Nuriootpa,8.0,11.1,61.7,3.0,2009-03-29,85.1,6.6
47.0,59.18,13.0,83.84,ESE,2.0,E,37.0,No,1022.2,1020.3,No,ESE,0.0,19.0,Nuriootpa,17.0,11.1,64.58,5.0,2009-03-30,80.78,10.2
40.0,60.8,13.0,86.9,E,5.0,ENE,31.0,No,1020.6,1017.9,No,SE,0.0,9.0,Nuriootpa,15.0,9.3,69.08,6.0,2009-03-31,85.1,8.0
33.0,54.68,13.0,87.8,NE,1.0,NNE,39.0,No,1019.4,1017.3,No,NE,0.0,13.0,Nuriootpa,18.0,10.9,72.68,1.0,2009-04-01,86.9,8.0
40.0,58.459999999999994,7.0,93.02,NE,4.0,WSW,35.0,No,1018.7,1016.1,No,W,0.0,19.0,Nuriootpa,14.0,10.7,72.14,5.0,2009-04-02,92.11999999999999,6.8
62.0,59.18,24.0,69.8,SW,7.0,WSW,46.0,No,1021.4,1020.7,No,WSW,0.0,30.0,Nuriootpa,36.0,7.6,62.24,5.0,2009-04-03,68.72,8.0
61.0,50.18,6.0,68.36,SW,2.0,SW,31.0,No,1026.7,1024.8,No,WSW,0.0,11.0,Nuriootpa,38.0,3.5,56.120000000000005,7.0,2009-04-04,65.12,6.4
94.0,44.78,15.0,68.72,W,8.0,WSW,43.0,No,1024.7,1022.2,No,WSW,0.4,26.0,Nuriootpa,50.0,7.0,57.02,,2009-04-05,67.28,3.2
58.0,46.58,11.0,62.959999999999994,ENE,7.0,SSE,39.0,No,1029.4,1027.3,No,SSW,0.4,26.0,Nuriootpa,39.0,3.8,53.6,6.0,2009-04-06,61.34,4.2
69.0,46.22,22.0,67.1,SE,6.0,SE,35.0,No,1031.6,1028.0,No,ESE,0.0,19.0,Nuriootpa,40.0,10.4,51.620000000000005,0.0,2009-04-07,64.94,3.2
77.0,49.82,13.0,71.24000000000001,SE,6.0,WSW,31.0,No,1029.1,1024.6,No,SE,0.0,9.0,Nuriootpa,36.0,9.7,55.22,3.0,2009-04-08,69.98,4.0
70.0,49.28,13.0,74.12,E,0.0,SW,35.0,No,1023.0,1018.6,No,SE,0.0,9.0,Nuriootpa,27.0,10.2,58.64,4.0,2009-04-09,73.22,4.0
63.0,38.48,2.0,73.94,NNE,5.0,W,30.0,No,1021.5,1019.6,No,ESE,0.0,19.0,Nuriootpa,25.0,10.2,59.9,6.0,2009-04-10,72.5,4.0
61.0,44.78,13.0,78.44,ENE,3.0,NW,26.0,No,1023.7,1020.5,No,WSW,0.0,9.0,Nuriootpa,15.0,10.0,62.059999999999995,2.0,2009-04-11,77.54,5.0
46.0,46.22,15.0,82.75999999999999,NE,4.0,SW,30.0,No,1022.9,1019.3,No,NE,0.0,7.0,Nuriootpa,12.0,10.7,65.48,5.0,2009-04-12,80.96,5.6
17.0,42.8,9.0,84.38000000000001,NNE,0.0,W,37.0,No,1020.6,1015.9,No,NW,0.0,15.0,Nuriootpa,10.0,10.7,72.32,3.0,2009-04-13,83.12,4.8
78.0,42.620000000000005,9.0,77.72,WSW,6.0,W,39.0,No,1016.3,1012.4,No,W,0.0,19.0,Nuriootpa,31.0,9.2,60.26,4.0,2009-04-14,76.28,6.4
63.0,47.48,24.0,64.94,SW,7.0,WSW,65.0,No,1015.4,1014.5,No,WSW,0.0,20.0,Nuriootpa,38.0,8.0,58.459999999999994,5.0,2009-04-15,62.78,5.6
54.0,39.2,22.0,68.0,WNW,6.0,W,43.0,No,1015.3,1014.1,No,WNW,0.0,24.0,Nuriootpa,55.0,6.9,59.36,7.0,2009-04-16,64.4,4.0
89.0,55.4,7.0,69.62,WSW,7.0,WSW,28.0,No,1020.0,1019.1,No,WSW,0.6,13.0,Nuriootpa,49.0,8.3,58.459999999999994,7.0,2009-04-17,68.54,4.6
74.0,41.18,6.0,72.68,NE,4.0,ESE,35.0,No,1025.3,1022.8,No,SE,0.0,13.0,Nuriootpa,39.0,10.2,59.540000000000006,3.0,2009-04-18,70.52,2.0
59.0,50.72,15.0,69.62,SE,3.0,SE,31.0,No,1024.9,1020.9,No,SE,0.0,13.0,Nuriootpa,44.0,10.7,61.519999999999996,3.0,2009-04-19,68.54,3.6
51.0,51.98,15.0,74.3,E,6.0,NE,31.0,No,1021.1,1018.0,No,SE,0.0,17.0,Nuriootpa,29.0,9.0,63.14,6.0,2009-04-20,73.22,4.0
40.0,46.22,13.0,75.02,ENE,7.0,NE,35.0,No,1021.4,1018.6,No,NE,0.0,17.0,Nuriootpa,26.0,4.9,64.75999999999999,7.0,2009-04-21,72.32,4.0
34.0,49.1,15.0,77.54,NE,1.0,NE,37.0,No,1020.5,1016.9,No,NE,0.0,17.0,Nuriootpa,19.0,10.4,66.74000000000001,2.0,2009-04-22,76.64,5.8
38.0,58.82,26.0,71.42,NNE,8.0,NE,52.0,Yes,1011.8,1007.1,No,NNE,0.0,17.0,Nuriootpa,81.0,0.4,66.38,8.0,2009-04-23,60.440000000000005,7.0
97.0,52.16,22.0,60.440000000000005,NW,8.0,WSW,69.0,Yes,1002.6,1004.0,Yes,W,19.6,30.0,Nuriootpa,96.0,2.8,53.78,8.0,2009-04-24,56.120000000000005,1.8
90.0,53.6,30.0,63.14,NW,8.0,WSW,72.0,Yes,1004.2,1000.2,Yes,WNW,11.4,37.0,Nuriootpa,91.0,3.0,57.56,8.0,2009-04-25,54.32,0.8
82.0,46.76,31.0,56.66,WSW,7.0,W,59.0,Yes,1009.8,1011.1,Yes,W,11.0,24.0,Nuriootpa,74.0,6.5,48.74,6.0,2009-04-26,54.86,4.2
97.0,48.2,31.0,62.059999999999995,W,8.0,W,63.0,Yes,1013.1,1013.1,Yes,NW,11.2,33.0,Nuriootpa,63.0,5.1,56.66,6.0,2009-04-27,61.16,1.8
82.0,46.22,13.0,58.64,ENE,5.0,ENE,22.0,No,1023.1,1021.2,Yes,ENE,5.6,9.0,Nuriootpa,64.0,5.7,52.879999999999995,7.0,2009-04-28,57.2,1.6
69.0,47.84,9.0,65.48,ENE,1.0,W,20.0,No,1022.4,1020.2,No,W,0.2,9.0,Nuriootpa,48.0,9.8,54.5,4.0,2009-04-29,65.3,3.0
72.0,41.72,6.0,65.3,NE,4.0,W,33.0,No,1022.7,1020.3,No,NW,0.0,15.0,Nuriootpa,65.0,7.7,54.86,7.0,2009-04-30,62.059999999999995,0.8
94.0,42.260000000000005,6.0,66.02,NE,6.0,WSW,28.0,No,1024.6,1022.6,No,W,0.0,17.0,Nuriootpa,68.0,4.5,51.620000000000005,8.0,2009-05-01,60.980000000000004,3.2
73.0,49.28,17.0,60.980000000000004,SE,1.0,SE,30.0,No,1028.5,1026.8,No,SSE,0.0,11.0,Nuriootpa,53.0,9.8,54.32,3.0,2009-05-02,59.540000000000006,0.6
80.0,38.839999999999996,2.0,64.04,NNE,0.0,WNW,41.0,No,1030.7,1028.4,No,ESE,0.4,7.0,Nuriootpa,48.0,9.3,53.42,5.0,2009-05-03,62.78,2.8
83.0,44.06,11.0,62.24,ESE,8.0,SE,28.0,No,1032.7,1030.6,No,ESE,0.0,11.0,Nuriootpa,53.0,6.7,54.5,6.0,2009-05-04,61.16,1.6
78.0,40.1,0.0,63.86,,7.0,NE,22.0,No,1032.2,1029.1,No,SE,0.0,9.0,Nuriootpa,52.0,7.7,53.6,7.0,2009-05-05,62.059999999999995,0.8
69.0,48.56,9.0,62.24,SSE,5.0,SSW,26.0,No,1030.7,1027.8,No,WSW,0.0,9.0,Nuriootpa,47.0,4.3,57.379999999999995,7.0,2009-05-06,61.16,3.4
78.0,48.92,11.0,60.26,ESE,6.0,S,28.0,No,1031.1,1029.5,No,SSE,0.0,20.0,Nuriootpa,64.0,3.8,54.68,8.0,2009-05-07,58.28,2.2
87.0,49.82,13.0,60.62,SE,7.0,S,24.0,No,1032.6,1029.9,No,SSE,0.0,9.0,Nuriootpa,62.0,3.9,53.6,5.0,2009-05-08,59.540000000000006,1.0
83.0,48.74,15.0,59.18,SE,7.0,SSE,30.0,No,1029.6,1026.2,No,SSE,0.0,11.0,Nuriootpa,70.0,1.2,53.78,8.0,2009-05-09,57.74,2.2
84.0,50.9,13.0,59.36,SE,8.0,SSE,24.0,No,1026.2,1023.6,No,ESE,0.0,11.0,Nuriootpa,64.0,4.9,51.8,4.0,2009-05-10,59.36,1.2
66.0,43.16,20.0,63.32,SSE,0.0,SSE,31.0,No,1025.1,1023.3,No,SSW,0.0,11.0,Nuriootpa,52.0,9.3,55.04,1.0,2009-05-11,61.88,2.2
83.0,42.620000000000005,2.0,63.14,NE,2.0,S,31.0,No,1024.9,1022.0,No,SW,0.0,13.0,Nuriootpa,50.0,8.1,52.7,6.0,2009-05-12,60.8,2.4
91.0,39.38,0.0,62.059999999999995,,8.0,WSW,33.0,No,1022.1,1019.1,No,W,0.8,20.0,Nuriootpa,81.0,4.4,50.72,7.0,2009-05-13,56.66,1.6
92.0,43.7,20.0,59.9,WNW,7.0,WNW,50.0,Yes,1019.2,1017.2,No,W,0.6,20.0,Nuriootpa,79.0,5.5,54.32,7.0,2009-05-14,58.28,1.2
95.0,52.16,24.0,60.62,WNW,8.0,WNW,50.0,Yes,1018.3,1016.3,Yes,W,1.4,28.0,Nuriootpa,93.0,1.1,54.32,8.0,2009-05-15,56.66,0.6
98.0,54.32,20.0,62.78,WSW,8.0,WSW,52.0,No,1019.3,1019.7,Yes,WNW,9.2,20.0,Nuriootpa,72.0,4.5,56.120000000000005,7.0,2009-05-16,60.980000000000004,0.2
89.0,49.82,0.0,60.62,,8.0,SE,28.0,No,1024.3,1021.5,No,SE,0.0,2.0,Nuriootpa,76.0,0.1,55.76,7.0,2009-05-17,59.540000000000006,0.4
79.0,51.08,9.0,60.62,ESE,7.0,ESE,28.0,No,1022.9,1019.1,No,ESE,0.2,13.0,Nuriootpa,60.0,3.6,53.96,6.0,2009-05-18,59.72,0.8
86.0,42.260000000000005,,62.6,,5.0,SSE,20.0,No,1018.8,1016.3,No,SE,0.0,9.0,Nuriootpa,50.0,4.7,48.56,6.0,2009-05-19,60.980000000000004,2.4
92.0,40.28,6.0,62.78,ENE,7.0,ESE,30.0,No,1020.2,1019.2,No,ESE,0.0,11.0,Nuriootpa,69.0,2.7,53.96,6.0,2009-05-20,61.34,0.6
