RainTomorrow,WindSpeed3pm,WindDir3pm,Rainfall,Pressure9am,RainToday,WindGustDir,Humidity3pm,WindSpeed9am,Pressure3pm,Humidity9am,Cloud9am,MinTempF,Temp9amF,Cloud3pm,MaxTempF,WindGustSpeed,Date,Location,WindDir9am,Temp3pmF
No,35.0,SSE,0.0,1020.0,No,,36.0,31.0,1019.7,72.0,2.0,44.6,52.879999999999995,4.0,69.8,,2009-02-12,Ballarat,SSE,66.92
No,9.0,ESE,0.0,1024.1,No,SE,25.0,20.0,1022.1,54.0,0.0,47.120000000000005,55.4,,76.1,56.0,2009-02-13,Ballarat,SE,73.75999999999999
No,11.0,WSW,0.0,1022.0,No,SE,24.0,22.0,1018.4,46.0,0.0,50.18,64.22,,81.32,44.0,2009-02-14,Ballarat,NNE,78.62
No,30.0,SSE,0.0,1017.3,No,SSE,47.0,24.0,1016.4,75.0,7.0,55.04,59.9,1.0,74.3,56.0,2009-02-15,Ballarat,SE,71.06
No,7.0,NNW,0.0,1017.9,No,SE,26.0,17.0,1015.3,70.0,0.0,56.3,63.32,,83.66,52.0,2009-02-16,Ballarat,ESE,80.78
No,11.0,NNE,0.0,1016.0,No,NNE,26.0,30.0,1013.9,43.0,0.0,54.86,65.66,,84.38000000000001,46.0,2009-02-17,Ballarat,NNE,78.98
No,15.0,S,0.0,1012.1,No,WSW,22.0,13.0,1009.1,42.0,2.0,53.6,68.9,,86.72,57.0,2009-02-18,Ballarat,NNE,82.22
No,20.0,W,0.0,1008.3,No,S,17.0,4.0,1006.3,24.0,0.0,50.54,71.78,,88.34,48.0,2009-02-19,Ballarat,ESE,85.1
No,20.0,WSW,0.0,1012.5,No,SSW,48.0,17.0,1012.9,76.0,8.0,55.76,56.66,5.0,69.62,41.0,2009-02-20,Ballarat,SW,67.1
No,31.0,SSE,0.0,,No,SSE,38.0,26.0,,82.0,7.0,54.32,57.56,,73.94,48.0,2009-02-21,Ballarat,S,71.42
No,11.0,NNW,0.2,1015.9,No,SSE,28.0,28.0,1012.9,71.0,0.0,53.96,59.36,,83.3,46.0,2009-02-22,Ballarat,SE,80.6
No,28.0,WNW,0.0,1010.9,No,NW,14.0,19.0,1008.3,53.0,6.0,52.34,67.1,2.0,89.24,57.0,2009-02-23,Ballarat,N,86.9
No,26.0,S,0.0,1018.0,No,S,31.0,24.0,1017.4,67.0,1.0,43.519999999999996,51.8,,67.64,44.0,2009-02-24,Ballarat,S,64.22
No,24.0,SSE,0.0,1019.4,No,SSE,47.0,24.0,1017.6,78.0,8.0,45.68,54.14,,72.14,44.0,2009-02-25,Ballarat,S,68.54
No,11.0,NW,0.0,1017.3,No,SE,20.0,24.0,1015.7,71.0,0.0,53.78,60.8,,86.36,56.0,2009-02-26,Ballarat,E,84.02
No,28.0,N,0.0,1013.6,No,N,17.0,31.0,1010.5,36.0,6.0,56.48,70.7,,90.32,52.0,2009-02-27,Ballarat,NNE,86.36
No,22.0,SSW,0.8,1011.9,No,S,36.0,33.0,1011.2,70.0,6.0,49.46,56.3,,71.6,46.0,2009-02-28,Ballarat,S,70.34
No,24.0,S,0.0,1013.7,No,SSW,59.0,28.0,1013.7,83.0,7.0,50.9,53.24,8.0,66.02,43.0,2009-03-01,Ballarat,S,62.6
No,19.0,N,0.0,1013.9,No,ESE,22.0,31.0,1011.1,66.0,2.0,50.36,55.76,,79.7,46.0,2009-03-02,Ballarat,ESE,76.46
Yes,61.0,N,0.8,1006.6,No,N,33.0,41.0,1001.0,55.0,8.0,55.58,68.0,,89.06,89.0,2009-03-03,Ballarat,NNE,80.96
Yes,37.0,W,2.0,1011.4,Yes,WNW,63.0,26.0,1012.2,74.0,4.0,43.7,50.0,2.0,61.16,63.0,2009-03-04,Ballarat,NNW,55.76
Yes,24.0,SW,2.8,1015.8,Yes,WSW,74.0,17.0,1015.9,99.0,8.0,48.02,50.54,7.0,59.540000000000006,44.0,2009-03-05,Ballarat,SW,58.28
No,17.0,WSW,2.0,1016.0,Yes,,57.0,15.0,1014.7,85.0,7.0,48.02,50.54,7.0,61.519999999999996,,2009-03-06,Ballarat,SW,59.36
No,22.0,SSW,0.0,1016.0,No,SW,56.0,17.0,1015.7,79.0,7.0,51.8,53.96,8.0,65.48,30.0,2009-03-07,Ballarat,SW,62.24
No,31.0,SSE,0.0,1019.4,No,SE,56.0,31.0,1018.8,71.0,6.0,45.14,51.98,,65.84,54.0,2009-03-08,Ballarat,SSE,61.7
No,20.0,S,0.0,1019.7,No,SE,30.0,24.0,1017.3,75.0,,48.56,54.86,,79.16,52.0,2009-03-09,Ballarat,SE,77.18
No,15.0,SSE,0.0,1019.3,No,ESE,46.0,26.0,1017.8,88.0,3.0,54.5,58.1,7.0,80.24000000000001,59.0,2009-03-10,Ballarat,SE,77.18
Yes,26.0,NE,0.8,1020.3,No,NNE,31.0,11.0,1017.8,88.0,7.0,56.66,62.78,,83.48,54.0,2009-03-11,Ballarat,NNE,80.6
No,31.0,NNE,3.0,1017.8,Yes,NNE,66.0,17.0,1016.1,100.0,8.0,59.540000000000006,61.16,2.0,73.4,48.0,2009-03-12,Ballarat,NE,71.96
Yes,13.0,NNE,0.2,1016.4,No,WNW,42.0,11.0,1014.1,100.0,0.0,55.22,63.86,1.0,82.4,39.0,2009-03-13,Ballarat,NNE,76.46
Yes,22.0,WSW,2.4,1010.4,Yes,WSW,79.0,33.0,1007.2,97.0,8.0,57.02,57.02,8.0,64.94,72.0,2009-03-14,Ballarat,W,58.64
No,28.0,WNW,16.4,1011.4,Yes,W,57.0,26.0,1010.4,87.0,3.0,45.68,48.92,1.0,60.08,56.0,2009-03-15,Ballarat,WNW,57.74
Yes,24.0,WSW,1.0,1012.0,No,W,73.0,24.0,1012.7,99.0,8.0,48.74,50.36,8.0,61.519999999999996,46.0,2009-03-16,Ballarat,W,58.28
No,17.0,SW,2.8,1017.4,Yes,SSW,57.0,22.0,1016.7,98.0,6.0,49.28,50.36,1.0,63.14,31.0,2009-03-17,Ballarat,SW,60.62
No,24.0,NNW,0.0,1016.0,No,N,22.0,7.0,1013.6,80.0,1.0,43.7,49.1,,74.12,43.0,2009-03-18,Ballarat,ENE,71.78
No,17.0,NW,0.0,1013.6,No,WNW,19.0,17.0,1011.5,37.0,1.0,48.74,64.94,1.0,86.53999999999999,56.0,2009-03-19,Ballarat,NNE,84.38000000000001
No,24.0,N,0.0,1014.7,No,NNW,26.0,,1012.7,73.0,0.0,52.879999999999995,60.980000000000004,,85.82,52.0,2009-03-20,Ballarat,,83.66
No,43.0,NNE,0.0,1013.3,No,N,12.0,22.0,1009.8,30.0,0.0,54.5,70.52,,91.58000000000001,59.0,2009-03-21,Ballarat,NNE,88.7
No,20.0,SSW,0.0,1012.1,No,WNW,59.0,15.0,1012.1,91.0,8.0,56.84,58.28,8.0,71.96,43.0,2009-03-22,Ballarat,WSW,68.9
No,20.0,S,0.0,1015.8,No,S,47.0,19.0,1014.6,92.0,7.0,50.36,51.98,,68.18,37.0,2009-03-23,Ballarat,SSE,65.3
Yes,11.0,NW,0.0,1015.9,No,SE,25.0,13.0,1015.3,78.0,3.0,47.66,53.6,1.0,69.08,39.0,2009-03-24,Ballarat,E,68.54
No,9.0,W,5.8,1015.4,Yes,WSW,60.0,6.0,1015.1,100.0,6.0,53.42,60.26,8.0,73.94,28.0,2009-03-25,Ballarat,SSE,68.36
No,22.0,WSW,0.2,1019.7,No,SSW,45.0,0.0,1020.5,92.0,5.0,50.72,57.2,1.0,70.16,44.0,2009-03-26,Ballarat,,68.54
No,17.0,S,0.0,1026.1,No,S,42.0,13.0,1024.5,92.0,2.0,41.54,47.120000000000005,,67.46,37.0,2009-03-27,Ballarat,S,64.4
No,6.0,N,0.0,1022.8,No,SE,8.0,4.0,1020.8,99.0,0.0,35.96,46.76,,79.52,28.0,2009-03-28,Ballarat,E,77.18
No,20.0,S,0.0,1022.2,No,SE,17.0,6.0,1020.8,58.0,0.0,42.08,56.66,,80.78,44.0,2009-03-29,Ballarat,ESE,79.88
No,19.0,SE,0.0,1024.2,No,SE,45.0,33.0,1022.1,81.0,2.0,51.98,55.22,,74.48,50.0,2009-03-30,Ballarat,SE,73.22
No,15.0,N,0.0,1023.3,No,N,30.0,22.0,1020.6,64.0,0.0,47.48,62.78,,81.86,46.0,2009-03-31,Ballarat,NNE,79.52
No,6.0,S,0.0,1023.2,No,SE,29.0,19.0,1020.6,53.0,0.0,51.620000000000005,64.94,,83.48,35.0,2009-04-01,Ballarat,NE,80.42
No,30.0,N,0.0,1022.5,No,NNE,36.0,20.0,1019.1,60.0,5.0,53.24,66.2,,83.48,50.0,2009-04-02,Ballarat,NNE,79.88
Yes,15.0,SW,0.0,1016.5,No,WSW,91.0,20.0,1016.3,77.0,7.0,60.26,60.26,8.0,63.68,43.0,2009-04-03,Ballarat,WSW,56.3
No,17.0,SW,4.2,1022.8,Yes,S,53.0,9.0,1022.6,95.0,5.0,41.0,46.22,8.0,58.82,33.0,2009-04-04,Ballarat,SW,56.48
No,20.0,SW,0.0,1020.0,No,W,88.0,20.0,1018.8,81.0,8.0,45.14,53.42,8.0,61.519999999999996,46.0,2009-04-05,Ballarat,WNW,54.5
No,19.0,SSW,0.2,1025.9,No,SW,53.0,19.0,1024.9,81.0,4.0,36.32,47.66,8.0,55.94,39.0,2009-04-06,Ballarat,SSW,54.5
Yes,20.0,S,0.0,1029.4,No,S,63.0,22.0,1027.6,93.0,7.0,45.5,49.1,8.0,60.26,41.0,2009-04-07,Ballarat,S,59.0
No,13.0,S,2.4,1027.7,Yes,SSE,51.0,20.0,1024.9,90.0,7.0,48.56,50.9,,65.84,33.0,2009-04-08,Ballarat,SE,65.12
No,22.0,NNW,0.2,1023.0,No,N,28.0,0.0,1019.0,77.0,,46.22,56.3,,73.22,39.0,2009-04-09,Ballarat,,71.78
No,17.0,S,0.0,1019.7,No,SE,47.0,7.0,1018.7,79.0,3.0,41.9,53.6,,68.36,37.0,2009-04-10,Ballarat,S,66.38
No,15.0,NNW,0.0,1023.4,No,SSE,25.0,15.0,1020.6,89.0,5.0,46.58,55.58,,72.68,28.0,2009-04-11,Ballarat,ESE,70.7
No,26.0,WSW,0.0,1023.0,No,WNW,28.0,6.0,1021.1,80.0,0.0,38.660000000000004,57.2,,71.24000000000001,41.0,2009-04-12,Ballarat,NNW,69.62
No,11.0,N,0.0,1022.6,No,NNW,23.0,11.0,1018.7,52.0,2.0,39.56,61.519999999999996,,75.02,30.0,2009-04-13,Ballarat,NNE,73.75999999999999
Yes,31.0,NW,0.0,1014.5,No,WNW,21.0,26.0,1010.4,48.0,1.0,47.120000000000005,63.86,,77.36,56.0,2009-04-14,Ballarat,NNE,75.56
No,20.0,WNW,1.6,1008.0,Yes,WNW,66.0,41.0,1011.4,74.0,3.0,46.76,48.56,7.0,56.3,80.0,2009-04-15,Ballarat,W,50.9
No,35.0,NW,0.4,1012.9,No,NW,48.0,28.0,1010.0,75.0,7.0,32.36,44.96,7.0,63.5,57.0,2009-04-16,Ballarat,N,60.26
No,13.0,WSW,0.2,1017.8,No,WNW,54.0,9.0,1017.6,87.0,7.0,42.8,52.879999999999995,7.0,65.3,28.0,2009-04-17,Ballarat,NNW,62.6
No,19.0,SSW,0.0,1023.8,No,SSE,63.0,9.0,1022.9,93.0,7.0,41.72,52.879999999999995,7.0,61.88,35.0,2009-04-18,Ballarat,SSW,60.8
No,20.0,SE,0.0,1025.0,No,SE,60.0,28.0,1022.5,81.0,7.0,50.72,52.52,,62.24,48.0,2009-04-19,Ballarat,SE,60.62
No,15.0,N,0.0,1023.2,No,ESE,36.0,11.0,1020.3,80.0,0.0,44.78,55.04,,70.16,35.0,2009-04-20,Ballarat,ESE,69.25999999999999
No,7.0,NNW,0.0,1024.4,No,NNE,32.0,22.0,1021.7,55.0,2.0,39.74,58.64,,69.44,31.0,2009-04-21,Ballarat,NNE,68.18
No,20.0,N,0.0,1025.0,No,N,33.0,13.0,1021.4,57.0,0.0,37.58,58.64,,69.98,41.0,2009-04-22,Ballarat,NNE,68.54
Yes,41.0,N,0.0,1017.2,No,N,39.0,35.0,1012.7,62.0,3.0,48.92,57.74,,68.18,61.0,2009-04-23,Ballarat,NNE,66.02
Yes,20.0,N,2.0,1002.2,Yes,NNE,98.0,37.0,998.1,99.0,8.0,53.42,54.32,8.0,59.18,61.0,2009-04-24,Ballarat,NNE,57.74
Yes,44.0,N,3.6,1000.5,Yes,NNW,73.0,24.0,993.0,100.0,8.0,46.04,50.18,8.0,59.9,74.0,2009-04-25,Ballarat,N,56.66
Yes,41.0,W,10.2,998.0,Yes,WNW,85.0,35.0,1000.9,77.0,7.0,38.48,43.519999999999996,8.0,49.64,78.0,2009-04-26,Ballarat,NW,46.04
Yes,20.0,NW,3.4,1011.5,Yes,NW,69.0,20.0,1010.5,99.0,7.0,34.16,40.64,7.0,50.18,35.0,2009-04-27,Ballarat,N,49.46
No,17.0,S,4.6,1020.2,Yes,SW,60.0,11.0,1020.6,92.0,3.0,38.660000000000004,42.260000000000005,8.0,50.9,35.0,2009-04-28,Ballarat,SW,47.66
No,13.0,S,0.0,1023.2,No,SSE,58.0,7.0,1021.4,93.0,8.0,35.06,41.0,8.0,50.0,24.0,2009-04-29,Ballarat,SSW,49.28
No,19.0,NNW,0.0,1022.9,No,N,41.0,,1020.4,99.0,0.0,27.68,40.1,,56.66,31.0,2009-04-30,Ballarat,,55.94
No,6.0,WNW,0.0,1023.4,No,,87.0,22.0,1022.9,69.0,7.0,39.92,46.58,,51.8,,2009-05-01,Ballarat,NNE,50.9
No,11.0,S,0.2,1028.0,No,SSE,50.0,0.0,1026.1,99.0,0.0,33.62,46.04,4.0,59.0,24.0,2009-05-02,Ballarat,,57.92
No,6.0,W,0.2,1029.6,No,W,58.0,0.0,1027.6,100.0,8.0,34.16,45.32,5.0,59.72,22.0,2009-05-03,Ballarat,,58.64
No,20.0,SSE,0.0,1031.3,No,S,72.0,13.0,1030.2,97.0,8.0,37.4,49.46,6.0,58.64,30.0,2009-05-04,Ballarat,SSW,58.459999999999994
No,9.0,SSW,0.0,1031.7,No,SSE,46.0,7.0,1028.8,78.0,4.0,40.82,48.2,,63.32,30.0,2009-05-05,Ballarat,ESE,60.08
No,17.0,S,0.0,1029.3,No,SSE,72.0,19.0,1027.1,82.0,2.0,41.36,46.4,8.0,55.04,30.0,2009-05-06,Ballarat,SE,52.879999999999995
No,20.0,SSW,0.4,1028.5,No,SSW,57.0,13.0,1027.4,100.0,8.0,46.4,50.0,7.0,59.72,35.0,2009-05-07,Ballarat,SW,58.82
No,20.0,S,0.2,1031.3,No,S,88.0,20.0,1029.4,100.0,7.0,41.72,48.379999999999995,8.0,54.32,37.0,2009-05-08,Ballarat,S,53.6
No,19.0,S,0.0,1028.6,No,S,74.0,22.0,1026.0,99.0,7.0,48.379999999999995,50.18,4.0,57.92,33.0,2009-05-09,Ballarat,S,56.66
No,17.0,SE,0.0,1026.1,No,SE,62.0,26.0,1023.9,77.0,0.0,46.04,51.08,,58.64,39.0,2009-05-10,Ballarat,SE,56.48
