wind gust dir,temp 9 am c,wind speed 9 am,rain tomorrow,wind dir 9 am,date,temp 3 pm c,wind speed 3 pm,location,wind dir 3 pm,pressure 9 am,cloud 3 pm,min temp c,max temp c,pressure 3 pm,wind gust speed,rain today,humidity 3 pm,rainfall,humidity 9 am,cloud 9 am
N,28.4,26.0,No,ENE,2013-03-26,36.7,26.0,Uluru,N,1010.1,,19.6,38.0,1004.5,46.0,No,22.0,0.0,20.0,
SW,26.8,15.0,Yes,S,2013-03-27,32.7,17.0,Uluru,SW,1009.7,,25.4,34.7,1006.6,50.0,No,39.0,0.0,61.0,
ESE,17.7,22.0,No,SE,2013-03-28,19.5,30.0,Uluru,ESE,1018.1,,16.9,20.0,1016.6,46.0,Yes,71.0,40.2,98.0,
E,17.5,31.0,Yes,E,2013-03-29,24.7,22.0,Uluru,ESE,1017.0,,14.9,26.5,1012.9,50.0,No,49.0,0.4,58.0,
,14.9,24.0,,S,2013-03-30,15.2,20.0,Uluru,SSE,1015.3,,14.8,16.4,1014.1,,Yes,95.0,7.2,98.0,
ESE,,,No,,2013-03-31,21.7,24.0,Uluru,ESE,,,14.4,23.4,1015.2,43.0,,56.0,,,
E,19.3,24.0,No,ESE,2013-04-01,25.8,26.0,Uluru,ESE,1020.1,,13.6,27.3,1016.6,44.0,No,36.0,0.0,61.0,
E,20.9,28.0,No,E,2013-04-02,25.9,20.0,Uluru,SE,1019.9,,16.0,27.7,1016.3,44.0,No,29.0,0.0,46.0,
E,21.5,26.0,No,ESE,2013-04-03,28.8,22.0,Uluru,ENE,1019.1,,15.0,29.9,1014.8,46.0,No,23.0,0.0,43.0,
ENE,21.9,22.0,No,E,2013-04-04,28.2,13.0,Uluru,ESE,1019.6,,15.4,29.7,1015.5,44.0,No,23.0,0.0,40.0,
ENE,23.0,24.0,No,E,2013-04-05,28.8,6.0,Uluru,NE,1019.4,,19.3,29.1,1015.8,35.0,No,28.0,0.0,36.0,
NE,22.4,6.0,No,SE,2013-04-06,30.2,24.0,Uluru,E,1018.7,,14.5,31.5,1014.0,39.0,No,25.0,0.0,51.0,
E,24.4,17.0,No,ESE,2013-04-07,31.2,15.0,Uluru,E,1017.9,,17.4,32.7,1014.3,39.0,No,18.0,0.0,33.0,
E,24.3,20.0,No,E,2013-04-08,32.0,24.0,Uluru,SE,1019.7,,17.2,32.3,1015.8,43.0,No,18.0,0.0,35.0,
E,24.2,19.0,No,E,2013-04-09,30.3,26.0,Uluru,ESE,1020.7,,17.1,31.7,1016.3,46.0,No,16.0,0.0,31.0,
SE,23.2,15.0,No,ESE,2013-04-10,30.5,22.0,Uluru,ESE,1019.8,,14.9,31.8,1015.4,52.0,No,16.0,0.0,30.0,
ESE,22.5,13.0,No,ESE,2013-04-11,29.9,24.0,Uluru,ESE,1018.5,,14.8,31.1,1014.9,50.0,No,16.0,0.0,30.0,
E,24.0,20.0,No,E,2013-04-12,29.5,19.0,Uluru,ESE,1018.4,,15.1,30.6,1014.4,43.0,No,17.0,0.0,28.0,
ENE,21.3,9.0,No,E,2013-04-13,30.4,9.0,Uluru,SW,1017.2,,11.8,32.0,1013.4,30.0,No,16.0,0.0,34.0,
SSW,24.2,4.0,No,E,2013-04-14,33.4,7.0,Uluru,WSW,1015.2,,15.0,33.7,1010.9,28.0,No,14.0,0.0,31.0,
SE,25.5,20.0,No,SE,2013-04-15,30.7,17.0,Uluru,SSW,1013.1,,18.5,32.4,1009.7,30.0,No,26.0,0.0,34.0,
ENE,21.7,24.0,No,E,2013-04-16,29.3,4.0,Uluru,E,1015.9,,15.5,29.9,1011.8,35.0,No,29.0,0.0,48.0,
SSE,21.8,13.0,No,ESE,2013-04-17,30.5,7.0,Uluru,SSW,1015.2,,14.9,31.9,1011.3,28.0,No,21.0,0.0,38.0,
ENE,22.7,22.0,No,E,2013-04-18,32.0,7.0,Uluru,NNW,1015.6,,16.0,32.6,1012.4,31.0,No,19.0,0.0,32.0,
ENE,22.7,13.0,No,ESE,2013-04-19,33.0,9.0,Uluru,ESE,1017.6,,16.1,33.5,1013.6,31.0,No,19.0,0.0,33.0,
NNW,23.0,9.0,No,ESE,2013-04-20,35.0,15.0,Uluru,WSW,1015.0,,15.9,36.0,1010.0,30.0,No,15.0,0.0,35.0,
S,25.2,24.0,No,SSW,2013-04-21,33.2,15.0,Uluru,WSW,1010.5,,15.4,33.8,1008.1,39.0,No,26.0,0.0,31.0,
ENE,23.2,19.0,No,E,2013-04-22,29.5,11.0,Uluru,E,1014.1,,15.7,31.2,1010.9,31.0,No,29.0,0.0,46.0,
ENE,21.7,22.0,No,E,2013-04-23,29.3,15.0,Uluru,NE,1017.4,,16.3,29.9,1014.4,39.0,No,28.0,0.0,47.0,
E,20.5,19.0,No,ESE,2013-04-24,27.7,19.0,Uluru,SE,1021.2,,14.6,29.3,1016.9,39.0,No,24.0,0.0,41.0,
ENE,19.2,19.0,No,ESE,2013-04-25,28.0,20.0,Uluru,ENE,1023.0,,13.8,28.9,1019.2,39.0,No,21.0,0.0,40.0,
ENE,20.7,24.0,No,ENE,2013-04-26,28.2,19.0,Uluru,NE,1022.7,,11.0,29.6,1018.5,48.0,No,14.0,0.0,34.0,
NE,19.1,7.0,No,ESE,2013-04-27,28.2,11.0,Uluru,SE,1020.6,,8.4,29.2,1016.2,22.0,No,16.0,0.0,27.0,
S,17.1,7.0,No,SE,2013-04-28,29.7,2.0,Uluru,SW,1019.1,,11.0,30.8,1015.1,28.0,No,12.0,0.0,36.0,
NNW,18.1,11.0,No,SSE,2013-04-29,32.4,7.0,Uluru,NNE,1019.2,,8.4,32.6,1015.7,24.0,No,10.0,0.0,32.0,
SSE,22.4,9.0,No,E,2013-04-30,31.7,15.0,Uluru,ENE,1020.2,,11.9,32.8,1016.1,37.0,No,10.0,0.0,21.0,
E,20.5,11.0,No,SE,2013-05-01,31.6,19.0,Uluru,ENE,1020.2,,11.6,32.5,1016.2,37.0,No,11.0,0.0,21.0,
ESE,21.6,17.0,No,E,2013-05-02,31.7,17.0,Uluru,E,1019.6,,12.4,32.4,1016.0,41.0,No,12.0,0.0,21.0,
NNE,20.5,15.0,No,ESE,2013-05-03,31.4,11.0,Uluru,ENE,1019.9,,14.1,32.8,1016.0,35.0,No,15.0,0.0,33.0,
NNE,21.7,11.0,No,SE,2013-05-04,32.6,4.0,Uluru,ENE,1020.5,,14.3,33.0,1016.0,28.0,No,15.0,0.0,33.0,
SW,21.6,22.0,No,SSW,2013-05-05,28.6,6.0,Uluru,N,1019.3,,15.9,29.0,1014.8,37.0,No,28.0,0.0,52.0,
ENE,21.4,11.0,No,ESE,2013-05-06,30.3,9.0,Uluru,ESE,1017.8,,11.9,31.3,1013.3,22.0,No,19.0,0.0,44.0,
NNE,20.6,11.0,No,ESE,2013-05-07,31.8,15.0,Uluru,NE,1016.6,,12.1,32.6,1012.8,43.0,No,16.0,0.0,36.0,
ENE,21.3,15.0,No,ESE,2013-05-08,31.9,9.0,Uluru,NE,1018.8,,14.4,32.3,1014.2,33.0,No,16.0,0.0,30.0,
NNE,20.6,7.0,No,SE,2013-05-09,29.9,9.0,Uluru,NNE,1018.8,,13.8,30.9,1015.5,31.0,No,21.0,0.0,39.0,
NW,17.1,9.0,No,S,2013-05-10,31.0,13.0,Uluru,NNE,1019.4,,13.4,31.9,1014.7,26.0,No,22.0,0.0,61.0,
S,21.4,15.0,Yes,SSE,2013-05-11,28.7,19.0,Uluru,S,1016.9,,15.6,31.3,1012.9,50.0,No,34.0,0.0,51.0,
SE,15.7,11.0,No,SSE,2013-05-12,19.6,15.0,Uluru,SE,1021.9,,14.3,20.2,1019.6,30.0,Yes,60.0,4.0,87.0,
SSE,13.3,20.0,No,SSE,2013-05-13,19.2,17.0,Uluru,S,1024.6,,8.1,20.3,1020.1,35.0,No,37.0,0.0,66.0,
ESE,12.0,13.0,No,ESE,2013-05-14,16.2,19.0,Uluru,SE,1021.9,,7.8,17.0,1017.8,31.0,No,39.0,0.0,59.0,
NNE,12.1,9.0,No,S,2013-05-15,16.0,9.0,Uluru,NE,1018.9,,10.5,17.6,1015.2,30.0,No,52.0,0.0,65.0,
E,10.3,6.0,No,SE,2013-05-16,20.5,11.0,Uluru,SSE,1018.9,,3.3,21.6,1015.9,28.0,No,30.0,0.0,79.0,
NE,12.5,13.0,No,SE,2013-05-17,21.3,13.0,Uluru,E,1019.3,,5.1,23.1,1015.8,35.0,No,38.0,0.0,59.0,
E,12.4,9.0,No,SE,2013-05-18,22.5,2.0,Uluru,SE,1020.9,,5.5,23.7,1016.4,30.0,No,25.0,0.0,60.0,
NNW,15.9,4.0,No,ESE,2013-05-19,22.6,6.0,Uluru,NNE,1018.1,,11.5,23.4,1013.8,28.0,No,55.0,0.0,57.0,
NE,17.6,6.0,Yes,ENE,2013-05-20,17.8,17.0,Uluru,NNE,1014.2,,13.6,20.3,1011.6,33.0,No,100.0,0.0,69.0,
N,17.7,11.0,No,SW,2013-05-21,21.0,20.0,Uluru,WSW,1010.0,,16.6,22.3,1008.5,39.0,Yes,53.0,42.4,95.0,
SSW,14.6,20.0,No,SSW,2013-05-22,20.0,19.0,Uluru,S,1016.5,,10.0,20.9,1015.8,35.0,No,54.0,0.0,76.0,
SE,12.8,24.0,No,SSE,2013-05-23,17.6,19.0,Uluru,SE,1023.5,,9.9,18.5,1020.8,39.0,No,47.0,0.0,69.0,
E,11.2,20.0,No,ESE,2013-05-24,18.9,26.0,Uluru,E,1026.5,,8.3,19.8,1023.2,46.0,No,39.0,0.0,75.0,
NE,12.1,24.0,No,ESE,2013-05-25,19.5,28.0,Uluru,E,1026.5,,8.3,20.4,1022.8,48.0,No,32.0,0.0,68.0,
ENE,11.6,28.0,No,E,2013-05-26,19.9,26.0,Uluru,ENE,1025.0,,5.9,20.5,1020.3,46.0,No,27.0,0.0,58.0,
E,10.5,13.0,No,ESE,2013-05-27,19.5,13.0,Uluru,E,1023.1,,5.6,20.8,1018.9,39.0,No,30.0,0.0,60.0,
N,11.8,9.0,No,E,2013-05-28,24.1,11.0,Uluru,NNW,1020.3,,5.8,24.5,1016.5,30.0,No,27.0,0.0,61.0,
N,14.4,7.0,No,SE,2013-05-29,27.2,13.0,Uluru,NW,1018.5,,7.3,27.4,1014.3,31.0,No,23.0,0.0,59.0,
NNE,18.5,13.0,Yes,ENE,2013-05-30,23.6,2.0,Uluru,E,1017.3,,14.4,24.7,1013.8,24.0,No,44.0,0.0,61.0,
WSW,17.0,4.0,No,ENE,2013-05-31,23.0,11.0,Uluru,W,1016.9,,16.1,23.6,1014.6,28.0,Yes,59.0,1.6,90.0,
SSW,12.2,19.0,No,S,2013-06-01,13.1,13.0,Uluru,S,1022.9,,12.1,13.4,1020.8,31.0,No,64.0,0.2,67.0,
ESE,13.2,17.0,No,SE,2013-06-02,16.9,24.0,Uluru,ESE,1025.0,,10.6,17.5,1022.5,41.0,No,57.0,0.0,78.0,
ESE,11.9,24.0,No,E,2013-06-03,15.3,22.0,Uluru,E,1025.8,,11.0,15.9,1023.0,41.0,No,55.0,0.0,71.0,
E,11.9,20.0,Yes,E,2013-06-04,13.4,17.0,Uluru,E,1022.4,,11.2,14.5,1019.0,33.0,No,65.0,0.0,62.0,
ENE,11.7,9.0,Yes,E,2013-06-05,16.2,6.0,Uluru,N,1019.3,,10.8,16.4,1016.3,20.0,Yes,68.0,4.0,89.0,
E,13.5,9.0,No,E,2013-06-06,14.7,6.0,Uluru,SE,1020.8,,11.7,15.1,1019.4,20.0,Yes,76.0,2.8,92.0,
E,13.8,11.0,No,SE,2013-06-07,18.2,19.0,Uluru,ESE,1025.7,,12.2,18.9,1023.1,37.0,No,65.0,0.4,87.0,
E,14.6,24.0,No,E,2013-06-08,19.0,17.0,Uluru,E,1025.4,,13.6,19.6,1020.9,33.0,No,65.0,0.0,88.0,
E,14.0,15.0,No,SE,2013-06-09,23.3,9.0,Uluru,S,1022.2,,10.9,24.3,1018.1,24.0,No,44.0,0.0,78.0,
ENE,15.2,15.0,No,ESE,2013-06-10,25.2,7.0,Uluru,NNE,1019.9,,10.2,26.2,1016.0,24.0,No,37.0,0.0,76.0,
S,16.2,24.0,No,S,2013-06-11,21.0,24.0,Uluru,SSW,1019.0,,11.9,21.5,1017.6,43.0,No,34.0,0.0,78.0,
S,8.7,9.0,No,S,2013-06-12,16.5,15.0,Uluru,SSE,1022.4,,3.1,17.3,1017.8,33.0,No,45.0,0.2,81.0,
ESE,10.9,9.0,No,SSE,2013-06-13,18.1,13.0,Uluru,E,1019.4,,8.1,19.0,1016.1,30.0,No,38.0,0.0,73.0,
ESE,9.4,20.0,No,ESE,2013-06-14,17.2,24.0,Uluru,E,1021.7,,5.3,17.9,1018.1,43.0,No,38.0,0.0,71.0,
E,10.3,15.0,No,ESE,2013-06-15,16.4,15.0,Uluru,ESE,1021.9,,9.2,17.1,1018.3,33.0,No,42.0,0.0,66.0,
ESE,10.2,17.0,No,ESE,2013-06-16,15.4,9.0,Uluru,ESE,1020.6,,9.0,15.7,1016.5,30.0,No,53.0,0.2,75.0,
E,11.5,9.0,No,SE,2013-06-17,18.0,11.0,Uluru,E,1017.6,,9.7,18.7,1014.4,20.0,No,45.0,0.2,81.0,
E,11.6,17.0,Yes,ESE,2013-06-18,18.0,19.0,Uluru,E,1018.1,,9.4,18.4,1016.4,26.0,No,41.0,0.4,64.0,
SE,10.1,15.0,Yes,ESE,2013-06-19,10.6,13.0,Uluru,ESE,1020.2,,9.7,11.5,1019.5,26.0,Yes,85.0,2.4,89.0,
SE,9.8,11.0,No,E,2013-06-20,15.2,13.0,Uluru,SSE,1023.1,,7.7,16.2,1020.6,28.0,Yes,56.0,2.6,92.0,
SSW,7.8,4.0,No,S,2013-06-21,16.6,7.0,Uluru,SSE,1023.2,,3.5,17.9,1021.3,19.0,No,36.0,0.2,94.0,
ESE,8.3,9.0,No,S,2013-06-22,18.3,7.0,Uluru,NNW,1023.5,,3.5,18.6,1021.1,19.0,No,34.0,0.0,84.0,
E,6.7,9.0,No,SE,2013-06-23,17.2,7.0,Uluru,SE,1025.0,,-0.1,18.2,1020.9,28.0,No,31.0,0.0,81.0,
ENE,9.1,9.0,No,SE,2013-06-24,17.5,4.0,Uluru,WNW,1023.1,,4.9,18.0,1020.4,20.0,No,30.0,0.0,63.0,
NNW,11.5,9.0,Yes,ESE,2013-06-25,19.1,13.0,Uluru,NNW,1021.6,,9.1,19.3,1019.4,31.0,No,31.0,0.8,78.0,
NNW,11.3,9.0,No,E,2013-06-26,13.6,9.0,Uluru,NNE,1018.7,,10.7,13.8,1017.1,24.0,Yes,70.0,1.4,88.0,
ENE,11.6,11.0,No,ESE,2013-06-27,16.7,11.0,Uluru,E,1018.8,,11.0,17.8,1016.8,24.0,No,61.0,0.8,86.0,
ESE,12.3,19.0,No,ESE,2013-06-28,18.8,22.0,Uluru,E,1022.4,,8.7,20.1,1020.8,35.0,No,38.0,0.0,64.0,
ENE,10.6,19.0,No,SE,2013-06-29,18.9,30.0,Uluru,E,1029.0,,7.6,19.5,1026.9,48.0,No,34.0,0.0,65.0,
E,9.8,20.0,No,ESE,2013-06-30,17.7,24.0,Uluru,ESE,1032.2,,6.6,18.9,1028.8,46.0,No,29.0,0.0,65.0,
ESE,8.6,15.0,No,SE,2013-07-01,18.7,24.0,Uluru,E,1030.6,,4.4,19.1,1026.2,43.0,No,34.0,0.0,70.0,
E,9.0,15.0,No,ESE,2013-07-02,18.7,17.0,Uluru,E,1027.8,,3.8,19.5,1023.2,35.0,No,33.0,0.0,71.0,
WNW,8.2,9.0,No,SE,2013-07-03,19.9,7.0,Uluru,WSW,1023.8,,1.5,21.3,1019.5,22.0,No,28.0,0.0,69.0,
WNW,8.5,0.0,No,,2013-07-04,22.0,11.0,Uluru,NW,1019.9,,0.4,23.0,1015.4,28.0,No,24.0,0.0,64.0,
E,10.5,15.0,No,SSE,2013-07-05,17.7,17.0,Uluru,E,1022.5,,6.3,18.7,1019.4,31.0,No,37.0,0.0,51.0,
E,8.6,17.0,No,SE,2013-07-06,20.9,9.0,Uluru,ENE,1023.4,,5.5,21.5,1020.1,26.0,No,26.0,0.0,67.0,
NE,9.1,13.0,No,SE,2013-07-07,22.2,19.0,Uluru,NE,1025.9,,4.7,22.5,1023.0,43.0,No,22.0,0.0,54.0,
E,10.6,22.0,No,E,2013-07-08,18.7,31.0,Uluru,E,1029.3,,5.7,19.2,1025.6,48.0,No,26.0,0.0,47.0,
E,8.2,17.0,No,ESE,2013-07-09,10.7,17.0,Uluru,SE,1027.4,,7.7,11.5,1023.6,39.0,No,80.0,0.0,92.0,
ENE,9.2,17.0,No,E,2013-07-10,18.7,17.0,Uluru,E,1024.6,,8.1,20.8,1020.3,31.0,No,57.0,0.0,99.0,
E,12.9,15.0,No,SE,2013-07-11,22.1,13.0,Uluru,ENE,1024.4,,9.0,23.1,1019.7,35.0,No,49.0,0.0,92.0,
WNW,14.3,13.0,No,ESE,2013-07-12,27.8,22.0,Uluru,NNW,1020.5,,10.2,27.9,1015.8,44.0,No,30.0,0.0,85.0,
WNW,15.5,0.0,No,,2013-07-13,27.7,24.0,Uluru,NW,1016.6,,10.5,28.4,1014.5,46.0,No,33.0,0.0,80.0,
SE,14.1,9.0,No,SSE,2013-07-14,24.3,9.0,Uluru,NE,1021.2,,8.7,24.8,1018.2,26.0,No,33.0,0.0,61.0,
E,12.4,13.0,No,ESE,2013-07-15,21.9,20.0,Uluru,ENE,1024.1,,8.0,23.0,1020.0,39.0,No,39.0,0.0,70.0,
NNW,12.3,13.0,No,ESE,2013-07-16,25.1,9.0,Uluru,N,1021.6,,7.5,26.4,1016.4,31.0,No,35.0,0.0,74.0,
NNW,13.3,4.0,No,W,2013-07-17,27.3,37.0,Uluru,NW,1013.0,,8.4,28.6,1007.7,67.0,No,22.0,0.0,77.0,
WSW,8.9,7.0,No,N,2013-07-18,19.3,15.0,Uluru,SW,1016.0,,4.4,19.9,1013.5,41.0,No,25.0,0.0,54.0,
SSE,9.2,19.0,No,S,2013-07-19,14.7,22.0,Uluru,SSE,1021.2,,2.3,15.8,1020.7,37.0,No,39.0,0.0,72.0,
SE,9.3,20.0,No,SSE,2013-07-20,16.1,17.0,Uluru,SE,1025.8,,1.5,16.8,1021.2,44.0,No,32.0,0.0,64.0,
SSE,9.5,9.0,No,S,2013-07-21,15.3,9.0,Uluru,S,1023.7,,0.9,16.1,1020.1,28.0,No,38.0,0.0,74.0,
E,7.3,11.0,No,SSE,2013-07-22,16.9,11.0,Uluru,E,1026.4,,-0.2,17.4,1023.7,33.0,No,30.0,0.0,63.0,
E,7.6,19.0,No,E,2013-07-23,17.3,20.0,Uluru,E,1030.6,,2.9,17.9,1027.4,41.0,No,27.0,0.0,62.0,
E,7.7,15.0,No,E,2013-07-24,18.0,13.0,Uluru,ENE,1030.4,,2.3,18.8,1026.2,50.0,No,25.0,0.0,55.0,
ENE,7.4,11.0,No,SE,2013-07-25,19.5,11.0,Uluru,E,1027.9,,-0.9,20.3,1023.7,31.0,No,21.0,0.0,54.0,
NNW,9.0,11.0,No,ESE,2013-07-26,20.9,15.0,Uluru,NNE,1024.5,,1.4,21.9,1019.5,28.0,No,16.0,0.0,54.0,
NW,10.2,0.0,No,,2013-07-27,24.4,22.0,Uluru,WNW,1019.1,,-0.1,25.2,1014.9,54.0,No,15.0,0.0,44.0,
SW,13.1,6.0,No,S,2013-07-28,23.3,7.0,Uluru,SSW,1019.6,,2.8,24.9,1017.1,33.0,No,23.0,0.0,38.0,
E,11.2,11.0,No,SSE,2013-07-29,22.5,15.0,Uluru,ENE,1024.0,,3.5,22.9,1020.8,39.0,No,27.0,0.0,57.0,
E,11.5,20.0,No,E,2013-07-30,20.5,26.0,Uluru,E,1024.4,,6.1,21.3,1019.7,52.0,No,29.0,0.0,58.0,
ENE,11.6,20.0,No,E,2013-07-31,21.3,11.0,Uluru,SSE,1021.9,,5.8,22.5,1017.8,35.0,No,26.0,0.0,50.0,
SSW,11.7,9.0,No,ESE,2013-08-01,23.1,7.0,Uluru,ENE,1020.0,,5.6,24.8,1016.7,28.0,No,24.0,0.0,48.0,
E,13.9,15.0,No,SE,2013-08-02,22.8,15.0,Uluru,ESE,1023.9,,6.5,23.8,1021.4,33.0,No,18.0,0.0,41.0,
SSW,11.0,7.0,No,SE,2013-08-03,22.2,9.0,Uluru,SSE,1026.8,,2.1,22.7,1022.8,30.0,No,25.0,0.0,54.0,
ESE,10.8,4.0,No,SE,2013-08-04,22.7,13.0,Uluru,E,1025.6,,0.7,23.5,1021.2,30.0,No,21.0,0.0,50.0,
NW,10.9,9.0,No,S,2013-08-05,24.0,20.0,Uluru,WNW,1023.1,,1.9,25.2,1018.3,33.0,No,15.0,0.0,49.0,
W,12.6,2.0,No,N,2013-08-06,26.2,20.0,Uluru,W,1020.4,,1.3,27.2,1016.7,33.0,No,12.0,0.0,38.0,
SW,14.1,6.0,No,SE,2013-08-07,25.9,13.0,Uluru,SSE,1020.7,,3.9,27.0,1017.3,28.0,No,15.0,0.0,37.0,
NE,14.2,6.0,No,ESE,2013-08-08,27.2,9.0,Uluru,NNW,1020.6,,5.9,27.9,1016.5,22.0,No,15.0,0.0,43.0,
NNW,14.2,6.0,No,SSE,2013-08-09,28.4,17.0,Uluru,WNW,1018.6,,6.2,29.6,1015.3,35.0,No,12.0,0.0,44.0,
NNW,15.8,11.0,No,SE,2013-08-10,29.6,19.0,Uluru,NNW,1017.7,,6.7,30.5,1014.9,35.0,No,12.0,0.0,36.0,
NW,15.5,7.0,No,S,2013-08-11,30.5,20.0,Uluru,W,1015.6,,6.2,31.5,1012.2,43.0,No,11.0,0.0,39.0,
SE,17.6,22.0,No,SE,2013-08-12,25.1,11.0,Uluru,NE,1017.7,,11.0,26.1,1015.3,33.0,No,33.0,0.0,55.0,
NW,16.9,15.0,No,E,2013-08-13,28.7,22.0,Uluru,NW,1017.9,,8.6,29.3,1013.2,35.0,No,20.0,0.0,49.0,
S,18.6,9.0,No,SE,2013-08-14,25.1,17.0,Uluru,SSE,1018.5,,10.3,25.8,1017.0,43.0,No,17.0,0.0,28.0,
E,14.9,28.0,No,E,2013-08-15,24.9,19.0,Uluru,NE,1020.4,,9.3,26.4,1014.2,48.0,No,21.0,0.0,38.0,
WSW,19.7,13.0,No,WNW,2013-08-16,23.5,15.0,Uluru,W,1010.7,,13.9,25.5,1011.0,48.0,No,21.0,0.0,36.0,
SSW,11.6,9.0,No,SSE,2013-08-17,21.4,11.0,Uluru,ESE,1020.8,,1.8,22.2,1017.2,28.0,No,12.0,0.0,31.0,
SSE,13.0,7.0,No,SSE,2013-08-18,24.6,11.0,Uluru,SE,1021.0,,2.2,26.0,1017.2,24.0,No,9.0,0.0,26.0,
ESE,15.0,26.0,No,ESE,2013-08-19,23.6,17.0,Uluru,ESE,1021.7,,5.6,24.9,1017.7,43.0,No,18.0,0.0,36.0,
E,13.0,26.0,No,ESE,2013-08-20,22.1,17.0,Uluru,E,1022.4,,8.8,23.0,1018.8,43.0,No,29.0,0.0,53.0,
S,12.4,13.0,No,SE,2013-08-21,21.2,9.0,Uluru,SE,1022.4,,7.1,22.7,1019.0,30.0,No,23.0,0.0,47.0,
SSE,13.8,11.0,No,SSE,2013-08-22,20.6,13.0,Uluru,SSW,1024.7,,2.9,21.6,1021.6,35.0,No,23.0,0.0,37.0,
SE,12.7,13.0,No,SE,2013-08-23,22.5,9.0,Uluru,SE,1026.3,,2.0,23.2,1022.4,31.0,No,21.0,0.0,47.0,
