Wind.Speed.3.pm,Rainfall,Rain.Tomorrow,Wind.Speed.9.am,Location,Date,Pressure.9.am,Humidity.3.pm,Evaporation,Cloud.3.pm,Wind.Dir.9.am,Temp.3.pm.C,Wind.Dir.3.pm,Humidity.9.am,Cloud.9.am,Min.Temp.C,Pressure.3.pm,Wind.Gust.Speed,Rain.Today,Temp.9.am.C,Sunshine,Wind.Gust.Dir,Max.Temp.C
20.0,0.8,No,11.0,Portland,2009-03-08,1022.0,68.0,3.6,6.0,SE,15.5,SE,81.0,7.0,12.0,1021.9,37.0,No,13.0,7.4,ESE,17.1
22.0,0.0,No,15.0,Portland,2009-03-09,1022.2,60.0,4.0,4.0,ESE,18.2,ESE,68.0,5.0,12.6,1020.5,37.0,No,15.1,11.2,SE,18.8
26.0,0.0,No,24.0,Portland,2009-03-10,1020.9,71.0,4.2,6.0,SE,19.7,SE,91.0,8.0,14.7,1019.3,41.0,No,16.1,4.9,ESE,21.3
17.0,0.0,No,15.0,Portland,2009-03-11,1020.2,65.0,3.0,5.0,E,21.7,SE,95.0,8.0,15.2,1017.4,35.0,No,16.2,4.6,ESE,23.8
26.0,0.0,No,9.0,Portland,2009-03-12,1015.7,68.0,5.0,3.0,N,23.3,W,84.0,3.0,15.1,1014.5,35.0,No,18.4,10.5,W,27.3
9.0,0.0,Yes,0.0,Portland,2009-03-13,1016.2,62.0,4.0,1.0,,23.4,S,97.0,8.0,15.4,1014.0,22.0,No,15.9,8.7,ESE,25.2
41.0,10.8,Yes,26.0,Portland,2009-03-14,1008.3,88.0,6.4,6.0,W,11.6,WSW,93.0,5.0,14.3,1008.8,69.0,Yes,14.5,8.1,W,19.1
39.0,12.4,Yes,30.0,Portland,2009-03-15,1011.1,58.0,4.6,6.0,WSW,15.2,WSW,59.0,7.0,10.7,1011.7,57.0,Yes,13.0,7.8,WSW,17.4
22.0,2.8,No,20.0,Portland,2009-03-16,1013.4,73.0,3.0,7.0,WSW,15.3,SW,93.0,5.0,11.7,1015.3,50.0,Yes,12.4,5.9,WSW,16.7
13.0,0.6,No,9.0,Portland,2009-03-17,1019.7,69.0,3.0,8.0,SSW,14.3,S,69.0,7.0,12.0,1019.9,28.0,No,13.1,0.0,SSW,15.1
9.0,0.0,No,13.0,Portland,2009-03-18,1016.4,51.0,1.8,8.0,NNE,20.2,W,89.0,2.0,7.6,1013.2,26.0,No,10.6,9.5,W,21.0
13.0,0.2,No,13.0,Portland,2009-03-19,1012.0,66.0,5.2,2.0,NW,18.5,S,62.0,1.0,10.5,1013.3,33.0,No,17.9,10.7,W,20.5
9.0,0.0,No,0.0,Portland,2009-03-20,1016.4,58.0,3.2,0.0,,20.8,SE,99.0,2.0,5.9,1013.8,,No,12.7,10.6,,21.5
37.0,0.0,Yes,9.0,Portland,2009-03-21,1010.3,19.0,3.6,,N,31.3,NW,76.0,1.0,10.8,1007.0,56.0,No,15.6,7.5,NW,33.6
17.0,2.0,No,17.0,Portland,2009-03-22,1015.4,64.0,4.0,7.0,S,15.7,S,78.0,7.0,13.7,1016.4,33.0,Yes,14.3,1.5,SSW,17.2
15.0,0.0,No,,Portland,2009-03-23,1018.6,51.0,2.8,2.0,,16.7,S,90.0,4.0,6.8,1017.7,,No,10.6,10.5,,17.9
15.0,0.0,Yes,9.0,Portland,2009-03-24,1017.7,70.0,3.8,8.0,N,17.1,E,96.0,8.0,5.1,1015.0,24.0,No,9.4,0.2,E,17.8
20.0,4.4,No,7.0,Portland,2009-03-25,1015.9,72.0,3.0,4.0,NNW,20.1,W,98.0,8.0,9.3,1015.6,31.0,Yes,15.2,6.5,W,21.0
31.0,0.0,No,24.0,Portland,2009-03-26,1020.4,60.0,1.8,3.0,W,17.3,WSW,87.0,5.0,14.9,1023.5,50.0,No,16.2,7.2,WSW,19.2
19.0,0.0,No,4.0,Portland,2009-03-27,1028.0,56.0,3.6,3.0,WSW,17.3,W,89.0,7.0,5.8,1026.9,31.0,No,10.9,9.4,WNW,17.9
20.0,0.0,No,7.0,Portland,2009-03-28,1023.2,47.0,2.6,0.0,NNW,20.8,W,99.0,0.0,3.2,1020.8,26.0,No,9.5,10.7,WSW,23.2
15.0,0.0,No,6.0,Portland,2009-03-29,1022.4,70.0,4.8,3.0,WSW,19.6,S,74.0,,3.3,1023.0,31.0,No,11.5,10.5,SE,20.1
24.0,0.0,No,22.0,Portland,2009-03-30,1026.8,63.0,3.0,5.0,ESE,17.4,SE,67.0,6.0,11.4,1025.8,43.0,No,14.8,8.1,ESE,18.5
9.0,0.0,No,13.0,Portland,2009-03-31,1022.3,52.0,3.2,,E,24.4,SSW,90.0,,14.7,1020.0,26.0,No,15.4,8.1,E,24.8
13.0,0.0,No,17.0,Portland,2009-04-01,1020.6,25.0,4.0,4.0,N,29.7,N,58.0,5.0,12.0,1019.1,,No,18.7,10.2,,30.5
20.0,0.0,No,13.0,Portland,2009-04-02,,32.0,6.4,6.0,N,29.7,NNW,,7.0,,1016.2,37.0,No,19.5,8.7,SSW,31.1
37.0,0.2,No,20.0,Portland,2009-04-03,1018.4,66.0,5.6,7.0,WSW,16.5,W,70.0,4.0,13.3,1017.0,,No,13.8,5.5,,
24.0,0.2,Yes,15.0,Portland,2009-04-04,1024.1,100.0,3.4,6.0,SW,15.9,W,65.0,4.0,,1023.7,39.0,No,12.6,1.2,SW,16.9
28.0,5.4,No,28.0,Portland,2009-04-05,1019.9,53.0,1.6,6.0,W,15.0,SW,92.0,7.0,12.2,1021.0,57.0,Yes,13.9,5.0,W,17.0
19.0,0.2,No,20.0,Portland,2009-04-06,1027.6,61.0,2.6,6.0,SSW,13.6,SSW,58.0,7.0,8.2,1027.6,39.0,No,12.8,3.2,SW,15.1
17.0,1.0,Yes,11.0,Portland,2009-04-07,1031.5,81.0,2.2,7.0,SSW,14.4,S,88.0,8.0,10.6,1030.1,30.0,No,12.8,5.0,SSW,15.9
11.0,2.4,Yes,9.0,Portland,2009-04-08,1029.2,80.0,1.2,7.0,S,14.4,S,91.0,7.0,10.2,1027.1,20.0,Yes,13.5,3.6,S,15.3
13.0,1.6,No,0.0,Portland,2009-04-09,1023.5,65.0,1.2,1.0,,16.3,SSW,89.0,8.0,10.2,1020.0,20.0,Yes,12.4,4.5,SSW,17.0
20.0,0.0,No,11.0,Portland,2009-04-10,1020.9,68.0,1.4,1.0,NNW,17.1,W,89.0,3.0,7.7,1020.2,31.0,No,12.9,5.4,W,19.3
19.0,0.0,No,9.0,Portland,2009-04-11,1023.9,51.0,1.6,3.0,NNE,18.5,WSW,88.0,5.0,8.0,1021.8,26.0,No,13.8,8.9,W,19.9
13.0,0.2,No,7.0,Portland,2009-04-12,1023.3,57.0,2.0,1.0,NW,17.5,SSW,97.0,2.0,7.2,1021.8,22.0,No,13.7,9.4,NE,19.7
11.0,0.0,No,9.0,Portland,2009-04-13,1021.7,56.0,2.6,1.0,NNE,19.3,S,89.0,0.0,5.7,1017.7,22.0,No,10.8,9.8,ESE,22.2
41.0,0.2,Yes,20.0,Portland,2009-04-14,1012.8,55.0,4.4,3.0,WNW,17.4,W,81.0,4.0,10.0,1010.5,57.0,No,15.3,8.5,WNW,18.8
26.0,6.6,No,37.0,Portland,2009-04-15,1008.2,59.0,4.8,6.0,WSW,13.4,WSW,62.0,7.0,8.7,1011.5,104.0,Yes,11.7,7.3,NW,15.1
37.0,0.2,No,26.0,Portland,2009-04-16,1009.1,56.0,2.2,3.0,NNW,16.6,WNW,75.0,4.0,9.3,1009.3,52.0,No,12.6,8.1,NW,17.2
22.0,0.8,Yes,19.0,Portland,2009-04-17,1016.6,74.0,3.0,6.0,NW,16.3,W,93.0,8.0,11.3,1017.6,37.0,No,14.2,7.2,W,17.4
13.0,1.4,No,13.0,Portland,2009-04-18,1024.1,82.0,1.8,5.0,WSW,15.5,SSW,92.0,7.0,11.8,1024.2,26.0,Yes,15.0,3.7,WSW,16.8
17.0,1.0,No,13.0,Portland,2009-04-19,1027.1,70.0,1.4,8.0,SE,14.2,SE,84.0,8.0,12.4,1024.9,28.0,No,13.6,4.1,SE,14.7
13.0,0.0,No,22.0,Portland,2009-04-20,1022.9,58.0,2.4,0.0,ENE,19.4,E,83.0,7.0,9.9,1020.1,39.0,No,13.1,8.7,E,20.3
11.0,0.0,No,13.0,Portland,2009-04-21,1022.6,45.0,2.2,2.0,N,22.2,SW,75.0,2.0,6.6,1020.6,30.0,No,12.9,6.1,WNW,23.5
13.0,0.2,No,11.0,Portland,2009-04-22,1023.2,29.0,2.6,1.0,N,23.1,NNE,64.0,1.0,6.3,1019.8,28.0,No,13.7,9.9,NNE,23.5
19.0,0.0,Yes,13.0,Portland,2009-04-23,1014.0,37.0,5.4,8.0,NE,21.8,NNE,65.0,7.0,6.7,1008.8,44.0,No,14.0,0.4,NNE,22.0
19.0,1.2,Yes,17.0,Portland,2009-04-24,998.9,97.0,3.4,8.0,N,14.3,SSW,97.0,8.0,14.0,996.9,48.0,Yes,14.7,1.6,N,16.9
33.0,31.2,Yes,20.0,Portland,2009-04-25,997.8,79.0,0.6,4.0,NNW,13.0,W,93.0,6.0,10.6,989.9,91.0,Yes,11.7,5.1,W,16.5
37.0,18.8,Yes,57.0,Portland,2009-04-26,996.5,75.0,3.6,7.0,W,11.2,WSW,60.0,7.0,7.4,1002.5,93.0,Yes,11.0,6.4,W,12.1
17.0,8.8,Yes,13.0,Portland,2009-04-27,1010.9,87.0,1.8,8.0,NNW,10.4,WNW,95.0,6.0,6.3,1011.2,31.0,Yes,8.4,0.8,SSE,10.9
13.0,3.6,No,13.0,Portland,2009-04-28,1022.0,52.0,1.4,6.0,S,11.7,S,64.0,4.0,7.1,1022.7,37.0,Yes,9.7,3.4,SW,13.0
11.0,0.0,No,9.0,Portland,2009-04-29,1024.2,50.0,1.6,3.0,N,13.1,ESE,71.0,8.0,5.3,1022.3,17.0,No,9.0,7.0,ESE,14.8
24.0,0.0,Yes,9.0,Portland,2009-04-30,1022.4,49.0,1.4,4.0,NNE,16.6,NNW,78.0,1.0,1.8,1018.4,39.0,No,6.8,8.7,WNW,17.0
19.0,7.2,No,9.0,Portland,2009-05-01,1022.6,58.0,2.4,4.0,NNW,13.9,WSW,95.0,6.0,6.8,1022.8,37.0,Yes,10.6,4.6,NW,14.9
17.0,0.0,No,7.0,Portland,2009-05-02,1027.8,70.0,1.6,7.0,NNW,15.1,W,90.0,6.0,4.8,1026.5,31.0,No,10.9,6.9,W,16.3
17.0,0.8,Yes,7.0,Portland,2009-05-03,1029.1,91.0,0.8,7.0,N,13.7,W,99.0,7.0,6.8,1027.9,30.0,No,12.4,5.0,WNW,15.1
11.0,1.8,No,9.0,Portland,2009-05-04,1031.6,73.0,1.0,4.0,SW,15.1,SSE,99.0,7.0,10.6,1031.3,24.0,Yes,13.3,4.1,S,15.6
7.0,0.0,No,7.0,Portland,2009-05-05,1032.8,69.0,1.2,5.0,N,14.1,SW,92.0,4.0,4.6,1030.2,19.0,No,9.6,5.9,S,15.5
19.0,0.4,Yes,0.0,Portland,2009-05-06,1029.8,69.0,1.0,4.0,,14.7,WSW,99.0,7.0,6.2,1027.6,33.0,No,11.6,2.9,WSW,15.4
15.0,1.4,No,13.0,Portland,2009-05-07,1029.6,88.0,0.8,6.0,SW,14.0,S,99.0,7.0,11.5,1029.5,30.0,Yes,13.1,3.5,S,15.6
11.0,0.6,No,7.0,Portland,2009-05-08,1033.1,74.0,0.8,6.0,SSE,14.0,S,80.0,6.0,9.6,1031.3,22.0,No,12.7,1.3,S,15.1
13.0,0.4,No,11.0,Portland,2009-05-09,1029.9,76.0,0.8,8.0,S,13.6,S,,8.0,7.1,1027.6,24.0,No,,1.8,S,14.6
7.0,0.4,No,7.0,Portland,2009-05-10,1027.4,76.0,0.8,7.0,S,13.6,SSE,91.0,8.0,11.0,1025.2,46.0,No,12.0,0.9,S,14.2
11.0,0.0,No,0.0,Portland,2009-05-11,1025.6,61.0,0.6,1.0,,15.1,S,94.0,7.0,7.4,1024.1,22.0,No,11.5,4.0,SSE,15.9
20.0,0.0,Yes,11.0,Portland,2009-05-12,1023.8,63.0,1.2,5.0,NW,15.6,WNW,84.0,6.0,6.9,1020.5,28.0,No,11.6,4.6,W,16.1
26.0,7.0,Yes,20.0,Portland,2009-05-13,1017.0,69.0,0.8,7.0,WSW,14.1,WNW,96.0,7.0,11.1,1014.2,56.0,Yes,11.2,4.6,W,15.3
35.0,3.8,Yes,35.0,Portland,2009-05-14,1012.3,77.0,1.4,6.0,W,14.3,W,88.0,7.0,11.1,1009.7,69.0,Yes,12.6,4.4,W,16.0
48.0,5.4,Yes,44.0,Portland,2009-05-15,1008.5,89.0,1.4,8.0,W,14.5,W,91.0,8.0,12.2,1006.6,72.0,Yes,14.2,0.5,W,15.3
28.0,4.2,No,31.0,Portland,2009-05-16,1013.7,64.0,1.0,7.0,WSW,13.1,WSW,64.0,7.0,11.3,1016.3,69.0,Yes,12.2,1.7,W,14.2
11.0,0.8,No,15.0,Portland,2009-05-17,1022.3,92.0,1.2,7.0,SW,12.8,SSW,87.0,7.0,11.0,1021.3,37.0,No,12.6,1.5,WSW,14.8
7.0,0.0,No,6.0,Portland,2009-05-18,1025.1,64.0,0.8,7.0,ESE,13.1,E,76.0,8.0,10.4,1022.3,17.0,No,11.7,0.1,NNE,13.4
13.0,0.0,No,13.0,Portland,2009-05-19,1020.7,73.0,0.4,5.0,ENE,15.5,E,,5.0,6.7,1018.1,24.0,No,,7.0,E,16.3
6.0,0.0,No,9.0,Portland,2009-05-20,1022.1,69.0,0.8,5.0,NE,18.2,SSE,87.0,7.0,8.6,1021.7,17.0,No,12.4,4.7,N,18.8
15.0,0.0,No,11.0,Portland,2009-05-21,1025.7,66.0,0.8,1.0,E,17.0,E,100.0,0.0,9.8,1023.8,22.0,No,11.9,9.5,E,18.0
17.0,0.4,No,9.0,Portland,2009-05-22,1023.2,46.0,1.6,1.0,NE,19.7,NNE,,0.0,4.4,1019.2,28.0,No,,9.4,NNE,20.0
15.0,0.0,No,17.0,Portland,2009-05-23,1016.9,68.0,4.0,7.0,NNE,16.8,NE,69.0,7.0,7.1,1014.0,35.0,No,14.6,3.5,NNE,17.3
17.0,0.0,Yes,19.0,Portland,2009-05-24,1017.5,71.0,2.8,8.0,N,17.5,NNE,70.0,8.0,13.8,1015.9,50.0,No,16.1,0.0,NNE,17.9
17.0,4.2,Yes,7.0,Portland,2009-05-25,1015.2,94.0,1.2,8.0,NE,14.6,WNW,,8.0,13.7,1013.3,30.0,Yes,,0.6,W,15.2
20.0,4.6,Yes,15.0,Portland,2009-05-26,1021.0,71.0,0.6,4.0,NNW,13.8,WSW,92.0,6.0,8.5,1020.7,35.0,Yes,10.2,4.5,WSW,14.7
13.0,2.6,Yes,9.0,Portland,2009-05-27,1023.7,77.0,1.0,7.0,WSW,12.4,SSW,89.0,4.0,6.6,1023.5,28.0,Yes,11.2,3.9,SSW,13.7
15.0,2.4,Yes,13.0,Portland,2009-05-28,1027.8,85.0,0.6,7.0,SSE,11.8,SSE,76.0,6.0,9.1,1027.6,37.0,Yes,11.1,5.5,SSE,13.2
15.0,3.2,No,13.0,Portland,2009-05-29,1029.8,73.0,0.8,5.0,SE,13.3,ESE,79.0,6.0,10.3,1028.9,30.0,Yes,12.4,4.9,E,15.1
17.0,0.2,No,7.0,Portland,2009-05-30,1032.8,77.0,1.4,8.0,E,13.3,ESE,87.0,6.0,5.0,1031.5,39.0,No,9.3,9.1,E,14.4
