Date,Humidity_3_pm,Max_Temp_C,Wind_Speed_9_am,Min_Temp_C,Humidity_9_am,Wind_Dir_9_am,Rain_Today,Rain_Tomorrow,Wind_Gust_Speed,Temp_3_pm_C,Wind_Gust_Dir,Wind_Dir_3_pm,Temp_9_am_C,Wind_Speed_3_pm,Rainfall,Location
2009-02-22,59.0,26.8,11.0,18.7,81.0,SSW,Yes,No,26.0,25.4,ENE,ENE,20.4,9.0,10.0,Penrith
2009-02-23,52.0,32.6,7.0,19.4,79.0,NNW,No,Yes,61.0,30.3,SW,NE,22.4,19.0,0.0,Penrith
2009-02-24,44.0,33.0,4.0,17.4,95.0,N,Yes,No,35.0,32.4,ESE,E,20.5,13.0,3.2,Penrith
2009-02-25,47.0,30.5,0.0,20.3,83.0,,No,No,37.0,29.4,SE,ENE,22.0,9.0,0.2,Penrith
2009-02-26,46.0,26.2,13.0,18.7,73.0,SSW,No,No,33.0,25.4,SE,S,20.4,7.0,0.0,Penrith
2009-02-27,44.0,26.7,13.0,16.2,65.0,S,No,No,26.0,26.1,SE,NE,20.9,7.0,0.0,Penrith
2009-02-28,40.0,32.8,7.0,15.1,77.0,SSE,No,No,39.0,32.0,SSW,NNE,18.9,9.0,0.0,Penrith
2009-03-01,44.0,29.3,4.0,18.7,76.0,NNE,No,No,31.0,28.6,E,SE,22.3,11.0,0.0,Penrith
2009-03-02,48.0,28.5,0.0,19.8,78.0,,No,No,30.0,27.4,NE,NE,21.6,11.0,0.0,Penrith
2009-03-03,48.0,29.0,0.0,18.5,83.0,,No,No,26.0,27.5,N,NNE,20.8,17.0,0.0,Penrith
2009-03-04,50.0,26.1,0.0,20.8,86.0,,No,No,44.0,24.9,WNW,WSW,22.2,6.0,0.0,Penrith
2009-03-05,27.0,26.8,11.0,11.8,45.0,SW,No,No,31.0,25.6,ENE,SE,19.0,20.0,0.0,Penrith
2009-03-06,35.0,26.6,0.0,10.9,69.0,,No,No,46.0,25.4,SE,NE,16.3,15.0,0.0,Penrith
2009-03-07,41.0,30.0,2.0,14.2,71.0,SSW,No,No,24.0,28.2,ESE,NNW,19.3,9.0,0.0,Penrith
2009-03-08,67.0,25.1,13.0,18.8,77.0,SSW,No,Yes,39.0,23.4,SSE,SE,20.9,28.0,0.0,Penrith
2009-03-09,68.0,25.5,9.0,16.6,98.0,SSW,Yes,No,30.0,24.3,SSW,ESE,17.5,7.0,8.8,Penrith
2009-03-10,56.0,26.1,7.0,17.5,89.0,S,No,No,35.0,24.4,E,E,20.6,19.0,1.0,Penrith
2009-03-11,73.0,23.2,9.0,15.7,74.0,SSW,No,Yes,30.0,22.0,SSE,SE,20.1,15.0,0.0,Penrith
2009-03-12,58.0,27.2,0.0,16.9,97.0,,Yes,No,28.0,27.0,ENE,N,19.2,11.0,2.8,Penrith
2009-03-13,69.0,26.7,4.0,18.0,91.0,S,No,Yes,24.0,25.0,WNW,E,19.9,4.0,0.0,Penrith
2009-03-14,66.0,27.9,0.0,16.6,86.0,,Yes,Yes,43.0,27.7,NW,NW,19.6,9.0,2.0,Penrith
2009-03-15,44.0,31.8,9.0,16.9,94.0,S,Yes,No,37.0,29.8,SSE,NNE,19.8,13.0,10.4,Penrith
2009-03-16,33.0,27.5,0.0,12.1,49.0,,No,No,31.0,26.5,WNW,NE,18.0,9.0,0.2,Penrith
2009-03-17,32.0,26.4,6.0,11.5,62.0,NNE,No,No,28.0,25.8,ESE,NE,17.7,7.0,0.0,Penrith
2009-03-18,45.0,27.2,0.0,16.5,65.0,,No,No,30.0,26.4,NNE,N,20.2,13.0,0.0,Penrith
2009-03-19,49.0,31.2,7.0,14.3,80.0,NE,No,No,24.0,29.5,ENE,NNE,18.7,7.0,0.0,Penrith
2009-03-20,43.0,30.4,6.0,16.9,83.0,SSE,No,No,30.0,29.3,NE,ENE,20.7,9.0,0.0,Penrith
2009-03-21,58.0,28.1,7.0,16.5,87.0,SE,No,No,30.0,27.4,E,ESE,20.0,15.0,0.0,Penrith
2009-03-22,38.0,28.9,6.0,14.8,85.0,NNE,No,No,33.0,27.3,SSE,NE,18.1,15.0,0.0,Penrith
2009-03-23,37.0,30.7,11.0,15.9,89.0,S,No,No,31.0,30.3,NE,ENE,19.0,9.0,0.0,Penrith
2009-03-24,33.0,33.9,7.0,17.5,85.0,ESE,No,No,44.0,33.3,N,ENE,21.7,17.0,0.0,Penrith
2009-03-25,42.0,34.2,4.0,17.1,86.0,E,No,Yes,63.0,32.8,WNW,N,20.7,9.0,0.0,Penrith
2009-03-26,59.0,30.5,0.0,18.9,88.0,,Yes,No,26.0,28.9,SSE,NNW,21.4,7.0,18.2,Penrith
2009-03-27,62.0,24.4,13.0,19.1,77.0,SSW,No,No,33.0,23.6,SSE,ESE,20.8,15.0,0.2,Penrith
2009-03-28,46.0,25.9,6.0,14.4,85.0,NNW,No,No,24.0,24.8,ENE,ENE,18.1,11.0,0.0,Penrith
2009-03-29,39.0,27.2,0.0,12.8,79.0,,No,No,28.0,26.5,E,NE,17.0,11.0,0.0,Penrith
2009-03-30,50.0,26.5,9.0,17.0,77.0,S,No,Yes,43.0,25.7,SE,SE,21.0,26.0,0.0,Penrith
2009-03-31,93.0,21.2,13.0,18.6,95.0,SSE,Yes,Yes,54.0,19.1,SSE,SE,19.5,13.0,2.4,Penrith
2009-04-01,89.0,22.9,9.0,17.9,98.0,SSE,Yes,Yes,39.0,21.4,SE,SE,19.4,24.0,36.8,Penrith
2009-04-02,87.0,23.6,7.0,19.0,98.0,SSW,Yes,Yes,24.0,21.9,NNE,NNE,20.6,13.0,27.8,Penrith
2009-04-03,66.0,27.1,0.0,18.6,98.0,,Yes,Yes,30.0,26.6,NE,NNE,20.6,19.0,2.4,Penrith
2009-04-04,66.0,20.3,2.0,18.2,96.0,WNW,Yes,No,26.0,19.2,SE,ESE,19.4,15.0,1.4,Penrith
2009-04-05,60.0,23.9,6.0,16.8,66.0,NNE,No,No,30.0,23.6,N,N,20.1,19.0,0.0,Penrith
2009-04-06,59.0,22.2,22.0,13.5,72.0,S,No,No,31.0,20.1,SSW,E,18.1,13.0,0.0,Penrith
2009-04-07,56.0,22.8,9.0,15.4,69.0,SSW,No,No,31.0,21.9,SSE,ESE,18.0,15.0,0.0,Penrith
2009-04-08,45.0,23.7,2.0,12.1,68.0,NNE,No,No,28.0,23.0,E,ENE,18.4,9.0,0.0,Penrith
2009-04-09,50.0,24.1,4.0,12.8,74.0,E,No,No,24.0,23.6,NNE,N,18.6,13.0,0.0,Penrith
2009-04-10,57.0,24.8,0.0,11.9,97.0,,No,No,15.0,24.1,N,NW,15.7,2.0,0.0,Penrith
2009-04-11,63.0,23.4,2.0,15.5,93.0,NNE,No,Yes,13.0,22.9,NNE,N,17.7,7.0,0.0,Penrith
2009-04-12,75.0,23.9,0.0,17.4,86.0,,Yes,No,17.0,23.4,N,NW,20.0,7.0,1.2,Penrith
2009-04-13,84.0,22.9,7.0,18.6,84.0,S,No,Yes,26.0,20.7,SW,SSW,20.7,13.0,0.2,Penrith
2009-04-14,58.0,26.8,2.0,16.1,82.0,ESE,Yes,No,30.0,26.2,S,N,20.1,7.0,6.2,Penrith
2009-04-15,26.0,29.1,2.0,13.1,76.0,SE,No,No,54.0,28.6,WSW,WNW,19.6,24.0,0.0,Penrith
2009-04-16,39.0,24.5,6.0,11.7,54.0,ENE,No,No,22.0,24.3,ESE,NNE,18.0,7.0,0.2,Penrith
2009-04-17,37.0,23.9,4.0,9.9,74.0,SSW,No,No,28.0,23.5,SE,SE,15.6,11.0,0.0,Penrith
2009-04-18,47.0,24.1,19.0,13.3,62.0,SSW,No,No,50.0,22.9,S,SSE,19.7,13.0,0.0,Penrith
2009-04-19,98.0,19.9,17.0,15.2,63.0,SSW,No,Yes,46.0,16.6,SSE,SSE,19.0,17.0,0.0,Penrith
2009-04-20,87.0,19.2,28.0,15.1,86.0,SW,Yes,Yes,46.0,16.4,S,S,15.9,17.0,7.8,Penrith
2009-04-21,86.0,20.8,20.0,14.4,74.0,SSW,Yes,Yes,35.0,17.4,SSW,SSE,18.8,28.0,1.6,Penrith
2009-04-22,62.0,22.3,13.0,14.6,85.0,SW,Yes,No,37.0,19.9,SSE,SSE,16.8,24.0,3.2,Penrith
2009-04-23,57.0,21.5,9.0,14.1,64.0,S,No,No,17.0,20.3,SSW,N,19.2,6.0,0.2,Penrith
2009-04-24,72.0,22.2,4.0,10.5,98.0,N,No,No,54.0,20.9,W,SSW,12.3,9.0,0.2,Penrith
2009-04-25,43.0,23.1,19.0,12.3,51.0,NNW,No,No,41.0,21.7,WNW,W,20.2,20.0,0.6,Penrith
2009-04-26,36.0,19.7,15.0,14.6,47.0,NW,No,No,63.0,18.6,W,WNW,18.1,28.0,0.0,Penrith
2009-04-27,35.0,18.4,11.0,7.1,46.0,W,No,No,44.0,17.4,WNW,WSW,14.9,19.0,0.0,Penrith
2009-04-28,36.0,22.3,13.0,7.1,66.0,N,No,No,43.0,18.9,W,W,15.9,26.0,0.0,Penrith
2009-04-29,55.0,18.1,2.0,6.9,69.0,E,No,No,28.0,17.5,SE,SW,12.5,9.0,0.0,Penrith
2009-04-30,69.0,19.3,20.0,9.9,60.0,SSW,No,No,31.0,16.1,SW,SW,15.6,11.0,0.0,Penrith
2009-05-01,43.0,21.7,0.0,7.2,81.0,,No,No,20.0,21.2,NNE,ENE,12.8,6.0,0.0,Penrith
2009-05-02,38.0,22.4,2.0,7.4,74.0,NE,No,No,30.0,21.6,SE,SE,14.1,6.0,0.2,Penrith
2009-05-03,45.0,22.4,7.0,10.6,68.0,S,No,No,20.0,22.1,E,NW,16.7,4.0,0.0,Penrith
2009-05-04,45.0,23.6,2.0,9.1,98.0,S,No,No,22.0,23.2,SSW,WSW,12.6,6.0,0.0,Penrith
2009-05-05,50.0,21.3,9.0,12.1,72.0,SSW,No,No,26.0,20.9,S,E,16.7,9.0,0.0,Penrith
2009-05-06,46.0,23.0,6.0,11.4,98.0,W,No,No,19.0,22.7,NNE,NE,12.5,9.0,0.0,Penrith
2009-05-07,41.0,23.4,2.0,8.9,98.0,SSW,No,No,20.0,22.0,SE,SSE,11.1,9.0,0.2,Penrith
2009-05-08,47.0,21.9,17.0,10.1,62.0,SW,No,No,26.0,21.9,SW,ESE,16.5,2.0,0.0,Penrith
2009-05-09,38.0,22.9,0.0,8.1,82.0,,No,No,15.0,22.5,SW,NW,13.5,6.0,0.0,Penrith
2009-05-10,77.0,18.2,17.0,10.6,66.0,SSW,No,No,31.0,16.7,S,SW,16.2,9.0,0.0,Penrith
2009-05-11,45.0,20.7,0.0,8.5,88.0,,No,No,19.0,19.5,ENE,SE,13.1,4.0,0.4,Penrith
2009-05-12,39.0,21.1,0.0,6.3,97.0,,No,No,26.0,20.5,SSE,NNW,9.7,7.0,0.0,Penrith
2009-05-13,35.0,21.9,0.0,7.6,88.0,,No,No,28.0,21.1,W,W,11.5,19.0,0.2,Penrith
2009-05-14,35.0,21.5,11.0,4.7,64.0,NE,No,No,43.0,19.9,W,W,15.1,20.0,0.0,Penrith
2009-05-15,38.0,22.0,9.0,6.9,64.0,N,No,No,46.0,20.7,WNW,W,15.7,24.0,0.0,Penrith
2009-05-16,44.0,22.0,22.0,14.1,55.0,NW,No,No,61.0,21.5,NW,WSW,19.0,24.0,0.0,Penrith
2009-05-17,40.0,20.9,4.0,5.7,77.0,SE,No,No,17.0,19.8,SE,SE,11.4,9.0,0.0,Penrith
2009-05-18,55.0,21.0,0.0,7.2,92.0,,No,No,26.0,19.2,NNE,E,10.9,13.0,0.0,Penrith
2009-05-19,58.0,21.4,4.0,10.9,95.0,N,No,Yes,24.0,20.1,ENE,NNE,14.3,9.0,0.0,Penrith
2009-05-20,82.0,19.6,11.0,13.8,98.0,SW,Yes,Yes,22.0,17.3,SSW,SSW,15.0,17.0,11.8,Penrith
2009-05-21,66.0,19.2,15.0,13.9,91.0,SW,Yes,Yes,48.0,18.1,SE,SE,15.7,20.0,8.2,Penrith
2009-05-22,98.0,18.4,17.0,13.8,77.0,SE,Yes,Yes,44.0,15.9,SE,SSW,17.1,9.0,14.4,Penrith
2009-05-23,72.0,20.9,4.0,13.8,97.0,S,Yes,Yes,39.0,19.2,ESE,ESE,16.0,20.0,30.0,Penrith
2009-05-24,60.0,21.4,0.0,14.1,92.0,,Yes,No,22.0,20.3,E,E,17.3,9.0,5.0,Penrith
2009-05-25,73.0,19.3,6.0,11.3,97.0,N,No,No,13.0,18.6,N,ESE,14.0,2.0,0.2,Penrith
2009-05-26,68.0,20.8,4.0,10.4,84.0,SE,No,No,13.0,19.7,NNW,NNW,12.4,9.0,0.4,Penrith
2009-05-27,97.0,16.2,0.0,12.1,97.0,,No,Yes,15.0,16.0,SSW,,14.1,0.0,0.4,Penrith
2009-05-28,70.0,19.7,2.0,11.0,82.0,SE,Yes,No,28.0,17.3,SE,SSE,15.1,11.0,2.6,Penrith
2009-05-29,64.0,17.4,13.0,12.0,77.0,WSW,No,No,35.0,16.4,S,S,12.0,17.0,0.0,Penrith
2009-05-30,73.0,18.4,20.0,11.3,65.0,SW,No,Yes,39.0,15.1,SSE,SSW,14.4,17.0,0.2,Penrith
2009-05-31,78.0,18.0,15.0,11.7,95.0,SSW,Yes,No,26.0,15.6,NE,SSW,13.6,7.0,9.2,Penrith
2009-06-01,71.0,16.8,4.0,11.6,95.0,SSW,No,No,17.0,16.2,NNE,,12.8,0.0,0.4,Penrith
2009-06-02,69.0,18.9,7.0,11.0,97.0,ESE,No,Yes,15.0,18.0,S,NW,13.4,4.0,0.6,Penrith
2009-06-03,79.0,18.1,7.0,13.4,97.0,S,Yes,No,13.0,17.7,SSE,N,14.4,6.0,7.6,Penrith
2009-06-04,85.0,16.9,9.0,10.2,93.0,N,No,No,13.0,16.3,NNW,NE,11.7,6.0,0.2,Penrith
2009-06-05,73.0,19.8,9.0,11.6,91.0,N,No,No,26.0,17.8,W,NNW,13.2,7.0,0.0,Penrith
2009-06-06,44.0,19.2,0.0,5.3,89.0,,No,Yes,37.0,17.8,NW,WNW,10.2,20.0,0.2,Penrith
2009-06-07,49.0,19.7,7.0,8.6,93.0,NE,Yes,No,46.0,17.6,NW,NW,11.6,20.0,1.2,Penrith
2009-06-08,44.0,19.2,4.0,7.2,82.0,ENE,No,No,48.0,17.1,WNW,W,11.2,19.0,0.0,Penrith
2009-06-09,46.0,16.4,11.0,8.4,48.0,NW,No,No,50.0,14.4,WNW,WNW,13.6,24.0,0.0,Penrith
2009-06-10,38.0,14.3,28.0,8.5,42.0,W,No,No,46.0,12.8,WSW,WSW,10.6,22.0,0.0,Penrith
2009-06-11,31.0,16.4,9.0,1.7,67.0,NW,No,No,24.0,16.0,WSW,SW,7.8,17.0,0.0,Penrith
2009-06-12,46.0,16.6,0.0,2.1,80.0,,No,No,13.0,15.5,N,NE,6.8,4.0,0.2,Penrith
2009-06-13,70.0,14.6,7.0,4.3,92.0,N,No,No,15.0,13.9,N,NNE,7.0,6.0,0.0,Penrith
2009-06-14,77.0,16.1,0.0,5.5,92.0,,No,No,44.0,14.2,SW,ENE,8.3,7.0,0.0,Penrith
2009-06-15,38.0,20.4,4.0,3.9,91.0,ESE,No,No,28.0,17.6,WNW,W,10.6,11.0,0.2,Penrith
2009-06-16,71.0,17.6,22.0,4.9,64.0,SW,No,No,44.0,15.0,SW,SSE,14.8,22.0,0.2,Penrith
2009-06-17,78.0,15.9,9.0,10.8,66.0,S,No,No,28.0,14.1,SW,S,14.4,19.0,0.2,Penrith
2009-06-18,71.0,17.2,15.0,8.8,77.0,SSW,No,Yes,24.0,15.1,S,SSE,13.7,7.0,0.2,Penrith
2009-06-19,50.0,17.9,7.0,7.3,97.0,S,Yes,Yes,26.0,17.0,SE,SE,12.6,19.0,2.2,Penrith
2009-06-20,92.0,17.3,2.0,9.2,98.0,N,Yes,Yes,17.0,15.6,NNW,ESE,10.6,6.0,1.4,Penrith
2009-06-21,96.0,16.2,6.0,10.4,97.0,NE,Yes,Yes,13.0,15.8,WSW,NE,12.9,6.0,1.2,Penrith
2009-06-22,74.0,19.9,0.0,12.0,98.0,,Yes,No,20.0,18.6,WNW,NNW,13.4,7.0,11.4,Penrith
2009-06-23,62.0,18.9,6.0,7.0,98.0,NNW,No,No,11.0,18.8,NW,NW,8.7,4.0,0.2,Penrith
2009-06-24,63.0,17.3,11.0,5.4,98.0,N,No,No,26.0,17.1,SW,NNW,7.3,11.0,0.4,Penrith
2009-06-25,50.0,16.8,7.0,5.0,98.0,W,No,No,30.0,15.3,NW,NW,7.9,19.0,0.2,Penrith
