Date,Humidity_3_pm,Evaporation,Wind_Dir_3_pm,Rainfall,Cloud_9_am,Wind_Speed_3_pm,Temp_3_pm_C,Pressure_9_am,Cloud_3_pm,Wind_Speed_9_am,Humidity_9_am,Wind_Dir_9_am,Location,Pressure_3_pm,Rain_Today,Max_Temp_C,Temp_9_am_C,Wind_Gust_Speed,Min_Temp_C,Wind_Gust_Dir,Rain_Tomorrow
2008-12-16,41.0,3.0,WNW,0.0,1.0,19.0,22.0,1012.5,6.0,13.0,49.0,W,Bendigo,1011.2,No,23.9,18.3,39.0,7.9,W,Yes
2008-12-17,58.0,5.2,NNE,1.2,7.0,11.0,20.9,1012.5,7.0,4.0,86.0,SSE,Bendigo,1008.4,Yes,22.0,14.9,24.0,13.5,N,Yes
2008-12-18,44.0,3.4,SW,10.0,8.0,20.0,20.3,1006.1,3.0,7.0,95.0,N,Bendigo,1004.1,Yes,21.8,14.7,44.0,12.7,SSW,Yes
2008-12-19,32.0,4.2,SSE,5.8,3.0,19.0,17.8,1013.5,2.0,20.0,58.0,S,Bendigo,1013.6,Yes,20.3,12.3,43.0,8.4,SSE,No
2008-12-20,24.0,6.2,SE,0.0,1.0,11.0,23.0,1019.9,1.0,22.0,51.0,SE,Bendigo,1017.3,No,24.4,14.8,35.0,6.3,SE,No
2008-12-21,24.0,6.4,NNE,0.0,1.0,24.0,26.7,1018.1,6.0,19.0,54.0,NE,Bendigo,1013.8,No,28.6,19.0,41.0,11.2,NNE,No
2008-12-22,15.0,7.0,NW,0.0,4.0,30.0,34.4,1009.6,7.0,20.0,38.0,NNE,Bendigo,1004.3,No,35.0,23.9,,15.3,,No
2008-12-23,34.0,10.6,SSE,0.0,6.0,22.0,23.1,1012.0,1.0,22.0,60.0,SSE,Bendigo,1011.2,No,24.3,16.6,48.0,15.0,SSE,No
2008-12-24,10.0,5.6,WSW,0.0,1.0,19.0,27.7,1012.2,1.0,11.0,53.0,SSE,Bendigo,1010.2,No,28.7,16.6,37.0,8.0,W,No
2008-12-25,23.0,8.0,W,0.0,1.0,24.0,29.0,1013.4,3.0,7.0,48.0,SSE,Bendigo,1010.9,No,30.4,20.3,44.0,12.6,WNW,No
2008-12-26,23.0,8.6,NNW,0.0,7.0,22.0,30.7,1010.5,5.0,6.0,46.0,E,Bendigo,1007.3,No,33.4,21.7,41.0,14.5,NW,No
2008-12-27,32.0,7.4,WNW,0.2,6.0,22.0,29.7,1006.8,4.0,7.0,70.0,N,Bendigo,1002.3,No,32.1,21.1,46.0,17.5,NW,No
2008-12-28,25.0,7.2,WNW,0.0,1.0,30.0,27.8,1004.8,2.0,15.0,49.0,WNW,Bendigo,1002.7,No,29.5,19.8,46.0,10.9,W,No
2008-12-29,25.0,9.2,SW,0.0,3.0,24.0,23.2,1008.3,5.0,22.0,49.0,SSW,Bendigo,1007.0,No,24.1,15.8,46.0,11.9,SSW,No
2008-12-30,25.0,8.4,WSW,0.2,7.0,26.0,23.6,1004.0,6.0,24.0,68.0,WNW,Bendigo,1002.4,No,25.2,16.0,56.0,13.0,WNW,No
2008-12-31,25.0,8.4,W,0.8,7.0,17.0,22.6,1006.7,1.0,17.0,51.0,SW,Bendigo,1004.5,No,24.5,15.3,41.0,8.7,NW,No
2009-01-01,27.0,5.8,WSW,0.0,1.0,31.0,23.1,1005.4,3.0,15.0,53.0,NW,Bendigo,1004.7,No,24.6,16.6,56.0,11.1,SW,No
2009-01-02,23.0,7.2,SSE,0.0,1.0,17.0,19.6,1017.3,1.0,26.0,49.0,SW,Bendigo,1016.9,No,21.2,12.2,43.0,7.1,SSW,No
2009-01-03,13.0,5.6,SSW,0.0,1.0,13.0,25.0,1018.8,6.0,13.0,47.0,SSE,Bendigo,1015.4,No,26.8,13.8,35.0,5.4,E,No
2009-01-04,6.0,6.8,WNW,0.0,1.0,22.0,30.2,1015.0,5.0,9.0,28.0,S,Bendigo,1012.0,No,31.9,20.9,43.0,10.1,W,No
2009-01-05,3.0,8.0,W,0.0,2.0,24.0,33.3,1012.0,1.0,6.0,31.0,NNW,Bendigo,1009.8,No,34.2,23.6,54.0,10.9,W,No
2009-01-06,13.0,10.8,WNW,0.0,0.0,24.0,34.0,1010.7,1.0,7.0,44.0,NNW,Bendigo,1007.2,No,35.3,22.4,44.0,12.2,WSW,No
2009-01-07,34.0,12.0,SW,0.0,1.0,30.0,27.8,1007.6,2.0,9.0,55.0,WSW,Bendigo,1007.3,No,29.6,23.9,48.0,13.6,SW,No
2009-01-08,24.0,9.6,SSW,0.0,1.0,26.0,21.9,1016.5,1.0,20.0,40.0,SSW,Bendigo,1015.7,No,23.4,14.9,46.0,10.6,SW,No
2009-01-09,16.0,7.2,E,0.0,1.0,19.0,24.0,1018.8,6.0,22.0,45.0,ESE,Bendigo,1015.2,No,25.5,14.7,43.0,7.9,SE,No
2009-01-10,18.0,7.4,N,0.0,2.0,20.0,28.8,1012.4,3.0,13.0,56.0,ESE,Bendigo,1007.8,No,29.7,16.9,39.0,11.8,SSE,No
2009-01-11,17.0,7.4,W,0.0,7.0,9.0,29.6,1009.9,3.0,13.0,54.0,SSE,Bendigo,1007.4,No,31.9,19.8,48.0,12.8,SE,No
2009-01-12,12.0,7.4,WSW,0.0,1.0,20.0,31.0,1016.0,2.0,13.0,51.0,S,Bendigo,1013.7,No,32.9,18.7,39.0,12.3,SE,No
2009-01-13,12.0,9.4,N,0.0,0.0,11.0,34.9,1014.7,0.0,15.0,44.0,NE,Bendigo,1010.6,No,36.8,22.7,41.0,11.8,N,No
2009-01-14,4.0,9.4,WNW,0.0,1.0,31.0,41.1,1008.7,2.0,11.0,18.0,NE,Bendigo,1005.9,No,41.9,28.1,69.0,15.3,W,No
2009-01-15,18.0,14.8,SSW,0.0,7.0,20.0,26.7,1013.9,5.0,19.0,57.0,SSW,Bendigo,1012.8,No,27.8,15.6,43.0,14.6,WSW,No
2009-01-16,24.0,7.0,SSW,0.0,2.0,31.0,22.8,1017.0,2.0,33.0,52.0,SW,Bendigo,1016.7,No,23.5,15.8,54.0,11.0,SSW,No
2009-01-17,18.0,7.6,SSW,0.0,1.0,17.0,24.2,1021.0,2.0,22.0,50.0,SSE,Bendigo,1019.5,No,26.2,15.1,39.0,8.5,SSE,No
2009-01-18,12.0,7.4,S,0.0,1.0,15.0,30.0,1019.4,1.0,17.0,30.0,SE,Bendigo,1016.7,No,31.8,18.4,30.0,7.4,SSE,No
2009-01-19,8.0,8.0,NW,0.0,0.0,20.0,35.5,1014.3,0.0,9.0,27.0,ESE,Bendigo,1009.7,No,36.4,23.8,37.0,12.3,N,No
2009-01-20,5.0,10.2,NW,0.0,0.0,31.0,39.9,1007.2,4.0,7.0,26.0,ESE,Bendigo,1004.0,No,41.7,26.8,57.0,15.2,NW,No
2009-01-21,13.0,11.6,W,0.0,2.0,26.0,34.4,1009.0,2.0,11.0,39.0,SE,Bendigo,1005.8,No,35.9,23.5,48.0,14.2,NNW,No
2009-01-22,11.0,11.6,WNW,0.0,6.0,43.0,34.9,1000.4,3.0,28.0,67.0,N,Bendigo,995.9,No,35.2,26.1,80.0,20.5,NW,No
2009-01-23,16.0,13.2,NW,0.0,1.0,22.0,27.7,1008.0,1.0,6.0,50.0,NNE,Bendigo,1003.9,No,30.3,16.3,52.0,7.5,N,No
2009-01-24,21.0,9.6,SW,0.0,1.0,22.0,24.5,1007.6,0.0,30.0,46.0,SW,Bendigo,1010.3,No,26.3,17.9,48.0,16.3,SSW,No
2009-01-25,9.0,7.6,SSW,0.0,0.0,13.0,30.3,1016.7,0.0,7.0,44.0,SE,Bendigo,1015.7,No,33.1,18.6,33.0,10.2,SSE,No
2009-01-26,13.0,9.0,S,0.0,0.0,11.0,33.4,1018.9,1.0,20.0,44.0,SSE,Bendigo,1016.8,No,35.0,19.9,39.0,14.3,SSE,No
2009-01-27,9.0,8.0,WSW,0.0,1.0,15.0,36.7,1017.2,1.0,9.0,51.0,ESE,Bendigo,1013.7,No,38.3,21.9,35.0,12.6,SSE,No
2009-01-28,8.0,9.2,NNW,0.0,0.0,7.0,40.7,1012.8,1.0,11.0,25.0,E,Bendigo,1010.0,No,42.2,29.5,33.0,18.2,NNW,No
2009-01-29,13.0,10.4,NNW,0.0,1.0,20.0,41.5,1012.8,2.0,11.0,23.0,NNW,Bendigo,1010.7,No,42.6,32.8,44.0,23.7,N,No
2009-01-30,9.0,12.0,SW,0.0,0.0,11.0,41.7,1013.3,1.0,11.0,28.0,ENE,Bendigo,1009.7,No,43.2,31.5,39.0,22.0,S,No
2009-01-31,7.0,11.6,NNE,0.0,1.0,19.0,42.3,1012.4,5.0,11.0,31.0,ESE,Bendigo,1010.0,No,43.6,31.0,56.0,25.5,SSE,No
2009-02-01,18.0,10.8,ESE,0.0,2.0,15.0,38.5,1013.3,7.0,22.0,42.0,SSE,Bendigo,1010.4,No,40.0,27.3,46.0,24.2,SSE,No
2009-02-02,32.0,8.2,NNW,0.0,4.0,7.0,32.1,1011.2,7.0,13.0,51.0,ESE,Bendigo,1008.8,No,35.5,25.0,43.0,22.1,SE,No
2009-02-03,27.0,5.0,SSE,0.0,1.0,20.0,33.4,1010.7,3.0,24.0,60.0,SSE,Bendigo,1007.7,No,34.5,23.2,37.0,18.7,SE,No
2009-02-04,17.0,8.8,WSW,0.0,1.0,13.0,34.6,1008.5,0.0,15.0,58.0,SE,Bendigo,1004.9,No,37.0,22.7,31.0,16.4,SSE,No
2009-02-05,10.0,7.4,WSW,0.0,0.0,19.0,38.5,1005.6,1.0,9.0,35.0,SSE,Bendigo,1003.8,No,40.2,28.5,44.0,18.0,SSE,No
2009-02-06,15.0,10.4,WNW,0.0,0.0,17.0,37.6,1008.5,1.0,9.0,55.0,SSE,Bendigo,1006.3,No,39.5,22.2,41.0,16.0,W,No
2009-02-07,6.0,10.0,NNW,0.0,1.0,37.0,44.4,1005.2,1.0,6.0,30.0,NE,Bendigo,1001.0,No,45.4,30.2,72.0,21.2,NW,No
2009-02-08,44.0,15.4,WSW,0.0,1.0,22.0,24.0,1009.0,6.0,13.0,51.0,SSW,Bendigo,1010.7,No,28.3,22.9,44.0,20.5,SSE,No
2009-02-09,19.0,6.8,S,0.0,1.0,30.0,22.6,1014.7,1.0,30.0,44.0,S,Bendigo,1013.3,No,23.3,15.4,50.0,12.2,SSE,No
2009-02-10,26.0,7.2,S,0.0,1.0,28.0,19.8,1015.6,5.0,28.0,45.0,S,Bendigo,1014.8,No,22.1,14.2,54.0,10.4,S,No
2009-02-11,29.0,7.0,S,0.0,2.0,31.0,20.1,1017.3,2.0,24.0,49.0,S,Bendigo,1016.5,No,21.0,13.7,59.0,10.9,S,No
2009-02-12,25.0,5.8,SSE,0.0,1.0,30.0,24.6,1018.6,4.0,30.0,57.0,SSE,Bendigo,1017.5,No,25.4,15.8,,12.0,,No
2009-02-13,19.0,6.4,ESE,0.0,0.0,13.0,26.2,1023.6,1.0,17.0,40.0,SE,Bendigo,1021.1,No,28.0,15.6,33.0,10.3,SSE,No
2009-02-14,20.0,6.2,WNW,0.0,0.0,15.0,27.8,1022.6,1.0,2.0,42.0,ESE,Bendigo,1017.7,No,30.1,19.2,35.0,10.8,SSE,No
2009-02-15,31.0,7.0,SE,0.0,1.0,9.0,25.5,1016.7,7.0,17.0,63.0,SE,Bendigo,1014.9,No,28.6,17.4,44.0,12.5,SSE,No
2009-02-16,27.0,5.4,ENE,0.0,1.0,7.0,29.5,1018.1,3.0,11.0,51.0,E,Bendigo,1014.7,No,30.8,20.5,37.0,15.1,SSE,No
2009-02-17,23.0,6.8,WNW,0.0,0.0,13.0,28.3,1016.8,1.0,11.0,40.0,NE,Bendigo,1013.5,No,30.8,20.0,35.0,15.0,N,No
2009-02-18,25.0,7.2,SSW,0.0,6.0,17.0,28.1,1012.7,6.0,7.0,39.0,N,Bendigo,1009.4,No,29.5,22.5,,14.3,,No
2009-02-19,13.0,5.8,SW,0.0,1.0,24.0,33.7,1007.9,2.0,0.0,29.0,,Bendigo,1005.4,No,34.9,22.4,52.0,13.1,WSW,No
2009-02-20,22.0,8.2,WSW,0.4,7.0,24.0,26.5,1010.9,1.0,11.0,74.0,SW,Bendigo,1011.5,No,27.6,17.8,52.0,17.6,SW,No
2009-02-21,31.0,7.0,SSE,0.0,2.0,31.0,24.9,1015.6,1.0,24.0,56.0,S,Bendigo,1014.3,No,26.7,18.8,54.0,12.2,S,No
2009-02-22,25.0,6.4,N,0.0,0.0,20.0,29.0,1015.5,1.0,22.0,64.0,SE,Bendigo,1012.6,No,31.1,17.8,43.0,13.5,SSE,No
2009-02-23,12.0,5.6,NW,0.0,2.0,24.0,32.3,1011.8,3.0,2.0,60.0,E,Bendigo,1008.9,No,33.8,19.8,56.0,12.5,NW,No
2009-02-24,21.0,9.2,SSE,0.0,0.0,11.0,23.4,1017.6,0.0,26.0,42.0,SSE,Bendigo,1016.1,No,25.7,14.8,43.0,10.9,SSE,No
2009-02-25,30.0,6.0,SE,0.0,0.0,19.0,26.1,1018.5,2.0,20.0,60.0,SSE,Bendigo,1016.1,No,28.2,16.4,44.0,11.0,SSE,No
2009-02-26,24.0,6.6,N,0.0,0.0,11.0,29.4,1017.5,0.0,17.0,66.0,SE,Bendigo,1015.7,No,31.6,17.0,33.0,12.9,SSE,No
2009-02-27,15.0,5.6,NNW,0.0,2.0,17.0,32.5,1014.4,2.0,17.0,40.0,ENE,Bendigo,1011.3,No,34.5,21.7,35.0,14.0,N,No
2009-02-28,23.0,8.4,SW,0.0,0.0,15.0,27.0,1010.8,1.0,28.0,54.0,S,Bendigo,1009.2,No,28.8,16.3,48.0,13.0,SSE,No
2009-03-01,41.0,6.6,S,0.0,3.0,30.0,21.7,1012.9,3.0,26.0,63.0,SSE,Bendigo,1012.5,No,23.8,15.2,43.0,10.0,SSE,No
2009-03-02,22.0,6.2,NNE,0.0,1.0,13.0,26.6,1013.6,1.0,15.0,63.0,SE,Bendigo,1011.6,No,28.8,14.9,31.0,9.5,SSE,Yes
2009-03-03,29.0,5.9,N,3.2,8.0,43.0,30.8,1009.4,7.0,19.0,40.0,ENE,Bendigo,1003.8,Yes,31.8,20.8,69.0,14.8,N,No
2009-03-04,36.0,6.8,WNW,0.0,1.0,31.0,18.6,1013.8,5.0,20.0,69.0,WNW,Bendigo,1012.8,No,19.9,12.3,59.0,10.5,W,No
2009-03-05,53.0,5.4,SW,0.0,7.0,22.0,17.6,1015.9,8.0,17.0,71.0,SW,Bendigo,1015.5,No,19.8,13.5,52.0,11.1,WSW,No
2009-03-06,38.0,1.0,SSW,0.0,7.0,13.0,20.2,1016.1,1.0,15.0,66.0,SSW,Bendigo,1014.2,No,22.0,13.3,35.0,11.9,W,No
2009-03-07,33.0,3.4,SW,0.0,1.0,13.0,23.8,1016.1,6.0,13.0,65.0,SSW,Bendigo,1014.5,No,24.6,14.4,35.0,6.8,WSW,No
2009-03-08,26.0,5.4,SSE,0.0,1.0,15.0,24.3,1018.6,4.0,17.0,69.0,SSE,Bendigo,1016.9,No,25.1,13.4,35.0,10.6,SSE,No
2009-03-09,25.0,5.8,SE,0.0,1.0,9.0,28.6,1019.5,0.0,15.0,53.0,SE,Bendigo,1016.5,No,30.5,15.3,31.0,11.0,SSE,No
2009-03-10,36.0,5.8,N,0.0,4.0,11.0,26.9,1018.5,6.0,17.0,57.0,SE,Bendigo,1017.5,No,30.1,19.4,54.0,15.2,SE,Yes
2009-03-11,27.0,4.2,NNE,5.8,7.0,22.0,28.3,1020.4,3.0,9.0,83.0,E,Bendigo,1017.6,Yes,29.3,19.0,46.0,17.6,NE,Yes
2009-03-12,81.0,6.6,ENE,14.0,7.0,17.0,20.1,1018.8,8.0,15.0,97.0,ESE,Bendigo,1017.1,Yes,21.9,17.3,33.0,17.2,NE,No
2009-03-13,53.0,1.6,NNE,0.2,1.0,20.0,26.5,1016.6,4.0,9.0,85.0,ESE,Bendigo,1014.5,No,27.7,19.3,28.0,15.7,NNE,No
2009-03-14,80.0,3.4,NW,0.2,7.0,13.0,20.3,1009.7,7.0,17.0,78.0,NNE,Bendigo,1007.5,No,21.0,19.2,57.0,15.7,WNW,Yes
2009-03-15,41.0,3.0,WNW,3.0,2.0,22.0,17.3,1012.8,7.0,17.0,79.0,WNW,Bendigo,1011.5,Yes,18.9,11.3,46.0,8.7,W,No
2009-03-16,53.0,3.6,SW,0.0,7.0,15.0,17.4,1013.0,8.0,11.0,86.0,WNW,Bendigo,1012.8,No,18.9,12.1,31.0,5.6,WSW,No
2009-03-17,43.0,1.8,SW,0.0,6.0,17.0,20.7,1017.4,2.0,15.0,63.0,S,Bendigo,1015.9,No,22.4,13.7,28.0,11.7,S,No
2009-03-18,24.0,4.0,N,0.0,1.0,13.0,23.8,1016.8,1.0,11.0,78.0,SE,Bendigo,1013.9,No,25.5,11.4,31.0,7.3,N,No
2009-03-19,15.0,4.8,WNW,0.0,1.0,17.0,30.8,1015.0,1.0,9.0,49.0,SSE,Bendigo,1012.1,No,31.9,16.1,35.0,7.9,NNW,No
2009-03-20,15.0,12.0,NNW,0.0,2.0,26.0,31.8,1015.1,1.0,15.0,54.0,SSE,Bendigo,1012.7,No,32.7,19.2,44.0,14.2,N,No
2009-03-21,8.0,4.0,N,0.0,1.0,22.0,33.2,1014.5,2.0,11.0,40.0,SSE,Bendigo,1010.8,No,34.9,19.7,50.0,12.5,NNE,No
2009-03-22,32.0,11.4,SW,0.0,4.0,20.0,28.0,1010.9,2.0,7.0,34.0,N,Bendigo,1010.4,No,29.5,23.3,35.0,16.9,SW,No
2009-03-23,34.0,4.0,NW,0.0,0.0,7.0,24.1,1015.2,1.0,17.0,76.0,S,Bendigo,1013.5,No,25.9,14.1,31.0,10.7,S,No
2009-03-24,35.0,5.0,SW,0.0,2.0,7.0,22.8,1016.5,7.0,15.0,69.0,SE,Bendigo,1015.5,No,23.8,13.9,30.0,10.8,SSE,No
2009-03-25,27.0,1.6,NNW,0.4,6.0,24.0,28.6,1015.5,3.0,7.0,55.0,S,Bendigo,1014.2,No,30.0,18.2,43.0,13.8,N,No
2009-03-26,35.0,5.6,SW,0.0,4.0,20.0,24.2,1019.3,1.0,0.0,88.0,,Bendigo,1019.8,No,25.6,15.7,41.0,12.3,SSW,No
2009-03-27,26.0,6.0,S,0.0,1.0,11.0,23.2,1025.6,2.0,20.0,59.0,SSE,Bendigo,1023.4,No,25.5,13.0,31.0,9.0,SSE,No
2009-03-28,9.0,4.6,WNW,0.0,1.0,9.0,26.4,1023.0,1.0,0.0,79.0,,Bendigo,1020.9,No,28.3,11.3,31.0,4.9,SSE,No
2009-03-29,8.0,5.6,WSW,0.0,1.0,7.0,29.8,1022.0,1.0,0.0,42.0,,Bendigo,1019.7,No,30.6,14.1,39.0,5.6,SSE,No
2009-03-30,25.0,4.0,NE,0.0,0.0,13.0,27.5,1022.9,1.0,22.0,64.0,SSE,Bendigo,1020.8,No,28.8,16.1,37.0,13.7,SSE,No
2009-03-31,27.0,6.6,N,0.0,1.0,9.0,27.8,1023.6,0.0,13.0,62.0,SSE,Bendigo,1020.2,No,29.3,18.0,31.0,12.4,NW,No
2009-04-01,27.0,4.0,E,0.0,1.0,6.0,29.0,1023.3,1.0,7.0,57.0,SSE,Bendigo,1019.8,No,29.8,18.3,,12.0,,No
2009-04-02,33.0,4.0,NE,0.0,1.0,19.0,29.0,1022.2,2.0,9.0,57.0,SE,Bendigo,1018.5,No,30.6,19.2,39.0,12.9,NE,No
2009-04-03,70.0,5.2,SW,0.0,5.0,26.0,19.2,1016.0,7.0,9.0,65.0,SE,Bendigo,1013.8,No,29.0,20.5,50.0,17.1,WSW,No
2009-04-04,33.0,4.6,WSW,0.0,0.0,19.0,18.5,1023.0,2.0,11.0,75.0,SW,Bendigo,1021.8,No,19.9,10.9,37.0,6.7,WSW,No
2009-04-05,39.0,3.6,SW,0.0,1.0,20.0,19.3,1021.2,7.0,11.0,59.0,WNW,Bendigo,1017.6,No,21.9,14.1,43.0,4.3,SW,No
2009-04-06,36.0,3.6,SSW,0.0,1.0,22.0,16.3,1025.5,2.0,24.0,48.0,S,Bendigo,1024.1,No,18.2,12.1,44.0,3.3,SW,No
2009-04-07,44.0,3.0,S,0.0,1.0,26.0,18.4,1028.5,6.0,28.0,54.0,SSE,Bendigo,1026.6,No,20.6,14.4,46.0,4.5,S,No
2009-04-08,32.0,3.2,S,0.0,1.0,9.0,22.5,1027.1,1.0,15.0,65.0,SSE,Bendigo,1023.8,No,23.5,14.4,31.0,6.6,SSE,No
2009-04-09,26.0,3.8,N,0.0,0.0,20.0,25.1,1023.1,1.0,13.0,64.0,ESE,Bendigo,1018.6,No,25.7,14.8,31.0,10.0,NNE,No
2009-04-10,39.0,4.0,WSW,0.0,3.0,7.0,24.0,1019.2,4.0,13.0,49.0,E,Bendigo,1017.2,No,25.2,18.1,35.0,11.5,SSE,No
2009-04-11,22.0,3.0,N,0.0,2.0,9.0,24.8,1023.3,2.0,11.0,68.0,SE,Bendigo,1020.2,No,25.1,17.2,28.0,12.0,SSE,No
2009-04-12,19.0,4.0,WSW,0.0,0.0,15.0,24.2,1023.4,1.0,7.0,72.0,ESE,Bendigo,1020.5,No,25.2,15.7,31.0,7.2,NW,No
2009-04-13,18.0,4.4,WNW,0.0,1.0,2.0,26.5,1022.3,2.0,11.0,46.0,SE,Bendigo,1018.1,No,26.5,17.4,24.0,8.0,NE,No
2009-04-14,16.0,4.0,NW,0.0,1.0,28.0,27.1,1015.4,1.0,9.0,38.0,SE,Bendigo,1010.4,No,27.6,17.7,43.0,7.7,NW,No
2009-04-15,24.0,5.8,WSW,0.4,6.0,22.0,17.7,1008.3,5.0,35.0,61.0,W,Bendigo,1011.5,No,18.0,14.7,74.0,7.8,W,No
2009-04-16,36.0,4.0,WNW,0.0,7.0,22.0,18.0,1015.1,5.0,9.0,57.0,N,Bendigo,1012.0,No,19.5,9.0,39.0,0.7,NW,No
2009-04-17,34.0,3.2,W,0.0,1.0,15.0,20.8,1018.1,3.0,13.0,72.0,WSW,Bendigo,1017.3,No,21.7,14.8,30.0,6.9,WSW,No
2009-04-18,37.0,2.2,SSE,0.0,0.0,11.0,21.9,1023.2,1.0,15.0,63.0,SSE,Bendigo,1021.0,No,22.7,16.3,37.0,8.4,SSW,No
2009-04-19,30.0,2.2,SSE,0.0,0.0,13.0,22.1,1023.6,0.0,15.0,66.0,SE,Bendigo,1020.9,No,22.3,16.4,39.0,12.3,SSE,No
2009-04-20,36.0,4.0,N,0.0,0.0,9.0,22.1,1023.4,0.0,9.0,58.0,ESE,Bendigo,1020.0,No,23.0,14.9,28.0,9.3,SSE,No
2009-04-21,30.0,2.6,NNW,0.0,1.0,7.0,22.1,1024.8,1.0,2.0,50.0,E,Bendigo,1021.2,No,22.8,16.1,24.0,4.6,N,No
2009-04-22,31.0,2.6,N,0.0,0.0,17.0,22.0,1025.2,3.0,9.0,55.0,SE,Bendigo,1021.3,No,23.2,14.6,33.0,4.6,NE,No
2009-04-23,35.0,3.0,NNE,0.0,1.0,22.0,21.6,1019.0,7.0,22.0,63.0,NE,Bendigo,1013.7,No,22.6,15.3,46.0,7.1,N,Yes
2009-04-24,96.0,4.4,N,2.6,8.0,15.0,15.0,1004.1,8.0,24.0,90.0,N,Bendigo,999.1,Yes,16.1,14.4,41.0,13.4,NNE,Yes
2009-04-25,79.0,0.6,NNW,8.4,8.0,22.0,15.2,1002.7,7.0,17.0,94.0,NNW,Bendigo,996.2,Yes,15.6,12.0,61.0,9.6,NW,Yes
2009-04-26,47.0,3.0,WNW,8.2,7.0,37.0,12.7,1001.4,5.0,22.0,79.0,NW,Bendigo,1001.6,Yes,13.3,7.8,61.0,6.0,W,No
2009-04-27,67.0,2.8,NNW,0.8,4.0,13.0,10.6,1012.8,8.0,13.0,81.0,NW,Bendigo,1011.7,No,11.8,8.0,33.0,4.8,WNW,Yes
2009-04-28,37.0,0.8,SSW,2.0,1.0,13.0,12.4,1020.3,6.0,19.0,77.0,SSW,Bendigo,1020.2,Yes,13.6,8.4,39.0,5.0,SW,No
2009-04-29,37.0,2.6,SSE,0.2,7.0,15.0,12.3,1023.2,7.0,13.0,66.0,S,Bendigo,1021.1,No,13.1,8.6,22.0,4.5,S,No
2009-04-30,26.0,1.6,N,0.0,0.0,11.0,14.5,1023.4,2.0,6.0,61.0,SSE,Bendigo,1021.2,No,15.1,8.7,20.0,-1.3,WNW,No
2009-05-01,50.0,1.8,N,0.0,6.0,7.0,16.4,1024.7,7.0,6.0,67.0,E,Bendigo,1022.1,No,16.9,8.2,24.0,1.7,SSW,Yes
