Wind Gust Dir,Rain Today,Evaporation,Wind Dir 9 am,Min Temp F,Rain Tomorrow,Cloud 3 pm,Wind Speed 9 am,Temp 3 pm F,Rainfall,Wind Dir 3 pm,Humidity 3 pm,Wind Gust Speed,Location,Max Temp F,Date,Cloud 9 am,Humidity 9 am,Pressure 3 pm,Wind Speed 3 pm,Temp 9 am F,Pressure 9 am
SE,Yes,1.8,SSW,61.7,Yes,,9.0,70.52,3.4,SSE,67.0,31.0,Richmond,71.24000000000001,2009-02-17,,94.0,1015.7,13.0,64.75999999999999,1017.3
SSW,Yes,1.7,SW,63.32,No,,17.0,79.52,13.6,SSW,55.0,35.0,Richmond,81.32,2009-02-18,,83.0,1008.4,15.0,68.9,1011.0
W,No,3.6,N,66.02,Yes,,15.0,76.1,0.0,N,76.0,59.0,Richmond,85.46000000000001,2009-02-19,,73.0,1005.3,17.0,73.58,1008.0
SE,Yes,5.3,NNE,65.84,No,,6.0,88.88000000000001,5.0,ENE,43.0,41.0,Richmond,90.32,2009-02-20,,82.0,1008.6,11.0,70.16,1011.8
SE,No,,S,69.44,Yes,,2.0,71.06,0.2,E,87.0,41.0,Richmond,80.24000000000001,2009-02-21,,90.0,1012.6,11.0,71.6,1013.2
SE,Yes,,WSW,65.3,No,,6.0,76.82,24.6,ENE,60.0,28.0,Richmond,78.98,2009-02-22,,89.0,1017.0,7.0,67.28,1018.9
NNW,No,10.4,NNE,67.1,Yes,,13.0,87.98,0.2,NE,56.0,54.0,Richmond,88.88000000000001,2009-02-23,,76.0,1011.6,22.0,72.5,1016.9
SE,Yes,5.6,,64.4,No,,0.0,88.7,8.2,ESE,51.0,37.0,Richmond,90.5,2009-02-24,,99.0,1011.5,26.0,66.56,1014.7
SE,No,4.6,,66.56,No,,0.0,84.38000000000001,0.2,NE,55.0,39.0,Richmond,86.0,2009-02-25,,82.0,1013.1,6.0,71.6,1016.5
ESE,No,,SW,65.84,No,,7.0,76.64,0.0,SE,49.0,35.0,Richmond,77.9,2009-02-26,,75.0,1017.8,13.0,68.54,1020.7
E,No,8.0,SW,59.36,No,,7.0,76.82,0.0,E,45.0,24.0,Richmond,79.16,2009-02-27,,72.0,1015.1,11.0,68.0,1018.4
SW,No,4.7,,58.28,No,,0.0,89.06,0.0,NNE,44.0,31.0,Richmond,91.03999999999999,2009-02-28,,85.0,1005.6,6.0,63.32,1009.8
ESE,No,,NNE,63.32,No,,7.0,83.12,0.0,NE,43.0,31.0,Richmond,83.84,2009-03-01,,76.0,1009.7,7.0,71.96,1010.8
ENE,No,9.3,,64.94,No,,0.0,80.78,0.0,NNE,52.0,52.0,Richmond,82.04,2009-03-02,,85.0,1014.4,15.0,69.08,1016.6
ENE,No,4.6,,63.86,No,,0.0,80.24000000000001,0.0,NNE,55.0,35.0,Richmond,83.84,2009-03-03,,93.0,1014.6,15.0,67.46,1018.3
W,No,4.0,,67.46,No,,0.0,75.38,0.0,WNW,53.0,44.0,Richmond,77.0,2009-03-04,,89.0,1008.5,4.0,70.88,1008.0
ESE,No,3.8,WSW,50.54,No,,13.0,77.54,0.0,SW,29.0,43.0,Richmond,78.8,2009-03-05,,45.0,1008.0,7.0,65.48,1010.4
ENE,No,4.6,,49.64,No,,0.0,77.36,0.0,E,39.0,31.0,Richmond,78.98,2009-03-06,,77.0,1010.5,13.0,57.92,1014.1
E,No,,,57.02,No,,0.0,82.04,0.0,NNE,44.0,24.0,Richmond,83.12,2009-03-07,,81.0,1011.2,6.0,65.3,1014.6
SE,No,,S,63.86,Yes,,7.0,75.92,0.0,SE,65.0,43.0,Richmond,78.08,2009-03-08,,81.0,1017.9,30.0,69.25999999999999,1018.2
SW,Yes,11.6,SW,62.24,No,,11.0,75.56,17.4,E,68.0,46.0,Richmond,78.08,2009-03-09,,99.0,1019.8,6.0,63.86,1022.6
E,No,2.0,S,63.86,No,,6.0,76.82,0.2,ENE,57.0,31.0,Richmond,78.62,2009-03-10,,93.0,1020.6,22.0,67.82,1022.0
E,No,4.2,E,59.18,Yes,,6.0,73.75999999999999,0.0,SE,72.0,35.0,Richmond,75.56,2009-03-11,,88.0,1022.4,28.0,65.12,1024.4
NE,Yes,2.2,SW,60.62,No,,4.0,77.36,2.6,NE,57.0,31.0,Richmond,79.7,2009-03-12,,99.0,1019.8,11.0,65.3,1023.1
WNW,No,3.8,NW,61.88,Yes,,6.0,77.0,0.0,NNW,67.0,24.0,Richmond,80.78,2009-03-13,,99.0,1016.0,4.0,65.84,1019.0
SW,Yes,,,61.7,Yes,,0.0,82.04,3.4,NNE,55.0,41.0,Richmond,82.94,2009-03-14,,99.0,1009.8,2.0,64.58,1015.0
NNW,Yes,,ENE,62.24,No,,4.0,86.36,13.6,WNW,43.0,31.0,Richmond,87.44,2009-03-15,,94.0,1006.9,13.0,67.1,1010.6
WNW,No,8.7,SW,53.96,No,,6.0,77.9,0.2,ENE,38.0,30.0,Richmond,80.96,2009-03-16,,56.0,1007.9,9.0,62.78,1012.1
ESE,No,5.6,,50.36,No,,0.0,75.74000000000001,0.0,NE,37.0,30.0,Richmond,77.72,2009-03-17,,76.0,1012.0,13.0,59.36,1014.1
ENE,No,4.0,,59.18,No,,0.0,78.08,0.0,NE,48.0,28.0,Richmond,80.06,2009-03-18,,74.0,1015.5,9.0,66.2,1019.2
NE,No,5.0,,55.04,No,,0.0,85.64,0.0,ENE,45.0,26.0,Richmond,87.8,2009-03-19,,88.0,1012.8,11.0,62.78,1016.9
E,No,3.9,SSW,59.36,No,,2.0,84.2,0.0,SE,45.0,28.0,Richmond,85.82,2009-03-20,,91.0,1015.3,9.0,68.18,1017.8
E,No,,SE,59.72,No,,2.0,80.96,0.0,SE,53.0,30.0,Richmond,81.14,2009-03-21,,96.0,1016.2,6.0,65.66,1019.1
S,No,,,56.48,No,,0.0,79.88,0.0,ENE,49.0,28.0,Richmond,83.12,2009-03-22,,99.0,1014.6,13.0,61.7,1018.4
NE,No,12.2,,57.56,No,,0.0,85.1,0.2,E,36.0,28.0,Richmond,85.64,2009-03-23,,92.0,1014.4,11.0,64.94,1017.1
N,No,3.6,SSW,62.42,No,,6.0,89.78,0.0,NE,38.0,33.0,Richmond,90.86,2009-03-24,,90.0,1014.7,20.0,68.36,1018.2
W,No,4.6,,60.26,Yes,,0.0,92.84,0.0,NE,42.0,54.0,Richmond,93.56,2009-03-25,,93.0,1016.0,17.0,66.2,1019.8
SSW,Yes,7.2,,65.3,No,,0.0,85.28,28.6,NE,59.0,22.0,Richmond,85.46000000000001,2009-03-26,,96.0,1016.2,4.0,68.36,1019.8
SSE,No,3.0,SSW,66.92,No,,13.0,72.5,0.2,SSE,61.0,33.0,Richmond,74.3,2009-03-27,,78.0,1023.4,19.0,68.72,1024.3
N,No,,,56.3,No,,0.0,76.82,0.0,NW,46.0,28.0,Richmond,77.9,2009-03-28,,89.0,1022.5,6.0,63.14,1025.7
ENE,No,,,53.42,No,,0.0,78.8,0.0,ENE,46.0,28.0,Richmond,80.42,2009-03-29,,99.0,1020.6,11.0,57.92,1024.2
SE,No,9.6,S,57.92,Yes,,4.0,77.36,0.0,SE,48.0,50.0,Richmond,78.62,2009-03-30,,86.0,1021.4,22.0,67.1,1024.4
SSE,Yes,3.5,SSE,64.4,Yes,,17.0,62.78,3.8,S,95.0,41.0,Richmond,69.25999999999999,2009-03-31,,89.0,1020.4,19.0,68.18,1021.6
SE,Yes,0.0,SSE,62.78,Yes,,13.0,72.5,58.4,SE,83.0,43.0,Richmond,73.75999999999999,2009-04-01,,99.0,1020.6,22.0,66.56,1020.9
NE,Yes,0.2,SSE,66.02,Yes,,9.0,72.5,16.4,E,81.0,41.0,Richmond,76.1,2009-04-02,,97.0,1021.5,15.0,69.44,1023.2
NE,Yes,1.3,,63.68,No,,0.0,79.16,6.8,NNE,66.0,24.0,Richmond,79.7,2009-04-03,,99.0,1016.3,9.0,68.0,1021.3
W,No,,SSW,64.58,No,,7.0,66.92,0.8,SE,66.0,37.0,Richmond,68.36,2009-04-04,,95.0,1019.2,19.0,66.38,1017.6
NNE,No,,,61.519999999999996,No,,0.0,74.48,0.0,NNE,59.0,30.0,Richmond,75.38,2009-04-05,,76.0,1014.0,17.0,65.12,1020.1
ESE,No,7.4,S,53.42,No,,19.0,69.62,0.0,SE,58.0,31.0,Richmond,70.7,2009-04-06,,74.0,1019.0,19.0,65.84,1020.8
ESE,No,2.3,SSW,60.08,No,,9.0,70.52,0.0,E,57.0,31.0,Richmond,71.24000000000001,2009-04-07,,69.0,1023.6,13.0,63.14,1025.9
ESE,No,3.0,,49.64,No,,0.0,73.22,0.0,N,47.0,28.0,Richmond,73.94,2009-04-08,,76.0,1024.2,9.0,62.24,1027.6
NE,No,2.6,SE,53.06,No,,6.0,74.3,0.0,NE,50.0,22.0,Richmond,75.38,2009-04-09,,87.0,1021.4,15.0,61.16,1025.8
NNE,No,,,50.9,No,,0.0,75.92,0.2,ENE,49.0,17.0,Richmond,76.64,2009-04-10,,99.0,1020.4,7.0,57.74,1023.7
WSW,No,,,57.56,Yes,,0.0,73.75999999999999,0.0,,67.0,13.0,Richmond,75.02,2009-04-11,,97.0,1022.8,0.0,62.959999999999994,1025.6
WNW,Yes,,,62.959999999999994,No,,0.0,74.3,1.2,WSW,72.0,22.0,Richmond,75.74000000000001,2009-04-12,,92.0,1020.6,7.0,68.0,1023.3
SE,No,,SW,64.22,Yes,,6.0,70.52,0.2,SE,79.0,19.0,Richmond,72.14,2009-04-13,,89.0,1019.1,15.0,68.0,1022.6
E,Yes,8.0,NNE,60.980000000000004,No,,4.0,77.54,3.4,ENE,61.0,17.0,Richmond,78.62,2009-04-14,,88.0,1010.7,6.0,68.0,1015.1
W,No,2.6,NE,54.68,No,,6.0,83.3,0.2,WNW,29.0,48.0,Richmond,83.84,2009-04-15,,71.0,1007.3,30.0,68.54,1011.5
S,No,5.0,NE,50.9,No,,4.0,74.84,0.2,ESE,40.0,22.0,Richmond,75.92,2009-04-16,,55.0,1011.2,11.0,61.519999999999996,1015.4
S,No,3.2,SW,47.84,No,,4.0,73.58,0.0,ESE,37.0,30.0,Richmond,74.48,2009-04-17,,83.0,1015.2,22.0,58.459999999999994,1016.8
ESE,No,,,50.36,No,,0.0,73.4,0.0,S,45.0,31.0,Richmond,74.3,2009-04-18,,77.0,1017.6,17.0,62.6,1020.6
SSW,No,,SW,53.42,Yes,,19.0,64.22,0.0,S,83.0,48.0,Richmond,69.62,2009-04-19,,63.0,1018.6,31.0,64.94,1020.2
SSE,Yes,8.0,SSW,57.56,Yes,,22.0,63.5,7.0,SSW,76.0,50.0,Richmond,66.2,2009-04-20,,73.0,1019.5,22.0,61.7,1021.3
S,Yes,1.4,S,57.02,Yes,,19.0,65.12,2.0,SSW,77.0,43.0,Richmond,69.62,2009-04-21,,75.0,1021.1,13.0,65.48,1023.1
SE,Yes,1.8,SW,56.48,No,,22.0,,4.2,,,39.0,Richmond,71.42,2009-04-22,,84.0,,,62.959999999999994,1024.6
WNW,No,2.0,N,55.22,No,,2.0,68.54,1.0,ESE,62.0,20.0,Richmond,70.34,2009-04-23,,78.0,1018.2,2.0,64.4,1022.0
NNE,No,1.6,ENE,47.84,No,,4.0,71.6,0.0,NNE,62.0,31.0,Richmond,75.56,2009-04-24,,99.0,1005.9,20.0,54.5,1012.8
WNW,No,,N,54.5,No,,15.0,70.88,0.0,W,46.0,44.0,Richmond,74.12,2009-04-25,,50.0,1002.8,20.0,68.36,1004.8
WNW,No,,NNW,59.36,No,,24.0,65.3,0.0,WNW,35.0,65.0,Richmond,68.0,2009-04-26,,39.0,1004.0,35.0,64.75999999999999,1003.6
WNW,No,9.5,NW,45.86,No,,15.0,64.22,0.0,WSW,36.0,46.0,Richmond,65.12,2009-04-27,,47.0,1013.2,22.0,58.28,1013.9
W,No,3.0,NNW,43.16,No,,13.0,69.08,0.0,W,36.0,44.0,Richmond,71.78,2009-04-28,,62.0,1015.4,24.0,61.7,1015.8
SE,No,3.4,,41.36,No,,0.0,62.059999999999995,0.0,SSW,58.0,26.0,Richmond,63.68,2009-04-29,,85.0,1019.7,13.0,50.9,1022.7
SSE,No,1.7,SSW,45.68,No,,20.0,62.42,0.0,SSE,62.0,31.0,Richmond,66.74000000000001,2009-04-30,,67.0,1020.2,11.0,58.1,1020.9
E,No,1.7,,40.82,No,,0.0,70.16,0.0,E,50.0,20.0,Richmond,70.7,2009-05-01,,86.0,1020.4,9.0,52.7,1025.0
SE,No,,,39.92,No,,0.0,69.62,0.0,SSW,42.0,30.0,Richmond,71.42,2009-05-02,,85.0,1022.4,4.0,53.24,1025.8
ESE,No,,NE,47.48,No,,2.0,69.98,0.0,,47.0,20.0,Richmond,71.24000000000001,2009-05-03,,81.0,1025.4,0.0,58.459999999999994,1028.0
ESE,No,6.0,E,44.78,No,,6.0,73.04,0.0,E,42.0,24.0,Richmond,74.3,2009-05-04,,95.0,1025.3,2.0,53.24,1028.8
S,No,1.9,NE,49.46,No,,2.0,68.18,0.0,ESE,52.0,28.0,Richmond,68.9,2009-05-05,,87.0,1028.1,9.0,57.92,1031.1
ENE,No,1.6,,48.74,No,,0.0,71.6,0.0,NE,53.0,24.0,Richmond,72.14,2009-05-06,,99.0,1023.1,13.0,53.6,1028.6
SE,No,,,44.78,No,,0.0,71.42,0.0,SSE,42.0,26.0,Richmond,72.68,2009-05-07,,93.0,1021.0,9.0,54.68,1024.7
SW,No,2.8,SSW,46.04,No,,2.0,67.1,0.0,SE,53.0,30.0,Richmond,69.8,2009-05-08,,80.0,1024.8,13.0,58.28,1028.2
SSE,No,,,41.18,No,,0.0,70.52,0.0,E,44.0,19.0,Richmond,71.24000000000001,2009-05-09,,85.0,1020.2,4.0,54.5,1024.7
SE,No,,,43.16,No,,0.0,61.7,0.0,SSW,77.0,28.0,Richmond,64.94,2009-05-10,,94.0,1023.8,13.0,53.96,1024.9
ESE,No,5.4,,42.08,No,,0.0,68.0,0.2,ENE,46.0,24.0,Richmond,68.18,2009-05-11,,99.0,1022.0,2.0,52.52,1025.8
SE,No,1.6,,39.02,No,,0.0,68.18,0.2,SSW,39.0,22.0,Richmond,68.72,2009-05-12,,99.0,1017.7,2.0,46.22,1022.0
WNW,No,1.5,,41.0,No,,0.0,69.8,0.0,NW,36.0,31.0,Richmond,70.34,2009-05-13,,87.0,1012.9,17.0,52.52,1017.1
W,No,,N,37.22,No,,17.0,68.0,0.0,WNW,37.0,52.0,Richmond,69.8,2009-05-14,,57.0,1011.4,28.0,60.08,1012.7
WNW,No,4.9,NNW,41.9,No,,11.0,69.44,0.0,WNW,38.0,46.0,Richmond,70.88,2009-05-15,,68.0,1010.8,26.0,58.459999999999994,1013.5
W,No,,W,55.94,No,,33.0,70.34,0.0,W,44.0,70.0,Richmond,71.24000000000001,2009-05-16,,50.0,1009.1,24.0,66.2,1011.3
SSE,No,,,36.86,No,,0.0,66.38,0.0,SE,40.0,17.0,Richmond,67.64,2009-05-17,,81.0,1017.3,9.0,50.18,1019.0
ESE,No,9.0,,39.2,No,,0.0,66.74000000000001,0.0,ENE,59.0,20.0,Richmond,67.64,2009-05-18,,96.0,1023.1,15.0,48.74,1026.3
NNW,No,1.2,NNW,48.74,Yes,,2.0,63.32,0.0,NW,73.0,19.0,Richmond,67.82,2009-05-19,,99.0,1021.0,9.0,54.5,1024.8
NE,Yes,0.8,SSW,54.5,Yes,,9.0,67.28,6.0,ENE,60.0,39.0,Richmond,68.72,2009-05-20,,99.0,1019.9,19.0,59.18,1022.1
SE,Yes,1.6,SW,55.94,Yes,,11.0,64.04,7.0,SE,67.0,50.0,Richmond,67.1,2009-05-21,,97.0,1021.8,22.0,59.9,1024.0
ENE,Yes,0.2,NW,56.48,Yes,,9.0,59.72,23.6,SW,97.0,57.0,Richmond,63.32,2009-05-22,,99.0,1020.8,9.0,58.1,1023.8
E,Yes,,ESE,57.379999999999995,Yes,,9.0,66.2,32.6,ESE,80.0,44.0,Richmond,69.08,2009-05-23,,99.0,1022.4,30.0,60.440000000000005,1024.1
ENE,Yes,,,55.94,No,,0.0,68.9,4.4,E,58.0,26.0,Richmond,69.98,2009-05-24,,96.0,1025.1,15.0,61.16,1027.0
ENE,No,3.5,,50.18,No,,0.0,64.94,0.2,ENE,76.0,15.0,Richmond,65.84,2009-05-25,,95.0,1023.0,7.0,57.02,1026.4
ESE,No,0.6,,48.2,No,,0.0,70.52,0.0,,58.0,13.0,Richmond,71.24000000000001,2009-05-26,,99.0,1019.0,0.0,50.9,1022.4
ESE,No,2.0,,50.9,Yes,,0.0,60.440000000000005,0.2,NE,94.0,17.0,Richmond,61.16,2009-05-27,,99.0,1018.4,2.0,56.66,1020.7
SE,Yes,0.0,,53.06,No,,0.0,62.42,2.0,SE,70.0,28.0,Richmond,66.2,2009-05-28,,99.0,1019.9,15.0,55.94,1021.8
S,No,1.2,SW,53.42,No,,11.0,61.7,0.6,S,61.0,39.0,Richmond,62.959999999999994,2009-05-29,,73.0,1022.4,30.0,54.86,1024.0
S,No,0.0,SSW,52.16,Yes,,22.0,57.56,0.0,SW,82.0,46.0,Richmond,65.3,2009-05-30,,64.0,1028.1,13.0,57.92,1028.5
ESE,Yes,,SW,51.44,No,,9.0,60.440000000000005,4.6,SSW,77.0,24.0,Richmond,61.519999999999996,2009-05-31,,99.0,1031.9,7.0,55.4,1034.0
SW,No,2.8,ENE,49.64,No,,7.0,60.26,1.0,SSW,77.0,17.0,Richmond,60.440000000000005,2009-06-01,,99.0,1030.3,4.0,52.34,1033.3
E,No,,,51.08,Yes,,0.0,66.92,0.4,,62.0,13.0,Richmond,67.28,2009-06-02,,99.0,1027.0,0.0,54.68,1030.2
NW,Yes,0.9,SSW,54.68,No,,4.0,64.04,6.6,WNW,79.0,13.0,Richmond,64.22,2009-06-03,,99.0,1022.1,2.0,57.2,1025.9
S,No,0.7,,49.1,No,,0.0,59.9,0.2,SE,90.0,13.0,Richmond,60.440000000000005,2009-06-04,,99.0,1016.4,2.0,51.98,1020.9
W,No,,,51.98,No,,0.0,65.66,0.0,,54.0,17.0,Richmond,68.36,2009-06-05,,100.0,1012.5,0.0,55.58,1015.6
W,No,,NE,39.56,No,,7.0,64.58,0.2,W,41.0,33.0,Richmond,65.3,2009-06-06,,83.0,1010.0,20.0,51.620000000000005,1014.4
WSW,No,,NNW,46.58,No,,13.0,66.02,0.6,NW,48.0,46.0,Richmond,66.74000000000001,2009-06-07,,88.0,1005.1,17.0,53.6,1008.4
WNW,No,,N,47.48,No,,9.0,64.4,0.0,WNW,40.0,52.0,Richmond,65.66,2009-06-08,,64.0,1007.9,28.0,57.02,1010.0
WNW,No,7.4,WNW,41.0,No,,20.0,58.459999999999994,0.0,WNW,46.0,46.0,Richmond,61.88,2009-06-09,,49.0,1008.9,19.0,55.94,1012.2
W,No,3.0,WNW,46.58,No,,22.0,55.4,0.0,WSW,35.0,46.0,Richmond,58.1,2009-06-10,,39.0,1014.1,28.0,51.98,1013.4
S,No,2.4,,27.68,No,,0.0,60.8,0.0,S,29.0,24.0,Richmond,61.34,2009-06-11,,87.0,1018.5,11.0,40.1,1021.8
ESE,No,1.6,,30.56,No,,0.0,60.26,0.0,ESE,45.0,17.0,Richmond,61.16,2009-06-12,,83.0,1020.1,9.0,42.44,1024.8
NNW,No,,,36.32,No,,0.0,58.28,0.0,N,49.0,22.0,Richmond,64.04,2009-06-13,,99.0,1014.0,11.0,42.8,1018.0
NNE,No,,,41.72,No,,0.0,57.56,0.0,NNW,69.0,28.0,Richmond,64.58,2009-06-14,,90.0,1011.6,7.0,45.32,1014.8
WSW,No,2.6,,35.06,No,,0.0,64.58,0.0,WSW,35.0,30.0,Richmond,67.64,2009-06-15,,87.0,1010.4,20.0,49.64,1013.4
