Max_Temp_F,Date,Rain_Today,Rain_Tomorrow,Temp_3_pm_F,Wind_Speed_9_am,Sunshine,Cloud_9_am,Min_Temp_F,Pressure_3_pm,Wind_Dir_3_pm,Location,Humidity_9_am,Rainfall,Pressure_9_am,Wind_Dir_9_am,Temp_9_am_F,Evaporation,Cloud_3_pm,Humidity_3_pm,Wind_Speed_3_pm
73.04,2009-01-02,No,No,71.24000000000001,31.0,10.0,8.0,,1011.1,ESE,Albany,79.0,0.0,1014.5,ESE,67.64,9.4,1.0,77.0,28.0
70.7,2009-01-03,No,No,69.44,19.0,8.5,7.0,64.04,1016.7,S,Albany,72.0,0.4,1017.1,SSE,66.56,8.0,7.0,71.0,19.0
75.2,2009-01-04,No,No,75.2,2.0,13.3,2.0,59.0,1017.7,ESE,Albany,77.0,0.0,1020.2,WSW,67.1,7.2,0.0,53.0,17.0
74.3,2009-01-05,No,No,72.32,7.0,9.9,1.0,59.0,1014.9,N,Albany,84.0,0.0,1018.2,SE,67.28,7.4,1.0,73.0,20.0
73.4,2009-01-06,No,No,67.64,4.0,2.9,7.0,66.02,1017.2,SSE,Albany,75.0,0.0,1018.5,S,67.64,7.8,8.0,83.0,24.0
73.4,2009-01-07,No,No,69.8,9.0,11.7,7.0,61.7,1018.3,ESE,Albany,56.0,0.0,1021.0,ENE,65.84,5.6,2.0,53.0,26.0
71.96,2009-01-08,No,No,70.7,20.0,11.6,7.0,63.86,1018.5,ESE,Albany,73.0,0.0,1020.5,E,68.36,9.2,4.0,76.0,30.0
74.3,2009-01-09,No,No,71.6,15.0,12.9,6.0,64.22,1017.7,ESE,Albany,74.0,0.0,1020.1,ESE,70.7,7.2,2.0,74.0,26.0
74.3,2009-01-10,No,No,72.5,6.0,12.4,2.0,59.0,1015.1,SSW,Albany,72.0,0.0,1015.8,NNE,68.0,8.0,3.0,70.0,19.0
82.94,2009-01-11,No,No,76.1,7.0,13.5,2.0,59.9,1006.4,ESE,Albany,73.0,0.0,1012.4,NNE,70.16,7.4,1.0,71.0,26.0
78.25999999999999,2009-01-12,No,Yes,69.8,6.0,6.6,1.0,60.980000000000004,1007.5,WSW,Albany,79.0,0.0,1005.5,WNW,71.6,8.0,8.0,75.0,30.0
68.9,2009-01-13,Yes,No,68.18,24.0,10.7,7.0,56.3,1016.1,SW,Albany,72.0,1.2,1016.4,WSW,64.4,6.0,3.0,60.0,22.0
72.5,2009-01-14,No,No,71.24000000000001,6.0,11.6,7.0,57.92,1019.5,SSW,Albany,68.0,0.8,1019.7,W,65.3,6.2,1.0,53.0,19.0
76.1,2009-01-15,No,No,73.4,7.0,12.9,4.0,62.6,1018.5,ESE,Albany,63.0,0.0,1022.5,NNE,69.44,6.8,1.0,63.0,30.0
89.06,2009-01-16,No,No,84.2,7.0,13.1,0.0,65.3,1009.8,E,Albany,63.0,0.0,1015.5,ENE,72.5,9.8,0.0,52.0,26.0
71.6,2009-01-17,No,No,69.25999999999999,22.0,7.1,6.0,66.38,1018.2,S,Albany,74.0,0.0,1018.2,SSW,68.36,13.6,8.0,77.0,19.0
67.28,2009-01-18,No,No,65.48,7.0,0.2,8.0,64.94,1019.3,SSE,Albany,70.0,0.0,1020.4,S,66.74000000000001,6.0,8.0,71.0,22.0
68.54,2009-01-19,No,No,67.1,11.0,6.9,8.0,62.24,1018.9,S,Albany,57.0,0.2,1021.0,SSE,62.959999999999994,4.2,6.0,59.0,13.0
71.6,2009-01-20,No,No,69.8,7.0,6.4,8.0,58.64,1016.8,WSW,Albany,68.0,0.0,1018.8,N,64.04,6.0,5.0,72.0,31.0
76.1,2009-01-21,No,Yes,73.4,6.0,12.2,4.0,60.8,1009.8,WSW,Albany,64.0,0.0,1012.9,WSW,68.0,7.6,7.0,67.0,39.0
72.86,2009-01-22,Yes,Yes,71.24000000000001,30.0,11.2,5.0,63.68,1009.9,WSW,Albany,74.0,1.2,1011.5,WSW,67.1,8.4,1.0,69.0,37.0
69.25999999999999,2009-01-23,Yes,No,68.0,20.0,10.6,8.0,64.04,1012.1,SW,Albany,91.0,2.8,1010.9,WSW,65.66,8.0,5.0,87.0,30.0
73.58,2009-01-24,No,Yes,72.32,6.0,11.6,7.0,59.9,1013.8,SW,Albany,68.0,0.0,1015.4,WSW,65.12,6.8,0.0,63.0,19.0
73.4,2009-01-25,Yes,No,71.6,4.0,11.2,8.0,63.14,1014.5,ESE,Albany,89.0,1.4,1017.2,NNE,65.3,7.4,1.0,72.0,24.0
73.4,2009-01-26,No,No,71.6,9.0,10.5,8.0,65.3,1007.8,WSW,Albany,78.0,0.0,1007.8,ESE,71.6,8.0,6.0,82.0,30.0
69.8,2009-01-27,No,No,68.18,19.0,1.0,8.0,62.42,1011.5,E,Albany,73.0,0.8,1012.9,ESE,66.92,6.8,8.0,63.0,20.0
68.9,2009-01-28,No,Yes,67.46,19.0,0.0,8.0,64.4,1006.8,SE,Albany,82.0,0.0,1008.6,SSE,66.56,5.0,8.0,76.0,19.0
70.7,2009-01-29,Yes,No,69.98,15.0,5.2,7.0,60.8,1011.0,SSW,Albany,70.0,5.6,1010.4,S,64.75999999999999,2.4,6.0,52.0,11.0
72.5,2009-01-30,No,No,69.8,19.0,0.0,8.0,61.7,1013.0,E,Albany,85.0,0.0,1014.2,E,65.3,4.8,8.0,65.0,26.0
76.46,2009-01-31,No,No,73.4,11.0,12.4,7.0,63.5,1011.3,ENE,Albany,70.0,1.0,1013.9,ENE,70.7,4.2,6.0,74.0,39.0
78.8,2009-02-01,No,No,75.92,6.0,10.1,8.0,68.36,1012.7,ESE,Albany,84.0,0.0,1014.9,NE,71.6,7.8,1.0,74.0,24.0
77.0,2009-02-02,No,No,74.12,15.0,9.7,6.0,69.8,1008.7,ESE,Albany,84.0,0.0,1013.1,ENE,73.4,8.0,1.0,84.0,43.0
73.4,2009-02-03,No,No,72.5,22.0,3.6,8.0,68.36,1011.5,SW,Albany,93.0,0.0,1011.2,WSW,69.44,8.4,7.0,78.0,19.0
70.7,2009-02-04,No,No,68.0,30.0,7.7,8.0,62.6,1015.5,SSW,Albany,77.0,0.4,1015.1,SSW,68.0,3.4,5.0,56.0,24.0
72.5,2009-02-05,No,No,71.6,2.0,7.6,6.0,57.2,1012.1,S,Albany,71.0,0.0,1014.7,N,64.4,6.0,4.0,54.0,19.0
68.72,2009-02-06,No,Yes,67.1,0.0,9.9,7.0,,1007.3,WSW,Albany,58.0,0.0,1009.7,,66.56,6.0,6.0,58.0,44.0
65.84,2009-02-07,Yes,No,64.4,31.0,9.9,7.0,57.2,1016.6,SW,Albany,61.0,2.4,1014.1,WSW,62.6,8.4,5.0,58.0,26.0
70.16,2009-02-08,No,No,68.0,6.0,10.6,7.0,,1022.6,ESE,Albany,60.0,0.0,1023.3,E,64.04,5.8,3.0,54.0,20.0
72.5,2009-02-09,No,No,,19.0,6.0,7.0,63.68,1022.9,,Albany,59.0,0.0,1024.7,ESE,67.1,10.4,,,
76.1,2009-02-10,No,No,73.4,9.0,9.7,2.0,62.6,1020.0,ESE,Albany,56.0,0.0,1023.7,NNE,68.0,7.4,4.0,48.0,31.0
83.84,2009-02-11,No,No,79.7,17.0,12.2,1.0,62.6,1011.8,E,Albany,60.0,0.0,1016.8,ENE,67.46,10.8,2.0,55.0,28.0
94.1,2009-02-12,No,No,77.72,9.0,3.9,5.0,66.2,1008.3,WSW,Albany,28.0,0.0,1008.4,NE,83.84,12.4,7.0,50.0,19.0
67.64,2009-02-13,No,Yes,65.3,31.0,0.0,7.0,62.6,1019.6,S,Albany,80.0,0.2,1019.4,S,63.5,6.4,8.0,71.0,31.0
72.5,2009-02-14,Yes,Yes,68.72,19.0,,8.0,,1016.6,E,Albany,84.0,2.8,1017.9,ESE,67.1,3.4,8.0,87.0,19.0
87.8,2009-02-15,Yes,No,77.0,6.0,11.6,1.0,66.2,1005.3,ESE,Albany,70.0,1.8,1009.5,NNE,71.6,0.0,0.0,79.0,20.0
72.32,2009-02-16,No,No,71.42,9.0,11.9,7.0,60.980000000000004,1010.1,WSW,Albany,84.0,0.0,1010.5,NNW,65.66,7.6,2.0,68.0,30.0
69.98,2009-02-17,No,No,68.0,19.0,2.8,8.0,64.75999999999999,1015.8,SSE,Albany,71.0,0.0,1015.9,S,66.92,7.6,5.0,72.0,19.0
70.52,2009-02-18,No,No,68.72,15.0,8.4,8.0,64.04,1016.7,ESE,Albany,58.0,0.0,1017.8,SE,65.3,4.0,2.0,53.0,19.0
69.8,2009-02-19,No,No,68.36,15.0,9.7,7.0,63.32,1018.1,SE,Albany,60.0,0.0,1018.8,E,65.3,7.6,1.0,58.0,24.0
71.6,2009-02-20,No,No,70.7,17.0,11.6,5.0,62.6,1019.6,E,Albany,64.0,0.0,1021.6,E,67.1,7.8,1.0,62.0,28.0
81.5,2009-02-21,No,No,75.56,9.0,11.1,1.0,61.88,1009.7,ESE,Albany,71.0,0.0,1015.4,E,67.46,8.2,4.0,70.0,26.0
68.72,2009-02-22,No,No,64.75999999999999,30.0,4.3,7.0,65.3,1016.7,SW,Albany,83.0,0.0,1014.6,SSW,65.3,8.0,7.0,64.0,17.0
71.6,2009-02-23,No,No,69.8,15.0,11.9,3.0,59.36,1014.4,ESE,Albany,57.0,0.0,1018.6,ENE,64.4,5.6,1.0,60.0,33.0
78.44,2009-02-24,No,No,71.78,11.0,1.7,5.0,64.04,1002.8,WSW,Albany,78.0,0.0,1003.9,NE,68.72,8.0,8.0,75.0,31.0
71.6,2009-02-25,No,No,62.6,7.0,0.3,8.0,58.1,1004.1,W,Albany,66.0,0.0,1005.4,NNE,62.6,5.4,8.0,90.0,6.0
65.66,2009-02-26,No,Yes,62.6,6.0,1.4,8.0,53.6,1015.8,SSW,Albany,78.0,0.0,1013.7,N,57.2,3.7,8.0,80.0,13.0
69.98,2009-02-27,Yes,Yes,68.0,4.0,10.7,3.0,56.3,1016.4,SSE,Albany,84.0,1.4,1019.2,NE,60.08,3.4,2.0,62.0,19.0
71.6,2009-02-28,Yes,Yes,70.34,6.0,8.0,6.0,58.28,1014.7,ESE,Albany,67.0,6.4,1017.8,ENE,66.2,4.0,6.0,73.0,19.0
76.1,2009-03-01,Yes,Yes,71.96,7.0,3.4,6.0,65.3,1004.8,E,Albany,87.0,5.4,1009.4,ENE,69.08,4.6,7.0,84.0,11.0
64.75999999999999,2009-03-02,Yes,No,62.6,41.0,6.2,7.0,62.6,1010.8,SW,Albany,81.0,16.4,1006.5,WSW,64.4,5.0,5.0,52.0,41.0
64.04,2009-03-03,No,No,62.059999999999995,17.0,5.8,6.0,55.94,1027.2,SW,Albany,53.0,0.4,1025.0,SW,58.28,4.6,7.0,52.0,17.0
68.36,2009-03-04,No,No,66.2,2.0,9.4,8.0,57.74,1028.8,ESE,Albany,61.0,0.0,1031.8,NE,61.7,4.6,4.0,63.0,31.0
74.48,2009-03-05,No,No,70.88,9.0,11.5,0.0,59.18,1023.5,ESE,Albany,70.0,0.0,1027.7,NE,63.68,6.8,0.0,69.0,26.0
70.52,2009-03-06,No,No,67.82,0.0,9.1,4.0,58.459999999999994,1023.6,SSE,Albany,91.0,0.0,1024.0,,63.14,5.4,7.0,70.0,26.0
68.9,2009-03-07,No,No,67.1,28.0,8.6,7.0,60.8,1022.9,E,Albany,61.0,0.0,1025.6,E,62.6,5.8,6.0,59.0,20.0
77.9,2009-03-08,No,No,72.5,6.0,8.1,5.0,54.5,1016.9,E,Albany,70.0,0.0,1020.5,ENE,62.6,7.2,5.0,63.0,26.0
75.2,2009-03-09,No,No,74.3,2.0,9.4,3.0,61.16,1015.3,ESE,Albany,73.0,0.0,1017.6,NE,66.2,4.2,6.0,68.0,15.0
78.8,2009-03-10,No,No,76.1,6.0,10.6,2.0,62.24,1012.2,ESE,Albany,85.0,0.0,1016.3,ENE,69.25999999999999,6.2,4.0,64.0,31.0
72.32,2009-03-11,No,No,64.94,19.0,3.0,5.0,61.16,1014.7,SW,Albany,84.0,0.0,1012.1,WSW,69.8,8.0,8.0,87.0,24.0
67.64,2009-03-12,No,No,65.48,2.0,4.1,8.0,61.7,1015.4,SE,Albany,57.0,0.0,1017.1,SSE,62.6,4.0,6.0,53.0,11.0
66.2,2009-03-13,No,No,64.4,19.0,8.4,7.0,56.120000000000005,1022.5,SSW,Albany,66.0,0.4,1020.6,SW,62.24,3.6,1.0,51.0,26.0
68.0,2009-03-14,No,No,67.1,4.0,8.6,6.0,57.2,1022.8,ESE,Albany,56.0,0.0,1025.5,NE,62.6,5.6,1.0,55.0,22.0
74.48,2009-03-15,No,No,70.7,11.0,9.2,2.0,59.9,1016.1,ESE,Albany,71.0,0.0,1020.5,E,63.5,7.4,3.0,70.0,41.0
97.52,2009-03-16,No,No,76.64,0.0,10.9,2.0,62.6,1007.9,SE,Albany,58.0,0.0,1012.1,,70.52,7.2,0.0,70.0,20.0
81.68,2009-03-17,No,Yes,79.7,11.0,9.3,5.0,62.42,1006.1,NNW,Albany,71.0,0.0,1009.6,NNW,68.36,10.8,5.0,45.0,15.0
65.3,2009-03-18,Yes,No,64.04,31.0,1.4,6.0,59.0,1015.5,WSW,Albany,61.0,1.8,1014.9,WSW,64.22,6.4,6.0,73.0,20.0
74.3,2009-03-19,No,No,62.42,6.0,11.0,6.0,58.459999999999994,1011.0,WSW,Albany,70.0,0.8,1015.9,NW,62.42,2.2,2.0,70.0,15.0
70.88,2009-03-20,No,Yes,62.959999999999994,19.0,3.9,1.0,58.1,1007.5,WSW,Albany,62.0,0.0,1006.0,NNW,65.12,6.2,8.0,79.0,31.0
67.1,2009-03-21,Yes,No,63.32,6.0,3.0,6.0,54.68,1016.2,SSW,Albany,83.0,4.6,1016.6,NW,58.1,3.4,6.0,59.0,7.0
70.16,2009-03-22,No,No,68.54,4.0,10.5,1.0,48.379999999999995,1012.9,SW,Albany,87.0,0.2,1015.7,NNE,54.32,2.4,6.0,62.0,24.0
68.54,2009-03-23,No,No,67.82,6.0,6.3,7.0,54.14,1011.8,SW,Albany,89.0,0.0,1012.2,NW,59.0,4.0,5.0,72.0,26.0
74.66,2009-03-24,No,No,70.88,6.0,6.6,1.0,57.56,1013.7,WSW,Albany,81.0,0.6,1015.1,NNW,60.440000000000005,3.2,7.0,66.0,19.0
68.0,2009-03-25,No,No,66.56,2.0,9.3,5.0,59.0,1020.9,SW,Albany,90.0,0.6,1020.2,NW,60.8,3.6,4.0,63.0,15.0
73.04,2009-03-26,No,No,70.7,6.0,11.1,4.0,53.24,1021.9,ESE,Albany,83.0,0.0,1025.9,NNE,58.1,4.0,0.0,62.0,26.0
78.08,2009-03-27,No,No,71.06,6.0,9.6,8.0,57.56,1016.4,WSW,Albany,97.0,0.0,1018.8,W,61.34,4.4,1.0,81.0,24.0
68.9,2009-03-28,No,No,63.68,20.0,1.4,6.0,60.26,1021.8,S,Albany,79.0,0.0,1020.0,WSW,67.46,6.2,8.0,79.0,28.0
66.2,2009-03-29,No,No,62.6,28.0,1.8,8.0,60.8,1025.1,ESE,Albany,61.0,0.4,1026.6,ESE,62.6,4.8,8.0,70.0,24.0
64.94,2009-03-30,No,Yes,62.959999999999994,13.0,0.0,8.0,60.26,1015.5,ESE,Albany,77.0,0.2,1019.9,ENE,63.14,3.6,8.0,96.0,19.0
65.12,2009-03-31,Yes,Yes,61.519999999999996,15.0,0.3,8.0,58.64,1017.8,SSW,Albany,93.0,17.6,1018.4,SSE,59.0,2.2,8.0,84.0,19.0
62.42,2009-04-01,Yes,No,60.8,19.0,9.8,2.0,55.76,1023.5,SSW,Albany,53.0,7.2,1024.1,SSW,59.72,2.0,1.0,52.0,13.0
66.38,2009-04-02,No,No,62.6,15.0,5.7,1.0,48.56,1025.6,SW,Albany,57.0,0.0,1025.2,NNW,58.82,3.8,7.0,67.0,24.0
65.48,2009-04-03,No,No,63.5,4.0,8.1,5.0,57.2,1030.2,SE,Albany,69.0,0.2,1032.2,N,61.7,2.2,2.0,61.0,19.0
66.92,2009-04-04,No,No,65.3,0.0,9.9,7.0,55.04,1030.6,ESE,Albany,70.0,0.0,1033.0,,62.24,4.0,1.0,63.0,19.0
65.48,2009-04-05,No,No,64.4,7.0,2.9,8.0,59.36,1030.3,ESE,Albany,66.0,0.0,1033.2,ENE,62.6,5.4,7.0,65.0,22.0
71.6,2009-04-06,No,No,68.0,9.0,10.4,1.0,57.74,1025.6,ESE,Albany,69.0,0.0,1030.1,ENE,64.04,8.2,1.0,71.0,22.0
71.96,2009-04-07,No,No,69.98,7.0,10.0,0.0,57.2,1021.5,E,Albany,67.0,0.0,1026.3,NNE,65.12,2.8,2.0,68.0,26.0
84.2,2009-04-08,No,No,75.2,0.0,8.7,4.0,56.66,1016.9,N,Albany,82.0,0.0,1020.5,,64.04,4.2,5.0,54.0,7.0
67.64,2009-04-09,No,No,62.6,19.0,2.1,8.0,62.6,1020.7,ESE,Albany,76.0,0.0,1021.0,S,66.2,5.0,8.0,85.0,17.0
70.52,2009-04-10,No,No,67.1,7.0,8.0,8.0,61.16,1015.6,ESE,Albany,67.0,0.2,1020.9,NE,62.959999999999994,1.8,0.0,64.0,28.0
70.52,2009-04-11,No,No,66.2,17.0,0.6,8.0,61.519999999999996,1017.7,ESE,Albany,85.0,0.0,1018.3,ESE,67.28,3.8,8.0,84.0,28.0
69.08,2009-04-12,No,No,67.1,24.0,4.2,8.0,66.02,1021.6,ENE,Albany,80.0,0.2,1023.6,E,67.1,2.0,7.0,80.0,26.0
73.4,2009-04-13,No,No,69.44,7.0,9.1,5.0,63.5,1014.7,ESE,Albany,71.0,0.0,1020.2,ENE,68.72,4.0,2.0,71.0,24.0
66.2,2009-04-14,No,No,64.4,15.0,3.6,8.0,62.6,1019.5,SSW,Albany,75.0,0.0,1019.3,S,63.5,4.2,6.0,58.0,20.0
64.4,2009-04-15,No,No,62.959999999999994,2.0,7.0,8.0,57.74,1019.7,WSW,Albany,63.0,0.0,1022.3,W,59.540000000000006,4.0,5.0,59.0,13.0
67.1,2009-04-16,No,No,66.2,0.0,6.1,8.0,55.4,1015.8,SW,Albany,70.0,0.0,1018.8,,62.6,3.2,2.0,67.0,13.0
71.06,2009-04-17,No,No,66.92,0.0,8.9,1.0,52.7,1016.0,ESE,Albany,86.0,0.0,1017.8,,60.8,3.2,5.0,76.0,22.0
78.8,2009-04-18,No,No,75.2,6.0,7.8,4.0,60.980000000000004,1015.0,ESE,Albany,78.0,0.0,1017.5,E,70.7,3.0,4.0,68.0,22.0
75.2,2009-04-19,No,No,71.6,4.0,10.5,0.0,61.7,1014.0,ESE,Albany,68.0,1.0,1017.4,E,68.0,4.0,0.0,74.0,22.0
70.7,2009-04-20,No,No,70.16,0.0,5.0,,56.120000000000005,1013.5,SE,Albany,94.0,0.0,1015.8,,61.7,4.2,1.0,78.0,13.0
80.6,2009-04-21,No,Yes,71.96,6.0,9.3,4.0,60.980000000000004,1005.8,SSW,Albany,81.0,0.0,1011.6,ENE,68.0,1.8,6.0,77.0,19.0
63.32,2009-04-22,Yes,Yes,59.18,44.0,5.6,8.0,56.120000000000005,1013.9,WSW,Albany,76.0,4.2,1011.4,SW,62.24,5.0,7.0,68.0,44.0
63.68,2009-04-23,Yes,Yes,61.88,19.0,4.0,7.0,54.68,1020.7,W,Albany,79.0,2.2,1021.7,WSW,59.0,4.6,4.0,84.0,24.0
66.74000000000001,2009-04-24,Yes,Yes,66.2,6.0,6.9,7.0,57.2,1018.7,WSW,Albany,81.0,2.8,1021.4,W,61.88,2.4,3.0,61.0,30.0
66.2,2009-04-25,Yes,Yes,65.3,28.0,9.3,6.0,58.1,1021.5,WSW,Albany,79.0,4.8,1022.1,SW,64.04,3.8,6.0,70.0,26.0
65.12,2009-04-26,Yes,No,64.04,0.0,1.7,7.0,56.48,1022.1,WSW,Albany,94.0,1.4,1023.5,,59.0,1.0,8.0,71.0,24.0
67.1,2009-04-27,No,No,65.3,0.0,1.8,8.0,54.32,1020.3,SSW,Albany,86.0,0.0,1022.9,,58.64,2.2,8.0,68.0,9.0
68.36,2009-04-28,No,No,66.2,6.0,10.2,2.0,53.24,1024.6,ESE,Albany,83.0,0.4,1026.2,NNE,60.440000000000005,1.2,4.0,65.0,13.0
68.18,2009-04-29,No,No,66.56,0.0,7.2,6.0,54.68,1019.8,WSW,Albany,86.0,0.0,1021.8,,58.459999999999994,3.8,6.0,78.0,19.0
63.5,2009-04-30,No,No,61.7,13.0,7.2,6.0,58.64,1025.9,SW,Albany,62.0,0.6,1026.3,S,60.08,1.2,3.0,60.0,11.0
66.2,2009-05-01,No,No,64.4,0.0,2.8,8.0,56.3,1028.7,SSW,Albany,73.0,0.0,1030.4,,59.0,2.4,6.0,71.0,7.0
68.9,2009-05-02,No,No,67.64,2.0,10.2,1.0,47.84,1026.8,ESE,Albany,95.0,0.0,1030.4,WSW,54.14,1.0,1.0,60.0,15.0
69.8,2009-05-03,No,No,68.0,4.0,7.7,2.0,53.6,1025.7,E,Albany,84.0,0.0,1028.5,E,60.8,2.0,6.0,72.0,19.0
72.32,2009-05-04,No,No,69.62,0.0,9.7,1.0,53.06,1025.7,SSE,Albany,74.0,0.0,1027.6,,59.36,3.0,0.0,61.0,9.0
71.6,2009-05-05,No,No,69.8,0.0,9.7,1.0,48.56,1029.4,ESE,Albany,91.0,0.0,1031.0,,55.22,2.6,0.0,53.0,13.0
72.5,2009-05-06,No,No,67.82,6.0,9.3,1.0,52.16,1029.7,ESE,Albany,67.0,0.0,1032.7,NNE,58.1,2.4,0.0,66.0,20.0
71.6,2009-05-07,No,No,68.0,6.0,9.9,0.0,52.879999999999995,1028.1,ESE,Albany,82.0,0.0,1031.3,NNE,59.36,3.8,0.0,72.0,19.0
70.7,2009-05-08,No,No,69.8,0.0,9.8,2.0,51.8,1027.0,ESE,Albany,73.0,0.0,1030.5,,58.1,3.6,5.0,57.0,20.0
76.1,2009-05-09,No,No,73.4,0.0,9.9,1.0,51.8,1022.1,ESE,Albany,83.0,0.0,1026.4,,57.2,2.2,1.0,41.0,2.0
