Temp_9_am_C,Humidity_9_am,Location,Humidity_3_pm,Max_Temp_C,Date,Evaporation,Rainfall,Pressure_3_pm,Wind_Dir_3_pm,Wind_Speed_3_pm,Wind_Gust_Dir,Cloud_9_am,Wind_Gust_Speed,Cloud_3_pm,Pressure_9_am,Sunshine,Wind_Speed_9_am,Rain_Today,Rain_Tomorrow,Min_Temp_C,Wind_Dir_9_am,Temp_3_pm_C
19.5,58.0,PerthAirport,27.0,32.0,2009-02-18,8.0,0.0,1010.2,SSE,24.0,E,1.0,57.0,0.0,1013.8,12.5,26.0,No,No,17.4,ESE,29.6
19.6,50.0,PerthAirport,23.0,33.8,2009-02-19,11.6,0.0,1011.4,SSE,15.0,E,0.0,61.0,1.0,1014.0,12.4,26.0,No,No,16.7,E,32.3
21.0,52.0,PerthAirport,20.0,36.4,2009-02-20,11.0,0.0,1013.0,ENE,19.0,E,0.0,61.0,1.0,1015.0,12.3,35.0,No,No,18.4,ENE,35.1
28.0,25.0,PerthAirport,15.0,39.9,2009-02-21,14.2,0.0,1008.1,W,19.0,E,3.0,54.0,7.0,1012.1,11.0,26.0,No,No,21.0,ENE,37.8
21.8,56.0,PerthAirport,40.0,31.7,2009-02-22,11.8,0.0,1010.4,WSW,26.0,WSW,5.0,41.0,1.0,1012.5,10.9,26.0,No,No,20.0,SSW,30.4
19.4,54.0,PerthAirport,28.0,34.3,2009-02-23,7.4,0.0,1009.3,N,7.0,E,6.0,57.0,6.0,1013.5,11.8,31.0,No,No,17.2,ENE,32.5
22.4,73.0,PerthAirport,59.0,25.4,2009-02-24,7.2,0.0,1007.3,WSW,28.0,SW,7.0,39.0,7.0,1006.8,5.7,15.0,No,No,18.4,WSW,23.3
18.3,72.0,PerthAirport,90.0,23.5,2009-02-25,6.0,0.0,1006.8,W,24.0,WSW,7.0,43.0,8.0,1007.2,4.2,17.0,No,Yes,12.9,NNE,17.9
15.9,72.0,PerthAirport,43.0,23.9,2009-02-26,3.8,4.8,1016.1,SSW,22.0,SSW,6.0,37.0,7.0,1016.7,11.3,7.0,Yes,No,8.3,NNE,22.2
17.8,61.0,PerthAirport,33.0,30.2,2009-02-27,6.4,0.0,1012.3,WSW,26.0,ENE,1.0,41.0,1.0,1016.0,12.0,20.0,No,No,13.7,ENE,28.8
22.3,49.0,PerthAirport,22.0,36.1,2009-02-28,6.6,0.0,1006.0,E,20.0,,6.0,,3.0,1009.6,9.2,24.0,No,Yes,15.4,E,35.7
25.9,60.0,PerthAirport,48.0,32.9,2009-03-01,8.2,1.6,1002.5,W,19.0,NE,4.0,50.0,6.0,1006.2,9.7,11.0,Yes,No,22.4,NNE,31.3
18.4,65.0,PerthAirport,40.0,24.7,2009-03-02,7.4,0.0,1010.7,SW,37.0,SW,7.0,59.0,3.0,1009.2,9.5,35.0,No,No,18.4,SSW,23.2
14.8,51.0,PerthAirport,21.0,26.2,2009-03-03,10.4,0.0,1023.2,ESE,20.0,ESE,0.0,43.0,0.0,1025.8,11.2,15.0,No,No,6.1,SSE,24.4
17.3,46.0,PerthAirport,19.0,30.4,2009-03-04,6.6,0.0,1022.8,E,28.0,ESE,0.0,52.0,1.0,1027.4,11.7,28.0,No,No,13.6,ENE,28.8
20.1,47.0,PerthAirport,14.0,34.3,2009-03-05,10.0,0.0,1020.0,N,6.0,NE,0.0,39.0,0.0,1024.2,11.7,24.0,No,No,17.0,ENE,33.1
23.1,34.0,PerthAirport,22.0,34.5,2009-03-06,8.0,0.0,1016.6,W,24.0,E,1.0,72.0,0.0,1019.6,11.6,13.0,No,No,15.2,ENE,32.4
19.1,58.0,PerthAirport,26.0,31.6,2009-03-07,11.6,0.0,1017.2,ESE,19.0,E,1.0,78.0,0.0,1020.3,11.5,37.0,No,No,17.1,ENE,30.1
21.4,42.0,PerthAirport,15.0,35.0,2009-03-08,8.0,0.0,1013.8,SW,13.0,ENE,6.0,44.0,4.0,1016.8,11.7,22.0,No,No,17.2,ENE,33.8
24.3,31.0,PerthAirport,12.0,35.3,2009-03-09,10.0,0.0,1014.0,W,22.0,WSW,1.0,37.0,1.0,1016.1,11.6,19.0,No,No,15.0,ENE,33.9
25.2,31.0,PerthAirport,12.0,38.3,2009-03-10,9.0,0.0,1011.3,W,26.0,WSW,1.0,37.0,1.0,1013.7,11.8,15.0,No,No,14.9,ENE,36.4
20.3,45.0,PerthAirport,27.0,30.8,2009-03-11,8.8,0.0,1011.7,S,13.0,S,2.0,39.0,7.0,1012.7,4.9,11.0,No,No,12.7,W,30.1
20.4,66.0,PerthAirport,46.0,27.1,2009-03-12,5.4,0.0,1013.0,WSW,17.0,SSW,7.0,37.0,7.0,1014.5,5.3,11.0,No,No,18.6,SE,27.0
17.9,53.0,PerthAirport,27.0,28.3,2009-03-13,7.0,0.0,1017.9,SSW,15.0,SE,0.0,39.0,0.0,1019.9,11.0,19.0,No,No,14.2,S,27.2
16.6,47.0,PerthAirport,24.0,31.1,2009-03-14,8.2,0.0,1016.8,E,24.0,E,1.0,57.0,3.0,1021.5,10.9,26.0,No,No,13.9,ENE,29.6
22.0,33.0,PerthAirport,14.0,39.7,2009-03-15,12.2,0.0,1010.7,NE,13.0,E,7.0,61.0,6.0,1014.2,7.1,30.0,No,No,16.5,ENE,37.3
23.1,46.0,PerthAirport,39.0,32.2,2009-03-16,5.4,0.0,1011.3,W,19.0,WNW,0.0,33.0,1.0,1012.4,10.8,11.0,No,No,15.9,NNE,30.5
19.5,79.0,PerthAirport,63.0,25.6,2009-03-17,7.4,0.0,1013.1,W,24.0,W,7.0,48.0,8.0,1013.8,2.9,9.0,No,No,16.2,NNE,22.3
18.3,71.0,PerthAirport,40.0,24.2,2009-03-18,4.0,0.6,1016.2,W,19.0,SW,6.0,41.0,1.0,1017.3,9.8,13.0,No,No,12.6,SW,22.7
16.8,58.0,PerthAirport,37.0,25.9,2009-03-19,6.2,0.0,1012.2,W,26.0,W,1.0,35.0,3.0,1016.8,11.5,9.0,No,No,8.5,SW,24.9
20.4,57.0,PerthAirport,44.0,24.8,2009-03-20,8.4,0.0,1010.7,W,24.0,SW,7.0,43.0,6.0,1011.4,5.8,11.0,No,Yes,11.8,W,23.2
16.2,73.0,PerthAirport,35.0,24.0,2009-03-21,3.2,2.0,1015.7,WSW,17.0,WSW,4.0,33.0,2.0,1016.9,10.1,9.0,Yes,No,10.9,NE,23.2
14.3,71.0,PerthAirport,37.0,24.1,2009-03-22,6.2,0.0,1013.9,WSW,22.0,WSW,1.0,39.0,1.0,1016.4,10.4,0.0,No,No,6.4,,23.7
17.6,68.0,PerthAirport,64.0,24.2,2009-03-23,4.4,0.0,1013.5,WSW,20.0,WSW,2.0,35.0,7.0,1014.4,8.0,11.0,No,Yes,11.9,NNE,22.7
16.8,85.0,PerthAirport,41.0,25.0,2009-03-24,2.8,1.8,1016.0,WSW,15.0,W,5.0,31.0,2.0,1017.1,10.0,9.0,Yes,No,12.0,NNE,23.7
17.8,86.0,PerthAirport,44.0,26.0,2009-03-25,4.8,0.0,1018.3,W,26.0,W,3.0,37.0,7.0,1019.7,10.6,4.0,No,No,12.4,NE,24.9
19.1,59.0,PerthAirport,26.0,32.5,2009-03-26,7.2,0.0,1018.7,S,9.0,E,3.0,57.0,1.0,1021.5,10.7,24.0,No,No,14.6,E,32.0
22.2,59.0,PerthAirport,21.0,37.5,2009-03-27,6.8,0.0,1014.6,WSW,20.0,NNW,0.0,35.0,0.0,1018.0,10.7,0.0,No,No,14.2,,34.0
18.2,75.0,PerthAirport,36.0,29.4,2009-03-28,6.0,0.0,1016.6,SW,20.0,SW,1.0,44.0,1.0,1019.9,10.8,22.0,No,No,16.0,S,28.7
19.4,52.0,PerthAirport,35.0,26.0,2009-03-29,7.6,0.0,1017.6,E,28.0,ESE,5.0,52.0,5.0,1021.6,8.4,22.0,No,No,17.2,ESE,25.7
19.5,66.0,PerthAirport,47.0,26.1,2009-03-30,6.2,0.0,1012.1,WSW,26.0,SW,7.0,46.0,1.0,1016.1,8.9,19.0,No,No,17.4,ESE,25.4
19.8,67.0,PerthAirport,43.0,25.8,2009-03-31,5.0,0.0,1015.1,WSW,31.0,SW,7.0,48.0,1.0,1017.3,8.1,22.0,No,No,13.0,SSW,24.0
16.7,55.0,PerthAirport,26.0,24.4,2009-04-01,4.0,0.0,1019.8,SW,11.0,SSE,2.0,41.0,,1023.6,9.5,15.0,No,No,11.4,S,23.9
17.4,50.0,PerthAirport,25.0,26.2,2009-04-02,5.8,0.0,1022.4,SSW,20.0,E,5.0,41.0,1.0,1025.5,10.1,7.0,No,No,9.4,WSW,25.7
17.7,54.0,PerthAirport,25.0,28.1,2009-04-03,5.6,0.0,1024.7,ENE,24.0,E,1.0,57.0,0.0,1027.8,10.8,35.0,No,No,13.8,E,27.2
18.4,47.0,PerthAirport,20.0,29.2,2009-04-04,6.4,0.0,1024.5,ESE,19.0,E,4.0,52.0,2.0,1028.5,10.3,26.0,No,No,14.6,ENE,28.0
18.7,51.0,PerthAirport,22.0,27.9,2009-04-05,7.0,0.0,1023.7,E,24.0,E,1.0,52.0,0.0,1028.8,10.8,26.0,No,No,13.9,E,27.4
19.3,49.0,PerthAirport,18.0,29.2,2009-04-06,8.4,0.0,1020.0,E,24.0,ENE,1.0,48.0,1.0,1025.4,10.9,20.0,No,No,14.7,E,28.8
23.3,36.0,PerthAirport,17.0,31.6,2009-04-07,7.4,0.0,1018.1,NE,13.0,ENE,0.0,44.0,1.0,1022.4,10.4,31.0,No,No,17.2,NE,31.0
24.8,25.0,PerthAirport,12.0,33.6,2009-04-08,7.4,0.0,1016.1,WSW,20.0,NNE,7.0,35.0,5.0,1019.3,10.0,19.0,No,No,17.4,ENE,32.9
24.3,27.0,PerthAirport,,34.0,2009-04-09,7.2,0.0,,,,E,2.0,54.0,,1017.9,9.7,17.0,No,No,14.6,E,
20.8,52.0,PerthAirport,15.0,35.5,2009-04-10,7.8,0.0,1011.3,NNE,17.0,E,1.0,57.0,2.0,1016.1,10.5,31.0,No,No,17.2,ENE,34.6
21.3,61.0,PerthAirport,54.0,31.1,2009-04-11,5.6,0.0,1011.8,WSW,17.0,SW,5.0,30.0,7.0,1014.3,10.0,9.0,No,No,14.1,NNE,27.6
25.4,23.0,PerthAirport,4.0,34.2,2009-04-12,6.8,0.0,1012.4,ENE,37.0,ENE,1.0,67.0,1.0,1016.2,10.6,24.0,No,No,15.6,NE,33.8
22.1,47.0,PerthAirport,59.0,24.6,2009-04-13,12.2,0.0,1012.4,SE,9.0,E,7.0,70.0,8.0,1013.4,0.1,35.0,No,Yes,20.8,ENE,21.6
20.4,63.0,PerthAirport,38.0,28.2,2009-04-14,3.8,6.2,1013.9,ESE,19.0,SE,3.0,50.0,3.0,1015.9,8.0,6.0,Yes,No,15.3,NE,27.2
17.8,54.0,PerthAirport,37.0,26.9,2009-04-15,4.8,0.0,1014.8,S,15.0,E,1.0,41.0,0.0,1018.9,10.5,20.0,No,No,14.3,E,25.9
17.9,53.0,PerthAirport,34.0,28.6,2009-04-16,6.0,0.0,1012.2,SSE,9.0,E,0.0,35.0,1.0,1016.5,10.6,17.0,No,No,13.8,E,27.4
21.2,46.0,PerthAirport,38.0,29.9,2009-04-17,4.6,0.0,1011.5,WSW,22.0,E,1.0,37.0,3.0,1013.8,8.3,19.0,No,No,13.6,ENE,28.9
22.3,44.0,PerthAirport,64.0,25.6,2009-04-18,5.2,0.0,1013.1,N,13.0,E,7.0,52.0,7.0,1015.1,1.8,9.0,No,No,16.2,ENE,22.8
22.5,58.0,PerthAirport,45.0,30.0,2009-04-19,2.4,0.6,1012.0,WSW,24.0,NE,0.0,31.0,1.0,1015.4,10.5,19.0,No,No,17.0,ENE,27.1
19.4,73.0,PerthAirport,48.0,27.9,2009-04-20,4.6,0.0,1010.8,W,22.0,W,0.0,30.0,1.0,1014.2,10.7,2.0,No,No,13.3,NNE,26.7
23.8,43.0,PerthAirport,32.0,30.6,2009-04-21,4.0,0.0,1005.8,W,17.0,SSW,1.0,33.0,1.0,1009.7,10.5,7.0,No,No,13.9,ENE,29.5
19.4,64.0,PerthAirport,39.0,22.1,2009-04-22,5.0,0.0,1014.2,SW,35.0,SSW,2.0,56.0,3.0,1012.3,8.4,15.0,No,No,12.1,S,20.1
14.7,54.0,PerthAirport,37.0,21.5,2009-04-23,4.2,0.0,1022.4,SW,19.0,S,7.0,39.0,1.0,1025.0,7.3,7.0,No,No,3.7,SSE,21.2
16.5,71.0,PerthAirport,56.0,23.2,2009-04-24,4.4,0.0,1022.2,SW,26.0,SW,5.0,35.0,5.0,1024.9,6.2,4.0,No,No,9.2,N,21.7
19.2,61.0,PerthAirport,49.0,23.1,2009-04-25,2.8,0.0,1021.9,SSW,17.0,S,2.0,31.0,5.0,1024.4,7.2,6.0,No,No,11.8,ENE,21.8
18.1,68.0,PerthAirport,46.0,26.3,2009-04-26,3.2,0.0,1019.9,WSW,22.0,W,1.0,31.0,6.0,1023.7,9.4,6.0,No,No,7.5,S,24.5
19.3,49.0,PerthAirport,31.0,28.9,2009-04-27,3.2,0.0,1018.2,WSW,22.0,W,0.0,30.0,3.0,1020.3,9.3,17.0,No,No,11.9,ENE,26.4
19.4,58.0,PerthAirport,31.0,28.5,2009-04-28,5.0,0.0,1020.7,E,20.0,E,0.0,39.0,0.0,1024.5,10.1,20.0,No,No,11.4,E,27.7
20.0,42.0,PerthAirport,39.0,26.5,2009-04-29,6.2,0.0,1019.2,SSW,13.0,ENE,7.0,39.0,6.0,1020.7,3.8,9.0,No,No,16.4,NE,25.6
16.5,69.0,PerthAirport,35.0,24.5,2009-04-30,4.2,0.0,1022.2,WSW,17.0,ESE,1.0,39.0,0.0,1025.4,9.3,17.0,No,No,9.3,S,24.1
15.6,53.0,PerthAirport,29.0,25.2,2009-05-01,4.6,0.0,1025.0,ESE,17.0,E,0.0,54.0,0.0,1028.4,9.8,31.0,No,No,10.8,ENE,24.6
17.5,40.0,PerthAirport,23.0,28.5,2009-05-02,6.2,0.0,1023.6,SW,7.0,ENE,0.0,39.0,1.0,1027.5,9.9,20.0,No,No,13.1,ENE,27.9
18.4,40.0,PerthAirport,20.0,27.4,2009-05-03,4.2,0.0,1023.5,E,9.0,E,6.0,33.0,7.0,1026.6,7.0,15.0,No,No,10.0,ENE,26.7
19.3,32.0,PerthAirport,17.0,28.0,2009-05-04,4.4,0.0,1023.6,NE,11.0,ENE,1.0,33.0,0.0,1026.4,9.9,15.0,No,No,11.4,ENE,27.0
18.3,34.0,PerthAirport,18.0,27.9,2009-05-05,4.0,0.0,1026.0,ENE,20.0,ENE,0.0,39.0,0.0,1028.8,10.0,26.0,No,No,9.9,ENE,27.4
17.4,37.0,PerthAirport,20.0,27.3,2009-05-06,6.8,0.0,1026.5,SE,11.0,NE,1.0,37.0,2.0,1030.3,10.0,26.0,No,No,11.9,ENE,27.2
18.7,40.0,PerthAirport,24.0,26.0,2009-05-07,3.4,0.0,1025.8,E,11.0,ENE,0.0,31.0,0.0,1029.2,9.9,17.0,No,No,12.7,ENE,25.6
17.4,40.0,PerthAirport,24.0,25.5,2009-05-08,4.2,0.0,1024.7,E,11.0,ENE,1.0,37.0,1.0,1029.0,9.8,20.0,No,No,10.0,ENE,24.8
17.6,40.0,PerthAirport,21.0,25.8,2009-05-09,4.8,0.0,1020.9,N,13.0,ENE,0.0,33.0,2.0,1025.3,9.7,17.0,No,No,12.3,ENE,25.2
18.4,36.0,PerthAirport,32.0,23.6,2009-05-10,3.6,0.0,1018.7,WSW,9.0,ENE,7.0,22.0,7.0,1020.5,1.2,9.0,No,No,9.3,NNE,22.5
19.0,52.0,PerthAirport,36.0,26.4,2009-05-11,2.2,0.0,1019.5,W,22.0,ESE,1.0,56.0,1.0,1021.6,9.5,4.0,No,No,11.9,NW,25.1
16.5,61.0,PerthAirport,29.0,24.6,2009-05-12,5.4,0.0,1023.6,ESE,20.0,E,1.0,67.0,1.0,1026.2,9.5,17.0,No,No,14.2,E,24.1
17.0,63.0,PerthAirport,31.0,24.9,2009-05-13,4.8,0.0,1023.4,ESE,9.0,E,1.0,54.0,2.0,1027.2,9.4,20.0,No,No,12.2,E,23.1
15.3,52.0,PerthAirport,27.0,24.6,2009-05-14,4.4,0.0,1021.7,WNW,11.0,E,0.0,33.0,1.0,1025.7,9.5,20.0,No,No,9.4,ENE,23.7
16.1,42.0,PerthAirport,21.0,25.6,2009-05-15,3.0,0.0,1020.0,ENE,11.0,WSW,1.0,30.0,0.0,1023.6,9.6,15.0,No,No,8.4,NE,24.6
16.0,38.0,PerthAirport,21.0,25.5,2009-05-16,3.4,0.0,1018.4,ENE,9.0,NE,1.0,31.0,1.0,1022.2,9.5,15.0,No,No,7.0,NE,25.0
17.0,37.0,PerthAirport,20.0,26.5,2009-05-17,4.4,0.0,1014.2,W,15.0,ENE,2.0,31.0,1.0,1018.3,9.2,20.0,No,No,8.3,ENE,25.5
14.6,48.0,PerthAirport,49.0,23.2,2009-05-18,4.2,0.0,1013.5,W,15.0,NW,2.0,30.0,1.0,1015.1,8.9,9.0,No,No,6.0,N,22.2
16.4,69.0,PerthAirport,55.0,24.4,2009-05-19,2.6,0.0,1014.8,WSW,17.0,WSW,1.0,31.0,1.0,1016.8,8.8,11.0,No,No,9.2,WNW,22.7
16.6,85.0,PerthAirport,32.0,27.2,2009-05-20,2.4,0.0,1007.4,NNW,26.0,NNW,3.0,41.0,1.0,1013.3,8.1,13.0,No,Yes,12.6,NNE,26.4
20.6,81.0,PerthAirport,91.0,23.2,2009-05-21,3.2,10.8,999.6,W,35.0,NW,6.0,107.0,8.0,999.8,2.5,41.0,Yes,Yes,14.8,N,15.2
15.1,53.0,PerthAirport,55.0,17.2,2009-05-22,3.4,17.2,1005.9,W,39.0,W,3.0,91.0,4.0,1003.3,6.2,33.0,Yes,Yes,9.8,WNW,15.1
13.6,93.0,PerthAirport,58.0,16.6,2009-05-23,4.0,21.2,1009.9,SSW,30.0,SSW,7.0,56.0,2.0,1009.4,4.0,11.0,Yes,No,11.0,SW,15.2
10.7,76.0,PerthAirport,45.0,19.2,2009-05-24,2.0,0.0,1017.2,WSW,7.0,WSW,1.0,22.0,3.0,1018.9,9.3,7.0,No,No,3.1,NNE,18.6
11.2,65.0,PerthAirport,37.0,19.0,2009-05-25,1.8,0.0,1017.8,ENE,20.0,ENE,2.0,37.0,6.0,1021.2,7.3,2.0,No,No,6.2,ESE,18.8
