Temp9amC,RainTomorrow,WindSpeed3pm,Pressure9am,Location,WindGustSpeed,WindGustDir,WindSpeed9am,Cloud3pm,Humidity9am,Rainfall,MinTempC,Cloud9am,WindDir3pm,MaxTempC,WindDir9am,Date,Humidity3pm,Pressure3pm,RainToday,Temp3pmC
22.0,No,17.0,1011.2,Wollongong,28.0,N,13.0,,82.0,0.0,17.5,,NE,24.6,NNE,2009-01-06,75.0,1008.2,No,24.1
22.3,No,7.0,1009.3,Wollongong,52.0,SE,13.0,3.0,77.0,0.0,19.5,,SE,32.8,E,2009-01-07,85.0,1005.5,No,22.0
19.1,No,35.0,1013.0,Wollongong,52.0,SSW,26.0,8.0,86.0,0.4,18.9,8.0,SSE,20.1,SSE,2009-01-08,82.0,1014.5,No,18.4
17.4,No,17.0,1020.9,Wollongong,46.0,SE,26.0,1.0,69.0,0.6,16.0,8.0,SE,21.3,SSE,2009-01-09,53.0,1019.7,No,20.6
19.8,No,22.0,1017.1,Wollongong,43.0,NNE,7.0,,50.0,0.6,16.3,7.0,ENE,23.4,NNE,2009-01-10,54.0,1014.6,No,22.4
21.6,No,35.0,1013.8,Wollongong,46.0,NNE,19.0,,67.0,0.0,16.3,8.0,NE,24.2,NNE,2009-01-11,67.0,1011.4,No,23.3
20.7,No,26.0,1016.2,Wollongong,39.0,SSE,20.0,,82.0,1.0,18.8,,SSE,23.4,SE,2009-01-12,77.0,1017.0,No,22.5
22.2,No,44.0,1019.2,Wollongong,57.0,NE,11.0,,77.0,0.2,19.1,,NE,24.7,E,2009-01-13,73.0,1015.5,No,23.7
22.9,No,24.0,1013.8,Wollongong,39.0,NE,22.0,,79.0,0.0,19.9,,N,30.8,NE,2009-01-14,74.0,1010.4,No,24.5
25.8,No,35.0,1008.1,Wollongong,76.0,SE,19.0,,62.0,0.0,21.1,,SE,27.2,ENE,2009-01-15,66.0,1006.5,No,25.2
20.4,Yes,13.0,1012.8,Wollongong,52.0,SE,13.0,,65.0,0.0,15.8,,ENE,24.3,SE,2009-01-16,62.0,1010.1,No,24.2
17.4,No,30.0,1020.9,Wollongong,50.0,SSE,31.0,,58.0,2.0,15.1,8.0,SSE,20.3,SSE,2009-01-17,54.0,1020.8,Yes,19.3
20.1,No,22.0,1022.0,Wollongong,33.0,NNE,9.0,,54.0,0.0,14.0,,NE,23.9,SE,2009-01-18,53.0,1020.3,No,23.3
22.0,No,43.0,1018.4,Wollongong,57.0,NE,19.0,,60.0,0.0,17.9,,NE,24.4,NNE,2009-01-19,67.0,1014.2,No,22.6
22.4,No,20.0,1013.1,Wollongong,61.0,SE,19.0,,74.0,0.0,18.7,,N,26.6,NE,2009-01-20,70.0,1010.3,No,23.3
24.2,Yes,22.0,1011.3,Wollongong,59.0,WNW,9.0,,66.0,0.0,20.7,,N,27.7,ESE,2009-01-21,66.0,1007.8,No,25.4
26.1,No,26.0,1007.7,Wollongong,63.0,N,20.0,7.0,61.0,5.2,20.6,4.0,N,32.6,ENE,2009-01-22,41.0,1003.4,Yes,31.8
22.5,Yes,11.0,1009.2,Wollongong,37.0,NE,15.0,,81.0,0.0,21.4,,SE,28.2,SE,2009-01-23,75.0,1008.0,No,23.1
26.7,No,31.0,1004.1,Wollongong,85.0,SE,19.0,,67.0,1.2,21.5,,WSW,40.1,NE,2009-01-24,13.0,1003.6,Yes,39.2
21.2,No,17.0,1019.8,Wollongong,39.0,SE,17.0,,62.0,0.0,19.1,1.0,ESE,24.5,SE,2009-01-25,56.0,1018.8,No,23.7
21.5,Yes,9.0,1019.7,Wollongong,39.0,SE,9.0,7.0,74.0,0.0,19.4,5.0,SE,24.8,SE,2009-01-26,74.0,1019.8,No,24.1
20.7,No,7.0,1021.6,Wollongong,37.0,SE,11.0,8.0,93.0,5.6,19.3,8.0,ESE,22.8,SW,2009-01-27,89.0,1020.0,Yes,21.4
22.3,No,35.0,1017.8,Wollongong,50.0,NE,19.0,,83.0,0.0,19.9,,NE,24.9,NNE,2009-01-28,76.0,1015.6,No,24.5
22.8,No,41.0,1018.1,Wollongong,54.0,NE,9.0,,81.0,0.0,19.3,,NE,26.0,NNE,2009-01-29,78.0,1015.9,No,24.6
23.1,No,26.0,1018.5,Wollongong,52.0,NE,13.0,,81.0,0.0,19.8,,NE,26.2,NE,2009-01-30,74.0,1015.5,No,24.9
22.6,No,19.0,1017.2,Wollongong,44.0,NE,13.0,,84.0,0.0,19.8,,N,25.8,NE,2009-01-31,73.0,1014.4,No,24.7
21.2,No,17.0,1017.0,Wollongong,31.0,SE,19.0,1.0,89.0,0.0,19.3,3.0,SE,24.6,SE,2009-02-01,80.0,1017.0,No,23.8
22.8,No,39.0,1016.3,Wollongong,52.0,NE,17.0,,87.0,0.0,20.7,1.0,NE,26.4,NNE,2009-02-02,73.0,1011.3,No,25.1
22.6,No,35.0,1010.9,Wollongong,48.0,SE,11.0,,81.0,0.0,19.9,,SE,24.6,ENE,2009-02-03,80.0,1011.0,No,22.8
22.6,No,11.0,1011.9,Wollongong,24.0,SSE,7.0,,85.0,0.0,21.0,7.0,NNE,26.3,SE,2009-02-04,73.0,1009.4,No,25.5
22.9,No,24.0,1008.9,Wollongong,43.0,NNE,11.0,,84.0,0.0,20.3,,N,26.8,NNE,2009-02-05,73.0,1005.8,No,25.5
23.2,No,17.0,1011.1,Wollongong,31.0,SE,9.0,,84.0,0.0,20.7,7.0,NE,27.7,NNE,2009-02-06,73.0,1008.3,No,26.2
23.8,No,19.0,1013.1,Wollongong,56.0,NE,11.0,,81.0,0.0,21.1,,N,26.5,ENE,2009-02-07,66.0,1009.4,No,25.9
22.1,No,17.0,1010.5,Wollongong,56.0,S,26.0,,80.0,0.0,20.0,,N,25.0,NE,2009-02-08,71.0,1007.7,No,23.7
19.7,Yes,22.0,1013.0,Wollongong,48.0,S,26.0,7.0,85.0,0.0,19.2,8.0,S,20.6,S,2009-02-09,84.0,1012.0,No,19.1
18.3,Yes,26.0,1012.6,Wollongong,54.0,S,11.0,7.0,85.0,3.2,16.6,8.0,S,18.8,S,2009-02-10,88.0,1010.6,Yes,17.8
18.1,Yes,31.0,1012.0,Wollongong,81.0,SE,26.0,,74.0,1.4,16.8,8.0,SSW,21.4,SSW,2009-02-11,73.0,1012.4,Yes,20.3
16.2,Yes,22.0,1018.7,Wollongong,52.0,SE,26.0,7.0,87.0,12.6,14.5,7.0,SE,21.0,S,2009-02-12,69.0,1019.8,Yes,19.0
19.7,No,37.0,1026.8,Wollongong,56.0,ESE,37.0,8.0,62.0,1.4,15.5,7.0,SE,21.3,SE,2009-02-13,60.0,1026.1,Yes,20.2
20.1,Yes,35.0,1024.2,Wollongong,52.0,SE,33.0,8.0,71.0,0.4,16.7,8.0,SE,20.3,SE,2009-02-14,81.0,1020.7,No,19.0
17.7,Yes,37.0,1016.4,Wollongong,61.0,SE,20.0,5.0,94.0,31.6,16.4,8.0,SSE,21.4,SW,2009-02-15,84.0,1016.0,Yes,20.5
21.0,Yes,41.0,1019.2,Wollongong,61.0,SE,41.0,3.0,70.0,23.2,17.7,5.0,SSE,22.1,SE,2009-02-16,67.0,1019.0,Yes,21.6
18.3,Yes,24.0,1018.4,Wollongong,52.0,SE,9.0,8.0,90.0,7.2,18.0,8.0,SE,22.0,W,2009-02-17,72.0,1016.7,Yes,21.4
20.4,No,20.0,1010.8,Wollongong,63.0,SSW,35.0,5.0,93.0,16.8,18.3,8.0,S,24.8,SSW,2009-02-18,68.0,1008.6,Yes,23.6
22.8,Yes,6.0,1007.7,Wollongong,33.0,S,9.0,1.0,76.0,0.0,18.3,,ENE,25.6,SE,2009-02-19,77.0,1005.8,No,22.8
21.8,Yes,13.0,1011.0,Wollongong,30.0,ENE,7.0,,78.0,5.8,18.5,,E,24.9,NNE,2009-02-20,73.0,1011.3,Yes,24.5
20.3,Yes,26.0,1014.1,Wollongong,37.0,S,9.0,8.0,92.0,2.8,19.9,8.0,SSE,22.5,WSW,2009-02-21,81.0,1014.7,Yes,21.3
20.9,No,11.0,1019.0,Wollongong,30.0,NNE,9.0,,82.0,7.6,17.6,8.0,ESE,24.4,S,2009-02-22,72.0,1018.0,Yes,23.8
22.7,No,37.0,1016.6,Wollongong,57.0,SSW,20.0,,72.0,0.0,20.4,8.0,NE,25.8,NNE,2009-02-23,77.0,1012.3,No,24.8
24.9,No,22.0,1013.6,Wollongong,39.0,SSE,19.0,8.0,62.0,0.4,20.4,,SE,25.2,SE,2009-02-24,76.0,1014.5,No,23.0
20.7,No,19.0,1016.7,Wollongong,37.0,SE,9.0,8.0,82.0,0.0,19.2,8.0,SE,23.8,SSE,2009-02-25,74.0,1015.4,No,23.3
20.7,No,39.0,1020.8,Wollongong,48.0,SSE,19.0,1.0,64.0,0.0,18.3,7.0,SSE,22.7,SSW,2009-02-26,58.0,1019.3,No,21.8
19.6,No,13.0,1018.5,Wollongong,30.0,S,11.0,,70.0,0.0,17.5,6.0,ESE,23.3,SW,2009-02-27,57.0,1015.9,No,22.6
21.2,No,26.0,1009.2,Wollongong,35.0,NNE,7.0,,66.0,0.0,17.4,,NE,25.1,NNE,2009-02-28,69.0,1006.9,No,24.3
22.6,No,13.0,1011.2,Wollongong,31.0,SE,11.0,,68.0,0.0,21.0,7.0,E,25.3,E,2009-03-01,63.0,1011.1,No,25.1
21.2,No,19.0,1016.7,Wollongong,30.0,NE,7.0,8.0,83.0,0.0,20.2,7.0,ENE,25.3,S,2009-03-02,70.0,1015.7,No,23.6
23.1,No,33.0,1018.1,Wollongong,43.0,NE,20.0,1.0,73.0,0.0,20.9,,NE,26.0,N,2009-03-03,70.0,1015.0,No,23.9
23.8,No,0.0,1008.3,Wollongong,56.0,WSW,15.0,,73.0,0.0,22.8,,,25.4,WNW,2009-03-04,52.0,1008.2,No,21.6
18.7,No,26.0,1009.2,Wollongong,50.0,W,22.0,,39.0,0.0,16.4,,SE,23.6,W,2009-03-05,54.0,1009.0,No,20.5
18.2,Yes,15.0,1013.4,Wollongong,30.0,NE,13.0,,66.0,0.0,13.3,4.0,ENE,21.8,SSE,2009-03-06,55.0,1011.7,No,21.3
20.1,No,13.0,1014.5,Wollongong,22.0,SSW,13.0,,75.0,1.4,17.0,,ESE,23.8,SSW,2009-03-07,70.0,1012.5,Yes,23.4
20.5,No,30.0,1019.2,Wollongong,41.0,S,30.0,8.0,82.0,0.0,19.5,8.0,SE,21.4,SSE,2009-03-08,75.0,1019.9,No,20.2
18.5,No,9.0,1022.5,Wollongong,31.0,SSE,7.0,2.0,86.0,0.4,17.1,7.0,E,23.8,WSW,2009-03-09,70.0,1020.7,No,22.5
21.7,No,22.0,1022.2,Wollongong,31.0,NE,13.0,,76.0,0.4,18.5,8.0,NE,25.0,NNE,2009-03-10,61.0,1021.5,No,24.1
21.3,Yes,24.0,1024.4,Wollongong,33.0,ENE,15.0,8.0,71.0,0.0,20.1,6.0,E,24.4,ESE,2009-03-11,69.0,1023.3,No,22.2
21.9,No,33.0,1022.6,Wollongong,43.0,NE,13.0,2.0,77.0,1.6,18.8,4.0,NE,24.4,N,2009-03-12,65.0,1020.0,Yes,23.8
21.7,No,7.0,1018.5,Wollongong,35.0,NNW,7.0,7.0,82.0,0.0,20.5,8.0,ENE,23.7,N,2009-03-13,79.0,1016.5,No,22.9
22.2,Yes,35.0,1014.2,Wollongong,44.0,NNE,15.0,,80.0,0.8,19.5,,NE,24.7,N,2009-03-14,80.0,1009.1,No,24.0
22.4,No,7.0,1010.3,Wollongong,39.0,W,17.0,3.0,59.0,2.0,19.8,,SSE,24.5,SE,2009-03-15,69.0,1008.6,Yes,23.8
18.8,No,13.0,1011.3,Wollongong,43.0,W,13.0,,37.0,0.0,16.1,,ENE,25.4,WSW,2009-03-16,43.0,1008.2,No,23.6
19.8,No,26.0,1013.0,Wollongong,31.0,SSE,11.0,,41.0,0.0,15.9,,SE,22.1,W,2009-03-17,62.0,1012.9,No,21.5
19.9,No,30.0,1018.9,Wollongong,46.0,NE,6.0,,64.0,0.0,15.8,,NE,23.7,SE,2009-03-18,66.0,1015.5,No,23.4
21.4,No,11.0,1015.7,Wollongong,33.0,N,9.0,,75.0,0.0,17.8,,NNW,24.6,NE,2009-03-19,78.0,1013.5,No,23.0
21.5,No,11.0,1017.8,Wollongong,19.0,N,0.0,,86.0,0.0,18.7,7.0,N,24.6,,2009-03-20,79.0,1016.9,No,23.8
20.1,No,13.0,1019.1,Wollongong,20.0,NNW,4.0,,90.0,0.0,17.8,8.0,NNE,24.9,WSW,2009-03-21,71.0,1017.4,No,24.2
21.9,Yes,26.0,1017.3,Wollongong,46.0,NE,19.0,,71.0,0.0,19.7,,NE,26.4,N,2009-03-22,74.0,1014.3,No,23.2
21.4,No,33.0,1016.9,Wollongong,57.0,NNE,9.0,,75.0,1.6,18.4,,NNE,24.1,N,2009-03-23,77.0,1014.8,Yes,22.7
21.6,No,35.0,1017.6,Wollongong,52.0,NE,9.0,,82.0,1.0,18.7,,NNE,23.5,NE,2009-03-24,77.0,1015.6,No,22.6
20.0,Yes,15.0,1019.2,Wollongong,33.0,NW,17.0,,86.0,0.0,19.3,,N,24.0,N,2009-03-25,81.0,1017.7,No,21.0
20.9,Yes,11.0,1018.8,Wollongong,50.0,SSW,13.0,1.0,81.0,3.2,19.7,,NNW,23.3,E,2009-03-26,78.0,1016.2,Yes,22.1
18.7,No,20.0,1024.9,Wollongong,46.0,S,24.0,8.0,83.0,3.8,17.7,8.0,S,20.2,SSE,2009-03-27,75.0,1024.4,Yes,19.1
18.2,No,19.0,1025.6,Wollongong,35.0,NNE,0.0,,83.0,0.6,16.3,8.0,NNE,22.9,,2009-03-28,66.0,1022.6,No,22.1
20.8,No,19.0,1023.0,Wollongong,33.0,N,11.0,,72.0,0.0,17.6,,NNE,24.0,NE,2009-03-29,72.0,1021.2,No,22.9
20.1,Yes,15.0,1024.7,Wollongong,57.0,SE,13.0,,84.0,0.0,17.4,1.0,S,23.2,S,2009-03-30,76.0,1023.2,No,22.6
19.7,Yes,33.0,1023.5,Wollongong,61.0,SE,46.0,8.0,88.0,5.0,18.7,8.0,SSE,21.1,E,2009-03-31,85.0,1022.1,Yes,20.9
21.1,Yes,19.0,1023.0,Wollongong,56.0,ESE,35.0,8.0,84.0,16.4,17.9,8.0,SE,22.3,ESE,2009-04-01,84.0,1022.7,Yes,21.7
19.7,Yes,0.0,1024.1,Wollongong,41.0,ENE,26.0,8.0,95.0,15.2,19.4,8.0,,22.3,NNE,2009-04-02,92.0,1022.5,Yes,20.1
20.7,Yes,28.0,1020.9,Wollongong,48.0,NE,9.0,2.0,93.0,10.4,19.0,1.0,NE,22.9,ENE,2009-04-03,86.0,1016.1,Yes,22.2
17.6,No,30.0,1018.8,Wollongong,67.0,S,26.0,8.0,82.0,2.6,17.0,8.0,SSE,19.5,SSW,2009-04-04,67.0,1019.7,Yes,18.7
19.2,No,35.0,1019.7,Wollongong,48.0,NNE,6.0,1.0,68.0,0.0,16.9,,NE,22.2,SSE,2009-04-05,74.0,1013.7,No,21.0
17.4,No,26.0,1021.4,Wollongong,59.0,S,39.0,7.0,73.0,0.0,16.3,8.0,SSE,18.9,S,2009-04-06,66.0,1020.2,No,17.6
17.7,No,28.0,1025.9,Wollongong,39.0,SSE,26.0,2.0,63.0,0.0,15.4,,SSE,19.2,S,2009-04-07,61.0,1024.9,No,18.4
18.3,No,13.0,1027.1,Wollongong,31.0,SE,20.0,,65.0,0.0,14.3,,SE,20.3,S,2009-04-08,66.0,1025.1,No,19.9
19.3,No,15.0,1025.3,Wollongong,35.0,NW,6.0,,71.0,0.0,15.1,2.0,NNE,22.0,SE,2009-04-09,68.0,1022.3,No,20.8
20.4,No,11.0,1022.9,Wollongong,37.0,N,6.0,,64.0,0.0,17.5,,N,23.1,N,2009-04-10,78.0,1021.1,No,20.8
19.7,Yes,7.0,1025.0,Wollongong,19.0,N,7.0,8.0,81.0,0.0,16.9,7.0,NNE,21.8,S,2009-04-11,78.0,1022.9,No,21.2
20.5,Yes,7.0,1022.7,Wollongong,48.0,WSW,0.0,8.0,82.0,1.8,18.4,8.0,N,23.1,,2009-04-12,72.0,1020.3,Yes,21.8
19.1,Yes,19.0,1023.2,Wollongong,30.0,SSW,13.0,8.0,92.0,4.2,18.6,8.0,SSW,20.3,WSW,2009-04-13,86.0,1019.8,Yes,20.3
20.0,No,9.0,1014.8,Wollongong,35.0,NW,6.0,7.0,84.0,49.0,16.6,,ENE,22.9,ESE,2009-04-14,77.0,1011.4,Yes,21.7
21.7,No,26.0,1009.8,Wollongong,59.0,WNW,33.0,,51.0,0.0,17.5,,WNW,29.0,WNW,2009-04-15,21.0,1005.8,No,28.6
18.9,No,35.0,1014.6,Wollongong,43.0,NE,7.0,,32.0,0.0,13.7,,NE,22.7,W,2009-04-16,55.0,1010.9,No,22.2
19.5,No,30.0,1016.4,Wollongong,41.0,S,15.0,,38.0,0.0,13.4,,SSE,21.0,SW,2009-04-17,61.0,1016.5,No,20.6
19.2,No,39.0,1020.7,Wollongong,56.0,S,20.0,,65.0,0.0,16.4,,SSE,21.2,SW,2009-04-18,63.0,1018.9,No,20.0
17.5,Yes,35.0,1020.7,Wollongong,70.0,SSE,35.0,8.0,75.0,0.0,16.6,8.0,S,18.7,SSW,2009-04-19,89.0,1019.6,No,18.0
15.7,Yes,28.0,1022.4,Wollongong,61.0,SSE,19.0,8.0,91.0,27.6,14.5,8.0,S,18.6,SW,2009-04-20,86.0,1020.7,Yes,17.2
16.6,Yes,30.0,1024.1,Wollongong,48.0,S,19.0,7.0,90.0,11.4,14.9,8.0,SSE,19.5,SW,2009-04-21,78.0,1022.5,Yes,19.0
16.2,Yes,26.0,1025.1,Wollongong,50.0,SE,17.0,8.0,86.0,19.6,15.7,8.0,SSE,20.3,SW,2009-04-22,77.0,1023.3,Yes,18.5
18.3,No,6.0,1021.9,Wollongong,28.0,SE,15.0,,69.0,3.2,14.2,,E,20.6,SW,2009-04-23,63.0,1018.4,Yes,19.7
18.5,No,22.0,1011.9,Wollongong,52.0,N,11.0,1.0,68.0,0.0,14.4,,NE,22.0,NNE,2009-04-24,77.0,1006.2,No,20.9
18.3,No,24.0,1003.3,Wollongong,59.0,NW,11.0,3.0,56.0,0.8,14.4,,WNW,23.0,NW,2009-04-25,39.0,1001.7,No,22.5
17.0,No,30.0,1002.3,Wollongong,78.0,NW,22.0,2.0,42.0,0.0,14.6,,WNW,19.3,NW,2009-04-26,35.0,1002.4,No,18.3
13.9,No,19.0,1012.1,Wollongong,76.0,WNW,20.0,,44.0,0.0,12.0,,W,18.2,WSW,2009-04-27,31.0,1012.3,No,17.3
16.0,No,22.0,1014.9,Wollongong,48.0,W,7.0,3.0,59.0,0.0,9.5,,W,20.5,SE,2009-04-28,33.0,1015.5,No,19.4
13.9,No,26.0,1022.7,Wollongong,39.0,SSE,22.0,8.0,55.0,0.0,11.2,3.0,S,15.6,SSW,2009-04-29,63.0,1020.5,No,14.9
14.2,No,28.0,1021.0,Wollongong,54.0,S,22.0,8.0,72.0,0.0,12.0,8.0,S,17.1,SSW,2009-04-30,72.0,1020.9,No,15.9
16.6,No,22.0,1024.1,Wollongong,31.0,NE,11.0,,62.0,0.0,10.8,,NE,20.9,NW,2009-05-01,54.0,1020.9,No,20.6
17.6,No,31.0,1025.2,Wollongong,44.0,S,19.0,,61.0,0.0,11.4,,SSE,19.4,SW,2009-05-02,65.0,1023.9,No,18.5
17.4,No,19.0,1027.8,Wollongong,31.0,S,20.0,,64.0,0.0,14.2,,SSE,19.3,SSW,2009-05-03,64.0,1026.1,No,19.1
18.6,No,13.0,1028.2,Wollongong,28.0,SW,13.0,,67.0,0.0,13.5,,SE,22.3,WNW,2009-05-04,62.0,1026.0,No,20.5
17.5,Yes,24.0,1031.3,Wollongong,48.0,WNW,26.0,,67.0,0.0,15.1,,SSE,19.3,SSW,2009-05-05,60.0,1029.0,No,18.7
17.4,No,24.0,1027.7,Wollongong,28.0,ENE,15.0,,74.0,1.2,13.5,,NE,21.7,NW,2009-05-06,64.0,1023.5,Yes,20.2
17.4,No,20.0,1024.2,Wollongong,30.0,SE,7.0,,57.0,0.0,11.8,,SE,20.0,W,2009-05-07,59.0,1022.2,No,19.2
16.2,No,31.0,1028.0,Wollongong,43.0,SSE,24.0,1.0,61.0,0.0,13.8,,SSE,18.9,SW,2009-05-08,62.0,1025.6,No,18.0
18.0,No,17.0,1023.7,Wollongong,39.0,SSE,11.0,,57.0,0.0,12.1,,SE,20.4,NW,2009-05-09,59.0,1020.9,No,19.5
13.7,Yes,26.0,1025.2,Wollongong,46.0,SSW,15.0,4.0,87.0,0.2,13.3,1.0,SSE,18.1,SW,2009-05-10,65.0,1024.2,No,17.8
15.2,No,13.0,1025.3,Wollongong,22.0,WNW,15.0,,62.0,2.2,13.6,,ENE,18.9,SW,2009-05-11,53.0,1022.5,Yes,18.4
16.4,No,15.0,1021.2,Wollongong,30.0,SSE,2.0,8.0,68.0,0.0,11.2,2.0,SE,18.6,W,2009-05-12,64.0,1018.1,No,17.7
15.8,No,19.0,1016.1,Wollongong,35.0,WSW,13.0,,56.0,0.0,11.3,,WSW,21.3,WNW,2009-05-13,32.0,1012.5,No,20.6
17.5,No,20.0,1011.4,Wollongong,52.0,W,9.0,,49.0,0.0,10.8,,W,20.5,NNE,2009-05-14,34.0,1010.7,No,19.6
17.9,No,26.0,1011.3,Wollongong,89.0,WNW,15.0,,42.0,0.0,13.7,,WSW,21.5,SW,2009-05-15,35.0,1009.3,No,19.9
17.7,No,30.0,1007.4,Wollongong,91.0,WNW,24.0,,55.0,0.0,17.3,,WSW,21.7,WNW,2009-05-16,36.0,1008.2,No,20.6
