rain_today,cloud_9_am,wind_dir_3_pm,wind_gust_dir,wind_speed_9_am,max_temp_f,humidity_3_pm,min_temp_f,location,evaporation,temp_9_am_f,rain_tomorrow,date,temp_3_pm_f,wind_speed_3_pm,pressure_9_am,rainfall,wind_dir_9_am,sunshine,wind_gust_speed,humidity_9_am,cloud_3_pm,pressure_3_pm
No,6.0,WNW,NW,7.0,75.92,43.0,54.32,Canberra,6.2,59.0,Yes,2007-12-24,72.5,13.0,1012.8,0.0,NNW,12.1,44.0,69.0,4.0,1009.7
Yes,8.0,NE,E,11.0,71.06,52.0,52.34,Canberra,8.2,54.32,No,2007-12-25,69.8,11.0,1020.4,3.4,SE,5.6,41.0,67.0,3.0,1019.1
No,1.0,NNW,NNW,6.0,79.34,35.0,49.64,Canberra,5.2,59.540000000000006,No,2007-12-26,75.02,19.0,1023.2,0.0,W,13.0,41.0,63.0,1.0,1018.0
No,7.0,NNW,NNW,7.0,80.06,64.0,57.74,Canberra,7.2,67.64,Yes,2007-12-27,66.2,48.0,1017.3,0.0,N,7.1,65.0,68.0,7.0,1014.3
Yes,1.0,NW,NNW,6.0,82.94,44.0,59.18,Canberra,8.8,64.94,No,2007-12-28,81.32,13.0,1016.8,14.4,NNW,13.2,28.0,73.0,5.0,1013.4
No,0.0,N,NNW,6.0,88.88000000000001,30.0,57.92,Canberra,6.6,70.7,No,2007-12-29,86.53999999999999,7.0,1017.1,0.0,NW,13.6,30.0,65.0,2.0,1014.2
No,1.0,ESE,E,6.0,95.0,18.0,59.72,Canberra,9.6,74.12,No,2007-12-30,93.74,22.0,1017.4,0.0,SSW,13.0,39.0,55.0,1.0,1015.0
No,0.0,NE,NE,7.0,92.3,20.0,56.84,Canberra,11.4,71.42,No,2007-12-31,89.96000000000001,9.0,1019.2,0.0,SSE,13.6,31.0,44.0,1.0,1015.6
No,7.0,W,NNE,2.0,93.56,20.0,56.48,Canberra,8.8,71.42,No,2008-01-01,89.24,11.0,1015.8,0.0,ESE,12.8,35.0,50.0,6.0,1011.6
No,0.0,WSW,ESE,2.0,95.0,14.0,57.74,Canberra,7.6,73.4,No,2008-01-02,92.48,9.0,1012.6,0.0,ESE,10.5,41.0,43.0,1.0,1008.7
No,8.0,ESE,ESE,20.0,74.12,55.0,60.62,Canberra,12.6,66.56,No,2008-01-03,72.14,24.0,1016.8,0.0,ESE,2.2,50.0,69.0,7.0,1016.3
No,6.0,ESE,ESE,24.0,77.54,45.0,62.059999999999995,Canberra,6.2,68.54,No,2008-01-04,75.02,26.0,1016.2,0.0,ESE,12.5,46.0,56.0,7.0,1013.0
No,7.0,E,NE,7.0,81.5,40.0,53.78,Canberra,7.4,65.48,No,2008-01-05,80.24000000000001,15.0,1011.8,0.0,SSE,11.7,35.0,69.0,2.0,1007.4
No,1.0,NNW,ENE,6.0,93.38000000000001,34.0,57.74,Canberra,6.6,66.02,No,2008-01-06,89.41999999999999,19.0,1006.6,0.0,W,10.5,39.0,77.0,1.0,1003.3
No,1.0,NW,ENE,11.0,93.02,36.0,61.7,Canberra,9.0,69.44,No,2008-01-07,88.34,11.0,1012.3,0.0,E,12.6,39.0,60.0,1.0,1009.5
No,7.0,N,E,7.0,86.53999999999999,44.0,61.7,Canberra,10.0,64.58,No,2008-01-08,82.4,9.0,1015.7,0.0,E,8.1,46.0,77.0,1.0,1013.4
No,8.0,ENE,E,13.0,85.82,45.0,63.5,Canberra,6.6,66.74000000000001,No,2008-01-09,82.22,11.0,1018.5,0.0,E,8.8,43.0,74.0,1.0,1015.9
No,1.0,NW,NE,6.0,93.56,25.0,58.459999999999994,Canberra,6.6,70.34,No,2008-01-10,89.96000000000001,11.0,1017.8,0.0,WNW,12.8,33.0,64.0,1.0,1013.3
No,0.0,NW,SSE,6.0,96.44,24.0,63.5,Canberra,9.4,76.46,No,2008-01-11,94.1,19.0,1011.8,0.0,NNW,13.3,57.0,56.0,1.0,1006.5
No,7.0,WNW,SW,4.0,96.26,28.0,69.62,Canberra,13.8,74.48,Yes,2008-01-12,93.2,17.0,1007.6,0.0,E,6.9,50.0,61.0,2.0,1003.0
Yes,2.0,W,WNW,6.0,92.84,35.0,62.6,Canberra,9.0,73.4,No,2008-01-13,89.24,24.0,1004.0,2.0,NNW,13.5,52.0,65.0,3.0,1001.8
No,8.0,ENE,E,13.0,73.04,57.0,60.8,Canberra,12.4,62.6,No,2008-01-14,70.88,19.0,1012.3,0.0,E,6.0,50.0,70.0,6.0,1012.3
No,7.0,NW,W,7.0,92.84,26.0,59.72,Canberra,5.2,64.4,No,2008-01-15,89.06,15.0,1014.2,0.0,E,11.1,35.0,70.0,1.0,1009.0
No,6.0,NNE,N,15.0,91.76,62.0,64.22,Canberra,10.4,76.1,Yes,2008-01-16,74.3,20.0,1008.5,0.0,N,8.4,59.0,58.0,7.0,1006.1
Yes,1.0,ESE,E,20.0,77.18,42.0,59.36,Canberra,6.4,62.78,No,2008-01-17,75.02,28.0,1016.8,4.8,ESE,11.6,46.0,62.0,1.0,1015.0
No,8.0,ESE,ESE,17.0,68.72,55.0,59.18,Canberra,9.6,64.04,Yes,2008-01-18,66.92,19.0,1017.5,0.0,ESE,0.1,39.0,63.0,8.0,1015.8
Yes,8.0,NNE,NE,9.0,67.28,88.0,59.540000000000006,Canberra,5.0,64.4,Yes,2008-01-19,65.48,13.0,1008.7,18.8,SSE,0.0,33.0,92.0,8.0,1006.0
Yes,7.0,WNW,NW,19.0,76.46,71.0,62.959999999999994,Canberra,1.4,66.92,No,2008-01-20,71.42,28.0,1004.9,12.2,NW,8.1,50.0,80.0,8.0,1004.0
No,8.0,ESE,E,17.0,67.82,58.0,60.62,Canberra,5.6,63.32,No,2008-01-21,65.48,22.0,1011.4,0.8,SSE,1.6,48.0,73.0,7.0,1012.1
No,1.0,S,E,11.0,72.5,46.0,50.0,Canberra,4.4,58.459999999999994,No,2008-01-22,71.96,7.0,1018.7,0.0,SE,11.6,33.0,55.0,2.0,1016.8
No,1.0,E,NE,7.0,75.92,38.0,49.82,Canberra,5.8,61.16,No,2008-01-23,72.86,7.0,1021.6,0.0,SE,10.8,28.0,60.0,4.0,1019.2
No,3.0,NE,ENE,6.0,82.04,29.0,50.54,Canberra,6.4,62.6,No,2008-01-24,79.34,11.0,1021.3,0.0,SE,9.9,35.0,64.0,6.0,1018.1
No,7.0,NE,E,9.0,78.25999999999999,32.0,59.72,Canberra,6.8,63.68,No,2008-01-25,76.28,17.0,1020.1,0.0,E,8.2,41.0,67.0,7.0,1016.9
No,1.0,SSW,NNE,4.0,83.84,28.0,54.86,Canberra,7.4,64.94,No,2008-01-26,82.94,7.0,1016.5,0.0,NW,9.0,28.0,70.0,5.0,1012.4
No,1.0,WNW,WSW,4.0,88.34,28.0,55.76,Canberra,6.6,67.46,No,2008-01-27,87.26,26.0,1013.1,0.0,N,11.6,46.0,71.0,4.0,1009.5
No,0.0,NW,NNW,4.0,91.76,18.0,59.540000000000006,Canberra,9.4,72.32,No,2008-01-28,89.78,24.0,1013.9,0.0,NNE,13.2,44.0,60.0,1.0,1012.0
No,1.0,W,ENE,6.0,93.02,22.0,64.22,Canberra,10.4,67.64,No,2008-01-29,90.14,11.0,1017.4,0.0,S,11.8,46.0,72.0,1.0,1014.6
No,1.0,W,NW,6.0,94.82,29.0,64.4,Canberra,9.2,71.96,Yes,2008-01-30,91.58000000000001,13.0,1018.0,0.0,N,9.9,69.0,68.0,6.0,1013.7
Yes,7.0,NNW,ESE,13.0,82.04,49.0,63.68,Canberra,10.2,70.52,Yes,2008-01-31,79.34,13.0,1014.6,5.2,N,3.6,39.0,66.0,8.0,1012.8
Yes,8.0,ESE,SSE,11.0,74.84,49.0,60.8,Canberra,5.4,61.7,No,2008-02-01,73.22,11.0,1018.9,2.2,SE,6.2,30.0,73.0,7.0,1017.1
No,7.0,NNE,NNE,7.0,83.84,44.0,58.82,Canberra,5.8,66.38,No,2008-02-02,80.6,11.0,1018.2,0.0,SSE,8.1,30.0,71.0,2.0,1014.5
No,6.0,ESE,E,9.0,85.28,38.0,62.78,Canberra,5.8,71.06,Yes,2008-02-03,84.38000000000001,17.0,1016.7,0.0,SE,9.2,48.0,67.0,7.0,1012.8
Yes,8.0,ENE,ENE,7.0,72.68,76.0,64.75999999999999,Canberra,8.0,65.3,Yes,2008-02-04,71.78,13.0,1014.4,1.8,SSE,0.0,33.0,92.0,8.0,1011.5
Yes,8.0,SSE,ESE,7.0,73.04,71.0,62.24,Canberra,2.8,65.12,No,2008-02-05,70.7,11.0,1010.0,9.0,S,0.3,30.0,88.0,8.0,1007.8
No,4.0,WNW,W,6.0,81.32,41.0,56.48,Canberra,2.8,65.66,No,2008-02-06,79.7,24.0,1002.1,1.0,NW,8.0,52.0,77.0,7.0,997.5
No,7.0,NNW,SSW,11.0,75.56,76.0,58.1,Canberra,6.8,64.22,Yes,2008-02-07,68.54,20.0,999.4,0.0,N,5.9,61.0,76.0,7.0,998.9
Yes,7.0,ESE,ENE,7.0,67.82,58.0,54.32,Canberra,5.4,56.48,No,2008-02-08,65.66,20.0,1007.6,16.2,ESE,5.6,41.0,75.0,7.0,1005.0
No,6.0,S,SSE,15.0,69.62,51.0,50.72,Canberra,4.0,56.84,No,2008-02-09,65.66,17.0,1007.7,0.0,S,8.9,33.0,65.0,6.0,1006.8
No,1.0,W,ENE,17.0,73.58,37.0,48.379999999999995,Canberra,5.8,57.2,No,2008-02-10,70.52,13.0,1013.6,0.0,SSE,9.6,41.0,66.0,7.0,1011.4
No,1.0,NE,NE,7.0,78.8,34.0,48.02,Canberra,5.0,58.28,Yes,2008-02-11,75.56,13.0,1016.1,0.0,SE,10.7,31.0,74.0,5.0,1011.7
Yes,8.0,WNW,W,9.0,75.56,60.0,58.1,Canberra,6.6,60.440000000000005,Yes,2008-02-12,72.68,17.0,1010.8,4.4,NNW,5.9,48.0,95.0,5.0,1006.8
Yes,7.0,SSE,ENE,13.0,64.75999999999999,73.0,54.68,Canberra,3.2,61.34,No,2008-02-13,62.24,15.0,1010.0,11.0,SSE,0.4,30.0,81.0,8.0,1011.0
No,1.0,SE,E,11.0,75.56,37.0,47.48,Canberra,2.8,56.66,No,2008-02-14,71.6,9.0,1017.5,0.2,S,12.7,33.0,63.0,1.0,1015.1
No,1.0,E,ENE,7.0,77.36,32.0,51.44,Canberra,5.6,59.0,No,2008-02-15,75.74000000000001,7.0,1020.2,0.0,SE,12.6,35.0,69.0,1.0,1016.7
No,1.0,E,ENE,7.0,78.98,40.0,52.16,Canberra,7.2,59.540000000000006,No,2008-02-16,76.46,19.0,1022.9,0.0,SE,12.6,39.0,71.0,1.0,1020.0
No,7.0,NNE,ENE,9.0,75.38,46.0,53.78,Canberra,7.4,59.72,No,2008-02-17,72.5,13.0,1025.2,0.0,ESE,10.2,46.0,64.0,1.0,1021.4
No,5.0,NNE,E,7.0,78.44,42.0,51.44,Canberra,6.8,62.959999999999994,No,2008-02-18,75.38,11.0,1021.3,0.0,S,11.7,31.0,72.0,4.0,1017.4
No,1.0,SE,NE,6.0,80.78,38.0,52.52,Canberra,5.6,62.42,No,2008-02-19,78.98,15.0,1017.6,0.0,ESE,12.1,33.0,69.0,2.0,1012.8
No,2.0,WNW,ESE,2.0,84.02,31.0,53.6,Canberra,7.2,63.32,Yes,2008-02-20,83.48,9.0,1012.2,0.0,SSE,8.2,39.0,78.0,7.0,1009.1
Yes,7.0,N,S,4.0,76.64,56.0,61.34,Canberra,7.8,63.5,Yes,2008-02-21,75.2,7.0,1011.8,1.8,NNW,3.8,50.0,88.0,7.0,1008.4
Yes,5.0,W,W,,83.48,42.0,54.86,Canberra,3.2,61.7,No,2008-02-22,81.32,28.0,1008.3,6.6,,8.6,50.0,78.0,5.0,1002.3
No,1.0,WNW,NW,20.0,77.18,32.0,54.86,Canberra,7.8,60.26,No,2008-02-23,76.1,26.0,1007.4,0.0,WNW,12.4,46.0,57.0,1.0,1005.4
No,0.0,WNW,NW,15.0,74.84,34.0,53.6,Canberra,10.4,59.18,No,2008-02-24,73.22,30.0,1007.9,0.0,NW,12.4,44.0,54.0,1.0,1007.2
No,6.0,WSW,ENE,9.0,78.62,35.0,52.7,Canberra,5.2,60.440000000000005,No,2008-02-25,75.74000000000001,7.0,1016.4,0.0,ENE,10.2,44.0,70.0,2.0,1014.3
No,3.0,NW,NW,4.0,82.75999999999999,27.0,55.4,Canberra,5.0,63.32,No,2008-02-26,80.6,17.0,1017.6,0.0,WSW,11.6,44.0,74.0,6.0,1014.4
No,2.0,W,W,,81.68,25.0,53.06,Canberra,7.8,63.68,No,2008-02-27,80.24000000000001,30.0,1013.6,0.0,,8.1,48.0,74.0,6.0,1009.1
No,7.0,SE,SSE,13.0,63.14,78.0,58.64,Canberra,7.6,60.26,Yes,2008-02-28,59.540000000000006,13.0,1010.0,0.0,S,0.8,48.0,74.0,7.0,1009.9
Yes,5.0,S,S,24.0,65.12,34.0,45.86,Canberra,5.2,51.08,No,2008-02-29,62.24,17.0,1015.5,10.4,S,12.0,48.0,58.0,1.0,1014.5
No,1.0,SSE,S,15.0,71.24000000000001,31.0,39.92,Canberra,6.2,53.06,No,2008-03-01,68.0,15.0,1020.8,0.0,SSE,12.1,35.0,60.0,1.0,1019.3
No,0.0,WNW,E,7.0,75.92,37.0,45.32,Canberra,6.2,53.96,No,2008-03-02,71.78,11.0,1026.3,0.0,ESE,11.6,35.0,65.0,2.0,1023.2
No,1.0,WNW,E,6.0,81.14,28.0,46.94,Canberra,5.6,56.84,No,2008-03-03,77.9,9.0,1025.4,0.0,ESE,10.1,35.0,78.0,1.0,1020.4
No,1.0,WNW,ESE,6.0,82.75999999999999,28.0,50.18,Canberra,6.0,60.08,No,2008-03-04,80.6,7.0,1021.1,0.0,SSE,7.3,39.0,72.0,7.0,1018.2
No,1.0,WSW,E,7.0,81.68,35.0,53.6,Canberra,6.0,60.26,No,2008-03-05,79.16,6.0,1025.5,0.0,SSE,11.0,46.0,69.0,1.0,1022.2
No,2.0,NNE,WSW,6.0,89.24,24.0,55.22,Canberra,6.0,63.32,No,2008-03-06,86.0,9.0,1023.9,0.0,NNW,11.3,41.0,76.0,3.0,1019.3
No,0.0,ENE,E,,84.56,34.0,51.44,Canberra,8.4,63.5,Yes,2008-03-07,81.86,9.0,1021.6,0.0,,7.5,50.0,56.0,7.0,1017.7
Yes,1.0,NNW,NNW,6.0,81.32,39.0,49.1,Canberra,4.8,57.2,No,2008-03-08,76.82,9.0,1024.7,3.0,SSE,11.5,24.0,79.0,7.0,1020.7
No,0.0,NNE,E,7.0,82.04,33.0,53.78,Canberra,5.0,64.04,No,2008-03-09,80.6,11.0,1024.8,0.0,SE,11.5,41.0,66.0,1.0,1023.1
No,1.0,W,WNW,6.0,89.06,28.0,54.5,Canberra,6.6,62.959999999999994,No,2008-03-10,86.18,9.0,1024.9,0.0,ENE,11.2,24.0,74.0,1.0,1020.4
No,0.0,ENE,SSW,11.0,94.46000000000001,18.0,57.02,Canberra,6.4,68.36,No,2008-03-11,90.86,7.0,1022.8,0.0,SE,8.5,46.0,50.0,3.0,1019.3
No,2.0,WSW,WNW,6.0,89.06,23.0,55.94,Canberra,7.8,63.5,No,2008-03-12,87.26,28.0,1021.6,0.2,ESE,11.0,44.0,80.0,5.0,1017.6
No,7.0,NNW,ENE,7.0,91.58000000000001,18.0,55.76,Canberra,8.6,60.980000000000004,No,2008-03-13,89.06,7.0,1020.9,0.0,SE,9.7,39.0,91.0,1.0,1017.7
No,0.0,W,W,9.0,92.84,15.0,54.14,Canberra,7.2,64.22,No,2008-03-14,90.86,13.0,1022.6,0.0,SE,11.3,22.0,57.0,1.0,1019.1
No,5.0,ESE,SE,7.0,95.36,15.0,56.84,Canberra,6.4,70.52,No,2008-03-15,93.38000000000001,4.0,1022.5,0.0,SE,11.2,48.0,47.0,2.0,1019.3
No,5.0,WNW,NE,4.0,90.14,17.0,52.34,Canberra,9.4,64.75999999999999,No,2008-03-16,86.9,6.0,1024.3,0.0,ENE,11.4,28.0,44.0,2.0,1020.7
No,1.0,NNW,NE,9.0,86.36,22.0,53.06,Canberra,7.8,63.86,No,2008-03-17,83.84,13.0,1024.3,0.0,ESE,11.2,33.0,73.0,0.0,1020.6
No,0.0,WNW,NW,0.0,85.82,30.0,54.5,Canberra,5.8,62.24,No,2008-03-18,84.56,19.0,1022.7,0.0,,10.7,43.0,76.0,1.0,1018.8
No,1.0,NNE,NE,4.0,79.16,48.0,59.18,Canberra,9.0,67.46,No,2008-03-19,76.1,15.0,1022.1,0.0,SE,9.8,31.0,59.0,4.0,1018.7
No,7.0,WSW,NW,0.0,84.74,35.0,52.7,Canberra,5.2,62.78,No,2008-03-20,81.68,26.0,1013.8,0.0,,8.0,46.0,76.0,7.0,1009.4
No,7.0,ESE,SE,9.0,58.64,62.0,55.4,Canberra,8.2,55.94,No,2008-03-21,57.02,17.0,1017.4,0.0,ESE,0.0,30.0,77.0,8.0,1019.3
No,7.0,ESE,E,6.0,67.28,64.0,52.879999999999995,Canberra,2.8,57.2,No,2008-03-22,64.22,17.0,1023.6,0.0,SE,1.6,33.0,71.0,8.0,1021.8
No,7.0,SW,ENE,6.0,76.82,44.0,55.04,Canberra,2.4,59.9,No,2008-03-23,75.56,7.0,1023.2,0.0,NNW,6.2,30.0,76.0,6.0,1019.3
