MaxTempC,WindSpeed9am,Humidity9am,Sunshine,WindGustSpeed,Cloud3pm,RainTomorrow,Pressure3pm,Pressure9am,Location,WindGustDir,WindDir3pm,WindSpeed3pm,Date,Evaporation,MinTempC,RainToday,Temp3pmC,Cloud9am,WindDir9am,Humidity3pm,Temp9amC,Rainfall
22.8,6.0,72.0,2.2,20.0,7.0,No,1023.3,1026.6,Brisbane,ENE,ENE,9.0,2008-07-13,3.0,12.0,No,21.2,7.0,SSW,69.0,15.3,0.0
25.7,4.0,86.0,4.5,19.0,1.0,No,1021.0,1025.3,Brisbane,N,NE,9.0,2008-07-14,1.0,13.6,No,23.3,7.0,SSW,65.0,18.3,0.0
24.8,9.0,80.0,5.9,31.0,6.0,Yes,1018.7,1022.2,Brisbane,W,NNE,9.0,2008-07-15,1.2,16.7,No,23.4,5.0,SSW,65.0,19.1,0.0
18.9,2.0,93.0,0.0,19.0,8.0,Yes,1017.8,1020.1,Brisbane,SW,WSW,4.0,2008-07-16,2.6,16.5,Yes,18.7,8.0,WSW,71.0,17.1,5.4
21.5,7.0,80.0,8.7,17.0,3.0,No,1016.1,1020.6,Brisbane,WSW,NE,9.0,2008-07-17,0.8,12.2,Yes,21.2,3.0,SW,57.0,15.6,2.8
25.4,6.0,72.0,9.6,37.0,2.0,No,1011.9,1017.3,Brisbane,WNW,WNW,15.0,2008-07-18,1.2,9.4,No,25.0,2.0,SW,34.0,15.2,0.0
22.9,2.0,55.0,9.8,33.0,0.0,No,1015.7,1018.3,Brisbane,W,WNW,15.0,2008-07-19,3.2,6.8,No,22.4,0.0,SW,25.0,15.4,0.0
22.9,6.0,60.0,9.0,30.0,1.0,No,1015.4,1020.6,Brisbane,NNE,NNE,15.0,2008-07-20,3.4,7.5,No,21.3,1.0,SW,45.0,13.6,0.0
22.8,6.0,83.0,3.3,35.0,7.0,No,1013.8,1014.9,Brisbane,W,W,15.0,2008-07-21,2.2,12.5,No,18.7,8.0,N,54.0,17.4,0.0
20.4,7.0,48.0,7.5,33.0,8.0,No,1021.3,1022.1,Brisbane,W,E,15.0,2008-07-22,3.6,12.1,No,18.7,1.0,SW,52.0,16.6,0.0
15.7,6.0,73.0,0.0,26.0,8.0,Yes,1023.1,1026.7,Brisbane,SSE,S,7.0,2008-07-23,4.4,12.5,No,15.2,8.0,SW,77.0,12.7,0.2
14.3,9.0,92.0,0.0,28.0,8.0,Yes,,1021.0,Brisbane,S,,,2008-07-24,0.6,12.4,Yes,,8.0,SSW,,12.9,12.6
18.9,9.0,86.0,1.9,28.0,6.0,No,1014.1,1014.8,Brisbane,SW,SW,11.0,2008-07-25,0.6,12.5,Yes,17.9,8.0,WSW,67.0,13.8,22.4
19.9,9.0,62.0,9.5,24.0,1.0,No,1014.1,1018.0,Brisbane,WSW,WNW,11.0,2008-07-26,1.4,8.3,No,19.4,0.0,SW,42.0,14.7,0.4
18.2,6.0,64.0,2.3,30.0,7.0,Yes,1011.7,1016.7,Brisbane,SSW,W,4.0,2008-07-27,2.8,8.0,No,17.1,7.0,SW,41.0,12.7,0.0
15.7,11.0,75.0,5.2,39.0,6.0,No,1005.9,1010.5,Brisbane,WSW,WSW,15.0,2008-07-28,2.0,8.2,Yes,14.3,7.0,WSW,49.0,11.5,2.4
20.3,11.0,53.0,9.8,33.0,3.0,No,1010.0,1012.3,Brisbane,WSW,SW,9.0,2008-07-29,3.2,8.8,No,19.3,1.0,WSW,36.0,13.1,0.0
20.6,11.0,55.0,9.5,22.0,0.0,No,1014.2,1017.5,Brisbane,WNW,WSW,6.0,2008-07-30,3.8,6.3,No,20.3,0.0,WSW,25.0,13.8,0.0
21.3,6.0,47.0,9.9,26.0,0.0,No,1016.1,1020.5,Brisbane,WSW,W,11.0,2008-07-31,2.6,3.7,No,20.6,0.0,SSE,29.0,13.9,0.0
28.7,2.0,54.0,9.8,35.0,1.0,No,1009.6,1016.0,Brisbane,W,N,7.0,2008-08-01,3.6,7.1,No,28.6,1.0,SW,28.0,15.7,0.0
21.8,19.0,48.0,10.3,46.0,0.0,No,1014.3,1017.3,Brisbane,W,W,17.0,2008-08-02,6.0,12.3,No,21.3,1.0,W,26.0,15.1,0.0
21.3,11.0,47.0,10.1,22.0,1.0,No,1018.1,1021.1,Brisbane,WSW,NE,11.0,2008-08-03,5.6,8.5,No,20.2,0.0,SSW,45.0,14.0,0.0
22.1,7.0,75.0,9.8,26.0,1.0,No,1017.2,1021.7,Brisbane,NE,NE,11.0,2008-08-04,3.2,8.3,No,20.9,1.0,SW,53.0,14.0,0.0
22.4,7.0,62.0,8.0,22.0,2.0,No,1016.0,1019.2,Brisbane,E,ENE,11.0,2008-08-05,3.2,8.5,No,20.8,1.0,WSW,33.0,15.4,0.0
21.7,7.0,56.0,10.2,39.0,1.0,No,1016.0,1018.6,Brisbane,W,W,15.0,2008-08-06,2.2,9.2,No,21.2,1.0,SW,29.0,16.1,0.2
21.2,9.0,49.0,10.3,30.0,0.0,No,1017.4,1021.6,Brisbane,W,W,19.0,2008-08-07,5.0,7.0,No,20.5,0.0,SW,29.0,15.5,0.0
20.9,11.0,36.0,10.3,48.0,0.0,No,1018.1,1021.5,Brisbane,W,W,19.0,2008-08-08,5.0,7.2,No,20.4,0.0,W,26.0,13.8,0.0
21.5,7.0,47.0,10.3,19.0,0.0,No,1019.4,1023.4,Brisbane,SW,ENE,13.0,2008-08-09,5.0,7.5,No,19.8,1.0,SW,32.0,14.3,0.0
21.6,6.0,47.0,10.2,31.0,0.0,No,1016.0,1021.4,Brisbane,W,W,17.0,2008-08-10,3.4,5.0,No,21.1,0.0,S,21.0,13.2,0.0
18.7,11.0,34.0,10.4,37.0,0.0,No,1016.2,1020.2,Brisbane,W,WSW,13.0,2008-08-11,3.2,4.5,No,18.0,0.0,WSW,16.0,13.7,0.0
19.4,9.0,36.0,10.4,24.0,1.0,No,1021.1,1024.1,Brisbane,SW,SSW,4.0,2008-08-12,4.8,4.1,No,18.8,1.0,WSW,19.0,12.5,0.0
19.9,7.0,50.0,5.3,20.0,7.0,No,1021.5,1025.3,Brisbane,WNW,NNW,6.0,2008-08-13,4.8,7.1,No,19.0,7.0,SW,28.0,12.1,0.0
19.8,9.0,48.0,8.0,30.0,7.0,No,1018.1,1024.1,Brisbane,W,WNW,11.0,2008-08-14,2.4,6.5,No,19.4,7.0,SW,25.0,12.6,0.0
21.4,17.0,34.0,10.8,41.0,0.0,No,1011.4,1016.4,Brisbane,WNW,W,17.0,2008-08-15,4.0,9.8,No,21.0,1.0,W,22.0,14.4,0.0
20.3,17.0,42.0,10.7,43.0,1.0,No,1012.0,1015.4,Brisbane,WNW,W,22.0,2008-08-16,6.0,10.6,No,19.9,1.0,W,27.0,15.0,0.0
20.1,13.0,45.0,10.6,56.0,2.0,No,1019.5,1020.6,Brisbane,WSW,NE,11.0,2008-08-17,7.0,6.4,No,18.9,1.0,SW,34.0,14.5,0.0
16.9,7.0,68.0,0.0,19.0,8.0,No,1022.8,1025.3,Brisbane,WNW,SSE,4.0,2008-08-18,3.8,8.5,No,16.8,8.0,SW,54.0,12.1,0.0
20.5,15.0,33.0,10.8,30.0,1.0,No,1024.8,1026.8,Brisbane,SW,NNE,9.0,2008-08-19,3.4,6.7,No,19.1,1.0,SW,26.0,13.9,0.0
22.1,11.0,52.0,10.7,22.0,3.0,No,1026.5,1029.5,Brisbane,E,NE,13.0,2008-08-20,2.0,7.9,No,20.6,1.0,SW,45.0,14.2,0.0
20.5,6.0,70.0,0.0,17.0,7.0,No,1022.2,1026.7,Brisbane,N,NE,9.0,2008-08-21,3.2,9.3,No,19.1,7.0,SSW,53.0,14.2,0.0
24.9,9.0,64.0,7.9,39.0,7.0,Yes,1011.6,1017.3,Brisbane,W,NW,15.0,2008-08-22,1.8,11.4,No,20.4,2.0,NNE,66.0,20.3,0.0
21.7,17.0,43.0,10.6,39.0,1.0,No,1018.6,1020.4,Brisbane,SW,SW,9.0,2008-08-23,6.2,9.8,Yes,21.6,1.0,W,28.0,13.6,10.0
21.6,9.0,47.0,10.7,24.0,1.0,No,1024.7,1027.2,Brisbane,ENE,NE,13.0,2008-08-24,3.8,7.5,No,20.0,1.0,SW,40.0,15.3,0.0
21.6,11.0,58.0,10.3,30.0,4.0,No,1024.3,1027.9,Brisbane,ENE,E,17.0,2008-08-25,4.2,8.9,No,20.7,2.0,SSW,42.0,15.2,0.0
22.3,6.0,66.0,8.2,50.0,5.0,No,1021.7,1025.7,Brisbane,SSW,NNE,13.0,2008-08-26,3.4,10.9,No,20.3,3.0,S,48.0,17.0,0.0
23.0,2.0,68.0,5.4,19.0,7.0,No,1021.3,1024.1,Brisbane,WNW,WNW,7.0,2008-08-27,3.2,11.0,No,20.6,7.0,ESE,58.0,17.9,0.2
20.9,4.0,68.0,5.6,22.0,7.0,Yes,1021.9,1025.4,Brisbane,E,ESE,9.0,2008-08-28,2.8,12.5,No,19.9,7.0,SSW,57.0,17.5,0.0
23.2,2.0,72.0,10.0,28.0,2.0,No,1020.2,1024.1,Brisbane,ENE,ENE,15.0,2008-08-29,2.6,14.0,Yes,21.4,4.0,SSW,59.0,18.7,5.0
24.6,2.0,71.0,9.5,28.0,2.0,No,1019.7,1023.2,Brisbane,NNE,NE,15.0,2008-08-30,4.0,13.8,No,22.8,5.0,W,56.0,19.6,0.4
24.1,11.0,69.0,9.0,35.0,4.0,Yes,1017.6,1021.9,Brisbane,NNE,NNE,19.0,2008-08-31,4.0,14.5,No,21.8,4.0,N,70.0,20.7,0.0
25.1,7.0,74.0,5.7,26.0,6.0,No,1020.5,1023.1,Brisbane,ESE,WSW,4.0,2008-09-01,4.2,16.8,Yes,23.4,6.0,SW,52.0,19.6,1.6
23.0,11.0,64.0,7.9,26.0,2.0,No,1022.3,1024.8,Brisbane,ESE,ENE,17.0,2008-09-02,3.6,12.9,No,21.7,6.0,SE,57.0,21.1,0.0
22.9,19.0,58.0,8.7,44.0,7.0,Yes,1023.5,1026.4,Brisbane,SE,ESE,20.0,2008-09-03,4.0,15.0,No,21.2,7.0,SE,50.0,19.7,0.0
19.7,11.0,90.0,0.0,43.0,8.0,Yes,1020.1,1024.1,Brisbane,SSE,SSE,13.0,2008-09-04,7.8,15.6,Yes,15.9,8.0,SE,92.0,16.0,6.0
23.2,6.0,78.0,5.4,30.0,7.0,Yes,1010.3,1014.2,Brisbane,WNW,NNE,11.0,2008-09-05,4.4,15.0,Yes,20.3,7.0,NNE,86.0,19.6,41.6
22.5,22.0,61.0,11.0,61.0,2.0,No,1009.4,1012.2,Brisbane,W,WSW,26.0,2008-09-06,1.8,15.5,Yes,21.9,1.0,W,47.0,18.1,3.8
23.8,9.0,56.0,10.7,24.0,1.0,No,1012.3,1015.3,Brisbane,W,NNE,7.0,2008-09-07,5.6,11.9,No,22.5,1.0,SW,41.0,18.1,0.0
23.2,9.0,60.0,10.6,22.0,1.0,No,1015.0,1018.9,Brisbane,NE,NE,11.0,2008-09-08,5.2,11.2,No,22.4,1.0,SW,51.0,18.1,0.0
21.9,7.0,62.0,10.1,26.0,2.0,No,1019.9,1022.2,Brisbane,NE,ENE,13.0,2008-09-09,4.0,12.5,No,20.2,2.0,S,53.0,18.9,0.0
22.9,7.0,66.0,10.2,24.0,2.0,No,1016.9,1022.2,Brisbane,NNE,NE,11.0,2008-09-10,4.4,12.1,No,21.2,1.0,W,56.0,18.5,0.0
23.7,9.0,64.0,10.1,28.0,3.0,No,1015.2,1020.1,Brisbane,NNE,ENE,15.0,2008-09-11,4.0,11.8,No,21.4,3.0,WSW,60.0,18.2,0.0
25.0,2.0,66.0,7.7,37.0,2.0,No,1015.5,1019.1,Brisbane,NNE,NE,15.0,2008-09-12,4.6,16.1,No,22.6,7.0,NNE,60.0,19.6,0.0
24.7,4.0,66.0,10.1,30.0,1.0,No,1017.9,1021.6,Brisbane,N,NE,13.0,2008-09-13,4.2,13.6,No,23.5,2.0,N,61.0,20.7,0.4
24.5,13.0,61.0,9.6,33.0,7.0,No,1015.9,1021.9,Brisbane,ENE,NNE,15.0,2008-09-14,5.2,17.0,No,22.1,2.0,N,60.0,21.7,0.2
25.5,2.0,72.0,9.7,28.0,1.0,No,1014.3,1019.2,Brisbane,NE,NNE,15.0,2008-09-15,6.2,14.9,No,24.4,1.0,S,61.0,20.4,1.0
26.9,2.0,61.0,10.3,33.0,1.0,No,1013.1,1016.7,Brisbane,SE,ENE,15.0,2008-09-16,4.8,15.4,No,25.4,1.0,N,63.0,23.4,0.0
21.9,13.0,63.0,3.5,30.0,5.0,No,1020.1,1022.4,Brisbane,S,E,17.0,2008-09-17,,16.8,No,20.7,7.0,SE,54.0,19.7,0.0
20.8,0.0,70.0,0.0,20.0,7.0,No,1018.3,1021.7,Brisbane,ENE,ENE,11.0,2008-09-18,1.8,14.7,No,20.1,8.0,,64.0,19.2,0.0
24.9,7.0,85.0,6.2,26.0,3.0,No,1016.5,1020.7,Brisbane,NE,NE,15.0,2008-09-19,2.6,18.2,No,24.0,7.0,NNE,66.0,20.7,0.4
26.8,6.0,73.0,10.0,31.0,2.0,No,1015.6,1019.4,Brisbane,ENE,NE,19.0,2008-09-20,2.8,17.3,No,24.5,3.0,NNE,64.0,22.5,0.2
28.7,7.0,56.0,10.4,35.0,2.0,No,1015.1,1018.9,Brisbane,NNE,NNE,15.0,2008-09-21,5.2,16.0,No,25.9,1.0,N,60.0,24.5,0.4
26.8,9.0,69.0,9.5,35.0,1.0,No,1015.5,1019.4,Brisbane,NNE,NE,20.0,2008-09-22,5.4,17.6,No,23.9,2.0,N,63.0,23.1,0.0
26.9,9.0,56.0,7.8,31.0,7.0,No,1015.2,1018.4,Brisbane,NW,NE,15.0,2008-09-23,6.4,16.1,No,23.7,1.0,N,54.0,23.6,0.0
22.5,13.0,73.0,1.2,44.0,7.0,No,1021.7,1022.7,Brisbane,SSE,SSW,11.0,2008-09-24,6.8,16.7,No,21.1,7.0,S,58.0,19.6,0.0
23.2,19.0,45.0,10.1,43.0,2.0,No,1024.0,1027.6,Brisbane,ESE,SE,24.0,2008-09-25,5.0,12.4,No,21.0,1.0,SE,44.0,19.9,0.0
23.8,9.0,48.0,11.3,30.0,2.0,No,1021.5,1025.8,Brisbane,E,ESE,13.0,2008-09-26,7.2,11.6,No,23.0,1.0,S,47.0,19.8,0.0
25.3,7.0,61.0,11.1,24.0,1.0,No,1019.4,1022.8,Brisbane,ENE,ENE,15.0,2008-09-27,5.4,11.0,No,23.6,1.0,S,50.0,20.2,0.0
26.6,7.0,57.0,11.1,26.0,0.0,No,1013.2,1019.4,Brisbane,NNE,NE,15.0,2008-09-28,4.0,11.0,No,25.1,0.0,NE,53.0,21.5,0.0
35.1,7.0,55.0,10.7,31.0,1.0,No,1008.1,1012.9,Brisbane,SE,E,17.0,2008-09-29,5.6,13.1,No,29.4,0.0,SSW,45.0,23.7,0.0
24.7,13.0,55.0,10.5,30.0,4.0,No,1017.3,1019.2,Brisbane,ESE,E,20.0,2008-09-30,6.8,14.9,No,23.0,4.0,ESE,53.0,21.7,0.0
24.9,13.0,59.0,9.7,31.0,7.0,No,1022.0,1024.2,Brisbane,E,NNE,13.0,2008-10-01,6.2,13.4,No,23.7,7.0,ENE,51.0,23.0,0.0
24.7,9.0,56.0,7.6,30.0,6.0,No,1022.6,1025.8,Brisbane,NNE,NE,13.0,2008-10-02,6.8,14.1,No,22.4,7.0,N,52.0,22.0,0.0
26.8,13.0,52.0,10.8,35.0,1.0,No,1019.4,1024.4,Brisbane,N,NNE,17.0,2008-10-03,5.8,13.4,No,24.7,2.0,NNW,54.0,23.7,0.0
27.4,11.0,52.0,11.3,33.0,0.0,No,1016.1,1021.5,Brisbane,NE,NE,17.0,2008-10-04,7.0,13.6,No,25.1,1.0,NNW,52.0,23.4,0.0
28.1,7.0,57.0,10.3,31.0,1.0,No,1015.7,1020.8,Brisbane,ENE,NE,17.0,2008-10-05,6.6,14.3,No,26.7,1.0,N,58.0,24.2,0.0
31.3,15.0,50.0,10.5,39.0,2.0,No,1009.3,1015.5,Brisbane,NW,NNE,13.0,2008-10-06,8.2,15.9,No,27.9,1.0,NNW,52.0,25.2,0.0
24.9,13.0,46.0,11.6,31.0,1.0,No,1014.7,1016.2,Brisbane,E,ENE,17.0,2008-10-07,5.8,16.3,No,22.3,1.0,ESE,43.0,23.3,0.0
28.4,15.0,32.0,11.0,28.0,1.0,No,1014.4,1018.6,Brisbane,W,SW,6.0,2008-10-08,8.2,14.5,No,27.6,1.0,W,15.0,20.7,0.0
24.7,19.0,50.0,5.9,35.0,8.0,Yes,1022.7,1023.8,Brisbane,ESE,ESE,19.0,2008-10-09,10.6,16.4,No,22.0,7.0,ESE,57.0,21.5,0.0
19.3,2.0,87.0,0.0,26.0,8.0,Yes,1026.2,1027.9,Brisbane,E,E,9.0,2008-10-10,4.0,16.2,Yes,18.8,8.0,SSE,65.0,17.8,22.6
19.6,9.0,85.0,0.0,24.0,8.0,Yes,1024.1,1027.3,Brisbane,NE,NE,6.0,2008-10-11,1.4,15.4,Yes,19.2,8.0,S,73.0,16.8,7.6
21.7,6.0,77.0,1.4,20.0,7.0,Yes,1022.4,1025.3,Brisbane,E,ENE,11.0,2008-10-12,1.8,15.6,Yes,21.4,7.0,S,53.0,19.2,2.0
24.3,9.0,72.0,9.4,30.0,2.0,No,1021.4,1024.9,Brisbane,NE,ENE,15.0,2008-10-13,2.2,15.0,Yes,22.9,5.0,WSW,64.0,21.0,1.2
25.0,7.0,61.0,10.7,30.0,2.0,No,1018.3,1022.7,Brisbane,N,NNE,13.0,2008-10-14,5.0,18.0,No,24.1,3.0,N,56.0,21.2,0.0
27.2,7.0,62.0,9.1,35.0,2.0,Yes,1015.0,1017.8,Brisbane,E,E,20.0,2008-10-15,6.2,17.4,No,22.6,6.0,SSW,62.0,22.7,0.2
22.6,19.0,65.0,4.7,41.0,7.0,No,1019.6,1021.2,Brisbane,SE,SE,22.0,2008-10-16,5.6,16.9,Yes,21.5,6.0,SE,54.0,20.3,14.4
23.1,15.0,54.0,8.3,31.0,4.0,No,1021.8,1024.1,Brisbane,ESE,ESE,17.0,2008-10-17,7.2,14.9,No,20.0,6.0,ESE,59.0,19.7,0.2
23.2,9.0,53.0,11.5,35.0,2.0,No,1023.2,1025.2,Brisbane,E,E,17.0,2008-10-18,5.2,12.3,No,21.9,2.0,ESE,44.0,20.3,0.0
23.3,7.0,58.0,11.4,28.0,1.0,No,1022.1,1025.7,Brisbane,ENE,ENE,13.0,2008-10-19,8.2,12.6,No,22.5,2.0,NNW,42.0,19.3,0.0
24.5,2.0,58.0,11.4,28.0,1.0,No,1020.4,1024.3,Brisbane,NE,NE,13.0,2008-10-20,5.6,13.6,No,23.4,2.0,N,48.0,20.4,0.0
25.6,11.0,55.0,11.1,33.0,1.0,Yes,1014.4,1020.3,Brisbane,NNW,NE,13.0,2008-10-21,6.4,14.8,No,23.9,1.0,NNE,59.0,22.6,0.0
25.8,7.0,58.0,9.4,37.0,3.0,No,1009.8,1015.2,Brisbane,ENE,ENE,17.0,2008-10-22,7.4,16.5,Yes,23.4,7.0,S,56.0,21.5,6.6
23.0,13.0,34.0,12.8,35.0,1.0,No,1013.7,1018.8,Brisbane,ENE,NE,9.0,2008-10-23,7.0,10.6,No,22.4,1.0,SSW,21.0,17.3,0.0
24.3,11.0,44.0,12.4,30.0,1.0,No,1016.8,1021.2,Brisbane,S,ENE,13.0,2008-10-24,5.6,12.3,No,22.4,1.0,SSW,40.0,20.0,0.0
23.8,6.0,54.0,10.5,31.0,6.0,No,1015.7,1019.4,Brisbane,ESE,ENE,17.0,2008-10-25,6.8,14.5,No,19.2,4.0,NE,67.0,20.5,0.0
25.2,7.0,57.0,10.2,31.0,6.0,No,1018.2,1020.7,Brisbane,ENE,NE,15.0,2008-10-26,4.8,14.2,No,22.6,3.0,ENE,57.0,22.3,0.0
24.1,7.0,52.0,9.3,28.0,6.0,No,1020.6,1023.1,Brisbane,NE,NE,15.0,2008-10-27,7.0,13.4,No,22.8,7.0,ENE,49.0,20.9,0.0
25.6,6.0,52.0,12.4,30.0,1.0,No,1018.3,1022.3,Brisbane,ESE,NE,15.0,2008-10-28,5.6,13.9,No,24.2,2.0,NNE,51.0,22.6,0.0
25.9,6.0,52.0,11.5,28.0,1.0,No,1018.6,1021.3,Brisbane,ENE,NE,15.0,2008-10-29,7.4,14.6,No,24.9,3.0,ENE,52.0,23.6,0.0
,7.0,58.0,11.3,,3.0,,1020.7,1023.4,Brisbane,,ENE,13.0,2008-10-30,5.4,16.9,No,25.6,3.0,NE,53.0,23.1,0.4
27.9,9.0,57.0,12.1,31.0,1.0,No,1016.3,1020.8,Brisbane,N,NE,15.0,2008-10-31,6.0,,,26.2,2.0,NNE,58.0,25.0,
30.5,7.0,48.0,9.8,41.0,5.0,No,1017.3,1017.9,Brisbane,ESE,ESE,20.0,2008-11-01,8.2,18.7,No,27.7,3.0,SSW,50.0,26.8,0.0
24.5,11.0,69.0,2.5,24.0,8.0,No,1020.2,1023.3,Brisbane,SSE,E,11.0,2008-11-02,7.6,20.3,No,24.0,8.0,SSE,63.0,23.4,0.0
27.8,9.0,67.0,1.2,20.0,8.0,Yes,1013.4,1018.4,Brisbane,NW,NNE,7.0,2008-11-03,5.0,18.6,No,24.5,7.0,W,67.0,23.2,0.2
31.5,11.0,61.0,9.9,37.0,2.0,No,1009.1,1011.3,Brisbane,E,E,22.0,2008-11-04,2.2,20.0,Yes,26.6,6.0,WSW,64.0,27.8,2.8
24.5,7.0,85.0,0.0,26.0,8.0,Yes,1013.0,1016.3,Brisbane,WNW,ENE,7.0,2008-11-05,9.0,19.5,No,19.8,8.0,E,91.0,20.1,0.0
31.0,11.0,71.0,12.2,28.0,1.0,No,1008.8,1012.4,Brisbane,E,NE,15.0,2008-11-06,3.0,19.2,Yes,28.2,6.0,SW,56.0,24.4,23.6
31.3,7.0,68.0,11.8,28.0,3.0,No,1009.6,1013.4,Brisbane,NE,NE,13.0,2008-11-07,4.0,19.1,No,28.3,1.0,SW,63.0,25.9,0.0
30.5,15.0,65.0,4.3,35.0,7.0,Yes,1005.8,1010.0,Brisbane,N,NE,19.0,2008-11-08,6.8,22.9,No,27.3,6.0,NNE,69.0,26.7,0.0
24.0,9.0,70.0,0.1,31.0,7.0,No,1014.3,1013.9,Brisbane,SE,SE,9.0,2008-11-09,5.8,20.5,Yes,22.0,7.0,SSE,67.0,21.3,8.6
27.4,11.0,51.0,12.6,39.0,2.0,No,1015.6,1019.2,Brisbane,S,ESE,13.0,2008-11-10,3.6,16.9,No,25.3,6.0,SSE,48.0,23.3,0.0
26.2,13.0,65.0,10.5,46.0,3.0,No,1014.8,1017.0,Brisbane,SE,SE,20.0,2008-11-11,7.2,17.9,No,24.7,7.0,S,55.0,21.9,0.0
26.7,11.0,62.0,8.1,39.0,7.0,Yes,1013.8,1016.1,Brisbane,SE,ESE,20.0,2008-11-12,7.0,17.7,No,25.2,7.0,SSE,60.0,23.4,0.4
27.5,9.0,86.0,11.0,43.0,3.0,No,1015.6,1017.7,Brisbane,E,ESE,19.0,2008-11-13,4.4,19.2,Yes,25.6,7.0,S,65.0,22.3,8.8
27.6,9.0,75.0,11.3,31.0,3.0,No,1015.3,1018.0,Brisbane,ENE,NE,13.0,2008-11-14,6.6,19.6,No,26.4,5.0,SE,64.0,24.8,1.0
30.0,2.0,62.0,9.6,26.0,3.0,No,1012.1,1016.2,Brisbane,ENE,NE,15.0,2008-11-15,6.8,19.5,No,28.2,7.0,SW,57.0,25.4,0.2
31.9,7.0,61.0,9.7,48.0,7.0,Yes,1007.9,1012.6,Brisbane,SE,NE,15.0,2008-11-16,6.4,21.0,No,28.2,3.0,E,64.0,27.9,0.0
21.7,11.0,74.0,0.0,31.0,8.0,Yes,1015.7,1016.6,Brisbane,SSE,SE,11.0,2008-11-17,10.2,19.6,Yes,18.7,8.0,SE,89.0,21.2,31.8
22.1,7.0,91.0,0.0,22.0,8.0,Yes,1013.7,1016.8,Brisbane,E,ESE,11.0,2008-11-18,3.4,17.0,Yes,20.1,8.0,SE,84.0,18.2,14.6
28.7,6.0,84.0,8.1,28.0,7.0,Yes,1008.5,1013.0,Brisbane,NE,ENE,17.0,2008-11-19,2.8,18.2,Yes,26.8,8.0,SW,70.0,22.0,77.2
29.2,6.0,68.0,8.6,72.0,7.0,Yes,1001.8,1007.4,Brisbane,W,NE,11.0,2008-11-20,6.2,18.4,Yes,27.1,2.0,SW,65.0,23.9,79.4
32.7,13.0,64.0,12.0,37.0,4.0,No,999.6,1004.1,Brisbane,W,W,17.0,2008-11-21,7.4,18.5,Yes,32.3,6.0,WSW,35.0,26.6,28.8
32.1,19.0,41.0,9.3,50.0,5.0,Yes,993.2,997.8,Brisbane,W,WNW,26.0,2008-11-22,6.8,23.0,No,31.6,7.0,WNW,35.0,28.3,0.2
25.2,26.0,27.0,13.2,65.0,0.0,No,996.2,999.9,Brisbane,W,W,28.0,2008-11-23,13.0,16.8,Yes,24.7,1.0,WSW,20.0,20.1,6.6
30.4,13.0,32.0,12.6,37.0,0.0,No,1003.4,1006.3,Brisbane,NW,W,17.0,2008-11-24,12.0,13.8,No,30.1,0.0,W,26.0,23.9,0.0
