Location,Rainfall,Temp.3.pm.F,Wind.Dir.9.am,Wind.Speed.3.pm,Wind.Gust.Dir,Pressure.3.pm,Humidity.9.am,Rain.Today,Wind.Dir.3.pm,Max.Temp.F,Humidity.3.pm,Min.Temp.F,Pressure.9.am,Date,Temp.9.am.F,Wind.Speed.9.am,Wind.Gust.Speed,Rain.Tomorrow
GoldCoast,7.8,82.4,SE,17.0,SE,1015.4,84.0,Yes,SE,86.72,69.0,74.12,1016.6,2009-01-26,79.52,11.0,35.0,Yes
GoldCoast,2.0,83.66,S,31.0,S,1015.4,75.0,Yes,SE,86.36,58.0,72.14,1017.0,2009-01-27,80.06,20.0,48.0,No
GoldCoast,0.4,84.02,SSE,30.0,SE,1015.7,60.0,No,SE,86.53999999999999,59.0,74.3,1016.2,2009-01-28,82.94,28.0,48.0,Yes
GoldCoast,3.4,80.42,SSE,20.0,E,1016.0,68.0,Yes,E,83.12,79.0,72.86,1017.4,2009-01-29,81.14,20.0,54.0,Yes
GoldCoast,6.0,82.4,E,28.0,ESE,1015.4,66.0,Yes,E,86.18,69.0,70.88,1017.5,2009-01-30,82.75999999999999,24.0,57.0,No
GoldCoast,0.6,83.84,SE,24.0,ESE,1015.7,70.0,No,SSE,85.82,65.0,75.56,1017.4,2009-01-31,81.32,24.0,41.0,No
GoldCoast,0.6,83.12,SSE,33.0,SE,1012.9,67.0,No,SE,86.72,64.0,72.32,1015.1,2009-02-01,82.58,28.0,52.0,No
GoldCoast,0.0,84.02,SE,33.0,SE,1010.7,69.0,No,SSE,84.74,59.0,76.1,1012.7,2009-02-02,80.06,35.0,48.0,Yes
GoldCoast,3.8,82.94,SSW,19.0,ESE,1008.3,77.0,Yes,ESE,85.82,67.0,71.06,1010.9,2009-02-03,77.9,13.0,35.0,No
GoldCoast,0.6,84.2,SE,31.0,SSE,1007.7,64.0,No,SE,87.08000000000001,58.0,75.02,1009.3,2009-02-04,83.48,30.0,44.0,No
GoldCoast,0.0,83.84,SSE,31.0,SE,1007.8,63.0,No,SE,86.72,62.0,73.94,1009.0,2009-02-05,83.48,26.0,39.0,No
GoldCoast,0.0,83.66,SSE,31.0,SE,1011.1,57.0,No,SE,87.08000000000001,60.0,73.04,1011.6,2009-02-06,83.48,24.0,41.0,No
GoldCoast,0.0,84.2,SE,30.0,SE,1012.8,62.0,No,SE,86.18,59.0,76.28,1014.6,2009-02-07,83.3,28.0,41.0,No
GoldCoast,0.0,83.3,SSE,17.0,S,1009.5,58.0,No,ESE,86.0,53.0,69.25999999999999,1012.3,2009-02-08,81.86,28.0,37.0,No
GoldCoast,0.0,87.61999999999999,NW,24.0,NW,1007.0,57.0,No,ENE,93.38000000000001,61.0,68.72,1009.5,2009-02-09,83.12,20.0,31.0,No
GoldCoast,0.0,84.2,N,26.0,NNE,1007.5,71.0,No,NNE,88.52,68.0,74.66,1011.1,2009-02-10,82.75999999999999,13.0,37.0,No
GoldCoast,0.0,84.56,N,15.0,S,1005.0,61.0,No,ESE,85.1,65.0,73.94,1005.4,2009-02-11,80.6,13.0,54.0,Yes
GoldCoast,3.8,80.24000000000001,S,33.0,SE,1011.8,68.0,Yes,SSE,85.1,62.0,71.6,1012.1,2009-02-12,76.28,31.0,56.0,Yes
GoldCoast,39.4,71.06,SE,33.0,ESE,1015.7,99.0,Yes,SE,76.1,92.0,69.44,1017.0,2009-02-13,71.06,39.0,74.0,Yes
GoldCoast,39.8,75.92,SE,33.0,SSE,1006.3,99.0,Yes,S,79.34,79.0,69.25999999999999,1012.4,2009-02-14,70.7,37.0,70.0,Yes
GoldCoast,21.0,82.58,ESE,17.0,SSE,1005.3,68.0,Yes,E,84.2,60.0,66.74000000000001,1006.6,2009-02-15,78.62,9.0,37.0,Yes
GoldCoast,1.4,80.78,SSE,39.0,SE,1007.4,65.0,Yes,SE,86.72,70.0,67.28,1009.4,2009-02-16,78.62,11.0,52.0,No
GoldCoast,0.0,78.44,ESE,15.0,ENE,1008.0,69.0,No,E,82.94,83.0,70.34,1009.6,2009-02-17,79.34,9.0,39.0,Yes
GoldCoast,5.6,78.8,S,11.0,ENE,1004.9,93.0,Yes,WSW,83.48,79.0,72.32,1008.0,2009-02-18,76.1,13.0,39.0,No
GoldCoast,1.0,84.74,ESE,20.0,NE,1006.2,76.0,No,NE,87.26,67.0,70.34,1009.3,2009-02-19,80.42,9.0,28.0,Yes
GoldCoast,4.2,81.86,NW,30.0,SSW,1009.4,72.0,Yes,SSE,88.7,68.0,72.68,1010.9,2009-02-20,81.32,2.0,41.0,Yes
GoldCoast,6.8,80.6,SSW,26.0,SSE,1009.6,78.0,Yes,SE,85.46000000000001,74.0,71.06,1011.4,2009-02-21,76.64,6.0,57.0,Yes
GoldCoast,29.2,79.7,SSE,31.0,SE,1013.7,75.0,Yes,SE,84.74,72.0,70.52,1014.6,2009-02-22,81.32,33.0,52.0,Yes
GoldCoast,1.6,83.3,SSE,28.0,SE,1015.4,70.0,Yes,SE,84.91999999999999,60.0,72.14,1016.9,2009-02-23,81.68,22.0,35.0,No
GoldCoast,0.0,85.1,SSE,19.0,ENE,1015.4,61.0,No,ENE,87.08000000000001,56.0,68.72,1017.2,2009-02-24,80.96,15.0,30.0,No
GoldCoast,0.0,81.86,E,13.0,ENE,1014.1,62.0,No,ENE,86.0,58.0,69.98,1016.5,2009-02-25,80.6,6.0,24.0,No
GoldCoast,0.0,82.75999999999999,S,39.0,SSE,1013.2,61.0,No,SSE,85.64,59.0,70.34,1015.1,2009-02-26,82.22,22.0,69.0,Yes
GoldCoast,8.6,79.16,S,46.0,SE,1012.1,53.0,Yes,SSE,83.66,60.0,68.72,1014.7,2009-02-27,77.18,24.0,57.0,No
GoldCoast,0.0,85.46000000000001,NNW,26.0,NNE,1008.9,55.0,No,NNE,89.06,59.0,66.02,1012.3,2009-02-28,78.62,9.0,33.0,No
GoldCoast,0.0,85.28,NW,24.0,NNW,1007.6,53.0,No,NNE,92.48,58.0,70.16,1010.3,2009-03-01,83.66,20.0,33.0,No
GoldCoast,0.0,81.68,SSE,28.0,SE,1012.8,69.0,No,SE,87.08000000000001,74.0,75.02,1014.0,2009-03-02,83.12,17.0,33.0,No
GoldCoast,0.0,82.75999999999999,SSE,11.0,SSE,1014.4,75.0,No,ESE,85.82,69.0,75.38,1016.9,2009-03-03,79.88,22.0,31.0,Yes
GoldCoast,9.8,81.86,N,35.0,NNE,1009.5,76.0,Yes,NNE,85.46000000000001,68.0,73.04,1014.1,2009-03-04,80.6,11.0,44.0,Yes
GoldCoast,4.0,79.88,WNW,19.0,SSE,1007.4,59.0,Yes,ESE,82.22,50.0,69.44,1008.6,2009-03-05,79.52,9.0,37.0,No
GoldCoast,0.0,84.02,SE,22.0,NE,1010.7,56.0,No,NE,86.18,49.0,66.56,1013.0,2009-03-06,78.8,11.0,30.0,No
GoldCoast,0.0,84.2,NNW,19.0,NNE,1011.5,59.0,No,NE,86.53999999999999,54.0,69.08,1014.4,2009-03-07,80.06,9.0,28.0,No
GoldCoast,0.0,82.58,ESE,31.0,SE,1013.5,59.0,No,SE,85.46000000000001,56.0,69.62,1015.1,2009-03-08,81.86,20.0,46.0,No
GoldCoast,0.0,78.98,SE,44.0,SE,1014.0,66.0,No,SE,82.58,69.0,75.56,1016.5,2009-03-09,78.25999999999999,43.0,65.0,Yes
GoldCoast,3.6,72.86,SSE,39.0,ESE,1014.0,78.0,Yes,ESE,80.24000000000001,76.0,71.96,1015.3,2009-03-10,77.18,44.0,72.0,Yes
GoldCoast,8.4,77.54,SSE,44.0,SE,1015.9,87.0,Yes,SE,79.52,72.0,70.16,1017.3,2009-03-11,73.4,44.0,76.0,Yes
GoldCoast,2.4,79.34,SSE,35.0,SE,1018.0,77.0,Yes,SE,81.14,64.0,71.06,1019.9,2009-03-12,75.56,31.0,57.0,No
GoldCoast,0.8,77.0,SSE,17.0,ESE,1015.7,79.0,No,SSE,80.42,69.0,71.24000000000001,1018.1,2009-03-13,74.3,13.0,44.0,No
GoldCoast,1.0,80.96,E,13.0,E,1013.1,66.0,No,ESE,83.12,62.0,67.82,1016.6,2009-03-14,78.62,17.0,28.0,No
GoldCoast,0.0,83.66,ENE,20.0,NE,1010.1,61.0,No,NE,85.64,54.0,67.82,1014.5,2009-03-15,81.32,4.0,28.0,No
GoldCoast,0.0,84.38000000000001,NW,30.0,SSE,1007.2,63.0,No,NNE,87.8,65.0,68.9,1012.1,2009-03-16,81.5,19.0,70.0,Yes
GoldCoast,21.2,82.04,NW,19.0,ESE,1010.2,65.0,Yes,E,82.4,68.0,65.66,1012.0,2009-03-17,77.0,7.0,28.0,No
GoldCoast,0.0,80.42,SSE,35.0,SSE,1014.2,66.0,No,SSE,83.84,61.0,71.78,1016.5,2009-03-18,79.7,31.0,46.0,No
GoldCoast,0.0,78.62,S,20.0,SSE,1014.4,72.0,No,SE,80.78,72.0,72.14,1016.7,2009-03-19,77.54,22.0,41.0,No
GoldCoast,0.0,79.16,SSE,35.0,ESE,1012.7,67.0,No,SE,84.38000000000001,68.0,70.16,1015.5,2009-03-20,80.24000000000001,28.0,50.0,Yes
GoldCoast,5.2,79.7,S,37.0,SE,1012.5,78.0,Yes,SSE,81.68,60.0,69.25999999999999,1014.8,2009-03-21,74.3,30.0,61.0,No
GoldCoast,1.0,79.88,SSE,35.0,SSE,1013.0,62.0,No,SE,82.4,60.0,67.46,1015.0,2009-03-22,78.62,31.0,50.0,No
GoldCoast,0.6,80.42,SSE,28.0,SE,1015.4,63.0,No,SE,83.3,55.0,67.64,1017.0,2009-03-23,78.98,24.0,41.0,No
GoldCoast,0.0,79.7,SSE,28.0,SSE,1017.5,59.0,No,SSE,82.4,53.0,65.66,1019.3,2009-03-24,78.98,28.0,39.0,No
GoldCoast,0.0,80.6,SSE,26.0,SSE,1019.8,55.0,No,SSE,83.48,53.0,65.48,1021.9,2009-03-25,78.8,26.0,37.0,No
GoldCoast,0.0,80.06,SSE,24.0,SSE,1018.8,59.0,No,SE,82.75999999999999,52.0,67.1,1021.7,2009-03-26,80.06,22.0,35.0,No
GoldCoast,0.0,79.7,SSE,33.0,SSE,1017.1,63.0,No,SE,83.12,61.0,64.94,1019.3,2009-03-27,78.98,13.0,69.0,Yes
GoldCoast,8.2,78.98,S,44.0,SSE,1018.0,71.0,Yes,SSE,80.96,58.0,68.0,1020.1,2009-03-28,76.28,33.0,65.0,Yes
GoldCoast,1.2,79.52,SSE,43.0,SSE,1015.8,69.0,Yes,SSE,81.14,60.0,67.82,1018.8,2009-03-29,76.82,33.0,69.0,Yes
GoldCoast,21.0,69.62,SSE,39.0,SSE,1011.7,85.0,Yes,S,75.92,91.0,68.36,1013.7,2009-03-30,72.32,44.0,80.0,Yes
GoldCoast,3.0,86.18,WNW,20.0,WNW,1006.5,64.0,Yes,WNW,86.72,47.0,67.46,1008.5,2009-03-31,75.38,20.0,30.0,No
GoldCoast,0.0,79.16,SSE,28.0,SE,1011.4,73.0,No,SE,82.58,72.0,67.1,1012.7,2009-04-01,78.62,19.0,59.0,Yes
GoldCoast,33.4,72.5,SE,37.0,SE,1015.6,99.0,Yes,SSE,76.64,100.0,69.98,1016.1,2009-04-02,71.96,56.0,81.0,Yes
GoldCoast,118.2,80.78,ESE,20.0,ENE,1015.3,90.0,Yes,E,80.96,75.0,69.8,1018.1,2009-04-03,76.1,19.0,50.0,Yes
GoldCoast,143.8,77.72,SW,13.0,SSE,1013.5,100.0,Yes,ENE,81.68,79.0,69.98,1016.8,2009-04-04,72.86,7.0,44.0,Yes
GoldCoast,4.6,77.36,SSE,35.0,SE,1012.5,74.0,Yes,SE,81.14,78.0,68.54,1015.5,2009-04-05,77.0,31.0,48.0,Yes
GoldCoast,2.0,78.25999999999999,S,35.0,SSE,1013.4,99.0,Yes,SSE,80.78,75.0,68.72,1016.0,2009-04-06,70.88,24.0,46.0,Yes
GoldCoast,16.0,74.84,SSE,50.0,SSE,1018.8,84.0,Yes,SSE,78.25999999999999,64.0,67.64,1020.1,2009-04-07,71.78,37.0,67.0,No
GoldCoast,0.4,75.92,S,39.0,SSE,1020.6,61.0,No,SSE,78.98,61.0,67.1,1023.0,2009-04-08,74.66,33.0,52.0,Yes
GoldCoast,1.8,76.28,S,30.0,SSE,1020.2,73.0,Yes,SSE,77.0,65.0,64.75999999999999,1022.7,2009-04-09,71.6,30.0,52.0,Yes
GoldCoast,14.4,74.84,SSE,24.0,SSE,1021.5,83.0,Yes,SSE,77.18,72.0,63.86,1023.5,2009-04-10,70.34,24.0,31.0,No
GoldCoast,0.8,72.86,SSE,7.0,SE,1022.9,68.0,No,SSW,79.52,85.0,64.94,1024.4,2009-04-11,76.46,24.0,37.0,Yes
GoldCoast,4.6,74.66,SSE,24.0,SSE,1020.3,89.0,Yes,SE,77.36,83.0,67.28,1023.3,2009-04-12,73.04,17.0,28.0,Yes
GoldCoast,3.0,75.02,S,17.0,E,1016.5,99.0,Yes,ESE,78.25999999999999,88.0,68.54,1019.9,2009-04-13,71.42,17.0,44.0,Yes
GoldCoast,42.6,77.54,E,11.0,E,1011.7,76.0,Yes,ENE,81.86,73.0,70.34,1014.5,2009-04-14,77.18,17.0,56.0,No
GoldCoast,0.0,79.34,SSE,20.0,ESE,1009.5,79.0,No,SE,83.12,70.0,67.82,1012.3,2009-04-15,77.18,11.0,26.0,No
GoldCoast,0.0,79.34,W,31.0,SSE,1011.5,56.0,No,SSE,83.3,47.0,65.3,1013.8,2009-04-16,78.44,4.0,39.0,No
GoldCoast,0.0,78.08,NW,15.0,SSE,1011.8,54.0,No,ESE,81.32,59.0,61.519999999999996,1014.1,2009-04-17,75.02,13.0,50.0,No
GoldCoast,0.0,77.0,SSE,31.0,SSE,1012.9,48.0,No,SSE,79.7,60.0,61.88,1015.7,2009-04-18,75.74000000000001,31.0,52.0,No
GoldCoast,0.0,78.8,S,20.0,S,1010.2,47.0,No,S,80.24000000000001,40.0,60.440000000000005,1013.4,2009-04-19,73.4,19.0,44.0,No
GoldCoast,0.0,75.92,SSW,17.0,S,1009.9,52.0,No,SSW,81.14,49.0,62.059999999999995,1011.7,2009-04-20,73.94,22.0,54.0,No
GoldCoast,0.0,75.56,SSW,28.0,S,1012.7,56.0,No,S,77.9,55.0,64.94,1013.7,2009-04-21,74.66,20.0,57.0,No
GoldCoast,0.0,75.74000000000001,S,31.0,SSE,1014.7,58.0,No,S,80.6,57.0,64.75999999999999,1017.3,2009-04-22,71.96,28.0,67.0,No
GoldCoast,0.0,77.9,S,22.0,S,1014.9,57.0,No,S,80.24000000000001,44.0,63.86,1017.3,2009-04-23,73.4,24.0,46.0,No
GoldCoast,0.0,75.92,SSW,28.0,NNE,1011.0,54.0,No,NNE,79.16,63.0,60.08,1015.9,2009-04-24,73.4,6.0,31.0,No
GoldCoast,0.0,79.16,NNW,28.0,NW,1007.1,64.0,No,NNE,82.58,63.0,63.32,1011.0,2009-04-25,74.12,24.0,39.0,No
GoldCoast,0.0,83.12,NW,28.0,NW,1007.1,52.0,No,NW,84.02,30.0,66.38,1010.9,2009-04-26,75.74000000000001,13.0,48.0,No
GoldCoast,0.0,79.52,WNW,15.0,W,1012.3,47.0,No,NW,81.68,32.0,58.459999999999994,1014.9,2009-04-27,74.84,13.0,31.0,No
GoldCoast,0.0,76.46,NW,17.0,NE,1016.1,38.0,No,NE,78.44,32.0,54.86,1019.9,2009-04-28,70.34,11.0,24.0,No
GoldCoast,0.0,76.82,WSW,15.0,ESE,1016.1,43.0,No,ENE,78.62,46.0,57.56,1019.6,2009-04-29,71.6,9.0,20.0,No
GoldCoast,0.0,80.24000000000001,WNW,15.0,SE,1013.8,56.0,No,W,80.96,26.0,57.56,1016.9,2009-04-30,72.86,13.0,52.0,No
GoldCoast,0.0,73.58,S,22.0,SSE,1019.8,57.0,No,SSE,76.82,51.0,60.440000000000005,1021.9,2009-05-01,71.96,26.0,44.0,No
GoldCoast,0.2,72.68,SSE,20.0,SE,1020.5,57.0,No,SE,76.64,53.0,60.8,1023.3,2009-05-02,72.5,17.0,44.0,No
GoldCoast,0.0,74.3,S,33.0,SE,1021.6,59.0,No,SSE,77.18,55.0,59.72,1023.8,2009-05-03,70.16,22.0,48.0,No
GoldCoast,0.0,72.5,S,30.0,SE,1023.7,56.0,No,SSE,76.28,62.0,59.9,1025.0,2009-05-04,71.06,26.0,61.0,No
GoldCoast,0.0,72.32,S,26.0,S,1024.0,59.0,No,S,76.46,52.0,60.26,1026.6,2009-05-05,72.32,28.0,41.0,No
GoldCoast,0.0,69.62,S,30.0,SSE,1021.8,63.0,No,S,75.02,68.0,59.9,1025.4,2009-05-06,67.64,26.0,56.0,Yes
GoldCoast,9.0,72.68,S,20.0,SE,1020.4,70.0,Yes,SE,74.84,63.0,61.34,1023.7,2009-05-07,68.18,13.0,39.0,No
GoldCoast,0.0,75.02,SSW,28.0,SSE,1020.9,54.0,No,SSE,77.54,47.0,58.64,1023.4,2009-05-08,70.7,11.0,41.0,No
GoldCoast,0.0,73.04,SSW,26.0,S,1018.0,59.0,No,SE,76.1,62.0,61.16,1021.7,2009-05-09,70.34,13.0,39.0,No
GoldCoast,0.0,75.2,S,31.0,SSE,1017.6,50.0,No,SSE,76.82,48.0,57.02,1019.8,2009-05-10,69.98,15.0,56.0,No
GoldCoast,0.0,71.78,S,33.0,SSE,1018.9,58.0,No,SSE,74.48,53.0,60.62,1021.4,2009-05-11,69.25999999999999,30.0,50.0,No
GoldCoast,0.0,69.62,S,13.0,E,1016.8,60.0,No,ESE,73.22,60.0,56.120000000000005,1020.3,2009-05-12,67.1,13.0,28.0,No
GoldCoast,0.0,76.28,NW,13.0,NW,1013.5,70.0,No,WNW,77.0,40.0,55.94,1017.7,2009-05-13,66.56,9.0,30.0,No
GoldCoast,0.0,75.92,W,9.0,WNW,1013.0,55.0,No,WSW,78.08,29.0,55.04,1016.4,2009-05-14,67.82,9.0,30.0,No
GoldCoast,0.0,75.02,NW,15.0,NW,1013.8,53.0,No,NW,76.82,26.0,51.8,1017.1,2009-05-15,65.3,15.0,31.0,No
GoldCoast,0.0,77.0,W,22.0,WNW,1011.7,32.0,No,NW,78.8,29.0,53.42,1015.4,2009-05-16,71.42,15.0,33.0,No
GoldCoast,0.0,73.4,SSE,30.0,SSE,1015.1,48.0,No,SSE,79.16,57.0,54.5,1016.3,2009-05-17,72.5,13.0,41.0,No
