wind dir 9 am,wind gust dir,date,wind speed 9 am,wind dir 3 pm,max temp c,temp 9 am c,humidity 3 pm,humidity 9 am,rain today,temp 3 pm c,location,wind gust speed,wind speed 3 pm,rain tomorrow,min temp c,rainfall
E,SE,2009-02-02,20.0,E,34.0,24.3,41.0,65.0,No,33.1,SalmonGums,35.0,17.0,No,17.6,0.0
NNW,SSW,2009-02-03,13.0,S,38.6,27.5,46.0,56.0,No,34.0,SalmonGums,44.0,31.0,No,17.2,0.0
S,S,2009-02-04,17.0,SSE,25.7,19.2,55.0,90.0,No,24.2,SalmonGums,46.0,30.0,No,18.2,0.0
E,,2009-02-05,17.0,ENE,,18.0,52.0,76.0,No,25.6,SalmonGums,,13.0,,13.9,0.0
ESE,E,2009-02-06,11.0,S,22.7,19.3,83.0,79.0,,19.6,SalmonGums,33.0,20.0,No,,
SSW,SSE,2009-02-07,20.0,S,22.2,19.1,58.0,61.0,No,20.6,SalmonGums,44.0,24.0,No,12.6,0.0
E,ESE,2009-02-08,15.0,SE,25.1,17.9,38.0,54.0,No,24.5,SalmonGums,43.0,22.0,No,6.2,0.0
E,ESE,2009-02-09,24.0,E,25.3,20.0,41.0,57.0,No,24.5,SalmonGums,46.0,26.0,No,9.1,0.0
ENE,E,2009-02-10,26.0,ENE,27.0,19.5,31.0,49.0,No,26.4,SalmonGums,48.0,22.0,No,13.7,0.0
NE,NNE,2009-02-11,30.0,ENE,28.9,17.7,31.0,58.0,No,27.7,SalmonGums,46.0,15.0,No,14.9,0.0
NNE,NNE,2009-02-12,24.0,NE,33.2,19.4,22.0,56.0,No,31.4,SalmonGums,48.0,20.0,No,14.1,0.0
SSW,S,2009-02-13,6.0,S,28.4,23.1,52.0,36.0,No,26.6,SalmonGums,39.0,20.0,No,18.3,0.0
ENE,E,2009-02-14,28.0,ENE,35.6,22.6,14.0,53.0,No,34.6,SalmonGums,57.0,35.0,No,19.5,0.0
ENE,ENE,2009-02-15,30.0,NNE,33.6,19.6,24.0,63.0,No,31.4,SalmonGums,54.0,28.0,No,18.0,0.0
NNE,S,2009-02-16,13.0,SSW,35.9,25.6,36.0,31.0,No,30.0,SalmonGums,48.0,20.0,No,18.7,0.0
SSE,S,2009-02-17,22.0,SSE,26.6,18.7,47.0,79.0,No,25.0,SalmonGums,43.0,24.0,No,16.6,1.0
ESE,S,2009-02-18,20.0,SE,22.8,17.4,52.0,69.0,No,21.4,SalmonGums,37.0,17.0,No,15.4,0.0
ESE,SE,2009-02-19,19.0,ESE,27.4,18.3,34.0,69.0,No,25.5,SalmonGums,44.0,19.0,No,5.7,0.0
ENE,SE,2009-02-20,19.0,ENE,28.9,17.6,26.0,67.0,No,28.1,SalmonGums,39.0,20.0,No,9.4,0.0
NNE,N,2009-02-21,26.0,NE,32.2,18.8,26.0,66.0,No,30.1,SalmonGums,37.0,17.0,No,13.0,0.0
SSW,S,2009-02-22,17.0,S,27.6,26.3,50.0,36.0,No,24.7,SalmonGums,48.0,31.0,No,17.7,0.0
E,NE,2009-02-23,26.0,NE,30.1,17.1,34.0,59.0,No,27.4,SalmonGums,41.0,17.0,No,11.9,0.0
NE,NE,2009-02-24,30.0,NE,29.2,18.3,52.0,80.0,No,27.1,SalmonGums,50.0,26.0,No,16.6,0.0
SSW,WSW,2009-02-25,15.0,NE,25.2,18.5,63.0,88.0,No,24.3,SalmonGums,46.0,13.0,No,15.1,0.6
WSW,SW,2009-02-26,19.0,SSW,25.3,15.5,25.0,67.0,No,24.0,SalmonGums,48.0,20.0,No,11.5,0.2
ENE,SSE,2009-02-27,13.0,ENE,26.8,16.9,33.0,79.0,No,25.1,SalmonGums,37.0,13.0,No,6.6,0.0
ENE,ENE,2009-02-28,19.0,ENE,29.6,17.0,33.0,82.0,No,28.5,SalmonGums,46.0,26.0,No,12.7,0.0
NE,NE,2009-03-01,19.0,NNE,26.1,17.8,61.0,84.0,No,24.8,SalmonGums,43.0,22.0,No,16.8,0.0
NW,SW,2009-03-02,19.0,SSW,22.6,22.4,77.0,82.0,No,18.9,SalmonGums,63.0,24.0,No,17.8,0.0
WSW,SSW,2009-03-03,17.0,SSW,20.0,13.2,39.0,67.0,No,18.3,SalmonGums,41.0,24.0,No,7.8,0.0
ESE,SE,2009-03-04,15.0,ESE,24.2,15.8,37.0,64.0,No,22.2,SalmonGums,39.0,19.0,No,6.1,0.0
ENE,SSE,2009-03-05,19.0,SE,26.6,15.5,35.0,73.0,No,25.0,SalmonGums,30.0,15.0,No,6.3,0.0
NNW,S,2009-03-06,13.0,S,27.7,18.6,39.0,71.0,No,25.6,SalmonGums,46.0,24.0,No,7.5,0.0
SE,E,2009-03-07,17.0,SE,23.3,16.3,43.0,68.0,No,22.2,SalmonGums,37.0,19.0,No,10.7,0.0
NE,ENE,2009-03-08,15.0,E,26.8,15.6,35.0,77.0,No,25.3,SalmonGums,41.0,17.0,No,5.9,0.0
NNE,ENE,2009-03-09,17.0,W,29.2,17.5,27.0,61.0,No,28.1,SalmonGums,35.0,7.0,No,9.4,0.0
NNE,ENE,2009-03-10,17.0,NNE,31.3,19.1,21.0,68.0,No,29.6,SalmonGums,37.0,15.0,No,11.7,0.0
N,S,2009-03-11,20.0,WNW,35.8,21.3,17.0,54.0,No,33.6,SalmonGums,52.0,13.0,No,16.0,0.0
SE,SE,2009-03-12,13.0,SE,23.6,16.8,53.0,83.0,No,22.7,SalmonGums,31.0,7.0,No,15.7,0.0
SSW,SSE,2009-03-13,24.0,S,24.9,17.7,58.0,61.0,No,20.2,SalmonGums,54.0,35.0,No,12.3,0.0
ESE,SSE,2009-03-14,17.0,E,26.0,16.1,28.0,55.0,No,24.7,SalmonGums,33.0,13.0,No,5.9,0.0
NE,NE,2009-03-15,24.0,ENE,26.7,15.4,30.0,67.0,No,25.2,SalmonGums,37.0,22.0,No,10.8,0.0
NNE,N,2009-03-16,24.0,N,35.1,19.5,21.0,58.0,No,32.7,SalmonGums,44.0,24.0,No,13.4,0.0
NNW,SW,2009-03-17,19.0,WNW,37.6,27.2,14.0,24.0,No,36.4,SalmonGums,56.0,22.0,No,19.3,0.0
SW,SSW,2009-03-18,22.0,SW,25.4,17.6,36.0,63.0,No,24.2,SalmonGums,43.0,13.0,No,13.9,0.0
NNE,NNW,2009-03-19,13.0,NNW,28.9,16.1,28.0,75.0,No,26.6,SalmonGums,35.0,17.0,No,6.9,0.0
WSW,SSW,2009-03-20,20.0,W,28.8,17.2,25.0,59.0,No,27.7,SalmonGums,50.0,24.0,No,13.6,0.0
SSW,S,2009-03-21,13.0,WNW,24.7,16.3,35.0,64.0,No,22.8,SalmonGums,33.0,13.0,No,14.5,0.0
NNE,NNE,2009-03-22,20.0,WNW,31.1,16.8,27.0,72.0,No,30.4,SalmonGums,39.0,13.0,No,6.3,0.0
S,S,2009-03-23,20.0,S,27.4,18.6,33.0,77.0,No,25.6,SalmonGums,50.0,17.0,No,15.0,0.0
SSW,WNW,2009-03-24,13.0,SSW,25.4,18.0,45.0,74.0,No,23.5,SalmonGums,30.0,9.0,No,12.4,0.0
SE,S,2009-03-25,6.0,S,28.2,17.1,33.0,79.0,No,27.8,SalmonGums,44.0,17.0,No,9.4,0.0
ENE,N,2009-03-26,19.0,NE,30.5,17.1,35.0,82.0,No,28.5,SalmonGums,37.0,15.0,No,9.9,0.0
N,N,2009-03-27,20.0,NNW,34.3,21.9,21.0,55.0,No,33.0,SalmonGums,39.0,19.0,No,17.1,0.0
SSW,SSE,2009-03-28,17.0,SSE,26.3,19.4,51.0,81.0,No,23.8,SalmonGums,46.0,24.0,No,15.0,0.0
SE,SE,2009-03-29,28.0,SE,17.4,15.4,87.0,92.0,No,16.3,SalmonGums,44.0,30.0,No,14.5,0.4
E,SE,2009-03-30,26.0,ENE,22.5,17.3,90.0,85.0,No,17.9,SalmonGums,50.0,26.0,No,14.8,0.0
S,S,2009-03-31,13.0,S,21.2,17.7,85.0,95.0,No,18.9,SalmonGums,33.0,26.0,No,13.4,0.0
SSW,SSW,2009-04-01,20.0,S,18.3,14.1,66.0,92.0,No,17.4,SalmonGums,43.0,22.0,No,13.6,0.0
S,WSW,2009-04-02,9.0,SSW,21.4,15.0,41.0,76.0,No,20.1,SalmonGums,33.0,13.0,No,5.1,0.0
SSE,SSE,2009-04-03,19.0,SSE,21.0,16.1,43.0,58.0,No,19.4,SalmonGums,33.0,19.0,No,3.8,0.0
E,SSE,2009-04-04,13.0,SE,22.9,15.6,38.0,61.0,No,21.8,SalmonGums,37.0,17.0,No,3.3,0.0
E,ESE,2009-04-05,17.0,SE,22.1,14.9,40.0,62.0,No,20.5,SalmonGums,50.0,17.0,No,8.4,0.0
NE,E,2009-04-06,22.0,ENE,23.1,15.9,49.0,75.0,No,22.3,SalmonGums,41.0,20.0,No,5.9,0.0
NE,NE,2009-04-07,30.0,NE,24.4,16.5,32.0,68.0,No,23.9,SalmonGums,41.0,22.0,No,8.5,0.0
N,N,2009-04-08,24.0,NW,27.6,17.8,20.0,53.0,No,27.0,SalmonGums,35.0,9.0,No,8.7,0.0
WNW,SSW,2009-04-09,20.0,S,27.2,20.4,48.0,30.0,No,24.0,SalmonGums,41.0,31.0,No,9.6,0.0
E,ENE,2009-04-10,13.0,E,26.0,17.6,35.0,72.0,No,25.5,SalmonGums,28.0,11.0,No,7.8,0.0
NW,W,2009-04-11,15.0,S,32.1,21.7,22.0,39.0,No,28.5,SalmonGums,33.0,22.0,No,10.0,0.0
ESE,SSE,2009-04-12,17.0,E,28.7,18.3,30.0,79.0,No,27.1,SalmonGums,39.0,20.0,No,14.4,0.0
NE,ENE,2009-04-13,15.0,E,28.4,18.5,26.0,65.0,No,27.7,SalmonGums,37.0,9.0,No,14.2,0.0
SSE,SSE,2009-04-14,17.0,SSE,24.7,17.9,58.0,75.0,No,22.3,SalmonGums,44.0,28.0,No,11.5,0.0
SE,S,2009-04-15,17.0,E,22.4,15.9,42.0,60.0,No,21.9,SalmonGums,33.0,9.0,No,7.4,0.0
NE,SE,2009-04-16,11.0,SSE,24.4,14.6,33.0,70.0,No,23.5,SalmonGums,28.0,9.0,No,2.5,0.0
NNE,NNW,2009-04-17,17.0,ESE,28.1,18.8,32.0,63.0,No,27.1,SalmonGums,48.0,13.0,No,7.2,0.0
NE,ENE,2009-04-18,19.0,ENE,25.3,19.2,48.0,65.0,No,24.2,SalmonGums,43.0,26.0,No,10.5,0.0
ENE,ENE,2009-04-19,20.0,E,25.4,18.7,51.0,76.0,No,24.6,SalmonGums,30.0,13.0,No,16.1,0.0
NE,SE,2009-04-20,11.0,E,26.5,17.9,43.0,86.0,No,25.2,SalmonGums,28.0,13.0,No,10.8,0.0
N,NE,2009-04-21,17.0,NNW,27.9,21.2,32.0,63.0,No,26.0,SalmonGums,31.0,11.0,No,8.4,0.0
SW,S,2009-04-22,17.0,SSW,22.5,19.6,64.0,69.0,No,18.7,SalmonGums,52.0,22.0,No,10.3,0.0
SW,SSW,2009-04-23,22.0,SSW,17.0,12.1,65.0,82.0,No,15.7,SalmonGums,44.0,24.0,No,8.2,0.0
W,SSW,2009-04-24,20.0,W,23.6,15.9,37.0,73.0,No,22.8,SalmonGums,39.0,20.0,No,9.7,0.2
SW,SSW,2009-04-25,20.0,SSW,20.5,16.1,67.0,72.0,No,18.4,SalmonGums,43.0,22.0,No,11.3,0.2
WNW,W,2009-04-26,9.0,SSW,21.9,14.0,46.0,96.0,No,20.3,SalmonGums,26.0,13.0,No,5.9,0.0
N,WNW,2009-04-27,6.0,ENE,23.6,16.6,42.0,79.0,No,22.5,SalmonGums,20.0,6.0,No,5.9,0.0
SE,SE,2009-04-28,19.0,SSE,23.1,18.1,39.0,64.0,No,22.3,SalmonGums,31.0,15.0,No,5.5,0.0
N,NW,2009-04-29,19.0,NW,25.5,16.7,32.0,74.0,No,24.8,SalmonGums,35.0,13.0,No,3.7,0.0
SSE,S,2009-04-30,19.0,S,21.1,15.6,50.0,82.0,No,18.5,SalmonGums,35.0,24.0,No,11.6,0.0
ESE,SSE,2009-05-01,7.0,S,20.5,15.1,36.0,60.0,No,19.6,SalmonGums,24.0,9.0,No,1.5,0.0
N,N,2009-05-02,15.0,ENE,22.0,15.9,33.0,56.0,No,21.5,SalmonGums,26.0,13.0,No,0.7,0.0
N,NW,2009-05-03,19.0,SE,22.9,16.4,31.0,51.0,No,21.7,SalmonGums,33.0,7.0,No,2.8,0.0
NNW,NNW,2009-05-04,13.0,ESE,23.4,14.9,32.0,65.0,No,21.9,SalmonGums,31.0,13.0,No,4.0,0.0
N,SE,2009-05-05,11.0,SE,23.1,16.6,32.0,56.0,No,22.0,SalmonGums,33.0,22.0,No,1.4,0.0
N,E,2009-05-06,9.0,E,22.6,15.1,39.0,88.0,No,20.7,SalmonGums,26.0,15.0,No,5.5,0.2
NE,E,2009-05-07,15.0,ENE,21.3,14.4,38.0,78.0,No,19.4,SalmonGums,31.0,11.0,No,6.7,0.0
,ESE,2009-05-08,0.0,NE,21.4,13.2,41.0,95.0,No,20.8,SalmonGums,30.0,19.0,No,2.9,0.0
N,N,2009-05-09,15.0,N,21.7,14.6,39.0,73.0,No,21.1,SalmonGums,24.0,7.0,No,6.0,0.0
N,NNW,2009-05-10,22.0,WNW,20.7,15.8,32.0,51.0,No,20.2,SalmonGums,35.0,7.0,No,3.3,0.0
NNW,W,2009-05-11,11.0,SSE,23.7,18.5,25.0,33.0,No,21.9,SalmonGums,24.0,6.0,No,10.0,0.0
SSW,SE,2009-05-12,7.0,S,22.5,14.8,29.0,71.0,No,21.4,SalmonGums,41.0,9.0,No,7.6,0.0
,SSE,2009-05-13,0.0,SSE,19.0,12.6,53.0,95.0,No,17.7,SalmonGums,24.0,17.0,No,6.5,0.4
NW,S,2009-05-14,13.0,SSW,20.0,12.4,37.0,74.0,No,19.1,SalmonGums,30.0,13.0,No,0.9,0.0
NW,NW,2009-05-15,13.0,SSW,21.5,14.9,31.0,61.0,No,20.6,SalmonGums,26.0,11.0,No,1.8,0.0
N,NNW,2009-05-16,13.0,NNE,21.8,15.3,30.0,54.0,No,20.3,SalmonGums,24.0,9.0,No,3.5,0.0
N,NNW,2009-05-17,17.0,NNW,22.2,17.7,28.0,43.0,No,21.2,SalmonGums,35.0,9.0,No,4.2,0.0
NNW,NNW,2009-05-18,20.0,N,25.1,16.2,22.0,49.0,No,24.9,SalmonGums,33.0,9.0,No,3.7,0.0
WNW,W,2009-05-19,13.0,SW,23.9,14.9,30.0,65.0,No,23.0,SalmonGums,24.0,11.0,No,4.6,0.0
N,N,2009-05-20,17.0,N,25.9,18.7,24.0,45.0,No,24.9,SalmonGums,37.0,20.0,No,5.6,0.0
N,N,2009-05-21,28.0,N,27.3,20.9,20.0,26.0,No,26.5,SalmonGums,72.0,41.0,No,18.5,0.0
WNW,WNW,2009-05-22,28.0,WNW,16.5,12.3,61.0,77.0,No,11.9,SalmonGums,72.0,39.0,No,10.7,0.4
W,W,2009-05-23,28.0,SSW,16.6,12.1,68.0,71.0,No,12.5,SalmonGums,59.0,26.0,No,9.6,0.2
W,WSW,2009-05-24,15.0,W,16.1,9.2,55.0,95.0,No,15.6,SalmonGums,30.0,15.0,No,5.6,0.2
WNW,NE,2009-05-25,6.0,NNE,14.7,10.0,56.0,96.0,No,14.2,SalmonGums,20.0,6.0,No,2.8,0.2
NE,NE,2009-05-26,13.0,NE,18.6,12.4,43.0,77.0,No,17.6,SalmonGums,35.0,13.0,No,-0.7,0.0
NE,E,2009-05-27,19.0,ENE,18.8,11.3,42.0,86.0,No,17.1,SalmonGums,31.0,22.0,No,0.9,0.0
E,E,2009-05-28,17.0,E,19.8,11.9,44.0,91.0,No,17.9,SalmonGums,31.0,13.0,No,8.1,0.0
NE,NE,2009-05-29,7.0,E,18.9,10.3,38.0,95.0,No,18.4,SalmonGums,35.0,24.0,No,0.4,0.0
NE,NNE,2009-05-30,15.0,NNE,19.3,12.4,39.0,71.0,No,18.6,SalmonGums,39.0,20.0,No,2.5,0.0
NNE,NE,2009-05-31,13.0,N,20.6,13.7,37.0,53.0,No,20.0,SalmonGums,26.0,9.0,No,2.7,0.0
NNE,N,2009-06-01,13.0,NNE,21.3,14.5,34.0,58.0,No,20.4,SalmonGums,28.0,19.0,No,-0.1,0.0
NNE,N,2009-06-02,22.0,N,18.7,12.7,83.0,52.0,No,12.7,SalmonGums,37.0,11.0,Yes,5.7,0.0
W,WNW,2009-06-03,13.0,NW,19.6,11.4,54.0,95.0,Yes,18.9,SalmonGums,28.0,15.0,No,10.5,5.0
WNW,NW,2009-06-04,33.0,WNW,12.4,8.7,87.0,72.0,No,11.0,SalmonGums,61.0,28.0,Yes,6.0,0.0
SW,S,2009-06-05,22.0,SSE,16.7,12.3,74.0,93.0,Yes,15.2,SalmonGums,52.0,24.0,Yes,8.4,17.6
SW,S,2009-06-06,15.0,SW,15.6,12.1,77.0,91.0,Yes,14.1,SalmonGums,43.0,15.0,Yes,9.9,1.8
WNW,W,2009-06-07,15.0,W,16.4,9.8,61.0,84.0,Yes,15.7,SalmonGums,30.0,13.0,No,6.6,2.6
WNW,SSE,2009-06-08,9.0,SSE,16.7,11.9,56.0,93.0,No,15.4,SalmonGums,20.0,11.0,No,9.8,1.0
NNE,N,2009-06-09,9.0,NNW,17.7,11.6,53.0,80.0,No,17.4,SalmonGums,31.0,15.0,No,1.2,0.0
NNW,NNW,2009-06-10,24.0,NW,22.2,12.8,39.0,50.0,No,21.3,SalmonGums,44.0,24.0,Yes,7.0,0.0
NW,NNW,2009-06-11,15.0,WSW,18.6,14.7,85.0,90.0,Yes,14.7,SalmonGums,30.0,15.0,No,11.9,1.2
W,SSW,2009-06-12,24.0,WSW,14.7,9.6,61.0,81.0,No,14.0,SalmonGums,46.0,26.0,No,6.0,1.0
WSW,SW,2009-06-13,15.0,SW,14.0,9.7,79.0,82.0,No,11.4,SalmonGums,41.0,17.0,Yes,6.5,0.4
W,S,2009-06-14,19.0,SSW,15.8,8.8,62.0,95.0,Yes,14.0,SalmonGums,31.0,13.0,No,5.2,2.8
WSW,W,2009-06-15,13.0,WSW,19.4,12.7,59.0,82.0,No,17.3,SalmonGums,26.0,13.0,No,4.7,0.0
WNW,WNW,2009-06-16,9.0,NW,19.4,11.9,34.0,73.0,No,18.9,SalmonGums,30.0,15.0,No,5.2,0.2
NNW,N,2009-06-17,20.0,NNW,19.7,12.2,30.0,64.0,No,19.2,SalmonGums,44.0,24.0,No,4.6,0.0
NNW,NW,2009-06-18,17.0,NW,21.6,13.0,20.0,45.0,No,21.2,SalmonGums,41.0,19.0,No,7.9,0.0
NNW,W,2009-06-19,26.0,WNW,17.8,13.7,91.0,57.0,No,10.0,SalmonGums,72.0,17.0,Yes,10.2,0.0
WNW,NW,2009-06-20,22.0,NW,14.8,8.7,64.0,81.0,Yes,14.4,SalmonGums,48.0,20.0,Yes,4.8,5.6
WSW,SW,2009-06-21,28.0,WSW,11.5,8.3,63.0,74.0,Yes,10.6,SalmonGums,54.0,24.0,No,6.9,4.4
W,WSW,2009-06-22,17.0,SSW,12.8,8.1,74.0,87.0,No,11.0,SalmonGums,41.0,26.0,No,5.2,0.4
N,WSW,2009-06-23,11.0,N,10.9,7.7,74.0,89.0,No,10.4,SalmonGums,46.0,11.0,No,0.5,0.2
NNE,,2009-06-24,15.0,N,,10.9,72.0,63.0,No,14.1,SalmonGums,,17.0,No,7.7,0.0
WNW,W,2009-06-25,20.0,WNW,16.9,11.2,60.0,90.0,No,16.1,SalmonGums,35.0,20.0,No,,0.2
NW,N,2009-06-26,15.0,NNW,14.9,11.6,74.0,93.0,No,14.6,SalmonGums,33.0,9.0,No,8.5,0.0
NW,NW,2009-06-27,22.0,NW,18.7,13.9,41.0,78.0,No,17.5,SalmonGums,57.0,35.0,No,11.5,0.0
NW,NW,2009-06-28,24.0,WNW,19.1,14.4,44.0,67.0,No,18.2,SalmonGums,57.0,26.0,No,11.9,0.0
NW,WNW,2009-06-29,43.0,NW,16.0,16.0,67.0,61.0,No,14.7,SalmonGums,78.0,33.0,Yes,12.9,0.0
NW,W,2009-06-30,28.0,W,14.0,8.6,53.0,75.0,Yes,12.7,SalmonGums,63.0,28.0,No,5.7,6.4
WNW,WSW,2009-07-01,19.0,WSW,16.0,8.5,70.0,78.0,No,12.8,SalmonGums,43.0,20.0,Yes,4.4,0.0
WSW,WSW,2009-07-02,13.0,SSW,14.5,10.5,69.0,91.0,Yes,14.4,SalmonGums,22.0,11.0,No,6.6,3.4
SE,ENE,2009-07-03,6.0,NNE,14.0,12.4,67.0,78.0,No,13.3,SalmonGums,19.0,11.0,No,10.1,0.0
ENE,NE,2009-07-04,7.0,ENE,14.4,9.8,68.0,93.0,No,14.1,SalmonGums,24.0,11.0,Yes,7.5,0.0
,E,2009-07-05,0.0,ESE,17.4,11.2,63.0,94.0,Yes,16.8,SalmonGums,24.0,15.0,No,9.7,1.4
NNE,N,2009-07-06,20.0,N,15.4,9.9,70.0,94.0,No,14.9,SalmonGums,44.0,26.0,Yes,6.7,0.2
NW,W,2009-07-07,15.0,NW,17.3,10.1,46.0,94.0,Yes,16.9,SalmonGums,24.0,13.0,No,7.0,4.4
NNW,WNW,2009-07-08,9.0,NE,17.5,12.8,35.0,58.0,No,16.9,SalmonGums,33.0,7.0,Yes,6.2,0.0
N,NW,2009-07-09,33.0,WNW,18.7,11.9,67.0,89.0,Yes,17.9,SalmonGums,56.0,24.0,No,9.2,2.8
NNW,WNW,2009-07-10,19.0,W,16.6,11.7,55.0,90.0,No,15.3,SalmonGums,56.0,28.0,Yes,9.8,0.2
W,WNW,2009-07-11,19.0,W,14.1,9.1,58.0,80.0,Yes,13.4,SalmonGums,35.0,17.0,Yes,6.2,1.6
WSW,SSW,2009-07-12,13.0,SW,13.5,9.2,87.0,86.0,Yes,10.2,SalmonGums,41.0,11.0,No,6.9,2.0
W,WSW,2009-07-13,19.0,SW,14.5,9.4,55.0,81.0,No,14.5,SalmonGums,44.0,22.0,Yes,6.4,0.4
SW,SSW,2009-07-14,11.0,SSW,15.1,10.9,68.0,87.0,Yes,13.9,SalmonGums,28.0,15.0,No,9.0,2.2
NNE,NE,2009-07-15,15.0,N,16.7,9.0,48.0,93.0,No,16.3,SalmonGums,37.0,20.0,No,-1.8,0.0
NNW,N,2009-07-16,20.0,NNW,15.1,11.3,82.0,66.0,No,13.2,SalmonGums,48.0,19.0,No,8.8,0.2
WNW,W,2009-07-17,31.0,W,16.3,12.8,54.0,69.0,No,15.4,SalmonGums,52.0,24.0,No,9.8,1.0
NNW,NW,2009-07-18,20.0,WNW,17.7,10.6,44.0,76.0,No,17.5,SalmonGums,50.0,19.0,No,5.7,0.0
NW,NNW,2009-07-19,22.0,NW,13.0,10.9,72.0,82.0,No,11.8,SalmonGums,44.0,19.0,Yes,9.3,0.0
NW,WNW,2009-07-20,24.0,NW,12.8,9.7,51.0,84.0,Yes,11.8,SalmonGums,59.0,30.0,No,3.4,3.2
WNW,WNW,2009-07-21,26.0,WSW,12.7,8.4,85.0,85.0,No,10.7,SalmonGums,52.0,13.0,Yes,6.5,0.4
