wind dir 9 am,rainfall,wind gust speed,max temp f,humidity 9 am,wind speed 3 pm,rain today,temp 3 pm f,wind speed 9 am,temp 9 am f,location,humidity 3 pm,date,min temp f,wind gust dir,wind dir 3 pm,rain tomorrow
,0.0,,69.8,,28.0,No,69.08,,,MountGinini,34.0,2009-03-24,51.8,,W,No
NW,0.0,,66.02,58.0,31.0,No,58.28,26.0,59.72,MountGinini,64.0,2009-03-25,55.4,,WNW,No
,0.0,,64.4,,22.0,No,57.2,,,MountGinini,73.0,2009-03-26,51.44,,W,No
NNE,0.2,,64.58,99.0,,No,,7.0,48.2,MountGinini,,2009-03-27,44.6,,,No
,0.2,,64.4,,15.0,No,62.059999999999995,,,MountGinini,61.0,2009-03-28,46.22,,W,No
WSW,0.0,,69.62,66.0,9.0,No,68.54,15.0,54.32,MountGinini,30.0,2009-03-29,50.0,,E,No
,0.0,,60.8,,17.0,No,59.9,,,MountGinini,59.0,2009-03-30,42.8,,E,No
E,0.2,,55.4,99.0,,No,,31.0,46.22,MountGinini,,2009-03-31,42.8,,,No
E,0.4,,57.2,100.0,28.0,No,55.4,37.0,46.94,MountGinini,97.0,2009-04-01,42.8,,E,No
ENE,1.0,,59.0,100.0,,No,,31.0,51.08,MountGinini,,2009-04-02,44.6,,,Yes
NW,2.0,,62.6,100.0,19.0,Yes,58.82,17.0,51.98,MountGinini,93.0,2009-04-03,48.2,,WNW,Yes
ENE,15.0,,55.76,97.0,,Yes,,7.0,46.58,MountGinini,,2009-04-04,39.2,,,No
NW,0.0,,53.6,100.0,,No,,22.0,40.82,MountGinini,,2009-04-05,38.839999999999996,,,No
N,0.2,,54.14,97.0,11.0,No,54.14,13.0,42.620000000000005,MountGinini,,2009-04-06,35.6,,W,No
,0.0,,53.96,,11.0,No,49.28,0.0,48.74,MountGinini,,2009-04-07,35.24,,NNE,No
,0.0,,59.0,,9.0,No,57.74,,,MountGinini,,2009-04-08,38.3,,W,No
NW,0.0,,59.0,,11.0,No,57.74,11.0,50.36,MountGinini,,2009-04-09,41.0,,NNW,No
NW,0.0,,53.6,,13.0,No,50.18,15.0,46.4,MountGinini,,2009-04-10,42.8,,NW,No
N,0.8,,57.2,,,No,,15.0,49.46,MountGinini,,2009-04-11,44.6,,,Yes
WSW,20.0,,57.2,,13.0,Yes,54.68,17.0,46.76,MountGinini,,2009-04-12,44.6,,WSW,No
E,0.2,,55.4,,,No,,7.0,52.52,MountGinini,,2009-04-13,42.8,,,Yes
SW,18.0,,53.6,,13.0,Yes,51.8,11.0,47.48,MountGinini,,2009-04-14,44.6,,WSW,Yes
WNW,2.0,,51.8,,,Yes,,30.0,45.5,MountGinini,,2009-04-15,41.0,,,No
W,0.0,,51.8,,20.0,No,48.02,20.0,41.54,MountGinini,,2009-04-16,32.0,,WNW,No
S,0.0,,53.6,,11.0,No,52.7,22.0,41.0,MountGinini,,2009-04-17,35.6,,WSW,No
ESE,0.0,,57.2,,13.0,No,55.94,6.0,47.120000000000005,MountGinini,,2009-04-18,37.4,,S,No
SE,0.0,,50.0,,15.0,No,46.4,15.0,40.82,MountGinini,,2009-04-19,37.4,,ESE,No
,0.0,,48.2,,11.0,No,46.58,,,MountGinini,,2009-04-20,33.44,,ESE,No
E,0.0,,48.2,,,No,,28.0,38.660000000000004,MountGinini,,2009-04-21,35.6,,,No
E,0.0,,46.22,,17.0,No,43.7,19.0,41.0,MountGinini,99.0,2009-04-22,35.6,,E,No
E,0.0,46.0,48.74,100.0,9.0,No,47.48,20.0,37.94,MountGinini,89.0,2009-04-23,36.5,NW,N,No
NW,0.0,69.0,45.86,100.0,30.0,No,42.980000000000004,31.0,43.7,MountGinini,100.0,2009-04-24,37.58,N,NNW,Yes
W,24.4,100.0,40.82,100.0,33.0,Yes,38.48,33.0,38.660000000000004,MountGinini,100.0,2009-04-25,37.4,NW,WNW,Yes
W,38.8,76.0,28.94,100.0,31.0,Yes,28.580000000000002,28.0,27.86,MountGinini,100.0,2009-04-26,26.6,NNW,W,Yes
W,10.6,50.0,32.0,100.0,13.0,Yes,29.66,17.0,26.96,MountGinini,100.0,2009-04-27,26.240000000000002,W,W,Yes
W,5.6,,32.0,100.0,17.0,Yes,,9.0,31.82,MountGinini,,2009-04-28,26.96,,W,No
ENE,0.8,24.0,36.32,98.0,9.0,No,34.52,7.0,31.46,MountGinini,93.0,2009-04-29,23.0,E,ENE,No
ESE,0.0,22.0,44.239999999999995,89.0,4.0,No,39.92,6.0,34.88,MountGinini,90.0,2009-04-30,27.14,NNE,NNW,No
W,0.0,33.0,46.22,78.0,13.0,No,45.14,13.0,36.14,MountGinini,56.0,2009-05-01,31.46,W,WSW,No
ESE,0.0,20.0,47.84,61.0,6.0,No,46.22,7.0,41.72,MountGinini,67.0,2009-05-02,33.08,ESE,SW,No
WSW,0.0,22.0,49.82,81.0,13.0,No,48.56,9.0,41.54,MountGinini,62.0,2009-05-03,34.52,WNW,W,No
SW,0.0,31.0,51.620000000000005,53.0,9.0,No,50.36,20.0,40.46,MountGinini,41.0,2009-05-04,35.24,SW,SSW,No
WNW,0.0,26.0,50.72,66.0,13.0,No,49.1,9.0,43.519999999999996,MountGinini,67.0,2009-05-05,34.52,SSE,NW,No
WSW,0.0,26.0,51.08,64.0,13.0,No,50.0,15.0,41.54,MountGinini,64.0,2009-05-06,35.96,NW,W,No
SSW,0.0,41.0,52.34,36.0,17.0,No,50.0,20.0,42.620000000000005,MountGinini,46.0,2009-05-07,35.06,SW,SW,No
SSE,0.0,24.0,50.36,26.0,7.0,No,48.74,4.0,43.34,MountGinini,54.0,2009-05-08,35.96,SE,WSW,No
S,0.0,31.0,54.32,48.0,9.0,No,48.379999999999995,13.0,47.3,MountGinini,57.0,2009-05-09,38.3,SSE,ESE,No
ESE,0.0,33.0,45.68,82.0,13.0,No,44.239999999999995,15.0,39.74,MountGinini,75.0,2009-05-10,33.44,ESE,E,No
SSW,0.0,20.0,45.5,84.0,4.0,No,40.82,13.0,38.660000000000004,MountGinini,87.0,2009-05-11,31.46,WSW,SW,No
SSW,0.4,28.0,44.78,81.0,11.0,No,40.1,7.0,36.68,MountGinini,80.0,2009-05-12,33.26,SW,WNW,No
WSW,0.0,59.0,41.54,91.0,33.0,No,36.68,30.0,33.98,MountGinini,79.0,2009-05-13,32.0,WSW,WSW,No
WSW,0.2,80.0,36.14,96.0,33.0,No,33.44,35.0,31.46,MountGinini,97.0,2009-05-14,30.92,WSW,WSW,No
WSW,1.0,81.0,39.38,98.0,35.0,No,36.68,35.0,34.52,MountGinini,98.0,2009-05-15,31.46,WSW,W,Yes
W,17.8,94.0,44.78,98.0,37.0,Yes,36.68,46.0,36.68,MountGinini,94.0,2009-05-16,34.52,W,W,No
S,0.0,48.0,51.26,36.0,19.0,No,49.82,28.0,44.6,MountGinini,34.0,2009-05-17,28.94,SW,S,No
E,0.0,39.0,47.66,37.0,15.0,No,43.879999999999995,19.0,41.36,MountGinini,69.0,2009-05-18,36.14,ESE,ENE,No
NE,0.0,43.0,42.260000000000005,98.0,20.0,No,41.18,22.0,38.839999999999996,MountGinini,98.0,2009-05-19,34.88,ENE,ENE,No
E,0.2,59.0,41.36,98.0,26.0,No,39.92,37.0,36.86,MountGinini,98.0,2009-05-20,34.34,E,ENE,No
E,0.2,69.0,41.9,98.0,33.0,No,40.64,39.0,38.12,MountGinini,94.0,2009-05-21,34.7,SE,E,No
E,0.8,76.0,40.46,98.0,43.0,No,39.92,39.0,39.02,MountGinini,98.0,2009-05-22,35.96,E,E,Yes
ENE,1.8,74.0,44.96,98.0,33.0,Yes,42.8,44.0,39.02,MountGinini,90.0,2009-05-23,37.76,E,ENE,No
ENE,0.0,59.0,44.96,97.0,22.0,No,42.260000000000005,31.0,39.02,MountGinini,87.0,2009-05-24,36.86,ENE,ENE,No
N,0.0,44.0,44.96,98.0,13.0,No,43.34,17.0,39.38,MountGinini,85.0,2009-05-25,36.14,ENE,NW,No
WNW,0.6,44.0,45.68,97.0,15.0,No,44.239999999999995,19.0,41.18,MountGinini,95.0,2009-05-26,39.02,W,WNW,Yes
W,5.8,35.0,44.96,91.0,11.0,Yes,44.42,13.0,37.4,MountGinini,64.0,2009-05-27,35.24,WNW,WNW,No
NE,0.0,26.0,43.7,96.0,7.0,No,41.54,9.0,34.88,MountGinini,62.0,2009-05-28,30.38,ESE,WNW,No
ESE,0.0,39.0,36.5,97.0,17.0,No,35.24,17.0,31.82,MountGinini,85.0,2009-05-29,27.86,E,SE,No
ESE,0.0,61.0,36.86,97.0,17.0,No,36.32,20.0,31.28,MountGinini,81.0,2009-05-30,28.4,E,ESE,No
E,0.2,59.0,38.12,97.0,28.0,No,36.86,37.0,33.44,MountGinini,97.0,2009-05-31,29.3,ENE,ENE,Yes
ENE,1.8,54.0,37.22,95.0,22.0,Yes,35.24,24.0,34.16,MountGinini,93.0,2009-06-01,33.26,ENE,ENE,No
ENE,1.0,52.0,41.0,90.0,24.0,No,39.2,37.0,37.22,MountGinini,89.0,2009-06-02,33.44,ENE,ENE,Yes
NE,8.4,46.0,41.9,87.0,15.0,Yes,41.0,19.0,38.660000000000004,MountGinini,86.0,2009-06-03,37.04,NE,NNE,Yes
WNW,18.2,33.0,41.54,86.0,4.0,Yes,40.82,11.0,39.92,MountGinini,86.0,2009-06-04,37.76,NW,NW,Yes
SSW,2.2,,43.7,88.0,,Yes,,19.0,35.06,MountGinini,,2009-06-05,33.62,,,
,,43.0,37.76,,,,,,,MountGinini,,2009-06-06,,WSW,,Yes
WNW,7.4,57.0,32.18,88.0,26.0,Yes,31.46,17.0,32.0,MountGinini,89.0,2009-06-07,30.2,W,WNW,Yes
WNW,10.2,50.0,31.82,88.0,20.0,Yes,31.46,26.0,31.1,MountGinini,88.0,2009-06-08,30.02,WNW,WNW,Yes
WNW,9.6,39.0,28.04,86.0,13.0,Yes,26.78,22.0,25.880000000000003,MountGinini,86.0,2009-06-09,25.16,WNW,WNW,Yes
WNW,9.8,31.0,30.92,82.0,17.0,Yes,22.82,15.0,21.38,MountGinini,83.0,2009-06-10,19.939999999999998,WNW,WNW,No
WNW,1.0,31.0,33.08,47.0,15.0,No,31.28,20.0,30.38,MountGinini,72.0,2009-06-11,16.7,S,SW,No
SW,0.0,35.0,37.76,45.0,17.0,No,36.32,24.0,32.0,MountGinini,50.0,2009-06-12,24.8,SW,WSW,No
WNW,0.0,52.0,35.96,35.0,24.0,No,33.62,22.0,29.48,MountGinini,51.0,2009-06-13,29.12,WNW,NW,No
NNW,0.0,44.0,39.2,78.0,13.0,No,35.78,20.0,33.8,MountGinini,83.0,2009-06-14,27.68,WNW,NW,No
SW,0.0,33.0,38.3,96.0,11.0,No,37.22,20.0,29.84,MountGinini,62.0,2009-06-15,28.04,SW,SW,No
SE,0.0,43.0,37.4,98.0,6.0,No,35.24,22.0,30.38,MountGinini,88.0,2009-06-16,29.84,SE,SE,No
E,0.0,28.0,39.56,98.0,,No,,17.0,30.56,MountGinini,,2009-06-17,26.96,E,,No
ENE,0.0,44.0,37.22,97.0,,No,,20.0,31.64,MountGinini,,2009-06-18,29.66,NE,,No
ENE,0.0,59.0,37.94,98.0,,No,,30.0,32.18,MountGinini,,2009-06-19,30.38,E,,No
NE,0.2,57.0,39.2,98.0,,No,,30.0,34.88,MountGinini,,2009-06-20,31.46,ENE,,Yes
NNW,17.6,44.0,41.0,98.0,,Yes,,13.0,37.4,MountGinini,,2009-06-21,34.7,NNE,,No
W,0.8,20.0,46.58,77.0,,No,,13.0,38.660000000000004,MountGinini,,2009-06-22,34.16,NW,,No
WSW,0.0,24.0,44.239999999999995,70.0,,No,,13.0,36.86,MountGinini,,2009-06-23,32.9,W,,Yes
N,3.4,37.0,39.02,97.0,13.0,Yes,34.16,15.0,32.36,MountGinini,98.0,2009-06-24,30.2,NW,WNW,Yes
WSW,3.2,41.0,32.72,97.0,20.0,Yes,30.92,22.0,28.94,MountGinini,97.0,2009-06-25,28.94,W,WSW,No
,0.6,,36.68,97.0,,No,,0.0,30.92,MountGinini,,2009-06-26,28.22,,,
,,26.0,39.56,,,,,,,MountGinini,,2009-06-27,,NNE,,Yes
W,2.6,48.0,37.4,98.0,19.0,Yes,35.42,13.0,35.42,MountGinini,97.0,2009-06-28,32.72,SW,W,Yes
W,1.8,,38.839999999999996,96.0,,Yes,,26.0,34.34,MountGinini,,2009-06-29,30.56,,,
,,107.0,42.620000000000005,,43.0,,41.36,,,MountGinini,74.0,2009-06-30,33.98,NW,NW,Yes
W,21.0,74.0,31.82,86.0,30.0,Yes,30.74,26.0,31.64,MountGinini,85.0,2009-07-01,31.28,W,WNW,Yes
W,29.0,50.0,30.74,84.0,24.0,Yes,30.2,26.0,28.94,MountGinini,84.0,2009-07-02,28.76,SW,WNW,Yes
WNW,20.2,37.0,28.76,80.0,13.0,Yes,28.76,15.0,26.96,MountGinini,80.0,2009-07-03,26.240000000000002,W,WNW,Yes
WNW,2.4,26.0,31.64,80.0,13.0,Yes,30.2,19.0,27.5,MountGinini,83.0,2009-07-04,24.26,WNW,WNW,No
WNW,0.6,24.0,32.18,80.0,2.0,No,31.82,17.0,24.62,MountGinini,81.0,2009-07-05,23.9,WNW,WSW,No
SW,0.0,,33.62,52.0,17.0,No,32.72,13.0,27.5,MountGinini,61.0,2009-07-06,21.74,,SW,
,,37.0,29.66,,20.0,,29.12,,,MountGinini,74.0,2009-07-07,,E,E,No
ENE,0.0,35.0,32.18,96.0,17.0,No,31.64,20.0,29.12,MountGinini,96.0,2009-07-08,23.36,E,ENE,No
,0.0,33.0,36.5,97.0,13.0,No,34.88,0.0,31.82,MountGinini,81.0,2009-07-09,29.12,E,ENE,No
ENE,0.0,37.0,35.24,97.0,19.0,No,33.62,17.0,32.9,MountGinini,88.0,2009-07-10,31.1,NE,ENE,No
NNE,0.0,46.0,37.58,97.0,13.0,No,34.34,17.0,31.82,MountGinini,76.0,2009-07-11,31.64,NNW,NNW,Yes
NW,3.2,67.0,36.86,97.0,26.0,Yes,36.14,39.0,34.88,MountGinini,95.0,2009-07-12,31.82,WNW,WNW,No
W,1.0,67.0,30.92,94.0,26.0,No,30.2,30.0,30.02,MountGinini,95.0,2009-07-13,29.3,W,W,Yes
W,12.6,39.0,30.92,93.0,19.0,Yes,29.84,17.0,28.04,MountGinini,95.0,2009-07-14,26.78,WNW,W,Yes
WSW,3.0,20.0,34.88,87.0,0.0,Yes,30.92,2.0,27.68,MountGinini,86.0,2009-07-15,23.0,W,,Yes
,2.4,52.0,32.54,83.0,17.0,Yes,31.82,0.0,26.78,MountGinini,85.0,2009-07-16,24.62,SSW,SSW,No
ESE,0.0,50.0,41.36,72.0,11.0,No,40.1,11.0,32.36,MountGinini,66.0,2009-07-17,26.42,SSW,NW,No
W,0.0,43.0,34.16,86.0,20.0,No,31.46,20.0,28.22,MountGinini,75.0,2009-07-18,25.7,W,WNW,No
