Rainfall,Humidity_3_pm,Pressure_3_pm,Humidity_9_am,Max_Temp_F,Date,Rain_Today,Min_Temp_F,Wind_Gust_Speed,Temp_9_am_F,Rain_Tomorrow,Wind_Dir_9_am,Wind_Speed_9_am,Wind_Dir_3_pm,Wind_Speed_3_pm,Wind_Gust_Dir,Temp_3_pm_F,Location,Pressure_9_am
0.0,36.0,1014.3,68.0,94.28,2009-01-30,No,63.32,37.0,75.74000000000001,No,E,7.0,NE,11.0,NE,91.76,BadgerysCreek,1018.9
0.0,32.0,1012.7,75.0,97.88000000000001,2009-01-31,No,60.62,37.0,75.2,No,SSE,6.0,ENE,13.0,ESE,97.52,BadgerysCreek,1017.8
0.0,49.0,1015.8,70.0,88.34,2009-02-01,No,64.94,39.0,76.82,No,SSE,15.0,ENE,22.0,E,85.28,BadgerysCreek,1016.1
0.0,34.0,1010.6,78.0,95.18,2009-02-02,No,67.1,41.0,75.56,No,NE,2.0,E,13.0,ESE,93.56,BadgerysCreek,1016.7
0.0,42.0,1009.6,67.0,92.11999999999999,2009-02-03,No,67.1,41.0,75.38,No,SSW,7.0,SE,26.0,ESE,84.74,BadgerysCreek,1010.9
0.0,46.0,1008.3,72.0,90.68,2009-02-04,No,69.08,35.0,75.56,No,ESE,2.0,NNE,17.0,E,89.6,BadgerysCreek,1011.9
0.0,23.0,1004.5,75.0,103.46000000000001,2009-02-05,No,66.02,35.0,77.36,No,,0.0,NE,19.0,ENE,101.48,BadgerysCreek,1009.5
0.0,36.0,1006.8,65.0,104.18,2009-02-06,No,68.72,46.0,79.88,No,S,9.0,ESE,26.0,ENE,98.78,BadgerysCreek,1011.2
0.8,14.0,1009.0,59.0,107.6,2009-02-07,No,66.56,46.0,78.8,No,,0.0,NNE,30.0,NE,106.7,BadgerysCreek,1013.6
0.0,28.0,1006.2,51.0,104.0,2009-02-08,No,62.6,43.0,77.54,No,WNW,6.0,NE,22.0,SE,101.48,BadgerysCreek,1011.1
0.0,78.0,1011.8,79.0,73.94,2009-02-09,No,69.08,30.0,69.98,Yes,S,17.0,SE,13.0,S,69.08,BadgerysCreek,1012.4
2.0,93.0,1010.5,92.0,66.92,2009-02-10,Yes,61.88,46.0,63.86,Yes,W,2.0,SSE,9.0,SSW,66.74000000000001,BadgerysCreek,1011.9
4.6,70.0,1012.1,79.0,71.78,2009-02-11,Yes,59.9,39.0,62.059999999999995,Yes,SSW,13.0,SE,11.0,S,67.1,BadgerysCreek,1011.8
4.2,69.0,1019.2,78.0,68.54,2009-02-12,Yes,57.74,37.0,62.6,No,S,20.0,SE,17.0,E,66.74000000000001,BadgerysCreek,1018.2
1.0,51.0,1024.7,89.0,69.98,2009-02-13,No,57.74,44.0,60.8,Yes,SW,11.0,SE,26.0,ESE,68.72,BadgerysCreek,1025.7
21.2,92.0,1019.9,94.0,64.58,2009-02-14,Yes,58.28,30.0,59.0,Yes,SW,19.0,SSE,15.0,S,61.7,BadgerysCreek,1023.6
36.0,82.0,1014.6,91.0,71.42,2009-02-15,Yes,59.0,41.0,64.04,Yes,SSW,15.0,SSE,17.0,S,71.42,BadgerysCreek,1015.7
23.4,56.0,1018.1,78.0,77.0,2009-02-16,Yes,61.16,48.0,70.34,No,SE,19.0,SSE,28.0,SE,73.75999999999999,BadgerysCreek,1018.3
0.8,61.0,1016.0,91.0,72.14,2009-02-17,No,60.440000000000005,28.0,64.58,Yes,SW,15.0,SE,17.0,ESE,69.98,BadgerysCreek,1017.7
9.8,61.0,1008.8,89.0,81.32,2009-02-18,Yes,62.6,33.0,66.74000000000001,No,WSW,24.0,S,15.0,SW,76.82,BadgerysCreek,1011.1
0.0,46.0,1004.9,78.0,88.16,2009-02-19,No,61.88,31.0,71.42,No,NNW,11.0,NNE,19.0,SE,86.36,BadgerysCreek,1008.2
0.2,40.0,1009.0,76.0,88.34,2009-02-20,No,63.32,43.0,71.24000000000001,No,N,9.0,E,19.0,ESE,87.44,BadgerysCreek,1011.8
1.0,77.0,1013.3,92.0,80.06,2009-02-21,No,68.36,41.0,70.7,No,,0.0,SE,24.0,SE,71.6,BadgerysCreek,1013.6
0.2,59.0,1017.4,80.0,78.98,2009-02-22,No,64.04,28.0,67.82,No,SSW,4.0,E,9.0,E,77.18,BadgerysCreek,1019.0
0.0,52.0,1011.8,73.0,86.53999999999999,2009-02-23,No,63.32,57.0,72.86,Yes,NE,11.0,ENE,20.0,WSW,83.84,BadgerysCreek,1017.1
4.2,51.0,1012.5,91.0,88.7,2009-02-24,Yes,61.88,33.0,68.0,No,,0.0,ESE,24.0,E,85.1,BadgerysCreek,1014.7
0.2,59.0,1013.9,84.0,83.3,2009-02-25,No,67.1,35.0,69.98,No,,0.0,E,22.0,ESE,82.22,BadgerysCreek,1016.9
0.0,52.0,1018.5,75.0,78.25999999999999,2009-02-26,No,61.7,35.0,67.28,No,SW,9.0,SE,11.0,SE,75.2,BadgerysCreek,1020.7
0.0,46.0,1015.3,78.0,78.44,2009-02-27,No,55.22,28.0,65.66,No,SW,11.0,E,13.0,ESE,77.54,BadgerysCreek,1018.7
0.0,44.0,1005.9,81.0,89.6,2009-02-28,No,54.86,30.0,63.86,No,,0.0,N,17.0,ESE,87.44,BadgerysCreek,1010.0
0.0,52.0,1010.1,78.0,83.12,2009-03-01,No,63.68,35.0,70.88,No,,0.0,NNE,17.0,NNE,81.14,BadgerysCreek,1011.1
0.0,50.0,1014.6,85.0,82.22,2009-03-02,No,64.58,33.0,68.72,No,,0.0,N,19.0,E,80.42,BadgerysCreek,1016.8
0.0,50.0,1014.7,91.0,81.68,2009-03-03,No,61.16,30.0,67.46,No,,0.0,NE,19.0,NE,79.34,BadgerysCreek,1018.5
0.0,48.0,1008.9,88.0,76.28,2009-03-04,No,67.46,57.0,69.8,No,,0.0,SSE,7.0,SW,72.5,BadgerysCreek,1008.6
0.0,24.0,1008.3,44.0,78.44,2009-03-05,No,48.92,43.0,65.48,No,SW,22.0,S,17.0,SW,76.64,BadgerysCreek,1010.1
0.0,39.0,1010.8,76.0,77.72,2009-03-06,No,47.48,35.0,58.64,No,SW,9.0,NE,9.0,E,75.56,BadgerysCreek,1013.8
0.0,34.0,1011.6,80.0,83.84,2009-03-07,No,55.58,30.0,65.84,No,SW,11.0,E,13.0,SE,82.04,BadgerysCreek,1014.6
0.0,66.0,1018.8,80.0,77.18,2009-03-08,No,63.32,37.0,68.72,Yes,SSW,13.0,SSE,22.0,SSE,74.66,BadgerysCreek,1018.5
12.4,70.0,1020.2,98.0,75.38,2009-03-09,Yes,60.8,26.0,62.6,No,SW,13.0,NNE,6.0,ENE,74.3,BadgerysCreek,1022.7
0.8,55.0,1020.8,96.0,78.62,2009-03-10,No,62.42,35.0,67.28,No,SSW,4.0,ENE,22.0,ENE,77.0,BadgerysCreek,1022.2
0.2,75.0,1023.1,73.0,73.22,2009-03-11,No,57.92,31.0,67.28,Yes,S,9.0,E,11.0,E,69.98,BadgerysCreek,1024.2
4.8,53.0,1020.0,99.0,78.98,2009-03-12,Yes,58.28,33.0,64.22,No,SW,6.0,NNE,15.0,ENE,77.54,BadgerysCreek,1023.2
0.0,66.0,1016.0,91.0,80.96,2009-03-13,No,61.519999999999996,24.0,67.28,No,SW,7.0,WSW,11.0,WNW,77.36,BadgerysCreek,1018.9
0.0,62.0,1010.1,96.0,83.84,2009-03-14,No,59.18,70.0,65.84,Yes,,0.0,N,15.0,NW,80.96,BadgerysCreek,1015.2
24.6,49.0,1007.3,99.0,86.72,2009-03-15,Yes,59.18,37.0,66.2,No,,0.0,NNE,9.0,WNW,84.38000000000001,BadgerysCreek,1010.8
0.0,31.0,1007.9,50.0,80.6,2009-03-16,No,53.42,30.0,63.5,No,SW,6.0,SSE,6.0,SW,78.8,BadgerysCreek,1012.2
0.0,32.0,1012.0,63.0,78.44,2009-03-17,No,48.92,31.0,62.059999999999995,No,,0.0,NNE,7.0,NE,77.18,BadgerysCreek,1013.9
0.0,50.0,1015.7,71.0,78.98,2009-03-18,No,58.1,31.0,66.56,No,,0.0,E,17.0,N,77.0,BadgerysCreek,1019.4
0.0,50.0,1013.4,92.0,86.0,2009-03-19,No,53.24,43.0,62.78,No,,0.0,ENE,9.0,N,83.3,BadgerysCreek,1016.7
0.0,48.0,1015.8,90.0,85.46000000000001,2009-03-20,No,58.459999999999994,31.0,65.3,No,WSW,7.0,E,11.0,SE,84.38000000000001,BadgerysCreek,1018.1
0.0,61.0,1016.8,99.0,79.7,2009-03-21,No,58.459999999999994,33.0,63.14,No,SSW,6.0,E,22.0,ENE,77.36,BadgerysCreek,1019.4
0.0,44.0,1014.7,98.0,82.4,2009-03-22,No,53.6,35.0,62.78,No,NW,6.0,N,17.0,N,79.34,BadgerysCreek,1018.4
0.0,47.0,1014.7,97.0,84.74,2009-03-23,No,56.66,28.0,64.94,No,SE,6.0,NE,17.0,NNE,83.12,BadgerysCreek,1017.3
0.0,35.0,1015.1,97.0,90.32,2009-03-24,No,60.08,33.0,67.64,No,SW,2.0,NNE,19.0,N,89.6,BadgerysCreek,1018.3
0.0,45.0,1016.7,99.0,91.58000000000001,2009-03-25,No,59.0,80.0,64.75999999999999,Yes,,0.0,E,13.0,SW,89.41999999999999,BadgerysCreek,1019.7
24.8,49.0,1016.4,97.0,88.34,2009-03-26,Yes,62.6,76.0,68.0,Yes,,0.0,NE,9.0,SW,86.0,BadgerysCreek,1019.9
3.8,61.0,1023.6,80.0,74.12,2009-03-27,Yes,65.12,31.0,66.92,No,S,15.0,SE,15.0,S,73.22,BadgerysCreek,1024.5
0.2,46.0,1022.8,89.0,77.0,2009-03-28,No,54.68,26.0,61.519999999999996,No,SSW,2.0,ENE,9.0,ENE,75.2,BadgerysCreek,1025.7
0.0,45.0,1021.0,96.0,79.52,2009-03-29,No,52.34,31.0,59.0,No,E,7.0,NE,11.0,E,78.44,BadgerysCreek,1023.9
0.0,51.0,1022.1,84.0,79.16,2009-03-30,No,59.0,39.0,67.46,Yes,S,9.0,SE,20.0,SE,74.48,BadgerysCreek,1024.5
3.2,87.0,1020.9,87.0,70.52,2009-03-31,Yes,63.68,41.0,67.1,Yes,SE,19.0,SE,19.0,SE,66.74000000000001,BadgerysCreek,1022.5
32.0,78.0,1021.4,97.0,73.22,2009-04-01,Yes,63.68,50.0,66.2,Yes,E,20.0,ESE,19.0,SE,72.68,BadgerysCreek,1021.9
15.4,69.0,1021.6,97.0,76.82,2009-04-02,Yes,65.48,31.0,68.36,Yes,SE,11.0,E,20.0,E,75.38,BadgerysCreek,1023.7
4.0,63.0,1016.6,99.0,80.24000000000001,2009-04-03,Yes,64.58,33.0,67.64,Yes,SW,4.0,NNE,22.0,NNE,78.62,BadgerysCreek,1021.4
1.8,67.0,1019.5,86.0,68.36,2009-04-04,Yes,62.959999999999994,31.0,65.84,No,SE,15.0,ESE,15.0,SW,65.48,BadgerysCreek,1017.9
0.0,61.0,1014.2,67.0,74.66,2009-04-05,No,59.9,31.0,66.2,No,WSW,7.0,NNE,17.0,NNE,73.22,BadgerysCreek,1020.2
0.2,60.0,1019.5,73.0,70.34,2009-04-06,No,53.06,31.0,64.04,No,S,19.0,ESE,17.0,S,68.18,BadgerysCreek,1021.2
0.0,58.0,1024.0,72.0,71.78,2009-04-07,No,55.58,30.0,62.78,No,SW,11.0,ESE,22.0,ESE,67.82,BadgerysCreek,1026.0
0.0,46.0,1024.3,67.0,74.12,2009-04-08,No,48.74,28.0,64.58,No,SW,13.0,NE,13.0,E,71.6,BadgerysCreek,1027.4
0.0,54.0,1021.8,79.0,74.3,2009-04-09,No,50.54,24.0,62.78,No,WSW,2.0,NE,15.0,NNE,73.22,BadgerysCreek,1025.8
0.0,52.0,1021.0,85.0,76.64,2009-04-10,No,51.26,20.0,62.24,No,,0.0,NNE,9.0,NE,74.84,BadgerysCreek,1023.8
0.0,59.0,1023.1,85.0,75.56,2009-04-11,No,58.1,15.0,66.02,No,,0.0,NE,9.0,N,73.4,BadgerysCreek,1025.7
0.8,60.0,1020.7,85.0,75.2,2009-04-12,No,61.7,17.0,67.46,No,WNW,6.0,NNW,11.0,N,74.66,BadgerysCreek,1023.6
0.2,80.0,1019.6,92.0,72.14,2009-04-13,No,63.86,30.0,67.82,Yes,SW,4.0,SSW,6.0,ESE,70.16,BadgerysCreek,1023.0
13.0,53.0,1010.8,95.0,81.14,2009-04-14,Yes,58.82,28.0,65.48,No,N,9.0,SW,6.0,SSE,79.7,BadgerysCreek,1015.5
0.4,30.0,1007.0,92.0,82.94,2009-04-15,No,52.34,46.0,64.58,No,N,2.0,WNW,26.0,NW,82.58,BadgerysCreek,1011.6
0.0,37.0,1011.6,61.0,75.02,2009-04-16,No,48.02,26.0,60.8,No,SW,6.0,N,9.0,SSW,74.48,BadgerysCreek,1015.4
0.0,44.0,1015.7,73.0,74.12,2009-04-17,No,44.96,28.0,60.980000000000004,No,SSW,7.0,ENE,17.0,ENE,71.78,BadgerysCreek,1016.9
0.0,49.0,1018.1,67.0,73.75999999999999,2009-04-18,No,53.06,28.0,65.12,No,SW,17.0,SE,6.0,SW,72.68,BadgerysCreek,1020.8
0.0,84.0,1019.0,67.0,67.82,2009-04-19,No,57.2,44.0,64.94,Yes,SW,20.0,SSW,20.0,S,64.04,BadgerysCreek,1020.3
3.2,82.0,1019.9,90.0,65.48,2009-04-20,Yes,55.4,44.0,58.28,Yes,SW,24.0,S,15.0,SSW,61.34,BadgerysCreek,1021.9
2.4,85.0,1021.7,85.0,68.72,2009-04-21,Yes,55.76,43.0,60.980000000000004,Yes,S,20.0,S,17.0,S,63.14,BadgerysCreek,1023.9
8.4,60.0,1022.8,85.0,71.42,2009-04-22,Yes,56.66,39.0,63.14,Yes,SW,17.0,SSE,20.0,SE,66.92,BadgerysCreek,1024.8
1.6,60.0,1018.4,77.0,69.98,2009-04-23,Yes,56.48,19.0,63.68,No,WSW,9.0,N,7.0,NE,68.54,BadgerysCreek,1022.0
0.2,66.0,1006.5,99.0,72.68,2009-04-24,No,46.22,24.0,55.04,No,,0.0,ESE,4.0,N,70.34,BadgerysCreek,1012.9
0.4,47.0,1002.7,52.0,72.5,2009-04-25,No,55.04,46.0,67.82,No,NNW,13.0,WNW,20.0,N,70.7,BadgerysCreek,1004.5
0.0,35.0,1003.3,49.0,66.02,2009-04-26,No,54.86,57.0,62.42,No,NW,19.0,W,30.0,W,64.4,BadgerysCreek,1003.2
0.0,37.0,1013.0,48.0,63.86,2009-04-27,No,40.64,54.0,56.48,No,W,15.0,SW,24.0,SW,63.32,BadgerysCreek,1013.5
0.0,38.0,1015.8,57.0,69.98,2009-04-28,No,40.64,54.0,63.14,No,WNW,15.0,WSW,31.0,W,66.02,BadgerysCreek,1015.6
0.0,58.0,1020.0,71.0,64.04,2009-04-29,No,40.28,22.0,52.16,No,WSW,11.0,SE,11.0,ESE,60.440000000000005,BadgerysCreek,1022.6
0.0,62.0,1020.5,68.0,66.2,2009-04-30,No,44.06,33.0,57.2,No,SW,20.0,SSE,17.0,SW,60.980000000000004,BadgerysCreek,1020.9
0.0,47.0,1020.7,90.0,70.52,2009-05-01,No,39.56,20.0,52.879999999999995,No,SW,4.0,NNE,13.0,NNE,69.44,BadgerysCreek,1024.8
0.0,55.0,1022.9,66.0,71.78,2009-05-02,No,40.64,24.0,57.379999999999995,No,SW,15.0,E,13.0,ESE,65.84,BadgerysCreek,1025.5
0.0,52.0,1025.6,73.0,71.42,2009-05-03,No,47.3,24.0,59.540000000000006,No,SW,17.0,E,13.0,SSW,69.44,BadgerysCreek,1027.9
0.0,42.0,1025.5,93.0,73.94,2009-05-04,No,43.34,19.0,56.120000000000005,No,,0.0,,0.0,SW,73.04,BadgerysCreek,1028.8
0.0,52.0,1028.4,72.0,69.44,2009-05-05,No,49.82,28.0,61.7,No,SW,17.0,SE,9.0,S,66.56,BadgerysCreek,1031.1
0.0,48.0,1023.4,99.0,71.96,2009-05-06,No,44.78,24.0,55.94,No,,0.0,N,9.0,N,71.24000000000001,BadgerysCreek,1028.5
0.0,38.0,1021.4,91.0,73.22,2009-05-07,No,43.34,26.0,54.5,No,,0.0,,0.0,SE,71.6,BadgerysCreek,1024.6
0.0,58.0,1025.0,69.0,69.44,2009-05-08,No,47.3,31.0,58.82,No,SW,19.0,ENE,9.0,SW,65.48,BadgerysCreek,1028.2
0.0,41.0,1020.4,84.0,71.96,2009-05-09,No,44.06,22.0,55.76,No,,0.0,ESE,7.0,SE,69.98,BadgerysCreek,1024.4
0.0,60.0,1024.0,65.0,66.38,2009-05-10,No,48.92,35.0,60.62,No,SSW,20.0,SE,17.0,SSW,62.6,BadgerysCreek,1024.7
0.4,41.0,1022.2,84.0,69.62,2009-05-11,No,46.22,20.0,55.94,No,SW,13.0,NNE,7.0,E,67.28,BadgerysCreek,1025.6
0.4,61.0,1018.0,98.0,69.25999999999999,2009-05-12,No,38.660000000000004,28.0,51.620000000000005,No,SW,2.0,SE,19.0,SE,63.14,BadgerysCreek,1021.8
0.0,37.0,1012.9,99.0,69.8,2009-05-13,No,38.12,33.0,52.16,No,,0.0,W,19.0,WSW,69.08,BadgerysCreek,1017.0
0.0,36.0,1011.5,73.0,68.54,2009-05-14,No,36.68,46.0,54.86,No,N,11.0,W,24.0,SW,66.74000000000001,BadgerysCreek,1012.6
0.0,40.0,1010.7,66.0,69.8,2009-05-15,No,39.92,50.0,59.36,No,NNW,9.0,WSW,28.0,WSW,67.82,BadgerysCreek,1013.0
0.0,44.0,1008.9,59.0,71.6,2009-05-16,No,53.96,72.0,64.04,No,NNW,24.0,WSW,31.0,W,68.54,BadgerysCreek,1010.9
0.0,37.0,1017.5,80.0,69.62,2009-05-17,No,37.04,24.0,51.08,No,,0.0,SSE,13.0,ESE,67.1,BadgerysCreek,1018.9
0.0,55.0,1023.4,75.0,69.62,2009-05-18,No,42.260000000000005,28.0,55.94,No,SW,9.0,NNE,17.0,NE,66.56,BadgerysCreek,1026.0
1.0,51.0,1021.3,99.0,70.52,2009-05-19,No,52.52,30.0,57.56,Yes,SW,4.0,E,17.0,ESE,67.64,BadgerysCreek,1024.7
17.2,80.0,1020.4,99.0,66.56,2009-05-20,Yes,55.22,50.0,58.1,Yes,SE,13.0,S,9.0,SSE,64.58,BadgerysCreek,1022.7
46.4,61.0,1022.4,84.0,66.2,2009-05-21,Yes,55.04,48.0,61.7,Yes,SE,17.0,SE,26.0,ESE,64.22,BadgerysCreek,1024.4
5.0,85.0,1021.2,72.0,65.48,2009-05-22,Yes,56.66,48.0,62.6,Yes,SE,19.0,ESE,15.0,ESE,62.959999999999994,BadgerysCreek,1023.9
15.8,68.0,1022.8,86.0,69.08,2009-05-23,Yes,57.56,39.0,63.68,Yes,SE,11.0,ESE,26.0,ESE,65.84,BadgerysCreek,1024.2
1.6,57.0,1025.6,85.0,69.98,2009-05-24,Yes,54.68,26.0,62.24,No,SW,7.0,ESE,17.0,ESE,68.0,BadgerysCreek,1027.0
0.2,69.0,1023.3,94.0,66.74000000000001,2009-05-25,No,49.1,20.0,57.2,No,WSW,7.0,NW,9.0,NW,64.94,BadgerysCreek,1026.4
0.0,60.0,1019.1,99.0,71.24000000000001,2009-05-26,No,45.68,17.0,54.5,No,,0.0,N,7.0,NE,67.46,BadgerysCreek,1022.4
0.0,99.0,1018.7,99.0,60.08,2009-05-27,No,50.18,17.0,55.76,Yes,,0.0,SW,7.0,W,59.18,BadgerysCreek,1020.7
14.2,68.0,1020.1,99.0,64.22,2009-05-28,Yes,48.2,26.0,56.84,No,SW,13.0,SE,17.0,SE,62.959999999999994,BadgerysCreek,1021.7
0.0,66.0,1022.9,70.0,63.32,2009-05-29,No,46.94,39.0,52.7,No,WSW,17.0,SSW,26.0,S,59.36,BadgerysCreek,1023.8
0.0,74.0,1028.3,70.0,64.04,2009-05-30,No,46.4,41.0,56.3,Yes,SSW,22.0,SW,15.0,S,57.74,BadgerysCreek,1028.6
11.4,89.0,1032.4,98.0,66.2,2009-05-31,Yes,49.64,30.0,54.86,No,SW,13.0,NNE,11.0,ESE,56.66,BadgerysCreek,1034.0
0.4,71.0,1030.5,91.0,61.34,2009-06-01,No,50.18,15.0,53.06,No,WSW,7.0,,0.0,SSE,60.26,BadgerysCreek,1033.2
0.0,75.0,1027.3,91.0,65.66,2009-06-02,No,50.9,15.0,56.48,Yes,SW,9.0,,0.0,SSW,62.959999999999994,BadgerysCreek,1030.2
8.6,79.0,1022.4,99.0,66.2,2009-06-03,Yes,54.14,17.0,58.1,No,,0.0,N,11.0,N,63.32,BadgerysCreek,1026.0
0.2,80.0,1016.7,99.0,63.68,2009-06-04,No,47.3,15.0,52.34,No,,0.0,ENE,9.0,ENE,62.6,BadgerysCreek,1021.0
0.0,50.0,1012.6,99.0,67.1,2009-06-05,No,50.36,26.0,56.84,No,WSW,11.0,WSW,13.0,WSW,65.48,BadgerysCreek,1015.4
0.2,45.0,1010.0,92.0,65.84,2009-06-06,No,38.12,28.0,50.36,Yes,,0.0,NNW,4.0,W,64.75999999999999,BadgerysCreek,1014.2
1.2,57.0,1005.8,99.0,66.2,2009-06-07,Yes,44.6,41.0,49.1,No,N,11.0,WSW,17.0,W,60.8,BadgerysCreek,1008.3
0.0,45.0,1007.8,83.0,65.84,2009-06-08,No,39.38,41.0,52.7,No,NW,6.0,W,13.0,WNW,62.24,BadgerysCreek,1009.7
0.0,51.0,1008.5,70.0,62.24,2009-06-09,No,39.74,39.0,52.52,No,NNW,9.0,W,15.0,NW,56.66,BadgerysCreek,1011.8
0.0,39.0,1013.7,46.0,56.120000000000005,2009-06-10,No,45.32,56.0,49.28,No,WSW,28.0,W,31.0,W,53.6,BadgerysCreek,1012.4
0.0,35.0,1018.6,53.0,59.540000000000006,2009-06-11,No,32.0,,46.76,,W,11.0,SW,19.0,,58.82,BadgerysCreek,1021.4
,46.0,1020.3,72.0,62.42,2009-06-12,,,22.0,46.94,No,,0.0,N,7.0,SW,59.0,BadgerysCreek,1024.4
0.0,63.0,1014.2,99.0,62.6,2009-06-13,No,35.42,17.0,42.8,No,,0.0,N,7.0,NNE,57.379999999999995,BadgerysCreek,1017.7
0.0,88.0,1011.6,99.0,55.94,2009-06-14,No,39.56,19.0,44.6,No,WSW,6.0,ESE,11.0,SE,50.9,BadgerysCreek,1014.7
0.2,39.0,1010.7,99.0,67.1,2009-06-15,No,35.78,26.0,49.28,No,,0.0,SW,13.0,SW,64.04,BadgerysCreek,1013.1
0.0,73.0,1020.8,72.0,63.32,2009-06-16,No,38.839999999999996,54.0,55.94,No,SW,28.0,SSW,19.0,SSW,58.459999999999994,BadgerysCreek,1018.7
