Temp3pmC,Humidity9am,MaxTempC,Rainfall,Date,Evaporation,Humidity3pm,Temp9amC,Pressure3pm,Cloud3pm,Location,RainToday,Cloud9am,RainTomorrow,MinTempC,WindGustDir,Pressure9am,WindDir9am,WindSpeed9am,WindGustSpeed,WindDir3pm,WindSpeed3pm
34.2,,34.7,0.0,2013-04-28,6.2,,23.8,1010.2,1.0,Katherine,No,0.0,No,16.9,ESE,1014.3,SW,6.0,33.0,E,17.0
33.3,63.0,34.1,0.0,2013-04-29,5.0,35.0,26.8,1011.1,3.0,Katherine,No,0.0,No,18.4,E,1014.9,SSE,7.0,33.0,SE,19.0
33.1,54.0,34.2,0.0,2013-04-30,7.0,30.0,25.3,1010.4,1.0,Katherine,No,0.0,No,15.5,E,1014.9,SSE,13.0,41.0,E,22.0
34.0,67.0,35.0,0.0,2013-05-01,8.0,31.0,24.2,1008.6,3.0,Katherine,No,0.0,No,16.3,ESE,1013.1,SE,9.0,48.0,ENE,20.0
34.6,64.0,35.5,0.0,2013-05-02,6.8,38.0,27.7,1008.5,4.0,Katherine,No,0.0,No,21.1,SE,1011.8,SE,13.0,44.0,ESE,19.0
34.5,70.0,35.9,0.0,2013-05-03,8.2,45.0,28.1,1009.5,1.0,Katherine,No,0.0,No,21.2,E,1013.0,E,17.0,44.0,E,24.0
34.0,78.0,35.3,0.0,2013-05-04,6.6,37.0,27.7,1010.7,6.0,Katherine,No,1.0,No,21.5,E,1014.3,ENE,20.0,46.0,ESE,19.0
34.4,71.0,34.9,0.0,2013-05-05,8.0,32.0,27.5,1009.2,1.0,Katherine,No,4.0,No,21.1,ESE,1013.4,E,19.0,35.0,SE,17.0
34.6,72.0,35.3,0.0,2013-05-06,7.0,27.0,27.6,1008.4,2.0,Katherine,No,0.0,No,20.5,ESE,1011.9,ENE,11.0,37.0,SE,17.0
33.2,63.0,34.3,0.0,2013-05-07,8.0,34.0,26.3,1008.9,2.0,Katherine,No,0.0,No,18.9,ESE,1012.1,ENE,19.0,37.0,ESE,24.0
32.1,71.0,33.7,0.0,2013-05-08,7.6,40.0,24.0,1009.1,3.0,Katherine,No,0.0,No,15.7,ESE,1013.1,SE,13.0,43.0,SE,17.0
33.7,72.0,34.1,0.0,2013-05-09,5.0,34.0,26.2,1009.5,2.0,Katherine,No,1.0,No,19.4,ESE,1013.8,E,17.0,41.0,E,17.0
33.1,80.0,34.9,0.0,2013-05-10,4.0,44.0,26.0,1009.5,3.0,Katherine,No,1.0,No,21.4,ENE,1013.5,E,13.0,37.0,E,17.0
32.5,75.0,33.9,0.0,2013-05-11,9.0,43.0,27.3,1009.1,6.0,Katherine,No,6.0,No,25.3,ENE,1013.2,E,15.0,43.0,ESE,20.0
33.9,70.0,34.6,0.0,2013-05-12,5.2,36.0,27.0,1010.2,1.0,Katherine,No,0.0,No,19.5,SE,1012.8,NE,20.0,33.0,ENE,22.0
32.0,75.0,33.6,0.0,2013-05-13,7.0,46.0,26.1,1010.2,2.0,Katherine,No,1.0,No,20.3,SSE,1013.8,S,17.0,31.0,SSE,19.0
30.2,61.0,33.4,0.0,2013-05-14,7.4,45.0,23.3,1008.9,2.0,Katherine,No,2.0,No,20.3,SE,1012.9,SE,20.0,37.0,ESE,17.0
31.8,68.0,32.9,0.0,2013-05-15,5.0,46.0,25.0,1008.4,6.0,Katherine,No,2.0,No,19.6,E,1012.1,ESE,15.0,33.0,ESE,13.0
31.2,72.0,32.1,0.0,2013-05-16,6.0,58.0,26.8,1009.8,7.0,Katherine,No,5.0,No,22.4,SSE,1012.8,NE,9.0,24.0,SE,11.0
32.5,52.0,33.8,0.0,2013-05-17,5.2,,24.0,1010.1,6.0,Katherine,No,7.0,No,20.9,E,1014.1,SE,15.0,30.0,E,9.0
,74.0,35.1,0.0,2013-05-18,5.0,,27.6,1010.4,,Katherine,No,2.0,No,22.6,E,1014.4,ESE,17.0,33.0,E,19.0
32.8,70.0,34.4,0.0,2013-05-19,4.8,51.0,26.8,1010.0,3.0,Katherine,No,3.0,No,22.1,E,1013.7,E,22.0,39.0,E,17.0
33.3,77.0,34.5,0.0,2013-05-20,6.0,,26.8,1009.7,5.0,Katherine,No,5.0,No,22.8,E,1013.1,ENE,15.0,39.0,ENE,17.0
34.4,77.0,35.5,0.0,2013-05-21,6.0,41.0,26.9,1009.3,4.0,Katherine,No,2.0,No,22.6,NE,1013.1,E,9.0,33.0,ENE,13.0
34.3,77.0,34.9,0.0,2013-05-22,6.0,49.0,27.5,1009.0,5.0,Katherine,No,3.0,No,23.2,W,1013.1,NW,7.0,24.0,W,11.0
32.1,70.0,33.7,0.0,2013-05-23,5.0,,27.2,1010.1,6.0,Katherine,No,5.0,No,24.9,SE,1013.6,SE,13.0,33.0,ESE,20.0
27.4,42.0,27.9,0.0,2013-05-24,8.0,25.0,22.2,1012.5,1.0,Katherine,No,2.0,No,20.4,SE,1016.5,SE,30.0,50.0,SE,24.0
26.1,44.0,27.1,0.0,2013-05-25,8.0,31.0,19.3,1013.4,1.0,Katherine,No,0.0,No,14.8,ESE,1017.0,ESE,22.0,50.0,SE,24.0
28.1,49.0,28.9,0.0,2013-05-26,7.0,30.0,19.5,1012.7,1.0,Katherine,No,1.0,No,10.9,ESE,1016.0,SE,19.0,44.0,ESE,24.0
30.1,42.0,31.1,0.0,2013-05-27,5.2,31.0,24.6,1011.4,1.0,Katherine,No,2.0,No,16.9,E,1014.8,E,22.0,44.0,E,20.0
31.6,37.0,32.0,0.0,2013-05-28,5.4,43.0,31.1,1011.5,1.0,Katherine,No,3.0,No,17.1,ESE,1014.9,E,17.0,37.0,ENE,13.0
32.0,73.0,,0.0,2013-05-29,6.2,,25.3,1010.9,4.0,Katherine,No,4.0,No,19.6,ENE,1014.7,E,17.0,37.0,E,15.0
31.5,,32.3,0.0,2013-05-30,,,,1010.5,4.0,Katherine,No,,No,,E,1015.3,ESE,9.0,43.0,ESE,20.0
32.5,66.0,33.6,0.0,2013-05-31,11.0,37.0,25.3,1010.2,7.0,Katherine,No,1.0,No,,ESE,1014.5,ESE,15.0,43.0,E,20.0
,72.0,33.8,0.0,2013-06-01,6.2,,25.0,1009.3,,Katherine,No,0.0,No,18.0,E,1014.3,ENE,20.0,35.0,NE,20.0
32.6,62.0,33.3,0.0,2013-06-02,6.4,32.0,26.0,1009.3,2.0,Katherine,No,1.0,No,17.1,E,1013.5,E,20.0,50.0,ESE,24.0
30.5,,31.4,0.0,2013-06-03,8.0,,23.4,1010.9,0.0,Katherine,No,0.0,No,17.2,ESE,1014.7,ESE,24.0,41.0,E,24.0
29.5,50.0,30.5,0.0,2013-06-04,7.0,,20.7,1010.2,0.0,Katherine,No,0.0,No,13.8,E,1015.0,ESE,17.0,41.0,SE,15.0
31.4,,32.5,0.0,2013-06-05,5.4,,24.6,1009.3,4.0,Katherine,No,3.0,No,17.1,NE,1013.9,ENE,24.0,37.0,ENE,19.0
30.5,,31.3,0.0,2013-06-06,5.6,,24.6,1010.9,7.0,Katherine,No,5.0,No,21.2,ESE,1014.1,E,22.0,39.0,ENE,15.0
32.4,,33.2,0.0,2013-06-07,5.8,,25.0,1011.3,1.0,Katherine,No,2.0,No,21.0,E,1014.7,ESE,17.0,50.0,ENE,22.0
,71.0,32.5,0.0,2013-06-08,6.0,,24.4,1011.1,,Katherine,No,2.0,No,18.0,E,1014.5,E,22.0,48.0,SE,24.0
31.7,63.0,32.6,0.0,2013-06-09,6.0,40.0,24.8,1009.0,1.0,Katherine,No,0.0,No,,E,1012.9,SE,15.0,50.0,E,20.0
31.4,,32.1,0.0,2013-06-10,6.6,,,1009.3,5.0,Katherine,No,,No,16.2,ESE,1012.3,ESE,11.0,39.0,ESE,20.0
,72.0,34.0,0.0,2013-06-11,5.6,,25.8,1008.7,,Katherine,No,1.0,No,16.5,ESE,1012.2,ENE,6.0,35.0,SE,15.0
33.0,60.0,34.9,0.0,2013-06-12,5.4,32.0,24.6,1007.8,2.0,Katherine,No,2.0,No,17.3,ESE,1011.6,ESE,13.0,41.0,ESE,20.0
32.3,59.0,33.3,0.0,2013-06-13,6.0,,24.0,1007.4,0.0,Katherine,No,1.0,No,17.5,ESE,1012.0,ESE,17.0,31.0,ESE,17.0
31.1,65.0,31.4,0.0,2013-06-14,7.0,,22.0,1009.4,6.0,Katherine,No,2.0,No,16.5,ESE,1012.6,SE,17.0,37.0,ESE,24.0
,39.0,28.8,0.0,2013-06-15,8.0,,19.6,1010.9,,Katherine,No,3.0,No,12.8,ESE,1015.4,ESE,19.0,41.0,ESE,17.0
29.0,,29.4,0.0,2013-06-16,4.0,22.0,20.5,1009.5,4.0,Katherine,No,3.0,No,10.2,E,1013.9,ESE,15.0,35.0,ESE,15.0
30.1,48.0,30.9,0.0,2013-06-17,7.6,,18.5,1008.7,1.0,Katherine,No,1.0,No,9.1,SE,1012.2,SE,9.0,28.0,SSE,17.0
30.1,,30.6,0.0,2013-06-18,4.8,,19.0,1009.2,1.0,Katherine,No,1.0,No,10.4,ESE,1013.2,SE,17.0,39.0,ESE,19.0
30.0,69.0,30.5,0.1,2013-06-19,5.2,,21.0,1011.5,6.0,Katherine,No,6.0,No,13.1,ESE,1014.3,ESE,20.0,37.0,E,19.0
27.5,42.0,27.7,0.0,2013-06-20,6.1,,23.2,1013.0,8.0,Katherine,No,7.0,No,20.0,ESE,1014.7,ESE,13.0,35.0,ESE,17.0
29.2,31.0,30.2,0.0,2013-06-21,7.0,,23.0,1013.1,8.0,Katherine,No,7.0,No,20.6,ESE,1016.3,SE,15.0,37.0,ESE,22.0
29.1,43.0,29.7,0.0,2013-06-22,8.0,,23.2,1013.6,6.0,Katherine,No,5.0,No,20.5,E,1016.5,ESE,19.0,43.0,ESE,19.0
29.5,38.0,30.1,0.0,2013-06-23,5.2,32.0,21.4,1013.7,0.0,Katherine,No,0.0,No,15.5,ESE,1017.9,ESE,22.0,37.0,E,17.0
30.6,58.0,31.4,0.0,2013-06-24,9.0,29.0,19.9,1013.2,0.0,Katherine,No,0.0,No,14.1,E,1017.5,SE,15.0,33.0,ESE,15.0
31.5,53.0,32.7,0.0,2013-06-25,4.8,,20.4,1012.0,0.0,Katherine,No,0.0,No,13.6,ENE,1016.9,ESE,15.0,35.0,ENE,11.0
32.2,47.0,33.5,0.0,2013-06-26,6.2,26.0,22.0,1010.3,0.0,Katherine,No,0.0,No,13.6,NNE,1015.1,ENE,11.0,31.0,E,7.0
32.2,61.0,33.5,0.0,2013-06-27,4.8,33.0,24.5,1009.2,0.0,Katherine,No,0.0,No,15.9,NE,1013.6,NNE,9.0,24.0,ESE,11.0
32.5,51.0,33.2,0.0,2013-06-28,5.0,16.0,22.7,1010.7,2.0,Katherine,No,0.0,No,15.4,E,1014.1,SSE,6.0,35.0,ESE,20.0
31.0,49.0,32.0,0.0,2013-06-29,7.2,21.0,21.2,1013.6,3.0,Katherine,No,2.0,No,15.7,E,1017.2,SE,15.0,44.0,ESE,26.0
29.0,35.0,29.2,0.0,2013-06-30,7.2,28.0,21.2,1015.2,0.0,Katherine,No,1.0,No,16.0,SE,1019.9,SE,24.0,48.0,SE,24.0
25.8,27.0,26.5,0.0,2013-07-01,10.8,,19.8,1014.6,0.0,Katherine,No,0.0,No,17.5,SE,1018.8,SE,30.0,56.0,SE,26.0
26.2,34.0,26.6,0.0,2013-07-02,7.8,15.0,16.9,1014.5,0.0,Katherine,No,0.0,No,9.4,E,1019.0,ESE,20.0,54.0,ESE,24.0
27.2,63.0,28.3,0.0,2013-07-03,6.2,25.0,17.0,1012.6,0.0,Katherine,No,2.0,No,7.9,ESE,1017.4,SE,7.0,41.0,ENE,13.0
29.8,70.0,30.6,0.0,2013-07-04,5.8,37.0,20.9,1010.5,2.0,Katherine,No,1.0,No,11.9,ESE,1015.4,ENE,17.0,28.0,N,11.0
30.2,47.0,31.1,0.0,2013-07-05,4.0,,21.3,1010.7,1.0,Katherine,No,0.0,No,15.2,E,1014.5,ESE,11.0,37.0,ESE,17.0
31.8,64.0,32.4,0.0,2013-07-06,5.4,35.0,21.3,1011.7,0.0,Katherine,No,0.0,No,15.4,SE,1015.5,SE,13.0,39.0,E,20.0
32.1,40.0,32.9,0.0,2013-07-07,8.0,36.0,23.8,1012.2,2.0,Katherine,No,3.0,No,20.1,E,1015.7,SE,15.0,41.0,E,26.0
32.5,70.0,32.9,0.0,2013-07-08,6.0,30.0,23.5,1012.9,5.0,Katherine,No,4.0,No,18.6,ESE,1016.7,SE,13.0,48.0,ESE,20.0
31.5,61.0,32.7,0.0,2013-07-09,7.4,45.0,25.2,1012.0,2.0,Katherine,No,0.0,No,21.1,E,1016.0,ESE,11.0,48.0,E,28.0
30.5,73.0,32.5,0.0,2013-07-10,7.8,56.0,22.8,1011.5,1.0,Katherine,No,0.0,No,17.4,E,1015.5,SE,19.0,48.0,E,24.0
31.2,67.0,32.5,0.0,2013-07-11,6.2,,22.5,1011.9,1.0,Katherine,No,1.0,No,16.1,ESE,1015.9,E,15.0,52.0,ENE,26.0
30.9,82.0,32.2,0.0,2013-07-12,6.2,,22.8,1011.9,6.0,Katherine,No,1.0,No,17.0,ENE,1015.8,SE,9.0,43.0,E,20.0
,77.0,32.8,0.0,2013-07-13,6.4,,23.6,1011.6,,Katherine,No,6.0,No,18.2,E,1015.4,E,17.0,39.0,ESE,19.0
32.0,,32.8,0.0,2013-07-14,6.0,,22.6,1011.6,0.0,Katherine,No,0.0,No,15.2,ESE,1015.6,SE,11.0,41.0,SE,20.0
31.0,66.0,32.2,0.0,2013-07-15,6.8,,22.2,1011.9,0.0,Katherine,No,0.0,No,14.4,E,1016.0,ESE,9.0,48.0,SE,19.0
31.5,67.0,32.5,0.0,2013-07-16,7.2,,21.8,1011.2,1.0,Katherine,No,0.0,No,,E,1015.6,ESE,13.0,52.0,E,20.0
31.2,61.0,32.1,0.0,2013-07-17,7.0,22.0,21.8,1009.6,1.0,Katherine,No,0.0,No,12.9,ENE,1014.8,E,4.0,41.0,ENE,19.0
31.0,61.0,32.6,0.0,2013-07-18,6.8,35.0,23.2,1009.2,3.0,Katherine,No,1.0,No,15.3,NW,1014.0,N,11.0,24.0,N,9.0
32.0,68.0,33.6,0.0,2013-07-19,5.0,29.0,24.3,1009.3,3.0,Katherine,No,0.0,No,16.8,E,1013.7,N,13.0,28.0,ENE,17.0
32.5,56.0,33.3,0.0,2013-07-20,6.4,27.0,22.6,1008.6,0.0,Katherine,No,0.0,No,15.4,ESE,1013.2,ESE,2.0,39.0,SE,24.0
30.7,40.0,30.9,0.0,2013-07-21,7.2,,22.5,1010.8,7.0,Katherine,No,2.0,No,17.5,ESE,1014.4,E,17.0,39.0,E,20.0
30.8,,31.4,0.0,2013-07-22,6.4,,23.1,1014.0,0.0,Katherine,No,1.0,No,18.5,SE,1017.1,ESE,24.0,37.0,ESE,19.0
29.6,30.0,30.5,0.0,2013-07-23,9.0,,21.1,1016.6,0.0,Katherine,No,0.0,No,15.8,SE,1020.2,ESE,24.0,46.0,SE,28.0
26.7,21.0,27.4,0.0,2013-07-24,11.8,14.0,18.1,1015.7,1.0,Katherine,No,0.0,No,14.9,SE,1020.2,SE,30.0,50.0,ESE,19.0
26.5,22.0,27.9,0.0,2013-07-25,5.6,10.0,17.7,1015.0,0.0,Katherine,No,0.0,No,7.2,E,1019.4,ESE,20.0,48.0,E,19.0
28.8,47.0,29.7,0.0,2013-07-26,8.0,25.0,15.5,1013.4,0.0,Katherine,No,0.0,No,5.2,E,1017.6,ESE,11.0,39.0,ENE,13.0
31.0,40.0,32.3,0.0,2013-07-27,4.4,30.0,18.4,1012.0,0.0,Katherine,No,0.0,No,9.9,NNE,1016.4,SE,7.0,35.0,N,11.0
32.1,61.0,32.8,0.0,2013-07-28,5.4,,21.8,1011.5,0.0,Katherine,No,0.0,No,13.7,E,1015.3,ENE,9.0,39.0,ENE,20.0
32.0,75.0,32.6,0.0,2013-07-29,8.0,,20.1,1011.4,4.0,Katherine,No,4.0,No,14.9,E,1015.5,SSE,9.0,41.0,ESE,19.0
32.0,58.0,32.6,0.0,2013-07-30,5.6,29.0,21.4,1010.4,0.0,Katherine,No,4.0,No,13.2,SE,1014.7,SE,13.0,46.0,E,24.0
30.2,,31.5,0.0,2013-07-31,6.8,21.0,22.2,1011.0,2.0,Katherine,No,3.0,No,13.4,ESE,1015.5,ESE,19.0,46.0,ESE,15.0
30.5,47.0,31.0,0.0,2013-08-01,8.0,,19.5,1010.8,2.0,Katherine,No,1.0,No,11.1,SE,1014.8,SE,13.0,37.0,ESE,17.0
31.5,49.0,32.3,0.0,2013-08-02,6.0,,20.5,1012.6,0.0,Katherine,No,0.0,No,11.0,SSE,1016.5,SE,13.0,37.0,SE,24.0
29.9,21.0,30.5,0.0,2013-08-03,10.0,12.0,21.6,1014.0,0.0,Katherine,No,0.0,No,11.1,SE,1018.6,SE,26.0,48.0,SE,19.0
30.2,37.0,31.2,0.0,2013-08-04,8.0,,18.2,1013.5,0.0,Katherine,No,0.0,No,7.9,E,1018.0,SE,15.0,43.0,ESE,20.0
31.0,52.0,31.0,0.0,2013-08-05,8.0,,18.8,1013.3,0.0,Katherine,No,0.0,No,9.1,E,1018.1,SE,13.0,48.0,ENE,19.0
30.0,48.0,31.0,0.0,2013-08-06,5.4,13.0,20.0,1013.2,0.0,Katherine,No,0.0,No,9.5,ESE,1017.1,E,11.0,43.0,ESE,19.0
