pressure.9.am,location,temp.9.am.c,rainfall,pressure.3.pm,humidity.3.pm,evaporation,min.temp.c,wind.dir.3.pm,wind.speed.9.am,wind.dir.9.am,rain.today,cloud.3.pm,temp.3.pm.c,cloud.9.am,rain.tomorrow,humidity.9.am,sunshine,wind.speed.3.pm,wind.gust.dir,wind.gust.speed,max.temp.c,date
1024.6,Perth,14.9,0.0,1022.3,49.0,2.6,4.8,WSW,9.0,E,No,5.0,18.0,2.0,No,50.0,8.6,17.0,WSW,31.0,19.4,2008-10-03
1021.5,Perth,16.7,0.4,1021.8,77.0,3.6,9.0,SW,17.0,WSW,No,5.0,14.4,5.0,No,64.0,9.3,26.0,SW,52.0,19.6,2008-10-04
1031.1,Perth,13.4,0.4,1028.5,35.0,4.6,3.4,SSE,17.0,SSE,No,3.0,18.2,5.0,No,44.0,11.1,13.0,SSW,35.0,19.0,2008-10-05
1033.5,Perth,15.7,0.0,1029.3,34.0,5.2,7.4,SE,13.0,ENE,No,5.0,19.5,2.0,No,57.0,11.1,13.0,SE,30.0,20.5,2008-10-06
1031.4,Perth,15.8,0.0,1027.6,40.0,4.8,7.4,SSW,15.0,E,No,1.0,20.4,1.0,No,50.0,11.4,19.0,SSW,35.0,21.9,2008-10-07
1026.9,Perth,18.4,0.0,1021.2,23.0,4.6,7.8,SW,17.0,NE,No,0.0,25.8,0.0,No,48.0,11.2,15.0,WSW,28.0,26.9,2008-10-08
1022.4,Perth,18.7,0.0,1020.7,50.0,4.0,7.4,SW,13.0,S,No,1.0,21.0,1.0,No,59.0,11.4,24.0,SW,37.0,22.6,2008-10-09
1022.3,Perth,18.3,0.0,1018.4,44.0,7.0,11.1,SSW,13.0,E,No,3.0,23.4,1.0,No,56.0,11.5,15.0,E,28.0,25.6,2008-10-10
1019.6,Perth,16.7,0.0,1018.1,48.0,4.4,9.7,W,11.0,SSE,No,7.0,19.7,7.0,No,64.0,6.0,13.0,W,28.0,20.6,2008-10-11
1022.0,Perth,16.6,0.0,1022.2,37.0,4.0,13.1,SSW,11.0,SSW,No,3.0,18.8,5.0,No,66.0,9.2,20.0,SW,41.0,20.5,2008-10-12
1026.6,Perth,17.1,0.0,1023.9,42.0,7.0,6.3,SW,11.0,E,No,3.0,20.3,2.0,No,56.0,10.9,22.0,SSW,39.0,22.1,2008-10-13
1023.3,Perth,19.2,0.0,1018.6,25.0,6.0,12.2,E,11.0,E,No,1.0,28.9,0.0,No,46.0,11.5,9.0,NNE,28.0,29.5,2008-10-14
1011.7,Perth,26.9,0.0,1011.2,46.0,7.2,18.1,NW,24.0,NNE,No,1.0,25.2,6.0,No,25.0,11.7,15.0,NE,41.0,32.1,2008-10-15
1014.6,Perth,19.1,0.0,1013.0,57.0,6.4,15.7,SSW,17.0,SW,No,5.0,21.0,7.0,No,68.0,5.9,17.0,SW,37.0,22.3,2008-10-16
1018.3,Perth,18.2,0.0,1017.4,51.0,5.4,14.8,SSW,9.0,S,No,1.0,20.2,6.0,No,56.0,9.5,20.0,SW,33.0,22.0,2008-10-17
1022.7,Perth,20.8,0.0,1020.7,49.0,5.2,15.7,SW,13.0,SW,No,1.0,25.0,4.0,No,58.0,11.8,15.0,SW,33.0,25.8,2008-10-18
1021.6,Perth,21.5,0.0,1017.2,23.0,8.2,12.8,E,13.0,E,No,2.0,33.0,1.0,No,52.0,11.9,11.0,ENE,35.0,33.5,2008-10-19
1014.9,Perth,28.7,0.0,1012.2,18.0,9.6,21.3,NNE,20.0,NE,No,6.0,34.9,7.0,No,29.0,8.9,20.0,N,48.0,35.7,2008-10-20
1012.9,Perth,27.9,0.0,1011.2,39.0,7.0,17.9,WSW,6.0,N,No,6.0,26.4,4.0,No,36.0,8.8,17.0,WSW,33.0,32.7,2008-10-21
1015.1,Perth,22.9,0.0,1015.9,69.0,5.4,16.5,SW,7.0,SE,No,8.0,22.2,5.0,No,67.0,5.2,26.0,SW,41.0,30.1,2008-10-22
1014.1,Perth,25.2,0.0,1008.6,47.0,4.6,18.4,E,13.0,ENE,No,7.0,28.9,6.0,Yes,51.0,3.2,9.0,NE,39.0,31.1,2008-10-23
1009.8,Perth,18.8,5.0,1008.0,65.0,3.6,18.0,NW,9.0,NNW,Yes,5.0,21.9,8.0,Yes,94.0,4.5,17.0,WNW,63.0,23.0,2008-10-24
1016.8,Perth,16.8,20.4,1017.8,63.0,4.6,13.2,SW,20.0,SSW,Yes,6.0,19.0,7.0,No,69.0,7.1,17.0,WSW,43.0,20.5,2008-10-25
1019.0,Perth,16.0,0.2,1016.1,44.0,4.8,7.7,SW,7.0,ENE,No,1.0,20.6,6.0,No,67.0,11.4,17.0,SW,30.0,21.6,2008-10-26
1013.8,Perth,16.9,0.0,1010.9,44.0,5.0,8.5,SW,13.0,S,No,1.0,22.1,1.0,No,58.0,11.7,15.0,WSW,31.0,22.3,2008-10-27
1005.2,Perth,18.0,0.0,1004.1,94.0,6.2,15.4,SW,11.0,SW,No,8.0,17.1,8.0,Yes,67.0,1.1,15.0,SW,43.0,20.3,2008-10-28
1011.0,Perth,17.7,6.2,1013.2,56.0,1.2,16.1,SW,17.0,SSW,Yes,7.0,21.2,7.0,No,77.0,6.5,28.0,SSW,52.0,21.8,2008-10-29
1020.9,Perth,14.3,0.2,1020.8,43.0,5.2,10.3,SW,9.0,SSE,No,3.0,18.7,6.0,No,68.0,11.6,17.0,SW,46.0,19.5,2008-10-30
1025.7,Perth,15.0,0.0,1023.1,42.0,6.4,10.0,SE,15.0,SE,No,6.0,21.1,1.0,No,62.0,11.0,17.0,SE,35.0,22.5,2008-10-31
1022.4,Perth,16.3,0.0,1018.0,29.0,4.8,10.8,N,15.0,ENE,No,1.0,23.3,1.0,No,57.0,12.5,9.0,SW,35.0,24.1,2008-11-01
1013.7,Perth,20.6,0.0,1012.0,46.0,6.4,9.1,SW,19.0,NE,No,1.0,24.0,1.0,No,43.0,12.4,17.0,SW,39.0,25.9,2008-11-02
1013.8,Perth,15.8,0.0,1013.7,39.0,7.6,13.6,W,4.0,NNE,No,7.0,18.6,7.0,Yes,66.0,3.2,19.0,WNW,43.0,19.5,2008-11-03
1014.9,Perth,17.6,9.2,1014.7,57.0,3.8,13.6,WSW,20.0,WSW,Yes,5.0,18.8,5.0,Yes,71.0,7.5,22.0,W,50.0,20.7,2008-11-04
1011.2,Perth,17.0,9.0,1010.4,67.0,4.6,12.4,SW,15.0,WNW,Yes,8.0,15.6,7.0,Yes,55.0,3.1,26.0,NW,50.0,19.5,2008-11-05
1014.3,Perth,12.3,8.4,1014.6,58.0,4.2,9.1,SW,6.0,SW,Yes,5.0,16.9,6.0,Yes,92.0,9.0,30.0,SSW,52.0,18.9,2008-11-06
1023.3,Perth,13.9,2.8,1021.7,49.0,3.6,6.5,S,11.0,SE,Yes,6.0,18.6,1.0,No,55.0,10.2,13.0,SW,35.0,20.0,2008-11-07
1022.0,Perth,17.6,0.0,1017.8,42.0,3.8,8.5,SW,6.0,E,No,1.0,23.6,0.0,No,64.0,12.9,17.0,SW,37.0,24.3,2008-11-08
1015.0,Perth,18.9,0.0,1011.9,58.0,6.6,11.2,SSW,11.0,SSW,No,6.0,24.5,5.0,No,70.0,12.9,17.0,SW,35.0,27.1,2008-11-09
1011.9,Perth,20.3,0.0,1010.0,50.0,6.2,14.2,W,7.0,SW,No,8.0,25.1,4.0,No,65.0,12.2,13.0,NNE,44.0,26.3,2008-11-10
1011.4,Perth,19.1,0.0,1010.7,62.0,5.8,16.1,SW,9.0,ESE,No,8.0,20.5,8.0,No,66.0,0.1,17.0,SW,28.0,22.2,2008-11-11
1014.1,Perth,17.1,0.0,1013.7,38.0,4.0,12.9,S,11.0,SE,No,4.0,22.2,5.0,No,59.0,12.3,15.0,SW,39.0,22.5,2008-11-12
1019.0,Perth,16.5,0.0,1016.4,31.0,5.2,12.4,SSE,11.0,ESE,No,2.0,21.9,1.0,No,52.0,11.9,11.0,SSE,37.0,23.3,2008-11-13
1021.1,Perth,16.2,0.0,1017.4,28.0,7.8,11.9,ESE,17.0,E,No,3.0,23.6,3.0,No,49.0,12.5,13.0,SE,43.0,24.4,2008-11-14
1021.6,Perth,17.0,0.0,1017.1,25.0,8.4,12.4,ESE,19.0,ESE,No,4.0,24.7,2.0,No,51.0,12.9,19.0,SE,46.0,25.8,2008-11-15
1019.0,Perth,16.5,0.0,1014.3,32.0,8.4,12.7,E,19.0,E,No,6.0,24.6,4.0,No,48.0,7.6,11.0,SE,43.0,25.5,2008-11-16
1015.4,Perth,18.3,0.0,1012.8,35.0,8.8,13.7,SE,13.0,E,No,5.0,24.1,4.0,No,50.0,11.4,13.0,SW,31.0,26.8,2008-11-17
1014.2,Perth,18.1,0.0,1011.1,37.0,7.4,13.6,SW,13.0,ESE,No,6.0,24.7,0.0,No,52.0,12.3,17.0,SW,33.0,25.9,2008-11-18
1008.1,Perth,21.8,0.0,1004.8,36.0,6.6,11.0,W,15.0,NE,No,2.0,28.2,1.0,Yes,46.0,12.3,15.0,WSW,31.0,29.5,2008-11-19
1004.0,Perth,19.8,2.6,1004.6,53.0,7.0,15.9,W,13.0,W,Yes,5.0,22.6,4.0,No,73.0,9.5,17.0,NW,37.0,23.1,2008-11-20
1008.6,Perth,19.6,0.6,1007.7,46.0,6.4,11.8,W,7.0,NNE,No,4.0,23.1,2.0,No,69.0,10.0,17.0,WSW,31.0,24.4,2008-11-21
1005.7,Perth,19.3,0.2,1003.7,89.0,4.0,13.6,WNW,13.0,NNE,No,7.0,16.8,2.0,Yes,64.0,6.8,2.0,N,33.0,23.6,2008-11-22
1002.1,Perth,17.9,17.4,1001.3,72.0,3.4,14.8,W,11.0,WSW,Yes,7.0,20.0,5.0,Yes,79.0,8.6,19.0,SW,43.0,22.2,2008-11-23
1007.9,Perth,17.2,1.8,1008.0,50.0,6.2,13.9,WSW,9.0,SSW,Yes,4.0,20.8,4.0,Yes,72.0,10.7,20.0,SSW,41.0,21.8,2008-11-24
1011.0,Perth,18.0,4.0,1009.8,47.0,5.6,13.4,SW,11.0,S,Yes,3.0,22.5,1.0,No,71.0,10.1,15.0,SW,30.0,23.2,2008-11-25
1009.0,Perth,19.4,0.2,1008.9,50.0,4.4,12.5,SW,11.0,WSW,No,5.0,20.9,3.0,Yes,61.0,11.3,20.0,WSW,39.0,22.2,2008-11-26
