Sunshine,Temp3pmF,Rainfall,WindGustDir,RainToday,WindSpeed3pm,WindSpeed9am,RainTomorrow,Cloud3pm,Pressure3pm,WindDir9am,Humidity3pm,Evaporation,Humidity9am,WindGustSpeed,Temp9amF,Cloud9am,Date,MaxTempF,Location,MinTempF,WindDir3pm,Pressure9am
12.3,85.1,0.0,ENE,No,28.0,15.0,No,1.0,1015.3,NNE,52.0,7.6,82.0,39.0,74.48,3.0,2009-01-28,86.53999999999999,Williamtown,62.059999999999995,ESE,1018.1
12.8,84.2,0.0,ENE,No,37.0,15.0,No,,1015.6,NNE,60.0,7.4,74.0,50.0,77.9,3.0,2009-01-29,89.06,Williamtown,63.68,ENE,1017.7
12.9,86.53999999999999,0.0,NE,No,33.0,17.0,No,1.0,1014.5,NNE,53.0,9.8,57.0,52.0,77.0,0.0,2009-01-30,90.14,Williamtown,62.059999999999995,E,1017.9
12.0,89.96000000000001,0.0,ENE,No,28.0,13.0,No,3.0,1013.6,N,44.0,9.8,61.0,54.0,78.98,1.0,2009-01-31,92.66,Williamtown,66.2,ENE,1017.2
12.5,86.0,0.0,ENE,No,33.0,9.0,No,1.0,1013.0,NE,47.0,9.6,66.0,54.0,77.36,0.0,2009-02-01,89.06,Williamtown,64.58,E,1014.8
12.1,83.66,0.0,ENE,No,28.0,13.0,No,6.0,1011.7,NNE,53.0,9.4,74.0,48.0,77.54,3.0,2009-02-02,87.61999999999999,Williamtown,65.3,ENE,1015.3
10.0,86.72,0.0,E,No,31.0,13.0,No,3.0,1007.4,NNE,52.0,8.0,66.0,46.0,76.28,4.0,2009-02-03,89.41999999999999,Williamtown,62.78,ENE,1009.9
11.5,86.18,0.0,ENE,No,22.0,9.0,No,2.0,1008.0,SE,54.0,7.8,86.0,41.0,75.2,4.0,2009-02-04,87.8,Williamtown,67.82,SE,1010.4
12.5,93.2,0.0,ENE,No,22.0,13.0,No,1.0,1005.7,N,44.0,9.0,70.0,39.0,77.72,0.0,2009-02-05,93.56,Williamtown,66.56,E,1008.8
12.5,97.88000000000001,0.0,ENE,No,24.0,7.0,No,0.0,1007.5,NE,28.0,9.4,66.0,37.0,79.34,0.0,2009-02-06,100.58000000000001,Williamtown,68.9,ENE,1009.7
12.8,96.44,0.0,E,No,28.0,19.0,No,0.0,1010.3,NE,26.0,11.6,43.0,48.0,84.38000000000001,2.0,2009-02-07,101.11999999999999,Williamtown,73.04,ENE,1013.5
12.9,94.64,0.0,NE,No,20.0,17.0,No,3.0,1006.9,NNE,38.0,12.8,57.0,37.0,77.72,1.0,2009-02-08,95.36,Williamtown,64.94,E,1010.8
9.7,75.38,0.0,SSW,No,37.0,19.0,No,3.0,1010.1,S,72.0,10.0,84.0,50.0,72.68,6.0,2009-02-09,79.34,Williamtown,65.84,S,1010.8
0.0,71.42,0.0,SSW,No,20.0,22.0,Yes,8.0,1008.3,SSW,83.0,9.2,90.0,48.0,68.72,8.0,2009-02-10,72.32,Williamtown,66.56,S,1010.3
2.0,69.08,15.0,SSW,Yes,28.0,22.0,Yes,8.0,1009.1,SW,80.0,3.4,89.0,50.0,64.22,8.0,2009-02-11,74.84,Williamtown,62.78,SSW,1009.5
1.5,68.18,11.0,SSE,Yes,22.0,22.0,Yes,7.0,1017.3,ESE,77.0,2.6,76.0,43.0,68.0,6.0,2009-02-12,73.58,Williamtown,61.519999999999996,SE,1015.4
4.0,73.58,31.2,S,Yes,28.0,9.0,Yes,7.0,1021.9,S,49.0,3.8,90.0,48.0,65.3,7.0,2009-02-13,76.1,Williamtown,60.08,ESE,1023.6
0.0,65.66,2.2,SE,Yes,39.0,31.0,Yes,8.0,1015.5,ESE,98.0,7.4,91.0,56.0,64.58,8.0,2009-02-14,66.38,Williamtown,64.04,SE,1020.2
0.0,64.22,134.8,SSE,Yes,28.0,19.0,Yes,8.0,1012.0,E,99.0,,90.0,54.0,65.3,8.0,2009-02-15,71.42,Williamtown,62.78,SSE,1012.3
4.2,74.48,14.4,SE,Yes,31.0,28.0,No,7.0,1015.3,ESE,60.0,1.8,71.0,50.0,71.06,7.0,2009-02-16,78.98,Williamtown,63.5,SSE,1015.5
0.2,69.8,0.0,SSE,No,33.0,28.0,Yes,7.0,1012.7,ESE,88.0,5.4,71.0,52.0,70.88,7.0,2009-02-17,74.48,Williamtown,67.46,SE,1014.4
2.3,74.66,19.4,SW,Yes,17.0,19.0,No,7.0,1008.3,WNW,72.0,0.4,92.0,48.0,67.82,7.0,2009-02-18,77.72,Williamtown,65.12,SE,1010.3
8.2,86.36,0.0,SE,No,20.0,7.0,No,1.0,1005.0,NW,43.0,4.0,93.0,31.0,69.8,7.0,2009-02-19,87.26,Williamtown,63.68,NW,1008.2
8.0,80.24000000000001,0.0,ESE,No,24.0,11.0,No,3.0,1009.4,SW,72.0,5.0,90.0,35.0,72.68,7.0,2009-02-20,86.0,Williamtown,68.0,ESE,1011.4
2.6,74.48,0.0,ESE,No,30.0,13.0,No,7.0,1011.8,ENE,77.0,5.6,79.0,39.0,75.2,5.0,2009-02-21,78.98,Williamtown,70.7,ESE,1012.3
11.9,77.54,1.0,ESE,No,22.0,17.0,No,2.0,1016.4,ESE,61.0,3.6,74.0,33.0,73.22,3.0,2009-02-22,78.8,Williamtown,60.62,ESE,1017.4
11.3,85.46000000000001,0.0,NE,No,17.0,13.0,No,2.0,1013.4,NW,53.0,5.8,85.0,37.0,70.52,2.0,2009-02-23,88.88000000000001,Williamtown,61.16,SSE,1016.6
8.2,92.48,0.2,WNW,No,13.0,6.0,No,4.0,1011.5,NNW,34.0,7.8,83.0,41.0,75.2,3.0,2009-02-24,94.82,Williamtown,68.36,WNW,1014.6
6.3,78.98,0.4,ESE,No,24.0,9.0,No,5.0,1013.6,S,67.0,8.2,88.0,39.0,72.68,8.0,2009-02-25,81.14,Williamtown,70.7,ESE,1015.9
5.5,75.2,0.0,SSE,No,30.0,22.0,No,5.0,1017.6,SSE,62.0,5.2,63.0,41.0,72.5,7.0,2009-02-26,78.25999999999999,Williamtown,67.28,SSE,1018.8
8.9,72.86,0.2,S,No,20.0,13.0,No,3.0,1015.3,WSW,56.0,5.6,80.0,37.0,69.08,2.0,2009-02-27,75.74000000000001,Williamtown,60.440000000000005,SSE,1017.1
8.6,82.58,0.0,WNW,No,20.0,7.0,No,5.0,1006.3,NW,52.0,6.2,84.0,28.0,65.66,6.0,2009-02-28,90.14,Williamtown,55.04,SE,1010.0
7.2,77.0,0.0,SSW,No,20.0,22.0,No,2.0,1009.8,SSE,65.0,5.0,79.0,37.0,74.12,7.0,2009-03-01,78.98,Williamtown,65.48,ESE,1009.9
5.1,77.54,0.2,SE,No,28.0,2.0,No,3.0,1014.4,NE,61.0,5.6,87.0,39.0,70.7,8.0,2009-03-02,80.42,Williamtown,62.78,SE,1015.6
9.0,80.78,0.0,E,No,28.0,11.0,No,3.0,1014.4,NE,59.0,6.6,69.0,37.0,74.48,6.0,2009-03-03,83.48,Williamtown,62.24,ESE,1017.6
1.8,75.92,0.0,S,No,28.0,13.0,Yes,7.0,1007.4,N,79.0,7.0,78.0,48.0,75.02,6.0,2009-03-04,86.9,Williamtown,69.8,S,1008.8
11.3,72.5,17.2,W,Yes,20.0,30.0,No,2.0,1008.7,WNW,32.0,6.0,48.0,48.0,64.04,0.0,2009-03-05,74.84,Williamtown,53.78,SE,1010.0
11.3,72.5,0.0,,No,20.0,13.0,No,3.0,1010.8,WNW,58.0,5.6,75.0,,62.78,1.0,2009-03-06,76.1,Williamtown,53.06,SE,1012.9
11.4,78.8,0.0,SE,No,15.0,19.0,No,2.0,1011.0,WNW,58.0,4.8,84.0,30.0,66.02,2.0,2009-03-07,79.52,Williamtown,55.22,SSE,1013.5
11.2,77.36,0.0,ESE,No,26.0,7.0,No,2.0,1016.6,WNW,58.0,5.0,95.0,39.0,69.98,3.0,2009-03-08,79.7,Williamtown,59.36,ESE,1016.5
11.0,77.0,0.0,ESE,No,26.0,22.0,No,6.0,1019.3,E,57.0,7.2,72.0,41.0,74.12,3.0,2009-03-09,78.44,Williamtown,63.5,E,1020.8
0.2,73.75999999999999,0.0,ESE,No,24.0,15.0,No,7.0,1020.2,ENE,64.0,6.6,68.0,35.0,71.6,7.0,2009-03-10,76.64,Williamtown,67.82,E,1021.1
6.7,76.64,0.0,,No,31.0,26.0,Yes,5.0,1021.1,ESE,66.0,5.8,78.0,,71.24000000000001,6.0,2009-03-11,77.54,Williamtown,62.059999999999995,ESE,1022.4
6.2,78.98,3.2,E,Yes,24.0,15.0,No,6.0,1019.3,ENE,56.0,4.4,70.0,35.0,72.32,3.0,2009-03-12,80.24000000000001,Williamtown,58.459999999999994,ENE,1021.7
5.7,79.34,0.0,NW,No,19.0,9.0,Yes,6.0,1015.2,N,58.0,5.0,71.0,35.0,71.06,6.0,2009-03-13,82.4,Williamtown,63.86,ESE,1018.2
6.7,82.4,2.0,SW,Yes,17.0,7.0,Yes,3.0,1010.6,N,57.0,4.8,95.0,39.0,69.8,5.0,2009-03-14,86.0,Williamtown,63.5,N,1014.7
8.2,87.08000000000001,4.4,NE,Yes,7.0,15.0,No,3.0,1007.0,NW,48.0,4.4,81.0,37.0,71.06,1.0,2009-03-15,87.98,Williamtown,62.42,N,1010.7
7.5,76.28,0.0,,No,11.0,13.0,No,1.0,1008.5,SSW,44.0,6.2,43.0,,66.74000000000001,7.0,2009-03-16,77.9,Williamtown,64.04,ESE,1011.4
11.3,73.58,0.0,SSE,No,24.0,17.0,No,1.0,1012.1,W,32.0,5.8,63.0,35.0,64.4,0.0,2009-03-17,75.02,Williamtown,53.06,SE,1013.2
11.0,76.28,0.0,ENE,No,24.0,13.0,No,,1015.8,NW,54.0,5.4,72.0,35.0,66.2,2.0,2009-03-18,78.08,Williamtown,53.06,E,1018.7
10.9,82.4,0.0,ENE,No,15.0,7.0,No,2.0,1013.4,NW,55.0,6.0,86.0,30.0,65.48,0.0,2009-03-19,82.94,Williamtown,53.24,E,1016.5
9.8,80.78,0.0,ESE,No,30.0,9.0,No,1.0,1015.2,ENE,61.0,5.4,87.0,39.0,69.98,1.0,2009-03-20,83.66,Williamtown,56.66,ESE,1017.1
10.6,77.54,0.0,SE,No,24.0,11.0,No,2.0,1016.2,E,61.0,4.8,79.0,37.0,73.4,2.0,2009-03-21,79.52,Williamtown,59.72,ESE,1017.8
8.4,79.34,0.0,SE,No,24.0,2.0,No,3.0,1014.7,WSW,57.0,5.8,99.0,33.0,66.92,1.0,2009-03-22,80.06,Williamtown,53.96,ESE,1017.4
10.1,84.2,0.0,ENE,No,11.0,9.0,No,1.0,1014.7,NNW,43.0,5.0,81.0,31.0,68.54,1.0,2009-03-23,84.91999999999999,Williamtown,56.48,NE,1017.0
10.8,86.36,0.0,NE,No,13.0,9.0,No,1.0,1016.1,NNE,39.0,6.6,78.0,31.0,69.62,0.0,2009-03-24,87.44,Williamtown,61.519999999999996,NE,1018.6
9.9,87.26,0.0,ENE,No,13.0,11.0,No,1.0,1017.4,N,42.0,6.6,72.0,33.0,69.08,6.0,2009-03-25,89.78,Williamtown,59.36,NNE,1020.1
8.3,86.9,0.0,SE,No,15.0,11.0,Yes,2.0,1016.1,NNE,44.0,5.6,77.0,26.0,69.98,2.0,2009-03-26,89.96000000000001,Williamtown,58.82,SE,1019.6
5.0,73.22,1.4,SSE,Yes,30.0,33.0,No,7.0,1022.7,SE,66.0,5.2,77.0,44.0,70.34,6.0,2009-03-27,77.72,Williamtown,66.92,SE,1022.3
10.5,74.66,0.0,SE,No,24.0,9.0,No,1.0,1022.7,NW,51.0,5.4,90.0,33.0,64.75999999999999,2.0,2009-03-28,75.56,Williamtown,57.56,ESE,1024.6
9.5,75.92,0.0,SE,No,24.0,0.0,No,1.0,1020.8,,58.0,5.0,98.0,35.0,64.4,1.0,2009-03-29,78.08,Williamtown,52.34,E,1022.9
5.1,73.58,0.0,SSE,No,28.0,24.0,Yes,7.0,1019.5,SSE,78.0,4.6,72.0,70.0,72.68,4.0,2009-03-30,77.54,Williamtown,55.04,SE,1022.0
0.0,69.44,20.8,ESE,Yes,37.0,30.0,Yes,7.0,1015.6,SE,92.0,,81.0,70.0,68.72,7.0,2009-03-31,72.32,Williamtown,65.84,SE,1018.7
0.8,69.44,25.4,E,Yes,26.0,28.0,Yes,7.0,1018.0,E,95.0,4.6,96.0,59.0,68.54,7.0,2009-04-01,73.94,Williamtown,65.3,ESE,1018.3
4.0,75.56,84.4,ESE,Yes,28.0,17.0,No,7.0,1020.0,ESE,77.0,,89.0,39.0,72.32,7.0,2009-04-02,78.44,Williamtown,66.38,E,1021.5
9.5,78.98,0.8,ENE,No,17.0,9.0,No,6.0,1016.0,ENE,70.0,2.6,96.0,30.0,69.8,2.0,2009-04-03,82.22,Williamtown,64.04,NE,1020.6
0.1,67.28,0.4,SSW,No,24.0,6.0,Yes,7.0,1017.3,SW,92.0,3.2,93.0,43.0,68.18,6.0,2009-04-04,74.66,Williamtown,66.74000000000001,S,1015.9
6.7,71.96,2.6,E,Yes,17.0,11.0,No,4.0,1014.6,E,64.0,1.8,70.0,31.0,69.25999999999999,6.0,2009-04-05,75.38,Williamtown,62.959999999999994,E,1019.2
2.3,67.46,0.0,S,No,28.0,15.0,Yes,6.0,1018.1,WSW,80.0,3.4,80.0,41.0,66.92,7.0,2009-04-06,74.66,Williamtown,57.02,S,1018.8
1.7,68.54,3.4,SE,Yes,15.0,13.0,No,6.0,1023.2,SSW,65.0,3.4,97.0,26.0,61.88,7.0,2009-04-07,69.44,Williamtown,58.1,SE,1024.7
4.0,65.84,0.8,,No,24.0,11.0,No,7.0,1024.4,W,72.0,2.2,74.0,,64.58,5.0,2009-04-08,70.7,Williamtown,52.34,SSE,1026.2
7.0,71.24000000000001,0.4,ESE,No,19.0,4.0,No,5.0,1021.8,W,61.0,1.4,84.0,28.0,65.48,2.0,2009-04-09,72.5,Williamtown,56.120000000000005,E,1024.8
7.0,74.3,0.0,WNW,No,6.0,11.0,No,6.0,1020.4,NW,60.0,3.0,82.0,19.0,64.58,3.0,2009-04-10,75.02,Williamtown,51.98,NW,1023.2
4.1,73.04,0.0,SE,No,11.0,7.0,No,7.0,1022.4,N,75.0,2.4,86.0,19.0,67.82,3.0,2009-04-11,75.56,Williamtown,54.14,ESE,1024.7
5.7,75.74000000000001,0.2,WSW,No,15.0,9.0,No,7.0,1020.1,NW,68.0,2.4,79.0,26.0,72.5,7.0,2009-04-12,80.24000000000001,Williamtown,64.22,SSE,1022.9
0.0,67.64,0.0,ENE,No,7.0,6.0,Yes,8.0,1018.6,W,97.0,3.0,86.0,17.0,69.25999999999999,8.0,2009-04-13,72.5,Williamtown,63.68,N,1021.4
6.7,79.88,1.8,NW,Yes,15.0,17.0,No,4.0,1010.7,WNW,51.0,0.0,90.0,35.0,67.46,6.0,2009-04-14,81.68,Williamtown,63.86,NW,1014.9
10.9,82.22,0.0,WNW,No,26.0,24.0,No,1.0,1008.1,WNW,30.0,3.6,70.0,41.0,71.6,1.0,2009-04-15,83.12,Williamtown,62.6,WNW,1011.7
10.0,77.54,0.0,NW,No,9.0,13.0,No,0.0,1011.3,W,36.0,7.2,48.0,26.0,66.38,0.0,2009-04-16,78.08,Williamtown,52.52,WNW,1015.2
9.2,71.78,0.0,SSW,No,26.0,11.0,No,0.0,1014.7,W,51.0,3.4,69.0,39.0,66.56,0.0,2009-04-17,74.48,Williamtown,52.879999999999995,SSE,1015.4
3.6,66.2,0.0,S,No,19.0,15.0,Yes,7.0,1017.0,SW,80.0,4.6,69.0,43.0,67.1,4.0,2009-04-18,73.4,Williamtown,57.379999999999995,SW,1018.8
5.6,68.54,41.0,SSE,Yes,37.0,24.0,Yes,6.0,1015.6,SW,67.0,3.8,85.0,61.0,65.3,4.0,2009-04-19,69.98,Williamtown,58.28,SSE,1017.5
2.5,68.72,23.2,SSE,Yes,31.0,37.0,Yes,7.0,1016.5,SSE,52.0,4.4,60.0,56.0,68.0,6.0,2009-04-20,70.7,Williamtown,58.459999999999994,S,1017.8
5.9,69.8,4.0,SSE,Yes,31.0,30.0,Yes,3.0,1019.0,SE,60.0,5.0,75.0,61.0,65.84,7.0,2009-04-21,72.86,Williamtown,62.059999999999995,SE,1020.9
2.7,70.52,2.0,SSE,Yes,30.0,26.0,Yes,5.0,1020.4,SSE,55.0,5.2,74.0,43.0,67.1,7.0,2009-04-22,70.7,Williamtown,56.120000000000005,SSE,1022.6
8.0,68.54,5.0,SSE,Yes,28.0,11.0,No,5.0,1017.2,NW,63.0,2.8,83.0,33.0,62.959999999999994,5.0,2009-04-23,71.42,Williamtown,51.26,SE,1021.0
6.4,73.75999999999999,0.0,NW,No,6.0,15.0,No,6.0,1007.3,NW,63.0,2.8,91.0,20.0,59.18,4.0,2009-04-24,74.3,Williamtown,49.28,N,1013.3
8.6,73.04,0.4,WNW,No,19.0,28.0,No,5.0,1003.1,WNW,46.0,4.2,51.0,69.0,68.0,0.0,2009-04-25,75.74000000000001,Williamtown,58.459999999999994,NNW,1005.7
10.4,68.72,0.0,WNW,No,52.0,37.0,No,1.0,1003.5,NW,35.0,6.6,41.0,81.0,71.24000000000001,1.0,2009-04-26,72.32,Williamtown,58.459999999999994,WNW,1003.2
10.6,65.66,0.0,WNW,No,22.0,26.0,No,1.0,1012.7,WNW,33.0,6.8,47.0,56.0,58.28,0.0,2009-04-27,66.56,Williamtown,46.4,W,1014.6
10.0,70.88,0.0,NW,No,26.0,28.0,No,4.0,1014.3,NW,35.0,5.0,46.0,59.0,64.4,2.0,2009-04-28,72.5,Williamtown,41.72,W,1016.2
5.0,64.22,0.0,S,No,15.0,11.0,No,7.0,1018.3,WSW,67.0,6.6,60.0,28.0,58.82,6.0,2009-04-29,67.28,Williamtown,46.04,ESE,1021.2
1.6,62.959999999999994,0.4,SSE,No,22.0,17.0,No,6.0,1018.4,WSW,66.0,0.8,82.0,35.0,57.379999999999995,7.0,2009-04-30,66.02,Williamtown,51.98,SSW,1018.9
9.5,68.9,0.2,WNW,No,13.0,19.0,No,4.0,1020.7,WNW,58.0,2.0,80.0,26.0,58.28,5.0,2009-05-01,71.78,Williamtown,50.72,ESE,1024.3
6.1,70.16,0.0,S,No,17.0,19.0,Yes,6.0,1021.4,WNW,59.0,3.0,80.0,31.0,59.36,2.0,2009-05-02,71.06,Williamtown,49.28,S,1024.0
5.2,66.92,9.6,SSW,Yes,13.0,13.0,No,3.0,1024.9,WNW,62.0,2.6,94.0,30.0,58.64,5.0,2009-05-03,69.25999999999999,Williamtown,55.76,SSE,1026.7
8.7,70.52,0.4,NW,No,11.0,19.0,Yes,2.0,1025.3,NW,55.0,2.6,91.0,22.0,57.74,1.0,2009-05-04,72.86,Williamtown,50.54,ESE,1028.1
0.2,63.14,13.4,SW,Yes,9.0,17.0,Yes,7.0,1027.0,WNW,93.0,3.2,99.0,35.0,58.1,7.0,2009-05-05,64.04,Williamtown,49.82,NNE,1029.7
8.2,68.18,11.4,NW,Yes,13.0,15.0,No,3.0,1023.5,WNW,61.0,0.4,90.0,19.0,60.08,4.0,2009-05-06,71.42,Williamtown,54.68,ESE,1028.1
9.9,70.52,0.0,WNW,No,17.0,20.0,No,1.0,1020.8,WNW,41.0,2.8,85.0,30.0,57.74,1.0,2009-05-07,72.14,Williamtown,47.66,SSE,1024.1
0.8,59.9,0.4,SW,No,13.0,13.0,Yes,8.0,1024.5,WNW,98.0,3.4,90.0,33.0,58.82,5.0,2009-05-08,60.980000000000004,Williamtown,51.26,SW,1026.3
9.2,68.0,29.6,WNW,Yes,7.0,19.0,Yes,1.0,1019.6,WNW,55.0,0.6,85.0,28.0,57.92,1.0,2009-05-09,70.16,Williamtown,50.9,SE,1023.8
3.7,64.22,4.4,SSE,Yes,28.0,13.0,Yes,4.0,1022.6,SW,50.0,2.2,93.0,43.0,56.84,7.0,2009-05-10,67.46,Williamtown,52.879999999999995,SE,1023.0
6.4,65.12,5.2,SSE,Yes,13.0,13.0,No,1.0,1021.6,WNW,47.0,2.4,81.0,22.0,55.76,6.0,2009-05-11,67.64,Williamtown,49.28,SE,1024.5
9.9,67.82,0.0,WNW,No,9.0,22.0,No,1.0,1017.5,WNW,39.0,2.6,83.0,28.0,52.879999999999995,1.0,2009-05-12,68.0,Williamtown,44.6,W,1021.3
10.0,69.08,0.0,WNW,No,19.0,26.0,No,2.0,1013.4,WNW,34.0,1.0,69.0,37.0,53.78,1.0,2009-05-13,69.8,Williamtown,44.42,WNW,1016.9
10.0,69.08,0.0,WNW,No,31.0,31.0,No,,1011.1,WNW,36.0,4.0,53.0,54.0,57.02,0.0,2009-05-14,69.98,Williamtown,45.32,WNW,1014.6
9.8,70.52,0.0,WNW,No,31.0,19.0,No,3.0,1010.2,WNW,33.0,4.0,51.0,59.0,61.7,3.0,2009-05-15,71.24000000000001,Williamtown,46.22,WNW,1014.7
8.0,70.88,0.0,NW,No,43.0,31.0,No,,1008.9,NW,42.0,7.6,45.0,61.0,63.86,5.0,2009-05-16,73.58,Williamtown,58.1,WNW,1011.1
9.6,65.48,0.0,WNW,No,15.0,20.0,No,2.0,1016.7,WNW,50.0,7.6,70.0,30.0,58.28,0.0,2009-05-17,68.72,Williamtown,48.92,ESE,1018.3
4.2,68.18,0.0,ESE,No,17.0,13.0,Yes,8.0,1022.1,NW,53.0,2.6,85.0,28.0,54.68,7.0,2009-05-18,70.7,Williamtown,47.84,ESE,1024.4
1.3,66.02,3.0,ESE,Yes,17.0,0.0,Yes,,1020.0,,63.0,1.2,96.0,35.0,57.379999999999995,7.0,2009-05-19,69.62,Williamtown,50.36,ENE,1023.3
2.7,61.16,3.4,,Yes,30.0,7.0,Yes,,1018.5,ENE,86.0,1.4,88.0,,60.8,7.0,2009-05-20,70.52,Williamtown,49.46,NE,1020.5
1.0,62.78,5.8,,Yes,33.0,41.0,Yes,6.0,1019.2,ESE,80.0,4.6,62.0,,66.92,8.0,2009-05-21,68.9,Williamtown,59.540000000000006,ESE,1021.1
0.4,62.959999999999994,13.4,ESE,Yes,22.0,17.0,Yes,8.0,1017.9,E,91.0,2.8,87.0,67.0,61.7,8.0,2009-05-22,69.62,Williamtown,59.0,E,1020.6
6.7,67.64,19.8,E,Yes,24.0,30.0,No,,1020.6,E,62.0,4.0,66.0,52.0,68.54,1.0,2009-05-23,71.06,Williamtown,59.0,E,1021.7
