WindDir9am,Rainfall,RainTomorrow,Date,WindSpeed9am,Pressure9am,Temp9amF,MaxTempF,RainToday,Humidity3pm,WindDir3pm,Sunshine,Temp3pmF,WindGustDir,Humidity9am,Evaporation,MinTempF,Cloud9am,Cloud3pm,Pressure3pm,Location,WindGustSpeed,WindSpeed3pm
N,0.0,No,2008-07-12,22.0,1023.2,47.120000000000005,52.34,No,53.0,N,0.0,50.54,N,68.0,2.0,43.879999999999995,7.0,8.0,1018.5,Melbourne,91.0,46.0
N,0.0,No,2008-07-13,33.0,1017.1,52.34,57.74,No,55.0,N,4.2,56.84,N,49.0,3.8,47.120000000000005,7.0,4.0,1014.4,Melbourne,87.0,44.0
SSW,0.0,No,2008-07-14,7.0,1017.4,47.3,66.02,No,24.0,N,9.4,64.22,N,78.0,2.6,45.32,1.0,5.0,1016.2,Melbourne,54.0,26.0
N,0.0,No,2008-07-15,17.0,1019.9,51.44,63.68,No,51.0,N,3.4,60.980000000000004,NNE,70.0,2.8,47.120000000000005,7.0,6.0,1018.2,Melbourne,39.0,24.0
N,0.0,No,2008-07-16,19.0,1022.2,45.5,61.519999999999996,No,55.0,N,8.3,57.379999999999995,N,86.0,2.6,43.16,1.0,6.0,1018.7,Melbourne,43.0,30.0
N,0.0,No,2008-07-17,35.0,1013.5,52.52,56.48,No,47.0,N,1.0,56.120000000000005,N,70.0,1.8,45.5,7.0,7.0,1009.2,Melbourne,59.0,30.0
WNW,0.8,Yes,2008-07-18,20.0,1008.2,48.74,54.32,No,70.0,WSW,2.1,53.06,SW,87.0,1.8,48.379999999999995,8.0,7.0,1009.0,Melbourne,56.0,19.0
N,1.6,No,2008-07-19,33.0,1012.5,46.94,57.379999999999995,Yes,55.0,N,1.4,55.4,N,74.0,1.4,43.519999999999996,7.0,7.0,1009.2,Melbourne,72.0,43.0
NNE,0.8,Yes,2008-07-20,43.0,1004.4,54.32,57.2,No,60.0,N,0.1,56.120000000000005,NNE,63.0,4.6,46.94,8.0,7.0,1001.5,Melbourne,63.0,39.0
SSW,13.8,Yes,2008-07-21,31.0,1011.7,50.0,56.120000000000005,Yes,44.0,SSW,4.9,53.06,SW,78.0,2.4,47.3,7.0,6.0,1017.7,Melbourne,70.0,35.0
WSW,2.4,No,2008-07-22,15.0,1029.0,46.4,54.68,Yes,62.0,SSW,4.4,53.78,SSW,78.0,1.6,43.16,6.0,6.0,1029.2,Melbourne,41.0,13.0
,0.8,No,2008-07-23,0.0,1034.1,46.58,53.42,No,77.0,SSE,1.4,51.44,SSE,85.0,1.2,43.879999999999995,7.0,7.0,1031.9,Melbourne,24.0,17.0
NNE,0.0,No,2008-07-24,11.0,1031.2,41.9,60.980000000000004,No,39.0,N,9.7,59.18,NNE,95.0,1.0,39.56,7.0,2.0,1026.2,Melbourne,33.0,17.0
N,0.0,No,2008-07-25,20.0,1024.8,41.54,60.980000000000004,No,46.0,NNE,9.5,58.64,NNE,78.0,2.0,38.839999999999996,6.0,5.0,1020.4,Melbourne,37.0,24.0
N,0.0,Yes,2008-07-26,24.0,1017.3,43.879999999999995,55.94,No,54.0,NNE,4.0,55.04,N,79.0,2.0,40.46,4.0,7.0,1013.7,Melbourne,41.0,20.0
WSW,8.2,Yes,2008-07-27,11.0,1013.5,46.04,50.36,Yes,80.0,SSW,0.0,49.82,S,91.0,2.0,43.879999999999995,7.0,7.0,1012.5,Melbourne,31.0,13.0
WSW,1.6,No,2008-07-28,9.0,1021.6,48.56,56.84,Yes,61.0,S,8.1,54.86,SSE,71.0,1.0,42.8,2.0,4.0,1021.4,Melbourne,41.0,24.0
N,0.0,No,2008-07-29,11.0,1023.0,40.64,57.92,No,45.0,ESE,7.6,56.66,N,84.0,1.2,38.12,1.0,7.0,1017.6,Melbourne,33.0,6.0
N,0.0,No,2008-07-30,28.0,1015.5,43.7,59.36,No,41.0,NNE,7.5,58.28,N,76.0,1.4,39.92,1.0,3.0,1012.1,Melbourne,56.0,31.0
N,0.4,No,2008-07-31,41.0,1011.6,49.46,59.72,No,46.0,N,4.7,59.36,N,64.0,3.2,43.7,6.0,6.0,1006.9,Melbourne,69.0,41.0
NW,0.4,No,2008-08-01,28.0,999.7,53.24,58.459999999999994,No,67.0,WSW,5.2,51.620000000000005,WSW,70.0,3.8,49.46,3.0,7.0,1001.5,Melbourne,80.0,43.0
W,0.6,No,2008-08-02,19.0,1015.9,49.64,59.540000000000006,No,55.0,WSW,6.0,58.28,WSW,78.0,3.0,47.48,5.0,6.0,1016.1,Melbourne,46.0,26.0
N,0.0,No,2008-08-03,22.0,1019.2,50.0,58.82,No,54.0,N,5.0,56.66,N,69.0,1.4,46.22,2.0,4.0,1015.7,Melbourne,52.0,30.0
N,0.2,No,2008-08-04,17.0,1017.7,51.98,56.48,No,52.0,NNE,1.0,56.120000000000005,NNE,61.0,2.8,49.46,7.0,7.0,1018.1,Melbourne,54.0,26.0
WSW,0.2,No,2008-08-05,6.0,1024.4,46.76,59.0,No,55.0,S,7.7,58.64,SSE,81.0,2.0,42.08,7.0,3.0,1022.8,Melbourne,30.0,20.0
N,0.0,No,2008-08-06,13.0,1021.7,48.379999999999995,61.88,No,43.0,NNE,7.6,60.26,NW,89.0,1.8,44.96,7.0,7.0,1017.0,Melbourne,35.0,17.0
SSW,0.0,No,2008-08-07,2.0,1017.6,48.2,59.72,No,52.0,S,5.7,58.1,W,70.0,1.8,44.239999999999995,6.0,6.0,1017.0,Melbourne,41.0,15.0
NNW,0.4,Yes,2008-08-08,19.0,1021.8,44.239999999999995,58.459999999999994,No,41.0,NW,8.0,57.2,NNW,61.0,2.2,39.92,2.0,6.0,1018.9,Melbourne,35.0,24.0
N,1.8,Yes,2008-08-09,17.0,1021.0,44.96,56.120000000000005,Yes,44.0,NW,7.6,54.5,NNW,73.0,2.8,41.54,1.0,7.0,1016.7,Melbourne,46.0,22.0
W,4.8,Yes,2008-08-10,19.0,1013.9,42.260000000000005,53.96,Yes,66.0,WSW,2.4,48.379999999999995,SW,83.0,1.6,42.08,8.0,6.0,1013.0,Melbourne,70.0,24.0
W,11.4,No,2008-08-11,19.0,1020.1,47.120000000000005,56.3,Yes,57.0,WSW,5.2,53.6,WSW,75.0,2.0,41.18,7.0,6.0,1019.7,Melbourne,50.0,30.0
NNW,0.6,Yes,2008-08-12,13.0,1020.2,49.64,55.76,No,69.0,W,4.5,54.68,W,60.0,1.8,45.14,6.0,7.0,1019.0,Melbourne,63.0,26.0
W,1.6,No,2008-08-13,24.0,1027.1,45.5,55.4,Yes,48.0,W,8.4,54.68,WSW,68.0,2.0,41.9,1.0,7.0,1025.8,Melbourne,46.0,31.0
WSW,0.2,No,2008-08-14,31.0,1025.1,50.36,57.379999999999995,No,65.0,WSW,3.7,55.94,WSW,75.0,1.6,45.32,7.0,7.0,1021.7,Melbourne,56.0,39.0
WSW,0.2,Yes,2008-08-15,26.0,1018.5,52.52,57.56,No,80.0,SSE,1.4,55.58,WSW,77.0,2.2,49.82,7.0,7.0,1015.9,Melbourne,50.0,19.0
SW,2.2,Yes,2008-08-16,28.0,1017.6,49.1,57.74,Yes,60.0,SSW,2.5,55.04,SSW,87.0,3.6,47.3,7.0,6.0,1018.9,Melbourne,52.0,28.0
SW,4.2,No,2008-08-17,24.0,1025.6,47.48,55.22,Yes,56.0,SSW,2.8,52.7,SW,83.0,1.4,46.04,5.0,7.0,1025.3,Melbourne,31.0,17.0
W,0.4,No,2008-08-18,24.0,1026.8,48.02,57.74,No,55.0,SW,7.1,56.3,SW,76.0,1.4,44.06,6.0,6.0,1025.9,Melbourne,41.0,20.0
N,0.0,No,2008-08-19,30.0,1026.8,49.64,59.36,No,46.0,NW,6.1,58.82,NNW,68.0,2.4,43.16,7.0,7.0,1023.1,Melbourne,50.0,28.0
N,0.0,No,2008-08-20,30.0,1022.4,53.24,59.540000000000006,No,43.0,N,0.7,59.0,NNW,61.0,3.0,49.46,7.0,7.0,1019.2,Melbourne,52.0,33.0
W,0.0,Yes,2008-08-21,9.0,1018.3,49.64,49.82,No,86.0,S,0.0,47.48,SSW,74.0,3.0,49.46,8.0,8.0,1018.7,Melbourne,41.0,13.0
SW,14.0,No,2008-08-22,17.0,1025.3,48.92,55.04,Yes,55.0,S,5.7,53.06,S,65.0,1.0,42.620000000000005,5.0,7.0,1025.7,Melbourne,46.0,31.0
WSW,0.6,No,2008-08-23,19.0,1030.2,45.5,57.56,No,59.0,SE,5.7,56.84,WSW,83.0,1.6,40.64,7.0,7.0,1029.1,Melbourne,26.0,11.0
WSW,0.2,No,2008-08-24,17.0,1031.9,50.9,57.56,No,46.0,SSE,0.2,56.48,W,75.0,0.8,45.32,7.0,6.0,1029.8,Melbourne,20.0,9.0
N,0.0,No,2008-08-25,19.0,1028.1,42.8,57.74,No,48.0,N,5.1,55.94,N,75.0,1.6,37.76,2.0,7.0,1023.5,Melbourne,37.0,26.0
N,0.0,No,2008-08-26,28.0,1020.9,53.78,63.14,No,32.0,WSW,6.0,61.16,W,45.0,3.2,42.620000000000005,3.0,5.0,1021.1,Melbourne,46.0,26.0
WSW,0.0,No,2008-08-27,9.0,1030.3,50.0,59.540000000000006,No,60.0,SSW,5.8,56.3,SSW,67.0,2.6,45.32,6.0,6.0,1029.2,Melbourne,30.0,19.0
W,0.0,No,2008-08-28,6.0,1030.5,51.44,58.82,No,63.0,SSE,2.9,57.2,SSE,77.0,1.6,48.74,7.0,5.0,1027.1,Melbourne,26.0,13.0
N,0.4,No,2008-08-29,19.0,1025.8,48.02,66.74000000000001,No,32.0,NNE,10.0,65.12,N,81.0,1.4,45.14,1.0,3.0,1020.9,Melbourne,41.0,22.0
NNE,0.0,No,2008-08-30,37.0,1015.7,57.379999999999995,64.75999999999999,No,46.0,N,1.9,61.16,N,51.0,4.0,47.48,7.0,7.0,1009.7,Melbourne,80.0,41.0
NNW,0.4,No,2008-08-31,19.0,1007.0,57.74,65.48,No,69.0,W,3.6,53.42,WNW,68.0,2.2,55.4,7.0,6.0,1007.2,Melbourne,72.0,46.0
NNW,0.8,No,2008-09-01,13.0,1020.0,50.36,61.519999999999996,No,40.0,NNW,7.8,59.72,NW,66.0,4.2,46.4,2.0,7.0,1018.8,Melbourne,61.0,33.0
N,0.8,No,2008-09-02,11.0,1025.8,52.7,62.959999999999994,No,55.0,SSW,4.9,57.379999999999995,N,77.0,3.8,50.18,7.0,7.0,1027.2,Melbourne,43.0,17.0
SE,0.4,No,2008-09-03,22.0,1035.6,52.16,60.440000000000005,No,44.0,S,10.4,59.18,SE,46.0,3.4,48.56,2.0,1.0,1033.5,Melbourne,33.0,24.0
N,0.0,No,2008-09-04,4.0,1034.4,45.5,65.3,No,43.0,ESE,6.5,64.04,SSE,78.0,3.0,41.72,7.0,3.0,1029.2,Melbourne,30.0,13.0
NNE,0.0,No,2008-09-05,17.0,1026.1,49.82,66.2,No,36.0,NNW,1.2,63.5,NNE,70.0,2.4,45.5,6.0,7.0,1022.1,Melbourne,37.0,15.0
WSW,0.0,No,2008-09-06,7.0,1021.9,53.06,66.02,No,45.0,S,7.3,64.4,SSE,65.0,2.6,45.14,2.0,4.0,1018.4,Melbourne,26.0,17.0
W,0.0,No,2008-09-07,15.0,1020.0,52.879999999999995,63.5,No,67.0,SSE,5.6,57.92,SSW,74.0,2.2,50.36,7.0,7.0,1019.0,Melbourne,41.0,28.0
SSW,0.2,No,2008-09-08,19.0,1025.0,53.78,59.36,No,47.0,S,6.3,56.3,SSE,51.0,1.6,49.46,7.0,5.0,1025.2,Melbourne,39.0,28.0
SW,0.2,No,2008-09-09,13.0,1028.2,52.52,58.28,No,43.0,SSE,0.3,57.02,S,47.0,3.0,50.54,7.0,7.0,1025.9,Melbourne,30.0,17.0
N,0.0,No,2008-09-10,7.0,1022.8,48.92,67.46,No,29.0,NNE,9.2,65.3,N,62.0,2.2,42.8,6.0,1.0,1017.2,Melbourne,44.0,17.0
N,0.0,No,2008-09-11,46.0,1014.8,58.1,66.02,No,24.0,N,5.7,63.14,N,32.0,5.0,48.74,4.0,7.0,1009.9,Melbourne,67.0,39.0
N,0.0,No,2008-09-12,65.0,1004.2,63.32,76.1,No,31.0,N,6.9,73.58,N,36.0,11.4,57.2,6.0,3.0,1000.6,Melbourne,91.0,39.0
N,0.0,No,2008-09-13,43.0,1008.6,64.22,77.9,No,27.0,N,10.7,77.54,N,45.0,6.4,61.34,8.0,0.0,1003.7,Melbourne,70.0,39.0
WNW,0.0,No,2008-09-14,35.0,1001.8,60.440000000000005,65.84,No,27.0,NW,6.5,62.24,WNW,42.0,9.2,59.9,1.0,7.0,1003.5,Melbourne,70.0,26.0
N,0.0,Yes,2008-09-15,39.0,998.5,54.86,62.24,No,61.0,NW,4.9,52.7,WNW,57.0,8.4,54.5,7.0,6.0,998.7,Melbourne,102.0,33.0
W,2.0,No,2008-09-16,30.0,1018.7,49.46,57.74,Yes,53.0,S,7.1,53.24,WSW,57.0,3.8,44.96,6.0,7.0,1021.7,Melbourne,50.0,13.0
N,0.0,No,2008-09-17,11.0,1026.0,50.72,65.12,No,37.0,NNE,10.7,63.32,N,61.0,2.8,40.64,3.0,2.0,1020.9,Melbourne,39.0,19.0
N,0.0,No,2008-09-18,37.0,1016.5,58.28,66.02,No,29.0,N,3.8,64.75999999999999,N,45.0,4.6,48.02,7.0,8.0,1011.6,Melbourne,69.0,41.0
N,0.0,No,2008-09-19,44.0,1008.4,64.04,76.82,No,25.0,N,5.4,75.56,SW,36.0,7.4,57.92,6.0,5.0,1003.5,Melbourne,67.0,31.0
NNW,0.2,No,2008-09-20,31.0,1008.4,58.64,66.56,No,26.0,W,7.9,64.04,W,54.0,7.4,51.44,7.0,6.0,1008.9,Melbourne,63.0,33.0
NNW,0.4,No,2008-09-21,26.0,1015.8,55.4,67.64,No,32.0,N,10.6,66.92,N,48.0,4.2,43.7,1.0,3.0,1010.9,Melbourne,69.0,46.0
N,0.0,Yes,2008-09-22,56.0,1000.3,65.84,73.58,No,85.0,WSW,3.8,57.02,N,31.0,10.6,55.22,6.0,8.0,1000.1,Melbourne,83.0,31.0
WSW,6.4,No,2008-09-23,39.0,1018.2,54.5,64.75999999999999,Yes,34.0,WSW,9.3,63.32,W,58.0,4.4,41.18,3.0,7.0,1020.4,Melbourne,54.0,28.0
WSW,0.0,No,2008-09-24,19.0,1031.5,54.32,65.48,No,43.0,S,10.1,64.58,WSW,64.0,3.0,44.96,5.0,3.0,1028.4,Melbourne,30.0,17.0
N,0.0,No,2008-09-25,37.0,1028.1,61.16,74.12,No,22.0,N,11.1,73.75999999999999,N,41.0,4.8,46.4,0.0,0.0,1021.3,Melbourne,65.0,43.0
N,0.0,No,2008-09-26,35.0,1019.7,63.32,82.75999999999999,No,13.0,NW,9.1,82.22,N,41.0,10.0,58.459999999999994,7.0,7.0,1014.7,Melbourne,63.0,28.0
SE,0.0,No,2008-09-27,9.0,1016.9,61.34,75.2,No,39.0,SSE,10.3,74.48,SW,64.0,8.2,53.06,1.0,1.0,1009.5,Melbourne,74.0,20.0
SW,0.0,No,2008-09-28,20.0,1014.7,56.84,69.25999999999999,No,35.0,WSW,7.4,67.46,W,55.0,5.8,52.879999999999995,7.0,6.0,1011.8,Melbourne,61.0,26.0
SW,0.6,No,2008-09-29,24.0,1019.6,53.6,59.36,No,42.0,S,5.9,57.02,SSW,58.0,6.0,48.2,6.0,5.0,1019.6,Melbourne,52.0,17.0
WSW,0.0,No,2008-09-30,24.0,1021.6,53.96,63.5,No,35.0,WNW,10.8,62.059999999999995,SSE,47.0,3.4,46.94,6.0,4.0,1019.3,Melbourne,33.0,9.0
N,0.0,No,2008-10-01,44.0,1016.8,59.9,72.32,No,23.0,NNE,4.5,69.62,N,33.0,4.0,44.06,7.0,7.0,1010.6,Melbourne,74.0,37.0
WSW,0.0,No,2008-10-02,22.0,1014.5,63.68,76.1,No,44.0,NNW,11.3,71.78,N,59.0,9.0,57.92,5.0,1.0,1011.3,Melbourne,56.0,11.0
N,0.0,Yes,2008-10-03,35.0,1011.4,71.06,79.16,No,81.0,W,5.0,62.059999999999995,WNW,40.0,6.0,51.620000000000005,1.0,7.0,1013.4,Melbourne,59.0,24.0
SSW,4.4,No,2008-10-04,15.0,1017.9,55.4,63.68,Yes,35.0,SE,9.1,60.8,S,72.0,4.0,52.7,7.0,2.0,1016.6,Melbourne,39.0,19.0
N,0.0,No,2008-10-05,11.0,1017.8,50.9,71.24000000000001,No,26.0,SSW,12.0,69.62,NNW,63.0,4.2,42.260000000000005,0.0,1.0,1012.4,Melbourne,41.0,9.0
WSW,1.0,Yes,2008-10-06,20.0,1010.4,50.0,57.74,No,72.0,SSW,4.4,53.24,SW,84.0,4.8,50.0,7.0,7.0,1012.9,Melbourne,70.0,37.0
W,2.0,No,2008-10-07,22.0,1020.0,50.54,60.8,Yes,45.0,SW,2.5,60.62,W,64.0,4.4,46.4,7.0,7.0,1017.9,Melbourne,46.0,26.0
WSW,0.0,No,2008-10-08,19.0,1022.5,52.16,61.16,No,42.0,WSW,4.5,59.18,WSW,56.0,1.8,50.18,8.0,7.0,1021.7,Melbourne,39.0,20.0
WNW,0.0,No,2008-10-09,13.0,1027.5,54.5,68.0,No,37.0,NW,10.5,65.66,SSE,55.0,3.6,50.18,5.0,1.0,1025.4,Melbourne,30.0,13.0
N,0.0,No,2008-10-10,24.0,1028.0,55.94,79.34,No,18.0,WNW,12.0,76.82,SSE,60.0,4.4,46.4,0.0,1.0,1024.2,Melbourne,46.0,9.0
N,0.0,No,2008-10-11,31.0,1025.1,58.459999999999994,82.22,No,18.0,NW,9.8,80.78,N,62.0,6.4,49.46,2.0,4.0,1021.1,Melbourne,52.0,28.0
N,0.0,No,2008-10-12,37.0,1019.4,68.9,87.08000000000001,No,14.0,NNW,7.1,85.1,N,27.0,9.6,57.56,7.0,5.0,1015.1,Melbourne,63.0,37.0
SW,0.0,No,2008-10-13,30.0,1015.9,60.980000000000004,66.74000000000001,No,38.0,SSW,4.9,66.56,N,61.0,14.2,60.26,7.0,2.0,1017.9,Melbourne,59.0,20.0
SSW,0.0,No,2008-10-14,24.0,1023.5,53.06,63.5,No,38.0,S,6.7,62.42,SSW,68.0,4.8,50.18,7.0,7.0,1023.3,Melbourne,37.0,20.0
SW,0.0,No,2008-10-15,22.0,1026.1,55.4,68.18,No,46.0,S,8.6,66.56,S,68.0,4.8,49.82,5.0,3.0,1024.4,Melbourne,39.0,20.0
SSW,0.0,No,2008-10-16,6.0,1025.8,57.74,69.08,No,46.0,S,9.5,66.38,S,64.0,4.4,54.14,7.0,1.0,1022.6,Melbourne,33.0,22.0
N,0.0,Yes,2008-10-17,7.0,1023.4,58.1,72.86,No,52.0,S,12.0,69.62,S,69.0,4.2,51.26,1.0,0.0,1021.3,Melbourne,35.0,24.0
N,1.6,No,2008-10-18,41.0,1019.6,68.18,89.06,Yes,14.0,NNW,7.0,86.53999999999999,N,38.0,3.6,54.14,7.0,5.0,1017.3,Melbourne,59.0,33.0
S,0.0,No,2008-10-19,20.0,1021.7,60.62,64.58,No,62.0,SSE,0.6,64.22,NNW,74.0,12.0,59.0,8.0,7.0,1022.6,Melbourne,46.0,24.0
S,0.0,No,2008-10-20,24.0,1026.8,56.3,63.5,No,41.0,S,8.4,61.16,S,46.0,5.0,52.879999999999995,7.0,2.0,1026.2,Melbourne,46.0,28.0
SW,0.0,Yes,2008-10-21,26.0,1028.0,56.48,63.5,No,49.0,S,5.9,60.62,S,44.0,5.2,51.98,7.0,5.0,1027.4,Melbourne,56.0,33.0
SSE,2.6,No,2008-10-22,37.0,1030.9,55.58,61.7,Yes,41.0,SSE,12.2,59.18,SSE,51.0,3.8,48.74,6.0,2.0,1029.6,Melbourne,52.0,24.0
WNW,0.0,No,2008-10-23,11.0,1029.4,50.72,70.16,No,30.0,SSW,12.5,67.82,SSE,53.0,6.0,43.879999999999995,1.0,3.0,1025.2,Melbourne,30.0,13.0
N,0.0,No,2008-10-24,22.0,1021.4,57.2,77.54,No,18.0,N,5.1,76.28,N,55.0,5.8,50.54,7.0,5.0,1016.9,Melbourne,46.0,26.0
N,0.0,No,2008-10-25,54.0,1012.5,70.88,84.02,No,14.0,N,6.9,82.04,N,16.0,12.0,53.42,5.0,7.0,1009.7,Melbourne,72.0,35.0
N,0.0,No,2008-10-26,30.0,1010.8,75.2,86.9,No,20.0,NNE,1.6,84.02,N,30.0,14.8,70.7,8.0,7.0,1006.1,Melbourne,72.0,30.0
NW,0.0,Yes,2008-10-27,22.0,1010.2,69.25999999999999,71.6,No,47.0,WSW,7.5,69.62,WSW,45.0,9.4,63.86,7.0,7.0,1012.5,Melbourne,56.0,37.0
SSW,2.2,No,2008-10-28,15.0,1023.1,58.28,66.74000000000001,Yes,47.0,SSW,6.3,65.48,S,65.0,6.8,55.4,7.0,3.0,1022.9,Melbourne,41.0,20.0
SSE,0.0,No,2008-10-29,17.0,1024.3,56.120000000000005,71.06,No,51.0,SSW,12.5,66.92,SSE,56.0,5.0,51.26,0.0,5.0,1020.1,Melbourne,39.0,13.0
N,0.0,No,2008-10-30,39.0,1013.9,68.72,85.82,No,38.0,N,4.6,80.24000000000001,N,57.0,6.0,55.76,8.0,6.0,1007.5,Melbourne,76.0,56.0
NW,0.4,No,2008-10-31,17.0,1009.8,64.75999999999999,70.16,No,53.0,WSW,1.2,69.08,WSW,59.0,9.6,60.980000000000004,7.0,7.0,1012.4,Melbourne,54.0,33.0
S,0.2,No,2008-11-01,17.0,1024.8,56.3,65.12,No,58.0,SSE,3.4,62.78,S,62.0,4.4,54.32,7.0,6.0,1023.2,Melbourne,37.0,20.0
N,0.0,Yes,2008-11-02,37.0,1018.2,62.24,84.38000000000001,No,26.0,NW,8.6,82.94,N,68.0,4.4,54.5,7.0,7.0,1012.9,Melbourne,57.0,24.0
SW,2.8,Yes,2008-11-03,31.0,1014.2,60.26,64.94,Yes,73.0,SSW,0.2,61.519999999999996,N,72.0,6.6,58.28,8.0,7.0,1015.7,Melbourne,56.0,31.0
SSE,2.0,No,2008-11-04,28.0,1021.8,53.6,63.14,Yes,50.0,S,10.5,59.540000000000006,S,45.0,4.0,51.26,6.0,1.0,1018.3,Melbourne,48.0,19.0
NNE,0.0,No,2008-11-05,9.0,1012.8,53.06,80.06,No,17.0,NW,5.3,77.54,WSW,63.0,5.4,47.48,7.0,7.0,1007.2,Melbourne,52.0,28.0
W,0.0,No,2008-11-06,15.0,1010.4,60.8,75.2,No,38.0,W,10.2,72.68,WSW,63.0,8.0,52.7,7.0,5.0,1008.7,Melbourne,46.0,24.0
N,0.0,Yes,2008-11-07,24.0,1008.1,60.26,70.7,No,75.0,N,0.0,61.519999999999996,N,70.0,6.4,54.5,7.0,8.0,1003.1,Melbourne,87.0,46.0
W,7.6,No,2008-11-08,31.0,1005.3,58.64,67.46,Yes,40.0,WSW,4.0,64.94,WSW,60.0,3.6,55.04,7.0,7.0,1007.4,Melbourne,59.0,33.0
W,0.0,No,2008-11-09,22.0,1019.0,60.08,80.78,No,32.0,NW,11.8,76.1,WSW,61.0,4.4,52.34,7.0,1.0,1016.9,Melbourne,33.0,11.0
SSW,0.0,No,2008-11-10,7.0,1023.2,64.04,74.12,No,53.0,SSE,11.1,70.16,SSE,64.0,6.6,55.4,3.0,6.0,1021.3,Melbourne,35.0,20.0
N,0.0,No,2008-11-11,7.0,1020.4,63.68,89.6,No,33.0,NNW,12.6,82.22,N,64.0,6.0,55.22,1.0,6.0,1014.8,Melbourne,41.0,19.0
N,0.0,No,2008-11-12,30.0,1015.3,74.66,95.72,No,13.0,NW,10.5,94.46000000000001,NNE,41.0,10.0,62.059999999999995,7.0,5.0,1012.0,Melbourne,65.0,17.0
N,0.0,Yes,2008-11-13,48.0,1008.8,82.75999999999999,93.56,No,16.0,N,2.1,89.78,W,23.0,14.2,69.25999999999999,7.0,7.0,1006.3,Melbourne,78.0,50.0
SSW,10.2,No,2008-11-14,13.0,1012.0,59.36,70.52,Yes,52.0,S,6.5,69.08,S,85.0,11.2,58.82,8.0,4.0,1012.0,Melbourne,35.0,20.0
SW,0.0,No,2008-11-15,20.0,1016.6,56.84,72.86,No,37.0,SW,11.5,67.1,WSW,57.0,4.4,53.6,6.0,2.0,1014.9,Melbourne,57.0,19.0
SSW,0.0,No,2008-11-16,28.0,1021.7,55.94,63.32,No,42.0,S,8.4,61.519999999999996,SSE,44.0,8.4,53.06,7.0,3.0,1021.5,Melbourne,50.0,24.0
S,0.0,No,2008-11-17,20.0,1020.8,57.74,66.56,No,44.0,ESE,10.0,64.4,SE,47.0,4.2,53.06,7.0,2.0,1017.3,Melbourne,37.0,19.0
SE,0.0,No,2008-11-18,7.0,1014.2,58.28,67.82,No,56.0,SSW,3.1,64.4,SSE,62.0,5.8,50.36,7.0,8.0,1011.8,Melbourne,30.0,15.0
S,0.4,Yes,2008-11-19,15.0,1011.4,60.440000000000005,69.8,No,68.0,SW,0.1,66.56,SSE,80.0,2.8,57.2,8.0,7.0,1006.8,Melbourne,30.0,13.0
WSW,4.0,No,2008-11-20,31.0,1001.9,60.62,62.42,Yes,76.0,SW,6.0,60.08,WSW,76.0,2.4,58.82,8.0,8.0,1002.7,Melbourne,52.0,31.0
WSW,0.2,Yes,2008-11-21,19.0,1002.3,56.48,69.08,No,33.0,NW,7.1,66.74000000000001,SW,56.0,4.4,51.44,7.0,7.0,996.5,Melbourne,61.0,31.0
