Rainfall,Pressure9am,Cloud3pm,Humidity3pm,Sunshine,Temp9amC,MinTempC,WindSpeed3pm,Date,Temp3pmC,Cloud9am,WindDir9am,Humidity9am,Pressure3pm,MaxTempC,WindSpeed9am,WindDir3pm,RainToday,RainTomorrow,Evaporation,WindGustSpeed,WindGustDir,Location
2.0,1011.4,7.0,61.0,1.9,13.0,11.0,22.0,2008-12-14,15.8,8.0,S,69.0,1012.5,15.9,24.0,S,Yes,No,1.0,41.0,SSW,MountGambier
0.0,1014.4,7.0,50.0,8.6,13.2,10.6,30.0,2008-12-15,19.6,8.0,WSW,61.0,1012.3,19.9,17.0,W,No,No,3.0,46.0,WSW,MountGambier
0.4,1013.6,7.0,72.0,2.8,14.1,11.4,22.0,2008-12-16,18.4,7.0,NW,89.0,1012.6,19.3,15.0,WSW,No,Yes,4.4,43.0,SW,MountGambier
6.0,1012.8,7.0,64.0,0.1,14.5,12.4,15.0,2008-12-17,18.5,7.0,ESE,87.0,1009.1,19.7,15.0,ESE,Yes,No,2.2,31.0,SSE,MountGambier
0.0,1008.0,7.0,58.0,6.1,15.2,10.4,33.0,2008-12-18,16.2,7.0,,63.0,1008.8,19.1,0.0,WSW,No,No,3.2,50.0,WSW,MountGambier
0.6,1017.9,1.0,45.0,12.5,15.4,8.9,26.0,2008-12-19,18.0,2.0,S,46.0,1018.4,18.5,28.0,S,No,No,4.0,41.0,SSW,MountGambier
0.0,1021.5,1.0,39.0,14.0,15.5,6.2,11.0,2008-12-20,24.0,2.0,E,63.0,1017.8,24.9,20.0,SSE,No,No,4.8,33.0,S,MountGambier
0.0,1014.6,7.0,18.0,9.3,22.0,11.3,19.0,2008-12-21,28.2,7.0,NNE,38.0,1010.2,30.2,20.0,N,No,No,5.4,41.0,NNE,MountGambier
0.0,1006.1,8.0,64.0,2.3,18.2,18.2,30.0,2008-12-22,19.8,7.0,WNW,71.0,1007.2,20.6,30.0,W,No,No,12.2,54.0,N,MountGambier
0.0,1016.2,3.0,51.0,6.5,15.6,13.7,19.0,2008-12-23,19.0,8.0,S,61.0,1015.3,20.5,20.0,S,No,No,3.4,33.0,S,MountGambier
0.0,1013.5,1.0,35.0,13.8,16.2,6.6,28.0,2008-12-24,24.8,1.0,NE,57.0,1011.8,25.4,17.0,WNW,No,No,3.8,46.0,WSW,MountGambier
0.0,1015.9,4.0,40.0,13.2,16.8,9.3,19.0,2008-12-25,23.5,7.0,ESE,63.0,1012.6,24.0,13.0,SSW,No,No,7.0,33.0,SSW,MountGambier
0.0,1010.8,7.0,45.0,11.8,18.4,11.2,13.0,2008-12-26,24.8,6.0,SSW,68.0,1008.1,25.8,13.0,SSW,No,No,5.2,30.0,SSW,MountGambier
0.0,1007.6,7.0,50.0,13.4,18.0,12.9,22.0,2008-12-27,21.6,4.0,SW,66.0,1005.6,22.8,15.0,WSW,No,No,4.6,39.0,W,MountGambier
0.0,1004.6,7.0,59.0,5.1,16.2,13.3,28.0,2008-12-28,20.1,8.0,NW,89.0,1004.3,20.6,24.0,WSW,No,No,6.2,56.0,WNW,MountGambier
0.8,1010.5,7.0,49.0,9.3,16.2,10.7,30.0,2008-12-29,17.9,5.0,WSW,45.0,1009.8,19.1,28.0,W,No,Yes,4.8,48.0,W,MountGambier
6.0,1006.2,7.0,50.0,8.8,16.4,13.2,39.0,2008-12-30,17.4,7.0,WSW,60.0,1006.6,18.8,30.0,W,Yes,No,4.0,59.0,W,MountGambier
0.0,1007.7,6.0,51.0,7.1,14.6,12.2,31.0,2008-12-31,18.6,8.0,WSW,64.0,1006.3,19.6,24.0,WNW,No,No,4.6,52.0,W,MountGambier
0.8,1008.3,5.0,43.0,6.5,14.3,12.6,35.0,2009-01-01,16.6,7.0,SW,66.0,1011.6,17.0,28.0,SW,No,No,4.8,56.0,SW,MountGambier
0.0,1020.6,1.0,37.0,11.7,15.5,7.3,20.0,2009-01-02,17.4,5.0,S,48.0,1020.6,18.8,28.0,SSW,No,No,4.8,43.0,SSW,MountGambier
0.0,1020.5,3.0,33.0,11.9,13.3,4.0,13.0,2009-01-03,21.3,7.0,E,55.0,1017.0,22.6,13.0,SE,No,No,4.6,43.0,SSW,MountGambier
0.0,1016.2,1.0,44.0,13.8,16.6,6.2,20.0,2009-01-04,23.9,3.0,SE,56.0,1013.8,25.3,11.0,S,No,No,4.8,33.0,SSW,MountGambier
0.0,1014.8,4.0,45.0,13.6,15.8,6.2,22.0,2009-01-05,22.3,5.0,SW,68.0,1013.3,23.1,17.0,WNW,No,No,5.6,37.0,WSW,MountGambier
0.0,1011.9,5.0,65.0,8.5,16.4,12.7,31.0,2009-01-06,21.6,8.0,NW,90.0,1010.4,24.7,17.0,WSW,No,Yes,5.4,43.0,WSW,MountGambier
1.4,1012.3,5.0,41.0,8.0,14.8,13.7,26.0,2009-01-07,19.9,8.0,SSW,89.0,1013.0,21.2,19.0,SW,Yes,No,4.8,44.0,SW,MountGambier
0.0,1020.2,6.0,44.0,11.7,17.1,10.1,31.0,2009-01-08,17.5,7.0,SW,42.0,1021.1,19.3,26.0,S,No,No,5.8,48.0,S,MountGambier
0.0,1021.7,6.0,41.0,9.9,15.3,6.4,28.0,2009-01-09,20.8,7.0,ESE,52.0,1017.7,21.6,19.0,SSE,No,No,5.2,43.0,S,MountGambier
0.0,1014.0,1.0,47.0,13.8,16.4,9.0,31.0,2009-01-10,21.4,1.0,SE,59.0,1011.9,22.5,20.0,SSW,No,No,5.2,46.0,S,MountGambier
0.0,1013.3,1.0,39.0,11.2,14.7,7.7,28.0,2009-01-11,22.1,7.0,S,68.0,1012.7,22.6,7.0,SW,No,No,6.4,39.0,SSW,MountGambier
0.0,1018.5,1.0,45.0,11.6,18.1,14.0,19.0,2009-01-12,26.0,7.0,S,71.0,1016.0,27.2,2.0,S,No,No,4.8,33.0,S,MountGambier
0.0,1010.6,1.0,8.0,13.0,26.6,13.6,37.0,2009-01-13,38.2,1.0,N,24.0,1006.3,39.3,28.0,NW,No,No,6.0,63.0,NNW,MountGambier
0.0,1012.1,7.0,53.0,5.8,17.5,15.2,26.0,2009-01-14,22.4,8.0,SSE,78.0,1011.9,23.0,22.0,S,No,No,15.2,,,MountGambier
0.0,1016.8,3.0,44.0,12.1,17.3,11.8,26.0,2009-01-15,21.2,5.0,WSW,56.0,1017.7,22.1,24.0,SW,No,No,5.0,46.0,WSW,MountGambier
0.0,1021.5,5.0,38.0,12.0,15.4,13.3,33.0,2009-01-16,18.3,7.0,SSW,63.0,1022.8,19.9,28.0,SW,No,No,6.6,46.0,SSW,MountGambier
0.0,1024.7,3.0,37.0,13.4,16.2,6.8,24.0,2009-01-17,22.6,1.0,ESE,50.0,1022.6,23.1,15.0,SSW,No,No,5.4,35.0,SSW,MountGambier
0.0,1021.3,0.0,25.0,13.8,16.7,4.9,22.0,2009-01-18,28.6,0.0,ESE,53.0,1017.7,29.0,13.0,S,No,No,5.4,39.0,SSW,MountGambier
0.0,1011.7,1.0,14.0,13.4,23.0,9.7,26.0,2009-01-19,32.5,2.0,N,32.0,1009.3,33.7,15.0,SW,No,No,7.2,43.0,W,MountGambier
0.0,1007.2,7.0,17.0,12.0,19.8,12.3,13.0,2009-01-20,29.5,7.0,SW,69.0,1007.3,30.2,15.0,NNW,No,No,8.4,48.0,WSW,MountGambier
0.0,1011.4,6.0,40.0,10.8,17.6,9.0,26.0,2009-01-21,24.3,2.0,NNW,72.0,1007.7,25.7,13.0,W,No,No,7.0,43.0,WSW,MountGambier
0.0,996.5,7.0,51.0,5.2,22.7,14.9,39.0,2009-01-22,19.1,7.0,NW,42.0,1000.2,22.7,50.0,WNW,No,No,8.2,80.0,NW,MountGambier
0.0,1006.6,3.0,31.0,7.4,15.6,7.8,31.0,2009-01-23,23.3,5.0,N,60.0,1002.8,24.5,22.0,NNW,No,Yes,6.6,54.0,NW,MountGambier
3.2,1010.5,2.0,37.0,11.6,16.0,12.9,22.0,2009-01-24,19.3,7.0,WSW,54.0,1013.9,20.6,28.0,W,Yes,No,5.6,46.0,W,MountGambier
0.0,1019.0,1.0,39.0,13.3,15.6,5.7,13.0,2009-01-25,23.2,5.0,NNW,65.0,1018.2,24.6,9.0,SSW,No,No,5.2,37.0,S,MountGambier
0.0,1022.8,5.0,44.0,13.4,18.3,7.8,26.0,2009-01-26,26.6,3.0,SE,74.0,1019.4,27.6,15.0,S,No,No,5.2,37.0,S,MountGambier
0.0,1015.6,0.0,10.0,13.3,21.2,10.6,17.0,2009-01-27,38.3,1.0,NNE,57.0,1011.8,39.5,11.0,WSW,No,No,6.6,39.0,N,MountGambier
0.0,1009.0,2.0,13.0,13.2,32.4,21.1,30.0,2009-01-28,38.6,2.0,N,13.0,1007.4,43.6,24.0,SSW,No,No,10.8,48.0,N,MountGambier
0.0,1007.4,7.0,12.0,11.4,35.2,21.2,39.0,2009-01-29,40.1,2.0,NNW,23.0,1007.5,43.6,26.0,NNW,No,No,13.8,69.0,NW,MountGambier
0.0,1011.1,1.0,37.0,12.6,26.5,20.5,30.0,2009-01-30,33.0,2.0,S,53.0,1010.1,36.8,20.0,S,No,No,14.2,52.0,S,MountGambier
0.0,1014.6,7.0,48.0,9.7,24.0,17.5,28.0,2009-01-31,29.0,5.0,S,65.0,1014.6,32.4,26.0,SSE,No,No,8.6,54.0,SSE,MountGambier
0.0,1016.1,6.0,43.0,10.6,21.7,16.6,28.0,2009-02-01,30.8,7.0,SSE,64.0,1013.4,32.2,24.0,SSW,No,No,6.4,41.0,SSW,MountGambier
0.0,1013.5,6.0,60.0,7.4,18.9,17.3,28.0,2009-02-02,24.4,8.0,SSW,89.0,1012.7,25.8,26.0,S,No,No,7.8,43.0,SSE,MountGambier
0.0,1013.7,1.0,39.0,9.5,18.8,16.7,17.0,2009-02-03,29.4,8.0,SE,74.0,1009.7,31.7,24.0,E,No,No,4.4,37.0,ESE,MountGambier
0.0,1008.9,0.0,21.0,13.2,19.8,13.0,22.0,2009-02-04,34.6,0.0,ESE,70.0,1005.2,35.1,13.0,SSE,No,No,5.6,39.0,S,MountGambier
0.0,1008.8,2.0,49.0,7.9,19.1,16.0,26.0,2009-02-05,25.0,2.0,SSW,72.0,1010.2,25.2,19.0,SSW,No,No,9.0,39.0,SW,MountGambier
0.0,1009.0,7.0,51.0,9.3,16.7,9.5,20.0,2009-02-06,23.5,1.0,E,73.0,1007.2,30.1,13.0,SSE,No,No,4.6,54.0,SW,MountGambier
0.0,999.8,5.0,49.0,8.9,24.0,16.6,15.0,2009-02-07,26.0,5.0,NE,58.0,1003.7,34.5,9.0,SW,No,No,6.2,57.0,WSW,MountGambier
0.0,1014.9,7.0,40.0,6.4,17.1,14.1,28.0,2009-02-08,20.1,7.0,WSW,52.0,1016.1,21.8,19.0,SW,No,No,7.4,48.0,WSW,MountGambier
0.0,1020.3,4.0,26.0,11.1,15.1,9.3,24.0,2009-02-09,19.0,7.0,S,53.0,1019.3,20.1,19.0,SSW,No,No,5.2,54.0,S,MountGambier
0.8,1021.1,7.0,56.0,7.7,12.7,7.4,39.0,2009-02-10,14.8,6.0,SSW,74.0,1020.9,19.7,17.0,SSW,No,No,6.0,54.0,SSW,MountGambier
0.4,1023.2,8.0,50.0,1.7,14.3,11.9,33.0,2009-02-11,15.7,7.0,S,53.0,1023.0,19.0,26.0,S,No,No,2.6,52.0,S,MountGambier
0.2,1024.5,2.0,42.0,11.9,16.3,11.6,37.0,2009-02-12,20.6,5.0,SSE,40.0,1022.7,21.6,30.0,SSE,No,No,4.0,57.0,SSE,MountGambier
0.0,1026.2,0.0,21.0,12.7,15.0,7.1,24.0,2009-02-13,26.3,1.0,E,57.0,1022.8,27.3,28.0,E,No,No,5.4,39.0,S,MountGambier
0.0,1022.6,6.0,30.0,11.6,15.9,8.8,20.0,2009-02-14,25.7,2.0,ESE,72.0,1019.8,26.5,7.0,SSW,No,No,6.0,41.0,S,MountGambier
0.0,1019.9,3.0,39.0,10.1,18.2,15.1,30.0,2009-02-15,25.5,7.0,SE,73.0,1018.3,26.0,24.0,SE,No,No,5.0,50.0,SE,MountGambier
0.0,1019.2,0.0,28.0,12.1,18.1,13.4,11.0,2009-02-16,28.9,7.0,ESE,69.0,1015.0,29.2,26.0,SSE,No,No,6.8,39.0,ESE,MountGambier
0.0,1014.6,3.0,21.0,12.1,20.6,13.6,15.0,2009-02-17,32.4,1.0,ENE,53.0,1011.5,33.5,15.0,SSW,No,No,5.2,41.0,SSW,MountGambier
0.0,1010.9,6.0,18.0,11.7,23.3,14.6,30.0,2009-02-18,31.7,1.0,N,36.0,1008.5,33.9,15.0,W,No,No,6.8,50.0,WSW,MountGambier
0.0,1008.0,6.0,46.0,12.1,22.4,12.9,19.0,2009-02-19,26.4,2.0,W,44.0,1007.3,30.8,7.0,SSW,No,No,8.6,39.0,SW,MountGambier
0.0,1015.4,7.0,51.0,1.9,16.7,15.0,26.0,2009-02-20,20.1,8.0,WSW,74.0,1016.4,22.0,15.0,SW,No,No,7.0,41.0,SSW,MountGambier
0.0,1020.9,8.0,65.0,0.0,16.5,14.8,28.0,2009-02-21,18.4,8.0,SSW,75.0,1019.8,20.1,13.0,S,No,No,3.8,39.0,S,MountGambier
0.0,1018.1,1.0,27.0,12.5,17.1,10.0,15.0,2009-02-22,26.1,1.0,ESE,57.0,1013.6,27.3,19.0,SE,No,No,2.2,41.0,SSW,MountGambier
0.0,1010.5,8.0,81.0,8.3,19.2,9.3,30.0,2009-02-23,16.4,1.0,NNW,53.0,1013.9,24.9,17.0,SW,No,No,5.4,54.0,SW,MountGambier
0.0,1021.4,1.0,34.0,11.7,16.3,7.0,31.0,2009-02-24,20.3,5.0,SSE,50.0,1020.6,20.9,19.0,SSE,No,No,4.8,46.0,S,MountGambier
0.0,1021.4,7.0,32.0,10.0,14.3,6.1,15.0,2009-02-25,24.5,7.0,ESE,69.0,1018.6,25.4,22.0,SSE,No,No,4.8,39.0,S,MountGambier
0.0,1018.0,7.0,16.0,9.8,15.9,10.0,9.0,2009-02-26,30.7,4.0,E,76.0,1014.4,32.7,15.0,E,No,No,4.6,26.0,E,MountGambier
0.0,1010.2,2.0,46.0,11.9,27.3,15.8,33.0,2009-02-27,24.7,3.0,N,11.0,1011.2,32.2,22.0,SSW,No,No,8.2,52.0,SW,MountGambier
0.0,1015.7,4.0,39.0,4.8,16.5,13.0,28.0,2009-02-28,20.9,8.0,SW,65.0,1014.9,22.1,15.0,SW,No,No,8.0,41.0,SSW,MountGambier
0.0,1017.2,6.0,41.0,6.0,15.9,13.9,15.0,2009-03-01,20.0,8.0,SSW,56.0,1016.1,21.7,20.0,SSE,No,No,4.0,41.0,SSE,MountGambier
0.0,1014.8,7.0,22.0,9.0,15.6,8.3,17.0,2009-03-02,26.7,1.0,E,64.0,1009.8,28.4,26.0,NNW,No,No,3.8,39.0,ENE,MountGambier
0.4,999.5,8.0,94.0,1.9,23.3,15.5,30.0,2009-03-03,15.8,7.0,NNE,61.0,1003.6,27.7,41.0,W,No,Yes,8.0,81.0,N,MountGambier
5.8,1012.4,7.0,52.0,5.8,12.6,11.4,43.0,2009-03-04,16.6,2.0,W,82.0,1015.5,18.3,31.0,WSW,Yes,Yes,4.4,72.0,W,MountGambier
2.2,1020.2,7.0,62.0,7.8,14.8,12.0,28.0,2009-03-05,17.5,8.0,SW,88.0,1019.9,18.6,28.0,S,Yes,No,3.0,52.0,SW,MountGambier
1.0,1018.6,7.0,64.0,0.0,14.6,10.2,13.0,2009-03-06,16.3,7.0,WSW,71.0,1016.6,17.6,9.0,WSW,No,No,3.0,26.0,WSW,MountGambier
0.4,1018.2,6.0,43.0,5.8,13.5,11.1,22.0,2009-03-07,19.4,7.0,SSW,94.0,1017.8,20.9,11.0,SW,No,No,1.2,41.0,S,MountGambier
0.0,1022.3,6.0,48.0,7.4,13.9,10.2,20.0,2009-03-08,20.5,7.0,SE,64.0,1020.3,21.1,19.0,S,No,No,3.6,41.0,SSE,MountGambier
0.0,1021.8,0.0,45.0,11.2,15.0,9.2,28.0,2009-03-09,22.1,1.0,SE,69.0,1018.8,23.6,20.0,S,No,No,4.0,43.0,S,MountGambier
0.0,1020.5,6.0,36.0,4.9,16.5,12.0,11.0,2009-03-10,27.3,7.0,ESE,82.0,1017.5,27.6,20.0,ESE,No,No,4.2,37.0,E,MountGambier
0.0,1019.5,7.0,41.0,4.6,18.0,14.8,22.0,2009-03-11,26.1,7.0,E,87.0,1016.0,27.6,13.0,NE,No,Yes,3.0,48.0,E,MountGambier
13.0,1015.6,1.0,46.0,10.5,18.9,15.8,20.0,2009-03-12,26.8,1.0,NNE,88.0,1014.4,27.3,13.0,WSW,Yes,No,5.0,33.0,WSW,MountGambier
0.0,1015.9,,28.0,8.7,16.9,15.8,9.0,2009-03-13,28.9,7.0,SSW,91.0,1013.1,29.5,7.0,N,No,Yes,4.0,33.0,WNW,MountGambier
16.0,1009.8,5.0,89.0,8.1,15.5,14.4,20.0,2009-03-14,13.7,3.0,W,84.0,1009.9,18.9,24.0,WNW,Yes,Yes,6.4,72.0,WNW,MountGambier
4.8,1012.8,6.0,51.0,7.8,13.8,10.8,28.0,2009-03-15,17.9,6.0,WNW,73.0,1012.7,18.2,20.0,WSW,Yes,Yes,4.6,59.0,WSW,MountGambier
1.6,1015.2,7.0,58.0,5.9,13.2,12.0,26.0,2009-03-16,17.7,7.0,SW,91.0,1016.0,18.9,24.0,SW,Yes,No,3.0,41.0,SW,MountGambier
0.6,1020.4,8.0,65.0,0.0,13.5,12.0,20.0,2009-03-17,16.5,8.0,SW,79.0,1019.4,16.9,9.0,SSW,No,No,3.0,28.0,SW,MountGambier
0.0,1016.1,8.0,35.0,9.5,11.7,7.3,20.0,2009-03-18,22.6,7.0,NNE,83.0,1012.3,24.7,19.0,NNW,No,No,1.8,35.0,N,MountGambier
0.0,1012.2,3.0,53.0,10.7,18.2,11.5,22.0,2009-03-19,22.0,1.0,,68.0,1013.0,22.5,0.0,S,No,No,5.2,33.0,S,MountGambier
0.0,1016.7,1.0,42.0,10.6,14.0,8.2,7.0,2009-03-20,22.9,1.0,,94.0,1012.9,24.0,0.0,ESE,No,No,3.2,30.0,S,MountGambier
0.0,1009.9,7.0,23.0,7.5,17.4,10.3,41.0,2009-03-21,30.3,1.0,NNE,62.0,1007.0,34.9,9.0,W,No,No,3.6,69.0,W,MountGambier
0.4,1016.1,7.0,56.0,1.5,14.9,13.8,28.0,2009-03-22,17.5,7.0,S,80.0,1016.2,18.9,19.0,SSE,No,No,4.0,41.0,SW,MountGambier
0.0,1018.8,1.0,45.0,10.5,12.3,5.3,17.0,2009-03-23,19.4,7.0,,78.0,1016.5,20.5,0.0,S,No,No,2.8,35.0,SSE,MountGambier
0.0,1017.2,7.0,46.0,0.2,10.5,6.9,11.0,2009-03-24,20.6,8.0,ENE,92.0,1014.7,21.6,9.0,N,No,Yes,3.8,24.0,N,MountGambier
3.2,1015.5,5.0,66.0,6.5,15.7,10.4,15.0,2009-03-25,22.0,6.0,NE,97.0,1015.2,22.6,9.0,WNW,Yes,No,3.0,30.0,W,MountGambier
0.0,1021.6,3.0,56.0,7.2,16.5,14.3,30.0,2009-03-26,19.2,7.0,W,87.0,1023.9,20.6,24.0,SW,No,No,1.8,43.0,SW,MountGambier
0.2,1028.2,1.0,49.0,9.4,12.5,6.9,17.0,2009-03-27,19.2,1.0,,87.0,1026.1,20.3,0.0,WSW,No,No,3.6,33.0,SSW,MountGambier
0.0,1023.5,1.0,20.0,10.7,9.3,3.9,19.0,2009-03-28,26.1,1.0,N,95.0,1020.1,27.0,9.0,NNW,No,No,2.6,31.0,N,MountGambier
0.0,1022.7,1.0,50.0,10.5,11.3,3.2,20.0,2009-03-29,23.5,1.0,SW,75.0,1022.0,24.4,6.0,S,No,No,4.8,35.0,SSW,MountGambier
0.0,1025.9,1.0,53.0,8.1,15.0,11.3,35.0,2009-03-30,20.2,8.0,ESE,74.0,1024.2,22.0,22.0,SSE,No,No,3.0,48.0,S,MountGambier
0.2,1022.2,1.0,26.0,8.1,11.1,7.9,11.0,2009-03-31,28.4,8.0,ENE,100.0,1019.2,29.6,9.0,NNW,No,No,3.2,35.0,SSW,MountGambier
0.0,1020.6,6.0,22.0,10.2,19.5,11.1,17.0,2009-04-01,30.7,7.0,NNE,51.0,1018.1,31.4,17.0,NNE,No,No,4.0,37.0,NNE,MountGambier
0.0,1018.5,3.0,24.0,8.7,19.1,14.6,20.0,2009-04-02,32.2,7.0,WSW,58.0,1015.3,32.8,2.0,NNW,No,No,6.4,39.0,N,MountGambier
0.2,1019.1,7.0,52.0,5.5,14.3,11.8,31.0,2009-04-03,17.0,7.0,NW,75.0,1018.1,18.5,9.0,W,No,No,5.6,54.0,WSW,MountGambier
0.2,1025.3,8.0,56.0,1.2,12.5,7.8,20.0,2009-04-04,16.1,1.0,WNW,74.0,1024.1,16.8,7.0,W,No,Yes,3.4,35.0,W,MountGambier
1.2,1021.4,7.0,58.0,5.0,14.1,11.1,30.0,2009-04-05,14.7,7.0,W,91.0,1021.7,16.9,28.0,SW,Yes,Yes,1.6,50.0,SSW,MountGambier
2.4,1028.7,7.0,56.0,3.2,12.1,7.6,26.0,2009-04-06,14.2,7.0,WSW,71.0,1028.0,16.1,15.0,SSW,Yes,No,2.6,50.0,SW,MountGambier
0.0,1031.8,6.0,67.0,5.0,13.3,9.4,26.0,2009-04-07,16.6,7.0,SSW,81.0,1030.0,17.9,19.0,S,No,No,2.2,35.0,S,MountGambier
0.4,1029.4,7.0,66.0,3.6,13.4,9.6,15.0,2009-04-08,16.8,7.0,S,90.0,1026.5,17.2,4.0,S,No,No,1.2,26.0,SSW,MountGambier
0.2,1023.5,3.0,55.0,4.5,12.2,10.5,15.0,2009-04-09,18.7,8.0,ESE,86.0,1019.6,19.1,2.0,SW,No,No,1.2,28.0,S,MountGambier
0.0,1021.3,7.0,61.0,5.4,12.3,4.0,19.0,2009-04-10,17.1,7.0,N,90.0,1020.4,19.7,13.0,WSW,No,No,1.4,37.0,WSW,MountGambier
0.0,1023.9,6.0,53.0,8.9,12.7,4.9,17.0,2009-04-11,20.2,3.0,N,93.0,1021.4,22.1,7.0,SW,No,No,1.6,33.0,W,MountGambier
0.0,1023.6,1.0,40.0,9.4,14.3,5.6,4.0,2009-04-12,22.2,1.0,,84.0,1021.0,22.7,0.0,SE,No,No,2.0,33.0,SSW,MountGambier
0.0,1021.5,2.0,17.0,9.8,13.5,1.9,17.0,2009-04-13,26.1,1.0,NNE,71.0,1016.4,26.8,11.0,N,No,No,2.6,35.0,NW,MountGambier
0.0,1013.6,6.0,57.0,8.5,15.2,9.0,31.0,2009-04-14,17.3,3.0,NNW,83.0,1011.3,20.4,15.0,WNW,No,Yes,4.4,52.0,WNW,MountGambier
5.8,1011.2,6.0,48.0,7.3,10.4,8.7,28.0,2009-04-15,13.8,7.0,W,69.0,1012.5,15.5,46.0,WNW,Yes,No,4.8,81.0,WSW,MountGambier
0.2,1010.5,4.0,53.0,8.1,13.5,8.7,31.0,2009-04-16,17.8,7.0,NNW,82.0,1010.4,18.7,20.0,WNW,No,Yes,2.2,57.0,W,MountGambier
5.8,1017.5,2.0,56.0,7.2,14.2,10.5,17.0,2009-04-17,18.7,5.0,NW,94.0,1018.2,19.3,13.0,W,Yes,No,3.0,35.0,WSW,MountGambier
0.6,1024.7,7.0,72.0,3.7,15.0,10.5,22.0,2009-04-18,18.0,7.0,NW,93.0,1024.1,18.5,11.0,SSW,No,No,1.8,33.0,WSW,MountGambier
0.2,1026.8,4.0,62.0,4.1,14.1,12.0,22.0,2009-04-19,16.7,8.0,ESE,78.0,1023.8,18.1,19.0,SSE,No,No,1.4,35.0,ESE,MountGambier
0.0,1022.7,1.0,45.0,8.7,13.5,7.1,9.0,2009-04-20,21.6,5.0,E,83.0,1019.5,21.9,19.0,W,No,No,2.4,28.0,ESE,MountGambier
0.0,1022.6,6.0,33.0,6.1,14.1,6.3,2.0,2009-04-21,23.0,6.0,NNE,68.0,1020.1,24.6,13.0,NNW,No,No,2.2,30.0,N,MountGambier
0.0,1022.7,0.0,26.0,9.9,15.7,8.7,24.0,2009-04-22,23.8,1.0,NNE,52.0,1018.6,24.3,17.0,NNE,No,No,2.6,37.0,NE,MountGambier
0.0,1013.1,8.0,31.0,0.4,17.5,13.2,30.0,2009-04-23,22.3,8.0,NNE,46.0,1007.1,22.6,24.0,NNE,No,Yes,5.4,63.0,N,MountGambier
6.6,999.1,8.0,97.0,1.6,14.5,14.1,24.0,2009-04-24,13.7,7.0,NW,94.0,999.1,19.6,17.0,WSW,Yes,Yes,3.4,63.0,NNE,MountGambier
12.2,997.8,3.0,85.0,5.1,13.0,10.4,43.0,2009-04-25,11.2,5.0,N,89.0,993.1,15.4,19.0,W,Yes,Yes,0.6,83.0,NNW,MountGambier
16.6,1001.2,5.0,79.0,6.4,10.9,6.7,26.0,2009-04-26,10.6,3.0,W,64.0,1005.5,13.9,50.0,WSW,Yes,Yes,3.6,78.0,WSW,MountGambier
