Date,Temp9amC,WindGustSpeed,Humidity3pm,Cloud3pm,Temp3pmC,WindDir9am,Sunshine,Evaporation,WindSpeed9am,RainTomorrow,MaxTempC,Pressure3pm,Cloud9am,WindGustDir,Rainfall,WindDir3pm,Humidity9am,RainToday,MinTempC,Pressure9am,Location,WindSpeed3pm
2009-02-23,15.9,41.0,16.0,7.0,32.0,WNW,10.0,7.4,9.0,No,33.4,1007.3,7.0,SE,0.2,W,91.0,No,12.0,1010.8,Sale,20.0
2009-02-24,15.4,63.0,23.0,1.0,21.7,WSW,11.0,7.8,20.0,No,22.3,1016.2,5.0,WSW,0.0,WSW,53.0,No,13.3,1017.2,Sale,33.0
2009-02-25,16.1,43.0,49.0,6.0,21.9,WNW,5.9,8.8,30.0,No,24.0,1017.9,7.0,WNW,0.0,WSW,69.0,No,11.4,1019.0,Sale,24.0
2009-02-26,17.8,48.0,53.0,5.0,22.7,E,8.8,4.6,13.0,No,23.7,1020.0,7.0,E,0.0,E,73.0,No,12.6,1021.9,Sale,35.0
2009-02-27,17.4,37.0,49.0,7.0,24.3,ENE,5.8,7.4,13.0,No,25.8,1012.3,7.0,ENE,0.0,ESE,75.0,No,11.3,1015.8,Sale,28.0
2009-02-28,18.5,70.0,48.0,3.0,23.9,W,11.8,4.2,31.0,No,26.1,1009.4,0.0,WSW,0.0,SW,60.0,No,14.6,1010.0,Sale,28.0
2009-03-01,,33.0,37.0,6.0,22.6,,7.8,7.4,,No,24.3,1012.8,,ESE,0.0,WNW,,No,12.3,,Sale,11.0
2009-03-02,16.8,39.0,58.0,6.0,23.1,E,5.1,5.2,6.0,No,24.2,1013.2,8.0,E,0.0,E,64.0,No,14.6,1016.2,Sale,26.0
2009-03-03,17.9,54.0,51.0,8.0,25.4,N,0.5,6.2,7.0,Yes,28.6,1004.1,8.0,NE,0.0,NNE,91.0,No,13.3,1009.6,Sale,31.0
2009-03-04,16.1,80.0,32.0,6.0,19.9,WNW,9.5,5.2,37.0,Yes,21.6,1008.3,1.0,WNW,3.6,WNW,40.0,Yes,13.5,1010.0,Sale,46.0
2009-03-05,12.8,54.0,38.0,5.0,17.9,W,3.7,8.4,28.0,No,18.8,1013.2,3.0,WSW,2.0,WSW,68.0,Yes,10.1,1012.7,Sale,31.0
2009-03-06,14.0,48.0,44.0,6.0,18.9,WNW,7.9,5.4,22.0,No,21.4,1013.0,6.0,WNW,0.0,W,58.0,No,8.6,1014.9,Sale,30.0
2009-03-07,11.8,54.0,47.0,7.0,21.4,NW,9.8,1.4,11.0,No,22.5,1014.2,7.0,WSW,0.0,WSW,83.0,No,7.5,1015.6,Sale,31.0
2009-03-08,14.4,31.0,46.0,7.0,18.8,WSW,4.2,5.6,15.0,No,20.4,1020.9,7.0,E,0.0,SE,71.0,No,8.1,1021.6,Sale,11.0
2009-03-09,12.3,39.0,57.0,3.0,21.5,WNW,9.8,4.0,7.0,No,22.9,1019.7,2.0,ESE,0.0,ESE,86.0,No,6.4,1021.9,Sale,26.0
2009-03-10,17.5,46.0,67.0,6.0,21.9,N,5.2,4.8,9.0,No,24.0,1020.7,7.0,E,0.0,E,82.0,No,12.2,1021.7,Sale,30.0
2009-03-11,19.7,48.0,50.0,2.0,25.0,E,8.3,5.0,13.0,No,25.9,1020.5,7.0,E,0.0,E,80.0,No,17.5,1022.9,Sale,35.0
2009-03-12,17.0,33.0,87.0,8.0,20.5,WNW,0.7,6.0,6.0,Yes,20.9,1018.1,7.0,WSW,0.0,W,90.0,No,12.5,1018.4,Sale,11.0
2009-03-13,18.1,33.0,51.0,2.0,27.1,NW,9.3,0.4,13.0,No,29.3,1013.7,5.0,SE,2.4,ESE,97.0,Yes,14.8,1016.6,Sale,26.0
2009-03-14,18.3,85.0,91.0,8.0,16.6,NE,1.7,5.4,7.0,Yes,29.8,1008.1,6.0,WSW,0.0,WSW,94.0,No,14.6,1009.3,Sale,30.0
2009-03-15,13.8,63.0,46.0,7.0,17.1,WNW,4.0,4.0,17.0,No,19.2,1008.7,6.0,WNW,10.0,WNW,57.0,Yes,7.3,1009.6,Sale,41.0
2009-03-16,14.5,72.0,49.0,6.0,18.5,WNW,6.8,,20.0,No,20.4,1009.5,7.0,WNW,0.0,W,53.0,No,7.5,1009.5,Sale,37.0
2009-03-17,14.9,56.0,50.0,6.0,19.2,W,7.6,4.8,26.0,No,20.5,1015.4,6.0,W,0.0,W,81.0,No,13.1,1015.1,Sale,30.0
2009-03-18,11.6,31.0,47.0,3.0,20.7,NNW,7.8,5.0,9.0,No,22.8,1013.9,7.0,E,0.0,NE,85.0,No,5.2,1018.4,Sale,9.0
2009-03-19,14.3,37.0,19.0,3.0,29.8,WNW,11.4,3.8,11.0,No,31.6,1011.8,2.0,SSE,0.0,WNW,89.0,No,8.5,1014.2,Sale,20.0
2009-03-20,16.6,33.0,51.0,2.0,25.6,WNW,10.6,6.2,11.0,No,27.1,1013.5,2.0,SE,0.0,SE,79.0,No,11.9,1015.9,Sale,19.0
2009-03-21,14.0,41.0,10.0,4.0,34.5,WNW,10.6,5.0,6.0,No,35.4,1011.0,1.0,E,0.2,W,94.0,No,9.8,1014.0,Sale,13.0
2009-03-22,19.6,50.0,21.0,5.0,31.2,ESE,5.2,6.8,7.0,No,34.1,1008.2,7.0,SSW,0.0,NNE,62.0,No,13.8,1010.2,Sale,20.0
2009-03-23,16.1,39.0,47.0,3.0,23.3,W,4.9,6.6,20.0,No,24.6,1014.3,6.0,W,0.0,WNW,70.0,No,14.6,1015.9,Sale,17.0
2009-03-24,16.3,31.0,57.0,7.0,21.8,SE,2.5,4.0,6.0,No,23.1,1015.4,8.0,ESE,0.0,SE,79.0,No,14.7,1017.7,Sale,13.0
2009-03-25,17.7,28.0,87.0,8.0,19.8,SSW,2.9,3.4,9.0,No,23.3,1015.8,7.0,SSW,0.4,ENE,92.0,No,15.5,1016.5,Sale,19.0
2009-03-26,14.7,70.0,46.0,2.0,23.5,WNW,9.0,1.4,11.0,No,25.5,1017.7,7.0,WSW,0.4,WSW,97.0,No,12.4,1017.7,Sale,44.0
2009-03-27,13.3,33.0,36.0,5.0,21.2,NW,10.6,7.0,11.0,No,22.4,1024.2,1.0,ESE,0.0,NW,76.0,No,7.5,1026.7,Sale,19.0
2009-03-28,9.7,26.0,44.0,4.0,21.5,WNW,10.0,4.0,13.0,No,24.2,1021.1,7.0,E,0.0,N,89.0,No,5.0,1023.8,Sale,9.0
2009-03-29,12.5,43.0,20.0,1.0,26.7,NW,10.3,3.4,11.0,No,29.1,1020.7,0.0,SSE,0.0,SSE,86.0,No,7.9,1022.1,Sale,28.0
2009-03-30,13.4,41.0,63.0,5.0,21.4,W,3.2,5.0,9.0,No,22.7,1024.3,7.0,E,0.0,E,96.0,No,8.2,1025.8,Sale,15.0
2009-03-31,17.2,52.0,59.0,1.0,23.1,NE,10.0,2.6,17.0,No,24.5,1023.2,1.0,E,0.0,ESE,83.0,No,10.0,1025.6,Sale,41.0
2009-04-01,16.4,50.0,55.0,1.0,24.5,W,10.6,6.0,2.0,No,25.0,1021.6,1.0,E,0.0,E,76.0,No,10.9,1023.8,Sale,37.0
2009-04-02,13.2,35.0,32.0,4.0,29.0,W,8.5,4.8,9.0,No,30.0,1018.5,7.0,E,0.0,ESE,99.0,No,11.2,1021.7,Sale,15.0
2009-04-03,18.0,76.0,86.0,7.0,18.7,,2.4,4.4,0.0,Yes,29.0,1011.8,7.0,W,0.0,SSW,68.0,No,12.0,1014.7,Sale,28.0
2009-04-04,12.0,44.0,51.0,6.0,17.2,WNW,7.3,2.8,13.0,No,18.9,1020.9,2.0,W,9.8,W,82.0,Yes,9.2,1021.6,Sale,22.0
2009-04-05,13.1,65.0,46.0,6.0,19.0,WNW,7.4,3.0,13.0,No,21.2,1014.7,1.0,W,0.0,W,69.0,No,5.2,1018.3,Sale,39.0
2009-04-06,12.3,52.0,49.0,7.0,14.6,WNW,7.2,4.8,24.0,No,17.5,1023.3,2.0,W,0.0,W,65.0,No,6.1,1024.3,Sale,30.0
2009-04-07,13.2,39.0,60.0,7.0,16.8,W,0.5,3.6,24.0,No,17.9,1026.8,7.0,WNW,0.0,W,70.0,No,9.4,1028.6,Sale,24.0
2009-04-08,14.6,28.0,51.0,1.0,19.5,WSW,6.2,2.6,15.0,No,20.4,1025.0,7.0,E,0.4,SW,78.0,No,10.0,1028.1,Sale,7.0
2009-04-09,14.7,31.0,58.0,1.0,19.8,,8.1,2.2,0.0,No,20.5,1020.0,1.0,E,0.0,E,73.0,No,8.0,1024.3,Sale,24.0
2009-04-10,11.6,37.0,57.0,6.0,21.7,NNW,6.6,3.8,9.0,Yes,24.5,1018.0,6.0,S,0.2,S,96.0,No,6.9,1019.4,Sale,26.0
2009-04-11,16.5,30.0,71.0,7.0,19.9,NE,3.4,2.8,7.0,No,20.8,1021.4,7.0,E,7.0,E,93.0,Yes,11.6,1024.7,Sale,20.0
2009-04-12,15.1,35.0,40.0,1.0,23.3,NW,9.8,1.8,15.0,No,23.6,1019.6,2.0,WSW,0.2,WSW,94.0,No,11.6,1021.8,Sale,24.0
2009-04-13,11.4,33.0,57.0,5.0,21.7,NW,8.3,4.2,6.0,No,22.7,1019.8,8.0,ESE,0.0,ESE,97.0,No,6.7,1023.4,Sale,22.0
2009-04-14,12.8,28.0,29.0,3.0,25.5,NNW,7.8,2.4,7.0,No,26.6,1009.3,7.0,SW,0.0,WNW,96.0,No,11.4,1015.0,Sale,13.0
2009-04-15,14.4,104.0,53.0,6.0,13.7,WSW,7.2,4.4,63.0,No,16.9,1008.5,6.0,W,0.0,WSW,65.0,No,6.6,1002.3,Sale,37.0
2009-04-16,9.3,57.0,30.0,3.0,18.6,NW,8.8,3.4,9.0,No,19.5,1009.8,1.0,NW,0.2,NW,76.0,No,1.1,1012.5,Sale,39.0
2009-04-17,16.6,41.0,41.0,5.0,20.9,NW,9.3,4.0,17.0,No,21.6,1016.7,3.0,WSW,0.0,WSW,65.0,No,7.9,1016.6,Sale,22.0
2009-04-18,13.3,33.0,50.0,7.0,20.6,NW,2.2,3.8,13.0,No,21.1,1021.7,7.0,WSW,0.0,W,85.0,No,7.3,1022.9,Sale,17.0
2009-04-19,15.2,44.0,84.0,7.0,16.0,NW,1.5,1.8,9.0,No,18.9,1024.7,3.0,E,0.0,E,79.0,No,7.3,1026.2,Sale,30.0
2009-04-20,14.7,39.0,48.0,2.0,18.0,ENE,6.8,1.8,11.0,No,19.2,1023.1,7.0,E,0.2,E,80.0,No,8.9,1025.9,Sale,30.0
2009-04-21,10.2,41.0,50.0,1.0,19.6,N,9.9,4.0,7.0,No,21.2,1023.1,1.0,E,0.0,E,90.0,No,3.9,1026.1,Sale,33.0
2009-04-22,10.7,33.0,39.0,0.0,20.3,WNW,8.8,2.8,7.0,No,20.7,1022.3,1.0,E,0.0,E,94.0,No,3.8,1025.5,Sale,13.0
2009-04-23,10.7,30.0,48.0,4.0,20.6,,7.7,1.6,0.0,No,21.4,1015.1,1.0,E,0.2,ESE,97.0,No,6.4,1020.6,Sale,17.0
2009-04-24,14.6,30.0,66.0,7.0,19.0,NE,0.0,2.0,15.0,No,20.8,998.3,7.0,NNE,0.8,WNW,83.0,No,7.5,1004.2,Sale,9.0
2009-04-25,15.1,57.0,42.0,6.0,20.4,W,5.7,0.4,24.0,Yes,20.5,994.6,4.0,W,0.2,NW,64.0,No,11.4,999.9,Sale,24.0
2009-04-26,11.6,94.0,44.0,6.0,13.2,NW,8.2,2.2,52.0,Yes,15.5,993.3,3.0,WNW,10.2,WNW,46.0,Yes,7.5,993.9,Sale,65.0
2009-04-27,10.0,56.0,51.0,7.0,14.6,W,5.1,3.0,24.0,Yes,15.0,1010.1,7.0,WNW,5.8,WSW,73.0,Yes,7.8,1010.7,Sale,17.0
2009-04-28,9.3,48.0,58.0,6.0,11.6,WNW,7.2,2.0,22.0,No,13.7,1019.3,4.0,W,2.6,WSW,81.0,Yes,7.9,1017.9,Sale,19.0
2009-04-29,5.6,19.0,51.0,7.0,12.5,WNW,1.7,2.0,11.0,No,12.9,1022.6,7.0,E,0.6,SE,83.0,No,1.1,1024.7,Sale,7.0
2009-04-30,6.5,28.0,45.0,1.0,15.3,WNW,10.0,1.0,7.0,No,15.5,1021.1,1.0,ESE,0.6,E,85.0,No,0.8,1024.3,Sale,20.0
2009-05-01,8.0,35.0,53.0,7.0,15.4,NW,4.2,1.8,11.0,No,17.2,1021.1,7.0,WSW,0.0,WSW,88.0,No,0.1,1022.6,Sale,24.0
2009-05-02,10.5,26.0,53.0,6.0,16.5,WNW,6.7,1.8,13.0,No,17.8,1025.4,1.0,W,0.0,S,87.0,No,4.5,1027.4,Sale,9.0
2009-05-03,9.9,28.0,44.0,1.0,18.2,NW,,2.0,13.0,No,18.5,1025.7,1.0,WSW,0.0,WSW,87.0,No,2.5,1028.6,Sale,19.0
2009-05-04,10.6,41.0,74.0,7.0,15.8,NW,,1.8,11.0,No,17.2,1028.5,7.0,W,0.0,W,85.0,No,4.3,1029.3,Sale,24.0
2009-05-05,7.1,20.0,55.0,7.0,15.0,W,,1.6,15.0,No,16.1,1028.8,7.0,NNW,0.0,WNW,94.0,No,0.6,1032.4,Sale,7.0
2009-05-06,8.3,31.0,55.0,2.0,15.5,NW,,1.4,15.0,No,16.2,1025.4,1.0,WNW,0.2,W,93.0,No,3.8,1029.2,Sale,17.0
2009-05-07,13.3,48.0,49.0,5.0,17.6,WNW,,2.2,24.0,No,17.8,1024.7,6.0,W,0.0,W,77.0,No,6.9,1025.7,Sale,28.0
2009-05-08,12.4,33.0,54.0,3.0,17.7,WNW,,2.8,15.0,No,17.9,1027.4,1.0,W,0.0,W,81.0,No,7.3,1030.1,Sale,26.0
2009-05-09,14.4,50.0,59.0,5.0,16.9,W,,2.8,31.0,No,18.4,1023.8,1.0,W,0.0,W,75.0,No,12.4,1025.7,Sale,26.0
2009-05-10,8.3,30.0,63.0,7.0,16.1,NW,,3.2,9.0,No,17.6,1024.8,7.0,ESE,0.0,ESE,97.0,No,4.4,1027.2,Sale,17.0
2009-05-11,8.5,26.0,54.0,2.0,16.6,NW,,1.6,7.0,No,18.3,1022.2,5.0,SE,0.0,SE,94.0,No,2.2,1025.1,Sale,15.0
2009-05-12,10.2,28.0,64.0,7.0,14.5,NW,,0.8,13.0,No,16.5,1019.0,7.0,WSW,0.0,SW,92.0,No,4.4,1022.5,Sale,13.0
2009-05-13,11.2,63.0,43.0,7.0,15.9,WNW,,0.2,13.0,No,16.9,1011.9,7.0,WNW,0.0,WNW,79.0,No,3.2,1015.3,Sale,39.0
2009-05-14,14.2,70.0,56.0,7.0,15.5,WNW,,4.0,31.0,No,17.5,1007.5,7.0,W,0.0,W,54.0,No,9.5,1009.3,Sale,43.0
2009-05-15,16.1,69.0,44.0,7.0,19.2,NW,,4.0,43.0,No,19.3,1002.5,7.0,WNW,0.0,NW,53.0,No,11.4,1005.5,Sale,33.0
2009-05-16,11.4,81.0,82.0,7.0,11.6,WSW,,5.0,41.0,Yes,13.7,1011.9,7.0,WSW,0.2,W,83.0,No,11.4,1007.4,Sale,31.0
2009-05-17,13.3,57.0,61.0,3.0,16.4,W,,1.8,22.0,No,17.0,1018.7,6.0,W,2.6,W,75.0,Yes,8.8,1018.7,Sale,31.0
2009-05-18,5.8,24.0,58.0,1.0,15.2,WNW,2.0,2.8,11.0,No,16.4,1023.0,1.0,ESE,0.2,E,99.0,No,1.6,1025.8,Sale,19.0
2009-05-19,7.9,19.0,52.0,7.0,16.9,NNW,7.2,1.4,11.0,No,16.9,1020.5,1.0,ESE,0.0,ESE,93.0,No,2.4,1024.0,Sale,11.0
2009-05-20,4.6,17.0,51.0,7.0,16.7,W,6.0,1.8,2.0,No,17.1,1021.7,0.0,ESE,0.4,ESE,97.0,No,1.9,1023.8,Sale,7.0
2009-05-21,8.3,37.0,60.0,6.0,17.8,W,5.1,0.6,6.0,No,18.2,1024.8,8.0,E,0.2,E,97.0,No,2.2,1026.8,Sale,30.0
2009-05-22,12.5,54.0,63.0,1.0,17.2,ENE,9.0,1.2,19.0,No,18.0,1023.7,1.0,E,0.0,E,87.0,No,1.8,1026.8,Sale,37.0
2009-05-23,9.0,52.0,68.0,6.0,18.5,NW,8.4,3.4,7.0,No,19.3,1020.0,6.0,E,0.0,E,88.0,No,6.0,1023.9,Sale,31.0
2009-05-24,8.4,19.0,44.0,6.0,18.6,NNE,6.2,1.8,2.0,No,20.4,1021.3,7.0,ESE,0.2,E,97.0,No,4.1,1023.5,Sale,15.0
2009-05-25,7.5,22.0,50.0,7.0,19.2,E,3.3,0.8,6.0,No,19.8,1017.1,7.0,NNW,0.0,E,99.0,No,2.2,1020.9,Sale,15.0
2009-05-26,13.8,35.0,52.0,6.0,17.3,W,2.7,0.8,15.0,No,17.9,1018.9,7.0,W,0.0,W,85.0,No,7.5,1020.3,Sale,24.0
2009-05-27,9.2,33.0,69.0,7.0,13.8,WNW,5.2,2.2,11.0,No,16.0,1020.0,2.0,W,0.0,W,88.0,No,2.9,1021.8,Sale,19.0
2009-05-28,10.3,30.0,62.0,7.0,12.9,W,2.6,1.8,19.0,No,15.1,1023.5,7.0,W,0.0,SW,84.0,No,7.4,1024.1,Sale,17.0
2009-05-29,8.5,39.0,60.0,6.0,14.2,NNE,2.5,1.6,6.0,Yes,14.7,1027.8,7.0,SSE,1.0,SE,94.0,No,5.0,1029.0,Sale,19.0
2009-05-30,11.8,30.0,88.0,7.0,13.2,ESE,0.1,0.6,15.0,Yes,13.4,1032.4,7.0,ENE,7.4,SE,95.0,Yes,6.7,1032.8,Sale,11.0
2009-05-31,9.0,43.0,59.0,6.0,14.2,NE,6.9,0.4,7.0,No,15.2,1033.1,4.0,E,11.4,E,99.0,Yes,6.7,1036.3,Sale,31.0
2009-06-01,7.1,15.0,64.0,7.0,13.7,NW,1.8,2.2,7.0,No,14.1,1029.5,7.0,E,0.0,ESE,94.0,No,5.3,1032.0,Sale,9.0
