pressure.3.pm,wind.gust.speed,max.temp.f,humidity.3.pm,humidity.9.am,rainfall,temp.9.am.f,date,pressure.9.am,temp.3.pm.f,min.temp.f,wind.speed.3.pm,wind.dir.9.am,cloud.9.am,location,wind.dir.3.pm,cloud.3.pm,wind.gust.dir,wind.speed.9.am,rain.today,rain.tomorrow
1008.1,43.0,91.4,28.0,38.0,0.0,76.1,2008-12-22,1013.6,88.88000000000001,62.78,22.0,NE,,Albury,N,1.0,NE,17.0,No,No
1005.7,41.0,89.24,24.0,54.0,0.0,74.84,2008-12-23,1007.8,87.44,68.9,20.0,W,,Albury,W,,WNW,19.0,No,No
1008.2,33.0,87.61999999999999,23.0,55.0,0.0,69.62,2008-12-24,1011.0,84.2,59.540000000000006,13.0,ESE,5.0,Albury,NW,,N,6.0,No,No
1010.1,43.0,90.32,17.0,49.0,0.0,70.7,2008-12-25,1012.9,88.16,54.68,19.0,E,,Albury,W,,W,4.0,No,No
1007.6,35.0,93.02,19.0,45.0,0.0,73.75999999999999,2008-12-26,1010.9,91.4,61.16,13.0,SE,,Albury,WSW,1.0,WSW,9.0,No,No
1003.6,57.0,91.4,28.0,41.0,0.0,79.88,2008-12-27,1006.8,88.16,62.42,26.0,,,Albury,W,1.0,WSW,0.0,No,No
1001.7,48.0,90.86,15.0,56.0,0.0,76.28,2008-12-28,1005.2,89.78,68.18,30.0,N,,Albury,WNW,,WNW,13.0,No,No
1004.2,46.0,80.96,22.0,49.0,0.0,70.88,2008-12-29,1004.8,78.98,67.46,30.0,NW,,Albury,WSW,,WNW,19.0,No,Yes
1003.4,50.0,75.56,70.0,78.0,1.2,54.5,2008-12-30,1005.6,64.75999999999999,54.5,22.0,WSW,8.0,Albury,SW,8.0,WNW,11.0,Yes,No
1005.1,39.0,75.92,28.0,48.0,0.8,62.42,2008-12-31,1006.1,72.86,53.6,17.0,WNW,1.0,Albury,WNW,,W,17.0,No,No
1003.2,56.0,79.7,26.0,46.0,0.0,67.46,2009-01-01,1004.5,78.25999999999999,52.34,31.0,W,,Albury,WNW,,WNW,19.0,No,No
1013.1,41.0,75.02,22.0,44.0,0.0,58.82,2009-01-02,1014.4,71.78,49.28,11.0,WSW,,Albury,SSW,,W,19.0,No,No
1014.8,26.0,83.84,22.0,43.0,0.0,62.78,2009-01-03,1018.7,79.7,50.9,7.0,SSE,,Albury,E,,SSE,11.0,No,No
1010.3,37.0,94.28,12.0,41.0,0.0,69.25999999999999,2009-01-04,1015.1,93.02,54.14,17.0,SSE,,Albury,NW,,WNW,6.0,No,No
1009.2,41.0,96.44,9.0,41.0,0.0,72.32,2009-01-05,1012.6,93.91999999999999,55.22,26.0,ENE,,Albury,NW,,WNW,6.0,No,No
1006.7,52.0,100.22,8.0,33.0,0.0,73.58,2009-01-06,1010.9,98.24,56.66,26.0,SE,,Albury,WNW,,W,4.0,No,No
1002.7,57.0,102.02,12.0,34.0,0.0,77.36,2009-01-07,1007.0,101.11999999999999,60.980000000000004,30.0,E,,Albury,W,,W,6.0,No,No
1010.9,48.0,82.94,15.0,43.0,0.0,64.22,2009-01-08,1011.9,81.68,57.2,24.0,W,,Albury,WSW,,W,17.0,No,No
1013.7,37.0,83.12,16.0,38.0,0.0,62.959999999999994,2009-01-09,1017.8,79.88,54.5,9.0,SSE,,Albury,S,,NE,20.0,No,No
1008.1,37.0,87.44,24.0,36.0,0.0,68.36,2009-01-10,1013.4,84.74,62.6,11.0,NNE,,Albury,E,,NE,15.0,No,No
1006.8,31.0,89.6,31.0,52.0,0.0,73.04,2009-01-11,1009.9,86.0,62.42,17.0,SSE,,Albury,N,,S,13.0,No,No
1012.1,35.0,94.46000000000001,16.0,48.0,0.0,75.56,2009-01-12,1014.1,91.76,63.14,15.0,SE,,Albury,WSW,,SW,7.0,No,No
1010.9,35.0,99.86,19.0,51.0,0.0,75.74000000000001,2009-01-13,1015.7,96.26,62.959999999999994,17.0,SE,,Albury,NW,,NNW,7.0,No,No
1006.9,39.0,109.4,8.0,40.0,0.0,78.08,2009-01-14,1011.6,106.7,63.32,17.0,SSE,,Albury,SSW,,NW,7.0,No,No
1009.2,44.0,90.86,28.0,34.0,0.0,81.68,2009-01-15,1008.4,80.78,67.64,28.0,W,,Albury,W,,WNW,20.0,No,No
1012.7,56.0,80.06,20.0,46.0,0.0,64.4,2009-01-16,1014.1,77.9,58.82,31.0,WSW,,Albury,SW,,SW,20.0,No,No
1017.4,33.0,83.12,16.0,35.0,0.0,60.8,2009-01-17,1019.7,78.44,50.9,11.0,SE,,Albury,SW,,SE,19.0,No,No
1016.2,28.0,89.96000000000001,17.0,34.0,0.0,69.62,2009-01-18,1019.7,86.9,52.34,15.0,ENE,,Albury,SSW,,WNW,17.0,No,No
1010.6,39.0,97.88000000000001,10.0,39.0,0.0,71.6,2009-01-19,1015.8,93.91999999999999,57.02,15.0,SSE,,Albury,NNE,,WNW,2.0,No,No
1004.8,61.0,103.82,21.0,36.0,0.0,80.24000000000001,2009-01-20,1010.1,99.86,65.48,20.0,SSE,,Albury,WNW,,NNW,9.0,No,No
1005.9,61.0,100.58000000000001,17.0,48.0,0.8,81.14,2009-01-21,1009.6,96.98,66.74000000000001,17.0,NE,,Albury,WSW,,NNW,15.0,No,No
997.8,98.0,93.2,39.0,60.0,0.6,78.98,2009-01-22,1005.3,91.58000000000001,75.92,48.0,N,4.0,Albury,NNW,1.0,NW,26.0,No,Yes
1003.9,52.0,95.36,28.0,43.0,6.4,73.04,2009-01-23,1007.9,91.4,65.84,28.0,S,,Albury,NW,,WNW,6.0,Yes,No
1007.6,54.0,87.08000000000001,21.0,41.0,0.0,73.94,2009-01-24,1005.4,85.46000000000001,69.44,28.0,W,,Albury,W,,W,30.0,No,No
1014.6,24.0,93.74,10.0,44.0,0.0,70.16,2009-01-25,1016.5,89.78,57.2,13.0,ESE,,Albury,SSE,,WSW,7.0,No,No
1014.6,33.0,101.11999999999999,12.0,48.0,0.0,74.12,2009-01-26,1017.7,97.7,60.26,7.0,SSE,,Albury,WSW,,S,7.0,No,No
1014.1,31.0,100.76,25.0,48.0,0.0,78.44,2009-01-27,1017.8,97.16,65.3,17.0,SE,,Albury,NNW,,NNE,9.0,No,No
1011.6,37.0,105.26,15.0,45.0,0.0,82.75999999999999,2009-01-28,1014.9,102.56,68.72,13.0,E,,Albury,NNE,,N,7.0,No,No
1011.8,24.0,106.7,13.0,38.0,0.0,84.2,2009-01-29,1015.7,104.18,71.24000000000001,11.0,ESE,,Albury,S,,SW,6.0,No,No
1010.2,28.0,109.22,11.0,37.0,0.0,84.56,2009-01-30,1014.6,106.16,72.14,11.0,ESE,,Albury,SE,,NNE,9.0,No,No
1010.5,48.0,108.86,11.0,33.0,0.0,85.82,2009-01-31,1014.2,107.6,71.6,4.0,ESE,,Albury,SW,,ESE,4.0,No,No
1008.7,83.0,109.58000000000001,9.0,27.0,0.0,90.32,2009-02-01,1012.5,107.41999999999999,82.4,9.0,SE,,Albury,E,,SW,15.0,No,No
1007.4,56.0,100.94,21.0,32.0,0.2,83.84,2009-02-02,1011.7,98.78,75.92,7.0,NE,,Albury,NW,,SW,19.0,No,No
1005.7,,99.86,21.0,51.0,0.0,80.96,2009-02-03,1009.2,97.16,70.7,9.0,N,,Albury,,,,13.0,No,No
1004.7,,98.41999999999999,26.0,53.0,0.0,77.9,2009-02-04,1008.8,95.36,71.06,11.0,,,Albury,,,,11.0,No,No
1002.6,35.0,106.16,15.0,48.0,0.0,79.7,2009-02-05,1005.9,103.46000000000001,70.7,19.0,SSE,,Albury,S,,WSW,7.0,No,No
1005.0,37.0,107.96000000000001,8.0,39.0,0.0,83.66,2009-02-06,1008.0,106.88000000000001,74.3,15.0,SE,,Albury,W,,W,6.0,No,No
1003.8,59.0,112.64,11.0,36.0,0.0,85.28,2009-02-07,1008.2,110.11999999999999,72.14,33.0,SE,,Albury,NW,,NNW,9.0,No,No
1006.5,52.0,104.36,19.0,20.0,0.0,94.1,2009-02-08,1007.0,101.3,82.94,22.0,N,,Albury,W,5.0,NW,9.0,No,No
1007.8,37.0,88.16,31.0,66.0,0.4,65.66,2009-02-09,1009.3,84.91999999999999,65.12,11.0,SW,7.0,Albury,WSW,8.0,SE,7.0,No,No
1008.5,41.0,81.14,30.0,50.0,0.0,63.32,2009-02-10,1011.6,78.44,58.82,13.0,SSE,,Albury,SE,1.0,SSE,20.0,No,No
1011.1,46.0,80.06,24.0,45.0,0.0,62.059999999999995,2009-02-11,1012.8,76.82,56.3,11.0,SSE,,Albury,E,,SSE,19.0,No,No
1017.3,46.0,70.88,69.0,58.0,0.0,62.6,2009-02-12,1017.0,63.14,60.980000000000004,15.0,SSE,2.0,Albury,NE,8.0,SE,11.0,No,Yes
1019.7,41.0,84.2,21.0,41.0,3.0,64.4,2009-02-13,1023.3,81.68,58.28,24.0,SE,,Albury,SSE,,SSE,26.0,Yes,No
1016.4,39.0,84.56,18.0,37.0,0.0,64.94,2009-02-14,1022.5,83.3,54.32,0.0,S,,Albury,,,NE,7.0,No,No
1012.8,41.0,88.34,23.0,50.0,0.0,66.56,2009-02-15,1016.2,84.56,55.94,15.0,SSE,,Albury,SSW,,NNE,7.0,No,No
1013.8,35.0,87.98,22.0,43.0,0.0,70.52,2009-02-16,1017.7,85.1,62.959999999999994,11.0,SE,,Albury,ESE,,E,17.0,No,No
1013.5,31.0,83.84,17.0,46.0,0.0,64.4,2009-02-17,1017.2,80.6,54.5,11.0,SSE,,Albury,ENE,,N,7.0,No,No
1007.5,31.0,89.6,22.0,44.0,0.0,71.78,2009-02-18,1012.4,87.26,64.4,13.0,ENE,,Albury,SW,,NW,4.0,No,No
1004.5,48.0,93.2,16.0,53.0,0.0,69.8,2009-02-19,1007.8,90.86,61.16,22.0,SE,,Albury,WSW,,WSW,4.0,No,No
1010.8,41.0,84.38000000000001,39.0,45.0,0.0,70.7,2009-02-20,1010.1,80.24000000000001,65.66,17.0,NNW,,Albury,SSE,,SSW,7.0,No,No
1010.4,28.0,89.06,19.0,63.0,0.0,66.74000000000001,2009-02-21,1012.5,85.64,56.66,9.0,SSE,,Albury,S,,SSE,2.0,No,No
1012.4,31.0,91.76,23.0,49.0,0.0,69.62,2009-02-22,1015.6,88.34,59.9,15.0,S,,Albury,WNW,,NW,11.0,No,No
1009.2,70.0,93.2,10.0,48.0,0.0,69.25999999999999,2009-02-23,1013.0,92.11999999999999,57.74,22.0,SE,,Albury,NW,,NW,6.0,No,No
1012.7,46.0,85.28,14.0,54.0,0.0,65.66,2009-02-24,1014.0,83.48,55.22,24.0,SW,6.0,Albury,WNW,7.0,WNW,7.0,No,No
1013.4,43.0,89.41999999999999,16.0,49.0,0.0,59.0,2009-02-25,1016.6,84.74,48.02,17.0,,7.0,Albury,WSW,7.0,WNW,0.0,No,No
1015.0,26.0,90.86,19.0,43.0,0.0,69.25999999999999,2009-02-26,1017.8,86.9,59.0,2.0,ESE,,Albury,S,,ESE,15.0,No,No
1012.6,24.0,90.68,25.0,53.0,0.0,68.0,2009-02-27,1016.2,87.44,59.72,6.0,,,Albury,S,,W,0.0,No,No
1004.6,44.0,94.1,14.0,44.0,0.0,71.96,2009-02-28,1007.5,92.48,60.8,,E,,Albury,,,WSW,6.0,No,No
1008.7,30.0,86.53999999999999,27.0,53.0,0.0,63.14,2009-03-01,1010.5,82.58,55.04,13.0,W,,Albury,WSW,,W,4.0,No,No
1011.6,35.0,89.41999999999999,25.0,53.0,0.0,64.4,2009-03-02,1014.1,85.64,55.76,9.0,S,,Albury,ENE,,NNW,6.0,No,No
1009.0,52.0,87.98,35.0,58.0,0.0,73.4,2009-03-03,1014.7,84.56,64.4,26.0,NE,5.0,Albury,NNE,,WNW,15.0,No,No
1013.1,57.0,71.78,26.0,57.0,0.2,60.08,2009-03-04,1014.5,71.42,56.84,33.0,W,,Albury,WNW,,WNW,26.0,No,No
1011.8,50.0,71.6,33.0,60.0,0.0,57.02,2009-03-05,1013.7,70.52,52.7,33.0,WSW,,Albury,W,,SW,19.0,No,No
1012.0,30.0,75.2,23.0,52.0,0.0,54.68,2009-03-06,1014.5,71.6,45.68,13.0,,,Albury,WNW,,WSW,0.0,No,No
1012.4,37.0,82.22,22.0,58.0,0.0,55.94,2009-03-07,1015.2,80.6,46.94,20.0,S,,Albury,W,,W,4.0,No,No
1014.7,24.0,86.36,20.0,54.0,0.0,63.68,2009-03-08,1017.0,83.84,51.8,11.0,E,,Albury,SSE,,SSE,7.0,No,No
1015.9,24.0,89.24,28.0,49.0,0.0,65.48,2009-03-09,1019.7,86.9,56.84,17.0,SSE,,Albury,NE,,NNE,6.0,No,No
1016.2,50.0,89.6,25.0,51.0,0.0,68.18,2009-03-10,1019.5,87.44,59.9,4.0,ESE,,Albury,E,,NE,2.0,No,Yes
1018.0,44.0,86.9,23.0,57.0,1.2,70.7,2009-03-11,1021.3,85.28,65.12,19.0,NE,,Albury,N,,NE,15.0,Yes,No
1018.9,37.0,78.25999999999999,90.0,52.0,0.0,71.96,2009-03-12,1019.5,65.84,69.62,9.0,ENE,,Albury,S,8.0,W,11.0,No,Yes
1014.7,31.0,78.44,68.0,82.0,5.8,66.2,2009-03-13,1017.4,74.84,62.78,13.0,,8.0,Albury,S,,ENE,0.0,Yes,Yes
1008.0,69.0,80.6,74.0,82.0,3.0,67.82,2009-03-14,1012.7,67.46,61.519999999999996,22.0,E,,Albury,N,4.0,SW,9.0,Yes,Yes
1012.0,39.0,67.46,41.0,62.0,11.6,54.86,2009-03-15,1013.4,64.94,50.0,17.0,W,,Albury,NW,8.0,WNW,11.0,Yes,No
1011.6,39.0,71.42,34.0,78.0,0.0,53.96,2009-03-16,1013.3,68.9,47.84,20.0,S,,Albury,WNW,6.0,W,2.0,No,No
1013.2,35.0,77.54,34.0,78.0,0.0,53.78,2009-03-17,1015.6,75.02,47.120000000000005,17.0,SSE,,Albury,WSW,,WNW,9.0,No,No
1013.9,52.0,82.4,19.0,76.0,0.0,58.459999999999994,2009-03-18,1017.4,80.96,48.74,11.0,SSE,,Albury,NW,,NW,6.0,No,No
1013.6,24.0,86.18,15.0,56.0,0.0,58.459999999999994,2009-03-19,1016.3,84.74,52.34,7.0,S,,Albury,SW,,WSW,6.0,No,No
1013.6,22.0,92.3,13.0,50.0,0.0,63.32,2009-03-20,1016.5,90.68,52.7,7.0,NE,,Albury,N,,SSE,7.0,No,No
1013.1,28.0,92.48,17.0,47.0,0.0,65.84,2009-03-21,1017.0,92.3,56.84,11.0,,,Albury,NNE,2.0,NNW,0.0,No,No
1012.7,37.0,86.0,30.0,56.0,0.0,64.58,2009-03-22,1014.8,84.2,58.28,19.0,E,3.0,Albury,NNE,1.0,NE,4.0,No,No
1011.8,37.0,88.88000000000001,25.0,63.0,0.0,65.84,2009-03-23,1013.7,88.52,57.92,24.0,,,Albury,WNW,,NW,0.0,No,No
1014.4,48.0,89.41999999999999,20.0,62.0,0.0,59.72,2009-03-24,1016.5,87.26,51.44,20.0,SSE,,Albury,WNW,,S,6.0,No,No
1019.2,30.0,72.14,78.0,69.0,0.4,64.94,2009-03-25,1017.4,67.28,59.72,9.0,SSE,8.0,Albury,SSE,8.0,ENE,11.0,No,Yes
1017.2,33.0,85.64,26.0,87.0,1.8,61.16,2009-03-26,1019.1,84.56,55.94,20.0,,,Albury,WNW,6.0,WSW,0.0,Yes,No
1020.7,43.0,81.68,30.0,63.0,0.0,61.7,2009-03-27,1023.0,80.24000000000001,50.18,11.0,,,Albury,W,,WNW,0.0,No,No
1020.6,24.0,84.02,26.0,60.0,0.0,57.2,2009-03-28,1023.8,81.86,48.379999999999995,17.0,N,,Albury,N,,NNW,2.0,No,No
1019.1,22.0,88.16,18.0,60.0,0.0,60.8,2009-03-29,1022.4,85.82,50.72,6.0,,,Albury,SE,,S,0.0,No,No
1019.5,22.0,86.72,16.0,57.0,0.0,62.959999999999994,2009-03-30,1023.0,84.56,56.120000000000005,9.0,,,Albury,SE,,ENE,0.0,No,No
1019.5,26.0,85.82,25.0,61.0,0.0,62.78,2009-03-31,1023.2,83.48,54.14,13.0,S,,Albury,SSW,,WSW,2.0,No,No
1019.4,22.0,87.08000000000001,22.0,59.0,0.0,61.88,2009-04-01,1022.6,85.1,53.96,6.0,,,Albury,ENE,,SE,0.0,No,No
1018.4,28.0,89.78,30.0,59.0,0.0,65.12,2009-04-02,1022.6,87.61999999999999,57.74,11.0,,,Albury,ENE,,NE,0.0,No,Yes
1012.9,98.0,82.58,49.0,92.0,8.6,66.2,2009-04-03,1018.8,81.32,65.12,17.0,E,8.0,Albury,NNE,6.0,W,7.0,Yes,Yes
1019.3,43.0,70.52,33.0,60.0,12.6,57.02,2009-04-04,1019.8,68.54,51.26,13.0,,,Albury,WSW,,W,0.0,Yes,No
1016.5,31.0,71.06,37.0,72.0,0.0,55.22,2009-04-05,1020.4,70.16,46.04,19.0,E,,Albury,NW,,WSW,6.0,No,No
1019.6,35.0,70.52,20.0,58.0,0.0,56.84,2009-04-06,1021.8,69.62,46.58,19.0,SSE,,Albury,WSW,,W,13.0,No,No
1023.5,28.0,72.5,27.0,55.0,0.0,55.94,2009-04-07,1026.7,70.88,45.5,7.0,S,,Albury,S,,SE,7.0,No,No
1023.4,17.0,75.2,30.0,60.0,0.0,56.84,2009-04-08,1027.1,74.3,46.76,13.0,SSE,,Albury,SSE,,SSE,7.0,No,No
1019.6,22.0,78.25999999999999,27.0,67.0,0.0,59.18,2009-04-09,1024.2,77.0,46.58,13.0,ESE,,Albury,S,,ENE,9.0,No,No
1017.7,48.0,80.06,42.0,59.0,0.0,61.519999999999996,2009-04-10,1021.5,75.74000000000001,52.879999999999995,11.0,SE,8.0,Albury,NE,7.0,W,6.0,No,Yes
1020.3,46.0,76.82,47.0,75.0,8.4,64.4,2009-04-11,1024.4,75.92,55.4,11.0,S,8.0,Albury,E,6.0,W,6.0,Yes,Yes
1020.8,20.0,75.56,52.0,88.0,6.2,59.72,2009-04-12,1024.1,73.58,56.3,6.0,,8.0,Albury,SE,,WSW,0.0,Yes,No
1018.7,19.0,77.72,35.0,65.0,0.0,60.980000000000004,2009-04-13,1023.0,77.0,49.82,7.0,ENE,,Albury,SSW,,NNE,4.0,No,No
1011.6,30.0,77.0,39.0,68.0,0.0,61.16,2009-04-14,1016.3,76.28,53.96,15.0,,6.0,Albury,W,,WNW,0.0,No,No
1009.8,63.0,71.42,27.0,44.0,0.0,68.9,2009-04-15,1008.2,66.02,51.26,31.0,NW,2.0,Albury,W,,W,26.0,No,No
1012.8,31.0,68.0,30.0,65.0,0.0,49.28,2009-04-16,1016.3,66.92,38.3,13.0,,,Albury,WNW,,W,0.0,No,No
1016.8,26.0,70.88,39.0,59.0,0.0,54.68,2009-04-17,1018.5,70.88,43.879999999999995,11.0,ENE,5.0,Albury,W,1.0,WNW,6.0,No,No
1019.3,24.0,74.12,37.0,73.0,0.0,54.32,2009-04-18,1022.8,73.22,44.6,17.0,SSE,,Albury,W,,W,2.0,No,No
1019.6,31.0,75.02,33.0,54.0,0.0,64.4,2009-04-19,1022.7,74.48,52.16,15.0,SE,,Albury,SE,,SE,13.0,No,No
1020.0,28.0,71.6,29.0,58.0,0.0,57.379999999999995,2009-04-20,1023.6,70.34,45.32,7.0,SE,,Albury,SE,,SSE,2.0,No,No
1020.9,17.0,70.52,39.0,68.0,0.0,53.96,2009-04-21,1025.2,69.62,42.260000000000005,7.0,ENE,,Albury,SSE,,ESE,6.0,No,No
1021.6,17.0,72.86,33.0,73.0,0.0,52.16,2009-04-22,1026.0,72.14,43.16,7.0,,,Albury,SW,,ESE,0.0,No,No
1015.7,33.0,73.22,34.0,68.0,0.0,55.22,2009-04-23,1021.3,72.68,42.8,20.0,,,Albury,NE,,NE,0.0,No,No
1002.4,39.0,61.16,86.0,74.0,0.0,58.82,2009-04-24,1008.9,59.18,51.08,4.0,ESE,8.0,Albury,NNE,8.0,WNW,7.0,No,Yes
1000.9,70.0,60.440000000000005,89.0,83.0,20.0,55.94,2009-04-25,1004.8,58.1,55.22,15.0,WNW,8.0,Albury,NNW,8.0,W,19.0,Yes,Yes
1003.3,63.0,55.22,62.0,77.0,21.0,49.1,2009-04-26,1004.0,52.879999999999995,47.48,31.0,NW,8.0,Albury,WNW,8.0,NNW,26.0,Yes,Yes
1013.5,26.0,52.7,79.0,82.0,3.2,45.68,2009-04-27,1013.8,48.92,40.1,13.0,N,8.0,Albury,NNW,8.0,NW,9.0,Yes,Yes
1018.3,35.0,58.1,48.0,83.0,4.8,50.18,2009-04-28,1018.0,57.2,45.68,20.0,W,8.0,Albury,W,1.0,WNW,15.0,Yes,No
1020.9,19.0,53.96,46.0,62.0,0.0,46.76,2009-04-29,1023.1,53.78,41.72,7.0,SE,,Albury,SSE,8.0,SSE,9.0,No,No
1021.5,19.0,61.7,38.0,70.0,0.0,46.22,2009-04-30,1023.4,60.980000000000004,35.78,7.0,,,Albury,SW,,SW,0.0,No,No
1023.2,19.0,62.6,44.0,77.0,0.0,44.96,2009-05-01,1026.0,61.34,35.24,7.0,,,Albury,WSW,,SW,0.0,No,No
1024.0,22.0,66.56,49.0,81.0,0.0,50.18,2009-05-02,1026.9,66.38,44.96,6.0,ENE,8.0,Albury,W,4.0,SW,7.0,No,No
1025.9,15.0,66.02,51.0,75.0,0.0,51.08,2009-05-03,1028.7,65.3,40.28,7.0,N,,Albury,SSE,,S,4.0,No,No
1027.3,19.0,66.38,44.0,86.0,0.0,49.28,2009-05-04,1029.8,65.84,39.56,13.0,ENE,,Albury,WSW,,W,6.0,No,No
1028.1,15.0,65.84,47.0,71.0,0.0,50.54,2009-05-05,1031.4,65.12,41.36,7.0,,,Albury,SE,,ESE,0.0,No,No
1024.6,20.0,66.74000000000001,49.0,82.0,0.0,50.0,2009-05-06,1028.5,66.56,39.38,7.0,ENE,,Albury,WNW,,SW,6.0,No,No
1023.6,20.0,65.12,49.0,86.0,0.0,46.94,2009-05-07,1026.2,64.75999999999999,37.76,11.0,SE,,Albury,WNW,,SW,6.0,No,No
1025.8,15.0,66.2,36.0,68.0,0.0,51.8,2009-05-08,1028.8,65.3,39.74,9.0,,,Albury,W,,W,0.0,No,No
1021.8,17.0,68.9,45.0,78.0,0.0,48.92,2009-05-09,1026.0,68.36,38.660000000000004,7.0,,,Albury,WSW,,W,0.0,No,No
1022.3,17.0,67.1,40.0,69.0,0.0,53.06,2009-05-10,1025.1,66.38,41.72,7.0,,,Albury,SE,,SE,0.0,No,No
1022.2,15.0,63.86,53.0,89.0,0.0,47.3,2009-05-11,1025.6,63.86,39.74,7.0,NNW,8.0,Albury,S,,ESE,6.0,No,No
1018.5,26.0,65.3,49.0,81.0,0.0,48.379999999999995,2009-05-12,1022.3,64.4,38.48,17.0,ENE,,Albury,WNW,,W,4.0,No,No
1015.7,28.0,59.18,61.0,86.0,0.0,45.5,2009-05-13,1018.4,58.28,38.48,17.0,SE,,Albury,W,8.0,WNW,4.0,No,No
1013.1,35.0,61.34,59.0,77.0,0.0,50.54,2009-05-14,1015.3,59.540000000000006,44.42,19.0,WNW,8.0,Albury,WNW,8.0,WNW,17.0,No,No
1011.0,54.0,61.88,63.0,82.0,0.0,55.22,2009-05-15,1015.0,60.62,50.54,19.0,NW,8.0,Albury,NW,7.0,WNW,13.0,No,Yes
1013.4,52.0,61.519999999999996,54.0,82.0,1.8,55.4,2009-05-16,1011.8,58.1,54.32,24.0,W,8.0,Albury,WSW,8.0,W,22.0,Yes,No
1019.3,20.0,60.08,61.0,83.0,0.0,44.6,2009-05-17,1022.5,58.459999999999994,37.4,9.0,E,4.0,Albury,E,,W,6.0,No,No
1021.2,13.0,67.46,34.0,82.0,0.0,47.84,2009-05-18,1024.7,65.66,36.68,4.0,,,Albury,ENE,,E,0.0,No,No
1019.9,19.0,66.38,51.0,87.0,0.0,45.32,2009-05-19,1023.6,66.02,38.660000000000004,11.0,,,Albury,SSE,,SSE,0.0,No,No
