Rainfall,MinTempC,MaxTempC,Location,WindGustDir,RainToday,Date,WindSpeed9am,WindDir9am,Humidity9am,WindDir3pm,Pressure3pm,Pressure9am,WindSpeed3pm,Temp9amC,RainTomorrow,Humidity3pm,Temp3pmC,WindGustSpeed
1.0,13.0,22.2,Walpole,WSW,No,2009-01-13,17.0,SW,60.0,WSW,1016.3,1016.3,15.0,18.5,No,51.0,21.0,33.0
0.0,11.6,23.5,Walpole,SSW,No,2009-01-14,9.0,WNW,74.0,S,1019.3,1019.6,15.0,17.0,No,49.0,22.3,33.0
0.0,13.1,29.4,Walpole,SE,No,2009-01-15,17.0,ENE,75.0,SE,1017.2,1021.3,24.0,18.9,No,50.0,27.3,37.0
0.0,16.9,38.4,Walpole,NW,No,2009-01-16,9.0,NE,51.0,SSE,1009.6,1013.3,13.0,25.5,No,46.0,30.9,41.0
0.0,17.2,23.8,Walpole,SSE,No,2009-01-17,20.0,SE,73.0,SSE,1017.7,1018.3,17.0,21.1,No,71.0,22.8,33.0
0.0,16.4,19.9,Walpole,SE,No,2009-01-18,19.0,SE,78.0,SE,1018.9,1019.4,30.0,17.4,No,70.0,18.1,44.0
0.0,13.5,21.0,Walpole,SE,No,2009-01-19,17.0,SE,61.0,S,1019.3,1021.3,15.0,16.7,No,50.0,20.0,41.0
0.0,12.3,23.1,Walpole,WSW,No,2009-01-20,15.0,NW,75.0,WNW,1017.4,1018.5,20.0,17.5,No,70.0,20.5,33.0
0.0,16.3,24.8,Walpole,W,No,2009-01-21,22.0,NW,70.0,W,1011.0,1012.9,30.0,19.2,Yes,61.0,23.6,57.0
4.2,15.7,23.5,Walpole,WNW,Yes,2009-01-22,13.0,WSW,78.0,WNW,1010.6,1011.7,28.0,19.4,No,63.0,22.4,46.0
1.0,17.7,23.6,Walpole,WSW,No,2009-01-23,17.0,W,91.0,SW,1012.1,1011.4,19.0,18.4,No,55.0,23.0,41.0
0.2,11.7,26.5,Walpole,WNW,No,2009-01-24,15.0,NW,73.0,WSW,1013.7,1014.8,17.0,17.7,No,39.0,25.1,28.0
0.0,17.2,25.6,Walpole,SE,No,2009-01-25,11.0,SE,72.0,SSE,1013.4,1016.4,20.0,20.4,No,64.0,24.4,33.0
0.0,15.4,25.2,Walpole,SSW,No,2009-01-26,0.0,,96.0,SSW,1008.7,1008.6,17.0,18.7,No,74.0,21.7,30.0
0.0,14.4,20.9,Walpole,SE,No,2009-01-27,13.0,ESE,83.0,SSE,1011.1,1012.9,20.0,17.4,No,61.0,20.2,37.0
0.0,16.5,20.1,Walpole,SSE,No,2009-01-28,15.0,SE,70.0,SE,1007.2,1008.4,17.0,18.2,No,73.0,18.3,33.0
0.0,15.6,22.7,Walpole,ESE,No,2009-01-29,11.0,SSE,58.0,SSE,1010.7,1010.2,15.0,20.0,No,49.0,21.9,28.0
0.0,12.2,20.9,Walpole,SSE,No,2009-01-30,9.0,ESE,69.0,SE,1012.7,1013.8,19.0,19.9,No,82.0,19.4,35.0
0.0,16.9,31.3,Walpole,NE,No,2009-01-31,13.0,E,77.0,SE,1009.0,1012.4,19.0,20.7,No,53.0,29.4,33.0
0.0,18.9,29.1,Walpole,SE,No,2009-02-01,7.0,N,83.0,SSE,1012.1,1013.7,15.0,22.4,No,65.0,27.7,31.0
0.0,18.7,29.9,Walpole,SSW,No,2009-02-02,11.0,E,93.0,S,1009.0,1011.9,15.0,20.8,No,60.0,29.0,28.0
0.6,19.2,24.3,Walpole,SSW,No,2009-02-03,13.0,SW,97.0,S,1011.5,1011.5,13.0,19.7,,70.0,22.8,24.0
,15.5,22.8,Walpole,S,,2009-02-04,24.0,SSW,77.0,S,1015.8,1015.5,20.0,18.1,No,55.0,21.1,35.0
0.0,13.3,22.7,Walpole,SSW,No,2009-02-05,4.0,S,79.0,SSE,1012.0,1014.8,15.0,16.8,No,53.0,21.2,31.0
0.0,13.7,21.0,Walpole,WSW,No,2009-02-06,9.0,WNW,70.0,WSW,1008.0,1009.7,22.0,16.8,Yes,51.0,20.3,50.0
1.8,13.7,20.6,Walpole,W,Yes,2009-02-07,13.0,SW,61.0,S,1016.7,1014.3,15.0,16.6,No,45.0,18.5,37.0
0.0,13.9,22.6,Walpole,SE,No,2009-02-08,11.0,E,64.0,SE,1021.4,1022.8,24.0,17.6,No,51.0,21.5,43.0
0.0,15.6,25.6,Walpole,SE,No,2009-02-09,20.0,ENE,62.0,SE,1020.8,1023.5,33.0,19.6,No,57.0,24.3,52.0
0.0,15.2,30.8,Walpole,ENE,No,2009-02-10,22.0,NE,62.0,ENE,1017.4,1021.5,20.0,18.9,No,32.0,28.2,46.0
0.0,16.9,35.4,Walpole,NE,No,2009-02-11,20.0,NE,57.0,SSW,1010.3,1014.0,20.0,21.2,No,33.0,32.7,43.0
0.0,19.1,27.9,Walpole,N,No,2009-02-12,9.0,WNW,35.0,WSW,1010.0,1007.8,19.0,25.2,No,63.0,22.9,50.0
0.2,15.3,20.7,Walpole,SSE,No,2009-02-13,26.0,SE,66.0,SE,1019.4,1019.8,31.0,17.0,Yes,60.0,18.7,52.0
6.4,15.0,25.4,Walpole,SSE,Yes,2009-02-14,22.0,ESE,91.0,E,1012.2,1016.4,26.0,19.0,No,59.0,24.9,54.0
0.2,16.6,29.8,Walpole,ENE,No,2009-02-15,11.0,ENE,73.0,WSW,1006.0,1007.7,17.0,20.8,No,46.0,28.9,46.0
0.0,16.4,25.0,Walpole,NW,No,2009-02-16,20.0,W,76.0,W,1010.1,1009.8,22.0,20.3,No,53.0,24.4,41.0
0.2,15.2,21.0,Walpole,SSE,No,2009-02-17,17.0,SSE,72.0,SSE,1016.1,1015.7,19.0,18.1,No,72.0,19.7,39.0
0.6,15.0,23.0,Walpole,SE,No,2009-02-18,13.0,ESE,62.0,SE,1016.2,1017.6,26.0,17.7,No,55.0,20.8,43.0
0.0,12.4,23.5,Walpole,SE,No,2009-02-19,15.0,ESE,63.0,SE,1017.3,1018.3,24.0,18.4,No,54.0,22.3,41.0
0.0,12.6,27.0,Walpole,SE,No,2009-02-20,13.0,ENE,71.0,ESE,1018.0,1020.8,28.0,17.7,No,58.0,24.4,46.0
0.0,15.6,32.5,Walpole,NE,No,2009-02-21,11.0,NE,64.0,SSE,1010.0,1013.2,15.0,20.4,No,56.0,25.7,46.0
0.0,15.7,21.5,Walpole,SSW,No,2009-02-22,22.0,SSW,73.0,S,1016.7,1015.2,20.0,17.5,No,55.0,18.8,39.0
0.0,10.3,26.5,Walpole,SE,No,2009-02-23,11.0,E,63.0,SE,1012.3,1018.1,26.0,15.2,No,50.0,24.3,39.0
0.0,14.9,23.2,Walpole,W,No,2009-02-24,4.0,SW,82.0,WNW,1003.4,1003.8,28.0,18.5,No,75.0,20.3,50.0
0.0,15.6,17.5,Walpole,WNW,No,2009-02-25,15.0,NNW,76.0,NNW,1003.8,1004.7,13.0,16.7,Yes,92.0,15.8,48.0
15.8,11.8,19.6,Walpole,WSW,Yes,2009-02-26,13.0,NW,76.0,WSW,1016.0,1014.1,17.0,15.0,No,60.0,18.1,44.0
0.0,12.6,22.2,Walpole,SSW,No,2009-02-27,0.0,,76.0,SSE,1016.2,1018.6,13.0,16.2,No,58.0,20.6,26.0
0.0,12.6,23.4,Walpole,SE,No,2009-02-28,13.0,E,78.0,SE,1013.8,1017.3,28.0,17.4,No,62.0,22.8,54.0
0.0,17.1,27.5,Walpole,NE,No,2009-03-01,11.0,ENE,89.0,NNE,1004.3,1007.7,9.0,19.2,Yes,69.0,24.9,41.0
8.6,14.0,18.1,Walpole,WSW,Yes,2009-03-02,35.0,SSW,93.0,SW,1012.1,1008.1,28.0,14.0,Yes,54.0,15.7,56.0
1.4,11.8,19.3,Walpole,SSW,Yes,2009-03-03,11.0,S,64.0,SSE,1027.2,1025.2,13.0,14.0,No,52.0,17.5,41.0
0.0,9.6,23.5,Walpole,SE,No,2009-03-04,11.0,ENE,68.0,SE,1027.6,1031.5,24.0,14.2,No,53.0,22.1,43.0
0.0,12.9,27.4,Walpole,NE,No,2009-03-05,17.0,NE,78.0,S,1023.0,1026.1,15.0,15.9,No,56.0,25.1,33.0
0.0,12.2,22.0,Walpole,SE,No,2009-03-06,13.0,SE,81.0,SE,1023.4,1023.7,28.0,18.9,No,68.0,19.4,44.0
0.0,11.2,23.6,Walpole,SE,No,2009-03-07,13.0,E,71.0,SE,1021.2,1024.9,24.0,15.1,No,56.0,21.3,43.0
0.0,12.9,29.0,Walpole,NE,No,2009-03-08,26.0,NE,76.0,N,1015.8,1018.5,9.0,16.1,No,37.0,27.2,43.0
0.0,16.1,29.4,Walpole,NE,No,2009-03-09,9.0,N,50.0,SSE,1015.0,1016.5,11.0,22.0,No,53.0,25.9,28.0
0.0,13.9,33.5,Walpole,S,No,2009-03-10,4.0,N,80.0,S,1011.2,1014.6,13.0,18.8,No,50.0,29.8,24.0
0.0,17.0,22.2,Walpole,SSW,No,2009-03-11,15.0,SW,79.0,SSW,1014.8,1012.6,20.0,21.6,No,68.0,18.7,39.0
0.0,11.7,21.0,Walpole,SW,No,2009-03-12,0.0,,76.0,SSE,1015.1,1016.9,13.0,14.2,No,48.0,20.4,31.0
0.2,13.2,20.3,Walpole,SSW,No,2009-03-13,19.0,SSW,59.0,S,1022.5,1020.8,13.0,15.9,No,49.0,18.7,37.0
0.0,8.2,22.2,Walpole,ESE,No,2009-03-14,7.0,ENE,77.0,SE,1021.6,1024.8,26.0,13.2,No,51.0,20.6,44.0
0.0,12.0,30.6,Walpole,ENE,No,2009-03-15,19.0,ENE,79.0,ENE,1013.9,1018.8,13.0,15.7,No,31.0,29.4,39.0
0.0,15.5,34.7,Walpole,NNE,No,2009-03-16,9.0,N,44.0,WSW,1007.7,1010.7,15.0,23.6,No,40.0,32.3,50.0
0.0,17.8,24.3,Walpole,NW,No,2009-03-17,20.0,NNW,72.0,NW,1006.8,1007.8,48.0,19.9,Yes,43.0,23.3,80.0
1.6,14.9,19.2,Walpole,WSW,Yes,2009-03-18,13.0,WSW,63.0,WNW,1015.7,1015.1,19.0,16.1,No,64.0,17.4,48.0
0.2,14.5,22.2,Walpole,NW,No,2009-03-19,19.0,NW,73.0,NW,1011.1,1015.2,26.0,16.3,No,52.0,20.7,46.0
0.0,15.3,18.8,Walpole,WSW,No,2009-03-20,24.0,NW,83.0,WSW,1008.0,1005.9,24.0,16.4,Yes,65.0,17.3,52.0
7.0,11.8,19.7,Walpole,NW,Yes,2009-03-21,11.0,NW,72.0,WNW,1015.8,1015.9,13.0,13.9,No,57.0,18.5,31.0
0.0,10.3,20.8,Walpole,WNW,No,2009-03-22,7.0,N,76.0,NW,1012.9,1014.8,15.0,15.0,Yes,65.0,19.5,33.0
5.8,14.7,20.7,Walpole,NW,Yes,2009-03-23,6.0,W,98.0,S,1012.0,1012.3,7.0,16.1,No,73.0,19.3,30.0
0.6,13.1,23.8,Walpole,W,No,2009-03-24,13.0,WNW,81.0,W,1013.2,1014.7,17.0,16.5,Yes,63.0,23.5,43.0
2.0,12.8,20.7,Walpole,SSW,Yes,2009-03-25,0.0,,99.0,S,1020.8,1020.0,11.0,14.9,No,67.0,19.5,26.0
0.0,9.4,24.8,Walpole,NNE,No,2009-03-26,7.0,NE,89.0,S,1021.5,1025.4,13.0,14.2,No,60.0,23.2,31.0
0.2,11.8,26.0,Walpole,SW,No,2009-03-27,0.0,,99.0,SW,1017.2,1018.9,15.0,15.5,No,66.0,24.9,28.0
0.0,15.5,20.3,Walpole,SSE,No,2009-03-28,4.0,WSW,85.0,SSE,1022.1,1019.9,20.0,18.3,Yes,78.0,16.3,37.0
1.6,14.1,18.9,Walpole,SE,Yes,2009-03-29,20.0,SE,69.0,ESE,1024.7,1026.3,24.0,16.4,No,62.0,16.3,44.0
0.0,12.9,19.6,Walpole,ESE,No,2009-03-30,13.0,E,78.0,SSE,1015.8,1019.6,15.0,16.5,Yes,91.0,17.3,30.0
2.6,14.0,18.6,Walpole,SSW,Yes,2009-03-31,6.0,WSW,81.0,S,1019.0,1018.4,19.0,16.2,Yes,89.0,13.8,44.0
2.6,11.4,17.5,Walpole,S,Yes,2009-04-01,13.0,S,46.0,S,1023.4,1024.4,11.0,15.0,No,49.0,16.9,31.0
0.0,7.2,18.1,Walpole,NW,No,2009-04-02,20.0,NW,63.0,S,1025.5,1024.7,17.0,14.9,Yes,64.0,16.9,37.0
2.4,11.6,20.5,Walpole,SE,Yes,2009-04-03,9.0,ENE,67.0,SE,1029.0,1031.4,20.0,15.8,No,57.0,19.3,35.0
0.0,10.0,21.1,Walpole,ESE,No,2009-04-04,9.0,ENE,72.0,SE,1029.7,1032.4,20.0,15.4,No,60.0,20.0,39.0
0.0,11.9,21.7,Walpole,SE,No,2009-04-05,17.0,E,69.0,ESE,1028.5,1032.4,22.0,15.9,No,55.0,20.7,39.0
0.0,10.3,24.3,Walpole,NE,No,2009-04-06,17.0,NE,72.0,NE,1023.9,1028.6,15.0,16.6,No,34.0,23.9,39.0
0.0,13.4,26.2,Walpole,NNE,No,2009-04-07,17.0,NNE,72.0,SW,1020.2,1024.7,13.0,18.4,No,64.0,23.8,33.0
0.0,16.8,27.9,Walpole,NE,No,2009-04-08,9.0,E,46.0,WSW,1016.8,1019.3,15.0,21.2,No,40.0,26.9,33.0
0.0,14.3,18.6,Walpole,SE,No,2009-04-09,9.0,SSE,81.0,SSE,1020.2,1021.0,15.0,18.0,No,80.0,17.0,28.0
0.0,13.6,25.3,Walpole,ENE,No,2009-04-10,15.0,ENE,74.0,SE,1014.2,1019.4,19.0,16.7,No,58.0,22.9,35.0
0.2,13.1,20.5,Walpole,ESE,No,2009-04-11,20.0,ESE,88.0,ESE,1016.2,1016.4,31.0,19.1,No,79.0,19.7,52.0
0.0,17.6,24.2,Walpole,SE,No,2009-04-12,19.0,E,76.0,ESE,1020.1,1022.1,30.0,20.2,No,76.0,20.2,52.0
0.0,14.0,25.4,Walpole,NE,No,2009-04-13,13.0,ENE,77.0,SSE,1013.9,1019.2,19.0,18.1,No,70.0,22.6,33.0
0.0,16.6,20.0,Walpole,SSE,No,2009-04-14,17.0,SSE,74.0,SSE,1019.2,1019.3,20.0,16.7,No,62.0,18.0,39.0
0.0,9.3,18.2,Walpole,SSE,No,2009-04-15,0.0,,75.0,SSE,1019.5,1022.1,13.0,13.0,No,54.0,17.6,24.0
0.0,12.3,19.6,Walpole,S,No,2009-04-16,7.0,WNW,79.0,S,1015.6,1018.5,11.0,15.7,No,69.0,17.8,19.0
0.0,9.6,21.6,Walpole,SSE,No,2009-04-17,9.0,ENE,80.0,SE,1015.4,1017.0,19.0,16.0,No,63.0,20.2,30.0
0.0,14.3,26.3,Walpole,ENE,No,2009-04-18,13.0,ENE,88.0,S,1014.3,1016.3,11.0,18.0,No,77.0,22.6,28.0
0.0,17.7,26.8,Walpole,NE,No,2009-04-19,9.0,N,66.0,SSE,1013.6,1016.2,11.0,20.6,No,67.0,22.0,31.0
0.0,16.8,22.4,Walpole,SSE,No,2009-04-20,7.0,SSW,91.0,SSE,1013.4,1015.2,19.0,18.7,No,83.0,19.9,26.0
0.0,13.8,25.7,Walpole,WSW,No,2009-04-21,7.0,ESE,98.0,SSW,1006.4,1010.9,11.0,15.2,No,65.0,22.9,30.0
1.0,11.8,17.7,Walpole,SSW,No,2009-04-22,22.0,SW,78.0,SW,1014.8,1012.8,22.0,13.6,Yes,57.0,14.8,52.0
1.2,11.4,19.2,Walpole,SW,Yes,2009-04-23,9.0,W,87.0,W,1021.3,1022.5,19.0,14.3,Yes,80.0,16.1,43.0
1.4,14.0,20.5,Walpole,WSW,Yes,2009-04-24,19.0,W,78.0,W,1019.3,1021.7,24.0,16.8,No,68.0,18.7,48.0
0.4,14.7,20.7,Walpole,SW,No,2009-04-25,15.0,WSW,93.0,SW,1021.7,1022.4,15.0,16.2,No,74.0,19.7,31.0
0.0,12.7,18.8,Walpole,SW,No,2009-04-26,7.0,W,88.0,WSW,1022.0,1023.5,11.0,15.5,No,68.0,17.4,20.0
0.0,9.6,19.9,Walpole,W,No,2009-04-27,0.0,,91.0,W,1020.2,1022.5,9.0,12.5,No,60.0,18.8,20.0
0.0,12.4,21.5,Walpole,ENE,No,2009-04-28,0.0,,82.0,SSE,1023.6,1025.8,13.0,17.0,No,60.0,20.4,28.0
0.0,10.6,21.4,Walpole,NNE,No,2009-04-29,4.0,SSW,87.0,SW,1020.2,1021.0,19.0,14.3,No,63.0,20.1,44.0
0.0,11.9,18.5,Walpole,SSW,No,2009-04-30,9.0,SSW,65.0,SSE,1025.7,1026.1,11.0,16.2,No,55.0,17.1,28.0
0.0,10.2,18.8,Walpole,SSW,No,2009-05-01,4.0,WSW,83.0,SSE,1028.4,1030.1,11.0,13.3,No,63.0,17.8,19.0
0.0,7.7,22.8,Walpole,SE,No,2009-05-02,7.0,ENE,92.0,SSE,1025.8,1029.9,11.0,13.4,No,53.0,20.3,24.0
0.0,10.6,22.7,Walpole,NE,No,2009-05-03,13.0,E,83.0,E,1024.6,1027.3,7.0,13.6,No,48.0,22.1,24.0
0.0,11.1,24.6,Walpole,NNE,No,2009-05-04,9.0,WNW,64.0,SSE,1025.5,1027.2,15.0,15.6,No,61.0,21.0,24.0
0.0,10.7,24.5,Walpole,NE,No,2009-05-05,9.0,E,75.0,SSE,1028.7,1030.3,9.0,14.8,No,48.0,21.6,24.0
0.0,14.0,24.9,Walpole,NNE,No,2009-05-06,13.0,NNE,57.0,N,1028.5,1031.7,7.0,17.0,No,30.0,24.5,35.0
0.0,13.3,24.9,Walpole,NE,No,2009-05-07,15.0,NNE,69.0,WNW,1027.1,1030.2,6.0,16.4,No,34.0,24.6,41.0
0.0,14.1,24.1,Walpole,N,No,2009-05-08,0.0,,54.0,WSW,1025.8,1029.5,6.0,18.1,No,39.0,23.7,33.0
0.0,13.1,24.3,Walpole,NW,No,2009-05-09,15.0,N,50.0,WNW,1021.1,1025.1,11.0,17.7,No,34.0,22.9,37.0
0.0,12.8,21.4,Walpole,SE,No,2009-05-10,9.0,NNW,48.0,W,1019.0,1018.9,11.0,17.6,Yes,63.0,18.3,30.0
13.0,13.1,18.3,Walpole,SSE,Yes,2009-05-11,11.0,ESE,85.0,SE,1024.5,1024.5,15.0,14.8,No,62.0,17.3,30.0
0.0,9.2,19.0,Walpole,ESE,No,2009-05-12,0.0,,89.0,SE,1027.9,1029.4,19.0,12.7,No,73.0,17.1,35.0
0.0,12.1,18.9,Walpole,SE,No,2009-05-13,0.0,,87.0,SSW,1026.5,1029.4,7.0,13.7,No,52.0,17.8,20.0
0.0,7.5,19.8,Walpole,SW,No,2009-05-14,0.0,,84.0,SW,1023.5,1026.9,11.0,11.5,No,61.0,17.6,20.0
0.0,6.6,20.1,Walpole,SE,No,2009-05-15,0.0,,98.0,S,1021.0,1024.2,9.0,11.1,No,62.0,18.7,19.0
0.0,7.7,21.0,Walpole,S,No,2009-05-16,0.0,,99.0,S,1020.0,1022.3,9.0,12.0,No,57.0,19.3,17.0
0.0,7.5,23.5,Walpole,NE,No,2009-05-17,0.0,,87.0,W,1014.9,1019.0,7.0,12.1,No,34.0,22.4,22.0
0.2,10.6,22.0,Walpole,NW,No,2009-05-18,0.0,,84.0,W,1011.4,1013.8,17.0,12.8,Yes,55.0,20.7,31.0
1.8,12.8,19.3,Walpole,NW,Yes,2009-05-19,15.0,NW,91.0,WSW,1013.6,1013.5,9.0,16.5,Yes,68.0,18.7,37.0
1.8,12.9,22.7,Walpole,WNW,Yes,2009-05-20,20.0,NNW,84.0,NW,1004.8,1009.0,19.0,16.1,Yes,56.0,21.6,52.0
20.6,14.3,19.3,Walpole,NW,Yes,2009-05-21,31.0,NNW,86.0,NW,989.7,992.6,35.0,17.6,Yes,67.0,16.0,69.0
39.0,7.7,13.4,Walpole,WSW,Yes,2009-05-22,39.0,NNW,90.0,W,996.5,994.6,37.0,8.9,Yes,82.0,9.9,78.0
15.4,8.8,13.9,Walpole,SW,Yes,2009-05-23,22.0,SW,70.0,WSW,1008.2,1006.1,22.0,11.9,Yes,73.0,12.7,61.0
9.6,9.8,15.8,Walpole,S,Yes,2009-05-24,4.0,WNW,76.0,W,1016.8,1016.8,6.0,13.2,Yes,88.0,14.7,31.0
1.2,7.9,17.7,Walpole,E,Yes,2009-05-25,6.0,NE,85.0,ENE,1019.3,1021.6,13.0,12.1,No,60.0,17.1,22.0
0.0,8.3,18.9,Walpole,NNE,No,2009-05-26,17.0,NE,70.0,NE,1019.2,1022.0,11.0,12.0,No,49.0,18.2,31.0
0.0,10.5,19.6,Walpole,ENE,No,2009-05-27,15.0,NNE,66.0,NE,1019.5,1022.0,13.0,13.5,No,50.0,17.9,31.0
0.0,9.4,19.6,Walpole,SE,No,2009-05-28,11.0,ENE,76.0,ENE,1020.1,1022.7,11.0,12.7,No,44.0,19.3,31.0
0.0,9.9,21.5,Walpole,NE,No,2009-05-29,19.0,NE,73.0,N,1019.8,1022.7,13.0,13.3,No,43.0,20.7,31.0
0.0,10.7,20.2,Walpole,NNE,No,2009-05-30,17.0,NNE,67.0,NNE,1016.3,1019.4,9.0,13.6,Yes,50.0,19.6,43.0
1.8,13.6,20.5,Walpole,NNE,Yes,2009-05-31,24.0,NE,88.0,SSW,1017.5,1017.2,7.0,14.2,No,68.0,19.3,37.0
0.0,8.9,22.7,Walpole,NE,No,2009-06-01,7.0,NE,93.0,S,1017.9,1021.2,9.0,12.4,No,68.0,20.0,24.0
0.2,12.1,18.6,Walpole,WNW,No,2009-06-02,6.0,N,83.0,SW,1015.5,1017.6,11.0,15.3,Yes,77.0,17.7,28.0
2.4,11.3,14.2,Walpole,SW,Yes,2009-06-03,13.0,WNW,93.0,SW,1015.1,1017.4,17.0,12.1,Yes,86.0,12.2,59.0
39.4,8.3,16.3,Walpole,SSW,Yes,2009-06-04,39.0,SSW,71.0,SSW,1017.6,1016.4,33.0,14.2,Yes,78.0,12.8,67.0
3.8,12.2,18.4,Walpole,SSW,Yes,2009-06-05,20.0,S,86.0,SE,1022.2,1021.5,19.0,15.2,Yes,68.0,16.6,46.0
4.4,10.8,14.9,Walpole,WSW,Yes,2009-06-06,6.0,W,97.0,WSW,1025.6,1026.5,13.0,12.4,Yes,73.0,14.1,26.0
6.6,10.2,16.3,Walpole,NW,Yes,2009-06-07,9.0,WNW,99.0,WSW,1023.3,1025.1,11.0,12.3,No,71.0,15.6,28.0
0.2,6.8,17.7,Walpole,NNE,No,2009-06-08,0.0,,96.0,N,1022.6,1024.6,2.0,8.8,No,61.0,16.8,15.0
0.0,7.9,18.9,Walpole,NNW,No,2009-06-09,15.0,NNE,73.0,N,1014.7,1019.8,11.0,12.3,Yes,49.0,16.6,39.0
1.8,12.2,19.8,Walpole,NW,Yes,2009-06-10,22.0,NNW,83.0,NW,1006.5,1007.8,30.0,16.3,Yes,58.0,19.4,61.0
6.6,11.5,16.0,Walpole,NW,Yes,2009-06-11,11.0,WNW,87.0,SSW,1009.1,1009.2,28.0,12.1,Yes,74.0,13.8,46.0
3.0,8.8,14.3,Walpole,SSW,Yes,2009-06-12,11.0,WSW,83.0,SW,1017.5,1016.6,11.0,10.9,Yes,67.0,13.0,39.0
1.2,7.4,14.3,Walpole,SW,Yes,2009-06-13,13.0,WNW,94.0,WNW,1023.8,1023.4,15.0,9.5,Yes,92.0,11.8,24.0
2.2,6.5,15.2,Walpole,NW,Yes,2009-06-14,19.0,NNW,86.0,NW,1023.6,1024.6,11.0,12.6,Yes,96.0,14.8,35.0
3.8,12.0,17.6,Walpole,NW,Yes,2009-06-15,15.0,NNW,88.0,NW,1020.1,1023.0,24.0,14.6,Yes,82.0,16.6,44.0
8.6,13.1,17.9,Walpole,N,Yes,2009-06-16,6.0,NW,98.0,SSW,1019.7,1021.8,4.0,13.8,Yes,92.0,15.1,43.0
2.2,12.3,18.5,Walpole,WNW,Yes,2009-06-17,24.0,N,67.0,NNW,1010.1,1015.2,30.0,13.9,Yes,59.0,18.2,57.0
9.2,12.3,18.4,Walpole,NNW,Yes,2009-06-18,9.0,WNW,93.0,NW,1008.4,1011.7,24.0,13.7,Yes,60.0,17.4,52.0
20.4,10.0,13.3,Walpole,WSW,Yes,2009-06-19,17.0,WNW,95.0,WSW,1003.5,1000.1,22.0,10.0,Yes,59.0,11.2,57.0
7.4,8.2,13.3,Walpole,W,Yes,2009-06-20,22.0,NNW,86.0,NW,1003.9,1007.7,26.0,12.0,Yes,85.0,12.6,81.0
12.6,7.9,13.2,Walpole,SW,Yes,2009-06-21,26.0,SSW,74.0,SW,1016.5,1015.0,17.0,9.8,No,58.0,12.0,69.0
0.0,8.8,13.4,Walpole,NNE,No,2009-06-22,2.0,NW,84.0,NNW,1016.1,1018.3,9.0,9.7,No,62.0,12.8,17.0
0.0,5.8,12.1,Walpole,NNE,No,2009-06-23,17.0,ENE,79.0,NE,1006.2,1011.2,15.0,8.5,Yes,70.0,11.9,43.0
1.2,8.5,15.3,Walpole,NNE,Yes,2009-06-24,22.0,NE,87.0,NNE,999.0,1002.6,15.0,10.2,Yes,82.0,12.4,39.0
1.4,7.5,17.9,Walpole,WSW,Yes,2009-06-25,0.0,,98.0,WSW,1004.8,1003.4,13.0,10.2,No,72.0,16.5,26.0
1.0,10.1,16.5,Walpole,NNW,No,2009-06-26,17.0,N,86.0,N,999.6,1005.9,22.0,13.2,Yes,72.0,16.1,50.0
8.6,9.9,13.0,Walpole,WSW,Yes,2009-06-27,30.0,NW,87.0,NW,993.9,998.3,28.0,10.3,Yes,86.0,12.9,63.0
49.6,10.1,14.2,Walpole,WNW,Yes,2009-06-28,28.0,NW,93.0,WNW,994.5,996.9,33.0,11.8,Yes,90.0,12.5,67.0
