Wind.Speed.9.am,Location,Cloud.3.pm,Temp.9.am.F,Pressure.9.am,Rain.Tomorrow,Wind.Gust.Speed,Cloud.9.am,Wind.Dir.9.am,Temp.3.pm.F,Wind.Speed.3.pm,Evaporation,Date,Rain.Today,Max.Temp.F,Humidity.9.am,Wind.Gust.Dir,Wind.Dir.3.pm,Pressure.3.pm,Humidity.3.pm,Min.Temp.F,Rainfall,Sunshine
17.0,WaggaWagga,6.0,87.61999999999999,1011.0,Yes,115.0,0.0,N,98.96000000000001,20.0,10.2,2009-01-20,No,104.0,41.0,W,NNE,1006.0,19.0,71.24000000000001,0.0,8.4
17.0,WaggaWagga,1.0,82.22,1009.3,No,65.0,1.0,NNE,98.06,20.0,15.6,2009-01-21,Yes,100.22,47.0,N,NW,1006.7,13.0,61.519999999999996,15.8,12.3
26.0,WaggaWagga,6.0,77.36,1007.0,Yes,94.0,3.0,NNW,90.5,33.0,13.8,2009-01-22,No,95.0,61.0,WNW,NNW,1001.5,39.0,73.58,0.2,5.5
4.0,WaggaWagga,3.0,74.12,1008.1,No,46.0,1.0,N,91.94,28.0,10.2,2009-01-23,Yes,95.9,69.0,NNW,NNW,1004.6,42.0,67.64,12.8,11.0
24.0,WaggaWagga,1.0,75.74000000000001,1006.9,No,57.0,1.0,WSW,85.46000000000001,22.0,8.8,2009-01-24,No,87.98,34.0,WNW,W,1008.2,26.0,70.34,0.0,12.8
22.0,WaggaWagga,0.0,71.06,1016.5,No,41.0,0.0,ENE,87.44,7.0,12.0,2009-01-25,No,91.58000000000001,54.0,E,SW,1014.7,20.0,58.459999999999994,0.0,13.4
9.0,WaggaWagga,1.0,77.54,1017.8,No,57.0,0.0,ENE,95.9,11.0,7.6,2009-01-26,No,99.86,47.0,ENE,WSW,1014.9,16.0,64.4,0.0,13.4
19.0,WaggaWagga,2.0,77.36,1018.1,No,57.0,1.0,NE,97.7,7.0,12.0,2009-01-27,No,100.22,53.0,ENE,NNE,1014.3,23.0,69.62,0.0,13.2
13.0,WaggaWagga,1.0,85.1,1015.9,No,31.0,0.0,NNE,99.68,6.0,11.2,2009-01-28,No,102.56,39.0,N,NE,1012.6,20.0,73.4,0.0,13.3
15.0,WaggaWagga,1.0,89.06,1015.6,No,26.0,0.0,NE,102.02,11.0,13.6,2009-01-29,No,105.26,26.0,E,WNW,1012.0,15.0,77.54,0.0,13.3
17.0,WaggaWagga,1.0,87.61999999999999,1014.9,No,30.0,0.0,ENE,102.38000000000001,13.0,12.0,2009-01-30,No,106.16,24.0,WNW,NE,1010.8,14.0,76.64,0.0,13.3
13.0,WaggaWagga,1.0,87.08000000000001,1015.1,No,28.0,2.0,ENE,102.38000000000001,13.0,13.2,2009-01-31,No,106.88000000000001,23.0,SE,SSW,1011.4,14.0,73.22,0.0,13.3
19.0,WaggaWagga,2.0,91.22,1012.6,No,63.0,1.0,NE,105.08000000000001,20.0,13.6,2009-02-01,No,106.88000000000001,26.0,ENE,ENE,1009.7,11.0,80.42,0.0,11.2
26.0,WaggaWagga,7.0,78.8,1012.4,No,61.0,2.0,ENE,99.32,11.0,18.4,2009-02-02,No,102.2,47.0,ENE,NW,1007.4,21.0,72.86,0.0,9.7
11.0,WaggaWagga,1.0,82.75999999999999,1009.1,No,52.0,1.0,ENE,101.48,20.0,13.6,2009-02-03,No,102.91999999999999,43.0,E,SW,1004.9,17.0,75.92,0.0,12.6
22.0,WaggaWagga,1.0,79.52,1008.9,No,44.0,2.0,ENE,96.61999999999999,7.0,13.8,2009-02-04,No,100.58000000000001,50.0,ENE,ENE,1004.5,26.0,71.78,0.0,13.2
9.0,WaggaWagga,1.0,88.16,1006.1,No,33.0,2.0,NE,103.46000000000001,11.0,11.4,2009-02-05,No,107.06,41.0,NW,N,1002.8,17.0,78.44,0.0,12.2
13.0,WaggaWagga,1.0,91.4,1007.7,No,31.0,1.0,SE,105.08000000000001,9.0,13.6,2009-02-06,No,109.03999999999999,29.0,WNW,NW,1005.1,12.0,77.36,0.0,12.9
17.0,WaggaWagga,2.0,91.58000000000001,1009.4,No,54.0,1.0,ENE,108.86,28.0,14.0,2009-02-07,No,113.36,32.0,NNW,NW,1005.9,12.0,78.8,0.0,11.5
17.0,WaggaWagga,1.0,95.18,1008.9,No,50.0,1.0,N,107.6,31.0,18.0,2009-02-08,No,108.86,16.0,W,WSW,1006.3,10.0,83.3,0.0,11.6
9.0,WaggaWagga,5.0,67.28,1010.2,No,33.0,3.0,W,81.14,19.0,19.6,2009-02-09,No,89.6,44.0,WSW,W,1008.4,29.0,65.66,0.0,8.7
6.0,WaggaWagga,2.0,61.519999999999996,1011.2,No,43.0,3.0,W,82.04,13.0,9.8,2009-02-10,No,84.2,46.0,SW,SW,1007.9,15.0,51.8,0.0,11.6
15.0,WaggaWagga,4.0,65.12,1011.5,No,41.0,1.0,SSE,78.62,13.0,9.4,2009-02-11,No,82.4,41.0,SSW,S,1010.0,22.0,56.84,0.0,11.6
13.0,WaggaWagga,6.0,65.66,1016.2,Yes,57.0,7.0,ENE,75.92,11.0,9.4,2009-02-12,No,78.62,43.0,SE,SSE,1015.1,29.0,61.88,0.0,3.8
33.0,WaggaWagga,6.0,65.66,1022.1,No,61.0,4.0,E,77.36,26.0,7.0,2009-02-13,Yes,79.88,43.0,E,E,1019.0,26.0,56.120000000000005,8.0,9.6
17.0,WaggaWagga,7.0,64.75999999999999,1021.4,No,41.0,7.0,ESE,76.82,20.0,11.8,2009-02-14,No,78.8,34.0,E,NNE,1017.3,28.0,60.8,0.0,3.5
11.0,WaggaWagga,7.0,66.56,1015.5,No,52.0,5.0,SE,80.78,9.0,7.8,2009-02-15,No,83.3,50.0,E,NNE,1013.3,30.0,57.379999999999995,0.0,4.4
6.0,WaggaWagga,3.0,64.75999999999999,1017.1,No,50.0,5.0,ESE,83.84,20.0,6.4,2009-02-16,No,86.9,53.0,NE,ENE,1013.5,26.0,53.6,0.6,9.3
17.0,WaggaWagga,7.0,67.82,1016.6,No,43.0,5.0,ESE,79.52,20.0,10.4,2009-02-17,No,80.96,36.0,NE,E,1013.6,28.0,55.94,0.0,5.0
9.0,WaggaWagga,7.0,72.86,1012.1,No,39.0,1.0,ESE,84.91999999999999,13.0,8.4,2009-02-18,No,88.34,36.0,SSW,NW,1007.7,25.0,61.7,0.0,9.1
7.0,WaggaWagga,2.0,71.24000000000001,1007.8,No,54.0,0.0,WNW,88.88000000000001,24.0,8.4,2009-02-19,No,93.02,56.0,WSW,SW,1005.2,16.0,60.440000000000005,0.0,12.2
11.0,WaggaWagga,6.0,70.34,1010.1,No,48.0,7.0,ESE,87.08000000000001,20.0,11.2,2009-02-20,No,94.1,45.0,S,S,1008.8,20.0,61.7,0.0,5.7
6.0,WaggaWagga,0.0,67.28,1012.6,No,39.0,0.0,WNW,85.28,9.0,8.0,2009-02-21,No,88.52,54.0,NE,NW,1010.5,17.0,55.76,0.0,12.5
28.0,WaggaWagga,1.0,71.96,1015.4,No,54.0,0.0,ENE,87.61999999999999,9.0,10.4,2009-02-22,No,91.76,49.0,ENE,NW,1012.5,22.0,66.2,0.0,12.4
17.0,WaggaWagga,5.0,78.8,1013.5,No,54.0,1.0,N,94.28,31.0,9.0,2009-02-23,No,95.36,46.0,W,WSW,1009.0,12.0,64.94,0.0,10.1
9.0,WaggaWagga,0.0,67.46,1014.2,No,44.0,0.0,WNW,88.52,26.0,12.0,2009-02-24,No,90.14,55.0,WSW,W,1012.7,7.0,61.519999999999996,0.0,12.3
6.0,WaggaWagga,0.0,57.379999999999995,1016.7,No,35.0,0.0,NNW,86.0,9.0,11.4,2009-02-25,No,88.88000000000001,41.0,SW,NW,1013.4,9.0,48.02,0.0,12.0
28.0,WaggaWagga,0.0,68.9,1017.7,No,43.0,1.0,E,85.82,7.0,9.0,2009-02-26,No,88.88000000000001,51.0,ENE,E,1015.1,21.0,57.2,0.0,12.0
13.0,WaggaWagga,3.0,69.44,1016.6,No,39.0,7.0,ENE,86.9,11.0,11.0,2009-02-27,No,90.32,50.0,ENE,NNW,1012.9,22.0,60.08,0.0,10.7
9.0,WaggaWagga,1.0,76.46,1008.8,No,59.0,1.0,ENE,93.91999999999999,31.0,7.2,2009-02-28,No,95.18,34.0,W,WSW,1005.0,7.0,65.3,0.0,11.8
6.0,WaggaWagga,1.0,61.34,1010.3,No,28.0,1.0,WNW,80.42,7.0,15.0,2009-03-01,No,83.84,60.0,NW,WNW,1008.9,30.0,51.8,0.0,9.9
13.0,WaggaWagga,3.0,70.7,1013.9,No,31.0,6.0,ENE,88.16,6.0,7.8,2009-03-02,No,90.86,58.0,ENE,NNE,1011.2,19.0,60.08,0.0,11.0
19.0,WaggaWagga,7.0,72.68,1015.1,No,46.0,7.0,NE,85.1,24.0,9.4,2009-03-03,No,88.7,58.0,N,NNE,1010.3,31.0,65.3,0.0,3.1
22.0,WaggaWagga,1.0,62.059999999999995,1014.9,No,61.0,2.0,WSW,70.52,30.0,10.2,2009-03-04,No,73.75999999999999,47.0,WSW,WSW,1013.1,19.0,59.540000000000006,0.0,8.7
35.0,WaggaWagga,5.0,57.92,1013.3,No,57.0,1.0,SW,68.36,31.0,12.0,2009-03-05,No,73.04,54.0,SW,WSW,1012.2,30.0,53.24,0.0,11.5
4.0,WaggaWagga,1.0,54.68,1014.0,No,31.0,0.0,E,73.04,9.0,7.4,2009-03-06,No,75.92,59.0,WSW,WNW,1011.5,22.0,45.14,0.0,11.9
6.0,WaggaWagga,1.0,60.08,1015.0,No,30.0,1.0,ESE,79.16,19.0,7.0,2009-03-07,No,83.48,46.0,WSW,SW,1012.7,21.0,48.02,0.0,11.8
9.0,WaggaWagga,1.0,66.38,1016.7,No,39.0,4.0,E,85.28,6.0,8.0,2009-03-08,No,87.98,42.0,ENE,ENE,1014.4,22.0,49.82,0.0,12.0
30.0,WaggaWagga,1.0,69.08,1019.8,No,43.0,0.0,E,87.08000000000001,7.0,7.4,2009-03-09,No,88.34,56.0,E,NNE,1016.2,26.0,63.68,0.0,11.6
24.0,WaggaWagga,5.0,71.78,1019.1,No,43.0,6.0,ENE,85.46000000000001,15.0,8.8,2009-03-10,No,89.6,54.0,N,ENE,1016.3,24.0,67.28,0.0,9.7
31.0,WaggaWagga,2.0,69.08,1021.1,No,57.0,4.0,ENE,86.18,26.0,10.6,2009-03-11,No,86.9,52.0,ENE,ENE,1018.2,25.0,66.74000000000001,0.0,8.1
28.0,WaggaWagga,7.0,72.86,1019.8,Yes,48.0,6.0,ENE,81.14,13.0,11.4,2009-03-12,No,88.16,52.0,WSW,S,1016.3,38.0,67.1,0.0,5.3
9.0,WaggaWagga,5.0,69.62,1017.3,No,30.0,6.0,ENE,77.72,13.0,5.0,2009-03-13,Yes,80.96,79.0,N,N,1015.1,54.0,65.3,8.6,5.9
11.0,WaggaWagga,7.0,68.36,1013.3,Yes,52.0,3.0,ENE,75.02,17.0,5.4,2009-03-14,No,83.48,81.0,SW,WNW,1007.9,67.0,62.6,0.0,8.8
13.0,WaggaWagga,3.0,55.22,1013.8,No,39.0,1.0,WSW,64.94,26.0,5.4,2009-03-15,Yes,68.9,62.0,W,WSW,1012.3,43.0,49.64,5.6,11.1
4.0,WaggaWagga,4.0,55.76,1013.7,No,41.0,1.0,WNW,69.62,19.0,6.0,2009-03-16,No,70.88,72.0,SW,WSW,1011.4,35.0,47.66,0.0,8.8
4.0,WaggaWagga,1.0,55.76,1015.1,No,39.0,0.0,W,75.02,17.0,4.8,2009-03-17,No,77.72,76.0,SW,WSW,1013.0,32.0,48.2,0.0,11.2
4.0,WaggaWagga,1.0,60.08,1017.6,No,28.0,1.0,E,80.42,7.0,6.0,2009-03-18,No,82.4,68.0,W,NW,1014.2,27.0,48.02,0.0,11.4
9.0,WaggaWagga,1.0,61.88,1016.2,No,24.0,7.0,ESE,84.38000000000001,9.0,6.2,2009-03-19,No,86.72,40.0,NW,WNW,1013.6,15.0,54.32,0.0,10.1
9.0,WaggaWagga,1.0,67.64,1016.2,No,30.0,0.0,ENE,90.14,9.0,6.8,2009-03-20,No,91.4,32.0,E,S,1013.6,11.0,54.86,0.0,11.1
9.0,WaggaWagga,2.0,73.04,1016.8,No,26.0,1.0,ENE,89.41999999999999,7.0,7.4,2009-03-21,No,92.66,36.0,E,ENE,1013.3,17.0,60.62,0.0,11.0
11.0,WaggaWagga,7.0,70.88,1015.4,No,33.0,7.0,E,80.42,6.0,8.6,2009-03-22,No,87.8,52.0,WSW,E,1012.9,40.0,62.6,0.0,2.7
9.0,WaggaWagga,1.0,75.56,1014.1,No,50.0,2.0,NE,89.96000000000001,26.0,5.2,2009-03-23,No,91.76,39.0,WNW,WNW,1012.1,22.0,62.78,0.2,10.7
11.0,WaggaWagga,5.0,67.64,1016.4,No,24.0,2.0,ESE,89.24,13.0,9.2,2009-03-24,No,91.58000000000001,46.0,W,W,1014.4,19.0,56.3,0.0,10.8
11.0,WaggaWagga,8.0,71.42,1017.3,No,52.0,7.0,NE,80.96,20.0,8.0,2009-03-25,No,81.14,41.0,W,WSW,1018.1,33.0,66.2,0.0,0.9
7.0,WaggaWagga,7.0,68.18,1019.4,No,39.0,6.0,ESE,79.52,20.0,3.2,2009-03-26,No,85.64,58.0,WSW,WSW,1017.8,37.0,58.28,0.4,6.9
4.0,WaggaWagga,1.0,58.459999999999994,1022.9,No,28.0,0.0,WSW,82.4,7.0,5.2,2009-03-27,No,84.38000000000001,67.0,WSW,SSW,1020.3,23.0,51.44,0.0,11.3
20.0,WaggaWagga,3.0,64.58,1023.4,No,28.0,1.0,E,82.22,9.0,6.4,2009-03-28,No,85.1,62.0,ENE,NW,1020.7,19.0,53.42,0.0,11.2
11.0,WaggaWagga,6.0,64.22,1022.1,No,30.0,1.0,ESE,86.0,11.0,6.6,2009-03-29,No,88.34,41.0,SW,WSW,1018.9,19.0,51.44,0.0,10.6
30.0,WaggaWagga,1.0,69.25999999999999,1023.3,No,,1.0,ENE,82.4,20.0,6.8,2009-03-30,No,85.1,50.0,,ENE,1019.3,27.0,62.78,0.0,11.1
6.0,WaggaWagga,2.0,65.66,1022.6,No,41.0,1.0,ESE,83.84,15.0,9.2,2009-03-31,No,86.53999999999999,47.0,NE,NE,1018.7,30.0,56.120000000000005,0.0,11.1
9.0,WaggaWagga,1.0,68.9,1021.6,No,48.0,1.0,ESE,84.91999999999999,26.0,9.0,2009-04-01,No,86.36,49.0,ENE,ENE,1019.1,27.0,59.0,0.0,11.1
13.0,WaggaWagga,1.0,70.7,1021.9,No,43.0,1.0,ESE,85.64,20.0,7.0,2009-04-02,No,88.34,54.0,ENE,NNE,1018.3,36.0,61.519999999999996,0.0,10.7
19.0,WaggaWagga,7.0,71.6,1018.9,Yes,48.0,6.0,ENE,84.74,13.0,9.2,2009-04-03,No,87.98,62.0,NNW,NNW,1013.5,40.0,67.46,0.0,5.4
13.0,WaggaWagga,1.0,54.14,1019.8,No,41.0,1.0,WSW,69.98,15.0,5.0,2009-04-04,Yes,72.32,70.0,WSW,SW,1018.7,38.0,49.82,2.0,11.0
2.0,WaggaWagga,0.0,57.56,1020.1,No,33.0,1.0,N,70.7,20.0,5.4,2009-04-05,No,72.14,60.0,WSW,WSW,1016.3,30.0,42.8,0.0,10.9
7.0,WaggaWagga,1.0,56.66,1021.3,No,33.0,0.0,W,69.62,11.0,5.2,2009-04-06,No,71.96,50.0,SW,SSW,1018.7,27.0,45.86,0.0,11.1
9.0,WaggaWagga,1.0,59.9,1025.8,No,33.0,1.0,ESE,73.04,9.0,5.4,2009-04-07,No,74.84,39.0,S,WSW,1022.6,22.0,43.879999999999995,0.0,11.0
13.0,WaggaWagga,1.0,61.519999999999996,1026.8,No,26.0,1.0,ENE,75.02,6.0,4.6,2009-04-08,No,76.64,53.0,NE,W,1023.1,27.0,47.3,0.0,10.8
6.0,WaggaWagga,1.0,64.22,1024.1,No,33.0,0.0,ENE,77.9,4.0,4.8,2009-04-09,No,79.52,55.0,NNW,WSW,1019.6,24.0,46.58,0.0,10.7
15.0,WaggaWagga,7.0,67.28,1021.9,No,35.0,1.0,ENE,76.82,20.0,5.2,2009-04-10,No,80.24000000000001,39.0,NNE,NNE,1018.4,40.0,56.84,0.0,6.5
13.0,WaggaWagga,7.0,69.08,1024.3,No,39.0,3.0,E,73.58,11.0,4.0,2009-04-11,No,78.08,57.0,N,ESE,1020.7,54.0,57.379999999999995,0.0,5.0
7.0,WaggaWagga,3.0,62.42,1024.3,No,22.0,7.0,ESE,76.1,4.0,3.6,2009-04-12,No,77.9,84.0,SSE,E,1020.7,39.0,56.120000000000005,0.0,7.5
11.0,WaggaWagga,6.0,64.22,1022.7,No,33.0,1.0,ESE,77.36,13.0,4.2,2009-04-13,No,80.24000000000001,56.0,NNE,E,1017.8,28.0,51.620000000000005,0.0,8.9
4.0,WaggaWagga,7.0,67.1,1016.0,No,28.0,7.0,ENE,70.7,13.0,4.6,2009-04-14,No,78.25999999999999,71.0,E,W,1012.0,53.0,59.9,0.0,7.8
7.0,WaggaWagga,1.0,69.98,1010.1,No,65.0,1.0,NNW,68.72,35.0,3.4,2009-04-15,No,77.54,47.0,W,W,1010.2,32.0,51.98,0.2,8.2
11.0,WaggaWagga,2.0,53.24,1016.3,No,31.0,2.0,ENE,68.72,19.0,8.0,2009-04-16,No,70.7,45.0,WSW,WSW,1012.8,20.0,36.68,0.0,10.6
7.0,WaggaWagga,2.0,56.3,1018.5,No,39.0,1.0,ENE,70.7,17.0,3.4,2009-04-17,No,73.4,44.0,SW,SW,1016.6,32.0,39.74,0.0,10.0
7.0,WaggaWagga,0.0,58.82,1022.3,No,26.0,0.0,E,75.2,9.0,4.0,2009-04-18,No,76.46,55.0,S,SW,1018.8,28.0,44.239999999999995,0.0,10.6
9.0,WaggaWagga,1.0,62.059999999999995,1022.5,No,26.0,0.0,E,76.28,4.0,4.0,2009-04-19,No,77.0,58.0,ESE,SSE,1018.6,30.0,48.2,0.0,10.7
13.0,WaggaWagga,1.0,60.62,1023.0,No,24.0,0.0,ESE,71.06,6.0,4.6,2009-04-20,No,72.5,40.0,SE,SE,1019.6,24.0,42.980000000000004,0.0,10.7
7.0,WaggaWagga,2.0,60.26,1024.4,No,26.0,2.0,SE,72.86,7.0,4.4,2009-04-21,No,75.02,46.0,E,ENE,1020.3,27.0,42.980000000000004,0.0,10.6
11.0,WaggaWagga,3.0,61.34,1025.3,No,,1.0,ESE,71.96,20.0,4.6,2009-04-22,No,75.56,44.0,,E,1021.3,32.0,46.94,0.0,9.5
28.0,WaggaWagga,1.0,61.88,1020.8,No,46.0,1.0,ENE,73.04,20.0,5.4,2009-04-23,No,74.66,61.0,NNE,NE,1015.7,30.0,53.06,0.0,9.5
15.0,WaggaWagga,7.0,62.059999999999995,1009.4,Yes,39.0,7.0,E,60.440000000000005,11.0,5.8,2009-04-24,No,64.58,55.0,WNW,NE,1003.1,83.0,57.2,0.0,0.5
20.0,WaggaWagga,8.0,55.76,1005.5,Yes,91.0,6.0,WNW,57.74,13.0,1.6,2009-04-25,Yes,62.24,86.0,WNW,NW,1002.5,91.0,55.04,11.0,0.9
30.0,WaggaWagga,3.0,49.64,1005.7,Yes,69.0,6.0,WNW,51.620000000000005,31.0,4.0,2009-04-26,Yes,56.3,75.0,WNW,WNW,1005.5,74.0,47.84,15.4,7.3
9.0,WaggaWagga,8.0,46.04,1014.6,No,28.0,7.0,WNW,52.52,15.0,3.6,2009-04-27,Yes,53.78,82.0,WNW,NW,1014.1,62.0,40.46,2.4,3.8
19.0,WaggaWagga,7.0,51.98,1017.9,No,39.0,5.0,W,56.48,20.0,0.8,2009-04-28,No,59.36,79.0,WSW,WSW,1018.4,47.0,45.68,0.8,6.7
6.0,WaggaWagga,7.0,46.76,1022.6,No,24.0,7.0,SE,57.74,7.0,2.6,2009-04-29,No,59.0,74.0,E,NE,1019.6,38.0,39.2,0.0,2.9
0.0,WaggaWagga,1.0,49.1,1022.8,No,,3.0,,61.7,9.0,2.6,2009-04-30,No,62.959999999999994,68.0,,W,1021.1,39.0,37.4,0.0,8.4
9.0,WaggaWagga,1.0,48.02,1025.5,No,31.0,1.0,E,62.78,9.0,1.6,2009-05-01,No,64.4,74.0,SW,WSW,1022.7,38.0,37.76,0.0,10.5
0.0,WaggaWagga,2.0,52.16,1026.8,No,22.0,1.0,,66.38,13.0,2.2,2009-05-02,No,66.92,69.0,S,SSW,1023.7,38.0,41.18,0.0,10.5
9.0,WaggaWagga,1.0,53.78,1028.5,No,17.0,0.0,ESE,67.82,9.0,2.4,2009-05-03,No,69.08,71.0,ESE,S,1025.7,40.0,41.0,0.0,10.2
6.0,WaggaWagga,1.0,52.7,1029.9,No,28.0,0.0,NE,67.28,13.0,2.2,2009-05-04,No,68.18,73.0,WSW,WSW,1027.2,31.0,39.92,0.0,10.5
4.0,WaggaWagga,7.0,51.8,1031.1,No,,2.0,ENE,68.0,6.0,2.8,2009-05-05,No,71.42,74.0,,WSW,1027.9,38.0,41.0,0.0,10.0
9.0,WaggaWagga,1.0,51.8,1028.5,No,22.0,1.0,E,67.82,13.0,2.2,2009-05-06,No,69.44,76.0,WSW,WNW,1024.6,35.0,42.980000000000004,0.0,10.0
6.0,WaggaWagga,0.0,50.18,1026.5,No,,0.0,ENE,65.48,11.0,2.2,2009-05-07,No,66.38,76.0,,W,1023.5,37.0,36.68,0.0,9.9
11.0,WaggaWagga,0.0,53.6,1028.6,No,22.0,0.0,ESE,66.74000000000001,4.0,2.4,2009-05-08,No,67.28,65.0,E,SE,1025.6,40.0,41.36,0.0,10.0
7.0,WaggaWagga,0.0,51.08,1025.7,No,26.0,0.0,ENE,69.08,13.0,2.6,2009-05-09,No,69.98,68.0,W,WSW,1021.7,33.0,40.46,0.0,10.0
9.0,WaggaWagga,1.0,54.68,1024.6,No,33.0,1.0,ESE,68.54,9.0,2.6,2009-05-10,No,69.62,60.0,ENE,NE,1022.0,35.0,41.54,0.0,9.8
11.0,WaggaWagga,2.0,55.4,1025.4,No,31.0,1.0,E,66.2,4.0,3.4,2009-05-11,No,68.36,56.0,ENE,WSW,1021.8,37.0,42.44,0.0,9.8
9.0,WaggaWagga,2.0,51.98,1022.4,No,24.0,1.0,E,66.74000000000001,11.0,2.4,2009-05-12,No,67.82,67.0,WNW,WSW,1018.4,34.0,41.54,0.0,9.6
6.0,WaggaWagga,3.0,47.66,1018.6,No,31.0,1.0,NW,62.24,13.0,2.6,2009-05-13,No,63.68,81.0,W,WSW,1015.6,37.0,37.22,0.0,6.6
15.0,WaggaWagga,3.0,52.7,1016.4,No,44.0,7.0,W,60.980000000000004,26.0,2.4,2009-05-14,No,64.04,72.0,W,W,1014.0,46.0,45.5,0.0,3.4
13.0,WaggaWagga,7.0,55.76,1016.3,Yes,41.0,8.0,W,62.6,30.0,3.6,2009-05-15,No,63.5,71.0,WNW,WNW,1012.9,50.0,52.52,0.0,0.7
30.0,WaggaWagga,5.0,56.48,1012.6,No,61.0,7.0,W,62.24,24.0,2.2,2009-05-16,Yes,63.68,84.0,W,SW,1013.4,51.0,54.14,1.2,6.4
2.0,WaggaWagga,3.0,48.2,1022.0,No,35.0,1.0,W,60.08,17.0,3.6,2009-05-17,No,60.980000000000004,76.0,SW,SSW,1018.9,51.0,36.86,0.0,9.3
13.0,WaggaWagga,1.0,50.9,1024.6,No,43.0,1.0,E,67.46,20.0,2.4,2009-05-18,No,68.9,64.0,ENE,ENE,1020.8,37.0,39.56,0.0,9.7
15.0,WaggaWagga,7.0,57.02,1022.9,No,35.0,7.0,ESE,67.46,15.0,4.4,2009-05-19,No,70.34,63.0,ENE,ENE,1019.6,44.0,46.94,0.0,4.1
