Humidity_3_pm,Humidity_9_am,Pressure_3_pm,Cloud_3_pm,Max_Temp_C,Rainfall,Wind_Dir_9_am,Sunshine,Wind_Dir_3_pm,Wind_Speed_9_am,Date,Temp_3_pm_C,Pressure_9_am,Temp_9_am_C,Wind_Gust_Speed,Location,Rain_Tomorrow,Cloud_9_am,Rain_Today,Min_Temp_C,Wind_Gust_Dir,Wind_Speed_3_pm
32.0,73.0,1010.6,,33.8,0.0,W,13.0,SW,7.0,2009-01-24,33.2,1013.4,19.6,41.0,PearceRAAF,No,,No,11.9,WSW,24.0
16.0,26.0,1007.6,,,0.0,SE,13.2,ESE,15.0,2009-01-25,38.7,1011.9,25.8,,PearceRAAF,No,,No,15.4,,13.0
37.0,95.0,1007.4,,32.5,0.0,WNW,13.0,SW,7.0,2009-01-26,31.2,1007.9,20.2,39.0,PearceRAAF,No,8.0,No,,SW,26.0
33.0,57.0,1003.6,6.0,35.2,0.0,E,12.6,ENE,20.0,2009-01-27,33.8,1007.8,23.2,43.0,PearceRAAF,No,2.0,No,16.1,SW,9.0
51.0,71.0,1000.7,6.0,32.6,0.0,SE,6.5,SW,13.0,2009-01-28,29.9,1003.4,23.7,43.0,PearceRAAF,No,7.0,No,20.1,WSW,11.0
57.0,71.0,1007.5,8.0,25.0,0.0,SSW,0.3,S,22.0,2009-01-29,24.6,1007.6,21.1,33.0,PearceRAAF,No,8.0,No,20.2,SSW,13.0
47.0,68.0,1006.6,8.0,,0.0,SE,6.4,ESE,17.0,2009-01-30,30.1,1010.1,21.7,,PearceRAAF,No,8.0,No,18.1,,9.0
42.0,58.0,1005.9,1.0,36.1,0.0,ENE,,SE,17.0,2009-01-31,32.5,1008.5,27.6,63.0,PearceRAAF,No,1.0,No,,S,15.0
24.0,62.0,1008.4,1.0,38.7,0.0,ENE,13.1,S,15.0,2009-02-01,37.5,1011.3,27.7,44.0,PearceRAAF,No,,No,23.2,WSW,15.0
20.0,46.0,1007.7,2.0,40.6,0.0,NNE,13.1,SW,6.0,2009-02-02,39.8,1010.4,30.5,41.0,PearceRAAF,No,1.0,No,19.4,SW,22.0
29.0,81.0,1007.9,0.0,36.1,0.0,WSW,11.9,WSW,6.0,2009-02-03,34.4,1010.1,22.5,35.0,PearceRAAF,No,2.0,No,17.6,WSW,28.0
28.0,59.0,1009.5,0.0,34.2,0.0,SE,13.0,SSW,19.0,2009-02-04,32.1,1012.0,23.1,43.0,PearceRAAF,No,2.0,No,17.8,SSW,24.0
22.0,50.0,1006.1,0.0,34.4,0.0,ESE,12.9,S,19.0,2009-02-05,32.9,1010.7,21.2,57.0,PearceRAAF,No,0.0,No,17.5,ESE,20.0
33.0,63.0,1006.0,2.0,28.3,0.0,S,12.3,SW,24.0,2009-02-06,26.9,1008.7,18.0,54.0,PearceRAAF,No,3.0,No,14.3,SW,31.0
27.0,53.0,1011.8,,28.8,0.0,SE,12.7,S,17.0,2009-02-07,28.0,1013.9,18.5,41.0,PearceRAAF,No,,No,9.2,SSE,22.0
21.0,44.0,1014.6,,33.3,0.0,E,13.0,ESE,39.0,2009-02-08,32.1,1016.5,19.0,67.0,PearceRAAF,No,,No,15.0,E,28.0
16.0,47.0,1014.4,0.0,35.0,0.0,E,12.9,NE,41.0,2009-02-09,33.5,1016.5,21.3,65.0,PearceRAAF,No,0.0,No,18.5,E,28.0
14.0,40.0,1012.5,3.0,36.5,0.0,ENE,11.4,NE,33.0,2009-02-10,34.9,1015.3,24.0,63.0,PearceRAAF,No,0.0,No,21.2,ENE,17.0
11.0,21.0,1009.2,0.0,39.2,0.0,NNE,12.8,W,20.0,2009-02-11,37.5,1012.1,28.2,46.0,PearceRAAF,No,0.0,No,23.9,NE,9.0
17.0,17.0,1007.3,5.0,41.6,0.0,NNE,9.4,SSW,15.0,2009-02-12,34.7,1007.2,30.1,50.0,PearceRAAF,No,3.0,No,20.1,WSW,28.0
52.0,61.0,1011.8,6.0,27.0,0.0,ESE,4.3,E,26.0,2009-02-13,25.1,1013.3,22.5,50.0,PearceRAAF,No,8.0,No,21.6,SE,26.0
26.0,43.0,1006.0,,32.8,0.0,ESE,1.3,SE,28.0,2009-02-14,30.7,1008.6,23.7,65.0,PearceRAAF,No,,No,19.0,ESE,20.0
24.0,80.0,1005.7,,35.4,0.0,NW,12.0,SW,9.0,2009-02-15,33.7,1008.2,21.1,37.0,PearceRAAF,No,,No,15.3,WSW,24.0
38.0,71.0,1009.8,0.0,28.4,0.0,SW,11.4,SW,24.0,2009-02-16,27.9,1010.8,21.3,44.0,PearceRAAF,No,,No,17.9,WSW,28.0
28.0,60.0,1009.4,1.0,32.3,0.0,SE,12.5,SSE,20.0,2009-02-17,30.4,1012.8,20.0,56.0,PearceRAAF,No,1.0,No,14.7,ESE,13.0
24.0,55.0,1009.7,0.0,32.1,0.0,E,12.5,SE,19.0,2009-02-18,31.1,1012.8,20.6,67.0,PearceRAAF,No,0.0,No,17.7,ESE,20.0
21.0,48.0,1010.8,0.0,34.2,0.0,E,12.4,SSW,28.0,2009-02-19,32.2,1013.0,20.7,57.0,PearceRAAF,No,0.0,No,17.2,E,9.0
19.0,44.0,1012.5,1.0,37.2,0.0,E,12.3,NE,33.0,2009-02-20,35.1,1014.5,22.8,59.0,PearceRAAF,No,0.0,No,19.8,E,13.0
13.0,25.0,1007.8,,40.2,0.0,NE,11.0,WNW,26.0,2009-02-21,38.2,1011.4,28.3,52.0,PearceRAAF,No,,No,22.7,ENE,15.0
25.0,48.0,1009.9,,33.4,0.0,S,10.9,S,24.0,2009-02-22,32.4,1012.0,22.3,44.0,PearceRAAF,No,,No,19.5,ESE,20.0
24.0,53.0,1008.8,6.0,35.6,0.0,E,11.8,ENE,28.0,2009-02-23,33.1,1012.2,19.9,70.0,PearceRAAF,No,6.0,No,17.6,E,13.0
49.0,72.0,1007.0,,26.5,0.0,W,5.7,WSW,15.0,2009-02-24,24.8,1006.6,22.5,41.0,PearceRAAF,No,3.0,No,18.6,WSW,26.0
83.0,73.0,1006.6,8.0,24.9,0.0,N,4.2,W,13.0,2009-02-25,18.6,1007.3,18.3,50.0,PearceRAAF,No,8.0,No,12.5,W,35.0
35.0,68.0,1015.5,3.0,24.8,1.0,NE,11.3,S,6.0,2009-02-26,23.4,1016.6,16.1,,PearceRAAF,No,1.0,No,,,22.0
18.0,60.0,1011.7,1.0,32.4,0.0,ESE,12.0,W,11.0,2009-02-27,30.8,1015.7,18.5,46.0,PearceRAAF,No,0.0,No,13.0,SSW,11.0
20.0,48.0,1005.3,,37.4,0.0,SE,9.2,E,9.0,2009-02-28,34.8,1009.1,22.0,50.0,PearceRAAF,No,,No,15.2,ENE,15.0
40.0,55.0,1002.2,,34.3,0.0,NE,9.7,W,9.0,2009-03-01,32.8,1005.7,26.0,56.0,PearceRAAF,No,,No,22.0,ENE,19.0
41.0,69.0,1010.2,,25.2,0.0,SSW,9.5,SSW,33.0,2009-03-02,23.0,1008.6,18.4,54.0,PearceRAAF,No,8.0,No,18.1,SSW,43.0
23.0,52.0,1022.9,0.0,25.7,0.0,ESE,11.2,ESE,22.0,2009-03-03,24.1,1025.2,14.2,44.0,PearceRAAF,No,0.0,No,8.4,SE,28.0
17.0,46.0,1022.3,1.0,31.0,0.0,ENE,11.7,E,19.0,2009-03-04,28.9,1026.8,17.1,46.0,PearceRAAF,No,1.0,No,14.1,E,28.0
13.0,34.0,1019.5,0.0,34.5,0.0,NE,11.7,ENE,15.0,2009-03-05,33.0,1023.7,21.6,35.0,PearceRAAF,No,0.0,No,17.1,E,13.0
11.0,27.0,1016.1,0.0,35.7,0.0,E,11.6,SSW,9.0,2009-03-06,34.2,1019.2,24.8,59.0,PearceRAAF,No,1.0,No,16.8,E,22.0
23.0,54.0,1016.9,,31.9,0.0,E,11.5,E,46.0,2009-03-07,30.0,1019.0,19.3,72.0,PearceRAAF,No,,No,17.6,E,20.0
13.0,33.0,1013.3,,35.4,0.0,ENE,11.7,S,20.0,2009-03-08,34.0,1016.0,22.8,48.0,PearceRAAF,No,,No,19.2,ENE,15.0
12.0,25.0,1013.2,1.0,36.7,0.0,NE,11.6,WSW,15.0,2009-03-09,35.7,1015.9,25.9,39.0,PearceRAAF,No,0.0,No,14.5,SSW,20.0
10.0,23.0,1010.9,0.0,38.4,0.0,NE,11.8,NW,7.0,2009-03-10,37.7,1013.5,27.0,39.0,PearceRAAF,No,1.0,No,13.0,NNE,17.0
21.0,42.0,1011.7,7.0,31.4,0.0,NNW,4.9,S,4.0,2009-03-11,30.5,1011.7,20.4,,PearceRAAF,No,2.0,No,11.7,,17.0
45.0,64.0,1012.8,,27.4,0.0,E,5.3,W,11.0,2009-03-12,26.1,1013.8,20.7,,PearceRAAF,No,8.0,No,17.8,,9.0
24.0,52.0,1017.5,0.0,29.3,0.0,SSE,11.0,SSW,13.0,2009-03-13,27.6,1019.5,18.2,44.0,PearceRAAF,No,2.0,No,11.9,SSE,9.0
25.0,49.0,1016.4,,31.7,0.0,E,10.9,E,28.0,2009-03-14,29.6,1020.7,16.8,54.0,PearceRAAF,No,,No,14.6,ESE,20.0
13.0,24.0,1010.2,,40.1,0.0,NE,7.1,N,13.0,2009-03-15,38.1,1013.7,24.6,54.0,PearceRAAF,No,,No,16.7,E,15.0
27.0,48.0,1010.5,0.0,35.4,0.0,NNW,10.8,W,6.0,2009-03-16,33.3,1012.4,21.6,37.0,PearceRAAF,No,0.0,No,14.9,W,28.0
68.0,78.0,1013.1,8.0,25.8,0.0,NNW,2.9,WSW,11.0,2009-03-17,21.4,1013.9,19.2,44.0,PearceRAAF,No,5.0,No,15.8,W,30.0
35.0,78.0,1015.9,0.0,24.7,0.6,SW,9.8,SSW,7.0,2009-03-18,23.7,1017.3,17.1,39.0,PearceRAAF,No,7.0,No,12.2,SW,22.0
30.0,68.0,1011.7,4.0,27.5,0.0,WNW,11.5,SSW,6.0,2009-03-19,26.5,1016.3,14.7,37.0,PearceRAAF,No,2.0,No,7.2,W,24.0
36.0,51.0,1010.3,6.0,26.4,0.0,W,5.8,WSW,17.0,2009-03-20,24.7,1011.4,20.6,46.0,PearceRAAF,,7.0,No,10.1,WSW,24.0
31.0,76.0,1015.3,,25.3,,ENE,10.1,W,9.0,2009-03-21,24.1,1016.8,16.4,37.0,PearceRAAF,,,,10.7,SW,13.0
33.0,77.0,1013.4,,25.1,,,10.4,SW,0.0,2009-03-22,24.1,1016.1,11.7,37.0,PearceRAAF,No,,,5.9,SSW,19.0
56.0,70.0,1013.1,6.0,25.2,0.6,NNW,8.0,SW,6.0,2009-03-23,24.2,1014.5,17.1,48.0,PearceRAAF,No,2.0,No,11.3,WSW,24.0
37.0,85.0,1015.7,2.0,26.3,1.0,NNW,10.0,WSW,6.0,2009-03-24,24.9,1016.9,17.0,39.0,PearceRAAF,No,2.0,No,11.5,SW,20.0
37.0,90.0,1018.0,3.0,27.7,0.0,NNW,10.6,SSE,4.0,2009-03-25,26.3,1019.6,16.0,35.0,PearceRAAF,No,3.0,No,12.4,WSW,11.0
23.0,59.0,1018.2,2.0,34.2,0.0,E,10.7,NE,28.0,2009-03-26,32.4,1020.9,19.5,46.0,PearceRAAF,No,3.0,No,12.9,E,11.0
16.0,62.0,1013.8,0.0,39.5,0.0,NW,10.7,W,4.0,2009-03-27,37.2,1017.6,19.6,43.0,PearceRAAF,No,0.0,No,13.0,N,26.0
31.0,81.0,1016.3,,30.1,0.0,S,10.8,S,22.0,2009-03-28,28.2,1019.7,17.4,50.0,PearceRAAF,No,,No,14.3,ESE,20.0
35.0,56.0,1017.3,,26.0,0.0,SE,8.4,ESE,28.0,2009-03-29,25.4,1021.0,19.5,54.0,PearceRAAF,No,5.0,No,17.3,SE,31.0
45.0,65.0,1011.6,2.0,27.4,0.0,ESE,8.9,S,19.0,2009-03-30,26.1,1015.6,19.8,,PearceRAAF,No,7.0,No,17.3,,26.0
41.0,74.0,1014.8,3.0,26.2,0.0,SSE,8.1,SW,11.0,2009-03-31,25.2,1017.0,18.2,50.0,PearceRAAF,No,6.0,No,13.5,WSW,31.0
23.0,56.0,1019.6,0.0,24.6,0.0,SSE,9.5,W,17.0,2009-04-01,23.6,1023.0,16.5,39.0,PearceRAAF,No,6.0,No,12.7,SSE,9.0
20.0,53.0,1021.8,0.0,26.6,0.0,E,10.1,SSW,19.0,2009-04-02,26.4,1024.5,17.3,41.0,PearceRAAF,No,4.0,No,9.3,ESE,24.0
25.0,56.0,1024.1,,28.2,0.0,E,10.8,ESE,43.0,2009-04-03,27.4,1026.4,17.9,,PearceRAAF,No,0.0,No,12.4,,30.0
19.0,40.0,1024.0,,29.2,0.0,E,10.3,ESE,19.0,2009-04-04,28.7,1027.7,20.0,48.0,PearceRAAF,No,,No,15.9,E,17.0
24.0,48.0,1023.3,,27.9,0.0,ENE,10.8,ESE,19.0,2009-04-05,27.2,1027.9,19.1,46.0,PearceRAAF,No,,No,15.1,E,26.0
21.0,45.0,1019.7,2.0,28.9,0.0,NE,10.9,ENE,22.0,2009-04-06,28.2,1024.8,19.9,46.0,PearceRAAF,No,1.0,No,16.1,ENE,24.0
17.0,39.0,1017.8,1.0,31.7,0.0,NE,10.4,NE,35.0,2009-04-07,30.7,1021.5,22.0,59.0,PearceRAAF,No,0.0,No,18.6,ENE,13.0
13.0,23.0,1015.7,6.0,34.5,0.0,NE,10.0,SW,20.0,2009-04-08,32.7,1019.1,25.0,37.0,PearceRAAF,No,0.0,No,20.6,NE,20.0
11.0,28.0,1013.9,2.0,35.2,0.0,ENE,9.7,SW,7.0,2009-04-09,34.4,1017.8,23.0,39.0,PearceRAAF,No,4.0,No,16.7,E,19.0
10.0,48.0,1010.7,,35.7,0.0,ENE,10.5,NE,19.0,2009-04-10,35.1,1015.9,21.5,54.0,PearceRAAF,No,,No,18.0,E,15.0
39.0,55.0,1011.0,,33.4,0.0,N,10.0,SW,13.0,2009-04-11,30.1,1014.5,20.1,35.0,PearceRAAF,No,,No,12.5,NW,20.0
8.0,17.0,1012.0,,34.2,0.0,ENE,10.6,ENE,33.0,2009-04-12,33.5,1015.3,25.8,57.0,PearceRAAF,No,,No,12.3,ENE,28.0
54.0,40.0,1011.9,,24.8,0.0,E,0.1,NE,39.0,2009-04-13,21.7,1012.9,22.6,63.0,PearceRAAF,Yes,,No,22.3,E,9.0
35.0,55.0,1013.3,6.0,28.7,6.2,SE,8.0,SSE,7.0,2009-04-14,27.0,1015.9,21.5,44.0,PearceRAAF,No,4.0,Yes,15.7,SE,22.0
33.0,59.0,1014.4,0.0,26.9,0.0,SE,10.5,SSE,11.0,2009-04-15,26.6,1018.4,17.4,39.0,PearceRAAF,No,2.0,No,14.4,SE,15.0
29.0,54.0,1011.7,2.0,29.0,0.0,ESE,10.6,E,11.0,2009-04-16,28.4,1016.1,17.8,,PearceRAAF,No,0.0,No,14.1,,9.0
27.0,44.0,1010.9,4.0,31.3,0.0,NE,8.3,S,9.0,2009-04-17,30.8,1013.2,23.2,31.0,PearceRAAF,,1.0,No,12.9,SSW,13.0
65.0,42.0,1012.9,6.0,25.0,,NNW,1.8,E,7.0,2009-04-18,22.6,1014.6,23.7,46.0,PearceRAAF,,,,15.7,E,11.0
40.0,57.0,1011.5,,30.5,,ENE,10.5,SW,9.0,2009-04-19,28.9,1015.2,22.5,33.0,PearceRAAF,Yes,,,12.8,SW,28.0
44.0,96.0,1010.2,3.0,30.5,11.0,,10.7,SW,0.0,2009-04-20,28.8,1013.9,15.6,31.0,PearceRAAF,No,8.0,Yes,13.3,WSW,22.0
29.0,41.0,1005.3,2.0,31.6,0.0,NNE,10.5,WSW,13.0,2009-04-21,30.3,1009.2,25.2,33.0,PearceRAAF,No,1.0,No,12.1,ENE,20.0
44.0,76.0,1013.9,5.0,22.4,0.0,S,8.4,SSW,11.0,2009-04-22,20.6,1012.1,17.6,54.0,PearceRAAF,No,2.0,No,10.7,SSW,35.0
37.0,52.0,1022.0,2.0,21.3,0.0,SE,7.3,SSW,13.0,2009-04-23,20.5,1024.7,14.9,44.0,PearceRAAF,No,7.0,No,3.9,SSW,20.0
54.0,72.0,1021.6,7.0,22.9,0.0,SSW,6.2,S,4.0,2009-04-24,21.8,1024.8,15.6,41.0,PearceRAAF,No,8.0,No,6.9,SSW,24.0
48.0,65.0,1021.4,1.0,23.7,0.0,SSE,7.2,SSW,6.0,2009-04-25,22.6,1024.1,18.5,35.0,PearceRAAF,No,1.0,No,13.2,SW,20.0
32.0,76.0,1019.3,,26.8,0.0,S,9.4,NW,4.0,2009-04-26,25.9,1023.5,16.6,33.0,PearceRAAF,No,,No,7.4,WSW,7.0
28.0,41.0,1017.6,,29.9,0.0,NE,9.3,SW,6.0,2009-04-27,27.9,1020.0,21.2,37.0,PearceRAAF,No,,No,10.7,SW,26.0
29.0,61.0,1020.2,0.0,29.0,0.0,SE,10.1,E,17.0,2009-04-28,28.3,1024.0,18.7,39.0,PearceRAAF,No,0.0,No,13.2,E,20.0
32.0,40.0,1018.9,7.0,28.6,0.0,NNW,3.8,SW,6.0,2009-04-29,26.2,1020.3,21.4,37.0,PearceRAAF,No,8.0,No,17.2,SW,20.0
30.0,69.0,1021.9,0.0,24.7,0.0,SE,9.3,SSE,13.0,2009-04-30,24.0,1025.0,16.8,,PearceRAAF,No,1.0,No,11.5,,13.0
30.0,55.0,1024.6,0.0,25.6,0.0,E,9.8,ESE,31.0,2009-05-01,24.9,1027.7,16.0,52.0,PearceRAAF,No,0.0,No,11.1,E,17.0
20.0,38.0,1023.3,,28.2,0.0,NE,9.9,NE,9.0,2009-05-02,27.9,1027.0,19.7,43.0,PearceRAAF,No,,No,11.1,ENE,7.0
19.0,34.0,1023.3,,27.5,0.0,NE,7.0,E,13.0,2009-05-03,26.9,1026.2,20.4,28.0,PearceRAAF,No,,No,10.1,ENE,13.0
16.0,30.0,1023.3,0.0,27.8,0.0,ENE,9.9,NNE,19.0,2009-05-04,27.3,1025.9,20.3,33.0,PearceRAAF,No,0.0,No,13.2,ENE,6.0
18.0,31.0,1025.5,0.0,27.8,0.0,ENE,10.0,SE,17.0,2009-05-05,27.7,1028.1,20.6,35.0,PearceRAAF,No,0.0,No,8.0,E,19.0
19.0,34.0,1026.2,3.0,27.0,0.0,ENE,10.0,ENE,15.0,2009-05-06,26.3,1030.1,19.6,43.0,PearceRAAF,No,0.0,No,10.0,NNE,13.0
23.0,39.0,1025.2,0.0,26.0,0.0,ENE,9.9,S,24.0,2009-05-07,25.8,1028.6,19.2,37.0,PearceRAAF,No,0.0,No,9.6,ENE,9.0
23.0,39.0,1024.3,,,0.0,ENE,9.8,E,20.0,2009-05-08,24.7,1028.5,18.4,,PearceRAAF,No,0.0,No,8.6,,15.0
22.0,40.0,1020.8,,25.7,0.0,ENE,9.7,SSW,19.0,2009-05-09,25.3,1024.9,18.3,33.0,PearceRAAF,No,,No,,ENE,9.0
25.0,28.0,1018.4,,25.8,0.0,NNE,1.2,W,20.0,2009-05-10,24.6,1020.3,20.4,33.0,PearceRAAF,No,,No,7.8,N,17.0
20.0,52.0,1019.2,1.0,26.8,0.0,SSW,9.5,SW,2.0,2009-05-11,26.4,1021.4,17.0,57.0,PearceRAAF,No,3.0,No,9.6,E,11.0
30.0,64.0,1023.2,1.0,24.4,0.0,E,9.5,ESE,22.0,2009-05-12,24.1,1025.8,16.3,57.0,PearceRAAF,No,1.0,No,13.3,E,19.0
29.0,67.0,1023.0,2.0,24.3,0.0,E,9.4,ESE,28.0,2009-05-13,23.8,1026.3,16.5,43.0,PearceRAAF,No,1.0,No,13.6,E,17.0
25.0,46.0,1021.3,0.0,24.8,0.0,NNE,9.5,SSW,7.0,2009-05-14,24.0,1025.2,17.6,31.0,PearceRAAF,No,0.0,No,10.2,E,13.0
22.0,38.0,1019.9,0.0,25.5,0.0,ESE,9.6,NW,6.0,2009-05-15,24.9,1023.5,17.7,28.0,PearceRAAF,No,1.0,No,6.3,NNW,11.0
20.0,36.0,1018.0,,25.8,0.0,NNW,9.5,NNW,6.0,2009-05-16,24.7,1021.9,17.7,24.0,PearceRAAF,No,1.0,No,5.2,ENE,13.0
16.0,32.0,1013.8,,27.5,0.0,NNE,9.2,NNW,11.0,2009-05-17,26.9,1018.4,19.5,31.0,PearceRAAF,No,1.0,No,10.2,ENE,11.0
39.0,54.0,1013.4,4.0,23.9,0.0,NW,8.9,WSW,7.0,2009-05-18,22.6,1015.0,14.1,35.0,PearceRAAF,No,2.0,No,3.5,W,22.0
48.0,67.0,1014.5,6.0,24.7,0.0,N,8.8,WSW,9.0,2009-05-19,23.3,1016.8,17.7,31.0,PearceRAAF,No,2.0,No,8.4,SW,19.0
29.0,76.0,1008.0,3.0,27.3,0.0,N,8.1,NNW,15.0,2009-05-20,26.2,1013.3,18.7,52.0,PearceRAAF,Yes,5.0,No,11.2,NNW,33.0
91.0,84.0,999.1,8.0,23.5,1.4,N,2.5,WSW,33.0,2009-05-21,15.5,1000.4,20.5,85.0,PearceRAAF,,7.0,Yes,17.9,WNW,28.0
72.0,74.0,1006.0,5.0,17.5,,WNW,6.2,WNW,35.0,2009-05-22,14.0,1004.1,12.5,70.0,PearceRAAF,,6.0,,10.1,WSW,31.0
64.0,93.0,1009.8,4.0,16.3,,SW,4.0,SSW,9.0,2009-05-23,15.0,1009.3,13.3,52.0,PearceRAAF,,8.0,,10.0,SSW,33.0
45.0,85.0,1017.1,3.0,19.1,,,9.3,E,0.0,2009-05-24,18.5,1018.8,10.0,48.0,PearceRAAF,Yes,,,3.6,SW,7.0
38.0,62.0,1017.4,7.0,19.6,39.6,ENE,7.3,ENE,13.0,2009-05-25,18.3,1020.7,12.0,39.0,PearceRAAF,No,2.0,Yes,3.8,NNE,13.0
29.0,47.0,1015.6,2.0,22.6,0.0,ENE,9.4,E,26.0,2009-05-26,22.3,1018.1,14.9,44.0,PearceRAAF,No,2.0,No,11.7,ENE,20.0
32.0,48.0,1015.4,7.0,22.5,0.0,NE,5.4,E,13.0,2009-05-27,21.8,1017.8,15.0,50.0,PearceRAAF,No,7.0,No,14.2,ENE,17.0
32.0,49.0,1016.6,4.0,23.1,0.0,ENE,7.2,ENE,26.0,2009-05-28,22.3,1018.3,15.8,46.0,PearceRAAF,No,5.0,No,14.7,ENE,20.0
31.0,53.0,1017.1,0.0,23.7,0.0,ENE,9.3,NE,26.0,2009-05-29,23.2,1019.6,16.6,50.0,PearceRAAF,No,1.0,No,14.6,ENE,17.0
34.0,59.0,1015.5,,25.2,0.0,NE,7.1,N,17.0,2009-05-30,24.4,1018.4,15.6,43.0,PearceRAAF,No,,No,13.7,ENE,13.0
42.0,60.0,1015.2,5.0,25.1,0.0,,4.9,ESE,0.0,2009-05-31,23.8,1017.7,17.6,26.0,PearceRAAF,No,,No,15.6,NNE,9.0
42.0,70.0,1015.6,,24.4,0.0,ENE,8.0,NE,7.0,2009-06-01,23.9,1018.9,17.2,37.0,PearceRAAF,No,5.0,No,14.6,ENE,11.0
52.0,72.0,1015.3,5.0,23.6,0.0,NNE,7.0,WSW,11.0,2009-06-02,22.5,1017.6,17.6,30.0,PearceRAAF,No,6.0,No,10.8,WNW,20.0
59.0,96.0,1017.5,6.0,21.4,0.4,NW,6.1,WSW,4.0,2009-06-03,18.9,1019.9,14.0,50.0,PearceRAAF,Yes,5.0,No,9.7,WSW,31.0
