WindGustSpeed,Location,Pressure3pm,WindDir9am,RainToday,Temp3pmF,Temp9amF,WindGustDir,Humidity3pm,RainTomorrow,MinTempF,Evaporation,Date,WindDir3pm,WindSpeed3pm,Pressure9am,Rainfall,MaxTempF,Humidity9am,WindSpeed9am,Sunshine
,Dartmoor,,,,,,,,,,9.0,2009-02-05,,,,,,,,7.9
,Dartmoor,,,,,,,,,,4.6,2009-02-06,,,,,,,,9.3
,Dartmoor,,,,,,,,,,6.2,2009-02-07,,,,,,,,8.9
,Dartmoor,,,,,,,,,,7.4,2009-02-08,,,,,,,,6.4
,Dartmoor,,,,,,,,,,5.2,2009-02-09,,,,,,,,11.1
,Dartmoor,,,,,,,,,,6.0,2009-02-10,,,,,,,,7.7
,Dartmoor,,,,,,,,,,2.6,2009-02-11,,,,,,,,1.7
,Dartmoor,,,,,,,,,,4.0,2009-02-12,,,,,,,,11.9
,Dartmoor,,,,,,,,,,5.4,2009-02-13,,,,,,,,12.7
,Dartmoor,,,,,,,,,,6.0,2009-02-14,,,,,,,,11.6
,Dartmoor,,,,,,,,,,5.0,2009-02-15,,,,,,,,10.1
,Dartmoor,,,,,,,,,,6.8,2009-02-16,,,,,,,,12.1
,Dartmoor,,,,,,,,,,5.2,2009-02-17,,,,,,,,12.1
,Dartmoor,,,,,,,,,,6.8,2009-02-18,,,,,,,,11.7
,Dartmoor,,,,,,,,,,8.6,2009-02-19,,,,,,,,12.1
,Dartmoor,,,,,,,,,,7.0,2009-02-20,,,,,,,,1.9
,Dartmoor,,,,,,,,,,3.8,2009-02-21,,,,,,,,0.0
,Dartmoor,,,,,,,,,,2.2,2009-02-22,,,,,,,,12.5
,Dartmoor,,,,,,,,,,5.4,2009-02-23,,,,,,,,8.3
,Dartmoor,,,,,,,,,,4.8,2009-02-24,,,,,,,,11.7
,Dartmoor,,,,,,,,,,4.8,2009-02-25,,,,,,,,10.0
,Dartmoor,,,,,,,,,,4.6,2009-02-26,,,,,,,,9.8
,Dartmoor,,,,,,,,,,8.2,2009-02-27,,,,,,,,11.9
,Dartmoor,,,,,,,,,,8.0,2009-02-28,,,,,,,,4.8
,Dartmoor,,,,,,,,,,4.0,2009-03-01,,,,,,,,6.0
,Dartmoor,,,,,,,,,,3.8,2009-03-02,,,,,,,,9.0
,Dartmoor,,,,,,,,,,8.0,2009-03-03,,,,,,,,1.9
,Dartmoor,,,,,,,,,,4.4,2009-03-04,,,,,,,,5.8
48.0,Dartmoor,,,,,,SW,,No,,3.0,2009-03-05,,,,,71.06,,,7.8
26.0,Dartmoor,1016.7,,No,62.059999999999995,54.86,W,68.0,No,46.76,3.0,2009-03-06,W,19.0,1018.2,0.8,63.68,86.0,0.0,0.0
41.0,Dartmoor,1018.1,WNW,No,64.4,55.04,SSW,52.0,No,50.18,1.2,2009-03-07,SSW,24.0,1017.8,0.8,67.82,98.0,9.0,5.8
41.0,Dartmoor,1020.9,SE,No,67.64,57.379999999999995,SE,54.0,No,47.84,3.6,2009-03-08,ESE,26.0,1021.9,0.2,68.9,68.0,13.0,7.4
39.0,Dartmoor,1019.1,SE,No,73.4,55.4,SSE,47.0,No,46.4,4.0,2009-03-09,SE,22.0,1021.7,0.0,75.02,82.0,17.0,11.2
44.0,Dartmoor,1017.8,ESE,No,80.96,62.059999999999995,ESE,44.0,No,55.22,4.2,2009-03-10,SE,24.0,1020.4,0.0,81.68,86.0,22.0,4.9
44.0,Dartmoor,1016.2,ESE,No,82.04,62.6,NW,42.0,Yes,57.379999999999995,3.0,2009-03-11,NE,20.0,1019.7,0.0,85.46000000000001,91.0,17.0,4.6
35.0,Dartmoor,1014.1,,Yes,82.22,65.84,SW,51.0,No,60.440000000000005,5.0,2009-03-12,NW,19.0,1015.6,19.0,82.58,90.0,0.0,10.5
31.0,Dartmoor,1013.6,S,No,81.68,61.7,SW,43.0,Yes,57.74,4.0,2009-03-13,WNW,11.0,1015.9,0.0,84.91999999999999,,7.0,8.7
72.0,Dartmoor,1009.5,W,Yes,54.86,59.0,W,81.0,Yes,58.1,6.4,2009-03-14,WSW,44.0,1008.8,14.2,68.18,93.0,17.0,8.1
54.0,Dartmoor,1012.4,WNW,Yes,62.959999999999994,51.8,SW,57.0,Yes,48.74,4.6,2009-03-15,WSW,33.0,1012.3,9.6,64.04,91.0,20.0,7.8
41.0,Dartmoor,1015.6,WSW,Yes,62.059999999999995,55.4,SW,72.0,No,50.36,3.0,2009-03-16,SW,24.0,1014.4,3.8,64.4,94.0,17.0,5.9
31.0,Dartmoor,1019.7,SSW,No,59.36,56.3,SSW,74.0,No,51.98,3.0,2009-03-17,SSW,17.0,1019.9,0.2,60.62,75.0,9.0,0.0
33.0,Dartmoor,1012.6,NE,No,74.48,50.9,NNW,44.0,No,42.08,1.8,2009-03-18,NW,19.0,1016.3,0.0,76.64,91.0,11.0,9.5
33.0,Dartmoor,1012.8,ENE,No,70.16,55.22,SW,67.0,No,46.4,5.2,2009-03-19,SW,15.0,1012.3,0.0,72.14,82.0,7.0,10.7
28.0,Dartmoor,1013.5,,No,72.32,49.46,SSW,50.0,No,41.36,3.2,2009-03-20,W,6.0,1016.5,0.0,74.48,98.0,0.0,10.6
57.0,Dartmoor,1006.4,,No,93.74,53.96,NW,22.0,No,46.22,3.6,2009-03-21,NNW,31.0,1010.1,0.0,94.28,93.0,0.0,7.5
39.0,Dartmoor,1016.0,S,No,62.6,57.379999999999995,SSW,65.0,No,52.34,4.0,2009-03-22,S,22.0,1015.3,0.4,65.3,92.0,13.0,1.5
35.0,Dartmoor,1016.8,,No,67.82,49.1,SE,56.0,No,41.18,2.8,2009-03-23,SSW,17.0,1018.6,0.0,69.25999999999999,93.0,0.0,10.5
24.0,Dartmoor,1014.8,E,No,67.1,52.34,E,58.0,Yes,44.78,3.8,2009-03-24,,0.0,1017.6,0.0,69.08,90.0,7.0,0.2
30.0,Dartmoor,1015.1,NNE,Yes,72.68,60.26,SW,68.0,No,50.9,3.0,2009-03-25,WSW,13.0,1015.9,4.8,73.58,98.0,6.0,6.5
46.0,Dartmoor,1023.7,NW,No,65.48,60.62,SW,71.0,No,57.2,1.8,2009-03-26,SW,31.0,1021.0,0.0,68.72,95.0,15.0,7.2
30.0,Dartmoor,1026.5,,No,65.84,44.78,SW,59.0,No,38.12,3.6,2009-03-27,SSW,13.0,1028.2,0.2,67.64,97.0,0.0,9.4
31.0,Dartmoor,1020.6,,No,78.25999999999999,40.28,WNW,30.0,No,35.24,2.6,2009-03-28,NW,15.0,1023.6,0.0,79.88,98.0,0.0,10.7
33.0,Dartmoor,1022.0,NE,No,74.66,44.06,SE,55.0,No,,4.8,2009-03-29,SSW,19.0,1022.6,0.0,75.74000000000001,90.0,4.0,10.5
48.0,Dartmoor,1024.5,ESE,No,68.9,59.18,ESE,56.0,No,,3.0,2009-03-30,SE,26.0,1026.0,0.0,69.98,77.0,26.0,8.1
31.0,Dartmoor,1019.5,E,No,81.68,56.84,SSW,47.0,No,,3.2,2009-03-31,WSW,9.0,1022.2,0.0,84.2,99.0,9.0,8.1
30.0,Dartmoor,1018.4,,No,87.61999999999999,56.120000000000005,N,28.0,No,,4.0,2009-04-01,NNW,11.0,1020.5,0.2,89.06,87.0,,10.2
43.0,Dartmoor,1015.7,NNE,No,89.78,71.06,N,31.0,No,,6.4,2009-04-02,NW,24.0,1018.1,0.0,91.94,49.0,11.0,8.7
56.0,Dartmoor,1017.6,WNW,No,64.04,54.86,WSW,59.0,No,54.32,5.6,2009-04-03,WSW,35.0,1018.7,0.2,69.08,90.0,9.0,5.5
30.0,Dartmoor,1023.8,NNE,No,60.980000000000004,47.66,W,62.0,Yes,39.56,3.4,2009-04-04,WSW,17.0,1024.6,0.0,62.059999999999995,93.0,6.0,1.2
50.0,Dartmoor,1021.3,WNW,Yes,58.82,58.28,SSW,64.0,No,44.6,1.6,2009-04-05,SSW,28.0,1020.5,1.8,62.6,92.0,20.0,5.0
43.0,Dartmoor,1027.5,N,No,58.64,52.52,SSW,58.0,No,42.260000000000005,2.6,2009-04-06,SSW,30.0,1027.8,1.0,62.059999999999995,81.0,9.0,3.2
33.0,Dartmoor,1029.8,S,No,57.74,56.120000000000005,S,94.0,Yes,46.4,2.2,2009-04-07,SSW,22.0,1031.5,0.4,62.78,88.0,11.0,5.0
26.0,Dartmoor,1026.6,,Yes,59.540000000000006,51.08,S,84.0,No,44.239999999999995,1.2,2009-04-08,S,20.0,1029.1,1.4,61.16,99.0,0.0,3.6
30.0,Dartmoor,1019.7,,No,66.02,54.68,SSW,61.0,No,49.28,1.2,2009-04-09,W,11.0,1023.4,0.0,66.92,91.0,0.0,4.5
33.0,Dartmoor,1019.8,,No,65.84,51.620000000000005,WSW,68.0,No,43.879999999999995,1.4,2009-04-10,SW,22.0,1021.2,0.2,70.52,95.0,0.0,5.4
24.0,Dartmoor,1021.3,,No,66.38,51.8,SSW,62.0,No,42.08,1.6,2009-04-11,SSW,19.0,1024.1,0.0,69.8,96.0,0.0,8.9
28.0,Dartmoor,1021.1,,No,70.52,47.48,SSW,46.0,No,41.72,2.0,2009-04-12,WSW,9.0,1023.6,0.0,72.32,99.0,0.0,9.4
35.0,Dartmoor,1016.6,ENE,No,80.06,52.16,NW,24.0,No,38.12,2.6,2009-04-13,NW,20.0,1021.5,0.2,81.32,85.0,7.0,9.8
48.0,Dartmoor,1010.3,NW,No,69.25999999999999,57.92,W,50.0,Yes,45.14,4.4,2009-04-14,W,28.0,1013.5,0.0,71.24000000000001,85.0,15.0,8.5
87.0,Dartmoor,1011.9,W,Yes,56.84,51.98,W,59.0,No,47.3,4.8,2009-04-15,W,22.0,1010.1,5.4,59.540000000000006,71.0,31.0,7.3
54.0,Dartmoor,1009.9,NNW,No,62.24,55.76,NNW,72.0,Yes,48.56,2.2,2009-04-16,W,31.0,1010.2,0.2,65.84,79.0,26.0,8.1
35.0,Dartmoor,1017.6,NNW,Yes,65.66,56.120000000000005,W,72.0,Yes,50.0,3.0,2009-04-17,WSW,17.0,1017.1,1.2,66.02,98.0,13.0,7.2
31.0,Dartmoor,1023.9,,Yes,63.14,57.92,SW,77.0,No,48.56,1.8,2009-04-18,SSW,17.0,1024.3,1.6,65.66,99.0,0.0,3.7
37.0,Dartmoor,1024.1,SE,No,60.26,57.2,SE,72.0,No,52.16,1.4,2009-04-19,SSE,24.0,1026.5,0.2,62.6,89.0,11.0,4.1
24.0,Dartmoor,1019.6,E,No,71.96,56.66,ESE,43.0,No,44.239999999999995,2.4,2009-04-20,NW,7.0,1022.8,0.0,72.5,83.0,15.0,8.7
26.0,Dartmoor,1020.2,,No,75.38,51.26,NNW,36.0,No,40.1,2.2,2009-04-21,SW,11.0,1022.8,0.2,76.1,91.0,0.0,6.1
35.0,Dartmoor,1019.1,,No,75.38,54.32,NNE,33.0,No,40.46,2.6,2009-04-22,N,17.0,1023.0,0.0,76.1,74.0,0.0,9.9
52.0,Dartmoor,1008.0,NNE,No,73.22,63.68,NNE,36.0,Yes,51.98,5.4,2009-04-23,NNE,26.0,1013.4,0.0,74.12,50.0,20.0,0.4
43.0,Dartmoor,997.4,N,Yes,59.0,59.36,N,98.0,Yes,58.459999999999994,3.4,2009-04-24,SW,20.0,998.8,3.2,65.48,99.0,17.0,1.6
72.0,Dartmoor,991.5,N,Yes,55.22,53.78,NW,83.0,Yes,51.44,0.6,2009-04-25,W,35.0,998.5,20.6,61.519999999999996,96.0,19.0,5.1
91.0,Dartmoor,1004.2,W,Yes,51.26,51.26,W,87.0,Yes,44.6,3.6,2009-04-26,WSW,26.0,999.4,16.8,55.94,72.0,33.0,6.4
31.0,Dartmoor,1011.5,NNE,Yes,51.620000000000005,46.94,SW,95.0,Yes,42.260000000000005,1.8,2009-04-27,SSW,13.0,1011.3,6.8,54.68,96.0,9.0,0.8
31.0,Dartmoor,1022.6,NE,Yes,52.879999999999995,45.14,SSE,63.0,No,38.12,1.4,2009-04-28,SW,19.0,1022.5,1.8,55.04,92.0,2.0,3.4
15.0,Dartmoor,1022.2,,No,57.2,42.620000000000005,NE,50.0,No,37.4,1.6,2009-04-29,ENE,6.0,1024.2,0.0,58.28,94.0,0.0,7.0
41.0,Dartmoor,1018.6,NNE,No,62.78,43.7,NW,57.0,Yes,30.02,1.4,2009-04-30,NNW,22.0,1022.6,0.0,63.68,85.0,13.0,8.7
31.0,Dartmoor,1022.7,,Yes,58.64,52.34,NNW,66.0,No,43.7,2.4,2009-05-01,SW,15.0,1022.9,2.2,60.26,99.0,0.0,4.6
24.0,Dartmoor,1026.4,NE,No,60.26,46.4,WSW,74.0,No,37.76,1.6,2009-05-02,WSW,11.0,1028.3,0.2,64.04,93.0,7.0,6.9
20.0,Dartmoor,1027.6,,No,61.519999999999996,47.84,SW,76.0,No,39.92,0.8,2009-05-03,WNW,11.0,1029.4,0.4,61.88,99.0,0.0,5.0
31.0,Dartmoor,1031.0,,No,60.8,54.14,S,78.0,No,46.4,1.0,2009-05-04,SSW,15.0,1031.9,0.6,61.519999999999996,99.0,0.0,4.1
20.0,Dartmoor,1029.8,,No,61.16,44.6,S,68.0,No,37.94,1.2,2009-05-05,S,11.0,1033.0,1.0,62.059999999999995,99.0,0.0,5.9
31.0,Dartmoor,1027.5,ENE,No,60.08,,SW,71.0,No,40.82,1.0,2009-05-06,SSW,22.0,1029.9,0.0,61.16,,2.0,2.9
41.0,Dartmoor,1029.0,WNW,No,60.440000000000005,54.5,SSW,83.0,Yes,46.04,0.8,2009-05-07,S,17.0,1029.7,0.6,61.88,99.0,11.0,3.5
26.0,Dartmoor,1030.8,,Yes,57.56,48.92,SSW,80.0,No,44.42,0.8,2009-05-08,SSW,17.0,1033.2,1.2,59.36,99.0,0.0,1.3
30.0,Dartmoor,1027.1,,No,59.0,50.36,SSW,81.0,No,40.64,0.8,2009-05-09,S,15.0,1029.8,0.2,59.72,99.0,0.0,1.8
22.0,Dartmoor,1024.8,SE,No,57.379999999999995,53.96,SSE,85.0,No,50.18,0.8,2009-05-10,S,11.0,1027.3,0.2,58.28,93.0,9.0,0.9
20.0,Dartmoor,1023.7,,No,60.26,46.22,S,69.0,No,37.22,0.6,2009-05-11,S,15.0,1025.5,0.2,62.42,99.0,0.0,4.0
24.0,Dartmoor,1020.7,ESE,No,60.980000000000004,46.4,SW,68.0,Yes,39.2,1.2,2009-05-12,WNW,15.0,1024.1,0.0,61.34,98.0,4.0,4.6
44.0,Dartmoor,1015.0,WNW,Yes,57.2,53.06,WNW,79.0,Yes,46.4,0.8,2009-05-13,WSW,20.0,1017.9,4.0,60.62,92.0,15.0,4.6
48.0,Dartmoor,1011.2,NNW,Yes,56.84,53.24,WNW,88.0,No,49.1,1.4,2009-05-14,WNW,26.0,1013.3,2.8,59.540000000000006,96.0,15.0,4.4
59.0,Dartmoor,1008.1,WNW,No,58.1,58.459999999999994,WNW,90.0,Yes,53.24,1.4,2009-05-15,WNW,30.0,1009.9,1.0,61.16,90.0,31.0,0.5
46.0,Dartmoor,1016.8,WSW,Yes,56.48,53.96,SW,72.0,Yes,52.7,1.0,2009-05-16,WSW,17.0,1014.7,1.8,58.1,79.0,24.0,1.7
30.0,Dartmoor,1021.1,NW,Yes,59.9,52.34,W,84.0,Yes,51.08,1.2,2009-05-17,SSW,15.0,1022.7,1.4,60.980000000000004,96.0,11.0,1.5
19.0,Dartmoor,1022.1,,Yes,55.22,51.98,ENE,82.0,No,50.72,0.8,2009-05-18,SSE,7.0,1025.0,1.2,55.76,97.0,0.0,0.1
20.0,Dartmoor,1017.6,E,No,65.12,47.66,E,63.0,No,41.54,0.4,2009-05-19,NNE,9.0,1019.9,0.0,66.74000000000001,98.0,9.0,7.0
24.0,Dartmoor,1021.2,,No,65.84,51.98,S,78.0,No,47.48,0.8,2009-05-20,SSE,7.0,1021.8,0.0,68.72,94.0,0.0,4.7
24.0,Dartmoor,1023.1,,No,68.54,52.34,ESE,57.0,No,44.6,0.8,2009-05-21,SE,11.0,1025.2,0.0,69.8,94.0,0.0,9.5
41.0,Dartmoor,1018.5,NE,No,68.54,48.02,N,47.0,No,41.72,1.6,2009-05-22,NNE,17.0,1023.0,0.2,68.72,96.0,9.0,9.4
46.0,Dartmoor,1013.3,NNE,No,66.2,59.540000000000006,NNE,61.0,No,47.84,4.0,2009-05-23,NNE,24.0,1016.5,0.0,68.0,69.0,24.0,3.5
44.0,Dartmoor,1015.5,NNE,No,66.2,61.88,NE,68.0,Yes,59.18,2.8,2009-05-24,NNE,15.0,1016.9,0.0,66.56,71.0,24.0,0.0
35.0,Dartmoor,1013.7,NE,Yes,59.18,56.84,N,96.0,Yes,56.48,1.2,2009-05-25,NW,13.0,1015.0,2.8,60.26,98.0,7.0,0.6
31.0,Dartmoor,1020.8,N,Yes,57.56,47.48,NW,78.0,Yes,42.08,0.6,2009-05-26,SW,17.0,1021.6,3.0,59.36,99.0,9.0,4.5
30.0,Dartmoor,1023.7,,Yes,54.14,46.22,S,85.0,Yes,44.06,1.0,2009-05-27,SSW,17.0,1024.1,5.0,55.94,99.0,0.0,3.9
37.0,Dartmoor,1027.6,SSE,Yes,51.26,50.54,SSE,92.0,No,46.04,0.6,2009-05-28,S,19.0,1027.6,1.8,58.28,82.0,17.0,5.5
31.0,Dartmoor,1028.4,SSE,No,56.120000000000005,52.52,SE,78.0,No,44.06,0.8,2009-05-29,SE,13.0,1029.5,0.6,60.8,88.0,11.0,4.9
37.0,Dartmoor,1030.9,,No,57.379999999999995,42.260000000000005,E,76.0,No,34.88,1.4,2009-05-30,E,13.0,1032.6,0.2,57.74,98.0,0.0,9.1
22.0,Dartmoor,1029.9,E,No,60.440000000000005,47.66,ENE,56.0,No,41.9,1.2,2009-05-31,N,13.0,1033.0,0.0,62.78,93.0,11.0,8.3
28.0,Dartmoor,1027.4,E,No,54.32,49.82,ESE,96.0,Yes,47.48,1.2,2009-06-01,ESE,11.0,1029.1,0.4,54.32,89.0,9.0,0.0
37.0,Dartmoor,1025.3,ESE,Yes,57.379999999999995,51.8,ESE,79.0,No,49.82,1.2,2009-06-02,E,20.0,1028.2,6.8,60.08,95.0,11.0,0.6
22.0,Dartmoor,1018.0,ENE,No,58.82,51.8,E,80.0,No,50.18,0.2,2009-06-03,,0.0,1021.6,0.0,59.72,95.0,6.0,0.0
24.0,Dartmoor,1016.1,N,No,58.64,48.56,N,76.0,No,46.04,0.4,2009-06-04,NNW,13.0,1018.6,0.0,60.08,98.0,13.0,7.3
20.0,Dartmoor,1014.6,,No,59.0,42.44,NNW,78.0,No,37.76,0.8,2009-06-05,N,9.0,1017.0,0.4,60.440000000000005,99.0,0.0,5.4
28.0,Dartmoor,1007.3,ENE,No,52.16,48.56,NE,88.0,Yes,42.260000000000005,1.0,2009-06-06,ENE,17.0,1011.0,0.6,53.6,99.0,7.0,0.0
28.0,Dartmoor,1005.1,N,Yes,51.26,46.22,S,93.0,Yes,40.46,1.0,2009-06-07,S,6.0,1005.9,1.4,55.94,99.0,7.0,3.3
41.0,Dartmoor,1007.4,NNW,Yes,49.82,47.48,WSW,92.0,Yes,44.96,0.8,2009-06-08,SW,19.0,1006.8,9.2,53.96,97.0,17.0,3.4
57.0,Dartmoor,1010.9,WSW,Yes,47.84,48.02,SW,81.0,Yes,42.980000000000004,0.6,2009-06-09,WSW,26.0,1008.3,17.6,53.06,80.0,20.0,5.4
41.0,Dartmoor,1023.2,N,Yes,51.26,42.260000000000005,SW,74.0,No,39.38,1.2,2009-06-10,SSW,11.0,1022.8,2.0,53.06,92.0,11.0,4.8
33.0,Dartmoor,1022.4,NNW,No,51.98,46.22,N,65.0,No,41.36,1.2,2009-06-11,NNW,24.0,1025.2,0.8,54.14,85.0,9.0,3.7
50.0,Dartmoor,1014.4,NNE,No,52.52,43.16,NNE,72.0,Yes,37.22,1.6,2009-06-12,N,17.0,1018.6,0.0,53.06,82.0,15.0,2.4
43.0,Dartmoor,1003.7,NNE,Yes,53.78,46.4,NNE,72.0,Yes,43.16,2.2,2009-06-13,NNE,22.0,1007.1,1.4,54.68,84.0,19.0,3.4
30.0,Dartmoor,1006.3,NNE,Yes,55.76,48.74,NNE,80.0,No,45.86,2.0,2009-06-14,NE,13.0,1006.2,10.8,56.120000000000005,92.0,13.0,4.8
20.0,Dartmoor,1015.6,,No,60.26,41.72,E,65.0,No,36.14,0.4,2009-06-15,ESE,9.0,1013.8,0.2,60.62,99.0,0.0,8.9
13.0,Dartmoor,1023.8,,No,59.540000000000006,36.68,SSW,67.0,No,35.06,0.6,2009-06-16,NNW,6.0,1023.9,0.2,60.440000000000005,99.0,0.0,6.5
19.0,Dartmoor,1027.3,,No,58.64,36.68,WNW,70.0,No,32.0,0.8,2009-06-17,NNW,7.0,1029.1,0.4,59.540000000000006,99.0,0.0,6.5
24.0,Dartmoor,1026.7,E,No,58.28,38.839999999999996,N,65.0,No,35.06,1.0,2009-06-18,N,11.0,1029.3,0.0,58.64,99.0,6.0,8.7
33.0,Dartmoor,1022.6,NE,No,57.2,36.14,N,69.0,No,33.08,1.2,2009-06-19,NNE,19.0,1026.8,0.2,58.64,99.0,11.0,8.4
52.0,Dartmoor,1010.2,NNE,No,60.26,51.44,NNW,63.0,No,35.96,2.0,2009-06-20,N,26.0,1015.5,0.0,60.8,80.0,24.0,3.0
24.0,Dartmoor,1015.5,ENE,No,61.88,42.44,ENE,63.0,No,37.94,2.6,2009-06-21,NE,13.0,1018.2,0.2,62.24,98.0,7.0,8.2
63.0,Dartmoor,1012.5,NE,No,61.519999999999996,52.16,N,63.0,Yes,42.44,0.6,2009-06-22,NNE,20.0,1015.5,0.2,62.059999999999995,88.0,17.0,8.2
30.0,Dartmoor,1010.1,NE,Yes,56.66,51.620000000000005,NNW,54.0,No,47.3,1.4,2009-06-23,N,17.0,1012.1,14.4,58.28,92.0,17.0,5.1
31.0,Dartmoor,1012.0,,No,54.14,44.239999999999995,NNE,82.0,No,38.3,1.4,2009-06-24,NNW,15.0,1012.5,0.4,57.74,88.0,0.0,6.1
22.0,Dartmoor,1009.6,NNE,No,55.4,44.42,NW,83.0,No,39.38,1.2,2009-06-25,NNW,11.0,1012.6,0.0,55.94,99.0,7.0,5.2
19.0,Dartmoor,1005.4,NE,No,57.92,39.02,SSE,79.0,No,34.7,0.8,2009-06-26,S,13.0,1007.7,0.2,58.64,99.0,7.0,5.2
11.0,Dartmoor,1006.3,,No,57.56,37.22,ESE,74.0,No,35.42,0.2,2009-06-27,,0.0,1008.5,0.8,59.540000000000006,99.0,0.0,8.4
46.0,Dartmoor,1000.2,N,No,57.379999999999995,46.58,N,82.0,Yes,37.22,1.2,2009-06-28,N,22.0,1003.8,0.0,58.28,99.0,19.0,2.9
54.0,Dartmoor,1001.1,N,Yes,60.62,53.42,N,77.0,No,46.58,1.0,2009-06-29,NNW,24.0,1003.9,1.8,64.04,99.0,17.0,4.5
69.0,Dartmoor,987.8,N,No,51.620000000000005,58.459999999999994,WNW,95.0,Yes,53.42,2.6,2009-06-30,N,19.0,990.8,0.4,65.48,79.0,26.0,0.4
76.0,Dartmoor,999.0,NNW,Yes,54.68,47.84,WNW,76.0,Yes,46.4,0.8,2009-07-01,W,35.0,996.7,22.6,58.459999999999994,95.0,24.0,6.4
69.0,Dartmoor,1002.3,NNW,Yes,53.06,47.120000000000005,SW,89.0,Yes,45.5,1.2,2009-07-02,W,30.0,1005.0,9.4,53.78,97.0,9.0,1.6
54.0,Dartmoor,1015.7,SW,Yes,55.22,50.72,WSW,79.0,Yes,47.120000000000005,1.4,2009-07-03,SW,28.0,1014.0,13.8,56.84,86.0,26.0,5.0
46.0,Dartmoor,1019.8,WSW,Yes,52.34,51.8,SW,94.0,Yes,50.18,0.6,2009-07-04,SSW,28.0,1020.3,5.2,55.58,89.0,15.0,2.9
28.0,Dartmoor,1023.0,E,Yes,51.8,46.58,SW,74.0,No,44.6,1.0,2009-07-05,SW,13.0,1024.1,2.0,54.32,89.0,7.0,0.0
33.0,Dartmoor,1023.4,NW,No,53.42,47.48,S,81.0,Yes,44.06,0.4,2009-07-06,S,17.0,1024.4,0.0,55.04,91.0,7.0,5.0
28.0,Dartmoor,1023.1,E,Yes,51.08,40.28,E,71.0,No,36.14,1.0,2009-07-07,NE,13.0,1026.4,1.2,54.14,98.0,4.0,8.7
28.0,Dartmoor,1024.6,NNE,No,53.78,38.839999999999996,NNE,69.0,No,33.08,0.4,2009-07-08,NNE,15.0,1026.4,0.0,56.120000000000005,97.0,9.0,8.0
35.0,Dartmoor,1023.3,E,No,58.64,40.1,NNE,66.0,No,35.06,2.0,2009-07-09,NNE,17.0,1027.2,0.0,59.540000000000006,98.0,9.0,8.8
