Wind.Speed.3.pm,Max.Temp.C,Humidity.3.pm,Rain.Tomorrow,Pressure.9.am,Date,Wind.Gust.Dir,Temp.9.am.C,Wind.Speed.9.am,Wind.Dir.9.am,Wind.Dir.3.pm,Rainfall,Sunshine,Min.Temp.C,Rain.Today,Wind.Gust.Speed,Location,Humidity.9.am,Pressure.3.pm,Cloud.9.am,Temp.3.pm.C,Evaporation,Cloud.3.pm
39.0,28.4,53.0,Yes,1009.5,2009-02-16,ESE,21.2,13.0,E,ESE,0.0,8.3,17.9,No,57.0,Moree,70.0,1006.8,7.0,27.0,3.6,6.0
4.0,27.9,56.0,No,1008.9,2009-02-17,E,18.5,24.0,ESE,E,55.8,8.2,17.4,Yes,35.0,Moree,94.0,1007.5,7.0,26.3,13.6,5.0
7.0,30.0,55.0,No,1008.3,2009-02-18,SW,24.1,13.0,NE,N,0.0,10.4,18.5,No,52.0,Moree,74.0,1004.3,2.0,29.1,4.0,3.0
15.0,31.4,49.0,No,1007.7,2009-02-19,W,23.3,13.0,NE,WSW,0.0,12.5,19.4,No,28.0,Moree,79.0,1005.8,2.0,30.9,6.0,5.0
9.0,31.8,55.0,No,1010.2,2009-02-20,E,25.2,11.0,N,NW,0.0,10.3,19.6,No,33.0,Moree,78.0,1008.3,2.0,30.1,5.4,7.0
9.0,32.4,48.0,No,1011.3,2009-02-21,SSW,23.2,13.0,NE,ENE,0.0,10.9,19.7,No,48.0,Moree,78.0,1008.7,2.0,30.4,6.6,1.0
9.0,32.6,40.0,No,1013.9,2009-02-22,ENE,24.0,20.0,ENE,ENE,0.0,12.3,19.8,No,41.0,Moree,67.0,1012.1,1.0,31.0,6.6,3.0
9.0,32.1,37.0,No,1016.2,2009-02-23,ENE,23.7,17.0,E,N,0.0,12.3,19.1,No,33.0,Moree,68.0,1013.4,0.0,31.2,7.8,3.0
13.0,32.4,39.0,No,1016.7,2009-02-24,NNE,23.3,15.0,NNE,NNE,0.0,11.6,19.6,No,30.0,Moree,65.0,1014.0,1.0,30.9,7.4,3.0
7.0,31.6,46.0,No,1016.4,2009-02-25,SSE,23.9,15.0,N,NW,0.0,8.6,21.9,No,46.0,Moree,68.0,1012.9,8.0,30.0,7.6,7.0
11.0,32.8,39.0,No,1015.8,2009-02-26,E,22.9,24.0,E,SE,0.0,12.3,17.8,No,31.0,Moree,65.0,1012.2,1.0,31.3,7.2,2.0
11.0,30.7,40.0,No,1015.5,2009-02-27,E,22.0,19.0,E,NW,0.0,12.0,18.6,No,37.0,Moree,56.0,1012.1,2.0,29.1,7.8,3.0
15.0,33.6,27.0,No,1012.3,2009-02-28,N,21.6,26.0,N,NW,0.0,11.9,14.2,No,39.0,Moree,69.0,1008.8,4.0,31.5,8.6,1.0
20.0,35.5,24.0,No,1010.4,2009-03-01,SSW,25.0,,,WSW,0.0,10.6,18.4,No,37.0,Moree,48.0,1008.1,5.0,34.6,6.6,3.0
9.0,34.6,16.0,No,1012.1,2009-03-02,SSW,24.8,13.0,ENE,WSW,0.0,6.4,16.3,No,28.0,Moree,32.0,1010.7,5.0,33.9,9.8,7.0
9.0,35.4,33.0,No,1014.7,2009-03-03,N,23.8,20.0,E,N,0.0,9.6,19.3,No,33.0,Moree,70.0,1011.7,7.0,34.2,7.0,4.0
9.0,34.2,41.0,No,1011.7,2009-03-04,WSW,25.5,31.0,NNE,NNW,0.0,5.5,23.8,No,59.0,Moree,57.0,1007.6,6.0,33.5,8.4,5.0
28.0,26.2,25.0,No,1014.0,2009-03-05,SW,17.2,26.0,SSW,SW,0.0,11.6,10.9,No,57.0,Moree,39.0,1010.5,0.0,25.3,11.0,0.0
15.0,27.5,27.0,No,1013.1,2009-03-06,WSW,17.5,4.0,S,WSW,0.0,11.8,10.5,No,31.0,Moree,47.0,1010.4,0.0,26.5,9.2,0.0
9.0,30.9,19.0,No,1013.5,2009-03-07,ENE,17.9,17.0,ENE,N,0.0,11.8,10.7,No,28.0,Moree,54.0,1010.6,1.0,29.7,6.8,1.0
9.0,32.6,28.0,No,1013.7,2009-03-08,ENE,23.7,20.0,NE,ENE,0.0,11.8,14.7,No,43.0,Moree,64.0,1010.9,0.0,31.9,9.0,3.0
20.0,32.5,27.0,No,1016.6,2009-03-09,ENE,23.5,19.0,ESE,ESE,0.0,10.8,17.9,No,50.0,Moree,52.0,1012.1,2.0,31.6,8.0,3.0
19.0,31.8,33.0,No,1016.0,2009-03-10,E,24.0,22.0,SE,E,0.0,11.5,17.1,No,52.0,Moree,50.0,1012.7,3.0,30.9,9.6,3.0
11.0,32.5,24.0,No,1017.9,2009-03-11,ENE,22.4,22.0,ESE,E,0.0,11.3,16.0,No,48.0,Moree,53.0,1014.2,1.0,31.1,10.0,2.0
11.0,29.0,34.0,No,1019.2,2009-03-12,E,22.8,24.0,ENE,E,0.0,4.5,17.6,No,41.0,Moree,54.0,1016.8,6.0,28.2,9.8,8.0
11.0,31.8,35.0,No,1017.5,2009-03-13,NNE,22.6,19.0,ENE,NNW,0.0,11.7,18.1,No,30.0,Moree,55.0,1014.2,2.0,30.1,5.8,4.0
11.0,31.7,38.0,Yes,1016.6,2009-03-14,N,21.0,15.0,N,NNE,0.0,7.7,17.8,No,37.0,Moree,74.0,1011.3,6.0,29.7,7.4,3.0
13.0,33.9,34.0,No,1012.5,2009-03-15,NNE,23.4,30.0,NNE,NNW,1.6,10.4,19.9,Yes,43.0,Moree,71.0,1007.9,2.0,32.4,6.4,6.0
30.0,28.9,19.0,No,1010.9,2009-03-16,SW,19.2,20.0,SW,SW,0.0,11.0,16.2,No,50.0,Moree,37.0,1008.8,3.0,28.0,9.4,1.0
22.0,27.6,22.0,No,1013.3,2009-03-17,SW,17.6,11.0,SW,SW,0.0,11.5,11.1,No,39.0,Moree,49.0,1010.9,1.0,25.8,11.2,0.0
13.0,31.8,28.0,No,1015.5,2009-03-18,NNE,20.4,19.0,ENE,NNE,0.0,11.5,10.5,No,37.0,Moree,60.0,1012.4,2.0,30.6,7.6,2.0
11.0,33.0,30.0,No,1016.6,2009-03-19,NNE,22.5,15.0,ENE,WSW,0.0,10.8,16.8,No,31.0,Moree,65.0,1012.6,2.0,31.0,6.6,5.0
9.0,32.8,26.0,No,1015.9,2009-03-20,SSE,23.0,15.0,ENE,NE,0.0,10.1,17.6,No,35.0,Moree,58.0,1011.7,1.0,31.5,8.2,2.0
11.0,31.7,25.0,No,1015.5,2009-03-21,ESE,22.0,15.0,E,SE,0.0,11.1,16.6,No,52.0,Moree,56.0,1011.7,0.0,30.7,8.0,2.0
9.0,31.3,23.0,No,1016.5,2009-03-22,E,20.6,15.0,E,S,0.0,11.3,15.8,No,28.0,Moree,63.0,1012.2,1.0,29.7,7.8,1.0
11.0,32.7,23.0,No,1016.9,2009-03-23,ENE,21.8,13.0,ENE,ENE,0.0,11.3,15.7,No,35.0,Moree,62.0,1013.4,0.0,30.8,7.8,1.0
9.0,33.0,24.0,No,1019.3,2009-03-24,NNE,21.6,19.0,NE,W,0.0,11.4,16.8,No,37.0,Moree,59.0,1015.5,0.0,32.1,7.6,1.0
6.0,31.3,25.0,No,1021.8,2009-03-25,NNE,20.9,24.0,N,N,0.0,11.4,17.5,No,35.0,Moree,58.0,1017.8,1.0,29.7,8.2,1.0
7.0,32.3,28.0,No,1021.5,2009-03-26,NNE,21.2,20.0,NNE,S,0.0,11.2,15.2,No,35.0,Moree,55.0,1017.7,0.0,31.2,7.6,1.0
19.0,33.7,24.0,No,1019.6,2009-03-27,SW,22.5,20.0,NE,SSW,0.0,10.4,17.2,No,46.0,Moree,53.0,1016.1,3.0,32.0,7.0,4.0
13.0,30.6,26.0,No,1021.5,2009-03-28,NE,19.5,13.0,ESE,ESE,0.0,11.1,14.0,No,44.0,Moree,54.0,1017.6,0.0,29.0,9.6,3.0
17.0,30.9,17.0,No,1020.7,2009-03-29,E,19.6,11.0,E,SSE,0.0,11.4,14.2,No,39.0,Moree,50.0,1016.5,0.0,29.9,7.8,1.0
6.0,30.9,28.0,No,1017.4,2009-03-30,ESE,21.5,19.0,SE,SSW,0.0,7.9,15.6,No,43.0,Moree,52.0,1013.1,1.0,29.5,8.6,7.0
35.0,23.4,61.0,No,1013.5,2009-03-31,SSW,19.9,22.0,S,SSW,0.0,0.2,18.2,No,48.0,Moree,76.0,1010.6,7.0,21.9,8.4,7.0
11.0,30.6,40.0,No,1012.7,2009-04-01,SSE,20.4,13.0,ESE,SE,0.6,10.5,16.9,No,41.0,Moree,82.0,1011.2,2.0,29.5,3.6,5.0
19.0,30.7,45.0,No,1017.6,2009-04-02,ESE,20.3,17.0,NE,E,1.0,6.5,17.1,No,44.0,Moree,91.0,1014.0,8.0,28.9,5.2,6.0
13.0,31.7,36.0,No,1018.2,2009-04-03,E,24.0,19.0,ESE,NE,0.4,9.4,19.2,No,35.0,Moree,59.0,1014.1,4.0,31.5,5.4,6.0
20.0,25.1,74.0,Yes,1016.9,2009-04-04,SSE,21.6,13.0,ENE,E,0.0,4.1,18.3,No,54.0,Moree,77.0,1015.0,7.0,22.7,5.8,2.0
17.0,29.9,33.0,No,1017.0,2009-04-05,SSW,20.9,11.0,E,SSE,22.6,8.8,17.5,Yes,33.0,Moree,75.0,1012.4,6.0,29.2,7.0,2.0
13.0,30.1,23.0,No,1017.0,2009-04-06,WSW,20.9,6.0,NE,SW,0.0,11.1,14.3,No,30.0,Moree,64.0,1013.5,1.0,30.0,6.8,2.0
9.0,29.7,36.0,No,1020.7,2009-04-07,NE,22.8,22.0,ENE,SSE,0.0,11.1,14.3,No,35.0,Moree,55.0,1017.1,1.0,27.9,6.0,3.0
9.0,28.2,32.0,No,1023.5,2009-04-08,SE,21.2,24.0,E,ESE,0.0,10.7,14.8,No,35.0,Moree,53.0,1019.6,4.0,27.5,6.8,3.0
15.0,28.2,19.0,No,1023.4,2009-04-09,SE,20.3,13.0,E,ESE,0.0,10.3,13.1,No,33.0,Moree,51.0,1018.4,3.0,28.0,6.6,7.0
15.0,28.1,36.0,No,1022.9,2009-04-10,NE,21.2,24.0,NE,NNE,0.0,6.0,14.8,No,41.0,Moree,58.0,1019.0,6.0,26.6,6.2,6.0
20.0,25.0,46.0,No,1024.6,2009-04-11,NNE,20.8,17.0,ENE,NNE,0.0,1.5,16.9,No,33.0,Moree,63.0,1022.1,6.0,24.2,4.6,8.0
17.0,24.0,97.0,Yes,1023.3,2009-04-12,SW,20.5,17.0,E,SSE,0.2,0.0,16.4,No,35.0,Moree,73.0,1021.0,7.0,19.0,4.2,8.0
17.0,21.9,67.0,Yes,1021.0,2009-04-13,ESE,18.3,15.0,E,SE,19.2,0.3,17.6,Yes,30.0,Moree,96.0,1016.6,8.0,21.2,3.0,8.0
19.0,26.2,58.0,No,1015.9,2009-04-14,SW,20.3,11.0,NE,SW,4.8,6.7,17.5,Yes,30.0,Moree,95.0,1012.1,7.0,25.3,2.0,7.0
22.0,26.7,38.0,No,1014.9,2009-04-15,SW,18.2,2.0,SW,SW,0.2,8.8,13.6,No,39.0,Moree,96.0,1012.0,1.0,26.2,2.8,1.0
13.0,28.9,24.0,No,1015.2,2009-04-16,WSW,20.6,15.0,ENE,SW,0.0,11.1,11.7,No,30.0,Moree,59.0,1012.2,1.0,28.4,5.4,3.0
17.0,29.8,24.0,No,1015.3,2009-04-17,W,21.8,17.0,NE,SW,0.0,10.1,13.7,No,50.0,Moree,50.0,1011.9,1.0,28.8,5.0,4.0
17.0,26.9,32.0,No,1016.8,2009-04-18,SSW,20.4,17.0,E,SW,0.0,10.7,10.7,No,39.0,Moree,58.0,1013.7,0.0,26.2,6.4,1.0
24.0,26.7,29.0,No,1017.0,2009-04-19,S,17.8,15.0,SSE,SE,0.0,11.0,10.1,No,46.0,Moree,62.0,1012.8,1.0,25.8,6.0,1.0
24.0,25.6,34.0,No,1016.1,2009-04-20,SSE,18.5,15.0,S,SSE,0.0,10.9,11.1,No,41.0,Moree,60.0,1012.5,1.0,24.8,7.6,4.0
24.0,26.6,34.0,No,1017.6,2009-04-21,SE,17.1,9.0,SSW,SE,0.0,9.6,9.5,No,37.0,Moree,66.0,1013.9,5.0,25.8,5.8,3.0
7.0,26.3,27.0,No,1020.2,2009-04-22,S,19.4,15.0,ESE,S,0.0,10.7,10.8,No,33.0,Moree,54.0,1015.9,1.0,25.5,5.6,1.0
11.0,26.1,30.0,No,1018.8,2009-04-23,E,19.7,24.0,E,E,0.0,10.8,11.2,No,31.0,Moree,56.0,1014.6,0.0,25.5,5.6,3.0
22.0,29.9,22.0,No,1014.4,2009-04-24,WNW,19.8,24.0,NNE,NNW,0.0,6.6,10.8,No,54.0,Moree,57.0,1008.1,6.0,29.4,4.0,5.0
24.0,25.2,31.0,No,1011.4,2009-04-25,WNW,19.5,19.0,W,WNW,0.0,10.1,13.0,No,43.0,Moree,49.0,1008.1,0.0,24.8,5.4,3.0
24.0,25.1,35.0,No,1011.2,2009-04-26,WSW,20.9,31.0,W,W,0.0,10.6,14.1,No,50.0,Moree,45.0,1008.9,1.0,23.2,6.0,3.0
20.0,20.5,27.0,No,1017.9,2009-04-27,WSW,14.7,13.0,SSW,WNW,0.0,10.7,6.8,No,48.0,Moree,41.0,1015.6,0.0,20.0,6.6,1.0
24.0,23.7,28.0,No,1021.6,2009-04-28,WSW,15.6,6.0,N,SW,0.0,10.6,4.8,No,39.0,Moree,47.0,1017.4,1.0,23.3,4.6,5.0
20.0,23.6,32.0,No,1020.5,2009-04-29,WSW,15.4,13.0,NE,W,0.0,8.0,8.0,No,35.0,Moree,58.0,1016.5,6.0,21.7,4.8,5.0
24.0,19.3,19.0,No,1020.5,2009-04-30,SW,12.8,11.0,SW,SW,0.0,10.9,4.8,No,37.0,Moree,47.0,1017.7,0.0,18.7,4.2,0.0
11.0,23.5,18.0,No,1023.5,2009-05-01,N,15.3,15.0,ENE,NNE,0.0,10.2,3.5,No,30.0,Moree,42.0,1019.6,2.0,22.9,5.2,5.0
9.0,24.7,31.0,No,1024.1,2009-05-02,ENE,16.7,13.0,ENE,SW,0.0,9.6,8.4,No,26.0,Moree,53.0,1020.0,4.0,23.0,4.6,4.0
7.0,24.4,36.0,No,1024.6,2009-05-03,E,18.9,20.0,E,NNW,0.0,6.3,9.4,No,31.0,Moree,49.0,1021.7,3.0,22.6,3.8,4.0
24.0,24.9,26.0,No,1027.3,2009-05-04,WSW,16.8,11.0,E,SW,0.0,9.1,10.6,No,33.0,Moree,56.0,1023.6,3.0,24.3,3.6,4.0
9.0,24.3,27.0,No,1028.8,2009-05-05,E,17.6,17.0,E,SE,0.0,10.5,9.1,No,30.0,Moree,53.0,1024.6,2.0,23.7,4.6,3.0
9.0,25.1,27.0,No,1026.9,2009-05-06,E,18.3,17.0,E,S,0.0,10.1,9.1,No,33.0,Moree,51.0,1021.7,1.0,24.0,4.8,5.0
15.0,24.8,29.0,No,1024.9,2009-05-07,W,17.8,13.0,ENE,WNW,0.0,10.2,10.0,No,28.0,Moree,61.0,1020.7,2.0,24.3,3.8,4.0
11.0,25.3,23.0,No,1025.0,2009-05-08,ENE,15.9,4.0,ESE,E,0.0,10.5,7.6,No,22.0,Moree,53.0,1021.2,0.0,24.2,3.8,2.0
11.0,24.3,25.0,No,1023.5,2009-05-09,E,17.1,15.0,ENE,SW,0.0,10.4,9.7,No,28.0,Moree,51.0,1018.7,0.0,23.9,4.4,2.0
17.0,24.7,17.0,No,1021.2,2009-05-10,SSE,16.8,13.0,ESE,SE,0.0,10.4,6.2,No,33.0,Moree,42.0,1017.6,0.0,24.1,4.0,1.0
6.0,23.6,28.0,No,1022.2,2009-05-11,E,16.3,17.0,E,SE,0.0,10.5,8.8,No,28.0,Moree,50.0,1018.2,0.0,23.0,5.2,3.0
,22.4,41.0,No,1021.2,2009-05-12,ENE,15.5,17.0,NE,,0.0,6.0,8.8,No,26.0,Moree,61.0,1016.8,6.0,20.0,4.0,
17.0,22.8,22.0,No,1018.8,2009-05-13,SSW,14.3,9.0,ENE,SW,0.0,9.3,5.3,No,35.0,Moree,64.0,1015.0,1.0,21.6,2.8,4.0
28.0,22.1,19.0,No,1018.4,2009-05-14,WSW,13.6,9.0,NE,SW,0.0,10.3,2.6,No,48.0,Moree,44.0,1015.1,0.0,21.7,4.0,0.0
24.0,21.5,26.0,No,1019.8,2009-05-15,WSW,14.2,0.0,,WSW,0.0,10.5,3.3,No,46.0,Moree,45.0,1016.4,0.0,21.3,4.8,0.0
24.0,22.4,27.0,No,1018.5,2009-05-16,SW,13.5,0.0,,WSW,0.0,10.3,2.7,No,39.0,Moree,51.0,1015.0,2.0,21.9,4.0,2.0
19.0,20.6,50.0,No,1019.6,2009-05-17,SW,14.1,9.0,S,WSW,0.0,8.2,4.5,No,37.0,Moree,60.0,1016.2,2.0,16.7,4.0,7.0
20.0,23.9,29.0,Yes,1020.8,2009-05-18,ENE,17.5,26.0,E,ENE,0.0,3.9,7.2,No,41.0,Moree,49.0,1016.8,6.0,22.8,4.8,7.0
11.0,15.7,90.0,Yes,1019.5,2009-05-19,E,14.9,28.0,E,S,4.8,0.1,13.4,Yes,37.0,Moree,83.0,1015.4,7.0,15.6,2.4,7.0
17.0,15.9,88.0,Yes,1014.7,2009-05-20,ESE,14.4,13.0,E,SE,22.0,0.0,13.2,Yes,37.0,Moree,89.0,1012.0,8.0,15.2,2.6,8.0
20.0,17.3,82.0,Yes,1013.7,2009-05-21,ESE,13.6,11.0,S,ESE,8.8,0.0,12.9,Yes,41.0,Moree,94.0,1010.7,8.0,15.4,4.8,7.0
2.0,23.5,48.0,No,1011.5,2009-05-22,ESE,17.1,31.0,ESE,ESE,7.4,5.7,12.5,Yes,44.0,Moree,64.0,1009.8,6.0,22.0,1.4,7.0
24.0,25.3,41.0,No,1015.4,2009-05-23,SE,19.1,19.0,SE,ESE,0.2,10.1,10.3,No,39.0,Moree,62.0,1012.8,1.0,24.2,4.2,2.0
17.0,23.7,37.0,No,1021.9,2009-05-24,E,17.5,11.0,E,ENE,0.0,9.8,11.1,No,37.0,Moree,64.0,1019.6,3.0,23.5,4.2,2.0
7.0,23.1,39.0,No,1024.4,2009-05-25,E,15.9,17.0,E,ENE,0.0,9.9,9.3,No,30.0,Moree,64.0,1021.1,4.0,21.8,3.6,5.0
,22.8,39.0,No,1022.9,2009-05-26,ENE,14.8,17.0,E,,0.0,8.1,9.9,No,28.0,Moree,71.0,1019.6,4.0,22.0,3.0,5.0
11.0,23.1,44.0,No,1021.3,2009-05-27,N,15.3,13.0,ENE,NW,0.0,9.1,8.6,No,28.0,Moree,77.0,1017.5,1.0,21.6,3.4,4.0
7.0,23.1,45.0,Yes,1020.8,2009-05-28,W,13.5,11.0,ENE,NNW,0.0,5.4,8.2,No,28.0,Moree,83.0,1017.3,5.0,22.9,2.4,6.0
19.0,19.9,47.0,No,1021.3,2009-05-29,SSW,10.7,2.0,SW,SW,2.8,5.9,9.0,Yes,28.0,Moree,100.0,1019.0,8.0,19.6,1.6,1.0
