WindDir9am,Humidity3pm,RainToday,Location,RainTomorrow,Humidity9am,Cloud3pm,WindGustDir,Temp9amC,Date,Temp3pmC,MinTempC,Pressure9am,WindSpeed3pm,Evaporation,WindGustSpeed,Rainfall,Pressure3pm,Sunshine,WindSpeed9am,WindDir3pm,MaxTempC,Cloud9am
WNW,53.0,No,Sydney,No,78.0,8.0,,18.9,2008-02-11,23.7,16.4,1017.6,26.0,6.4,,0.0,1015.3,8.0,9.0,E,23.9,7.0
N,67.0,No,Sydney,Yes,68.0,7.0,,22.9,2008-02-12,24.7,18.9,1010.7,24.0,6.8,,0.0,1007.5,6.7,7.0,NE,27.3,7.0
S,70.0,Yes,Sydney,Yes,87.0,7.0,,20.9,2008-02-13,21.0,18.4,1009.2,30.0,7.0,,14.4,1011.7,3.3,24.0,S,22.8,8.0
SSW,51.0,Yes,Sydney,No,81.0,1.0,,18.4,2008-02-14,23.3,16.9,1017.2,19.0,3.2,,3.0,1016.5,8.7,15.0,SSE,24.3,7.0
SW,56.0,No,Sydney,No,80.0,3.0,,19.5,2008-02-15,23.8,18.3,1020.2,22.0,6.2,,0.0,1018.9,8.5,19.0,SSE,24.4,7.0
WNW,52.0,No,Sydney,No,77.0,6.0,,19.8,2008-02-16,23.3,16.7,1023.0,26.0,6.2,,0.0,1022.6,8.8,11.0,SSE,24.1,7.0
SE,62.0,No,Sydney,No,63.0,7.0,,21.8,2008-02-17,23.4,19.5,1024.7,24.0,7.6,,0.0,1023.1,3.2,13.0,ESE,24.8,7.0
SSE,59.0,No,Sydney,No,70.0,6.0,,21.2,2008-02-18,23.8,18.6,1021.7,24.0,4.2,,0.0,1019.4,4.5,13.0,ENE,25.3,7.0
WNW,65.0,No,Sydney,No,79.0,7.0,,20.8,2008-02-19,23.4,19.0,1018.0,17.0,5.2,,0.0,1015.4,7.5,7.0,E,24.8,7.0
W,60.0,No,Sydney,No,80.0,1.0,,21.3,2008-02-20,25.2,18.3,1013.4,22.0,4.6,,0.0,1010.8,11.1,13.0,E,26.4,3.0
WNW,62.0,No,Sydney,No,86.0,7.0,,22.1,2008-02-21,24.9,20.6,1011.4,15.0,6.8,,0.0,1009.7,6.4,4.0,SE,26.8,7.0
WNW,66.0,No,Sydney,No,77.0,1.0,,22.3,2008-02-22,24.9,19.1,1009.2,28.0,4.4,,0.4,1003.1,9.4,11.0,E,25.4,4.0
WSW,45.0,No,Sydney,No,38.0,1.0,,22.5,2008-02-23,24.0,20.5,1007.4,24.0,6.6,,0.0,1007.0,12.2,20.0,ESE,26.0,1.0
WNW,40.0,No,Sydney,No,48.0,0.0,,21.2,2008-02-24,26.1,16.5,1007.9,24.0,8.6,,0.0,1008.0,12.0,11.0,ESE,28.3,0.0
E,54.0,No,Sydney,No,58.0,7.0,,21.6,2008-02-25,23.5,20.5,1017.5,20.0,8.6,,0.0,1016.9,1.5,15.0,E,24.2,7.0
WSW,65.0,No,Sydney,Yes,73.0,6.0,,23.0,2008-02-26,25.8,19.3,1018.3,28.0,3.6,,0.0,1015.6,8.4,2.0,E,26.2,1.0
,52.0,Yes,Sydney,Yes,82.0,7.0,,21.3,2008-02-27,24.7,19.0,1014.1,15.0,8.2,,22.2,1010.6,3.3,0.0,NNE,29.0,7.0
S,88.0,Yes,Sydney,Yes,77.0,8.0,,20.4,2008-02-28,19.2,17.9,1010.0,9.0,4.2,,4.2,1010.1,0.0,20.0,ESE,21.4,8.0
SW,51.0,Yes,Sydney,No,65.0,3.0,,17.1,2008-02-29,19.9,14.7,1015.3,28.0,7.0,,33.0,1015.6,8.9,24.0,S,20.6,5.0
W,46.0,No,Sydney,Yes,55.0,1.0,,15.9,2008-03-01,21.2,12.8,1020.9,31.0,6.2,,0.2,1020.6,11.3,19.0,SSE,22.0,0.0
W,54.0,Yes,Sydney,No,93.0,2.0,,15.1,2008-03-02,22.4,14.2,1026.2,17.0,6.4,,5.4,1025.2,7.3,13.0,SE,23.4,7.0
W,57.0,No,Sydney,No,78.0,1.0,,18.2,2008-03-03,22.5,15.0,1025.8,19.0,2.6,,0.2,1022.5,11.2,15.0,ENE,23.1,1.0
WNW,57.0,No,Sydney,No,77.0,2.0,,18.7,2008-03-04,23.8,15.5,1020.5,19.0,6.8,,0.0,1018.6,11.3,9.0,E,25.4,0.0
S,64.0,No,Sydney,No,72.0,3.0,,22.6,2008-03-05,24.1,18.7,1024.8,22.0,6.0,,0.0,1024.2,8.7,19.0,ESE,25.8,6.0
N,65.0,No,Sydney,No,67.0,1.0,,22.1,2008-03-06,24.7,19.6,1024.2,19.0,5.0,,0.0,1019.8,10.4,11.0,ENE,26.0,1.0
SSW,75.0,No,Sydney,Yes,83.0,7.0,,22.9,2008-03-07,23.3,19.9,1021.3,24.0,7.6,,0.0,1020.7,4.5,13.0,SSE,24.9,5.0
WNW,71.0,Yes,Sydney,No,88.0,2.0,,18.8,2008-03-08,21.5,16.5,1023.4,22.0,6.0,,17.4,1022.3,9.6,9.0,E,24.8,1.0
W,64.0,No,Sydney,No,82.0,2.0,,19.7,2008-03-09,23.8,16.4,1025.5,19.0,4.6,,0.0,1025.2,10.2,9.0,E,24.3,1.0
WNW,50.0,No,Sydney,No,76.0,0.0,,22.9,2008-03-10,25.5,19.3,1025.1,24.0,4.6,,0.0,1022.5,10.8,9.0,NE,26.3,1.0
ENE,58.0,No,Sydney,No,72.0,0.0,,21.9,2008-03-11,26.0,18.6,1022.0,20.0,7.6,,0.0,1021.4,11.3,2.0,E,26.1,0.0
W,60.0,No,Sydney,No,77.0,1.0,,22.2,2008-03-12,25.0,19.3,1021.9,22.0,7.0,,0.0,1018.8,11.1,7.0,NE,26.4,1.0
WNW,69.0,No,Sydney,No,84.0,4.0,,22.4,2008-03-13,25.3,19.2,1019.7,20.0,6.0,,0.0,1019.0,10.6,6.0,ESE,26.1,1.0
W,62.0,No,Sydney,No,84.0,1.0,,21.8,2008-03-14,25.7,18.8,1022.8,24.0,5.4,,0.0,1020.0,11.0,9.0,ENE,26.0,3.0
NW,64.0,No,Sydney,No,80.0,1.0,,22.5,2008-03-15,25.6,19.3,1022.1,20.0,7.0,,0.0,1020.9,11.3,2.0,ENE,26.1,1.0
W,69.0,No,Sydney,No,81.0,2.0,,22.8,2008-03-16,24.7,19.7,1024.6,24.0,5.6,,0.0,1022.6,10.1,7.0,E,25.8,2.0
WNW,60.0,No,Sydney,No,82.0,1.0,,22.0,2008-03-17,25.4,19.5,1024.8,,6.4,,0.0,1022.8,10.0,4.0,,25.7,4.0
N,58.0,No,Sydney,No,73.0,2.0,,22.2,2008-03-18,25.6,19.0,1023.3,20.0,8.0,,0.0,1020.0,9.7,11.0,ENE,26.7,0.0
SSE,60.0,No,Sydney,No,70.0,7.0,,23.9,2008-03-19,24.9,19.9,1021.2,13.0,6.6,,0.0,1019.4,6.3,7.0,E,26.9,5.0
NNE,58.0,No,Sydney,No,70.0,2.0,,23.5,2008-03-20,27.6,19.7,1014.3,17.0,6.0,,0.0,1009.6,10.4,6.0,NE,28.1,2.0
S,80.0,No,Sydney,Yes,87.0,8.0,,17.8,2008-03-21,18.4,17.7,1017.3,22.0,7.0,,1.0,1018.9,0.0,26.0,SSW,19.6,8.0
ESE,60.0,Yes,Sydney,No,81.0,7.0,,19.6,2008-03-22,21.7,16.9,1022.8,30.0,2.2,,2.2,1022.2,0.6,24.0,E,23.2,7.0
WNW,57.0,No,Sydney,Yes,82.0,6.0,,18.5,2008-03-23,24.8,16.3,1023.1,13.0,4.0,,0.4,1020.6,6.1,9.0,ESE,24.8,5.0
NNW,72.0,Yes,Sydney,No,95.0,2.0,,19.9,2008-03-24,23.3,18.5,1018.7,26.0,2.6,,17.0,1015.3,8.0,7.0,ENE,24.3,6.0
NE,58.0,No,Sydney,Yes,81.0,7.0,,21.4,2008-03-25,27.0,19.8,1011.1,17.0,6.4,,0.4,1006.9,2.5,4.0,NNW,27.5,5.0
,38.0,Yes,Sydney,No,76.0,5.0,,20.5,2008-03-26,27.1,17.0,1008.9,6.0,2.4,,19.0,1007.9,10.5,0.0,NW,27.2,1.0
W,42.0,No,Sydney,No,52.0,1.0,,17.5,2008-03-27,21.8,15.0,1014.7,19.0,5.8,,0.0,1013.4,11.0,20.0,ESE,23.6,1.0
SSW,51.0,No,Sydney,No,71.0,3.0,,18.3,2008-03-28,21.2,15.2,1017.1,17.0,2.6,,0.0,1016.2,8.3,13.0,SE,21.7,4.0
W,65.0,No,Sydney,No,85.0,2.0,,16.7,2008-03-29,21.7,14.4,1015.4,15.0,4.8,,0.2,1011.2,9.3,15.0,E,22.9,3.0
W,22.0,No,Sydney,No,61.0,1.0,,16.9,2008-03-30,25.9,13.1,1013.0,15.0,4.6,,0.0,1009.0,10.9,22.0,WNW,26.8,0.0
WNW,31.0,No,Sydney,No,57.0,1.0,,16.3,2008-03-31,24.9,13.5,1015.0,17.0,5.8,,0.0,1012.5,10.4,9.0,WNW,25.6,4.0
W,54.0,No,Sydney,No,55.0,1.0,,16.7,2008-04-01,23.3,13.7,1023.0,15.0,6.6,,0.0,1021.5,11.0,20.0,ESE,23.9,1.0
W,34.0,No,Sydney,No,75.0,7.0,,17.8,2008-04-02,28.0,14.1,1019.0,22.0,3.8,,0.0,1012.4,10.5,6.0,N,28.7,1.0
SW,21.0,No,Sydney,No,42.0,1.0,,16.6,2008-04-03,21.2,16.4,1009.9,20.0,10.6,,0.0,1010.8,9.7,26.0,WSW,22.2,6.0
W,37.0,No,Sydney,No,47.0,0.0,,13.9,2008-04-04,21.0,11.2,1020.8,15.0,7.6,,0.0,1019.2,10.6,24.0,E,22.2,1.0
WNW,50.0,No,Sydney,No,71.0,1.0,,15.2,2008-04-05,21.0,11.6,1024.5,17.0,4.2,,0.0,1023.4,10.7,13.0,E,22.7,0.0
W,55.0,No,Sydney,Yes,71.0,6.0,,17.7,2008-04-06,22.1,13.1,1027.2,20.0,3.6,,0.0,1024.6,6.4,13.0,ESE,22.7,5.0
SSW,70.0,Yes,Sydney,Yes,83.0,6.0,,18.2,2008-04-07,19.8,15.3,1026.3,15.0,3.2,,12.0,1024.2,4.7,11.0,SSE,22.0,5.0
SE,75.0,Yes,Sydney,Yes,86.0,6.0,,17.0,2008-04-08,18.9,14.6,1026.5,17.0,5.4,,9.6,1024.1,5.1,20.0,SE,22.1,6.0
W,62.0,Yes,Sydney,Yes,96.0,5.0,,16.3,2008-04-09,21.1,15.6,1024.6,20.0,5.4,,22.8,1021.4,5.8,13.0,E,22.2,7.0
W,60.0,Yes,Sydney,No,77.0,1.0,,18.7,2008-04-10,21.9,13.8,1022.1,15.0,3.6,,2.2,1019.7,10.6,15.0,E,22.7,5.0
W,61.0,No,Sydney,No,83.0,2.0,,17.1,2008-04-11,22.1,14.1,1020.1,15.0,3.2,,0.0,1017.5,8.9,15.0,E,23.5,4.0
W,59.0,No,Sydney,No,79.0,4.0,,17.6,2008-04-12,22.2,14.0,1018.6,9.0,4.0,,0.0,1016.0,7.8,11.0,E,23.8,7.0
W,75.0,No,Sydney,Yes,81.0,6.0,,17.4,2008-04-13,19.7,15.1,1016.4,4.0,1.8,,0.0,1013.4,6.6,11.0,ESE,22.7,5.0
SSW,64.0,Yes,Sydney,Yes,82.0,3.0,,15.9,2008-04-14,18.8,13.2,1019.6,30.0,3.2,,11.0,1019.2,5.2,19.0,S,18.9,7.0
SW,71.0,Yes,Sydney,Yes,85.0,7.0,,15.9,2008-04-15,19.0,13.8,1025.4,22.0,2.8,,2.8,1023.9,1.7,20.0,S,19.7,7.0
SSW,85.0,Yes,Sydney,Yes,78.0,8.0,,17.2,2008-04-16,16.2,13.8,1026.4,20.0,4.6,,1.4,1024.6,2.2,15.0,SSW,20.9,7.0
SSW,72.0,Yes,Sydney,Yes,91.0,7.0,,16.4,2008-04-17,19.4,14.9,1025.1,13.0,1.4,,4.6,1023.4,0.8,17.0,S,19.7,7.0
W,75.0,Yes,Sydney,Yes,94.0,7.0,,16.4,2008-04-18,19.6,15.3,1025.4,15.0,3.2,,6.4,1023.7,0.3,4.0,SSE,20.0,8.0
SE,61.0,Yes,Sydney,Yes,51.0,7.0,,19.3,2008-04-19,19.5,15.9,1027.2,24.0,4.8,,5.0,1026.1,5.0,22.0,SE,21.4,6.0
ESE,75.0,Yes,Sydney,Yes,79.0,6.0,,17.3,2008-04-20,18.4,15.2,1026.6,6.0,4.0,,2.8,1023.7,1.3,15.0,S,19.1,7.0
SSW,70.0,Yes,Sydney,Yes,91.0,7.0,,16.6,2008-04-21,19.0,14.7,1023.2,19.0,7.5,,21.8,1021.4,4.6,9.0,S,19.3,8.0
SSE,55.0,Yes,Sydney,Yes,90.0,5.0,,16.1,2008-04-22,20.1,14.4,1023.6,20.0,3.6,,10.2,1022.3,2.0,9.0,SE,20.3,7.0
SW,89.0,Yes,Sydney,Yes,90.0,7.0,,16.2,2008-04-23,17.2,14.7,1024.0,22.0,4.0,,12.6,1022.1,0.7,6.0,SSE,17.9,7.0
S,80.0,Yes,Sydney,Yes,93.0,7.0,,16.8,2008-04-24,19.3,14.7,1021.3,20.0,1.6,,15.6,1018.6,2.5,19.0,S,20.0,7.0
SSE,69.0,Yes,Sydney,No,55.0,7.0,,19.7,2008-04-25,20.3,16.8,,15.0,2.6,,5.4,1013.9,2.6,17.0,S,21.2,7.0
W,38.0,No,Sydney,No,81.0,7.0,,15.6,2008-04-26,24.6,12.7,1011.2,6.0,2.6,,0.4,1007.0,10.2,15.0,E,24.8,2.0
NNW,28.0,No,Sydney,No,51.0,2.0,,20.3,2008-04-27,25.7,15.6,1005.2,22.0,5.2,,0.0,999.1,7.6,20.0,N,26.1,6.0
W,33.0,No,Sydney,No,46.0,6.0,,13.7,2008-04-28,15.6,11.9,1007.4,24.0,7.6,,0.0,1008.6,8.5,20.0,WSW,16.8,2.0
W,41.0,No,Sydney,No,54.0,1.0,,11.7,2008-04-29,17.8,8.6,1020.4,9.0,3.8,,0.0,1019.8,10.5,24.0,SSE,18.4,1.0
W,50.0,No,Sydney,No,68.0,3.0,,11.6,2008-04-30,18.1,8.4,1024.2,17.0,3.6,,0.0,1021.3,9.8,15.0,E,19.6,1.0
WNW,56.0,No,Sydney,No,74.0,7.0,,13.4,2008-05-01,18.1,11.6,1019.7,7.0,4.0,,0.0,1016.7,2.7,11.0,W,18.2,7.0
W,44.0,No,Sydney,No,65.0,3.0,,14.5,2008-05-02,21.7,10.8,1018.7,17.0,2.4,,0.0,1015.3,9.1,19.0,WSW,22.2,1.0
W,52.0,No,Sydney,No,62.0,1.0,,14.1,2008-05-03,18.6,10.9,1019.3,11.0,3.4,,0.0,1016.9,10.5,19.0,SSE,19.6,1.0
W,47.0,No,Sydney,No,64.0,1.0,,12.4,2008-05-04,19.4,9.4,1021.1,11.0,3.6,,0.0,1018.3,10.3,22.0,SE,20.3,1.0
W,34.0,No,Sydney,No,71.0,2.0,,12.4,2008-05-05,22.2,9.4,1018.7,7.0,2.0,,0.0,1015.2,10.0,15.0,NW,22.3,1.0
W,48.0,No,Sydney,No,74.0,7.0,,13.7,2008-05-06,21.1,11.8,1017.1,9.0,3.4,,0.0,1013.3,3.1,9.0,WNW,23.6,6.0
W,44.0,No,Sydney,No,57.0,3.0,,16.5,2008-05-07,22.0,13.0,1014.3,13.0,3.6,,0.0,1011.8,9.4,22.0,SSE,23.0,1.0
W,45.0,No,Sydney,No,63.0,1.0,,14.0,2008-05-08,20.8,11.0,1019.2,15.0,3.2,,0.0,1017.5,10.2,24.0,S,21.8,1.0
W,60.0,No,Sydney,No,75.0,1.0,,14.3,2008-05-09,20.6,11.0,1021.4,11.0,3.2,,0.0,1020.2,10.1,17.0,SE,21.9,0.0
WNW,67.0,No,Sydney,No,86.0,1.0,,15.2,2008-05-10,19.3,12.6,1022.2,11.0,3.0,,0.0,1019.6,9.6,11.0,E,21.3,1.0
WNW,67.0,No,Sydney,No,84.0,7.0,,16.8,2008-05-11,18.7,14.0,1023.1,15.0,1.2,,0.0,1021.2,2.1,13.0,SSE,19.4,7.0
W,63.0,No,Sydney,No,88.0,1.0,,14.9,2008-05-12,19.2,12.4,1023.5,15.0,1.6,,0.0,1020.5,7.3,11.0,E,19.5,1.0
W,67.0,No,Sydney,No,88.0,7.0,,15.0,2008-05-13,18.1,13.2,1023.4,9.0,1.8,,0.0,1021.7,4.2,11.0,E,19.7,6.0
W,64.0,No,Sydney,No,82.0,1.0,,13.8,2008-05-14,20.0,11.2,1023.8,19.0,2.0,,0.0,1020.5,9.7,20.0,ENE,20.6,1.0
W,60.0,No,Sydney,Yes,90.0,1.0,,13.9,2008-05-15,21.3,12.0,1022.2,9.0,3.2,,0.2,1017.8,8.7,13.0,E,21.4,1.0
WNW,66.0,Yes,Sydney,No,78.0,2.0,,15.9,2008-05-16,20.9,13.8,1017.1,15.0,2.2,,1.2,1013.0,6.4,15.0,NE,23.2,6.0
NNW,41.0,No,Sydney,No,52.0,7.0,,19.2,2008-05-17,20.9,15.2,1008.4,17.0,4.2,,0.0,1003.6,6.9,20.0,NNW,21.8,3.0
W,36.0,No,Sydney,No,57.0,1.0,,11.6,2008-05-18,17.0,8.8,1007.0,31.0,4.2,,0.0,1006.3,9.4,19.0,W,17.8,1.0
W,36.0,No,Sydney,No,58.0,0.0,,12.5,2008-05-19,20.3,10.7,1015.7,7.0,4.4,,0.0,1013.3,9.9,22.0,WNW,20.5,1.0
W,38.0,No,Sydney,No,64.0,1.0,,13.0,2008-05-20,21.3,10.3,1020.1,7.0,3.0,,0.0,1017.5,10.0,24.0,W,21.7,1.0
WNW,64.0,No,Sydney,No,74.0,7.0,,13.5,2008-05-21,17.3,11.1,1022.4,22.0,2.4,,0.0,1022.8,6.1,19.0,S,18.9,4.0
SSW,52.0,No,Sydney,No,63.0,2.0,,15.1,2008-05-22,17.4,11.9,1028.2,19.0,4.0,,0.0,1026.2,7.5,20.0,SSE,18.7,1.0
WNW,53.0,No,Sydney,No,76.0,5.0,,12.7,2008-05-23,17.1,11.0,1026.9,13.0,3.4,,0.0,1024.6,5.4,17.0,SSE,18.4,1.0
W,39.0,No,Sydney,No,71.0,1.0,,13.3,2008-05-24,19.3,11.4,1025.4,2.0,2.4,,0.0,1022.7,9.1,13.0,NW,20.1,1.0
W,58.0,No,Sydney,No,78.0,3.0,,11.1,2008-05-25,16.9,8.8,1025.1,11.0,3.6,,0.0,1022.2,6.5,17.0,ENE,18.3,4.0
W,58.0,No,Sydney,No,81.0,2.0,,12.9,2008-05-26,19.5,10.9,1025.9,13.0,0.4,,0.4,1022.6,9.1,20.0,ENE,21.1,6.0
W,71.0,No,Sydney,No,82.0,1.0,,13.6,2008-05-27,19.1,11.5,1024.6,13.0,3.2,,0.0,1021.8,8.7,15.0,E,22.4,3.0
W,74.0,No,Sydney,No,80.0,6.0,,12.8,2008-05-28,18.6,11.0,1025.6,2.0,1.6,,0.0,1023.9,3.9,26.0,NE,19.2,3.0
W,76.0,No,Sydney,No,86.0,2.0,,12.7,2008-05-29,17.6,11.0,1030.2,4.0,1.0,,1.0,1029.1,4.6,19.0,S,18.6,3.0
W,58.0,No,Sydney,No,87.0,2.0,,12.7,2008-05-30,19.6,10.9,1032.0,7.0,1.4,,0.2,1028.7,5.6,19.0,E,21.0,1.0
WNW,61.0,No,Sydney,No,90.0,1.0,,11.7,2008-05-31,19.4,10.8,1028.6,17.0,1.0,,0.0,1026.66,9.4,17.0,SSE,20.1,1.0
W,74.0,No,Sydney,Yes,91.0,7.0,,14.3,2008-06-01,18.7,11.6,1029.3,17.0,2.2,,0.2,1027.0,0.3,19.0,SE,20.5,7.0
W,90.0,Yes,Sydney,Yes,97.0,7.0,,15.3,2008-06-02,17.1,14.3,1027.3,7.0,1.8,,22.0,1024.8,0.1,9.0,W,17.6,8.0
W,90.0,Yes,Sydney,Yes,98.0,8.0,,15.6,2008-06-03,16.7,15.2,1026.4,22.0,0.4,,4.0,1024.1,0.0,17.0,E,19.1,8.0
SE,88.0,Yes,Sydney,Yes,87.0,8.0,,17.5,2008-06-04,17.2,15.5,1023.1,26.0,2.4,,9.2,1020.5,0.0,19.0,ESE,18.3,8.0
SSW,84.0,Yes,Sydney,Yes,82.0,8.0,,16.0,2008-06-05,16.6,15.2,1020.1,24.0,2.4,,46.4,1018.6,0.0,24.0,S,16.9,7.0
WSW,70.0,Yes,Sydney,No,81.0,6.0,,15.1,2008-06-06,16.6,14.7,1021.2,24.0,0.4,,12.4,1020.3,1.8,15.0,SSW,17.4,7.0
W,49.0,No,Sydney,Yes,76.0,1.0,,13.3,2008-06-07,17.9,11.7,1025.0,24.0,2.2,,0.0,1025.7,8.8,19.0,S,18.2,1.0
WNW,71.0,Yes,Sydney,Yes,97.0,7.0,,14.1,2008-06-08,17.2,12.7,1032.1,17.0,1.4,,6.0,1029.8,0.5,17.0,ESE,17.7,8.0
W,89.0,Yes,Sydney,Yes,96.0,8.0,,13.9,2008-06-09,16.2,13.0,1030.9,2.0,1.2,,3.6,1028.0,1.2,13.0,ESE,16.9,7.0
W,68.0,Yes,Sydney,No,98.0,1.0,,13.2,2008-06-10,19.1,12.4,1027.5,9.0,1.6,,1.6,1023.9,3.9,13.0,N,19.9,7.0
NNW,70.0,No,Sydney,Yes,74.0,8.0,,17.3,2008-06-11,19.6,13.2,1022.9,4.0,1.8,,0.0,1020.6,0.0,6.0,N,19.9,7.0
W,64.0,Yes,Sydney,No,97.0,1.0,,14.1,2008-06-12,20.1,13.7,1022.4,7.0,1.8,,5.4,1018.1,6.9,11.0,ENE,22.1,8.0
NW,42.0,No,Sydney,No,67.0,2.0,,16.6,2008-06-13,16.7,14.0,1012.2,26.0,3.4,,0.0,1011.5,8.6,20.0,WSW,18.8,1.0
W,52.0,No,Sydney,No,49.0,7.0,,11.2,2008-06-14,14.1,9.6,1022.0,24.0,3.8,,0.0,1022.5,3.4,30.0,SW,14.6,5.0
SSW,87.0,No,Sydney,Yes,75.0,8.0,,13.7,2008-06-15,14.5,10.6,1024.4,26.0,2.8,,0.0,1022.8,0.1,24.0,SSW,15.3,7.0
SSW,83.0,Yes,Sydney,Yes,86.0,7.0,,15.0,2008-06-16,15.8,13.3,1024.2,20.0,5.0,,7.2,1023.0,2.4,19.0,SSW,16.8,6.0
W,73.0,Yes,Sydney,No,88.0,7.0,,14.2,2008-06-17,17.3,13.1,1026.7,13.0,0.8,,3.4,1024.8,1.3,11.0,SSW,17.5,7.0
W,69.0,No,Sydney,No,90.0,8.0,,14.8,2008-06-18,19.2,13.6,1025.5,2.0,1.6,,0.0,1022.1,4.1,13.0,NE,19.4,7.0
WNW,69.0,No,Sydney,Yes,91.0,7.0,,13.9,2008-06-19,18.6,12.8,1020.3,13.0,2.0,,0.0,1017.4,5.0,13.0,ESE,20.3,6.0
W,60.0,Yes,Sydney,Yes,81.0,7.0,,14.3,2008-06-20,17.2,13.8,1018.3,19.0,0.6,,3.6,1016.2,0.6,19.0,W,17.9,7.0
W,40.0,Yes,Sydney,No,66.0,1.0,,13.2,2008-06-21,18.0,11.6,1020.7,17.0,1.8,,2.2,1018.9,9.4,15.0,WSW,18.5,1.0
W,54.0,No,Sydney,No,61.0,3.0,,11.4,2008-06-22,16.3,9.7,1023.2,22.0,3.4,,0.0,1024.0,9.3,22.0,SSW,17.3,1.0
WNW,43.0,No,Sydney,No,74.0,7.0,,9.9,2008-06-23,17.0,8.2,1023.7,13.0,3.4,,0.0,1020.4,7.0,13.0,WSW,17.1,1.0
W,45.0,No,Sydney,No,72.0,1.0,,10.7,2008-06-24,18.8,9.2,1027.0,9.0,1.8,,0.0,1023.1,9.2,19.0,WNW,19.2,1.0
W,43.0,No,Sydney,No,69.0,0.0,,11.8,2008-06-25,19.4,9.9,1024.6,6.0,2.8,,0.0,1020.6,9.8,17.0,WNW,19.6,1.0
WNW,38.0,No,Sydney,No,47.0,1.0,,14.6,2008-06-26,19.3,10.2,1017.0,28.0,3.2,,0.0,1016.8,9.7,28.0,W,20.2,0.0
W,32.0,No,Sydney,No,57.0,0.0,,10.8,2008-06-27,18.9,9.5,1025.9,15.0,4.4,,0.0,1023.6,9.3,24.0,WSW,19.4,0.0
W,43.0,No,Sydney,No,68.0,1.0,,10.1,2008-06-28,18.1,7.9,1027.6,9.0,3.0,,0.0,1024.7,8.8,20.0,SSE,18.7,1.0
WNW,42.0,No,Sydney,No,84.0,1.0,,9.2,2008-06-29,20.8,7.9,1024.1,6.0,0.8,,0.0,1018.8,9.8,13.0,NNW,21.0,2.0
NNW,35.0,No,Sydney,No,47.0,1.0,,13.8,2008-06-30,21.6,9.2,1017.1,28.0,3.2,,0.0,1010.3,9.8,19.0,NW,22.1,1.0
,34.0,No,Sydney,No,45.0,1.0,,13.1,2008-07-01,19.2,10.3,1011.0,41.0,3.8,,0.2,1008.5,9.5,0.0,W,19.6,0.0
WNW,35.0,No,Sydney,No,55.0,1.0,,14.6,2008-07-02,18.8,10.8,1012.5,31.0,4.0,,0.0,1011.2,9.7,26.0,W,19.2,1.0
W,42.0,No,Sydney,Yes,63.0,1.0,,10.7,2008-07-03,17.4,9.2,1022.7,7.0,3.2,,0.0,1020.8,9.6,17.0,WNW,17.9,1.0
W,88.0,Yes,Sydney,Yes,84.0,7.0,,9.1,2008-07-04,12.9,8.2,1029.0,9.0,2.4,,1.2,1028.2,0.4,20.0,S,15.0,7.0
WNW,48.0,Yes,Sydney,No,78.0,6.0,,11.3,2008-07-05,16.8,9.1,1031.9,15.0,1.6,,14.2,1028.9,2.5,11.0,NE,17.4,6.0
W,59.0,No,Sydney,No,84.0,3.0,,9.8,2008-07-06,17.7,8.3,1029.2,4.0,2.2,,0.0,1025.7,7.8,15.0,SSE,18.4,1.0
