Wind_Dir_3_pm,Temp_3_pm_F,Rain_Tomorrow,Rainfall,Humidity_9_am,Evaporation,Wind_Dir_9_am,Humidity_3_pm,Min_Temp_F,Temp_9_am_F,Pressure_3_pm,Cloud_3_pm,Wind_Speed_9_am,Max_Temp_F,Sunshine,Location,Cloud_9_am,Date,Pressure_9_am,Wind_Gust_Dir,Wind_Gust_Speed,Wind_Speed_3_pm,Rain_Today
SW,86.53999999999999,No,0.2,71.0,4.4,W,67.0,76.46,84.2,1003.2,7.0,9.0,88.52,6.8,Cairns,8.0,2009-01-08,1005.9,NE,31.0,6.0,No
E,80.96,Yes,0.6,91.0,4.8,S,86.0,76.46,76.82,1001.9,8.0,17.0,85.28,0.2,Cairns,8.0,2009-01-09,1005.3,S,44.0,11.0,No
NE,76.64,Yes,68.2,96.0,8.8,SSE,93.0,71.78,75.38,1003.0,8.0,9.0,81.68,0.0,Cairns,8.0,2009-01-10,1005.0,S,35.0,13.0,Yes
ESE,80.96,Yes,47.0,74.0,2.8,S,66.0,73.4,77.9,1005.4,8.0,17.0,83.66,0.0,Cairns,7.0,2009-01-11,1006.7,SSE,39.0,13.0,Yes
NNW,77.54,Yes,278.4,96.0,,SSE,98.0,72.14,76.46,999.6,8.0,17.0,81.32,0.0,Cairns,8.0,2009-01-12,1003.5,NW,59.0,11.0,Yes
N,83.66,No,140.2,77.0,6.4,NNW,67.0,72.86,80.6,1001.2,6.0,20.0,86.36,6.2,Cairns,5.0,2009-01-13,1002.7,N,39.0,13.0,Yes
NE,86.36,No,0.0,69.0,6.0,SE,66.0,74.66,84.02,1005.5,1.0,11.0,87.61999999999999,11.7,Cairns,1.0,2009-01-14,1006.9,NE,30.0,15.0,No
NNE,86.0,Yes,0.0,73.0,6.2,ENE,69.0,75.74000000000001,84.2,1008.7,7.0,6.0,88.88000000000001,9.9,Cairns,3.0,2009-01-15,1010.2,WSW,28.0,13.0,No
SSE,80.24000000000001,Yes,10.4,73.0,6.4,ESE,89.0,76.1,85.64,1010.2,8.0,9.0,88.52,6.3,Cairns,3.0,2009-01-16,1011.7,ENE,33.0,15.0,Yes
NNE,86.9,Yes,12.8,77.0,5.8,SE,68.0,75.38,83.12,1008.2,6.0,9.0,88.52,7.3,Cairns,6.0,2009-01-17,1011.6,NNE,28.0,11.0,Yes
ESE,88.7,Yes,1.8,81.0,4.6,SSE,58.0,76.82,81.68,1008.8,7.0,15.0,89.96000000000001,4.0,Cairns,7.0,2009-01-18,1011.4,ESE,35.0,19.0,Yes
ESE,87.26,Yes,102.2,80.0,1.8,SE,62.0,73.04,78.98,1008.6,7.0,13.0,87.61999999999999,2.5,Cairns,8.0,2009-01-19,1012.3,SE,43.0,28.0,Yes
S,82.4,Yes,57.8,96.0,8.4,N,77.0,74.3,75.92,1008.9,8.0,13.0,84.56,0.8,Cairns,8.0,2009-01-20,1012.2,S,37.0,17.0,Yes
ESE,89.24,No,62.0,70.0,2.4,S,57.0,73.58,84.2,1007.9,4.0,13.0,90.14,11.8,Cairns,5.0,2009-01-21,1011.4,ESE,31.0,20.0,Yes
N,85.64,Yes,0.8,68.0,6.4,SE,76.0,75.2,85.64,1007.3,6.0,9.0,87.8,10.1,Cairns,7.0,2009-01-22,1009.7,NNE,24.0,17.0,No
N,87.08000000000001,No,3.4,81.0,7.4,,73.0,77.36,83.48,1008.5,6.0,0.0,87.8,7.3,Cairns,8.0,2009-01-23,1011.7,NNE,22.0,13.0,Yes
N,87.44,Yes,0.0,78.0,4.8,NNW,73.0,76.46,83.84,1007.7,6.0,2.0,89.24,8.1,Cairns,7.0,2009-01-24,1011.7,NNE,28.0,15.0,No
N,87.44,Yes,3.8,75.0,5.8,W,70.0,77.0,83.12,1006.9,7.0,11.0,88.88000000000001,5.9,Cairns,7.0,2009-01-25,1009.6,NNW,26.0,13.0,Yes
E,88.34,No,5.8,82.0,4.8,SSE,61.0,76.64,80.78,1007.8,7.0,22.0,89.24,5.4,Cairns,7.0,2009-01-26,1010.6,SE,35.0,7.0,Yes
ESE,86.72,No,0.0,73.0,6.2,SSE,62.0,77.18,82.58,1006.2,7.0,15.0,88.7,3.0,Cairns,7.0,2009-01-27,1010.2,ESE,37.0,22.0,No
ESE,87.08000000000001,Yes,0.0,71.0,5.6,SSE,56.0,75.2,80.42,1004.7,7.0,15.0,89.78,3.5,Cairns,7.0,2009-01-28,1008.3,ESE,37.0,17.0,No
ESE,87.98,No,11.8,69.0,6.2,SSE,60.0,73.4,81.68,1003.5,7.0,17.0,88.7,6.8,Cairns,7.0,2009-01-29,1007.2,SSE,35.0,20.0,Yes
NW,85.82,Yes,0.0,70.0,7.2,SSE,70.0,74.84,83.84,1001.0,7.0,11.0,89.06,4.4,Cairns,8.0,2009-01-30,1005.1,SSE,43.0,9.0,No
S,76.46,Yes,35.2,92.0,3.8,S,92.0,74.84,76.46,1001.9,8.0,19.0,78.25999999999999,3.4,Cairns,8.0,2009-01-31,1004.9,SSE,52.0,11.0,Yes
W,79.34,Yes,47.4,95.0,2.6,ENE,79.0,75.2,75.74000000000001,999.0,8.0,6.0,83.84,0.0,Cairns,8.0,2009-02-01,1002.6,WNW,48.0,26.0,Yes
N,85.64,Yes,18.2,75.0,2.6,NW,80.0,75.38,83.84,998.8,7.0,11.0,87.26,1.0,Cairns,8.0,2009-02-02,1001.6,WNW,33.0,17.0,Yes
SSE,82.94,Yes,6.6,94.0,4.0,,82.0,75.92,78.8,998.6,7.0,0.0,85.1,0.3,Cairns,8.0,2009-02-03,1002.2,SSE,24.0,15.0,Yes
SSE,86.0,Yes,37.2,96.0,3.8,SE,73.0,75.38,76.82,998.7,7.0,13.0,86.36,1.7,Cairns,8.0,2009-02-04,1002.1,NW,30.0,15.0,Yes
SSE,86.9,Yes,63.4,84.0,8.0,SE,70.0,75.56,80.78,998.8,7.0,13.0,88.7,5.5,Cairns,7.0,2009-02-05,1001.9,SE,41.0,20.0,Yes
NNE,82.94,Yes,48.4,89.0,6.6,SSE,82.0,75.92,78.62,998.4,7.0,9.0,86.9,1.9,Cairns,7.0,2009-02-06,1000.0,SSE,35.0,13.0,Yes
N,84.38000000000001,Yes,53.2,94.0,5.0,,83.0,77.54,80.6,1002.2,7.0,0.0,85.46000000000001,1.9,Cairns,8.0,2009-02-07,1004.3,N,31.0,17.0,Yes
NNE,85.1,Yes,121.6,89.0,,NE,82.0,76.28,81.68,1005.0,7.0,2.0,85.82,3.1,Cairns,7.0,2009-02-08,1006.2,S,22.0,9.0,Yes
NNW,82.94,Yes,6.8,82.0,2.8,ENE,85.0,77.0,83.3,1007.3,7.0,7.0,86.18,1.9,Cairns,7.0,2009-02-09,1009.3,N,30.0,17.0,Yes
NNW,82.75999999999999,Yes,13.2,76.0,3.0,NNW,84.0,76.28,84.2,1007.6,7.0,6.0,85.82,5.4,Cairns,7.0,2009-02-10,1010.3,WNW,28.0,9.0,Yes
N,86.72,Yes,2.0,71.0,5.6,NNW,75.0,76.82,84.56,1006.7,7.0,11.0,88.7,9.6,Cairns,8.0,2009-02-11,1009.4,N,31.0,24.0,Yes
NNW,86.0,No,15.2,92.0,7.2,S,77.0,76.64,78.62,1006.5,7.0,6.0,86.72,7.0,Cairns,7.0,2009-02-12,1008.8,SSE,28.0,17.0,Yes
N,87.08000000000001,Yes,0.0,77.0,5.0,,73.0,77.0,82.75999999999999,1007.3,7.0,0.0,88.7,6.7,Cairns,7.0,2009-02-13,1009.7,NNE,28.0,17.0,No
NNE,86.18,No,69.2,89.0,8.8,W,75.0,75.56,79.34,1006.4,7.0,7.0,87.26,1.6,Cairns,8.0,2009-02-14,1009.8,W,30.0,13.0,Yes
N,87.08000000000001,No,0.0,76.0,3.2,W,77.0,75.92,84.38000000000001,1004.7,6.0,9.0,89.41999999999999,8.5,Cairns,3.0,2009-02-15,1008.2,N,26.0,17.0,No
N,87.61999999999999,No,0.0,71.0,5.0,ESE,69.0,76.46,85.28,1003.3,2.0,6.0,90.86,11.6,Cairns,1.0,2009-02-16,1006.2,N,28.0,19.0,No
NE,88.7,No,0.0,60.0,5.2,,57.0,74.84,84.91999999999999,1002.2,2.0,0.0,92.3,10.7,Cairns,3.0,2009-02-17,1005.1,NE,31.0,19.0,No
NNE,89.78,No,0.0,63.0,6.8,,49.0,72.68,83.66,1002.0,1.0,0.0,91.03999999999999,6.8,Cairns,1.0,2009-02-18,1005.5,NE,28.0,13.0,No
N,89.41999999999999,No,0.0,59.0,7.4,ESE,63.0,73.4,85.64,1005.5,8.0,9.0,90.5,8.7,Cairns,4.0,2009-02-19,1007.7,N,26.0,15.0,No
NE,88.88000000000001,No,0.0,70.0,5.6,S,63.0,76.64,86.0,1006.3,6.0,13.0,90.86,9.7,Cairns,5.0,2009-02-20,1009.4,ENE,28.0,17.0,No
ESE,88.52,Yes,0.0,65.0,6.2,S,60.0,77.18,85.1,1004.2,7.0,15.0,91.4,5.0,Cairns,3.0,2009-02-21,1007.9,ESE,35.0,13.0,No
ENE,86.36,Yes,27.4,83.0,7.0,S,72.0,75.56,82.04,1005.5,7.0,15.0,87.8,4.9,Cairns,7.0,2009-02-22,1008.1,S,35.0,20.0,Yes
NE,86.72,Yes,28.4,83.0,6.4,WNW,71.0,74.84,80.06,1007.1,7.0,7.0,88.16,4.0,Cairns,7.0,2009-02-23,1009.5,NNE,33.0,19.0,Yes
NNE,84.56,Yes,41.6,83.0,3.4,S,70.0,75.02,77.36,1007.9,7.0,20.0,87.08000000000001,2.8,Cairns,7.0,2009-02-24,1011.1,NNE,33.0,9.0,Yes
ESE,87.26,No,17.0,85.0,6.2,SE,61.0,72.68,76.46,1007.7,6.0,13.0,89.6,7.5,Cairns,7.0,2009-02-25,1011.2,ENE,31.0,20.0,Yes
SE,85.28,Yes,0.0,72.0,7.0,S,68.0,76.46,83.48,1007.4,7.0,13.0,88.16,3.0,Cairns,7.0,2009-02-26,1010.1,SSE,35.0,22.0,No
SSE,84.56,Yes,1.2,70.0,3.6,SSE,71.0,74.48,82.4,1007.2,7.0,17.0,87.8,5.0,Cairns,4.0,2009-02-27,1009.7,SE,44.0,28.0,Yes
SE,88.88000000000001,No,2.0,64.0,4.8,SSE,57.0,76.28,83.12,1007.2,1.0,26.0,89.6,,Cairns,2.0,2009-02-28,1010.5,ESE,44.0,31.0,Yes
ESE,88.16,No,0.0,61.0,9.4,SSE,44.0,71.24000000000001,82.75999999999999,1008.3,1.0,22.0,89.24,11.1,Cairns,2.0,2009-03-01,1010.6,ESE,44.0,28.0,No
ESE,87.61999999999999,No,0.0,61.0,10.6,SSE,53.0,71.96,81.86,1007.4,1.0,20.0,89.6,10.9,Cairns,1.0,2009-03-02,1010.8,SE,48.0,31.0,No
ESE,88.34,No,0.0,61.0,8.8,SSE,57.0,76.28,83.66,1008.4,1.0,20.0,90.5,11.0,Cairns,1.0,2009-03-03,1011.7,SE,43.0,31.0,No
SE,86.18,No,0.0,71.0,8.6,SSE,66.0,77.72,84.02,1008.1,7.0,20.0,89.06,5.5,Cairns,7.0,2009-03-04,1010.6,SE,43.0,28.0,No
ESE,90.14,Yes,0.0,70.0,7.0,SSE,50.0,77.36,84.74,1006.0,7.0,17.0,93.02,8.4,Cairns,7.0,2009-03-05,1009.4,SE,43.0,31.0,No
SSE,75.2,Yes,15.2,93.0,9.0,SSE,100.0,76.64,77.54,1005.0,8.0,20.0,80.42,0.1,Cairns,8.0,2009-03-06,1007.6,SSE,48.0,31.0,Yes
NNW,84.02,Yes,86.4,78.0,6.4,SE,76.0,74.12,80.42,1003.8,8.0,4.0,86.72,1.9,Cairns,7.0,2009-03-07,1005.6,SSE,50.0,13.0,Yes
NE,86.9,Yes,12.4,77.0,4.4,WSW,71.0,73.94,82.4,1003.9,6.0,7.0,88.88000000000001,7.2,Cairns,6.0,2009-03-08,1006.3,NNE,33.0,24.0,Yes
NE,86.18,No,2.6,74.0,5.6,NNE,73.0,74.84,83.12,1006.3,6.0,4.0,87.61999999999999,7.9,Cairns,7.0,2009-03-09,1009.5,NE,28.0,17.0,Yes
E,86.18,Yes,0.0,88.0,5.6,W,73.0,76.28,79.16,1007.3,7.0,6.0,88.34,7.1,Cairns,7.0,2009-03-10,1010.4,,,13.0,No
SE,87.61999999999999,Yes,3.4,78.0,2.2,SSE,66.0,76.82,83.66,1007.8,4.0,13.0,89.24,1.8,Cairns,6.0,2009-03-11,1011.1,ESE,33.0,20.0,Yes
ESE,86.36,Yes,11.2,89.0,6.6,S,70.0,75.74000000000001,77.9,1009.1,6.0,20.0,87.08000000000001,7.4,Cairns,8.0,2009-03-12,1012.4,ESE,35.0,24.0,Yes
SE,87.26,No,2.8,73.0,4.6,SSE,67.0,76.1,84.2,1008.3,5.0,15.0,89.41999999999999,9.7,Cairns,3.0,2009-03-13,1011.9,SE,35.0,24.0,Yes
SE,84.74,No,0.0,74.0,6.2,SSE,70.0,74.66,83.66,1007.3,7.0,19.0,87.98,5.7,Cairns,7.0,2009-03-14,1011.0,SE,37.0,28.0,No
ESE,87.8,No,0.4,73.0,6.2,SSE,61.0,78.08,83.66,1006.9,2.0,22.0,89.24,9.8,Cairns,7.0,2009-03-15,1010.0,SE,39.0,26.0,No
ESE,86.72,No,0.0,66.0,6.6,SSE,57.0,72.68,83.84,1006.4,5.0,15.0,89.06,8.7,Cairns,6.0,2009-03-16,1009.1,SE,35.0,24.0,No
ESE,89.06,No,0.0,70.0,8.0,SSE,50.0,71.06,80.96,1005.5,7.0,13.0,90.68,7.2,Cairns,6.0,2009-03-17,1008.3,SE,33.0,24.0,No
ESE,86.53999999999999,Yes,0.0,63.0,5.4,SSE,60.0,76.64,83.66,1006.2,6.0,19.0,88.7,3.4,Cairns,5.0,2009-03-18,1008.6,SE,48.0,28.0,No
SSE,86.72,No,9.8,72.0,4.8,SSE,62.0,74.48,81.5,1005.7,6.0,24.0,89.24,8.1,Cairns,5.0,2009-03-19,1009.3,SE,48.0,19.0,Yes
ESE,89.06,No,0.0,67.0,7.4,SSE,56.0,75.38,83.3,1005.2,3.0,24.0,90.5,10.9,Cairns,4.0,2009-03-20,1008.4,ESE,41.0,24.0,No
ESE,88.7,No,0.0,61.0,8.0,SSE,51.0,76.28,83.66,1005.9,7.0,17.0,90.32,10.2,Cairns,7.0,2009-03-21,1009.0,SE,39.0,26.0,No
ESE,86.72,No,0.0,67.0,7.4,SSE,60.0,75.2,83.48,1007.3,7.0,24.0,90.14,9.1,Cairns,5.0,2009-03-22,1010.2,ESE,50.0,30.0,No
SE,86.9,Yes,0.0,61.0,7.8,SSE,48.0,73.75999999999999,82.94,1008.7,7.0,24.0,87.98,9.7,Cairns,7.0,2009-03-23,1012.1,SE,48.0,31.0,No
ESE,86.0,No,1.4,66.0,7.0,SSE,53.0,72.14,81.32,1011.1,3.0,24.0,88.52,9.8,Cairns,4.0,2009-03-24,1013.7,SE,44.0,30.0,Yes
ESE,84.91999999999999,No,0.0,66.0,9.8,SSE,52.0,72.68,80.96,1012.4,7.0,17.0,87.98,8.5,Cairns,8.0,2009-03-25,1015.5,SE,48.0,28.0,No
ESE,85.64,No,0.0,66.0,8.6,SSE,52.0,75.2,80.6,1012.8,2.0,19.0,87.44,8.4,Cairns,7.0,2009-03-26,1015.8,ESE,50.0,35.0,No
SE,86.0,Yes,1.0,62.0,7.6,SSE,47.0,73.22,79.88,1011.0,6.0,24.0,87.8,10.8,Cairns,4.0,2009-03-27,1014.6,SE,43.0,28.0,No
SE,85.1,No,5.2,68.0,8.6,SSE,44.0,71.78,79.88,1011.3,1.0,22.0,87.26,10.8,Cairns,2.0,2009-03-28,1013.8,SE,56.0,39.0,Yes
ESE,83.66,No,0.2,65.0,8.2,SSE,58.0,74.12,80.6,1010.0,2.0,24.0,87.26,10.5,Cairns,2.0,2009-03-29,1013.1,SE,56.0,30.0,No
ESE,86.9,No,0.0,65.0,8.8,SSE,47.0,68.9,79.7,1009.7,2.0,17.0,88.34,11.3,Cairns,1.0,2009-03-30,1013.4,SSE,35.0,20.0,No
NNE,83.66,No,0.0,56.0,5.6,NNE,63.0,63.86,78.98,1009.4,1.0,4.0,85.1,11.0,Cairns,0.0,2009-03-31,1012.2,NE,26.0,15.0,No
N,84.91999999999999,No,0.0,70.0,4.8,,51.0,65.84,78.44,1008.8,1.0,0.0,88.16,11.1,Cairns,0.0,2009-04-01,1011.3,NNE,20.0,13.0,No
NNE,84.56,No,0.0,65.0,6.0,SE,58.0,67.82,80.42,1010.2,1.0,11.0,86.72,11.0,Cairns,1.0,2009-04-02,1012.3,N,26.0,13.0,No
NNE,84.02,No,0.0,63.0,5.4,E,64.0,66.74000000000001,79.34,1010.4,1.0,4.0,85.64,10.8,Cairns,1.0,2009-04-03,1012.9,NE,28.0,15.0,No
E,87.61999999999999,No,0.0,71.0,5.4,NW,49.0,66.92,79.88,1009.4,1.0,2.0,89.96000000000001,10.7,Cairns,1.0,2009-04-04,1012.7,SE,33.0,24.0,No
E,86.0,No,0.0,62.0,8.0,SSE,62.0,69.8,83.48,1008.5,3.0,15.0,91.58000000000001,10.0,Cairns,1.0,2009-04-05,1010.9,ESE,43.0,28.0,No
ESE,88.7,No,0.0,70.0,7.6,SSE,54.0,72.5,82.94,1008.2,2.0,15.0,90.68,9.6,Cairns,5.0,2009-04-06,1011.2,SE,37.0,28.0,No
SE,86.18,Yes,0.0,66.0,6.8,SSE,64.0,77.36,83.48,1010.4,3.0,20.0,91.03999999999999,9.1,Cairns,3.0,2009-04-07,1012.8,ESE,44.0,30.0,No
SSE,78.98,Yes,2.4,87.0,7.8,S,90.0,76.28,79.16,1011.4,7.0,19.0,86.36,7.6,Cairns,7.0,2009-04-08,1013.7,SE,43.0,17.0,Yes
ESE,84.56,Yes,45.2,89.0,5.8,S,69.0,73.75999999999999,77.9,1010.7,7.0,17.0,86.0,2.9,Cairns,7.0,2009-04-09,1013.7,SE,41.0,24.0,Yes
SE,83.12,Yes,43.2,83.0,9.4,S,62.0,74.48,78.25999999999999,1011.1,7.0,20.0,85.82,8.0,Cairns,7.0,2009-04-10,1013.9,SE,39.0,22.0,Yes
SE,85.28,Yes,1.6,77.0,4.6,S,69.0,75.74000000000001,80.06,1012.1,6.0,22.0,87.8,6.9,Cairns,5.0,2009-04-11,1014.4,S,35.0,24.0,Yes
SSE,84.2,Yes,14.8,80.0,5.2,SSE,69.0,73.75999999999999,80.42,1011.0,4.0,19.0,85.82,6.4,Cairns,5.0,2009-04-12,1014.1,ESE,43.0,22.0,Yes
SSE,83.12,Yes,3.2,84.0,5.0,SSE,82.0,75.74000000000001,81.86,1007.6,5.0,17.0,88.52,7.7,Cairns,2.0,2009-04-13,1010.8,E,39.0,17.0,Yes
SSE,82.58,Yes,4.8,83.0,5.2,S,81.0,75.38,80.06,1007.4,6.0,13.0,85.46000000000001,5.6,Cairns,7.0,2009-04-14,1010.8,SE,31.0,17.0,Yes
NE,86.0,No,2.6,75.0,2.9,SE,72.0,75.56,84.2,1007.7,5.0,11.0,87.8,6.8,Cairns,2.0,2009-04-15,1011.3,ESE,31.0,15.0,Yes
NE,85.28,No,0.2,78.0,4.8,SE,70.0,76.46,82.94,1007.7,7.0,13.0,86.36,6.2,Cairns,6.0,2009-04-16,1011.0,SE,28.0,11.0,No
WSW,80.78,Yes,0.2,79.0,5.0,SSE,80.0,75.56,79.88,1009.7,7.0,19.0,86.72,6.2,Cairns,6.0,2009-04-17,1011.8,SSE,35.0,4.0,No
SE,83.66,No,15.8,70.0,3.8,SSE,54.0,73.04,80.78,1012.1,5.0,17.0,86.0,5.2,Cairns,3.0,2009-04-18,1014.5,SE,39.0,28.0,Yes
ENE,84.38000000000001,No,0.0,62.0,5.8,S,51.0,69.08,80.42,1010.1,4.0,15.0,85.46000000000001,9.6,Cairns,2.0,2009-04-19,1013.1,E,31.0,17.0,No
ENE,82.58,No,0.0,71.0,6.4,WNW,56.0,67.28,77.9,1008.9,7.0,4.0,84.56,10.4,Cairns,7.0,2009-04-20,1011.9,SE,24.0,13.0,No
