MinTempF,Location,MaxTempF,Temp3pmF,Temp9amF,WindDir3pm,Humidity9am,Cloud3pm,Rainfall,WindSpeed3pm,Cloud9am,WindSpeed9am,RainToday,Date,WindDir9am,RainTomorrow,Humidity3pm
68.36,Newcastle,87.44,85.64,75.2,NE,81.0,1.0,0.0,19.0,6.0,4.0,No,2009-01-28,NE,No,51.0
68.36,Newcastle,89.6,86.72,75.2,NE,80.0,1.0,0.0,22.0,3.0,19.0,No,2009-01-29,N,No,59.0
67.64,Newcastle,89.96000000000001,86.72,75.2,NE,67.0,1.0,0.0,28.0,0.0,4.0,No,2009-01-30,NE,No,51.0
69.08,Newcastle,94.64,93.91999999999999,77.36,NW,67.0,2.0,0.0,15.0,1.0,4.0,No,2009-01-31,NW,No,26.0
67.28,Newcastle,88.52,86.36,74.48,SE,75.0,0.0,0.0,28.0,0.0,0.0,No,2009-02-01,,No,53.0
69.08,Newcastle,87.8,84.91999999999999,77.72,NE,74.0,3.0,0.0,28.0,3.0,4.0,No,2009-02-02,NE,No,52.0
67.28,Newcastle,89.24,88.7,73.4,SE,74.0,3.0,0.0,11.0,3.0,4.0,No,2009-02-03,N,No,51.0
70.52,Newcastle,87.8,84.91999999999999,77.0,SE,76.0,1.0,0.0,7.0,6.0,4.0,No,2009-02-04,SE,No,62.0
69.8,Newcastle,93.56,91.4,76.64,SE,74.0,0.0,0.0,7.0,0.0,4.0,No,2009-02-05,NE,No,47.0
70.52,Newcastle,95.0,91.76,78.08,SE,72.0,0.0,0.0,15.0,0.0,0.0,No,2009-02-06,,No,44.0
71.96,Newcastle,100.03999999999999,96.08000000000001,81.32,SE,51.0,0.0,0.0,19.0,1.0,7.0,No,2009-02-07,NE,No,31.0
68.0,Newcastle,93.56,91.76,76.64,SE,61.0,0.0,0.0,11.0,0.0,15.0,No,2009-02-08,NE,No,43.0
68.36,Newcastle,81.68,,75.92,,77.0,,0.0,,5.0,7.0,No,2009-02-09,SE,No,
68.0,Newcastle,77.0,72.68,69.8,WSW,89.0,8.0,0.8,7.0,8.0,4.0,No,2009-02-10,SW,Yes,83.0
62.959999999999994,Newcastle,74.84,72.68,63.32,SE,94.0,8.0,13.4,15.0,8.0,11.0,Yes,2009-02-11,SW,Yes,69.0
61.88,Newcastle,71.24000000000001,68.0,65.12,SE,82.0,8.0,13.2,19.0,7.0,7.0,Yes,2009-02-12,SE,Yes,71.0
61.519999999999996,Newcastle,75.92,73.4,62.6,NW,96.0,7.0,45.4,19.0,8.0,7.0,Yes,2009-02-13,SE,Yes,58.0
62.6,Newcastle,67.28,62.6,66.2,SE,81.0,8.0,3.6,9.0,8.0,19.0,Yes,2009-02-14,SE,Yes,100.0
63.32,Newcastle,73.04,,65.12,,100.0,,147.2,,8.0,0.0,Yes,2009-02-15,,Yes,
64.4,Newcastle,77.0,75.2,72.32,SE,69.0,7.0,13.8,37.0,7.0,28.0,Yes,2009-02-16,SE,No,60.0
65.84,Newcastle,74.12,69.8,70.16,SE,73.0,8.0,0.0,9.0,8.0,9.0,No,2009-02-17,SE,Yes,86.0
65.48,Newcastle,78.08,76.64,67.64,SE,92.0,7.0,22.6,4.0,8.0,0.0,Yes,2009-02-18,,No,71.0
66.2,Newcastle,86.0,81.68,69.8,SE,91.0,5.0,0.0,11.0,7.0,0.0,No,2009-02-19,,Yes,61.0
69.8,Newcastle,85.28,82.4,73.4,SE,86.0,2.0,2.6,7.0,7.0,0.0,Yes,2009-02-20,,No,70.0
71.6,Newcastle,78.44,74.84,75.2,SE,78.0,8.0,0.0,9.0,8.0,6.0,No,2009-02-21,SE,No,76.0
65.48,Newcastle,79.88,78.8,73.75999999999999,SE,73.0,2.0,0.0,4.0,5.0,4.0,No,2009-02-22,SE,No,62.0
66.2,Newcastle,87.08000000000001,86.36,72.32,NE,79.0,1.0,0.0,4.0,1.0,0.0,No,2009-02-23,,Yes,54.0
69.44,Newcastle,94.28,86.36,75.56,SE,82.0,5.0,1.4,9.0,1.0,4.0,Yes,2009-02-24,NW,No,51.0
70.52,Newcastle,81.68,80.6,73.75999999999999,SE,82.0,4.0,0.0,9.0,8.0,0.0,No,2009-02-25,,No,68.0
70.52,Newcastle,76.64,74.12,72.32,SE,66.0,5.0,0.0,37.0,7.0,7.0,No,2009-02-26,SE,No,62.0
63.68,Newcastle,76.28,74.48,71.6,SE,72.0,5.0,0.0,19.0,5.0,4.0,No,2009-02-27,S,No,57.0
58.28,Newcastle,88.52,80.6,63.32,SE,88.0,5.0,0.0,9.0,6.0,4.0,No,2009-02-28,NW,No,59.0
57.56,Newcastle,79.52,,74.12,,75.0,,0.0,,6.0,7.0,No,2009-03-01,SE,No,
68.36,Newcastle,80.6,79.52,72.68,NE,66.0,4.0,0.0,4.0,8.0,4.0,No,2009-03-02,SE,No,61.0
68.36,Newcastle,82.4,81.68,74.48,NE,69.0,3.0,0.0,11.0,5.0,4.0,No,2009-03-03,NE,No,62.0
71.24000000000001,Newcastle,84.2,74.84,73.04,SE,86.0,8.0,0.0,9.0,6.0,0.0,No,2009-03-04,,No,80.0
53.96,Newcastle,74.84,73.04,64.04,SE,53.0,2.0,0.0,9.0,0.0,4.0,No,2009-03-05,NW,No,37.0
54.32,Newcastle,76.64,72.68,63.32,,78.0,4.0,0.0,0.0,1.0,0.0,No,2009-03-06,,No,57.0
58.28,Newcastle,80.96,77.72,66.92,SE,85.0,1.0,0.0,4.0,1.0,0.0,No,2009-03-07,,No,67.0
66.2,Newcastle,80.96,80.24000000000001,73.75999999999999,SE,78.0,1.0,0.0,28.0,4.0,6.0,No,2009-03-08,SE,No,55.0
68.72,Newcastle,79.88,78.44,74.84,SE,71.0,4.0,0.0,19.0,5.0,19.0,No,2009-03-09,SE,No,63.0
70.52,Newcastle,79.16,76.64,72.32,NE,68.0,7.0,0.0,11.0,8.0,15.0,No,2009-03-10,NE,No,58.0
68.0,Newcastle,78.44,77.0,74.48,SE,74.0,4.0,0.0,19.0,6.0,19.0,No,2009-03-11,SE,No,60.0
65.48,Newcastle,80.6,78.08,73.4,SE,65.0,5.0,0.0,37.0,1.0,4.0,No,2009-03-12,NE,No,58.0
65.84,Newcastle,83.48,81.32,70.52,SE,77.0,5.0,0.0,4.0,5.0,4.0,No,2009-03-13,N,Yes,57.0
64.75999999999999,Newcastle,86.36,84.91999999999999,68.72,NE,96.0,5.0,3.2,15.0,6.0,0.0,Yes,2009-03-14,,Yes,53.0
63.32,Newcastle,89.6,88.52,70.52,NW,86.0,3.0,4.2,4.0,1.0,0.0,Yes,2009-03-15,,No,51.0
64.04,Newcastle,77.0,76.64,66.2,N,46.0,2.0,0.4,4.0,7.0,4.0,No,2009-03-16,SE,No,46.0
53.96,Newcastle,77.0,74.12,64.4,SE,62.0,0.0,0.0,11.0,0.0,0.0,No,2009-03-17,,No,40.0
56.48,Newcastle,78.44,77.36,64.4,S,86.0,2.0,0.0,19.0,3.0,0.0,No,2009-03-18,,No,57.0
57.92,Newcastle,84.2,80.6,65.12,NE,88.0,1.0,0.0,6.0,0.0,0.0,No,2009-03-19,,No,63.0
64.04,Newcastle,82.75999999999999,80.24000000000001,72.68,SE,83.0,1.0,0.0,19.0,0.0,0.0,No,2009-03-20,,No,64.0
65.84,Newcastle,79.88,75.02,71.6,ESE,91.0,5.0,0.0,13.0,6.0,4.0,No,2009-03-21,SE,No,70.0
61.16,Newcastle,81.32,80.6,70.52,SE,87.0,2.0,0.0,11.0,1.0,0.0,No,2009-03-22,,No,60.0
59.72,Newcastle,83.48,82.4,67.1,SE,82.0,1.0,0.0,7.0,0.0,0.0,No,2009-03-23,,No,69.0
62.6,Newcastle,86.36,84.91999999999999,69.08,SE,87.0,0.0,0.0,11.0,0.0,0.0,No,2009-03-24,,No,
64.04,Newcastle,88.52,87.44,68.0,NE,81.0,1.0,0.0,4.0,5.0,4.0,No,2009-03-25,NE,No,52.0
61.519999999999996,Newcastle,88.16,83.84,68.0,SE,83.0,1.0,0.0,4.0,1.0,4.0,No,2009-03-26,NW,Yes,51.0
67.64,Newcastle,78.08,71.96,71.6,SE,74.0,8.0,2.2,28.0,6.0,19.0,Yes,2009-03-27,SE,No,69.0
60.08,Newcastle,77.72,75.92,68.72,SE,78.0,1.0,0.0,4.0,5.0,0.0,No,2009-03-28,,No,49.0
59.36,Newcastle,78.44,76.64,68.72,SE,81.0,1.0,0.0,11.0,1.0,0.0,No,2009-03-29,,No,58.0
66.56,Newcastle,78.44,74.12,71.6,SE,72.0,7.0,0.0,46.0,5.0,4.0,No,2009-03-30,SE,Yes,72.0
63.32,Newcastle,73.04,69.44,70.52,SE,72.0,8.0,35.2,19.0,8.0,28.0,Yes,2009-03-31,SE,Yes,92.0
66.92,Newcastle,74.84,71.06,71.96,SE,86.0,8.0,21.8,37.0,8.0,11.0,Yes,2009-04-01,SE,Yes,90.0
66.56,Newcastle,79.16,76.28,70.88,SE,91.0,7.0,67.0,11.0,7.0,0.0,Yes,2009-04-02,,No,77.0
68.0,Newcastle,80.6,77.72,73.04,SE,81.0,6.0,0.0,7.0,5.0,0.0,No,2009-04-03,,No,76.0
66.2,Newcastle,80.6,68.0,68.0,SE,81.0,8.0,0.0,9.0,7.0,0.0,No,2009-04-04,,Yes,91.0
62.6,Newcastle,77.0,,71.6,,58.0,,2.0,,4.0,0.0,Yes,2009-04-05,,No,
60.8,Newcastle,,69.8,68.0,SE,77.0,7.0,1.0,9.0,7.0,0.0,No,2009-04-06,,No,65.0
,Newcastle,,,,,,,0.0,,,,No,2009-04-07,,No,
,Newcastle,71.6,67.1,,SE,,8.0,0.0,9.0,,,No,2009-04-08,,No,77.0
54.5,Newcastle,73.4,,68.0,,77.0,,1.0,,4.0,0.0,No,2009-04-09,,No,
55.4,Newcastle,,,64.4,,90.0,,0.0,,2.0,0.0,No,2009-04-10,,No,
,Newcastle,,73.4,,,,8.0,0.0,,,,No,2009-04-11,,No,74.0
,Newcastle,79.7,,,,,,0.0,,,,No,2009-04-12,,No,
58.1,Newcastle,73.4,68.0,69.8,,91.0,8.0,0.0,0.0,8.0,0.0,No,2009-04-13,,Yes,100.0
63.5,Newcastle,79.7,77.9,67.1,,95.0,3.0,4.0,0.0,2.0,0.0,Yes,2009-04-14,,No,61.0
,Newcastle,82.4,82.4,,W,,0.0,0.0,9.0,,,No,2009-04-15,,No,39.0
59.9,Newcastle,,77.0,68.0,,52.0,0.0,0.0,0.0,0.0,0.0,No,2009-04-16,,No,37.0
,Newcastle,,71.6,,SE,,0.0,0.0,9.0,,,No,2009-04-17,,Yes,43.0
,Newcastle,,,,,,,2.0,,,,Yes,2009-04-18,,Yes,
,Newcastle,72.14,,66.56,,81.0,,14.0,,6.0,22.0,Yes,2009-04-19,SW,Yes,
57.92,Newcastle,70.34,68.72,68.18,S,62.0,7.0,10.0,15.0,5.0,37.0,Yes,2009-04-20,SE,Yes,54.0
62.959999999999994,Newcastle,71.96,69.44,68.72,SE,65.0,6.0,8.8,19.0,7.0,19.0,Yes,2009-04-21,SE,No,67.0
58.82,Newcastle,69.25999999999999,68.54,64.22,SE,87.0,6.0,0.4,22.0,7.0,0.0,No,2009-04-22,,Yes,60.0
,Newcastle,72.14,,65.12,,82.0,,2.0,,5.0,4.0,Yes,2009-04-23,SW,No,
49.28,Newcastle,71.96,70.88,55.76,,97.0,6.0,0.0,0.0,8.0,2.0,No,2009-04-24,N,No,68.0
55.04,Newcastle,75.56,65.66,66.2,NW,62.0,2.0,0.0,4.0,0.0,9.0,No,2009-04-25,SW,No,79.0
57.92,Newcastle,71.96,68.0,69.62,NW,46.0,1.0,0.0,52.0,1.0,,No,2009-04-26,,No,39.0
48.56,Newcastle,67.64,66.2,57.02,NW,53.0,1.0,0.0,11.0,0.0,19.0,No,2009-04-27,NW,No,37.0
46.04,Newcastle,72.68,70.88,64.04,NW,54.0,4.0,0.0,6.0,0.0,28.0,No,2009-04-28,NW,No,44.0
48.92,Newcastle,66.56,63.5,59.0,SE,66.0,7.0,0.0,4.0,7.0,0.0,No,2009-04-29,,Yes,72.0
54.68,Newcastle,68.0,63.5,58.1,SE,75.0,7.0,5.6,19.0,6.0,9.0,Yes,2009-04-30,SW,Yes,64.0
50.54,Newcastle,70.88,69.62,60.8,,80.0,3.0,5.6,0.0,3.0,0.0,Yes,2009-05-01,,No,54.0
49.46,Newcastle,73.04,68.9,60.440000000000005,,81.0,7.0,0.0,0.0,1.0,0.0,No,2009-05-02,,Yes,56.0
56.84,Newcastle,68.54,,61.88,,81.0,,18.6,,6.0,0.0,Yes,2009-05-03,,No,
49.46,Newcastle,72.32,70.52,58.82,,89.0,2.0,0.0,0.0,1.0,4.0,No,2009-05-04,N,Yes,57.0
55.4,Newcastle,68.72,67.28,61.16,S,94.0,6.0,7.2,9.0,8.0,2.0,Yes,2009-05-05,SW,Yes,65.0
54.32,Newcastle,71.06,68.72,59.72,,91.0,3.0,6.0,0.0,0.0,0.0,Yes,2009-05-06,,No,57.0
49.28,Newcastle,73.04,68.72,60.08,SW,76.0,2.0,0.0,4.0,0.0,4.0,No,2009-05-07,NW,Yes,49.0
52.7,Newcastle,63.68,60.8,61.16,,81.0,8.0,1.2,0.0,6.0,4.0,Yes,2009-05-08,SW,Yes,91.0
48.92,Newcastle,71.42,68.0,56.48,,92.0,1.0,5.4,0.0,1.0,0.0,Yes,2009-05-09,,No,59.0
,Newcastle,65.84,63.68,60.440000000000005,SE,75.0,6.0,0.0,28.0,6.0,0.0,No,2009-05-10,,Yes,60.0
51.26,Newcastle,67.1,65.3,56.3,SE,87.0,1.0,11.8,4.0,7.0,0.0,Yes,2009-05-11,,No,48.0
43.519999999999996,Newcastle,69.25999999999999,58.64,54.68,,81.0,1.0,0.0,0.0,1.0,4.0,No,2009-05-12,NW,No,89.0
45.32,Newcastle,70.16,69.08,55.4,,72.0,2.0,0.0,0.0,1.0,0.0,No,2009-05-13,,No,49.0
45.5,Newcastle,70.16,68.9,56.84,NW,58.0,1.0,0.0,4.0,0.0,0.0,No,2009-05-14,,No,41.0
50.54,Newcastle,72.14,70.34,59.18,NW,56.0,2.0,0.0,46.0,2.0,6.0,No,2009-05-15,W,No,39.0
56.84,Newcastle,74.12,71.06,62.24,W,49.0,3.0,0.0,19.0,3.0,19.0,No,2009-05-16,W,No,40.0
46.76,Newcastle,69.08,,57.2,,74.0,,0.0,,0.0,0.0,No,2009-05-17,,No,
51.08,Newcastle,71.96,68.0,59.36,SE,79.0,7.0,0.0,4.0,7.0,0.0,No,2009-05-18,,Yes,52.0
58.1,Newcastle,67.46,65.84,61.88,N,84.0,6.0,2.6,4.0,7.0,0.0,Yes,2009-05-19,,Yes,75.0
54.68,Newcastle,71.06,62.78,64.75999999999999,SE,62.0,8.0,13.2,9.0,6.0,6.0,Yes,2009-05-20,NE,Yes,89.0
60.08,Newcastle,68.9,62.24,66.74000000000001,SE,61.0,8.0,3.8,37.0,7.0,46.0,Yes,2009-05-21,SE,Yes,80.0
59.72,Newcastle,69.44,67.64,65.48,SE,64.0,8.0,14.0,28.0,8.0,46.0,Yes,2009-05-22,SE,Yes,67.0
57.56,Newcastle,72.68,68.18,68.72,SE,72.0,6.0,32.7,13.0,5.0,28.0,Yes,2009-05-23,SE,No,72.0
60.08,Newcastle,71.96,69.8,65.3,SW,75.0,4.0,0.0,6.0,5.0,0.0,No,2009-05-24,,Yes,57.0
59.0,Newcastle,70.7,67.1,62.959999999999994,,93.0,7.0,2.0,0.0,6.0,0.0,Yes,2009-05-25,,No,68.0
52.7,Newcastle,69.8,68.0,56.84,NE,97.0,6.0,0.0,4.0,8.0,4.0,No,2009-05-26,NE,No,61.0
53.24,Newcastle,71.42,68.72,61.7,,75.0,6.0,0.0,0.0,7.0,0.0,No,2009-05-27,,No,73.0
53.24,Newcastle,67.64,62.6,60.8,,84.0,7.0,0.0,0.0,1.0,2.0,No,2009-05-28,SW,Yes,95.0
54.5,Newcastle,66.38,59.18,56.3,SW,83.0,8.0,21.6,4.0,7.0,4.0,Yes,2009-05-29,SE,Yes,73.0
52.16,Newcastle,65.3,60.8,55.4,SE,86.0,7.0,2.6,4.0,7.0,2.0,Yes,2009-05-30,SW,Yes,79.0
53.96,Newcastle,68.0,64.4,58.28,SE,97.0,8.0,8.6,22.0,7.0,0.0,Yes,2009-05-31,,No,62.0
51.44,Newcastle,64.04,63.14,57.92,,82.0,8.0,0.0,0.0,7.0,0.0,No,2009-06-01,,No,67.0
52.16,Newcastle,69.25999999999999,65.3,59.9,NE,88.0,6.0,0.0,4.0,6.0,0.0,No,2009-06-02,,Yes,99.0
57.74,Newcastle,69.25999999999999,66.92,60.440000000000005,,97.0,7.0,3.4,0.0,8.0,0.0,Yes,2009-06-03,,No,77.0
53.96,Newcastle,64.75999999999999,63.68,57.56,,97.0,8.0,0.0,0.0,8.0,4.0,No,2009-06-04,NE,No,84.0
53.96,Newcastle,67.64,64.75999999999999,58.82,NW,94.0,5.0,0.4,4.0,1.0,2.0,No,2009-06-05,W,No,62.0
45.32,Newcastle,66.92,63.5,53.6,NW,76.0,1.0,0.0,4.0,0.0,4.0,No,2009-06-06,NW,No,53.0
48.2,Newcastle,66.56,61.519999999999996,52.34,NW,86.0,4.0,0.0,9.0,8.0,4.0,No,2009-06-07,NW,No,61.0
50.9,Newcastle,66.2,54.5,59.0,NW,68.0,2.0,0.0,6.0,1.0,19.0,No,2009-06-08,W,No,80.0
49.46,Newcastle,61.7,59.0,55.04,W,68.0,4.0,0.0,13.0,1.0,9.0,No,2009-06-09,NW,No,47.0
48.56,Newcastle,59.36,56.84,52.7,NW,69.0,1.0,0.0,19.0,1.0,28.0,No,2009-06-10,NE,No,37.0
38.660000000000004,Newcastle,57.74,,56.84,,53.0,,0.0,,0.0,0.0,No,2009-06-11,,No,
39.56,Newcastle,61.34,58.64,47.48,NW,65.0,1.0,0.0,4.0,0.0,6.0,No,2009-06-12,NE,No,45.0
41.0,Newcastle,64.4,60.62,48.2,W,72.0,7.0,0.0,4.0,7.0,0.0,No,2009-06-13,,No,42.0
44.239999999999995,Newcastle,68.0,,50.72,,72.0,,0.0,,7.0,0.0,No,2009-06-14,,No,
43.879999999999995,Newcastle,68.36,65.84,55.04,,74.0,1.0,0.0,0.0,0.0,4.0,No,2009-06-15,NW,No,43.0
44.239999999999995,Newcastle,59.72,57.56,52.16,E,78.0,7.0,0.0,11.0,6.0,0.0,No,2009-06-16,,Yes,87.0
50.54,Newcastle,62.6,60.440000000000005,54.5,SW,94.0,6.0,71.4,4.0,7.0,0.0,Yes,2009-06-17,,Yes,85.0
51.26,Newcastle,62.6,59.0,55.4,,97.0,6.0,12.2,0.0,6.0,0.0,Yes,2009-06-18,,Yes,94.0
54.14,Newcastle,63.5,62.6,55.76,SE,96.0,6.0,7.0,4.0,7.0,0.0,Yes,2009-06-19,,Yes,70.0
53.6,Newcastle,65.3,62.24,59.0,SE,93.0,5.0,22.0,4.0,4.0,0.0,Yes,2009-06-20,,Yes,86.0
54.68,Newcastle,67.1,66.2,59.0,,91.0,7.0,4.0,0.0,6.0,0.0,Yes,2009-06-21,,Yes,78.0
56.84,Newcastle,66.56,64.4,59.0,,94.0,2.0,23.6,0.0,6.0,4.0,Yes,2009-06-22,NW,No,75.0
47.84,Newcastle,70.88,66.2,50.9,,97.0,1.0,0.0,0.0,0.0,0.0,No,2009-06-23,,No,61.0
45.86,Newcastle,69.8,62.6,50.9,,94.0,1.0,0.2,0.0,3.0,2.0,No,2009-06-24,NW,No,61.0
44.239999999999995,Newcastle,64.04,62.059999999999995,52.7,W,64.0,3.0,0.2,19.0,4.0,4.0,No,2009-06-25,NW,No,53.0
46.22,Newcastle,66.02,63.32,53.42,NW,76.0,2.0,0.0,4.0,1.0,2.0,No,2009-06-26,W,No,48.0
