Location,Rainfall,Evaporation,Wind.Dir.3.pm,Temp.3.pm.C,Wind.Speed.9.am,Date,Pressure.9.am,Cloud.9.am,Cloud.3.pm,Wind.Gust.Dir,Temp.9.am.C,Min.Temp.C,Rain.Tomorrow,Humidity.9.am,Sunshine,Humidity.3.pm,Pressure.3.pm,Rain.Today,Wind.Speed.3.pm,Wind.Dir.9.am,Wind.Gust.Speed,Max.Temp.C
Darwin,0.0,7.4,NW,31.7,20.0,2008-08-13,1016.5,1.0,1.0,E,22.9,19.9,No,22.0,10.3,19.0,1012.5,No,26.0,SE,43.0,32.7
Darwin,0.0,8.0,NNW,29.4,20.0,2008-08-14,1015.9,3.0,5.0,NNE,23.4,19.8,No,25.0,11.0,27.0,1012.2,No,22.0,SE,31.0,32.0
Darwin,0.0,9.4,N,33.5,24.0,2008-08-15,1014.7,3.0,3.0,N,23.8,19.8,No,26.0,8.6,13.0,1010.4,No,11.0,SE,41.0,33.8
Darwin,0.0,8.2,NNW,30.8,30.0,2008-08-16,1015.6,3.0,2.0,ESE,23.6,20.5,No,15.0,11.1,13.0,1012.5,No,17.0,ESE,43.0,31.5
Darwin,0.0,9.8,SSE,29.8,26.0,2008-08-17,1017.6,1.0,1.0,E,21.7,18.3,No,18.0,10.8,8.0,1013.7,No,24.0,SE,44.0,30.8
Darwin,0.0,9.2,SE,29.5,31.0,2008-08-18,1018.4,2.0,1.0,SE,21.1,18.1,No,13.0,10.8,9.0,1014.7,No,17.0,SE,46.0,30.8
Darwin,0.0,10.1,N,30.5,20.0,2008-08-19,1016.8,2.0,2.0,E,21.5,17.7,No,24.0,10.6,20.0,1013.2,No,15.0,SE,48.0,31.3
Darwin,0.0,6.8,NNE,30.7,13.0,2008-08-20,1016.4,1.0,1.0,ENE,24.7,16.3,No,50.0,10.4,37.0,1013.0,No,22.0,NE,39.0,31.8
Darwin,0.0,7.2,NNW,29.5,13.0,2008-08-21,1016.9,0.0,4.0,E,25.1,20.2,No,70.0,11.0,48.0,1012.6,No,20.0,E,41.0,33.2
Darwin,0.0,6.6,ESE,33.2,17.0,2008-08-22,1015.8,2.0,3.0,E,24.7,19.4,No,67.0,10.1,25.0,1010.8,No,19.0,SSE,52.0,34.7
Darwin,0.0,11.0,SSE,30.1,24.0,2008-08-23,1015.5,7.0,4.0,ESE,22.1,22.0,No,17.0,8.7,15.0,1011.3,No,20.0,SE,48.0,31.7
Darwin,0.0,8.6,SE,32.1,19.0,2008-08-24,1016.1,6.0,3.0,ESE,23.1,21.1,No,24.0,8.6,26.0,1010.9,No,11.0,SE,37.0,32.7
Darwin,0.0,6.8,NNE,31.6,22.0,2008-08-25,1014.7,3.0,3.0,ENE,27.3,20.9,No,54.0,9.8,43.0,1010.1,No,31.0,E,48.0,32.9
Darwin,0.0,7.6,N,31.2,9.0,2008-08-26,1013.9,7.0,4.0,N,27.0,24.7,No,65.0,9.4,44.0,1010.2,No,30.0,SSE,46.0,33.1
Darwin,0.0,8.0,NNE,33.0,7.0,2008-08-27,1014.1,0.0,3.0,NE,27.2,22.0,No,63.0,11.0,43.0,1009.8,No,31.0,E,48.0,34.2
Darwin,0.0,6.4,NNW,30.6,11.0,2008-08-28,1013.8,1.0,1.0,NNW,27.6,22.6,No,68.0,11.0,52.0,1009.7,No,24.0,NE,33.0,32.9
Darwin,0.0,8.0,NNE,32.0,17.0,2008-08-29,1012.9,1.0,1.0,NNE,26.8,22.4,No,70.0,11.0,44.0,1009.0,No,28.0,NE,48.0,33.0
Darwin,0.0,7.7,N,30.9,15.0,2008-08-30,1013.4,1.0,3.0,E,27.4,22.7,No,62.0,9.4,47.0,1009.3,No,28.0,ENE,41.0,32.8
Darwin,0.0,6.6,NNW,30.9,6.0,2008-08-31,1014.4,3.0,2.0,NE,27.0,22.1,No,72.0,10.8,55.0,1010.0,No,24.0,E,33.0,32.4
Darwin,0.0,6.2,N,30.9,7.0,2008-09-01,1014.4,7.0,7.0,ENE,28.0,23.8,No,72.0,8.5,50.0,1010.4,No,26.0,ENE,39.0,33.3
Darwin,0.0,6.4,NW,30.0,0.0,2008-09-02,1014.4,4.0,5.0,E,27.0,23.5,No,73.0,10.5,57.0,1010.8,No,22.0,,52.0,34.1
Darwin,0.0,6.8,N,31.9,13.0,2008-09-03,1014.1,4.0,3.0,E,27.7,21.8,No,69.0,10.4,47.0,1009.4,No,28.0,ENE,43.0,34.8
Darwin,0.0,6.8,NNW,30.1,20.0,2008-09-04,1013.3,1.0,1.0,E,26.8,23.7,No,61.0,10.3,59.0,1009.0,No,24.0,SE,37.0,34.5
Darwin,0.0,8.2,N,30.8,11.0,2008-09-05,1012.5,1.0,1.0,E,27.2,21.8,No,66.0,10.4,54.0,1009.1,No,19.0,ENE,35.0,31.8
Darwin,0.0,7.2,NW,28.8,4.0,2008-09-06,1011.6,4.0,4.0,N,27.4,24.0,No,73.0,9.3,63.0,1008.7,No,22.0,N,33.0,30.9
Darwin,0.0,4.6,WNW,30.5,4.0,2008-09-07,1012.1,2.0,1.0,WNW,27.4,22.4,No,71.0,10.6,57.0,1007.9,No,26.0,SSW,33.0,31.8
Darwin,0.0,6.2,NW,31.5,9.0,2008-09-08,1012.9,3.0,3.0,WNW,27.5,22.5,No,67.0,10.5,55.0,1008.1,No,22.0,WSW,33.0,36.0
Darwin,0.0,7.0,NNW,32.4,9.0,2008-09-09,1013.4,1.0,1.0,E,28.1,23.0,No,68.0,10.3,30.0,1009.7,No,26.0,SSE,48.0,36.2
Darwin,0.0,8.0,NNW,32.6,13.0,2008-09-10,1013.6,1.0,8.0,E,27.5,21.0,No,63.0,9.9,24.0,1008.5,No,24.0,SSE,52.0,37.0
Darwin,0.0,6.4,NW,30.9,6.0,2008-09-11,1013.8,1.0,1.0,NW,27.1,21.7,No,74.0,10.3,50.0,1009.2,No,24.0,SW,33.0,32.1
Darwin,0.0,7.6,WNW,30.1,9.0,2008-09-12,1012.8,2.0,1.0,WNW,27.5,22.2,No,67.0,10.8,53.0,1008.7,No,26.0,WNW,35.0,32.0
Darwin,0.0,5.8,NNW,32.0,15.0,2008-09-13,1014.3,2.0,1.0,NNW,27.3,23.4,No,72.0,9.4,43.0,1011.0,No,17.0,NE,31.0,32.5
Darwin,0.0,7.8,NNW,31.6,11.0,2008-09-14,1014.8,1.0,4.0,N,27.7,22.7,No,74.0,10.4,56.0,1010.9,No,20.0,NNE,35.0,32.5
Darwin,0.0,7.6,NNW,29.6,7.0,2008-09-15,1014.4,7.0,7.0,NW,27.4,24.2,No,73.0,1.1,61.0,1011.3,No,17.0,NW,28.0,30.8
Darwin,0.0,4.0,NW,31.2,17.0,2008-09-16,1013.5,6.0,1.0,NW,27.3,23.0,No,77.0,10.2,52.0,1009.7,No,20.0,S,31.0,32.5
Darwin,0.0,7.0,NW,30.6,0.0,2008-09-17,1014.4,3.0,1.0,WNW,28.8,23.6,No,67.0,10.2,61.0,1010.8,No,30.0,,39.0,33.1
Darwin,0.0,6.4,WNW,32.9,11.0,2008-09-18,1014.0,1.0,6.0,WNW,29.0,24.8,No,68.0,9.0,42.0,1010.1,No,22.0,W,44.0,34.1
Darwin,0.0,7.8,NW,32.0,2.0,2008-09-19,1014.1,2.0,1.0,WNW,28.3,23.7,No,66.0,9.8,51.0,1009.8,No,28.0,WSW,35.0,33.2
Darwin,0.0,8.0,NNW,31.2,17.0,2008-09-20,1013.7,1.0,2.0,NNE,28.7,23.9,No,59.0,10.7,56.0,1009.8,No,24.0,NNE,39.0,33.3
Darwin,0.0,7.0,NNW,32.7,9.0,2008-09-21,1013.0,2.0,1.0,N,28.9,22.8,No,64.0,10.7,42.0,1009.0,No,24.0,N,37.0,33.4
Darwin,0.0,7.8,NNW,32.0,15.0,2008-09-22,1013.5,5.0,1.0,N,27.9,24.0,No,67.0,9.7,39.0,1009.4,No,20.0,NNW,33.0,32.9
Darwin,0.0,7.2,NNW,30.8,9.0,2008-09-23,1014.3,4.0,2.0,ESE,29.1,23.8,Yes,64.0,8.3,55.0,1010.3,No,22.0,NW,39.0,32.5
Darwin,5.2,7.0,SW,32.4,17.0,2008-09-24,1014.9,6.0,6.0,ENE,25.9,23.9,No,77.0,2.9,43.0,1010.7,Yes,19.0,ESE,35.0,33.3
Darwin,0.0,12.2,NNW,32.5,17.0,2008-09-25,1014.3,5.0,4.0,E,28.8,23.7,No,61.0,9.9,34.0,1010.1,No,24.0,ENE,46.0,34.5
Darwin,0.0,11.0,NNW,31.8,7.0,2008-09-26,1015.5,3.0,3.0,NNW,28.8,22.9,No,54.0,10.5,45.0,1010.8,No,22.0,ENE,37.0,34.3
Darwin,0.0,8.2,NNW,31.5,9.0,2008-09-27,1015.2,5.0,4.0,N,28.7,23.8,No,62.0,9.0,42.0,1010.9,No,24.0,ENE,35.0,32.7
Darwin,0.0,6.6,NNW,31.6,11.0,2008-09-28,1014.8,3.0,2.0,N,28.8,23.5,No,61.0,9.8,50.0,1010.9,No,24.0,NNE,35.0,33.0
Darwin,0.0,6.8,NW,30.9,6.0,2008-09-29,1013.8,1.0,1.0,NNW,28.7,23.8,No,57.0,10.5,52.0,1009.0,No,24.0,NNE,35.0,33.7
Darwin,0.0,7.0,NW,32.0,7.0,2008-09-30,1012.9,1.0,1.0,NNW,28.7,23.4,No,61.0,10.7,43.0,1009.1,No,24.0,W,37.0,33.4
Darwin,0.0,7.6,WNW,32.5,6.0,2008-10-01,1013.8,7.0,3.0,NNW,28.6,24.7,No,68.0,9.8,41.0,1009.9,No,20.0,NE,33.0,33.4
Darwin,0.0,8.0,NNW,32.4,15.0,2008-10-02,1014.6,4.0,1.0,NE,28.5,24.0,No,67.0,11.9,53.0,1010.4,No,20.0,E,41.0,34.5
Darwin,0.0,7.6,NNW,33.4,11.0,2008-10-03,1014.8,4.0,3.0,NNW,29.1,25.0,No,68.0,10.2,44.0,1009.9,No,24.0,SSE,39.0,34.6
Darwin,0.0,7.2,N,32.8,7.0,2008-10-04,1013.8,6.0,4.0,NNW,28.3,25.3,No,77.0,7.5,51.0,1009.6,No,26.0,NNE,37.0,33.3
Darwin,0.0,7.2,NNW,32.2,13.0,2008-10-05,1014.3,6.0,3.0,NW,29.0,25.7,No,68.0,8.8,50.0,1010.2,No,19.0,NE,31.0,33.4
Darwin,0.0,7.0,NNE,34.4,13.0,2008-10-06,1013.6,2.0,2.0,N,30.3,25.6,No,61.0,10.4,40.0,1008.9,No,33.0,E,50.0,36.1
Darwin,0.0,7.6,N,32.6,17.0,2008-10-07,1013.3,3.0,3.0,S,30.5,26.7,Yes,61.0,10.3,55.0,1008.8,No,26.0,E,57.0,34.0
Darwin,18.8,10.2,N,33.6,11.0,2008-10-08,1013.7,1.0,2.0,WNW,28.6,25.2,No,69.0,9.4,48.0,1008.9,Yes,20.0,SSE,35.0,34.3
Darwin,0.0,5.6,NNW,32.7,13.0,2008-10-09,1013.4,3.0,4.0,N,29.5,25.3,No,66.0,0.9,55.0,1009.7,No,22.0,NE,31.0,33.5
Darwin,0.0,5.0,N,32.9,17.0,2008-10-10,1014.1,3.0,2.0,N,28.5,24.8,No,80.0,10.4,52.0,1010.4,No,30.0,SE,46.0,35.5
Darwin,0.0,9.2,N,32.0,15.0,2008-10-11,1014.4,7.0,5.0,ENE,29.4,25.7,No,73.0,9.6,61.0,1009.6,No,28.0,S,41.0,36.8
Darwin,0.0,6.8,NW,32.6,15.0,2008-10-12,1012.6,2.0,2.0,NW,29.8,26.3,No,72.0,10.2,59.0,1008.8,No,28.0,SSW,35.0,33.9
Darwin,1.0,7.0,NW,32.8,7.0,2008-10-13,1012.5,1.0,3.0,WNW,30.2,25.4,No,64.0,10.4,60.0,1008.0,No,28.0,SSW,39.0,34.2
Darwin,0.0,7.6,NNW,32.6,13.0,2008-10-14,1012.5,4.0,5.0,N,30.5,26.5,Yes,62.0,8.1,54.0,1008.4,No,22.0,NNW,41.0,34.8
Darwin,57.6,12.4,E,34.0,13.0,2008-10-15,1013.0,7.0,6.0,E,26.9,22.1,Yes,83.0,5.5,48.0,1008.2,Yes,22.0,S,102.0,34.3
Darwin,13.8,9.8,NNW,31.4,6.0,2008-10-16,1011.1,5.0,2.0,NNW,28.5,20.6,No,74.0,9.1,63.0,1006.2,Yes,20.0,S,31.0,33.2
Darwin,0.4,5.6,W,28.9,9.0,2008-10-17,1010.2,6.0,7.0,SE,27.6,24.5,Yes,85.0,1.6,75.0,1007.5,No,9.0,ENE,54.0,30.1
Darwin,25.4,4.4,ENE,32.6,11.0,2008-10-18,1011.6,4.0,4.0,E,27.6,23.0,No,67.0,8.7,48.0,1008.9,Yes,22.0,SSE,46.0,33.3
Darwin,0.0,7.0,NNE,32.6,19.0,2008-10-19,1012.7,1.0,2.0,E,28.9,24.7,No,62.0,11.5,48.0,1009.2,No,24.0,E,37.0,34.8
Darwin,0.0,10.4,NNW,33.0,19.0,2008-10-20,1012.7,1.0,1.0,SE,29.6,25.2,No,64.0,11.3,51.0,1007.5,No,28.0,E,41.0,37.0
Darwin,0.0,7.6,NNE,33.2,22.0,2008-10-21,1011.3,6.0,5.0,NNE,30.6,25.9,No,67.0,11.2,56.0,1007.3,No,28.0,ENE,39.0,35.1
Darwin,0.0,7.6,SE,36.5,22.0,2008-10-22,1011.6,2.0,1.0,ESE,29.9,26.0,No,65.0,11.4,20.0,1006.5,No,17.0,E,63.0,37.5
Darwin,0.0,,NNW,34.4,13.0,2008-10-23,1011.6,0.0,1.0,E,29.6,25.3,No,66.0,11.4,41.0,1007.6,No,33.0,SSE,56.0,36.9
Darwin,0.0,,NNW,33.0,9.0,2008-10-24,1014.1,1.0,1.0,N,30.6,25.3,No,61.0,11.2,44.0,1009.8,No,26.0,S,37.0,36.7
Darwin,0.0,,N,32.5,9.0,2008-10-25,1013.3,4.0,4.0,NNW,30.3,26.3,No,65.0,10.9,53.0,1008.7,No,24.0,E,35.0,33.6
Darwin,0.0,,N,32.8,9.0,2008-10-26,1012.5,4.0,5.0,NNW,30.2,26.0,No,62.0,11.3,46.0,1007.6,No,20.0,NNW,33.0,33.8
Darwin,0.0,,N,33.1,22.0,2008-10-27,1012.8,6.0,7.0,NNW,30.6,27.2,No,52.0,9.2,36.0,1009.0,No,31.0,NE,41.0,34.1
Darwin,0.0,,N,31.7,11.0,2008-10-28,1014.1,7.0,7.0,NNW,29.6,24.7,No,60.0,9.9,41.0,1010.0,No,28.0,ENE,39.0,33.8
Darwin,0.0,,N,32.6,11.0,2008-10-29,1013.8,7.0,6.0,N,29.8,24.2,No,57.0,8.8,47.0,1009.8,No,24.0,ENE,35.0,33.8
Darwin,0.0,,N,32.7,7.0,2008-10-30,1015.1,7.0,7.0,NW,28.9,25.0,No,62.0,8.8,48.0,1010.9,No,22.0,N,35.0,33.1
Darwin,0.0,,NNW,33.2,4.0,2008-10-31,1013.7,7.0,5.0,N,29.6,25.0,No,63.0,10.7,49.0,1009.0,No,24.0,WNW,39.0,34.0
Darwin,0.0,,NNW,33.7,13.0,2008-11-01,1013.1,6.0,1.0,NW,29.7,25.9,Yes,62.0,11.5,41.0,1009.4,No,24.0,NNW,35.0,34.8
Darwin,4.4,,N,33.5,13.0,2008-11-02,1013.1,3.0,2.0,NW,29.4,24.5,No,68.0,9.7,44.0,1009.1,Yes,22.0,NNE,41.0,34.5
Darwin,0.0,,NW,32.3,7.0,2008-11-03,1013.6,4.0,5.0,NW,29.2,25.6,No,68.0,10.1,57.0,1009.3,No,20.0,NNW,30.0,33.9
Darwin,0.0,,NW,31.9,13.0,2008-11-04,1012.1,4.0,1.0,NW,31.0,26.0,No,62.0,10.4,53.0,1007.6,No,26.0,WNW,35.0,33.4
Darwin,0.2,,NNW,32.4,17.0,2008-11-05,1010.6,3.0,3.0,NW,30.1,27.0,No,71.0,10.4,53.0,1006.7,No,20.0,N,33.0,33.8
Darwin,0.0,,NNW,33.2,11.0,2008-11-06,1009.8,6.0,2.0,NNW,30.0,26.0,No,67.0,10.6,51.0,1005.8,No,22.0,NNW,37.0,35.1
Darwin,0.0,,WNW,34.0,11.0,2008-11-07,1010.2,6.0,3.0,NNW,29.9,26.5,No,72.0,10.8,41.0,1005.9,No,19.0,WSW,33.0,35.2
Darwin,0.0,,WNW,34.0,9.0,2008-11-08,1010.0,3.0,3.0,ESE,30.7,27.4,No,66.0,10.8,50.0,1005.7,No,28.0,WSW,52.0,34.7
Darwin,0.0,7.8,NNW,33.1,20.0,2008-11-09,1011.7,7.0,7.0,N,28.2,24.6,No,67.0,8.5,54.0,1007.2,No,20.0,SE,30.0,35.5
Darwin,0.6,7.2,NW,30.4,7.0,2008-11-10,1011.8,7.0,7.0,N,28.9,24.6,No,72.0,2.8,62.0,1007.9,No,13.0,NE,39.0,32.9
Darwin,0.4,4.4,NW,31.9,15.0,2008-11-11,1011.3,7.0,7.0,NW,28.6,25.4,No,71.0,4.4,62.0,1006.5,No,24.0,NE,33.0,33.0
Darwin,0.0,4.2,W,32.2,7.0,2008-11-12,1009.1,6.0,6.0,W,29.9,26.8,No,72.0,5.3,56.0,1005.3,No,19.0,NNW,30.0,33.7
Darwin,0.0,7.0,WNW,33.3,13.0,2008-11-13,1009.7,2.0,7.0,WNW,30.7,26.0,No,59.0,11.1,45.0,1007.1,No,11.0,NNW,33.0,34.3
Darwin,0.0,7.4,NNE,34.7,13.0,2008-11-14,1009.8,4.0,2.0,NNW,30.8,26.1,No,64.0,11.7,42.0,1006.0,No,26.0,N,39.0,35.9
Darwin,0.0,8.2,NW,33.9,13.0,2008-11-15,1009.9,1.0,2.0,NW,30.9,28.0,No,59.0,9.6,43.0,1005.2,No,26.0,NNE,37.0,35.1
Darwin,0.0,7.4,W,34.0,7.0,2008-11-16,1009.7,4.0,5.0,WSW,28.0,25.6,No,73.0,8.7,46.0,1005.3,No,13.0,SSE,28.0,35.0
Darwin,0.0,7.2,NW,33.5,11.0,2008-11-17,1008.5,5.0,2.0,NW,30.6,26.6,No,62.0,10.2,50.0,1004.3,No,24.0,NNW,33.0,34.5
Darwin,0.0,6.8,SSE,25.9,9.0,2008-11-18,1008.4,5.0,7.0,,30.3,27.1,Yes,71.0,2.2,91.0,1006.4,No,13.0,NNE,,31.0
Darwin,7.8,1.6,NW,33.3,0.0,2008-11-19,1009.5,2.0,3.0,NW,29.3,23.7,Yes,75.0,10.2,57.0,1006.0,Yes,19.0,,28.0,34.7
Darwin,9.2,6.6,WNW,34.1,13.0,2008-11-20,1009.6,4.0,3.0,WNW,30.8,26.2,No,70.0,7.4,51.0,1004.8,Yes,28.0,WNW,37.0,34.7
Darwin,0.0,6.4,SW,26.7,15.0,2008-11-21,1008.4,7.0,8.0,,31.9,26.0,Yes,69.0,2.1,87.0,1006.0,No,17.0,WSW,,32.7
Darwin,5.6,1.8,W,33.3,17.0,2008-11-22,1007.7,7.0,7.0,WNW,30.2,25.7,No,79.0,4.2,60.0,1003.3,Yes,26.0,WNW,35.0,34.2
Darwin,0.0,4.4,W,34.6,30.0,2008-11-23,1007.3,6.0,7.0,WNW,32.1,29.6,No,66.0,10.8,50.0,1003.7,No,28.0,W,43.0,34.9
Darwin,0.0,9.2,WNW,34.5,22.0,2008-11-24,1006.9,7.0,6.0,WNW,31.7,26.3,No,71.0,9.4,57.0,1004.2,No,31.0,W,43.0,35.6
Darwin,0.0,8.2,WNW,31.7,15.0,2008-11-25,1007.9,7.0,7.0,NW,32.1,29.1,No,71.0,6.8,71.0,1004.4,No,30.0,WSW,39.0,35.0
