Humidity3pm,WindGustDir,MaxTempF,Pressure9am,Date,WindDir3pm,Cloud3pm,Temp3pmF,WindSpeed9am,RainTomorrow,Rainfall,Pressure3pm,WindGustSpeed,Location,Sunshine,MinTempF,Evaporation,Cloud9am,Temp9amF,WindDir9am,Humidity9am,WindSpeed3pm,RainToday
33.0,WSW,70.88,1017.4,2009-01-16,S,6.0,67.64,28.0,No,0.0,1018.4,61.0,MelbourneAirport,9.9,54.86,8.6,7.0,59.9,SW,59.0,28.0,No
44.0,S,67.64,1022.7,2009-01-17,S,2.0,65.84,28.0,No,0.0,1022.7,41.0,MelbourneAirport,12.1,54.5,8.8,4.0,58.1,SSE,50.0,26.0,No
32.0,SSE,79.34,1021.9,2009-01-18,SSE,0.0,76.1,7.0,No,0.0,1019.0,31.0,MelbourneAirport,13.0,45.5,6.6,1.0,58.459999999999994,SE,67.0,20.0,No
7.0,N,98.6,1013.6,2009-01-19,WNW,1.0,95.53999999999999,28.0,No,0.0,1009.0,54.0,MelbourneAirport,13.4,53.42,7.8,1.0,79.34,N,22.0,22.0,No
26.0,SW,104.36,1005.6,2009-01-20,SSE,3.0,84.74,37.0,No,0.0,1006.0,100.0,MelbourneAirport,12.0,65.12,15.8,1.0,85.1,N,18.0,37.0,No
40.0,S,83.84,1010.4,2009-01-21,SSE,6.0,81.14,9.0,No,0.0,1006.6,37.0,MelbourneAirport,10.9,55.04,14.4,7.0,63.68,NE,73.0,24.0,No
9.0,W,96.08000000000001,998.1,2009-01-22,NW,7.0,94.46000000000001,41.0,No,0.0,994.2,94.0,MelbourneAirport,7.6,59.18,8.0,8.0,80.78,NNW,57.0,46.0,No
11.0,WNW,90.14,1008.1,2009-01-23,NW,2.0,84.02,9.0,No,0.0,1002.9,59.0,MelbourneAirport,12.3,49.64,15.6,3.0,62.059999999999995,N,46.0,24.0,No
24.0,WSW,75.56,1008.1,2009-01-24,WSW,2.0,72.86,30.0,No,0.0,1011.6,54.0,MelbourneAirport,11.4,59.540000000000006,12.8,6.0,62.78,WSW,55.0,30.0,No
18.0,S,84.2,1018.3,2009-01-25,SE,0.0,82.4,7.0,No,0.0,1016.4,39.0,MelbourneAirport,13.3,48.56,8.0,0.0,62.42,NNE,54.0,24.0,No
46.0,SSE,76.64,1022.3,2009-01-26,SSE,1.0,74.84,13.0,No,0.0,1020.8,46.0,MelbourneAirport,12.7,52.52,7.2,7.0,62.059999999999995,SSE,72.0,26.0,No
22.0,N,96.8,1017.8,2009-01-27,SSE,1.0,93.56,7.0,No,0.0,1014.0,37.0,MelbourneAirport,12.3,58.82,7.6,1.0,66.38,NNE,71.0,26.0,No
7.0,N,109.58000000000001,1012.3,2009-01-28,NNW,1.0,106.88000000000001,24.0,No,0.0,1009.3,50.0,MelbourneAirport,13.4,61.88,12.0,0.0,88.16,N,18.0,15.0,No
10.0,N,111.56,1011.2,2009-01-29,N,4.0,108.32,39.0,No,0.0,1009.6,59.0,MelbourneAirport,10.3,86.9,20.4,1.0,95.72,N,15.0,26.0,No
8.0,N,111.56,1012.2,2009-01-30,N,1.0,109.22,15.0,No,0.0,1009.3,50.0,MelbourneAirport,12.8,75.02,18.6,1.0,93.02,N,23.0,22.0,No
39.0,SSW,88.88000000000001,1013.7,2009-01-31,S,6.0,87.61999999999999,7.0,No,0.0,1014.3,46.0,MelbourneAirport,10.8,67.28,14.2,1.0,77.0,SW,52.0,26.0,No
46.0,SSW,93.38000000000001,1016.8,2009-02-01,ESE,7.0,89.06,11.0,No,0.0,1012.5,39.0,MelbourneAirport,7.1,64.58,7.6,7.0,69.44,SSW,75.0,11.0,No
55.0,S,83.84,1012.4,2009-02-02,S,7.0,80.78,7.0,No,0.0,1010.3,37.0,MelbourneAirport,2.7,65.66,6.6,8.0,69.44,WSW,81.0,26.0,No
43.0,SSW,83.66,1013.2,2009-02-03,S,3.0,82.22,15.0,No,0.0,1010.7,52.0,MelbourneAirport,8.4,65.84,4.2,7.0,68.54,S,86.0,28.0,No
40.0,S,88.88000000000001,1009.1,2009-02-04,S,0.0,85.28,4.0,No,0.0,1006.4,35.0,MelbourneAirport,11.0,64.22,7.2,7.0,68.9,NNE,72.0,17.0,No
52.0,SSE,89.96000000000001,1005.7,2009-02-05,SSE,1.0,78.08,11.0,No,0.0,1007.6,39.0,MelbourneAirport,13.1,62.6,8.0,0.0,76.82,WSW,50.0,24.0,No
39.0,S,92.3,1010.6,2009-02-06,SSE,1.0,84.2,11.0,No,0.0,1007.3,44.0,MelbourneAirport,8.5,63.68,8.8,7.0,66.02,SSE,73.0,19.0,No
10.0,SW,116.24,1003.1,2009-02-07,NW,1.0,114.98,54.0,Yes,0.0,998.8,83.0,MelbourneAirport,8.5,65.84,10.8,2.0,90.86,N,21.0,39.0,No
59.0,S,69.62,1012.6,2009-02-08,SSE,7.0,68.0,20.0,No,1.8,1014.0,44.0,MelbourneAirport,2.3,62.42,20.2,7.0,65.12,SW,74.0,28.0,Yes
38.0,SSE,68.54,1016.6,2009-02-09,S,4.0,64.04,33.0,No,0.2,1016.4,56.0,MelbourneAirport,9.0,57.74,7.4,6.0,60.26,SSE,48.0,35.0,No
37.0,SSE,67.46,1017.0,2009-02-10,S,6.0,62.78,26.0,Yes,0.2,1017.0,54.0,MelbourneAirport,10.0,52.7,7.2,4.0,58.1,SSW,46.0,33.0,No
44.0,SSE,63.86,1019.1,2009-02-11,S,7.0,62.059999999999995,31.0,Yes,1.8,1019.2,54.0,MelbourneAirport,0.7,52.879999999999995,6.8,7.0,56.84,S,56.0,33.0,Yes
35.0,SSE,73.22,1021.2,2009-02-12,SE,5.0,71.6,17.0,No,1.2,1020.5,57.0,MelbourneAirport,10.9,55.22,5.8,7.0,58.64,S,78.0,35.0,Yes
22.0,S,79.52,1025.7,2009-02-13,SSE,0.0,75.74000000000001,13.0,No,0.0,1023.2,43.0,MelbourneAirport,11.8,44.42,7.8,0.0,55.04,W,65.0,11.0,No
26.0,SSE,81.14,1022.8,2009-02-14,SE,0.0,79.52,7.0,No,0.0,1019.3,41.0,MelbourneAirport,12.3,50.9,5.8,0.0,60.8,W,59.0,26.0,No
32.0,S,81.5,1018.6,2009-02-15,S,6.0,78.62,2.0,No,0.0,1016.4,54.0,MelbourneAirport,11.7,53.24,6.8,4.0,60.26,SW,82.0,28.0,No
33.0,SSW,84.2,1019.5,2009-02-16,SSW,1.0,81.5,7.0,No,0.0,1016.2,37.0,MelbourneAirport,12.2,55.76,7.8,0.0,63.32,SW,77.0,22.0,No
20.0,N,88.16,1016.5,2009-02-17,S,2.0,86.72,20.0,No,0.0,1013.5,37.0,MelbourneAirport,12.0,55.4,8.2,0.0,70.52,NNE,35.0,19.0,No
31.0,SSE,86.0,1013.0,2009-02-18,SSE,2.0,84.02,9.0,No,0.0,1009.2,35.0,MelbourneAirport,7.7,56.66,9.4,4.0,63.5,W,80.0,26.0,No
23.0,SSE,86.72,1009.0,2009-02-19,S,1.0,85.1,15.0,No,0.0,1007.0,37.0,MelbourneAirport,11.3,56.66,6.6,1.0,64.75999999999999,W,82.0,22.0,No
34.0,S,78.62,1013.1,2009-02-20,SW,3.0,75.56,19.0,No,0.0,1012.6,46.0,MelbourneAirport,7.4,60.62,8.0,7.0,61.519999999999996,SW,74.0,28.0,No
48.0,SSE,73.22,1017.4,2009-02-21,S,4.0,70.16,22.0,No,0.8,1017.3,44.0,MelbourneAirport,8.9,57.74,6.4,7.0,62.24,S,73.0,30.0,No
46.0,SSE,79.52,1017.6,2009-02-22,SSE,1.0,77.0,13.0,No,0.0,1014.0,35.0,MelbourneAirport,10.1,60.980000000000004,6.4,7.0,63.32,SSE,73.0,19.0,No
10.0,SW,95.0,1010.6,2009-02-23,WNW,2.0,91.76,24.0,No,0.0,1007.8,56.0,MelbourneAirport,9.0,56.120000000000005,6.6,6.0,69.98,N,46.0,28.0,No
39.0,SSE,68.72,1018.8,2009-02-24,SSE,2.0,65.66,19.0,No,0.0,1018.9,50.0,MelbourneAirport,12.2,49.1,10.6,2.0,58.64,SW,47.0,28.0,No
53.0,S,71.06,1020.4,2009-02-25,S,7.0,66.92,17.0,No,0.0,1019.4,37.0,MelbourneAirport,3.4,53.78,7.6,8.0,58.64,SSW,72.0,20.0,No
31.0,SSE,87.08000000000001,1019.0,2009-02-26,SSE,1.0,82.94,9.0,No,0.0,1016.1,35.0,MelbourneAirport,11.0,54.86,4.4,3.0,60.8,WSW,78.0,20.0,No
16.0,N,95.9,1013.2,2009-02-27,NNW,2.0,90.14,48.0,No,0.0,1010.7,72.0,MelbourneAirport,8.7,58.28,7.8,5.0,72.86,N,35.0,31.0,No
41.0,S,72.86,1013.2,2009-02-28,SSE,1.0,70.34,17.0,No,0.0,1011.9,48.0,MelbourneAirport,6.3,57.56,12.4,7.0,60.62,SW,65.0,31.0,No
58.0,SE,67.82,1014.8,2009-03-01,S,7.0,64.22,17.0,No,0.6,1014.6,41.0,MelbourneAirport,0.8,54.32,6.2,7.0,56.84,SSW,91.0,28.0,No
32.0,SSE,79.7,1015.7,2009-03-02,E,1.0,78.98,17.0,Yes,0.0,1011.6,37.0,MelbourneAirport,10.1,56.84,4.6,7.0,60.440000000000005,SE,58.0,9.0,No
33.0,N,90.32,1008.8,2009-03-03,N,7.0,84.38000000000001,35.0,Yes,1.2,1001.5,93.0,MelbourneAirport,1.0,60.26,7.6,7.0,65.66,N,51.0,61.0,Yes
45.0,W,65.48,1012.5,2009-03-04,W,7.0,62.059999999999995,15.0,No,2.6,1012.3,63.0,MelbourneAirport,4.4,52.52,10.0,1.0,57.92,NW,49.0,44.0,Yes
70.0,SW,60.980000000000004,1015.8,2009-03-05,S,8.0,58.459999999999994,28.0,Yes,0.6,1016.2,52.0,MelbourneAirport,0.2,52.34,4.6,7.0,55.4,SW,77.0,30.0,No
50.0,SW,68.0,1016.4,2009-03-06,SSW,7.0,63.5,19.0,No,2.2,1015.2,39.0,MelbourneAirport,5.4,51.26,2.6,7.0,53.06,WSW,92.0,15.0,Yes
54.0,SW,69.8,1016.5,2009-03-07,SSE,7.0,66.2,13.0,No,0.0,1015.9,33.0,MelbourneAirport,6.4,53.06,3.4,7.0,59.36,W,63.0,26.0,No
47.0,SSE,67.82,1021.1,2009-03-08,S,3.0,65.12,20.0,No,0.0,1020.4,41.0,MelbourneAirport,5.0,54.5,4.2,7.0,57.56,SE,63.0,24.0,No
39.0,S,77.9,1021.3,2009-03-09,SW,1.0,74.84,13.0,No,0.0,1018.5,31.0,MelbourneAirport,10.1,48.02,4.2,7.0,56.3,WSW,79.0,9.0,No
50.0,SW,80.96,1020.8,2009-03-10,SSW,7.0,75.2,17.0,No,0.0,1018.9,30.0,MelbourneAirport,6.2,56.3,4.0,8.0,60.440000000000005,SW,85.0,9.0,No
37.0,ESE,86.53999999999999,1021.2,2009-03-11,WNW,6.0,82.22,7.0,Yes,0.0,1018.1,39.0,MelbourneAirport,5.5,59.18,4.6,7.0,64.04,N,84.0,4.0,No
65.0,N,74.84,1019.1,2009-03-12,N,7.0,72.14,13.0,Yes,4.0,1016.7,59.0,MelbourneAirport,2.4,63.14,4.8,7.0,66.38,NNW,79.0,44.0,Yes
39.0,N,85.28,1016.7,2009-03-13,ENE,4.0,82.22,15.0,No,2.8,1013.8,37.0,MelbourneAirport,9.8,61.16,3.8,2.0,67.64,NNW,76.0,9.0,Yes
85.0,WSW,70.16,1007.7,2009-03-14,E,7.0,66.02,52.0,Yes,0.8,1006.4,83.0,MelbourneAirport,4.1,62.059999999999995,6.8,7.0,69.25999999999999,N,75.0,6.0,No
44.0,W,66.2,1011.6,2009-03-15,NW,7.0,61.7,20.0,No,20.0,1010.8,50.0,MelbourneAirport,2.9,50.9,3.6,7.0,54.5,NNW,73.0,28.0,Yes
51.0,WSW,69.25999999999999,1012.1,2009-03-16,WSW,6.0,65.66,17.0,No,0.0,1012.2,48.0,MelbourneAirport,5.0,52.52,5.6,6.0,58.82,NW,57.0,30.0,No
51.0,SW,65.84,1017.7,2009-03-17,SSW,7.0,62.42,17.0,No,0.0,1017.8,41.0,MelbourneAirport,4.9,54.14,5.0,7.0,56.48,WSW,72.0,20.0,No
14.0,N,83.3,1017.4,2009-03-18,N,2.0,80.24000000000001,13.0,No,0.0,1012.6,41.0,MelbourneAirport,8.8,54.14,4.0,3.0,57.02,NNE,68.0,26.0,No
12.0,NW,90.86,1013.7,2009-03-19,NNW,1.0,89.24,28.0,No,0.0,1011.2,50.0,MelbourneAirport,10.2,57.02,8.0,3.0,67.1,N,31.0,26.0,No
48.0,S,77.18,1015.8,2009-03-20,S,1.0,75.74000000000001,9.0,No,0.0,1013.6,31.0,MelbourneAirport,10.5,59.72,8.8,5.0,62.42,NNE,84.0,20.0,No
12.0,N,94.46000000000001,1013.3,2009-03-21,N,1.0,91.94,37.0,No,0.0,1010.1,59.0,MelbourneAirport,10.6,54.32,6.2,1.0,75.92,N,34.0,37.0,No
65.0,N,76.1,1010.6,2009-03-22,S,6.0,69.44,11.0,No,0.0,1012.6,48.0,MelbourneAirport,6.1,68.9,14.8,2.0,75.74000000000001,NW,33.0,28.0,No
54.0,SSE,66.2,1016.8,2009-03-23,S,6.0,62.78,19.0,No,0.0,1016.3,33.0,MelbourneAirport,4.5,56.66,8.0,8.0,58.1,SSW,69.0,13.0,No
53.0,SSE,70.88,1017.4,2009-03-24,SSE,7.0,68.36,6.0,No,0.0,1015.5,26.0,MelbourneAirport,3.4,50.54,1.0,7.0,58.1,WNW,75.0,20.0,No
60.0,SSE,74.3,1016.4,2009-03-25,S,6.0,71.6,6.0,No,1.0,1014.8,31.0,MelbourneAirport,3.2,58.1,2.2,7.0,61.88,N,84.0,19.0,No
41.0,S,76.28,1019.4,2009-03-26,SW,3.0,74.48,11.0,No,0.0,1020.6,52.0,MelbourneAirport,8.4,56.120000000000005,2.6,2.0,61.7,WNW,78.0,28.0,No
43.0,SSW,68.0,1027.0,2009-03-27,SE,4.0,66.02,13.0,No,0.0,1025.4,33.0,MelbourneAirport,9.4,48.74,5.4,7.0,55.58,SW,62.0,13.0,No
20.0,N,81.14,1023.8,2009-03-28,SSW,1.0,78.44,15.0,No,0.0,1020.8,26.0,MelbourneAirport,9.6,47.120000000000005,4.0,3.0,53.96,N,74.0,11.0,No
28.0,S,80.24000000000001,1022.0,2009-03-29,S,1.0,75.2,19.0,No,0.0,1021.7,37.0,MelbourneAirport,11.1,50.72,6.2,1.0,60.26,N,35.0,24.0,No
48.0,S,72.32,1026.2,2009-03-30,SSE,2.0,69.8,11.0,No,0.0,1023.5,31.0,MelbourneAirport,9.3,55.4,4.8,5.0,58.459999999999994,SSW,88.0,15.0,No
22.0,N,86.36,1023.1,2009-03-31,SE,1.0,85.28,17.0,No,0.0,1020.3,39.0,MelbourneAirport,10.5,53.78,4.2,0.0,64.04,NE,65.0,7.0,No
31.0,SSE,83.84,1022.4,2009-04-01,SSE,3.0,82.04,0.0,No,0.0,1020.2,30.0,MelbourneAirport,10.3,53.6,6.2,1.0,62.6,,64.0,19.0,No
24.0,N,89.24,1021.1,2009-04-02,NNE,5.0,88.34,33.0,No,0.0,1018.1,50.0,MelbourneAirport,10.4,60.26,6.2,5.0,71.06,N,50.0,30.0,No
84.0,,75.56,1015.0,2009-04-03,SW,8.0,60.440000000000005,35.0,Yes,0.0,1015.6,,MelbourneAirport,2.1,71.06,10.6,6.0,74.48,N,57.0,20.0,No
48.0,SSW,63.14,1022.7,2009-04-04,SSW,7.0,61.34,20.0,No,20.6,1022.3,37.0,MelbourneAirport,4.8,49.28,6.2,1.0,52.16,WSW,76.0,19.0,Yes
72.0,SW,68.36,1020.3,2009-04-05,WSW,7.0,60.440000000000005,15.0,No,0.0,1018.4,54.0,MelbourneAirport,4.2,49.1,2.4,7.0,58.82,NW,65.0,33.0,No
50.0,SW,60.980000000000004,1026.0,2009-04-06,SSW,7.0,58.459999999999994,22.0,No,0.0,1025.2,37.0,MelbourneAirport,3.9,44.78,3.4,7.0,51.26,SW,65.0,19.0,No
63.0,S,63.86,1029.9,2009-04-07,S,7.0,60.440000000000005,19.0,No,0.0,1028.1,35.0,MelbourneAirport,2.8,49.28,2.6,7.0,51.8,SW,95.0,28.0,No
56.0,S,66.2,1028.4,2009-04-08,SSE,4.0,64.58,7.0,No,0.0,1025.9,31.0,MelbourneAirport,6.1,51.8,1.8,7.0,56.3,SW,84.0,13.0,No
30.0,WNW,79.34,1024.0,2009-04-09,NW,1.0,76.82,7.0,No,0.0,1018.5,33.0,MelbourneAirport,8.7,54.32,2.6,7.0,56.66,ENE,76.0,17.0,No
66.0,SSE,66.2,1020.5,2009-04-10,S,7.0,64.58,7.0,No,0.0,1019.2,30.0,MelbourneAirport,3.9,53.42,4.0,8.0,56.84,SW,89.0,24.0,No
56.0,S,71.6,1024.2,2009-04-11,SSW,3.0,70.16,7.0,No,0.0,1021.0,28.0,MelbourneAirport,4.8,53.78,3.2,8.0,58.82,S,82.0,11.0,No
48.0,SSE,71.42,1023.0,2009-04-12,SSE,1.0,68.36,9.0,No,0.0,1021.2,35.0,MelbourneAirport,10.7,50.9,1.4,0.0,62.959999999999994,N,62.0,20.0,No
25.0,SSE,77.36,1022.8,2009-04-13,SE,4.0,76.46,4.0,No,0.0,1018.5,28.0,MelbourneAirport,11.0,46.58,4.0,2.0,57.92,SE,72.0,17.0,No
13.0,WNW,82.94,1013.9,2009-04-14,WNW,1.0,81.32,31.0,Yes,0.0,1009.3,50.0,MelbourneAirport,10.5,52.34,6.0,2.0,68.0,N,45.0,26.0,No
48.0,WSW,61.88,1007.8,2009-04-15,SW,6.0,59.36,46.0,No,2.4,1011.5,96.0,MelbourneAirport,6.3,52.7,9.0,3.0,55.76,W,61.0,28.0,Yes
35.0,NNW,67.82,1013.2,2009-04-16,NW,3.0,65.66,31.0,No,0.0,1010.4,59.0,MelbourneAirport,5.6,42.08,5.6,7.0,54.14,N,52.0,31.0,No
42.0,NNW,70.16,1017.9,2009-04-17,SW,7.0,68.0,13.0,No,0.0,1017.1,28.0,MelbourneAirport,5.1,52.34,5.0,6.0,59.18,NW,63.0,13.0,No
59.0,SSW,64.4,1023.8,2009-04-18,SSE,7.0,63.68,13.0,Yes,0.0,1023.3,30.0,MelbourneAirport,4.1,50.36,1.8,2.0,60.08,SSW,70.0,19.0,No
63.0,S,62.78,1026.3,2009-04-19,S,5.0,60.980000000000004,17.0,No,1.4,1023.5,35.0,MelbourneAirport,4.8,54.14,3.0,8.0,56.48,SSE,82.0,19.0,Yes
44.0,S,69.62,1024.2,2009-04-20,SSE,2.0,68.0,2.0,No,0.0,1020.8,19.0,MelbourneAirport,9.5,47.66,2.8,5.0,52.7,WNW,95.0,11.0,No
27.0,N,74.66,1024.1,2009-04-21,NE,0.0,74.12,24.0,No,0.0,1021.3,31.0,MelbourneAirport,10.2,46.22,2.4,0.0,60.440000000000005,N,54.0,11.0,No
29.0,NNW,75.2,1024.8,2009-04-22,NNE,1.0,73.22,26.0,No,0.0,1021.4,37.0,MelbourneAirport,10.3,46.58,4.0,0.0,61.34,N,48.0,17.0,No
35.0,N,73.04,1019.5,2009-04-23,N,7.0,71.24000000000001,31.0,No,0.0,1013.9,72.0,MelbourneAirport,7.6,48.74,5.6,3.0,61.88,N,51.0,35.0,No
76.0,N,63.86,1003.0,2009-04-24,N,7.0,62.059999999999995,35.0,No,0.0,998.4,76.0,MelbourneAirport,0.0,59.0,7.4,8.0,59.9,N,74.0,31.0,No
54.0,N,65.84,1000.9,2009-04-25,N,7.0,63.68,24.0,Yes,0.2,993.9,70.0,MelbourneAirport,3.9,49.82,1.8,7.0,56.3,N,75.0,41.0,No
69.0,W,55.58,997.8,2009-04-26,WNW,7.0,52.16,28.0,Yes,1.8,999.0,81.0,MelbourneAirport,4.2,44.96,5.2,7.0,49.1,NNW,61.0,50.0,Yes
68.0,WNW,57.2,1011.8,2009-04-27,NNW,7.0,53.42,13.0,Yes,1.6,1010.8,50.0,MelbourneAirport,2.7,42.620000000000005,3.0,5.0,50.36,NNW,65.0,7.0,Yes
62.0,SW,54.32,1020.4,2009-04-28,SSE,7.0,52.34,28.0,Yes,4.0,1021.1,41.0,MelbourneAirport,5.1,42.08,2.6,5.0,46.94,SW,74.0,22.0,Yes
57.0,S,53.42,1024.0,2009-04-29,S,7.0,52.879999999999995,11.0,No,1.4,1022.5,24.0,MelbourneAirport,2.6,41.0,0.4,7.0,44.42,N,86.0,15.0,Yes
29.0,N,63.68,1023.7,2009-04-30,NNE,2.0,62.6,11.0,No,0.0,1020.1,46.0,MelbourneAirport,10.1,34.16,1.2,1.0,46.22,N,74.0,24.0,No
71.0,N,59.540000000000006,1023.0,2009-05-01,SSE,7.0,55.4,31.0,No,0.0,1022.6,50.0,MelbourneAirport,0.3,45.86,3.8,7.0,51.620000000000005,N,49.0,4.0,No
52.0,SSE,62.42,1028.1,2009-05-02,SSE,3.0,60.980000000000004,9.0,No,0.0,1026.2,33.0,MelbourneAirport,9.7,41.9,1.6,1.0,51.98,N,70.0,13.0,No
53.0,SSE,63.5,1029.5,2009-05-03,WSW,3.0,62.42,6.0,No,0.0,1027.2,26.0,MelbourneAirport,7.8,40.46,2.4,7.0,50.0,WNW,82.0,7.0,No
80.0,SSW,60.62,1030.9,2009-05-04,SSW,7.0,57.92,6.0,No,0.0,1030.4,33.0,MelbourneAirport,0.7,45.5,1.4,7.0,54.68,W,77.0,19.0,No
53.0,SSE,61.34,1032.4,2009-05-05,S,4.0,59.9,9.0,No,0.0,1029.2,20.0,MelbourneAirport,8.6,43.16,1.2,5.0,52.16,NNE,70.0,13.0,No
55.0,SW,60.980000000000004,1029.6,2009-05-06,S,6.0,58.64,6.0,No,0.0,1026.7,24.0,MelbourneAirport,5.4,46.58,2.8,8.0,52.7,SW,71.0,13.0,No
65.0,SSW,62.24,1028.0,2009-05-07,SSE,5.0,58.82,15.0,No,0.0,1027.5,39.0,MelbourneAirport,5.2,51.08,1.6,5.0,55.04,WSW,79.0,30.0,No
77.0,SSW,58.82,1031.3,2009-05-08,S,7.0,57.2,13.0,Yes,0.8,1029.3,30.0,MelbourneAirport,0.1,50.18,1.8,7.0,51.98,SW,97.0,17.0,No
70.0,SSW,60.62,1028.4,2009-05-09,SSE,7.0,57.56,15.0,No,1.8,1026.2,30.0,MelbourneAirport,1.9,51.98,0.2,8.0,53.96,SW,99.0,19.0,Yes
60.0,SSE,61.7,1026.8,2009-05-10,S,4.0,59.0,6.0,No,0.4,1024.1,26.0,MelbourneAirport,5.7,48.74,1.6,6.0,52.7,WSW,89.0,15.0,No
60.0,S,62.24,1025.6,2009-05-11,S,1.0,60.440000000000005,7.0,No,0.0,1022.8,26.0,MelbourneAirport,5.9,43.7,1.0,7.0,48.379999999999995,N,93.0,17.0,No
64.0,SSE,59.18,1023.3,2009-05-12,SSE,7.0,58.64,7.0,No,0.0,1020.1,20.0,MelbourneAirport,1.4,44.6,1.6,6.0,51.98,WNW,85.0,9.0,No
47.0,W,62.24,1017.2,2009-05-13,W,7.0,59.9,13.0,No,0.0,1014.2,41.0,MelbourneAirport,1.6,45.14,1.4,7.0,55.76,NW,60.0,20.0,No
53.0,WNW,61.7,1012.5,2009-05-14,WNW,7.0,59.72,30.0,No,0.0,1010.8,57.0,MelbourneAirport,1.6,46.76,2.0,6.0,55.94,W,66.0,35.0,No
55.0,WNW,66.38,1009.3,2009-05-15,NW,7.0,64.75999999999999,31.0,No,0.0,1006.3,70.0,MelbourneAirport,0.0,53.78,4.0,7.0,57.74,NNW,72.0,26.0,No
45.0,W,59.36,1012.6,2009-05-16,WSW,6.0,56.66,35.0,No,0.6,1014.5,54.0,MelbourneAirport,2.2,51.08,4.0,7.0,51.44,WSW,85.0,33.0,No
58.0,SW,60.8,1021.8,2009-05-17,SSW,7.0,60.440000000000005,13.0,No,0.4,1020.6,35.0,MelbourneAirport,0.9,48.2,2.8,7.0,54.68,W,80.0,15.0,No
51.0,ESE,62.42,1025.4,2009-05-18,SE,1.0,61.88,7.0,No,0.0,1021.9,26.0,MelbourneAirport,9.2,43.16,0.6,2.0,51.620000000000005,N,89.0,11.0,No
39.0,NNE,70.34,1022.8,2009-05-19,N,7.0,68.18,6.0,No,0.2,1019.5,30.0,MelbourneAirport,6.3,37.76,1.0,7.0,46.04,NNE,88.0,20.0,No
39.0,SSE,69.44,1022.8,2009-05-20,SE,7.0,68.72,6.0,No,0.0,1021.4,28.0,MelbourneAirport,7.3,43.879999999999995,2.2,7.0,52.16,W,79.0,15.0,No
