wind gust speed,temp 9 am f,rain today,min temp f,wind dir 9 am,humidity 3 pm,max temp f,humidity 9 am,location,wind speed 9 am,pressure 9 am,pressure 3 pm,temp 3 pm f,rain tomorrow,date,wind dir 3 pm,wind gust dir,rainfall,wind speed 3 pm
37.0,61.7,No,51.98,E,33.0,84.74,61.0,Tuggeranong,9.0,1016.2,1011.2,80.78,Yes,2008-12-22,WNW,W,0.0,22.0
37.0,66.38,Yes,61.34,NE,53.0,78.25999999999999,79.0,Tuggeranong,9.0,1010.3,1007.8,75.2,Yes,2008-12-23,N,SSE,1.8,19.0
26.0,60.980000000000004,Yes,57.92,N,69.0,67.64,76.0,Tuggeranong,4.0,1012.6,1010.9,65.66,No,2008-12-24,NE,NE,8.8,15.0
31.0,64.58,No,59.72,WSW,28.0,84.2,71.0,Tuggeranong,7.0,1013.3,1010.3,81.32,No,2008-12-25,NW,ENE,0.0,17.0
35.0,64.4,No,57.379999999999995,,22.0,87.61999999999999,78.0,Tuggeranong,0.0,1012.6,1008.9,86.53999999999999,No,2008-12-26,WNW,W,0.0,17.0
59.0,72.14,No,58.459999999999994,WNW,64.0,81.14,61.0,Tuggeranong,2.0,1008.4,1005.1,73.22,Yes,2008-12-27,ENE,W,0.0,7.0
44.0,67.46,Yes,57.379999999999995,N,38.0,84.91999999999999,81.0,Tuggeranong,17.0,1006.2,1002.1,82.4,No,2008-12-28,WNW,W,24.8,28.0
56.0,66.74000000000001,No,53.06,SSE,35.0,79.7,53.0,Tuggeranong,2.0,1003.7,1001.1,79.16,No,2008-12-29,WNW,WNW,0.0,26.0
50.0,64.94,No,52.7,NNW,49.0,69.98,55.0,Tuggeranong,20.0,1001.6,1001.6,64.75999999999999,No,2008-12-30,NW,W,0.0,20.0
48.0,63.5,No,55.76,NW,32.0,74.12,41.0,Tuggeranong,17.0,1001.7,1001.7,72.5,No,2008-12-31,WNW,WNW,0.0,28.0
65.0,68.36,No,53.6,WNW,29.0,79.7,41.0,Tuggeranong,22.0,1002.3,1000.6,78.08,No,2009-01-01,WNW,WNW,0.0,31.0
43.0,60.980000000000004,No,51.8,WNW,18.0,77.36,39.0,Tuggeranong,4.0,1009.7,1009.0,75.56,No,2009-01-02,NNE,E,0.0,19.0
35.0,57.2,No,49.82,ENE,35.0,78.8,60.0,Tuggeranong,13.0,1019.0,1014.8,73.58,No,2009-01-03,NNE,ENE,0.0,13.0
31.0,65.3,No,51.620000000000005,SE,35.0,87.44,64.0,Tuggeranong,9.0,1015.9,1011.9,84.91999999999999,No,2009-01-04,WNW,NW,0.0,15.0
39.0,71.96,No,55.94,NNW,17.0,90.14,58.0,Tuggeranong,6.0,1012.3,1009.2,87.61999999999999,No,2009-01-05,W,WNW,0.0,26.0
48.0,70.7,No,51.08,,12.0,95.0,37.0,Tuggeranong,0.0,1011.6,1008.0,92.84,No,2009-01-06,W,WNW,0.0,26.0
52.0,72.86,No,53.42,SSE,16.0,97.88000000000001,34.0,Tuggeranong,2.0,1008.8,1003.4,95.53999999999999,Yes,2009-01-07,WNW,NW,0.0,22.0
46.0,65.3,Yes,59.18,NE,41.0,82.94,72.0,Tuggeranong,13.0,1010.8,1007.6,80.6,No,2009-01-08,E,ESE,1.2,26.0
37.0,56.48,No,53.06,SE,35.0,72.32,61.0,Tuggeranong,15.0,1018.6,1015.1,69.44,No,2009-01-09,N,ENE,0.0,15.0
33.0,58.28,No,48.2,NE,35.0,76.82,57.0,Tuggeranong,19.0,1014.8,1009.9,72.14,No,2009-01-10,N,NNE,0.0,13.0
39.0,63.68,No,50.18,SE,32.0,84.38000000000001,62.0,Tuggeranong,4.0,1011.5,1007.1,83.3,Yes,2009-01-11,NW,NW,0.0,17.0
37.0,66.74000000000001,Yes,56.3,N,45.0,82.4,73.0,Tuggeranong,4.0,1014.3,1013.1,80.96,No,2009-01-12,NNE,ENE,4.4,19.0
43.0,65.66,No,62.24,ENE,23.0,93.2,72.0,Tuggeranong,6.0,1017.4,1012.4,90.32,No,2009-01-13,WNW,NW,0.0,26.0
39.0,79.16,No,59.540000000000006,N,21.0,99.32,41.0,Tuggeranong,11.0,1013.9,1010.3,96.8,No,2009-01-14,W,NW,0.0,20.0
48.0,83.48,No,67.1,N,20.0,98.78,35.0,Tuggeranong,13.0,1009.8,1006.4,97.52,No,2009-01-15,NW,WNW,0.0,22.0
44.0,65.84,No,57.92,NW,14.0,84.91999999999999,60.0,Tuggeranong,11.0,1011.1,1007.9,82.4,No,2009-01-16,NW,WNW,0.0,31.0
43.0,55.4,No,48.92,SE,17.0,79.16,42.0,Tuggeranong,20.0,1019.0,1016.4,74.48,No,2009-01-17,WNW,ENE,0.0,7.0
33.0,57.92,No,50.18,WSW,26.0,85.46000000000001,63.0,Tuggeranong,4.0,1020.2,1016.1,80.24000000000001,No,2009-01-18,NW,ENE,0.0,13.0
46.0,67.82,No,51.8,NW,19.0,91.4,51.0,Tuggeranong,6.0,1016.7,1011.4,89.24,No,2009-01-19,NW,W,0.0,19.0
61.0,77.72,No,57.2,N,55.0,93.56,40.0,Tuggeranong,7.0,1013.3,1009.8,76.46,Yes,2009-01-20,SSE,NW,0.0,11.0
56.0,72.68,Yes,62.6,N,33.0,93.02,65.0,Tuggeranong,9.0,1011.4,1007.7,89.96000000000001,No,2009-01-21,NW,ENE,29.2,15.0
52.0,73.22,No,68.9,NW,51.0,84.38000000000001,62.0,Tuggeranong,15.0,1007.2,1002.8,79.88,Yes,2009-01-22,NW,W,0.0,22.0
48.0,73.22,Yes,65.84,NNW,50.0,88.34,81.0,Tuggeranong,15.0,1008.1,1005.9,84.74,Yes,2009-01-23,NW,NW,11.8,19.0
54.0,75.74000000000001,Yes,63.86,NW,28.0,84.38000000000001,62.0,Tuggeranong,24.0,1003.5,1006.6,82.22,No,2009-01-24,WNW,NW,12.4,22.0
30.0,61.519999999999996,No,59.540000000000006,NE,51.0,81.5,69.0,Tuggeranong,11.0,1018.0,1016.1,74.66,No,2009-01-25,SE,NE,0.0,9.0
39.0,68.72,No,56.120000000000005,WSW,27.0,89.96000000000001,70.0,Tuggeranong,2.0,1018.6,1016.2,88.34,No,2009-01-26,NNE,ENE,0.0,15.0
33.0,67.1,No,63.5,SSW,42.0,90.68,76.0,Tuggeranong,6.0,1020.5,1016.4,85.64,No,2009-01-27,N,ENE,0.0,13.0
37.0,73.58,No,62.059999999999995,NW,26.0,97.16,65.0,Tuggeranong,4.0,1016.9,1013.3,95.18,No,2009-01-28,WNW,E,0.0,15.0
31.0,77.0,No,64.22,SSE,20.0,99.68,52.0,Tuggeranong,2.0,1017.1,1013.0,98.06,No,2009-01-29,WSW,ENE,0.0,7.0
26.0,75.74000000000001,No,61.34,,11.0,99.86,51.0,Tuggeranong,0.0,1016.7,1012.5,98.24,No,2009-01-30,N,ENE,0.0,11.0
37.0,74.48,No,59.72,,19.0,100.76,54.0,Tuggeranong,0.0,1016.1,1012.0,97.7,No,2009-01-31,NNW,N,0.0,7.0
46.0,80.78,No,69.25999999999999,S,25.0,91.22,38.0,Tuggeranong,15.0,1015.3,1013.7,89.41999999999999,No,2009-02-01,ENE,ENE,0.0,20.0
50.0,70.88,No,62.78,NNW,30.0,94.64,67.0,Tuggeranong,4.0,1014.8,1009.0,90.68,No,2009-02-02,NNW,S,0.0,13.0
41.0,76.1,No,64.94,S,54.0,90.14,55.0,Tuggeranong,6.0,1010.2,1008.7,79.7,No,2009-02-03,ESE,ESE,0.0,26.0
43.0,69.98,No,65.12,,37.0,92.3,68.0,Tuggeranong,0.0,1011.0,1006.2,87.26,No,2009-02-04,NNE,E,0.0,11.0
43.0,75.2,No,64.75999999999999,NNW,26.0,99.32,66.0,Tuggeranong,2.0,1008.0,1004.7,96.98,No,2009-02-05,WNW,W,0.0,17.0
52.0,80.42,No,69.98,,17.0,103.28,44.0,Tuggeranong,0.0,1010.5,1006.2,101.66,No,2009-02-06,WNW,W,0.0,22.0
43.0,80.06,No,68.36,,21.0,103.82,51.0,Tuggeranong,0.0,1012.4,1007.9,102.38000000000001,No,2009-02-07,W,WNW,0.0,22.0
44.0,83.84,No,68.72,NNW,17.0,103.82,37.0,Tuggeranong,6.0,1010.9,1007.3,102.2,No,2009-02-08,WSW,WNW,0.0,24.0
31.0,66.02,No,64.22,NE,48.0,78.8,72.0,Tuggeranong,9.0,1011.1,1008.4,76.46,No,2009-02-09,NE,ENE,0.0,11.0
37.0,57.56,No,54.5,S,52.0,75.56,73.0,Tuggeranong,7.0,1010.8,1008.2,71.96,No,2009-02-10,E,S,0.0,7.0
43.0,56.48,No,53.6,S,32.0,73.75999999999999,59.0,Tuggeranong,24.0,1011.4,1009.9,72.68,No,2009-02-11,SSW,ESE,0.0,15.0
35.0,57.74,No,55.22,SE,60.0,60.440000000000005,60.0,Tuggeranong,19.0,1016.9,1017.7,59.18,Yes,2009-02-12,SE,SE,0.0,19.0
46.0,54.32,Yes,51.44,S,52.0,64.4,84.0,Tuggeranong,17.0,1025.4,1022.8,62.959999999999994,No,2009-02-13,SSE,ESE,1.6,24.0
35.0,57.56,No,50.18,S,52.0,67.82,62.0,Tuggeranong,19.0,1022.6,1018.8,65.3,No,2009-02-14,E,ESE,0.0,20.0
48.0,61.88,No,57.379999999999995,S,53.0,71.24000000000001,68.0,Tuggeranong,13.0,1015.5,1014.7,69.25999999999999,No,2009-02-15,E,E,0.0,24.0
44.0,60.26,No,56.120000000000005,S,43.0,71.42,73.0,Tuggeranong,19.0,1018.5,1017.1,69.25999999999999,No,2009-02-16,E,E,0.0,28.0
37.0,60.8,No,51.44,SSE,52.0,69.98,62.0,Tuggeranong,20.0,1017.6,1015.4,66.56,No,2009-02-17,E,ENE,0.0,22.0
35.0,62.24,No,60.08,SSE,44.0,78.62,69.0,Tuggeranong,19.0,1012.7,1008.4,75.02,No,2009-02-18,SE,S,0.0,20.0
37.0,63.86,No,52.879999999999995,,20.0,87.26,69.0,Tuggeranong,0.0,1007.0,1003.9,86.53999999999999,No,2009-02-19,WSW,SW,0.0,17.0
24.0,62.78,No,54.32,,37.0,85.64,80.0,Tuggeranong,0.0,1010.8,1009.0,79.34,No,2009-02-20,NNE,S,0.0,7.0
44.0,62.6,No,51.8,WNW,35.0,83.84,72.0,Tuggeranong,2.0,1013.2,1010.2,81.32,No,2009-02-21,WNW,ENE,0.0,7.0
35.0,63.5,No,52.34,NE,42.0,82.04,68.0,Tuggeranong,2.0,1017.4,1014.3,78.25999999999999,No,2009-02-22,N,NE,0.0,17.0
44.0,67.82,No,62.78,N,36.0,86.53999999999999,68.0,Tuggeranong,7.0,1014.6,1009.5,83.3,Yes,2009-02-23,N,NNW,0.0,20.0
54.0,66.02,Yes,53.42,NW,19.0,88.52,76.0,Tuggeranong,7.0,1013.6,1011.2,87.26,No,2009-02-24,W,WNW,2.4,26.0
52.0,60.08,No,50.72,SE,15.0,90.5,70.0,Tuggeranong,7.0,1015.8,1011.2,85.1,No,2009-02-25,NNW,ESE,0.0,13.0
35.0,61.7,No,57.2,S,28.0,80.42,57.0,Tuggeranong,22.0,1019.3,1015.9,78.44,No,2009-02-26,NNE,S,0.0,13.0
30.0,63.68,No,60.62,E,32.0,85.82,58.0,Tuggeranong,7.0,1016.9,1011.7,83.3,No,2009-02-27,N,NE,0.0,6.0
54.0,66.74000000000001,No,59.18,,18.0,93.74,63.0,Tuggeranong,0.0,1009.5,1003.8,92.66,No,2009-02-28,W,WSW,0.0,24.0
39.0,66.56,No,59.540000000000006,ENE,31.0,83.48,70.0,Tuggeranong,11.0,1010.3,1008.7,79.34,No,2009-03-01,N,ENE,0.0,15.0
33.0,66.38,No,61.88,E,36.0,81.86,64.0,Tuggeranong,11.0,1015.8,1013.2,77.54,No,2009-03-02,NNE,ENE,0.0,13.0
19.0,64.75999999999999,No,63.14,ENE,55.0,77.36,75.0,Tuggeranong,6.0,1017.1,1013.7,74.12,No,2009-03-03,WSW,NW,0.0,9.0
50.0,62.959999999999994,No,62.6,NW,24.0,72.5,43.0,Tuggeranong,28.0,1009.3,1009.1,70.16,No,2009-03-04,NW,WSW,0.0,24.0
35.0,56.66,No,50.72,WNW,24.0,72.14,41.0,Tuggeranong,13.0,1009.3,1007.8,71.06,No,2009-03-05,WSW,WSW,0.0,17.0
39.0,52.7,No,42.620000000000005,SSW,28.0,76.1,49.0,Tuggeranong,13.0,1012.7,1009.2,71.96,No,2009-03-06,N,N,0.0,19.0
33.0,57.02,No,48.2,SW,25.0,81.5,66.0,Tuggeranong,4.0,1014.2,1010.7,78.62,No,2009-03-07,NNE,N,0.0,15.0
41.0,62.78,No,56.48,E,40.0,77.9,70.0,Tuggeranong,13.0,1017.8,1016.5,75.2,No,2009-03-08,NE,ENE,0.0,19.0
37.0,60.26,No,59.18,,46.0,79.16,76.0,Tuggeranong,0.0,1022.1,1018.4,75.2,No,2009-03-09,N,NNW,0.0,13.0
35.0,64.4,No,54.5,,35.0,81.32,69.0,Tuggeranong,0.0,1021.4,1018.4,79.88,No,2009-03-10,ENE,E,0.0,19.0
37.0,62.42,No,57.92,S,32.0,77.9,69.0,Tuggeranong,4.0,1023.8,1020.7,75.92,No,2009-03-11,NE,E,0.0,17.0
30.0,63.14,No,59.9,SE,34.0,83.12,77.0,Tuggeranong,4.0,1022.1,1017.3,80.42,No,2009-03-12,WNW,SSE,0.0,13.0
28.0,66.2,No,63.14,NNW,51.0,77.72,77.0,Tuggeranong,4.0,1017.9,1015.5,73.75999999999999,No,2009-03-13,N,N,0.0,15.0
35.0,62.42,No,56.48,NE,71.0,77.36,86.0,Tuggeranong,6.0,1014.1,1008.9,69.62,Yes,2009-03-14,NNE,WNW,0.2,9.0
41.0,55.94,Yes,53.06,N,23.0,70.52,52.0,Tuggeranong,17.0,1010.3,1008.4,68.0,No,2009-03-15,NW,WNW,8.4,22.0
39.0,51.26,No,39.02,,30.0,71.96,64.0,Tuggeranong,0.0,1011.4,1007.7,69.98,No,2009-03-16,WNW,WNW,0.0,24.0
30.0,49.1,No,38.660000000000004,WSW,28.0,76.28,67.0,Tuggeranong,2.0,1013.4,1011.2,73.4,No,2009-03-17,WNW,NE,0.0,7.0
31.0,58.459999999999994,No,48.2,NW,30.0,80.6,74.0,Tuggeranong,7.0,1017.9,1013.5,77.54,No,2009-03-18,NNW,N,0.0,13.0
30.0,55.94,No,47.84,,22.0,82.94,66.0,Tuggeranong,0.0,1016.2,1013.4,80.78,No,2009-03-19,NW,NW,0.0,13.0
35.0,58.28,No,45.86,NW,22.0,85.82,55.0,Tuggeranong,4.0,1017.8,1014.6,84.02,No,2009-03-20,NNE,ENE,0.0,11.0
33.0,59.72,No,47.66,,17.0,85.46000000000001,52.0,Tuggeranong,0.0,1018.7,1014.6,84.38000000000001,No,2009-03-21,NNW,ENE,0.0,9.0
39.0,59.36,No,50.0,W,25.0,84.91999999999999,79.0,Tuggeranong,6.0,1016.9,1012.7,83.12,No,2009-03-22,WNW,WNW,0.0,19.0
39.0,58.1,No,50.18,,27.0,87.44,69.0,Tuggeranong,0.0,1016.9,1013.0,84.74,No,2009-03-23,NW,N,0.0,20.0
44.0,62.6,No,50.72,,22.0,89.06,61.0,Tuggeranong,0.0,1017.2,1014.3,87.98,No,2009-03-24,WNW,WNW,0.0,22.0
50.0,64.58,No,57.56,,31.0,85.82,53.0,Tuggeranong,0.0,1019.5,1018.4,81.5,No,2009-03-25,WNW,NW,0.0,31.0
50.0,60.440000000000005,No,51.8,W,33.0,82.22,69.0,Tuggeranong,4.0,1020.4,1017.3,79.88,No,2009-03-26,WSW,W,0.0,13.0
35.0,61.7,No,57.2,ENE,37.0,77.0,76.0,Tuggeranong,11.0,1023.5,1020.7,74.66,No,2009-03-27,NNW,E,0.0,11.0
28.0,60.08,No,58.1,E,36.0,81.14,68.0,Tuggeranong,4.0,1024.3,1020.3,77.9,No,2009-03-28,NNW,N,0.0,15.0
33.0,57.02,No,47.3,SW,21.0,86.0,68.0,Tuggeranong,2.0,1022.6,1018.7,83.3,No,2009-03-29,SE,ENE,0.0,11.0
37.0,57.379999999999995,No,47.84,NNW,39.0,75.74000000000001,64.0,Tuggeranong,6.0,1024.9,1021.6,73.75999999999999,No,2009-03-30,E,E,0.0,15.0
43.0,61.519999999999996,No,57.379999999999995,SSE,46.0,72.5,72.0,Tuggeranong,20.0,1024.1,1022.1,70.88,No,2009-03-31,ESE,ESE,0.0,20.0
37.0,62.78,No,58.64,S,66.0,70.88,74.0,Tuggeranong,17.0,1024.2,1023.7,66.56,No,2009-04-01,E,SE,0.0,20.0
28.0,63.5,No,61.16,SSW,56.0,76.64,78.0,Tuggeranong,9.0,1025.2,1022.4,73.94,No,2009-04-02,ENE,NE,0.0,11.0
59.0,64.58,No,59.72,E,43.0,82.58,81.0,Tuggeranong,6.0,1021.2,1015.4,79.34,Yes,2009-04-03,NW,W,0.0,20.0
30.0,55.94,Yes,55.22,S,48.0,70.34,75.0,Tuggeranong,13.0,1018.1,1018.0,68.18,No,2009-04-04,NW,S,12.4,6.0
37.0,57.92,No,54.32,NW,39.0,71.96,72.0,Tuggeranong,9.0,1019.5,1013.9,70.88,No,2009-04-05,WNW,NW,0.0,22.0
30.0,54.68,No,45.32,NE,40.0,69.08,68.0,Tuggeranong,6.0,1020.7,1017.4,68.0,No,2009-04-06,NW,ENE,0.0,15.0
31.0,51.08,No,41.0,S,29.0,69.08,57.0,Tuggeranong,20.0,1026.5,1023.1,68.36,No,2009-04-07,SSE,S,0.0,13.0
20.0,53.96,No,39.2,SSW,34.0,71.06,62.0,Tuggeranong,6.0,1027.6,1023.4,70.7,No,2009-04-08,NNW,ENE,0.0,6.0
28.0,59.36,No,50.36,SSW,31.0,73.4,62.0,Tuggeranong,7.0,1025.0,1020.3,72.86,No,2009-04-09,NNW,NNW,0.0,11.0
26.0,54.14,No,46.76,,51.0,70.52,75.0,Tuggeranong,0.0,1023.5,1021.1,69.8,No,2009-04-10,N,NNW,0.0,15.0
41.0,55.58,No,45.32,NW,45.0,74.66,81.0,Tuggeranong,7.0,1026.2,1021.9,71.96,Yes,2009-04-11,NNE,N,0.0,13.0
24.0,58.82,Yes,55.58,NW,38.0,74.66,88.0,Tuggeranong,7.0,1024.0,1020.6,73.22,No,2009-04-12,NNW,NNW,29.6,11.0
28.0,58.28,No,45.68,,58.0,70.16,72.0,Tuggeranong,0.0,1023.8,1020.1,66.2,Yes,2009-04-13,ENE,E,0.0,17.0
39.0,59.36,Yes,55.76,WSW,82.0,68.18,91.0,Tuggeranong,2.0,1016.1,1011.9,64.04,Yes,2009-04-14,E,WSW,29.2,6.0
69.0,57.379999999999995,Yes,46.58,N,36.0,72.32,79.0,Tuggeranong,11.0,1010.7,1006.6,68.72,No,2009-04-15,NW,W,9.0,35.0
37.0,49.82,No,36.32,SE,26.0,67.1,59.0,Tuggeranong,2.0,1014.7,1011.4,65.3,No,2009-04-16,NNW,NE,0.0,20.0
28.0,50.9,No,36.68,SSW,35.0,68.9,65.0,Tuggeranong,4.0,1017.8,1015.4,68.0,No,2009-04-17,NW,ENE,0.0,11.0
30.0,53.42,No,40.64,W,37.0,71.24000000000001,74.0,Tuggeranong,2.0,1022.1,1018.6,70.7,No,2009-04-18,SSE,SE,0.0,9.0
46.0,59.9,No,51.8,SSE,58.0,66.56,61.0,Tuggeranong,22.0,1022.5,1020.2,63.5,No,2009-04-19,S,S,0.0,22.0
46.0,55.76,No,51.26,S,49.0,64.04,57.0,Tuggeranong,22.0,1022.7,1020.5,63.68,No,2009-04-20,S,S,0.0,17.0
37.0,56.3,No,51.620000000000005,S,46.0,64.04,70.0,Tuggeranong,17.0,1025.1,1022.6,62.6,No,2009-04-21,ESE,SSE,0.0,20.0
30.0,55.58,No,45.68,SSW,54.0,65.48,77.0,Tuggeranong,13.0,1026.3,1022.9,62.959999999999994,No,2009-04-22,ESE,ESE,0.0,17.0
20.0,59.18,No,51.620000000000005,ENE,45.0,67.28,62.0,Tuggeranong,7.0,1022.1,1017.2,63.68,No,2009-04-23,N,NNE,0.0,6.0
48.0,50.72,No,43.879999999999995,,73.0,61.16,90.0,Tuggeranong,0.0,1011.5,1005.5,59.540000000000006,Yes,2009-04-24,N,NNW,0.0,13.0
41.0,55.76,Yes,50.72,NW,68.0,59.0,76.0,Tuggeranong,20.0,1002.9,1001.4,55.94,Yes,2009-04-25,NW,WNW,7.4,17.0
65.0,45.68,Yes,43.7,WNW,61.0,50.36,70.0,Tuggeranong,26.0,1001.5,1001.3,48.2,Yes,2009-04-26,NW,NW,8.0,30.0
33.0,48.379999999999995,Yes,42.260000000000005,NNW,60.0,51.620000000000005,59.0,Tuggeranong,13.0,1011.8,1012.1,48.379999999999995,No,2009-04-27,NW,WNW,2.4,13.0
35.0,49.64,No,40.64,WNW,50.0,57.02,79.0,Tuggeranong,15.0,1014.5,1015.4,53.78,No,2009-04-28,W,WNW,0.4,17.0
28.0,44.42,No,38.660000000000004,S,39.0,55.4,58.0,Tuggeranong,15.0,1022.1,1018.8,55.04,No,2009-04-29,N,SSE,0.2,11.0
31.0,46.04,No,39.56,SSW,37.0,61.34,67.0,Tuggeranong,17.0,1021.6,1019.7,59.72,No,2009-04-30,WNW,SSW,0.0,4.0
26.0,41.72,No,32.18,,42.0,62.42,95.0,Tuggeranong,0.0,1025.2,1021.3,62.059999999999995,No,2009-05-01,N,NNW,0.0,13.0
17.0,47.48,No,33.08,,38.0,64.04,71.0,Tuggeranong,0.0,1026.8,1023.8,63.32,No,2009-05-02,E,WSW,0.0,2.0
20.0,47.3,No,37.58,WSW,43.0,64.75999999999999,81.0,Tuggeranong,2.0,1029.4,1025.7,64.4,No,2009-05-03,NNW,WSW,0.0,9.0
15.0,44.78,No,33.98,W,40.0,66.02,81.0,Tuggeranong,2.0,1029.8,1026.8,65.3,No,2009-05-04,ENE,WNW,0.0,4.0
20.0,49.1,No,39.2,,47.0,64.22,75.0,Tuggeranong,0.0,1032.5,1028.4,63.5,No,2009-05-05,NNW,NNE,0.0,11.0
17.0,42.44,No,35.96,W,60.0,62.059999999999995,99.0,Tuggeranong,6.0,1029.2,1024.5,60.980000000000004,No,2009-05-06,N,NW,0.0,7.0
20.0,39.56,No,31.28,,40.0,63.14,98.0,Tuggeranong,0.0,1026.0,1023.0,62.24,No,2009-05-07,,SW,0.0,0.0
31.0,49.64,No,39.56,SSW,37.0,63.32,61.0,Tuggeranong,13.0,1029.6,1025.8,61.7,No,2009-05-08,WSW,S,0.0,7.0
37.0,44.78,No,31.64,NW,39.0,67.46,73.0,Tuggeranong,4.0,1025.6,1021.4,66.56,No,2009-05-09,NW,SSE,0.0,11.0
31.0,53.24,No,43.34,SSE,45.0,62.6,64.0,Tuggeranong,20.0,1026.2,1024.0,60.440000000000005,No,2009-05-10,E,S,0.0,13.0
26.0,43.7,No,31.64,N,46.0,62.059999999999995,78.0,Tuggeranong,4.0,1026.6,1022.4,59.36,No,2009-05-11,W,N,0.0,9.0
20.0,47.48,No,33.8,NW,51.0,61.88,82.0,Tuggeranong,2.0,1022.4,1018.3,59.0,No,2009-05-12,NNW,NW,0.0,11.0
37.0,42.620000000000005,No,30.38,WNW,44.0,60.440000000000005,81.0,Tuggeranong,7.0,1017.4,1013.9,57.74,No,2009-05-13,WNW,WNW,0.0,24.0
46.0,53.06,No,42.620000000000005,NW,56.0,56.66,52.0,Tuggeranong,20.0,1012.7,1011.5,53.6,No,2009-05-14,WNW,WNW,0.0,24.0
56.0,53.96,No,51.26,WNW,59.0,58.1,58.0,Tuggeranong,26.0,1013.2,1010.3,57.56,Yes,2009-05-15,WNW,WSW,0.0,28.0
52.0,56.84,Yes,50.54,WNW,49.0,60.980000000000004,65.0,Tuggeranong,22.0,1008.5,1010.4,59.0,No,2009-05-16,NW,W,3.4,20.0
17.0,40.82,No,30.02,,41.0,60.62,81.0,Tuggeranong,0.0,1019.8,1018.4,60.440000000000005,No,2009-05-17,WNW,NW,0.0,9.0
20.0,42.8,No,30.74,,52.0,60.980000000000004,73.0,Tuggeranong,0.0,1027.0,1023.5,60.08,No,2009-05-18,E,ENE,0.0,11.0
