wind speed 3 pm,rain tomorrow,min temp f,sunshine,temp 9 am f,date,wind dir 9 am,pressure 9 am,cloud 3 pm,humidity 3 pm,humidity 9 am,evaporation,rain today,wind gust speed,wind gust dir,cloud 9 am,temp 3 pm f,max temp f,pressure 3 pm,location,wind speed 9 am,wind dir 3 pm,rainfall
13.0,No,74.12,12.1,85.1,2009-01-20,NNW,1009.7,2.0,10.0,26.0,16.4,No,50.0,NW,0.0,102.56,104.36,1007.0,Woomera,26.0,W,0.0
15.0,No,69.98,13.0,75.2,2009-01-21,SSE,1010.5,1.0,23.0,59.0,18.4,No,54.0,SSE,1.0,93.38000000000001,98.78,1006.6,Woomera,19.0,SW,0.0
24.0,No,71.06,13.2,82.94,2009-01-22,S,1005.6,1.0,7.0,12.0,13.8,No,74.0,WSW,1.0,98.41999999999999,101.84,1004.1,Woomera,6.0,SSW,0.0
20.0,No,66.2,13.0,71.24000000000001,2009-01-23,NNE,1008.8,1.0,12.0,58.0,17.4,No,61.0,W,0.0,96.26,99.32,1005.0,Woomera,4.0,W,0.0
11.0,No,66.92,13.0,71.06,2009-01-24,SSE,1012.7,1.0,25.0,60.0,19.0,No,48.0,SSW,6.0,86.0,91.4,1012.1,Woomera,17.0,SW,0.0
6.0,No,65.12,13.0,74.84,2009-01-25,SE,1015.1,1.0,12.0,38.0,13.6,No,39.0,SE,1.0,96.44,100.22,1013.4,Woomera,19.0,NE,0.0
28.0,No,69.8,13.1,81.32,2009-01-26,ESE,1015.9,1.0,4.0,22.0,17.0,No,44.0,ENE,1.0,101.48,103.82,1012.5,Woomera,24.0,E,0.0
6.0,No,75.38,12.4,91.03999999999999,2009-01-27,E,1011.3,7.0,7.0,9.0,19.0,No,46.0,NNE,1.0,107.96000000000001,110.84,1008.4,Woomera,19.0,NNE,0.0
24.0,No,84.02,12.4,96.08000000000001,2009-01-28,N,1007.8,1.0,16.0,23.0,16.0,No,54.0,NNE,1.0,108.68,112.28,1005.6,Woomera,22.0,N,0.0
15.0,No,83.3,12.9,95.18,2009-01-29,NNW,1009.3,1.0,12.0,20.0,19.0,No,57.0,NNE,0.0,105.8,108.14,1007.1,Woomera,22.0,NNW,0.0
17.0,No,83.66,13.0,94.28,2009-01-30,NNE,1009.4,1.0,9.0,21.0,20.8,No,57.0,NE,0.0,104.53999999999999,108.32,1006.8,Woomera,13.0,NE,0.0
28.0,No,79.7,11.4,88.7,2009-01-31,E,1011.5,1.0,8.0,19.0,20.2,No,54.0,NE,3.0,104.18,107.41999999999999,1008.6,Woomera,13.0,NNE,0.0
17.0,No,80.06,12.9,92.11999999999999,2009-02-01,ENE,1011.6,1.0,10.0,18.0,19.4,No,56.0,ENE,1.0,103.1,107.06,1008.8,Woomera,11.0,E,0.0
6.0,No,80.24000000000001,10.4,91.4,2009-02-02,SE,1009.5,2.0,10.0,25.0,18.2,No,52.0,SE,1.0,106.7,110.3,1006.4,Woomera,9.0,ENE,0.0
7.0,No,80.06,12.4,86.18,2009-02-03,SE,1008.2,1.0,12.0,37.0,16.0,No,44.0,SE,1.0,106.52,110.66,1005.0,Woomera,24.0,SW,0.0
20.0,No,79.34,12.8,87.44,2009-02-04,SE,1006.8,0.0,10.0,34.0,19.2,No,46.0,SSE,0.0,104.18,108.5,1004.4,Woomera,19.0,SW,0.0
20.0,No,77.36,12.8,85.1,2009-02-05,E,1007.0,0.0,8.0,25.0,20.0,No,65.0,SSW,0.0,106.34,109.03999999999999,1005.0,Woomera,20.0,SE,0.0
17.0,No,81.14,12.6,93.2,2009-02-06,ENE,1005.3,0.0,7.0,21.0,24.0,No,52.0,NE,1.0,110.66,114.08000000000001,1002.7,Woomera,26.0,NNE,0.0
22.0,No,88.52,12.6,100.22,2009-02-07,NW,1004.4,1.0,7.0,18.0,22.0,No,61.0,NNW,1.0,113.53999999999999,115.16,1003.0,Woomera,30.0,N,0.0
31.0,No,71.06,12.1,71.78,2009-02-08,SSE,1009.8,1.0,25.0,54.0,24.0,No,67.0,SSW,1.0,93.74,95.53999999999999,1009.5,Woomera,37.0,SSE,0.0
35.0,No,62.78,11.7,65.3,2009-02-09,SSE,1014.4,3.0,19.0,45.0,19.8,No,61.0,SSE,3.0,80.42,83.66,1013.1,Woomera,35.0,SSE,0.0
30.0,No,57.74,12.7,62.24,2009-02-10,SSE,1017.9,1.0,24.0,46.0,18.8,No,63.0,S,1.0,74.84,78.08,1016.9,Woomera,41.0,SSE,0.0
24.0,No,56.48,11.4,60.08,2009-02-11,SE,1020.8,0.0,18.0,41.0,12.4,No,57.0,SE,0.0,74.48,79.34,1017.5,Woomera,30.0,SSW,0.0
19.0,No,57.02,12.5,62.24,2009-02-12,SE,1019.3,0.0,17.0,48.0,14.6,No,46.0,SSE,1.0,77.9,82.04,1016.5,Woomera,30.0,SSE,0.0
24.0,No,57.379999999999995,12.5,64.94,2009-02-13,S,1018.4,0.0,13.0,53.0,13.2,No,57.0,SE,1.0,81.14,85.46000000000001,1015.5,Woomera,22.0,SSE,0.0
24.0,No,64.75999999999999,11.7,72.5,2009-02-14,SE,1017.9,1.0,25.0,38.0,12.0,No,63.0,SE,0.0,84.56,89.6,1014.7,Woomera,19.0,SE,0.0
17.0,No,68.54,12.5,75.2,2009-02-15,SE,1016.1,4.0,17.0,25.0,15.6,No,39.0,SE,1.0,87.44,90.5,1013.2,Woomera,28.0,S,0.0
20.0,No,64.22,12.4,71.78,2009-02-16,SE,1013.4,0.0,11.0,53.0,9.6,No,39.0,SSE,0.0,90.32,93.02,1010.1,Woomera,20.0,ESE,0.0
26.0,No,68.54,12.3,77.72,2009-02-17,E,1011.2,2.0,16.0,34.0,14.8,No,41.0,SE,0.0,90.86,93.38000000000001,1008.6,Woomera,9.0,SE,0.0
4.0,No,70.16,12.3,78.25999999999999,2009-02-18,NNE,1009.8,5.0,20.0,37.0,12.2,No,44.0,SE,1.0,89.96000000000001,95.53999999999999,1006.9,Woomera,19.0,ESE,0.0
35.0,No,76.82,2.9,83.12,2009-02-19,WSW,1009.5,7.0,33.0,25.0,12.2,No,56.0,SW,7.0,84.38000000000001,87.98,1010.7,Woomera,11.0,SW,0.0
28.0,No,66.02,12.3,69.62,2009-02-20,S,1015.9,0.0,29.0,61.0,11.8,No,54.0,SSW,1.0,83.48,87.08000000000001,1014.3,Woomera,19.0,SSW,0.0
13.0,No,61.16,12.5,65.66,2009-02-21,SSE,1017.3,0.0,23.0,55.0,14.2,No,44.0,SSE,0.0,83.84,88.52,1014.2,Woomera,24.0,SSE,0.0
6.0,No,62.42,12.5,71.96,2009-02-22,ESE,1014.5,0.0,12.0,39.0,11.4,No,35.0,SE,0.0,90.68,94.46000000000001,1011.3,Woomera,19.0,WSW,0.0
19.0,No,64.58,12.5,78.08,2009-02-23,WSW,1012.3,1.0,7.0,17.0,12.6,No,44.0,SE,1.0,97.34,98.41999999999999,1011.1,Woomera,4.0,W,0.0
7.0,No,62.959999999999994,12.3,67.64,2009-02-24,SE,1015.3,7.0,21.0,60.0,15.2,No,43.0,SE,1.0,90.86,95.36,1013.2,Woomera,22.0,S,0.0
11.0,No,67.46,12.4,76.1,2009-02-25,E,1014.2,4.0,6.0,20.0,11.4,No,35.0,ESE,1.0,97.88000000000001,100.03999999999999,1012.3,Woomera,20.0,SSE,0.0
15.0,No,73.22,12.1,80.6,2009-02-26,ENE,1013.1,0.0,11.0,12.0,16.0,No,48.0,NNE,0.0,103.1,105.61999999999999,1009.5,Woomera,20.0,WNW,0.0
13.0,No,65.48,10.3,87.8,2009-02-27,N,1011.3,4.0,12.0,17.0,18.2,No,46.0,SSE,1.0,103.82,106.7,1009.4,Woomera,17.0,WNW,0.0
15.0,No,69.8,8.9,75.02,2009-02-28,SE,1011.9,4.0,19.0,39.0,18.8,No,46.0,SE,3.0,95.36,96.8,1010.4,Woomera,24.0,S,0.0
17.0,No,67.28,5.6,71.06,2009-03-01,SSE,1012.4,2.0,19.0,47.0,11.4,No,43.0,SE,5.0,90.86,93.2,1011.1,Woomera,17.0,SE,0.0
31.0,No,70.88,0.9,75.2,2009-03-02,ESE,1009.7,6.0,10.0,41.0,14.2,No,54.0,ENE,7.0,93.74,104.53999999999999,1004.5,Woomera,20.0,ENE,0.0
35.0,Yes,75.02,1.8,79.7,2009-03-03,W,1007.4,6.0,61.0,68.0,9.8,No,63.0,SW,7.0,75.2,79.88,1012.1,Woomera,33.0,SW,0.0
26.0,No,52.16,11.9,59.72,2009-03-04,SSW,1024.4,1.0,28.0,58.0,7.8,Yes,56.0,S,1.0,75.02,78.62,1022.2,Woomera,22.0,SSW,2.2
20.0,No,56.66,10.6,63.14,2009-03-05,S,1023.8,2.0,41.0,59.0,10.4,No,46.0,S,1.0,74.3,78.62,1020.9,Woomera,22.0,S,0.0
13.0,No,58.64,12.0,64.4,2009-03-06,SE,1019.0,1.0,34.0,70.0,10.4,No,44.0,SSW,2.0,78.44,81.5,1015.2,Woomera,22.0,SSW,0.0
7.0,No,60.8,8.9,65.66,2009-03-07,SSE,1015.1,7.0,26.0,65.0,16.0,No,30.0,SE,1.0,82.94,85.46000000000001,1012.4,Woomera,20.0,NE,0.0
31.0,No,65.48,10.0,73.75999999999999,2009-03-08,SE,1014.2,5.0,28.0,37.0,9.4,No,56.0,WSW,6.0,80.96,83.3,1012.8,Woomera,19.0,SW,0.0
35.0,Yes,64.58,4.7,64.94,2009-03-09,S,1015.6,7.0,38.0,79.0,13.6,No,56.0,SE,8.0,75.38,82.4,1013.3,Woomera,28.0,SSE,0.4
26.0,No,61.88,9.8,64.75999999999999,2009-03-10,S,1015.2,1.0,17.0,74.0,6.4,Yes,52.0,E,5.0,87.98,89.78,1012.3,Woomera,15.0,ESE,4.2
7.0,No,64.75999999999999,7.2,72.86,2009-03-11,E,1014.3,7.0,25.0,50.0,12.2,No,46.0,WSW,5.0,85.82,89.06,1011.9,Woomera,15.0,E,0.2
7.0,No,68.36,8.7,69.62,2009-03-12,SE,1013.6,3.0,23.0,72.0,8.6,No,41.0,W,7.0,87.61999999999999,90.14,1012.4,Woomera,9.0,SW,0.2
6.0,No,64.94,10.8,72.32,2009-03-13,ESE,1015.4,1.0,25.0,51.0,10.4,No,30.0,W,0.0,90.68,93.2,1012.7,Woomera,13.0,ESE,0.0
31.0,No,69.8,11.4,71.6,2009-03-14,S,1015.4,0.0,26.0,51.0,11.0,No,56.0,SSW,0.0,80.78,82.94,1014.5,Woomera,31.0,SSW,0.0
20.0,No,55.58,10.5,60.26,2009-03-15,S,1020.2,0.0,27.0,52.0,15.0,No,46.0,SSW,0.0,73.22,77.0,1017.7,Woomera,24.0,SSW,0.0
20.0,No,58.1,11.6,62.24,2009-03-16,S,1020.2,4.0,37.0,66.0,10.6,No,46.0,S,1.0,74.66,78.25999999999999,1017.5,Woomera,17.0,SSW,0.0
9.0,No,55.04,11.5,60.62,2009-03-17,SE,1018.9,0.0,24.0,60.0,12.0,No,37.0,SE,0.0,77.18,80.78,1015.8,Woomera,20.0,SSW,0.0
28.0,No,56.120000000000005,11.5,66.02,2009-03-18,NNE,1015.1,1.0,15.0,38.0,8.4,No,41.0,NNW,3.0,86.9,89.78,1012.1,Woomera,11.0,NNW,0.0
19.0,No,65.84,11.5,71.96,2009-03-19,W,1014.6,5.0,12.0,26.0,13.0,No,,,1.0,91.76,94.28,1012.3,Woomera,13.0,W,0.0
20.0,No,62.78,10.0,67.46,2009-03-20,SE,1014.0,7.0,8.0,64.0,12.4,No,37.0,NW,1.0,94.28,97.34,1010.3,Woomera,17.0,NNW,0.0
19.0,No,67.28,3.5,79.16,2009-03-21,NNE,1010.2,7.0,6.0,10.0,12.0,No,83.0,SSW,5.0,97.88000000000001,100.22,1008.9,Woomera,17.0,NW,0.0
20.0,No,62.24,10.9,64.94,2009-03-22,S,1015.1,1.0,24.0,64.0,13.8,No,54.0,S,1.0,81.68,83.48,1013.6,Woomera,24.0,SSW,0.0
9.0,No,56.120000000000005,10.8,61.88,2009-03-23,SE,1015.1,1.0,16.0,48.0,14.6,No,35.0,SSE,1.0,83.48,87.26,1012.2,Woomera,26.0,SE,0.0
19.0,No,61.88,4.2,70.34,2009-03-24,WSW,1014.7,7.0,35.0,43.0,10.6,No,35.0,SE,7.0,77.72,80.24000000000001,1012.0,Woomera,17.0,SE,0.0
17.0,No,64.94,11.2,73.75999999999999,2009-03-25,S,1016.1,1.0,26.0,49.0,2.4,No,46.0,S,1.0,88.88000000000001,91.76,1014.2,Woomera,7.0,SW,0.8
26.0,No,65.12,11.3,67.64,2009-03-26,SSE,1021.0,0.0,33.0,74.0,11.4,No,50.0,SSE,1.0,82.04,84.2,1020.7,Woomera,30.0,SSE,0.0
17.0,No,59.36,11.2,62.42,2009-03-27,SSE,1024.9,0.0,20.0,52.0,8.5,No,43.0,SSE,0.0,82.94,86.0,1021.6,Woomera,20.0,SE,0.0
6.0,No,57.92,11.3,66.02,2009-03-28,ESE,1021.5,0.0,10.0,27.0,13.2,No,31.0,SE,0.0,87.8,89.78,1018.3,Woomera,11.0,NNW,0.0
7.0,No,62.959999999999994,11.4,69.98,2009-03-29,E,1019.1,1.0,8.0,16.0,11.2,No,31.0,SE,1.0,91.76,93.2,1016.5,Woomera,13.0,NNW,0.0
9.0,No,62.059999999999995,11.1,70.88,2009-03-30,ESE,1018.9,2.0,5.0,20.0,11.6,No,,,1.0,91.03999999999999,93.74,1016.1,Woomera,15.0,S,0.0
9.0,No,65.48,10.2,73.75999999999999,2009-03-31,E,1017.2,5.0,10.0,16.0,12.0,No,35.0,NE,3.0,91.76,93.91999999999999,1014.8,Woomera,17.0,WSW,0.0
11.0,No,65.3,11.4,74.3,2009-04-01,E,1017.0,0.0,13.0,25.0,12.0,No,,,0.0,92.48,94.28,1014.7,Woomera,13.0,ENE,0.0
4.0,No,67.28,11.2,73.22,2009-04-02,W,1017.9,0.0,15.0,29.0,12.4,No,52.0,SSW,0.0,92.84,95.36,1015.6,Woomera,2.0,ESE,0.0
35.0,No,64.04,9.9,64.4,2009-04-03,SSW,1021.4,1.0,23.0,70.0,11.0,No,61.0,S,7.0,75.02,78.98,1020.0,Woomera,33.0,SSW,0.0
20.0,No,55.58,10.1,60.26,2009-04-04,SSE,1025.9,0.0,30.0,59.0,13.2,No,50.0,SSE,7.0,72.14,74.12,1023.3,Woomera,20.0,SSE,0.0
26.0,No,53.96,11.1,61.88,2009-04-05,SSE,1026.0,1.0,31.0,61.0,9.2,No,44.0,S,1.0,73.04,74.66,1022.0,Woomera,24.0,SSW,0.0
22.0,No,56.120000000000005,11.2,60.980000000000004,2009-04-06,SE,1027.0,0.0,25.0,43.0,9.6,No,50.0,SE,1.0,69.98,71.42,1024.3,Woomera,35.0,SSE,0.0
24.0,No,51.26,11.0,58.459999999999994,2009-04-07,SE,1028.9,0.0,24.0,46.0,10.0,No,43.0,SE,0.0,69.62,71.42,1025.0,Woomera,31.0,SE,0.0
9.0,No,52.34,11.0,62.059999999999995,2009-04-08,SE,1026.3,2.0,21.0,50.0,6.0,No,30.0,SE,1.0,74.66,77.0,1022.6,Woomera,19.0,SE,0.0
11.0,No,54.32,11.2,64.75999999999999,2009-04-09,ESE,1021.4,1.0,13.0,47.0,8.0,No,28.0,SW,1.0,78.08,78.8,1018.2,Woomera,19.0,SSW,0.0
13.0,No,54.68,10.0,67.1,2009-04-10,ESE,1020.6,6.0,16.0,32.0,8.0,No,39.0,S,4.0,79.16,80.6,1018.0,Woomera,11.0,S,0.0
6.0,No,55.58,11.2,68.36,2009-04-11,ESE,1021.4,1.0,12.0,29.0,6.6,No,28.0,E,1.0,82.58,84.02,1018.5,Woomera,17.0,ENE,0.0
11.0,No,58.82,10.9,71.96,2009-04-12,ESE,1021.1,1.0,12.0,19.0,7.4,No,33.0,S,1.0,85.46000000000001,86.53999999999999,1017.8,Woomera,15.0,SW,0.0
9.0,No,55.94,11.0,70.7,2009-04-13,ESE,1019.7,1.0,12.0,26.0,8.0,No,39.0,NE,1.0,85.46000000000001,86.9,1015.6,Woomera,7.0,W,0.0
13.0,No,57.74,6.1,69.44,2009-04-14,E,1016.5,7.0,36.0,45.0,9.4,No,67.0,WSW,7.0,74.3,76.82,1014.3,Woomera,7.0,E,0.0
13.0,No,59.72,10.5,65.48,2009-04-15,SSE,1016.5,1.0,29.0,61.0,4.6,No,43.0,S,1.0,78.8,80.06,1013.6,Woomera,28.0,SSW,1.0
13.0,No,55.04,10.7,60.440000000000005,2009-04-16,S,1017.7,3.0,26.0,55.0,7.6,No,33.0,S,2.0,73.75999999999999,75.74000000000001,1015.0,Woomera,22.0,SSW,0.0
15.0,No,55.04,10.6,63.86,2009-04-17,SE,1019.8,0.0,26.0,52.0,6.4,No,31.0,S,1.0,77.36,78.62,1017.7,Woomera,13.0,SSW,0.0
13.0,No,54.14,10.8,63.68,2009-04-18,SE,1023.2,0.0,19.0,60.0,8.0,No,31.0,SE,0.0,79.88,80.6,1020.3,Woomera,20.0,SSE,0.0
17.0,No,56.3,10.0,66.38,2009-04-19,E,1022.8,7.0,25.0,48.0,6.4,No,33.0,ENE,2.0,77.54,78.62,1018.1,Woomera,20.0,SE,0.0
2.0,No,58.28,5.7,66.38,2009-04-20,ESE,1019.0,7.0,26.0,48.0,6.2,No,26.0,ESE,7.0,76.82,78.25999999999999,1015.4,Woomera,13.0,NE,0.0
19.0,No,64.22,5.6,66.38,2009-04-21,ENE,1018.2,1.0,20.0,47.0,6.4,No,37.0,NE,7.0,80.78,82.75999999999999,1015.4,Woomera,15.0,NE,0.0
22.0,No,57.02,9.6,70.88,2009-04-22,NE,1018.6,1.0,14.0,23.0,8.6,No,43.0,NNE,1.0,84.2,85.1,1014.7,Woomera,26.0,NNE,0.0
31.0,Yes,64.94,2.3,69.98,2009-04-23,N,1011.2,8.0,68.0,30.0,12.8,No,69.0,NNW,7.0,64.75999999999999,74.84,1006.4,Woomera,19.0,N,0.0
37.0,No,52.7,4.9,59.18,2009-04-24,WSW,1009.3,7.0,47.0,81.0,3.4,Yes,67.0,WSW,7.0,70.52,72.14,1009.1,Woomera,39.0,WSW,1.4
41.0,No,56.3,6.7,60.8,2009-04-25,W,1011.5,6.0,51.0,78.0,5.2,No,87.0,W,8.0,70.52,72.5,1008.4,Woomera,28.0,W,0.0
26.0,No,53.42,7.1,58.459999999999994,2009-04-26,WSW,1015.9,6.0,43.0,65.0,5.8,No,46.0,SW,3.0,64.04,67.1,1015.2,Woomera,24.0,SW,0.2
28.0,No,46.04,10.4,58.28,2009-04-27,W,1020.6,2.0,38.0,70.0,5.0,No,48.0,W,1.0,71.96,73.22,1017.7,Woomera,17.0,WSW,0.0
15.0,No,51.26,5.9,59.0,2009-04-28,WSW,1023.2,6.0,49.0,82.0,4.4,No,31.0,SSW,5.0,69.08,71.06,1019.9,Woomera,9.0,SW,0.0
13.0,No,51.44,7.8,60.980000000000004,2009-04-29,SSW,1022.7,2.0,42.0,73.0,3.6,No,28.0,S,1.0,68.36,69.62,1020.3,Woomera,13.0,S,0.2
6.0,No,49.46,5.6,62.78,2009-04-30,E,1022.9,7.0,32.0,50.0,4.2,No,17.0,NW,6.0,70.52,73.22,1020.0,Woomera,6.0,SW,0.0
11.0,No,51.8,10.4,62.42,2009-05-01,NE,1024.7,1.0,28.0,44.0,3.4,No,28.0,WSW,1.0,74.3,75.92,1022.0,Woomera,11.0,W,0.0
13.0,No,54.68,10.0,60.26,2009-05-02,SSE,1027.1,4.0,40.0,71.0,6.0,No,33.0,SSW,1.0,68.72,70.88,1024.9,Woomera,22.0,S,0.0
7.0,No,51.44,7.6,57.02,2009-05-03,SE,1028.7,3.0,36.0,63.0,5.6,No,35.0,S,7.0,69.98,71.42,1026.5,Woomera,19.0,SSE,0.0
15.0,No,49.28,10.3,57.56,2009-05-04,ESE,1030.8,1.0,25.0,57.0,4.8,No,30.0,E,0.0,70.16,71.06,1027.9,Woomera,15.0,ESE,0.0
6.0,No,49.64,9.8,58.1,2009-05-05,ESE,1030.9,6.0,24.0,52.0,5.4,No,26.0,S,7.0,70.88,71.96,1027.2,Woomera,17.0,S,0.0
13.0,No,49.82,10.5,58.28,2009-05-06,SSE,1029.5,2.0,35.0,61.0,4.8,No,35.0,SE,3.0,67.82,68.72,1026.1,Woomera,15.0,S,0.0
17.0,No,48.92,9.7,56.48,2009-05-07,SSE,1029.5,5.0,34.0,65.0,5.0,No,43.0,SSE,1.0,66.2,68.72,1026.9,Woomera,13.0,SE,0.0
19.0,No,48.56,10.4,56.66,2009-05-08,SE,1030.5,1.0,34.0,64.0,5.2,No,37.0,ESE,0.0,68.18,69.08,1026.9,Woomera,19.0,SE,0.0
13.0,No,48.02,10.2,55.94,2009-05-09,ESE,1028.0,1.0,37.0,66.0,5.0,No,28.0,S,1.0,67.64,68.9,1024.1,Woomera,19.0,SSE,0.0
13.0,No,44.96,8.1,55.22,2009-05-10,ESE,1024.2,3.0,40.0,66.0,4.0,No,26.0,S,1.0,65.48,68.18,1020.8,Woomera,11.0,S,0.0
9.0,No,46.4,10.2,56.84,2009-05-11,ESE,1023.4,3.0,33.0,62.0,4.0,No,31.0,ESE,1.0,68.36,70.7,1020.9,Woomera,19.0,SSE,0.0
17.0,No,49.46,8.8,57.2,2009-05-12,SE,1023.8,7.0,31.0,61.0,5.0,No,33.0,S,1.0,69.62,71.6,1020.5,Woomera,13.0,SSE,0.0
20.0,No,47.120000000000005,9.8,57.02,2009-05-13,SSE,1022.7,1.0,30.0,75.0,4.6,No,30.0,S,1.0,66.56,68.18,1019.3,Woomera,13.0,SSW,0.0
19.0,No,46.58,9.1,56.48,2009-05-14,SSW,1022.3,5.0,38.0,80.0,4.8,No,39.0,WSW,1.0,65.66,67.1,1019.6,Woomera,13.0,SW,0.0
19.0,No,47.66,5.2,56.48,2009-05-15,WSW,1022.0,7.0,54.0,77.0,4.4,No,43.0,SW,1.0,64.04,66.2,1020.0,Woomera,13.0,WSW,0.0
19.0,No,50.36,7.3,58.1,2009-05-16,WSW,1023.0,4.0,48.0,84.0,3.6,No,35.0,SSW,6.0,67.28,68.9,1020.7,Woomera,13.0,S,0.0
7.0,No,55.22,1.4,59.0,2009-05-17,SE,1023.1,7.0,56.0,82.0,1.8,No,26.0,ESE,6.0,66.38,68.0,1019.8,Woomera,15.0,SE,0.0
11.0,Yes,54.68,0.8,57.92,2009-05-18,SSE,1020.9,8.0,45.0,75.0,4.2,No,19.0,NNE,7.0,66.2,66.92,1016.8,Woomera,2.0,SW,0.0
2.0,No,54.14,2.1,55.94,2009-05-19,N,1017.4,7.0,60.0,91.0,1.6,Yes,17.0,NNW,8.0,62.959999999999994,65.48,1015.0,Woomera,11.0,ESE,4.0
22.0,No,47.3,10.0,56.3,2009-05-20,SSW,1018.9,1.0,35.0,68.0,1.2,No,37.0,SSW,0.0,68.0,69.08,1016.7,Woomera,11.0,SSW,0.0
26.0,No,51.26,10.0,58.28,2009-05-21,E,1021.2,1.0,38.0,77.0,3.8,No,43.0,ENE,0.0,70.16,71.78,1017.8,Woomera,6.0,ENE,0.0
24.0,No,50.72,10.0,59.72,2009-05-22,ENE,1018.8,1.0,32.0,63.0,5.6,No,44.0,NNE,1.0,73.58,74.3,1014.3,Woomera,13.0,NNE,0.0
37.0,No,51.44,4.7,58.64,2009-05-23,NNE,1012.4,7.0,30.0,59.0,6.0,No,52.0,N,7.0,72.68,74.12,1009.2,Woomera,24.0,N,0.0
11.0,Yes,58.64,0.2,61.519999999999996,2009-05-24,SE,1014.9,8.0,40.0,62.0,6.8,No,37.0,WSW,8.0,70.52,71.24000000000001,1012.1,Woomera,13.0,N,0.0
17.0,No,49.46,9.7,53.6,2009-05-25,WSW,1018.9,4.0,53.0,92.0,3.0,Yes,33.0,W,1.0,64.94,65.48,1018.5,Woomera,15.0,SW,18.0
9.0,No,48.74,8.5,54.14,2009-05-26,S,1023.8,1.0,46.0,88.0,2.8,No,22.0,SSW,1.0,63.5,64.58,1021.8,Woomera,9.0,SSW,0.0
