WindDir3pm,Temp9amF,Temp3pmF,Date,RainToday,Cloud9am,RainTomorrow,Sunshine,MaxTempF,MinTempF,Rainfall,Location,WindGustDir,Pressure9am,Humidity3pm,Pressure3pm,WindGustSpeed,Cloud3pm,Evaporation,WindSpeed9am,WindSpeed3pm,WindDir9am,Humidity9am
NE,83.66,87.26,2008-12-31,Yes,7.0,Yes,8.3,88.16,75.38,31.2,Townsville,NNE,1007.4,67.0,1003.7,37.0,7.0,5.2,13.0,13.0,N,76.0
N,83.84,85.82,2009-01-01,Yes,7.0,No,4.8,89.41999999999999,76.64,1.4,Townsville,NNW,1008.0,69.0,1005.4,39.0,7.0,6.4,2.0,19.0,NNW,77.0
ENE,82.75999999999999,86.36,2009-01-02,No,7.0,Yes,2.3,87.8,77.18,0.8,Townsville,WNW,1009.1,72.0,1006.9,26.0,7.0,4.8,0.0,13.0,,73.0
E,78.25999999999999,85.46000000000001,2009-01-03,Yes,7.0,Yes,4.8,88.34,77.54,1.2,Townsville,ESE,1010.1,70.0,1007.5,35.0,7.0,4.8,9.0,11.0,N,90.0
ESE,82.75999999999999,85.46000000000001,2009-01-04,Yes,7.0,No,5.8,88.7,74.84,17.4,Townsville,E,1010.2,69.0,1006.9,43.0,7.0,7.0,22.0,28.0,ESE,72.0
NE,84.56,86.18,2009-01-05,No,4.0,Yes,11.5,88.34,77.0,0.4,Townsville,ENE,1008.8,70.0,1005.6,33.0,7.0,6.2,13.0,26.0,SE,66.0
NE,84.38000000000001,86.0,2009-01-06,Yes,7.0,No,6.5,88.88000000000001,77.36,1.8,Townsville,NE,1009.3,69.0,1005.2,30.0,7.0,8.0,9.0,22.0,SW,68.0
NE,84.02,87.44,2009-01-07,No,7.0,No,7.5,88.88000000000001,77.54,0.6,Townsville,NE,1008.1,68.0,1004.5,31.0,7.0,7.2,6.0,24.0,SW,68.0
E,85.28,86.0,2009-01-08,No,7.0,No,4.0,88.88000000000001,79.34,0.0,Townsville,E,1006.0,71.0,1003.7,43.0,7.0,6.4,13.0,24.0,SSE,67.0
ENE,80.06,85.46000000000001,2009-01-09,No,7.0,Yes,1.2,89.06,77.9,1.0,Townsville,ESE,1006.0,67.0,1003.2,43.0,7.0,6.2,28.0,28.0,SE,83.0
E,84.74,85.46000000000001,2009-01-10,Yes,7.0,No,6.1,88.34,73.75999999999999,4.4,Townsville,ESE,1005.6,55.0,1003.4,61.0,7.0,7.2,19.0,35.0,SE,66.0
ENE,79.34,85.64,2009-01-11,No,7.0,Yes,4.1,88.16,74.66,1.0,Townsville,ESE,1007.2,60.0,1005.6,43.0,7.0,9.4,6.0,24.0,SE,75.0
ESE,76.28,73.75999999999999,2009-01-12,Yes,8.0,Yes,0.0,77.18,75.38,2.8,Townsville,ESE,1005.6,90.0,1004.3,76.0,8.0,8.8,31.0,37.0,ESE,91.0
ESE,73.75999999999999,76.82,2009-01-13,Yes,8.0,Yes,0.0,80.96,68.36,177.6,Townsville,ESE,1005.3,94.0,1003.8,80.0,8.0,,41.0,35.0,ESE,96.0
ESE,80.42,80.06,2009-01-14,Yes,7.0,Yes,0.8,82.94,73.58,44.8,Townsville,ESE,1007.8,90.0,1007.0,65.0,7.0,,31.0,15.0,E,89.0
ENE,76.82,85.1,2009-01-15,Yes,7.0,No,7.0,86.0,75.38,86.2,Townsville,ESE,1011.4,74.0,1009.2,31.0,7.0,,15.0,24.0,SE,96.0
E,82.22,81.68,2009-01-16,No,7.0,Yes,5.5,86.72,76.64,0.0,Townsville,ENE,1012.6,79.0,1010.1,43.0,7.0,3.6,19.0,20.0,ESE,78.0
ENE,81.68,83.12,2009-01-17,Yes,7.0,Yes,1.8,87.44,77.54,3.2,Townsville,NE,1011.6,81.0,1009.6,31.0,7.0,4.0,9.0,20.0,ESE,84.0
ESE,83.48,81.86,2009-01-18,Yes,6.0,Yes,7.8,87.8,75.74000000000001,4.2,Townsville,ESE,1012.5,78.0,1010.9,48.0,7.0,3.6,13.0,19.0,SE,74.0
E,80.6,86.18,2009-01-19,Yes,7.0,No,10.0,87.98,75.38,1.4,Townsville,E,1013.2,65.0,1010.4,54.0,5.0,6.2,20.0,28.0,SE,80.0
ENE,82.58,86.36,2009-01-20,No,6.0,No,9.7,87.98,74.66,0.0,Townsville,NE,1012.6,65.0,1010.7,39.0,6.0,8.4,13.0,28.0,SE,66.0
ENE,84.91999999999999,85.82,2009-01-21,No,5.0,No,11.6,88.52,76.1,0.4,Townsville,E,1012.5,65.0,1009.0,39.0,6.0,8.4,17.0,30.0,ESE,70.0
ENE,83.66,84.56,2009-01-22,No,7.0,Yes,6.9,87.26,78.44,0.2,Townsville,NE,1010.1,79.0,1007.2,37.0,7.0,7.4,9.0,28.0,ENE,81.0
NW,79.34,81.86,2009-01-23,Yes,8.0,Yes,1.0,84.38000000000001,75.56,21.4,Townsville,NNW,1011.6,84.0,1008.4,41.0,7.0,8.6,11.0,11.0,SE,90.0
N,78.08,84.56,2009-01-24,Yes,7.0,Yes,3.1,88.88000000000001,74.48,54.0,Townsville,W,1012.1,64.0,1007.4,33.0,6.0,6.0,7.0,17.0,SW,89.0
ENE,80.6,85.1,2009-01-25,Yes,7.0,Yes,7.6,87.98,75.38,34.2,Townsville,NW,1010.1,72.0,1007.8,33.0,6.0,4.8,9.0,19.0,WNW,84.0
N,77.54,83.3,2009-01-26,Yes,7.0,Yes,0.3,83.66,74.12,42.4,Townsville,W,1011.1,80.0,1008.9,37.0,8.0,6.4,9.0,9.0,SSE,93.0
ESE,81.14,77.36,2009-01-27,Yes,8.0,Yes,1.2,85.46000000000001,74.84,19.0,Townsville,SSE,1011.1,89.0,1008.1,39.0,7.0,5.4,13.0,26.0,SSE,83.0
SE,80.6,76.28,2009-01-28,Yes,7.0,Yes,0.6,83.3,74.84,4.2,Townsville,E,1009.5,91.0,1007.9,43.0,8.0,1.8,15.0,17.0,ESE,76.0
SE,77.9,77.18,2009-01-29,Yes,7.0,Yes,0.0,79.34,73.58,21.6,Townsville,ESE,1008.6,91.0,1006.3,46.0,7.0,3.0,15.0,20.0,SE,85.0
SE,78.98,75.74000000000001,2009-01-30,Yes,7.0,Yes,0.0,81.32,73.58,53.2,Townsville,SE,1006.9,92.0,1005.0,41.0,8.0,5.0,20.0,17.0,SSE,84.0
S,80.6,83.3,2009-01-31,Yes,8.0,Yes,0.1,86.53999999999999,74.3,53.0,Townsville,SE,1006.6,68.0,1003.3,46.0,8.0,6.4,24.0,24.0,ESE,74.0
ESE,77.0,83.3,2009-02-01,Yes,8.0,Yes,0.6,84.02,73.58,31.2,Townsville,SE,1003.3,85.0,1000.8,54.0,7.0,5.2,22.0,33.0,S,91.0
E,78.44,80.6,2009-02-02,Yes,8.0,Yes,1.6,85.46000000000001,75.56,58.6,Townsville,E,1003.2,92.0,999.9,69.0,8.0,4.8,30.0,30.0,ESE,92.0
SE,74.84,77.0,2009-02-03,Yes,8.0,Yes,0.0,77.72,73.04,236.8,Townsville,ESE,1003.8,95.0,1000.6,48.0,8.0,,22.0,20.0,ESE,98.0
ESE,77.18,84.38000000000001,2009-02-04,Yes,8.0,Yes,0.4,85.28,73.4,93.4,Townsville,ESE,1003.2,68.0,1000.5,50.0,7.0,,11.0,22.0,SSE,88.0
ESE,80.96,81.14,2009-02-05,Yes,7.0,Yes,1.2,85.64,74.84,6.2,Townsville,E,1003.1,86.0,1001.0,41.0,7.0,4.2,15.0,26.0,SSE,78.0
ESE,76.28,77.72,2009-02-06,Yes,8.0,Yes,0.1,81.5,75.92,10.2,Townsville,SE,1003.7,96.0,1002.0,59.0,8.0,4.6,24.0,24.0,ESE,96.0
ESE,77.72,79.52,2009-02-07,Yes,8.0,Yes,0.0,80.06,75.02,79.6,Townsville,ESE,1005.7,95.0,1003.8,61.0,8.0,,30.0,19.0,ESE,95.0
ESE,78.25999999999999,77.9,2009-02-08,Yes,8.0,Yes,0.0,82.04,75.74000000000001,95.2,Townsville,ESE,1007.2,94.0,1006.2,37.0,8.0,3.8,9.0,24.0,ESE,94.0
N,81.68,84.91999999999999,2009-02-09,Yes,6.0,Yes,5.5,86.72,76.46,50.6,Townsville,N,1009.2,79.0,1006.5,31.0,7.0,1.2,,20.0,,87.0
N,83.84,85.82,2009-02-10,Yes,7.0,No,7.3,87.26,78.98,3.8,Townsville,N,1009.9,72.0,1007.3,39.0,6.0,2.8,19.0,24.0,NNE,81.0
NNE,84.74,84.91999999999999,2009-02-11,No,7.0,Yes,7.4,89.24,78.98,0.0,Townsville,NNW,1009.1,77.0,1005.7,37.0,7.0,5.2,13.0,22.0,NW,76.0
NNW,82.22,86.0,2009-02-12,Yes,6.0,Yes,9.9,87.8,75.02,48.0,Townsville,N,1008.7,65.0,1006.0,28.0,5.0,9.0,6.0,13.0,W,76.0
ENE,80.06,85.1,2009-02-13,Yes,7.0,Yes,3.7,85.82,75.02,52.6,Townsville,SW,1010.0,69.0,1007.4,35.0,6.0,,7.0,13.0,SSE,83.0
N,80.24000000000001,84.02,2009-02-14,Yes,8.0,No,2.5,86.72,75.92,9.6,Townsville,N,1009.4,74.0,1006.5,28.0,6.0,4.8,6.0,9.0,SW,85.0
ENE,83.48,86.72,2009-02-15,No,7.0,No,10.0,88.88000000000001,78.62,0.0,Townsville,NE,1007.8,72.0,1005.2,26.0,4.0,4.0,9.0,17.0,W,80.0
N,84.2,85.28,2009-02-16,No,6.0,Yes,7.4,88.7,78.08,0.6,Townsville,N,1006.5,74.0,1003.4,33.0,7.0,5.4,,20.0,,79.0
NE,81.68,85.82,2009-02-17,Yes,4.0,No,9.5,87.08000000000001,74.3,43.2,Townsville,ENE,1004.9,72.0,1002.0,31.0,4.0,7.2,2.0,24.0,W,79.0
ENE,84.56,86.53999999999999,2009-02-18,No,1.0,No,12.0,88.88000000000001,75.2,0.0,Townsville,ENE,1005.1,73.0,1002.3,33.0,2.0,6.0,6.0,22.0,NW,68.0
NE,86.18,88.52,2009-02-19,No,5.0,No,11.9,89.78,77.18,0.0,Townsville,NNE,1008.1,64.0,1005.4,28.0,3.0,6.2,6.0,15.0,NNW,70.0
NE,85.82,88.52,2009-02-20,No,7.0,No,11.0,90.14,78.25999999999999,0.0,Townsville,NNE,1009.8,60.0,1007.3,28.0,7.0,7.6,7.0,20.0,NE,70.0
NE,86.53999999999999,88.88000000000001,2009-02-21,No,7.0,Yes,11.2,90.68,78.8,0.0,Townsville,SE,1008.6,62.0,1005.4,39.0,4.0,7.0,13.0,24.0,SE,63.0
SSE,74.84,79.88,2009-02-22,Yes,8.0,Yes,1.4,83.84,74.84,17.4,Townsville,E,1010.0,88.0,1007.6,41.0,7.0,9.8,20.0,15.0,SE,99.0
ESE,76.46,80.24000000000001,2009-02-23,Yes,7.0,No,0.1,83.3,73.58,56.6,Townsville,ESE,1010.7,81.0,1009.4,37.0,8.0,,9.0,22.0,ESE,94.0
NE,79.16,85.82,2009-02-24,No,7.0,Yes,4.9,87.98,76.46,0.8,Townsville,ESE,1012.1,73.0,1008.2,37.0,7.0,1.8,20.0,20.0,NW,87.0
NNE,75.56,83.48,2009-02-25,Yes,8.0,Yes,2.5,85.46000000000001,74.84,1.2,Townsville,N,1013.3,78.0,1008.4,35.0,7.0,6.0,15.0,15.0,NNW,93.0
NE,79.52,86.0,2009-02-26,Yes,7.0,No,3.1,86.72,74.3,65.2,Townsville,ENE,1011.1,67.0,1008.1,28.0,7.0,,15.0,19.0,SSW,82.0
NE,84.02,87.44,2009-02-27,No,3.0,No,11.8,88.34,75.02,0.0,Townsville,E,1010.9,61.0,1008.1,39.0,4.0,3.0,19.0,28.0,SE,59.0
E,82.75999999999999,86.72,2009-02-28,No,1.0,No,11.7,87.26,73.75999999999999,0.0,Townsville,E,1011.9,51.0,1009.6,44.0,2.0,8.6,13.0,28.0,SE,65.0
ENE,82.4,86.18,2009-03-01,No,1.0,No,11.6,87.8,72.14,0.0,Townsville,ENE,1011.9,58.0,1009.5,39.0,2.0,9.4,11.0,28.0,ESE,67.0
ENE,82.58,84.38000000000001,2009-03-02,No,1.0,No,11.6,86.36,71.6,0.0,Townsville,ENE,1012.0,62.0,1009.1,35.0,6.0,9.2,13.0,26.0,E,62.0
NE,83.66,85.64,2009-03-03,No,2.0,No,11.4,87.8,73.22,0.0,Townsville,E,1013.1,59.0,1010.0,39.0,6.0,7.4,13.0,24.0,ESE,61.0
ENE,83.3,88.7,2009-03-04,No,7.0,No,9.9,89.6,75.2,0.0,Townsville,ENE,1012.1,62.0,1009.2,37.0,6.0,6.2,7.0,31.0,SE,68.0
ENE,84.2,87.08000000000001,2009-03-05,No,4.0,No,9.5,89.41999999999999,77.36,0.0,Townsville,ENE,1010.4,68.0,1007.3,37.0,5.0,6.0,11.0,28.0,ENE,74.0
E,84.02,84.02,2009-03-06,No,7.0,No,4.0,88.34,77.0,0.0,Townsville,E,1009.3,71.0,1007.0,48.0,8.0,8.6,15.0,31.0,SE,67.0
SE,81.14,76.82,2009-03-07,No,7.0,Yes,2.1,85.1,75.56,0.8,Townsville,SSE,1006.9,93.0,1004.4,41.0,7.0,6.8,22.0,11.0,SSE,69.0
S,81.86,89.06,2009-03-08,Yes,8.0,Yes,5.3,90.14,76.28,1.2,Townsville,SW,1006.1,54.0,1004.1,31.0,7.0,3.8,20.0,15.0,SW,69.0
NE,84.2,86.18,2009-03-09,Yes,6.0,No,9.0,88.7,76.1,3.0,Townsville,NE,1009.8,67.0,1006.1,33.0,4.0,5.6,6.0,26.0,SSE,70.0
ENE,82.75999999999999,86.72,2009-03-10,No,6.0,No,7.2,89.24,78.62,0.8,Townsville,ENE,1010.4,66.0,1008.1,30.0,6.0,6.0,6.0,19.0,ENE,83.0
ENE,80.6,86.72,2009-03-11,No,7.0,Yes,5.5,88.52,76.64,0.6,Townsville,E,1012.3,63.0,1009.3,43.0,7.0,6.6,9.0,22.0,SE,84.0
NE,83.48,87.61999999999999,2009-03-12,Yes,6.0,Yes,5.5,88.7,75.56,9.2,Townsville,SE,1013.5,63.0,1009.6,31.0,4.0,6.8,22.0,22.0,SSE,67.0
ENE,83.3,88.16,2009-03-13,Yes,6.0,No,11.0,89.41999999999999,75.92,1.2,Townsville,ENE,1012.4,60.0,1008.7,33.0,4.0,5.8,19.0,22.0,S,68.0
NE,84.2,86.9,2009-03-14,No,5.0,No,9.8,88.88000000000001,76.64,0.0,Townsville,ENE,1012.0,67.0,1007.9,37.0,6.0,6.0,11.0,30.0,SSW,66.0
ENE,83.48,87.61999999999999,2009-03-15,No,2.0,No,11.2,91.03999999999999,73.58,0.0,Townsville,NE,1011.3,61.0,1007.4,37.0,1.0,7.0,11.0,28.0,S,65.0
ENE,84.38000000000001,87.26,2009-03-16,No,2.0,No,11.4,89.41999999999999,75.02,0.0,Townsville,NE,1010.0,61.0,1006.8,33.0,4.0,8.0,11.0,28.0,ESE,59.0
NE,83.48,88.34,2009-03-17,No,5.0,No,9.4,90.5,75.38,0.0,Townsville,NE,1009.1,60.0,1006.2,35.0,7.0,8.4,11.0,24.0,SE,67.0
SE,84.02,82.4,2009-03-18,No,7.0,No,2.4,86.53999999999999,75.38,0.0,Townsville,ESE,1009.3,72.0,1007.4,46.0,7.0,7.6,15.0,20.0,SSE,62.0
S,81.32,86.0,2009-03-19,No,7.0,No,4.9,89.78,74.3,0.6,Townsville,E,1010.7,57.0,1006.9,39.0,7.0,5.4,17.0,17.0,SSW,62.0
E,83.48,88.88000000000001,2009-03-20,No,3.0,No,9.9,91.4,73.58,0.0,Townsville,E,1009.5,50.0,1006.1,43.0,6.0,5.6,13.0,9.0,S,55.0
ENE,83.3,87.26,2009-03-21,No,6.0,No,11.3,90.5,70.52,0.0,Townsville,ENE,1009.9,55.0,1006.8,35.0,7.0,7.4,17.0,26.0,S,53.0
NE,83.48,85.1,2009-03-22,No,3.0,Yes,10.6,90.32,71.78,0.0,Townsville,ENE,1011.8,59.0,1008.0,41.0,6.0,8.4,19.0,28.0,SE,58.0
ENE,79.88,85.64,2009-03-23,Yes,7.0,No,9.4,89.78,71.78,1.4,Townsville,ENE,1013.1,52.0,1009.6,37.0,6.0,9.4,15.0,30.0,SSE,60.0
NE,82.04,86.36,2009-03-24,No,2.0,No,11.3,90.14,69.62,0.0,Townsville,ENE,1015.0,53.0,1011.9,41.0,4.0,8.6,20.0,30.0,SE,54.0
E,80.06,86.72,2009-03-25,No,5.0,No,10.2,87.8,68.9,0.0,Townsville,ESE,1017.0,45.0,1013.5,46.0,7.0,9.6,19.0,30.0,ESE,54.0
ENE,82.22,86.72,2009-03-26,No,3.0,No,11.0,89.24,69.08,0.0,Townsville,ENE,1017.6,38.0,1013.9,44.0,4.0,10.2,19.0,30.0,SE,41.0
E,79.88,85.28,2009-03-27,No,6.0,No,6.2,88.52,68.18,0.0,Townsville,ENE,1015.9,50.0,1012.2,39.0,7.0,10.0,2.0,11.0,SSW,48.0
ENE,80.6,85.64,2009-03-28,No,7.0,No,8.1,89.78,69.8,0.0,Townsville,ENE,1015.6,48.0,1012.1,37.0,2.0,8.4,17.0,28.0,S,55.0
ENE,80.24000000000001,84.74,2009-03-29,No,1.0,No,10.7,87.8,69.98,0.0,Townsville,ENE,1014.4,55.0,1010.6,37.0,1.0,8.4,20.0,28.0,SSE,56.0
ENE,80.42,84.91999999999999,2009-03-30,No,0.0,No,10.8,87.8,66.02,0.0,Townsville,NE,1014.2,55.0,1009.9,35.0,3.0,8.4,6.0,28.0,S,56.0
N,80.42,86.72,2009-03-31,No,1.0,No,11.0,88.52,67.46,0.0,Townsville,NE,1012.5,54.0,1008.6,28.0,1.0,7.0,4.0,17.0,NW,67.0
N,81.68,88.34,2009-04-01,No,1.0,No,10.9,91.03999999999999,67.64,0.0,Townsville,N,1011.3,38.0,1008.5,24.0,1.0,6.0,9.0,13.0,WNW,69.0
NE,82.58,86.9,2009-04-02,No,2.0,No,10.8,90.5,72.14,0.0,Townsville,NE,1012.5,47.0,1009.8,39.0,1.0,7.0,7.0,17.0,NW,69.0
NNW,82.58,88.34,2009-04-03,No,1.0,No,11.6,91.22,68.54,0.0,Townsville,NNE,1013.1,36.0,1010.2,31.0,1.0,7.2,6.0,11.0,N,70.0
NE,83.48,86.53999999999999,2009-04-04,No,4.0,No,10.7,89.06,69.08,0.0,Townsville,NE,1013.1,60.0,1009.9,31.0,2.0,6.2,6.0,22.0,E,66.0
ENE,84.02,87.08000000000001,2009-04-05,No,3.0,No,10.1,89.96000000000001,72.14,0.0,Townsville,NE,1012.0,62.0,1009.0,37.0,3.0,7.4,15.0,28.0,ESE,69.0
E,83.66,84.91999999999999,2009-04-06,No,4.0,No,8.9,90.14,72.68,0.0,Townsville,NE,1012.4,69.0,1009.1,39.0,4.0,8.0,13.0,20.0,SE,69.0
ENE,82.94,87.61999999999999,2009-04-07,No,7.0,No,10.5,90.32,74.12,0.0,Townsville,NE,1014.5,57.0,1011.3,35.0,7.0,7.4,17.0,28.0,SE,62.0
ESE,83.66,86.36,2009-04-08,No,5.0,No,9.2,90.68,75.02,0.6,Townsville,ESE,1015.6,58.0,1012.2,50.0,6.0,8.6,20.0,31.0,SE,61.0
E,82.75999999999999,86.0,2009-04-09,No,5.0,No,7.1,89.06,75.38,0.4,Townsville,ESE,1015.0,56.0,1011.9,54.0,7.0,9.2,15.0,31.0,SE,60.0
E,78.98,82.58,2009-04-10,No,7.0,Yes,1.4,88.7,73.58,0.4,Townsville,E,1015.4,69.0,1012.5,43.0,7.0,8.4,17.0,24.0,SSE,73.0
SE,78.98,76.64,2009-04-11,Yes,7.0,Yes,4.1,84.38000000000001,74.12,3.2,Townsville,ESE,1016.6,85.0,1014.4,50.0,7.0,4.4,17.0,17.0,SE,83.0
E,78.98,85.46000000000001,2009-04-12,Yes,7.0,Yes,3.8,88.52,69.98,6.0,Townsville,ENE,1015.8,61.0,1012.2,43.0,7.0,4.2,17.0,24.0,SSE,73.0
ENE,74.84,84.38000000000001,2009-04-13,Yes,8.0,Yes,4.6,87.61999999999999,74.3,3.8,Townsville,ENE,1013.0,72.0,1008.8,35.0,7.0,5.6,7.0,24.0,SSW,95.0
ENE,80.06,85.1,2009-04-14,Yes,7.0,Yes,6.5,87.08000000000001,74.66,22.2,Townsville,ENE,1012.2,71.0,1008.4,31.0,6.0,5.4,11.0,24.0,SE,83.0
ENE,76.64,84.38000000000001,2009-04-15,Yes,8.0,No,5.8,85.28,74.84,12.0,Townsville,E,1012.4,71.0,1008.4,28.0,6.0,4.2,9.0,19.0,W,94.0
E,81.14,80.6,2009-04-16,No,7.0,Yes,4.6,85.46000000000001,76.46,0.6,Townsville,SE,1011.9,79.0,1009.2,30.0,7.0,4.6,7.0,13.0,SE,76.0
ENE,81.32,84.2,2009-04-17,Yes,6.0,No,7.7,87.08000000000001,74.66,2.0,Townsville,ENE,1012.8,66.0,1010.6,37.0,7.0,2.6,15.0,26.0,SE,71.0
ENE,79.34,82.4,2009-04-18,No,3.0,No,8.0,84.02,69.8,0.2,Townsville,ENE,1015.7,60.0,1013.0,28.0,6.0,6.8,6.0,20.0,SSE,66.0
NE,78.8,83.48,2009-04-19,No,1.0,No,10.8,84.56,68.72,0.0,Townsville,NE,1013.6,59.0,1010.0,26.0,1.0,5.4,0.0,15.0,,74.0
N,78.25999999999999,82.22,2009-04-20,No,7.0,No,9.0,84.2,68.54,0.0,Townsville,NNE,1012.2,58.0,1009.1,31.0,7.0,5.0,6.0,17.0,W,78.0
NE,80.42,83.66,2009-04-21,No,4.0,No,10.6,85.28,70.34,0.0,Townsville,NE,1013.6,50.0,1010.3,31.0,7.0,4.8,6.0,20.0,ESE,67.0
NE,79.34,83.3,2009-04-22,No,7.0,No,10.7,84.74,64.94,0.0,Townsville,ENE,1015.1,47.0,1012.4,35.0,3.0,6.0,13.0,28.0,SSE,58.0
