Date,WindGustSpeed,MaxTempF,WindDir3pm,Humidity9am,Rainfall,RainTomorrow,Cloud9am,Evaporation,Humidity3pm,WindGustDir,RainToday,WindDir9am,WindSpeed3pm,Location,Pressure3pm,Pressure9am,Temp3pmF,Temp9amF,MinTempF,Sunshine,WindSpeed9am,Cloud3pm
2009-01-20,65.0,105.08000000000001,SSW,37.0,0.0,No,1.0,15.8,26.0,W,No,NE,33.0,Watsonia,1005.3,1005.5,84.2,78.44,61.88,12.0,4.0,3.0
2009-01-21,33.0,85.46000000000001,SSW,66.0,0.0,No,7.0,14.4,37.0,S,No,E,20.0,Watsonia,1006.1,1010.3,83.3,66.02,58.1,10.9,6.0,6.0
2009-01-22,76.0,96.44,WNW,58.0,0.0,No,8.0,8.0,14.0,W,No,N,31.0,Watsonia,993.9,998.3,95.53999999999999,82.04,60.26,7.6,31.0,7.0
2009-01-23,56.0,89.78,N,46.0,0.0,No,3.0,15.6,13.0,NW,No,W,22.0,Watsonia,1002.5,1008.2,87.26,63.32,53.42,12.3,6.0,2.0
2009-01-24,50.0,74.48,SSW,56.0,0.0,No,6.0,12.8,37.0,W,No,WSW,22.0,Watsonia,1011.2,1007.7,73.04,64.4,60.980000000000004,11.4,20.0,2.0
2009-01-25,39.0,87.08000000000001,S,62.0,0.0,No,0.0,8.0,18.0,SW,No,NE,9.0,Watsonia,1016.3,1018.3,83.48,59.18,48.74,13.3,4.0,0.0
2009-01-26,39.0,80.96,SW,72.0,0.0,No,7.0,7.2,47.0,SSW,No,S,20.0,Watsonia,1019.9,1022.0,78.8,62.059999999999995,52.879999999999995,12.7,11.0,1.0
2009-01-27,39.0,99.5,SW,74.0,0.0,No,1.0,7.6,14.0,N,No,NE,19.0,Watsonia,1013.4,1017.6,96.8,65.84,57.92,12.3,7.0,1.0
2009-01-28,31.0,109.22,NNW,36.0,0.0,No,0.0,12.0,10.0,N,No,ENE,11.0,Watsonia,1009.2,1012.2,106.7,76.82,60.62,13.4,9.0,1.0
2009-01-29,57.0,112.46000000000001,NW,18.0,0.0,No,1.0,20.4,12.0,SSW,No,N,19.0,Watsonia,1009.2,1011.4,109.58000000000001,97.52,76.82,10.3,24.0,4.0
2009-01-30,44.0,111.2,NNW,42.0,0.0,No,1.0,18.6,10.0,N,No,ENE,15.0,Watsonia,1008.9,1011.9,108.86,84.56,72.86,12.8,9.0,1.0
2009-01-31,43.0,91.76,SW,57.0,0.0,No,1.0,14.2,52.0,S,No,ENE,19.0,Watsonia,1013.5,1013.4,84.56,77.36,67.1,10.8,6.0,6.0
2009-02-01,48.0,96.61999999999999,SSE,72.0,0.0,No,7.0,7.6,40.0,SW,No,E,11.0,Watsonia,1011.8,1016.4,90.86,70.7,66.38,7.1,6.0,7.0
2009-02-02,39.0,82.58,SW,77.0,0.0,No,8.0,6.6,65.0,SSW,No,W,24.0,Watsonia,1009.9,1012.1,78.98,71.24000000000001,68.0,2.7,7.0,7.0
2009-02-03,37.0,86.72,S,71.0,1.0,No,7.0,4.2,43.0,S,No,SSE,22.0,Watsonia,1009.9,1012.7,83.48,72.68,67.28,8.4,15.0,3.0
2009-02-04,31.0,93.56,S,74.0,0.0,No,7.0,7.2,29.0,SSE,No,NE,11.0,Watsonia,1005.7,1009.3,89.96000000000001,67.82,60.62,11.0,11.0,0.0
2009-02-05,41.0,89.78,S,65.0,0.0,No,0.0,8.0,39.0,SSW,No,NE,22.0,Watsonia,1006.7,1005.7,84.56,74.66,62.78,13.1,7.0,1.0
2009-02-06,41.0,94.64,SSW,82.0,0.0,No,7.0,8.8,36.0,SSW,No,SE,15.0,Watsonia,1006.8,1010.7,87.8,64.4,62.059999999999995,8.5,9.0,1.0
2009-02-07,74.0,116.06,NW,38.0,0.0,No,2.0,10.8,8.0,NNW,No,NE,41.0,Watsonia,998.2,1003.0,113.36,86.53999999999999,64.4,8.5,6.0,1.0
2009-02-08,37.0,71.06,S,82.0,1.0,No,7.0,20.2,64.0,S,No,WSW,17.0,Watsonia,1013.9,1012.1,66.56,65.12,63.14,2.3,7.0,7.0
2009-02-09,46.0,69.44,SSW,54.0,0.0,No,6.0,7.4,33.0,S,No,SSE,26.0,Watsonia,1015.9,1016.7,68.18,61.519999999999996,57.2,9.0,13.0,4.0
2009-02-10,54.0,68.0,SSW,42.0,0.0,No,4.0,7.2,39.0,SSW,No,SSE,31.0,Watsonia,1016.5,1017.1,64.58,60.980000000000004,53.24,10.0,17.0,6.0
2009-02-11,44.0,66.2,SSW,57.0,0.0,No,7.0,6.8,48.0,SSW,No,S,26.0,Watsonia,1018.9,1018.9,62.959999999999994,58.1,54.5,0.7,19.0,7.0
2009-02-12,46.0,74.12,SSE,59.0,0.0,No,7.0,5.8,38.0,S,No,SSE,20.0,Watsonia,1020.3,1021.1,73.4,61.16,56.120000000000005,10.9,11.0,5.0
2009-02-13,46.0,80.6,WSW,64.0,0.0,No,0.0,7.8,26.0,S,No,NW,11.0,Watsonia,1022.7,1025.4,78.8,56.3,48.02,11.8,2.0,0.0
2009-02-14,44.0,84.02,S,63.0,0.0,No,0.0,5.8,27.0,NE,No,ENE,15.0,Watsonia,1018.8,1022.9,81.32,60.8,52.16,12.3,7.0,0.0
2009-02-15,48.0,84.91999999999999,SSE,77.0,0.0,No,4.0,6.8,29.0,S,No,E,17.0,Watsonia,1015.6,1018.7,81.86,59.0,53.96,11.7,4.0,6.0
2009-02-16,33.0,86.0,WSW,71.0,0.0,No,0.0,7.8,33.0,S,No,,20.0,Watsonia,1015.6,1019.5,83.84,61.88,55.4,12.2,0.0,1.0
2009-02-17,30.0,89.6,E,64.0,0.0,No,0.0,8.2,22.0,SE,No,ENE,7.0,Watsonia,1013.4,1016.9,86.9,64.04,53.96,12.0,11.0,2.0
2009-02-18,31.0,86.72,SW,66.0,0.0,No,4.0,9.4,30.0,SW,No,ENE,17.0,Watsonia,1009.0,1012.7,83.66,64.94,54.86,7.7,6.0,2.0
2009-02-19,33.0,88.34,SW,78.0,0.0,No,1.0,6.6,22.0,S,No,NNW,17.0,Watsonia,1006.7,1009.0,86.0,64.4,57.92,11.3,6.0,1.0
2009-02-20,43.0,75.02,SSW,82.0,0.2,No,7.0,8.0,47.0,ESE,No,WSW,17.0,Watsonia,1012.7,1012.8,73.04,62.42,62.42,7.4,7.0,3.0
2009-02-21,43.0,73.75999999999999,SSW,72.0,0.6,No,7.0,6.4,53.0,SSW,No,S,26.0,Watsonia,1016.8,1017.3,71.06,64.4,60.62,8.9,17.0,4.0
2009-02-22,31.0,80.96,SW,75.0,0.0,No,7.0,6.4,50.0,SSW,No,S,22.0,Watsonia,1013.8,1017.5,77.54,63.86,60.8,10.1,11.0,1.0
2009-02-23,54.0,95.0,WNW,79.0,0.0,No,6.0,6.6,13.0,S,No,ENE,20.0,Watsonia,1007.3,1010.6,93.02,64.04,56.66,9.0,9.0,2.0
2009-02-24,48.0,68.18,SSW,54.0,0.0,No,2.0,10.6,39.0,SSW,No,WSW,22.0,Watsonia,1018.8,1018.5,66.56,60.8,55.04,12.2,7.0,2.0
2009-02-25,30.0,70.16,SSW,97.0,0.6,No,8.0,7.6,60.0,SSW,No,WSW,19.0,Watsonia,1019.2,1020.5,67.46,56.84,55.94,3.4,9.0,7.0
2009-02-26,48.0,88.52,WNW,92.0,0.2,No,3.0,4.4,30.0,SW,No,N,7.0,Watsonia,1016.2,1019.2,84.02,56.66,51.98,11.0,9.0,1.0
2009-02-27,43.0,93.91999999999999,NNW,69.0,0.0,No,5.0,7.8,22.0,SSW,No,ENE,19.0,Watsonia,1010.9,1013.8,89.41999999999999,64.22,56.66,8.7,4.0,2.0
2009-02-28,39.0,72.68,SW,69.0,0.0,No,7.0,12.4,46.0,SSW,No,SW,20.0,Watsonia,1011.8,1012.9,70.88,61.519999999999996,59.9,6.3,9.0,1.0
2009-03-01,33.0,67.1,SSE,73.0,0.0,No,7.0,6.2,59.0,S,No,SSE,13.0,Watsonia,1014.7,1014.7,63.68,59.72,58.1,0.8,11.0,7.0
2009-03-02,24.0,81.68,WSW,60.0,0.0,No,7.0,4.6,36.0,SSW,No,E,9.0,Watsonia,1011.3,1015.5,77.54,61.519999999999996,56.66,10.1,9.0,1.0
2009-03-03,74.0,90.32,NNE,54.0,0.0,Yes,7.0,7.6,37.0,NNE,No,NNE,28.0,Watsonia,1000.4,1009.3,84.02,68.54,61.519999999999996,1.0,19.0,7.0
2009-03-04,57.0,63.5,NW,56.0,10.0,Yes,1.0,10.0,58.0,W,Yes,NW,20.0,Watsonia,1012.0,1012.5,60.440000000000005,57.379999999999995,54.5,4.4,17.0,7.0
2009-03-05,50.0,60.440000000000005,SSW,96.0,2.4,Yes,7.0,4.6,69.0,WSW,Yes,SW,24.0,Watsonia,1016.1,1015.7,59.9,53.24,52.52,0.2,9.0,8.0
2009-03-06,33.0,67.64,SSW,96.0,3.4,Yes,7.0,2.6,61.0,SSW,Yes,,19.0,Watsonia,1015.3,1016.3,63.14,53.42,52.7,5.4,0.0,7.0
2009-03-07,30.0,68.9,SSW,65.0,1.2,No,7.0,3.4,54.0,SSW,Yes,WNW,13.0,Watsonia,1016.1,1016.5,66.92,59.9,53.42,6.4,11.0,7.0
2009-03-08,35.0,70.7,S,65.0,0.0,No,7.0,4.2,46.0,S,No,SE,13.0,Watsonia,1020.0,1021.2,67.64,58.1,56.120000000000005,5.0,11.0,3.0
2009-03-09,30.0,78.98,SSW,86.0,0.0,No,7.0,4.2,42.0,SSW,No,ENE,7.0,Watsonia,1018.3,1021.4,76.64,52.52,45.32,10.1,7.0,1.0
2009-03-10,28.0,81.5,WSW,99.0,0.0,No,8.0,4.0,50.0,SSW,No,NNE,9.0,Watsonia,1018.5,1020.9,77.36,59.0,52.52,6.2,6.0,7.0
2009-03-11,31.0,86.0,SE,99.0,0.0,Yes,7.0,4.6,37.0,E,No,,11.0,Watsonia,1017.8,1021.2,82.75999999999999,60.980000000000004,57.74,5.5,0.0,6.0
2009-03-12,31.0,74.84,NE,63.0,5.0,Yes,7.0,4.8,66.0,N,Yes,N,19.0,Watsonia,1017.0,1018.8,73.04,71.42,60.8,2.4,9.0,7.0
2009-03-13,22.0,87.44,WNW,95.0,5.6,No,2.0,3.8,42.0,NW,Yes,,9.0,Watsonia,1013.5,1016.8,83.66,63.32,58.1,9.8,0.0,4.0
2009-03-14,81.0,74.66,ENE,64.0,0.2,Yes,7.0,6.8,99.0,WSW,No,NNE,6.0,Watsonia,1006.5,1007.8,63.5,73.58,62.959999999999994,4.1,20.0,7.0
2009-03-15,44.0,64.04,W,77.0,36.0,No,7.0,3.6,50.0,W,Yes,NNW,20.0,Watsonia,1010.7,1011.4,61.519999999999996,53.6,51.44,2.9,22.0,7.0
2009-03-16,39.0,69.44,SW,62.0,0.0,No,6.0,5.6,54.0,W,No,NW,20.0,Watsonia,1011.9,1012.0,66.92,58.28,53.06,5.0,13.0,6.0
2009-03-17,35.0,64.4,S,70.0,0.6,No,7.0,5.0,67.0,WSW,No,WSW,19.0,Watsonia,1017.7,1017.5,62.42,57.02,54.86,4.9,13.0,7.0
2009-03-18,33.0,81.68,N,71.0,0.0,No,3.0,4.0,20.0,NNE,No,ENE,17.0,Watsonia,1012.8,1017.5,78.8,57.379999999999995,52.879999999999995,8.8,9.0,2.0
2009-03-19,37.0,90.86,N,56.0,0.0,No,3.0,8.0,20.0,N,No,ENE,22.0,Watsonia,1011.1,1013.9,86.72,61.7,54.86,10.2,7.0,1.0
2009-03-20,30.0,83.12,SW,89.0,0.0,No,5.0,8.8,50.0,WSW,No,ENE,20.0,Watsonia,1012.8,1015.8,78.62,60.980000000000004,57.92,10.5,6.0,1.0
2009-03-21,48.0,94.64,N,78.0,0.0,No,1.0,6.2,12.0,N,No,NNE,28.0,Watsonia,1010.2,1013.4,92.84,62.6,54.68,10.6,6.0,1.0
2009-03-22,39.0,80.24000000000001,SW,30.0,0.0,Yes,2.0,14.8,66.0,W,No,NNW,22.0,Watsonia,1012.3,1010.0,69.25999999999999,79.7,62.6,6.1,11.0,6.0
2009-03-23,24.0,64.94,SW,78.0,1.4,No,8.0,8.0,61.0,SW,Yes,S,13.0,Watsonia,1016.2,1016.8,63.5,58.82,57.74,4.5,11.0,6.0
2009-03-24,20.0,71.42,S,91.0,0.0,Yes,7.0,1.0,49.0,WSW,No,NNE,7.0,Watsonia,1015.1,1017.4,70.16,53.6,48.56,3.4,6.0,7.0
2009-03-25,30.0,77.9,SSW,93.0,2.0,No,7.0,2.2,55.0,SW,Yes,NNE,4.0,Watsonia,1014.4,1016.3,75.2,62.059999999999995,53.6,3.2,2.0,6.0
2009-03-26,43.0,74.3,SSW,99.0,0.4,No,2.0,2.6,51.0,S,No,WSW,15.0,Watsonia,1020.5,1019.4,72.5,57.379999999999995,54.68,8.4,6.0,3.0
2009-03-27,28.0,68.0,SW,72.0,0.0,No,7.0,5.4,48.0,SW,No,W,15.0,Watsonia,1025.1,1026.9,65.3,55.94,52.16,9.4,2.0,4.0
2009-03-28,17.0,81.86,SW,90.0,0.0,No,3.0,4.0,29.0,SW,No,NE,7.0,Watsonia,1020.7,1024.1,77.9,48.92,43.879999999999995,9.6,7.0,1.0
2009-03-29,30.0,80.6,SW,63.0,0.0,No,1.0,6.2,27.0,SSW,No,NE,19.0,Watsonia,1021.3,1022.1,77.72,53.24,44.96,11.1,7.0,1.0
2009-03-30,31.0,75.38,SSW,96.0,0.0,No,5.0,4.8,44.0,SW,No,,9.0,Watsonia,1023.0,1026.0,73.75999999999999,57.2,52.52,9.3,0.0,2.0
2009-03-31,28.0,84.56,E,99.0,0.0,No,0.0,4.2,30.0,ESE,No,ENE,11.0,Watsonia,1020.6,1023.6,82.94,55.94,53.24,10.5,9.0,1.0
2009-04-01,24.0,85.1,S,85.0,0.0,No,1.0,6.2,30.0,SSW,No,NNE,11.0,Watsonia,1019.7,1022.4,83.12,57.74,53.24,10.3,2.0,3.0
2009-04-02,31.0,90.68,NNW,69.0,0.0,No,5.0,6.2,27.0,N,No,NE,15.0,Watsonia,1017.6,1021.4,89.78,64.22,56.84,10.4,6.0,5.0
2009-04-03,44.0,78.44,SSW,56.0,0.0,Yes,6.0,10.6,99.0,SW,No,NNE,19.0,Watsonia,1014.9,1014.4,59.540000000000006,76.46,64.22,2.1,17.0,8.0
2009-04-04,33.0,63.86,SSW,79.0,29.2,No,1.0,6.2,47.0,SSW,Yes,WSW,19.0,Watsonia,1022.1,1022.3,63.32,52.879999999999995,49.46,4.8,9.0,7.0
2009-04-05,44.0,67.28,SW,65.0,0.2,Yes,7.0,2.4,86.0,SSW,No,NW,13.0,Watsonia,1017.9,1019.9,59.9,59.0,49.64,4.2,11.0,7.0
2009-04-06,44.0,60.980000000000004,SSW,97.0,2.4,Yes,7.0,3.4,59.0,SSW,Yes,NE,22.0,Watsonia,1024.9,1025.8,58.459999999999994,48.74,46.22,3.9,6.0,7.0
2009-04-07,30.0,61.7,SSW,99.0,7.2,Yes,7.0,2.6,73.0,SW,Yes,WSW,17.0,Watsonia,1027.7,1029.8,60.8,52.16,48.379999999999995,2.8,7.0,7.0
2009-04-08,28.0,67.1,SSW,69.0,1.4,No,7.0,1.8,61.0,W,Yes,SSW,13.0,Watsonia,1025.3,1028.1,65.48,58.64,51.8,6.1,7.0,4.0
2009-04-09,35.0,78.8,N,80.0,0.2,No,7.0,2.6,32.0,NW,No,NNE,19.0,Watsonia,1018.2,1023.8,77.36,57.74,53.6,8.7,4.0,1.0
2009-04-10,24.0,65.66,SSW,84.0,0.0,No,8.0,4.0,77.0,SSW,No,,17.0,Watsonia,1019.0,1020.1,63.32,58.82,56.3,3.9,0.0,7.0
2009-04-11,20.0,72.32,SSE,90.0,0.6,No,8.0,3.2,57.0,SW,No,W,4.0,Watsonia,1020.8,1024.0,70.88,58.64,54.32,4.8,2.0,3.0
2009-04-12,44.0,70.34,SSW,99.0,0.2,No,0.0,1.4,53.0,N,No,SE,15.0,Watsonia,1020.9,1022.8,68.9,55.04,49.1,10.7,4.0,1.0
2009-04-13,19.0,78.44,SE,90.0,0.2,No,2.0,4.0,27.0,ESE,No,NE,6.0,Watsonia,1018.3,1022.8,77.9,53.06,44.239999999999995,11.0,7.0,4.0
2009-04-14,39.0,83.3,WNW,64.0,0.0,Yes,2.0,6.0,19.0,NW,No,ENE,22.0,Watsonia,1009.0,1014.2,81.32,59.18,48.02,10.5,9.0,1.0
2009-04-15,81.0,61.34,WSW,65.0,3.0,No,3.0,9.0,53.0,W,Yes,W,26.0,Watsonia,1011.3,1007.3,56.66,56.84,53.24,6.3,22.0,6.0
2009-04-16,57.0,67.82,NNW,52.0,0.0,No,7.0,5.6,37.0,NNW,No,NNW,24.0,Watsonia,1010.2,1013.0,67.1,56.120000000000005,39.56,5.6,24.0,3.0
2009-04-17,22.0,70.34,SW,65.0,0.0,No,6.0,5.0,51.0,WNW,No,WNW,2.0,Watsonia,1017.1,1017.8,68.36,60.440000000000005,55.94,5.1,11.0,7.0
2009-04-18,30.0,64.4,SW,86.0,0.0,No,2.0,1.8,64.0,SW,No,,15.0,Watsonia,1023.2,1023.6,63.14,55.76,49.82,4.1,0.0,7.0
2009-04-19,33.0,66.02,S,77.0,0.4,No,8.0,3.0,57.0,SW,No,SSE,15.0,Watsonia,1022.7,1026.0,64.94,57.56,54.68,4.8,7.0,5.0
2009-04-20,19.0,71.06,SW,99.0,0.2,No,5.0,2.8,42.0,SSW,No,NNE,9.0,Watsonia,1020.5,1024.2,69.62,48.92,43.34,9.5,6.0,2.0
2009-04-21,20.0,75.56,NE,86.0,0.0,No,0.0,2.4,32.0,SE,No,ENE,6.0,Watsonia,1021.2,1024.5,73.58,51.26,42.8,10.2,9.0,0.0
2009-04-22,28.0,75.92,NNW,79.0,0.0,No,0.0,4.0,31.0,N,No,,9.0,Watsonia,1021.2,1024.8,74.48,51.620000000000005,44.239999999999995,10.3,0.0,1.0
2009-04-23,39.0,73.58,N,70.0,0.0,No,3.0,5.6,37.0,NE,No,ENE,20.0,Watsonia,1013.7,1019.5,71.78,56.48,46.04,7.6,9.0,7.0
2009-04-24,61.0,65.84,N,64.0,0.0,Yes,8.0,7.4,77.0,N,No,N,19.0,Watsonia,998.4,1002.8,62.24,64.94,56.48,0.0,30.0,7.0
2009-04-25,61.0,64.58,N,75.0,1.2,Yes,7.0,1.8,62.0,N,Yes,N,35.0,Watsonia,994.2,1000.9,63.86,57.02,53.06,3.9,15.0,7.0
2009-04-26,72.0,55.4,W,64.0,1.6,No,7.0,5.2,65.0,W,Yes,N,37.0,Watsonia,999.1,997.7,52.52,49.28,46.58,4.2,20.0,7.0
2009-04-27,37.0,57.2,N,69.0,1.0,Yes,5.0,3.0,80.0,N,No,N,15.0,Watsonia,1010.7,1011.6,50.9,49.82,42.980000000000004,2.7,7.0,7.0
2009-04-28,41.0,55.58,SSW,87.0,12.6,Yes,5.0,2.6,52.0,SW,Yes,E,15.0,Watsonia,1020.7,1020.0,52.7,46.4,44.239999999999995,5.1,2.0,7.0
2009-04-29,19.0,54.86,SW,99.0,1.8,No,7.0,0.4,62.0,S,Yes,E,11.0,Watsonia,1022.3,1024.1,53.24,41.72,39.56,2.6,6.0,7.0
2009-04-30,28.0,62.6,N,98.0,0.2,No,1.0,1.2,36.0,N,No,ENE,17.0,Watsonia,1020.4,1023.7,61.7,38.660000000000004,31.82,10.1,7.0,2.0
2009-05-01,37.0,58.64,SW,49.0,0.0,No,7.0,3.8,71.0,N,No,N,9.0,Watsonia,1022.4,1023.0,55.94,54.32,38.48,0.3,20.0,7.0
2009-05-02,22.0,62.24,SSW,99.0,0.0,No,1.0,1.6,49.0,S,No,ENE,13.0,Watsonia,1026.0,1028.0,61.519999999999996,46.58,41.18,9.7,4.0,3.0
2009-05-03,17.0,64.4,WSW,93.0,0.0,No,7.0,2.4,52.0,SW,No,ENE,9.0,Watsonia,1026.9,1029.5,63.68,44.06,37.94,7.8,6.0,3.0
2009-05-04,28.0,59.72,SSW,94.0,0.0,No,7.0,1.4,89.0,S,No,NE,15.0,Watsonia,1030.1,1030.8,57.379999999999995,49.46,43.519999999999996,0.7,6.0,7.0
2009-05-05,20.0,62.42,SW,99.0,0.2,No,5.0,1.2,59.0,SSW,No,ENE,13.0,Watsonia,1029.0,1032.5,61.34,42.08,37.22,8.6,4.0,4.0
2009-05-06,17.0,61.7,SSE,94.0,0.0,No,8.0,2.8,59.0,SW,No,NNE,7.0,Watsonia,1026.4,1029.5,59.18,48.56,41.9,5.4,7.0,6.0
2009-05-07,35.0,60.26,SW,81.0,0.0,No,5.0,1.6,67.0,SSW,No,WSW,19.0,Watsonia,1027.2,1027.8,58.28,55.4,48.379999999999995,5.2,13.0,5.0
2009-05-08,26.0,59.36,S,86.0,0.4,Yes,7.0,1.8,72.0,SSE,No,,11.0,Watsonia,1029.0,1031.0,58.28,53.78,51.98,0.1,0.0,7.0
2009-05-09,24.0,59.36,SW,100.0,2.0,No,8.0,0.2,71.0,SSW,Yes,SSW,13.0,Watsonia,1025.8,1028.0,58.1,55.22,53.78,1.9,7.0,7.0
2009-05-10,26.0,62.959999999999994,SSE,90.0,0.6,No,6.0,1.6,57.0,SSW,No,SSW,11.0,Watsonia,1023.7,1026.5,62.059999999999995,51.8,47.120000000000005,5.7,4.0,4.0
2009-05-11,22.0,63.14,SSW,99.0,0.2,No,7.0,1.0,61.0,SSW,No,NNE,17.0,Watsonia,1022.5,1025.4,61.88,46.76,41.72,5.9,2.0,1.0
2009-05-12,17.0,60.980000000000004,SW,99.0,0.0,No,6.0,1.6,60.0,SSW,No,NE,7.0,Watsonia,1019.9,1023.1,59.9,49.28,43.7,1.4,4.0,7.0
2009-05-13,33.0,61.16,W,70.0,0.4,No,7.0,1.4,53.0,W,No,NW,13.0,Watsonia,1013.9,1017.1,60.440000000000005,55.04,43.16,1.6,9.0,7.0
2009-05-14,46.0,61.519999999999996,W,72.0,0.0,No,6.0,2.0,55.0,W,No,NNW,28.0,Watsonia,1010.1,1012.4,60.8,54.5,51.26,1.6,11.0,7.0
2009-05-15,57.0,65.12,NW,73.0,0.0,No,7.0,4.0,61.0,WSW,No,N,22.0,Watsonia,1005.8,1009.4,64.58,58.28,54.5,0.0,19.0,7.0
2009-05-16,67.0,60.62,WSW,72.0,0.6,No,7.0,4.0,52.0,SW,No,WSW,19.0,Watsonia,1014.1,1012.2,56.84,53.78,51.44,2.2,20.0,6.0
2009-05-17,31.0,61.34,SSW,98.0,0.2,No,7.0,2.8,63.0,W,No,N,13.0,Watsonia,1020.4,1021.5,60.980000000000004,53.06,51.08,0.9,7.0,7.0
2009-05-18,15.0,65.12,S,99.0,0.2,No,2.0,0.6,47.0,SE,No,ENE,4.0,Watsonia,1021.8,1025.3,63.86,44.6,40.82,9.2,4.0,1.0
2009-05-19,13.0,67.46,E,99.0,0.2,No,7.0,1.0,48.0,ENE,No,ENE,7.0,Watsonia,1019.5,1022.8,67.28,44.42,41.54,6.3,7.0,7.0
2009-05-20,19.0,70.34,SE,94.0,0.0,No,7.0,2.2,45.0,SE,No,NE,7.0,Watsonia,1021.2,1022.9,68.9,48.379999999999995,42.980000000000004,7.3,7.0,7.0
2009-05-21,15.0,59.72,SW,100.0,0.0,No,8.0,1.6,78.0,SW,No,,6.0,Watsonia,1023.8,1025.6,58.82,49.46,45.68,5.6,0.0,1.0
2009-05-22,17.0,69.44,SE,99.0,0.4,No,1.0,1.6,44.0,SE,No,NNE,9.0,Watsonia,1021.2,1025.3,68.72,43.519999999999996,40.82,9.3,6.0,0.0
2009-05-23,31.0,73.04,NE,80.0,0.0,No,7.0,2.0,36.0,NNE,No,ENE,15.0,Watsonia,1018.1,1021.2,71.06,50.0,43.16,5.0,9.0,7.0
