WindGustSpeed,Pressure9am,Temp3pmF,WindGustDir,MaxTempF,MinTempF,Humidity3pm,Date,RainTomorrow,RainToday,Temp9amF,WindDir3pm,Humidity9am,Rainfall,WindSpeed3pm,WindDir9am,Pressure3pm,Location,WindSpeed9am
54.0,1019.3,77.36,NE,82.04,68.18,66.0,2009-01-13,No,No,75.92,NE,75.0,0.2,31.0,NE,1016.9,NorahHead,17.0
52.0,1015.1,77.18,NE,80.06,67.64,69.0,2009-01-14,No,No,73.94,NE,78.0,0.0,41.0,NNE,1011.5,NorahHead,22.0
69.0,1009.6,,S,81.86,68.36,,2009-01-15,Yes,No,74.66,,79.0,0.0,,NNE,,NorahHead,30.0
57.0,1012.9,73.94,SSE,76.46,66.2,69.0,2009-01-16,Yes,Yes,68.72,ESE,78.0,10.4,20.0,SSW,1009.5,NorahHead,11.0
61.0,1019.4,68.72,SSE,69.98,64.4,63.0,2009-01-17,No,Yes,66.02,SSE,65.0,1.2,43.0,SSE,1019.8,NorahHead,48.0
41.0,1021.7,72.86,NNE,74.84,58.1,54.0,2009-01-18,No,No,68.18,E,66.0,0.0,22.0,SSW,1020.1,NorahHead,11.0
54.0,1019.3,76.46,NNE,79.16,62.959999999999994,67.0,2009-01-19,No,No,73.22,NE,65.0,0.0,35.0,NNE,1015.5,NorahHead,30.0
48.0,1014.2,77.9,NE,80.06,66.02,71.0,2009-01-20,No,No,74.3,NE,74.0,0.0,37.0,NNE,1010.7,NorahHead,20.0
72.0,1012.3,78.08,S,81.68,69.98,71.0,2009-01-21,Yes,No,76.1,NE,77.0,0.0,37.0,N,1008.3,NorahHead,15.0
69.0,1009.7,,N,84.56,70.34,,2009-01-22,No,Yes,78.62,,71.0,2.0,,NNW,,NorahHead,19.0
41.0,1009.6,79.7,NNE,91.76,71.06,67.0,2009-01-23,No,No,84.56,NE,61.0,0.0,24.0,NW,1007.9,NorahHead,19.0
74.0,1005.4,103.64,S,104.72,71.06,30.0,2009-01-24,No,No,87.8,WNW,63.0,0.0,17.0,NW,1002.9,NorahHead,17.0
65.0,1018.7,73.75999999999999,S,74.84,68.72,68.0,2009-01-25,No,No,70.52,SSE,69.0,0.0,24.0,SSE,1018.1,NorahHead,31.0
,1018.6,73.58,,74.12,67.64,84.0,2009-01-26,No,No,69.62,SSW,91.0,0.4,26.0,SSW,1018.4,NorahHead,24.0
31.0,1020.6,78.62,SE,78.98,,,2009-01-27,No,No,71.06,SSE,94.0,0.0,13.0,SSW,1019.6,NorahHead,13.0
41.0,1018.7,79.34,NE,82.58,68.18,70.0,2009-01-28,No,No,75.56,NE,80.0,0.2,30.0,ENE,1016.3,NorahHead,6.0
50.0,1018.4,79.52,NE,85.28,69.62,75.0,2009-01-29,No,No,75.2,NE,81.0,0.2,39.0,N,1016.3,NorahHead,9.0
57.0,1018.5,79.16,NE,84.74,69.62,72.0,2009-01-30,No,No,76.28,NE,76.0,0.2,41.0,NNE,1015.5,NorahHead,9.0
56.0,1017.4,78.62,NNE,84.2,68.54,71.0,2009-01-31,No,No,74.3,NE,82.0,0.0,33.0,NNE,1014.3,NorahHead,11.0
31.0,1015.7,78.98,NNE,80.24000000000001,67.46,71.0,2009-02-01,No,No,73.75999999999999,E,81.0,0.2,20.0,SSE,1015.0,NorahHead,11.0
44.0,1015.9,78.44,NNE,84.2,69.98,73.0,2009-02-02,No,No,76.1,NE,78.0,0.0,28.0,NNE,1012.4,NorahHead,9.0
30.0,1010.3,79.16,NNE,80.42,67.64,70.0,2009-02-03,No,No,71.96,E,83.0,0.0,9.0,NNE,1009.2,NorahHead,19.0
33.0,1011.1,77.54,NE,78.98,70.16,82.0,2009-02-04,Yes,No,71.24000000000001,SSE,96.0,0.0,13.0,NW,1009.4,NorahHead,17.0
52.0,1009.2,78.44,NE,83.66,69.08,74.0,2009-02-05,No,Yes,75.38,NE,85.0,2.0,33.0,NE,1006.4,NorahHead,9.0
43.0,1010.5,77.9,NNE,83.66,68.9,73.0,2009-02-06,No,No,72.32,N,82.0,0.0,11.0,NNE,1009.0,NorahHead,6.0
56.0,1013.5,76.46,NE,77.18,68.54,71.0,2009-02-07,No,No,71.6,NNE,82.0,0.0,35.0,NNE,1011.1,NorahHead,26.0
50.0,1010.9,73.4,NNE,76.64,64.75999999999999,73.0,2009-02-08,No,No,68.72,NNE,84.0,0.0,24.0,NNE,1007.8,NorahHead,22.0
44.0,1011.2,69.98,S,70.52,65.3,85.0,2009-02-09,Yes,No,68.18,,90.0,0.0,,SSW,1011.0,NorahHead,17.0
57.0,1010.9,66.56,S,66.92,64.94,95.0,2009-02-10,Yes,Yes,65.48,SSW,97.0,7.4,31.0,SSW,1009.0,NorahHead,30.0
56.0,1010.2,68.9,S,70.7,62.059999999999995,82.0,2009-02-11,Yes,Yes,62.6,SSW,89.0,13.8,33.0,SSW,1010.3,NorahHead,24.0
56.0,1016.4,65.84,SE,68.9,61.7,91.0,2009-02-12,Yes,Yes,62.959999999999994,SSE,90.0,13.8,30.0,SSE,1018.0,NorahHead,33.0
59.0,1024.5,68.54,SSE,69.98,61.88,77.0,2009-02-13,Yes,Yes,64.58,E,89.0,16.0,19.0,E,1023.1,NorahHead,30.0
65.0,1021.6,65.84,SSE,68.72,62.42,84.0,2009-02-14,Yes,Yes,66.74000000000001,SE,74.0,14.2,37.0,SE,1017.4,NorahHead,43.0
56.0,1013.3,67.28,SSE,71.06,61.16,90.0,2009-02-15,Yes,Yes,67.1,SSE,89.0,26.6,30.0,S,1012.8,NorahHead,26.0
67.0,1016.4,72.68,SE,73.94,64.58,73.0,2009-02-16,Yes,Yes,71.06,SSE,77.0,19.2,33.0,SE,1016.4,NorahHead,37.0
67.0,1015.8,70.16,SSE,71.6,66.38,84.0,2009-02-17,Yes,Yes,69.98,S,75.0,2.2,37.0,SE,1013.9,NorahHead,37.0
74.0,1010.1,72.68,S,75.38,65.84,82.0,2009-02-18,No,Yes,69.08,S,88.0,23.6,30.0,W,1008.2,NorahHead,11.0
33.0,1008.4,75.56,N,83.84,67.1,75.0,2009-02-19,No,No,74.66,NE,76.0,0.0,24.0,NNW,1005.3,NorahHead,11.0
33.0,1011.6,76.82,ENE,82.04,69.44,76.0,2009-02-20,No,No,71.6,E,83.0,0.0,22.0,SSW,1010.2,NorahHead,9.0
31.0,1012.8,74.3,ESE,76.64,70.52,75.0,2009-02-21,No,No,72.5,E,89.0,0.0,22.0,NE,1012.4,NorahHead,4.0
30.0,1017.9,76.82,NE,78.44,69.98,66.0,2009-02-22,No,No,75.02,E,71.0,0.0,17.0,SE,1017.3,NorahHead,13.0
50.0,1016.8,78.25999999999999,NE,81.86,68.18,76.0,2009-02-23,Yes,No,74.12,NE,80.0,0.0,33.0,NNE,1013.5,NorahHead,2.0
43.0,1014.2,80.6,ENE,84.91999999999999,69.98,72.0,2009-02-24,No,Yes,74.84,SSE,85.0,1.6,22.0,NNW,1012.6,NorahHead,9.0
41.0,1016.2,77.18,SE,80.6,71.24000000000001,73.0,2009-02-25,No,No,74.48,ESE,83.0,0.0,24.0,S,1014.3,NorahHead,11.0
50.0,1019.4,72.86,S,74.48,69.62,70.0,2009-02-26,No,No,72.86,S,70.0,0.0,41.0,S,1018.1,NorahHead,30.0
41.0,1017.6,73.58,SSE,74.84,65.12,59.0,2009-02-27,No,No,69.44,SSE,70.0,0.2,24.0,SW,1015.7,NorahHead,13.0
46.0,1009.5,79.34,NNE,80.24000000000001,63.68,68.0,2009-02-28,No,No,70.88,NE,74.0,0.0,22.0,NNW,1007.1,NorahHead,9.0
50.0,1010.4,77.0,S,78.8,70.52,68.0,2009-03-01,No,No,73.94,ESE,75.0,0.0,20.0,SE,1010.7,NorahHead,24.0
30.0,1016.1,77.9,E,79.16,71.24000000000001,62.0,2009-03-02,No,No,72.68,E,70.0,0.0,15.0,E,1015.2,NorahHead,15.0
44.0,1018.0,78.25999999999999,NNE,84.2,71.6,66.0,2009-03-03,No,No,75.74000000000001,ENE,68.0,0.0,26.0,NE,1015.1,NorahHead,26.0
46.0,1008.7,72.5,SSW,77.9,71.06,67.0,2009-03-04,No,No,76.28,S,79.0,0.0,30.0,N,1008.3,NorahHead,17.0
33.0,1010.0,73.04,SSE,73.4,59.36,44.0,2009-03-05,No,No,66.56,SSE,47.0,0.0,26.0,WSW,1008.9,NorahHead,11.0
43.0,1013.2,73.58,NNE,74.66,59.540000000000006,57.0,2009-03-06,No,No,64.94,ENE,68.0,0.0,19.0,W,1011.5,NorahHead,9.0
35.0,1013.7,77.0,NNE,77.9,63.14,73.0,2009-03-07,No,No,68.36,SSE,81.0,0.0,22.0,WSW,1011.7,NorahHead,9.0
35.0,1017.1,77.0,NE,79.16,68.0,66.0,2009-03-08,No,No,75.92,ESE,75.0,0.0,24.0,SE,1017.5,NorahHead,20.0
35.0,1021.3,75.92,ENE,77.72,71.06,65.0,2009-03-09,No,No,73.75999999999999,ENE,76.0,0.0,24.0,E,1020.0,NorahHead,26.0
33.0,1021.7,75.56,NE,77.36,70.52,59.0,2009-03-10,Yes,No,72.5,E,69.0,0.0,26.0,ENE,1021.0,NorahHead,28.0
46.0,1023.1,74.48,SE,75.38,67.82,71.0,2009-03-11,No,Yes,68.9,ENE,89.0,3.6,30.0,SE,1021.9,NorahHead,39.0
43.0,1022.4,77.18,NE,82.04,68.36,65.0,2009-03-12,No,No,75.02,NE,68.0,0.0,24.0,NE,1020.2,NorahHead,20.0
39.0,1018.4,76.82,NNE,80.96,66.92,70.0,2009-03-13,No,No,71.06,ENE,85.0,0.0,13.0,NW,1016.0,NorahHead,7.0
46.0,1014.8,72.14,NNW,77.54,68.0,80.0,2009-03-14,Yes,No,71.96,NW,83.0,0.0,28.0,NNE,1011.7,NorahHead,17.0
50.0,1010.8,79.88,N,81.32,65.48,73.0,2009-03-15,Yes,Yes,74.66,NE,76.0,2.2,19.0,ENE,1007.8,NorahHead,9.0
41.0,1011.8,71.6,SSW,73.22,64.58,44.0,2009-03-16,No,Yes,65.84,E,45.0,7.6,22.0,SSW,1008.8,NorahHead,15.0
43.0,1013.5,74.3,SSW,75.2,59.72,49.0,2009-03-17,No,No,65.12,SSE,61.0,0.0,22.0,W,1012.3,NorahHead,7.0
44.0,1018.8,77.54,NNE,80.42,64.4,59.0,2009-03-18,No,No,70.52,NE,69.0,0.0,24.0,S,1016.4,NorahHead,2.0
30.0,1016.6,76.1,NE,79.7,63.32,73.0,2009-03-19,No,No,70.16,NE,76.0,0.0,24.0,NNW,1014.1,NorahHead,9.0
20.0,1017.4,77.36,ENE,79.52,66.92,73.0,2009-03-20,No,No,71.78,E,85.0,0.2,15.0,NE,1016.3,NorahHead,2.0
26.0,1018.5,76.28,NNE,78.62,68.9,68.0,2009-03-21,No,No,74.48,E,78.0,0.2,20.0,N,1017.0,NorahHead,6.0
35.0,1017.6,76.1,NNE,79.7,65.48,71.0,2009-03-22,No,No,70.88,ENE,86.0,0.4,22.0,NW,1015.3,NorahHead,7.0
43.0,1017.2,77.9,NE,80.96,65.3,68.0,2009-03-23,No,No,71.24000000000001,NE,77.0,0.0,26.0,N,1015.5,NorahHead,9.0
46.0,1018.4,76.28,NE,78.62,66.2,74.0,2009-03-24,No,No,72.14,NE,80.0,0.0,31.0,NNE,1016.5,NorahHead,22.0
48.0,1019.8,75.56,NE,80.42,66.2,73.0,2009-03-25,No,No,70.88,NE,79.0,0.0,30.0,NNE,1017.7,NorahHead,26.0
43.0,1019.8,73.75999999999999,SSE,80.78,66.02,78.0,2009-03-26,Yes,No,70.16,NE,84.0,0.0,26.0,N,1016.7,NorahHead,13.0
61.0,1022.8,69.44,SSE,73.04,67.82,78.0,2009-03-27,No,Yes,70.16,SSE,81.0,17.8,33.0,SSE,1023.2,NorahHead,37.0
30.0,1025.2,73.04,NE,75.92,63.5,54.0,2009-03-28,No,No,65.12,ENE,85.0,0.6,19.0,WSW,1023.1,NorahHead,13.0
24.0,1023.4,73.4,E,75.92,63.68,75.0,2009-03-29,No,No,66.56,ESE,85.0,0.0,19.0,SSW,1021.6,NorahHead,11.0
70.0,1023.1,72.68,SE,74.48,66.56,79.0,2009-03-30,Yes,No,72.68,SSE,73.0,0.0,35.0,SE,1020.7,NorahHead,26.0
83.0,1020.1,69.8,SE,71.96,65.3,85.0,2009-03-31,Yes,Yes,70.52,SSE,77.0,17.0,56.0,SE,1017.6,NorahHead,46.0
85.0,1019.6,71.06,ESE,73.22,68.36,86.0,2009-04-01,Yes,Yes,71.6,ESE,86.0,8.2,35.0,ESE,1019.4,NorahHead,37.0
46.0,1022.6,73.4,NE,75.2,67.46,85.0,2009-04-02,Yes,Yes,69.08,E,93.0,29.8,19.0,NNE,1021.2,NorahHead,17.0
43.0,1021.1,75.56,NNE,77.54,68.36,84.0,2009-04-03,No,Yes,71.78,ENE,91.0,2.2,13.0,E,1016.8,NorahHead,2.0
50.0,1016.7,68.18,S,71.06,68.36,77.0,2009-04-04,No,No,69.62,S,92.0,0.8,37.0,SSW,1018.2,NorahHead,9.0
44.0,1019.7,70.7,N,74.48,63.14,74.0,2009-04-05,No,No,70.52,NE,79.0,0.8,24.0,S,1015.1,NorahHead,6.0
54.0,1019.0,67.28,S,69.8,62.42,72.0,2009-04-06,Yes,No,69.25999999999999,S,77.0,0.0,39.0,S,1018.6,NorahHead,44.0
43.0,1024.9,67.64,SSE,69.62,62.24,70.0,2009-04-07,No,Yes,65.48,S,75.0,7.6,33.0,SSE,1023.6,NorahHead,22.0
44.0,1026.5,67.1,S,69.44,57.74,75.0,2009-04-08,No,No,65.48,SSE,70.0,0.0,31.0,SW,1024.6,NorahHead,19.0
28.0,1025.3,69.98,NNE,72.68,58.82,69.0,2009-04-09,No,No,66.92,ENE,80.0,0.0,13.0,S,1022.3,NorahHead,9.0
19.0,1023.4,70.34,W,74.48,60.440000000000005,76.0,2009-04-10,No,No,67.46,ENE,74.0,0.0,13.0,NNW,1020.8,NorahHead,7.0
19.0,1024.9,72.68,NE,75.02,62.78,81.0,2009-04-11,No,No,69.08,SE,85.0,0.2,7.0,SSW,1022.9,NorahHead,4.0
17.0,1023.0,72.68,N,75.92,66.2,83.0,2009-04-12,No,No,69.44,E,88.0,0.0,13.0,N,1020.5,NorahHead,11.0
26.0,1021.8,69.98,N,72.32,68.72,88.0,2009-04-13,Yes,No,71.42,NNE,92.0,0.0,9.0,S,1018.7,NorahHead,13.0
24.0,1015.1,70.52,W,76.46,63.68,81.0,2009-04-14,No,Yes,68.18,E,87.0,5.4,19.0,WNW,1011.4,NorahHead,13.0
33.0,1011.3,82.04,WNW,82.75999999999999,63.32,36.0,2009-04-15,No,No,72.14,NW,65.0,0.2,15.0,WNW,1007.5,NorahHead,9.0
43.0,1015.2,71.24000000000001,S,75.2,59.36,57.0,2009-04-16,No,No,65.3,ENE,49.0,0.0,15.0,WSW,1011.7,NorahHead,11.0
52.0,1015.7,69.62,S,71.06,59.36,65.0,2009-04-17,No,No,66.74000000000001,S,60.0,0.0,33.0,WSW,1015.0,NorahHead,11.0
69.0,1019.3,64.22,S,69.44,60.26,88.0,2009-04-18,Yes,No,65.66,S,74.0,0.0,24.0,SSW,1017.8,NorahHead,22.0
80.0,1018.5,70.52,S,70.52,61.34,67.0,2009-04-19,Yes,Yes,62.959999999999994,S,89.0,6.0,57.0,SSW,1016.0,NorahHead,37.0
80.0,1019.0,68.0,SSE,69.98,60.440000000000005,64.0,2009-04-20,No,Yes,67.1,SSE,75.0,14.0,56.0,S,1016.9,NorahHead,41.0
72.0,1021.5,69.62,SSE,71.06,64.4,71.0,2009-04-21,No,No,69.8,SSE,58.0,0.2,37.0,SSE,1019.7,NorahHead,43.0
56.0,1023.5,68.36,SE,70.34,63.86,62.0,2009-04-22,No,No,64.58,SSE,75.0,0.2,33.0,SSE,1021.1,NorahHead,9.0
46.0,1021.8,68.36,SE,70.52,60.08,65.0,2009-04-23,No,No,62.6,S,90.0,0.0,11.0,SSW,1018.0,NorahHead,20.0
39.0,1013.0,69.98,NNE,74.66,56.120000000000005,76.0,2009-04-24,No,No,67.28,NNE,75.0,0.4,31.0,NNW,1007.0,NorahHead,17.0
44.0,1005.3,73.75999999999999,NW,75.38,62.959999999999994,47.0,2009-04-25,No,No,68.72,W,52.0,0.4,11.0,WNW,1003.1,NorahHead,13.0
63.0,1002.9,68.54,WNW,70.7,62.6,39.0,2009-04-26,No,No,70.52,WNW,49.0,0.0,19.0,W,1003.6,NorahHead,11.0
39.0,1013.8,64.75999999999999,W,66.38,51.26,35.0,2009-04-27,No,No,58.82,W,50.0,0.0,17.0,W,1012.9,NorahHead,15.0
39.0,1015.7,69.98,NW,72.68,53.06,38.0,2009-04-28,No,No,65.3,WSW,55.0,0.0,17.0,WNW,1014.5,NorahHead,17.0
35.0,1021.7,61.34,S,64.94,52.34,78.0,2009-04-29,Yes,No,53.42,ESE,76.0,0.0,13.0,WSW,1018.9,NorahHead,15.0
46.0,1019.2,62.6,SSW,63.32,53.42,77.0,2009-04-30,Yes,Yes,55.58,SSW,86.0,5.0,24.0,SW,1019.1,NorahHead,19.0
26.0,1024.2,68.0,NNE,69.08,53.6,66.0,2009-05-01,No,Yes,58.1,NE,76.0,2.6,19.0,W,1020.8,NorahHead,15.0
56.0,1024.0,66.74000000000001,S,69.44,54.32,72.0,2009-05-02,Yes,No,61.519999999999996,SSE,67.0,0.0,26.0,W,1021.9,NorahHead,13.0
33.0,1027.3,67.1,SSW,67.82,57.02,73.0,2009-05-03,No,Yes,59.0,S,87.0,34.8,19.0,SW,1025.3,NorahHead,13.0
35.0,1027.9,70.34,SE,73.04,56.66,61.0,2009-05-04,Yes,No,62.059999999999995,NE,77.0,0.0,15.0,W,1025.5,NorahHead,15.0
57.0,1029.7,67.64,SSE,68.72,58.459999999999994,67.0,2009-05-05,No,Yes,60.8,S,88.0,12.4,35.0,WSW,1027.3,NorahHead,15.0
30.0,1028.0,68.72,NNE,72.14,57.56,64.0,2009-05-06,No,No,62.959999999999994,NE,78.0,0.6,19.0,W,1023.6,NorahHead,11.0
43.0,1023.7,69.08,SSE,69.98,55.76,53.0,2009-05-07,Yes,No,61.519999999999996,S,76.0,0.0,26.0,W,1020.9,NorahHead,11.0
52.0,1026.5,65.84,SSE,66.92,56.3,77.0,2009-05-08,Yes,Yes,61.34,S,80.0,3.4,31.0,SW,1024.3,NorahHead,19.0
46.0,1023.6,67.82,S,69.25999999999999,53.96,55.0,2009-05-09,Yes,Yes,60.08,SSE,70.0,21.2,24.0,WSW,1020.0,NorahHead,13.0
56.0,1022.9,65.12,SSW,66.2,57.56,59.0,2009-05-10,Yes,Yes,59.18,SSE,88.0,2.2,37.0,WSW,1022.7,NorahHead,15.0
28.0,1024.5,64.58,SE,68.0,54.5,51.0,2009-05-11,No,Yes,60.8,SE,71.0,19.2,13.0,W,1022.0,NorahHead,13.0
26.0,1021.0,65.3,W,69.62,52.7,60.0,2009-05-12,No,No,57.92,SE,69.0,0.0,22.0,W,1017.6,NorahHead,15.0
26.0,1016.2,68.72,W,69.62,52.52,45.0,2009-05-13,No,No,59.18,,70.0,0.0,9.0,WNW,1013.1,NorahHead,15.0
31.0,1013.4,69.44,WSW,70.34,51.8,40.0,2009-05-14,No,No,60.980000000000004,W,54.0,0.0,13.0,NW,1010.9,NorahHead,15.0
35.0,1013.7,70.34,WNW,71.42,52.52,41.0,2009-05-15,No,No,61.7,W,59.0,0.0,19.0,NW,1009.7,NorahHead,15.0
46.0,1009.5,69.98,W,72.32,60.08,46.0,2009-05-16,No,No,66.38,WNW,53.0,0.0,20.0,NW,1008.8,NorahHead,17.0
33.0,1018.4,63.68,SSE,66.56,53.42,59.0,2009-05-17,No,No,58.28,SSE,63.0,0.0,22.0,W,1017.2,NorahHead,9.0
41.0,1024.7,68.0,SE,69.44,54.68,60.0,2009-05-18,No,No,59.0,ESE,78.0,0.0,22.0,WSW,1022.5,NorahHead,17.0
57.0,1023.8,65.48,NNE,70.52,58.28,71.0,2009-05-19,Yes,No,62.42,ENE,78.0,0.4,35.0,ESE,1020.7,NorahHead,17.0
57.0,1021.1,67.1,ENE,70.52,60.8,70.0,2009-05-20,No,Yes,68.0,E,58.0,2.6,41.0,NE,1019.3,NorahHead,39.0
78.0,1022.3,67.46,SE,69.08,63.86,60.0,2009-05-21,Yes,No,67.64,ESE,60.0,0.6,41.0,ESE,1020.2,NorahHead,48.0
81.0,1021.9,68.18,ENE,68.9,60.980000000000004,70.0,2009-05-22,Yes,Yes,66.92,ESE,76.0,3.6,44.0,SE,1018.9,NorahHead,50.0
65.0,1022.6,68.18,ESE,69.8,61.16,70.0,2009-05-23,No,Yes,66.92,E,73.0,5.6,41.0,E,1021.4,NorahHead,44.0
46.0,1026.1,67.46,ESE,70.16,65.84,66.0,2009-05-24,No,No,67.82,ESE,68.0,0.0,26.0,ESE,1024.8,NorahHead,31.0
33.0,1025.4,67.82,NNE,71.96,61.16,67.0,2009-05-25,No,No,65.12,ENE,76.0,0.0,13.0,W,1022.8,NorahHead,6.0
20.0,1021.9,67.1,WNW,71.78,56.48,70.0,2009-05-26,No,No,62.059999999999995,E,81.0,0.0,9.0,NNW,1018.9,NorahHead,11.0
24.0,1019.7,63.32,WNW,64.58,59.36,81.0,2009-05-27,No,No,60.62,W,84.0,0.0,9.0,W,1017.8,NorahHead,13.0
54.0,1020.6,64.04,SSE,66.02,55.4,72.0,2009-05-28,Yes,No,60.440000000000005,SW,87.0,0.4,20.0,WSW,1019.2,NorahHead,13.0
65.0,1022.0,61.34,SSW,62.42,54.32,74.0,2009-05-29,Yes,Yes,55.94,SW,82.0,50.4,31.0,NW,1021.2,NorahHead,13.0
69.0,1027.0,58.82,SSE,63.86,51.98,91.0,2009-05-30,Yes,Yes,54.68,NNW,90.0,30.2,13.0,W,1026.3,NorahHead,17.0
61.0,1032.4,64.58,ESE,66.56,54.68,58.0,2009-05-31,No,Yes,61.7,E,80.0,17.6,35.0,NE,1031.0,NorahHead,15.0
44.0,1031.9,62.42,ENE,64.94,61.16,75.0,2009-06-01,Yes,No,62.6,S,66.0,0.0,24.0,ESE,1029.4,NorahHead,7.0
31.0,1029.3,64.58,NNE,67.1,56.120000000000005,79.0,2009-06-02,Yes,Yes,58.28,ENE,86.0,7.4,11.0,WNW,1026.6,NorahHead,15.0
31.0,1025.3,65.84,NE,68.54,58.28,79.0,2009-06-03,No,Yes,61.88,NE,92.0,5.6,20.0,NE,1021.7,NorahHead,9.0
19.0,1020.2,62.78,N,65.48,58.459999999999994,84.0,2009-06-04,No,No,58.64,WSW,92.0,0.4,2.0,NNW,1016.6,NorahHead,7.0
24.0,1014.5,64.22,N,66.56,56.84,60.0,2009-06-05,No,No,61.88,SW,80.0,0.8,9.0,NNW,1012.3,NorahHead,13.0
30.0,1013.7,64.04,NW,65.66,50.54,49.0,2009-06-06,No,No,56.48,WNW,66.0,0.0,11.0,WNW,1010.1,NorahHead,13.0
35.0,1008.4,64.58,NNW,66.56,53.06,55.0,2009-06-07,No,No,55.58,WNW,80.0,0.0,13.0,NW,1005.2,NorahHead,17.0
37.0,1010.4,65.3,WNW,67.64,52.7,48.0,2009-06-08,No,No,60.8,WNW,67.0,0.0,19.0,NW,1007.9,NorahHead,17.0
43.0,1011.8,58.459999999999994,WNW,62.059999999999995,51.08,49.0,2009-06-09,No,No,54.5,WNW,69.0,0.0,17.0,WNW,1009.0,NorahHead,15.0
,1012.5,56.84,,58.459999999999994,48.379999999999995,38.0,2009-06-10,,No,53.24,W,48.0,0.0,19.0,WNW,1012.6,NorahHead,17.0
28.0,,,WNW,58.64,,,2009-06-11,No,,,,,,,,,NorahHead,
26.0,1023.7,60.980000000000004,WSW,63.14,45.68,46.0,2009-06-12,No,No,51.8,WNW,60.0,0.0,9.0,W,1020.2,NorahHead,15.0
31.0,1017.8,61.88,N,66.38,47.66,46.0,2009-06-13,No,No,53.78,WNW,70.0,0.0,7.0,NW,1014.4,NorahHead,11.0
37.0,1014.7,63.68,N,66.92,52.52,46.0,2009-06-14,No,No,55.22,W,70.0,0.0,7.0,NW,1011.6,NorahHead,9.0
22.0,1012.7,64.22,WSW,66.74000000000001,51.26,49.0,2009-06-15,No,No,57.379999999999995,WSW,67.0,0.0,4.0,WNW,1010.5,NorahHead,13.0
70.0,1016.9,57.2,SSE,61.88,50.18,92.0,2009-06-16,Yes,No,54.32,SSW,86.0,0.8,26.0,WSW,1018.4,NorahHead,19.0
52.0,1026.6,59.18,SSE,63.86,51.98,79.0,2009-06-17,Yes,Yes,52.879999999999995,ESE,92.0,39.2,24.0,W,1025.5,NorahHead,17.0
54.0,1028.5,62.42,S,64.22,52.879999999999995,69.0,2009-06-18,Yes,Yes,63.14,E,64.0,7.6,33.0,ESE,1026.6,NorahHead,24.0
56.0,1029.1,61.88,ENE,64.4,59.72,61.0,2009-06-19,Yes,Yes,61.88,SE,60.0,3.2,20.0,ESE,1027.2,NorahHead,26.0
59.0,1027.1,61.16,NNE,66.38,58.459999999999994,90.0,2009-06-20,Yes,Yes,62.42,NNE,81.0,5.2,31.0,N,1023.7,NorahHead,11.0
50.0,1023.5,64.94,NNE,67.1,59.18,88.0,2009-06-21,Yes,Yes,62.42,NE,84.0,2.8,22.0,N,1020.5,NorahHead,22.0
54.0,1019.8,62.959999999999994,NNE,66.56,58.1,79.0,2009-06-22,No,Yes,59.72,NE,92.0,23.8,13.0,NW,1017.7,NorahHead,13.0
26.0,1019.5,63.5,W,66.38,52.52,80.0,2009-06-23,No,No,56.84,NE,80.0,0.2,15.0,W,1016.4,NorahHead,13.0
